uuid,title,ingredients,steps
f27fcbef-6e64-40a7-9cf7-89f2065cc1b2,Arepas de Queso,1 taza de harina de arepa blanca o amarilla 1 taza de agua tibia ⅓ taza de queso mozzarella o queso blanco rallado 2 cucharadas de mantequilla Sal,"Combine la harina de maíz, agua caliente, el queso, la mantequilla y sal, mezclando bien. Deje que la mezcla repose durante cinco minutos. Amasar con las manos durante unos 3 minutos humedeciendo las manos con agua mientras amasa. Formar 4 bolas con la masa. Coloque cada bola entre 2 bolsas de plástico y con una cubierta olla aplane a ½ de pulgada. Añadir la mantequilla en una sartén antiadherente a fuego medio. Coloque las arepas en la sartén y cocine durante aproximadamente 3 minutos de cada lado, hasta que estén doradas."
f0d3cfd4-66bb-4e93-8d1c-e98570f5044d,Sudado de Pollo,8 muslos de pollo sin la piel 1 cucharada de aceite vegetal ½ taza de cebolla picada ½ de taza de pimientón rojo picado 1 diente de ajo picado 2 tazas de tomate picado 1 cucharada de Sazuón con azafran ½ cucharadita de comino en polvo ½ de taza de cilantro fresco picado ½ de cucharadita de sal ½ cucharadita de pimienta 8 papas pequeuñas amarillas peladas y cortadas por la mitad 3 tazas de caldo de pollo,"En una olla grande, caliente el aceite vegetal a fuego medio. Añadir la cebolla y el pimiento rojo y saltee hasta que las cebollas estén transparentes, unos 3 minutos. A continuaciuón, auñadir los tomates, el ajo, la sal y la pimienta molida y sofría por 5 minutos muás. Agregue el pollo, el caldo de pollo, la sazuón y comino en polvo. Tapar y cocinar durante 25 minutos, revolviendo ocasionalmente. Añadir las papas y el cilantro y cocine por 30 minutos muás o hasta que las papas estén tiernas. Sirva sobre arroz blanco."
70f80787-9328-4896-956f-6b6988207a3e,Sancocho Trifásico,1 taza de cebolla picada 1 pimientón rojo finamente picado 4 dientes de ajo picados 1 cucharadita de comino molido Un cuarto de cucharadita de achiote 3 mazorcas de maíz cortado en 3 piezas 12 tazas de agua o más si es necesario 8 piezas de pollo 1 libra de carne de cerdo o costillas de cerdo 1 libra de carne de res cortada en trozos 2 plátanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas 4 papas blancas medianas peladas y cortadas por la mitad 1 libra de yuca en trozos grandes Un cuarto de taza de cilantro fresco picado Un cuarto de cucharadita de pimienta molida 1 cucharadita de sal,"Coloque la cebolla, el pimientón, el ajo y el comino en la licuadora con ¼ taza de agua. En una olla grande, colocar la carne de res, cerdo, pollo, maíz, mezcla de cebolla, sal y plátano verde. Añadir el agua y llevar a hervir, tapar y bajar el fuego a medio y cocinar durante unos 45 minutos. Añadir las papas y yuca. Continuar cocinando durante 30 minutos más o hasta que las verduras estén blandas. Agregue el cilantro. Pruebe y ajuste la sazón. Servir en platos grandes de sopa, dividir la carne, el pollo y los vegetales de manera uniforme."
fce8992b-65b2-46e4-9a2c-9faebf6750f8,Sudado de Posta o Muchacho,"1 posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas 2 tazas de caldo de carne 3 tazas de agua 1 taza de salsa de aliños ver la receta aquí 2 tazas de tomate picado 1 cucharadita  de comino en polvo ½ cucharadita de sazón con el color Sal y pimienta al gusto 8 papas pequeñas enteras peladas ½ libra de yuca fresca o congelada Cilantro fresco","En una olla  grande ponga la carne, el caldo, el agua, la salsa de aliños, los tomates, sazón y comino en polvo. Llevar a hervir, baje el fuego a medio-bajo y cocine durante aproximadamente 1 hora y 30 minutos, revolviendo ocasionalmente. Añadir sal y pimienta al gusto y añadir más agua si es necesario. Añadir las papas y la yuca,cocinar durante otros 30 a 45 minutos, hasta que las verduras y la carne estén tiernas. Espolvorear cilantro fresco y servir con arroz blanco."
b0cb908e-c5eb-4421-9556-e45999f584ec,Sopa de Lentejas Colombiana,1 cucharadita de aceite vegetal 1 taza de chorizo en rodajas ½ taza de cebolla picada 1 diente de ajo picado ½ taza de cebolla larga picada ½ taza de tomates picados 5 tazas de agua 1 taza de lentejas ½ cucharadita de sal ½ cucharadita de pimienta ½ taza de zanahorias ralladas ½ taza de papas cortadas en trozos ½ cucharadita de comino en polvo,"Cocinar el chorizo en el aceite en una olla grande a fuego medio, revolviendo de vez en cuando, unos 5 minutos. Con una cuchara ranurada, transfiera el chorizo a un plato cubierto con papel toalla. Agregue las zanahorias, la cebolla, el ajo, el tomate y cebolla larga a la olla, sazonar con sal y pimienta. Cocine revolviendo ocasionalmente unos 12 minutos. Agregue el comino y cocinar 1 minuto más. Añadir las lentejas y el agua, llevar a hervir. Luego baje el fuego a medio-bajo, tape y cocine hasta que las lentejas estuén suaves pero no blandas unos 45 minutos. Añadir el chorizo y papas, cocinar por 15 a 20 minutos hasta que las papas estén bien cocidas y tiernas. Agregue más agua si es necesario. Servir inmediatamente."
0f50f6f2-db04-4903-bf86-3bbe1d1e8d17,Ensalada alemana de patatas,1 kg de patatas no harinosas cocidas con piel el día anterior 125 ml de caldo de carne (o caldo de verduras para la opción vegana) 2 cucharadas de aceite de oliva 2 cucharadas de vinagre de vino 1 cebolla blanca 1 pizca de azúcar Sal y pimienta al gusto Cebollino  ," Ensalada alemana de patatas  Poner el caldo al fuego, cuando rompe el hervor agregar la cebolla finamente picada, el aceite, vinagre, y el azúcar. Cocinar hasta que la cebolla esté tierna  Mientras tanto pelar las patatas cocidas el día anterior y cortarlas en rodajas finas.  Poner las patatas en un bol y verter por encima el aderezo con la cebolla.  Mezclar bien, sazonar con sal y pimienta, agregar cebollino frescos picado.  Se puede comer de inmediato pero queda mucho mejor fría, acompañada de salchichas alemanas."
180ac7fe-df1f-4bbc-939a-07979eddd333,Currywurst,6 salchichas de cerdo 4 cucharadas de polvo de curry 1 cebolla blanca 1 cdta. de paprika 1 cdta. de comino 250 gr. de tomates (puré o triturados) 250 gr. de ketchup 2 cucharadas de agua Sal Aceite de oliva virgen extra  ," Currywurst  Comenzar preparando la salsa: picar muy finamente la cebolla y ponerla a freír en una sartén con un poco de aceite. Cuando la cebolla se ablande añadir una cucharadita de pimentón y verter el puré de tomate junto con el ketchup.  Llevar a ebullición y finalmente incorporar el comino y curry. Sazonar con sal y estira con un poco de agua. Continuar la cocción hasta que la salsa haya espesado.  Mientras la salsa se enfría, preparar las salchichas. Llevar a ebullición una olla con abundante agua en la que se habrá disuelto una cuchara de curry, sumergir las salchichas y dejar que hiervan por unos 5 minutos.  Colar las salchichas y grillarlas sobre una placa caliente hasta que estén doradas de manera uniforme.  Servir las currywurst calientes y sazonadas con abundante salsa.  Notas: Para una versión más light se pueden utilizar salchichas de pollo o pavo y acompañar con patatas dulces cocidas en el horno."
8771deba-b8ba-4428-82e3-2d3a4e148771,Torta bundt con zanahorias,3 huevos 170 gr. de azúcar 200 gr. de harina 50 gr.de almidón de maíz 250 gr. de zanahorias 120 gr. de mantequilla 40 gr. de avellanas picadas 1 cdta. de polvo de hornear Azúcar glas  ," Torta bundt con zanahorias  Unir en un cuenco el azúcar y los huevos. Batir la mezcla con una batidora eléctrica hasta que todo esté bien espumoso.  Pelar y lavar cuidadosamente las zanahorias, rallar a mano.  Añadir al batido de huevos la harina tamizada con el polvo de hornear y la mantequilla a temperatura ambiente.  Añadir ahora las zanahorias ralladas y las avellanas picadas. Amalgamar la mezcla con una espátula o una cuchara de madera.  Verter la mezcla en un molde de anillo de aproximadamente 24 cm de diámetro, enmantecado y enharinado. Hornear a 180 grados durante aproximadamente 40 min.  Cuando el pastel bundt está listo, dejar que se enfríe sobre una rejilla, y luego servir con abundante azúcar impalpable."
2d0f2611-4b77-496b-b7bb-65d9690dc854,Ensalada alemana de patatas,"500 gr. de patatas 200 gr. de panceta ahumada 5 pepinillos en vinagre, grandes 1/2 cebolla Mostaza Perejil Vinagre de vino blanco Aceite extra virgen de oliva Sal Pimienta  "," Ensalada alemana de patatas  Lavar las patatas, ponerlas en una cacerola alta, cubrir con agua fría, añadir sal, tapar y cocer durante 30-35 minutos.  Escurrir las patatas, pelar y dejar enfriar, luego cortar en pequeños cubos y disponer en una ensaladera.  Cortar la cebolla en rodajas finas y los pepinillos en vinagre en rueditas; añadir a las patatas y mezclar bien.  En una sartén, a fuego fuerte, cocinar el tocino en tiras en un poco de aceite; cuando está dorado y crujiente agregar una cucharada de mostaza, el vinagre y abundante perejil picado.  Retirar del fuego y verter, todavía caliente, sobre la ensalada de patatas salpimentada; revolver para que el condimento se distribuya de manera uniforme.  Servir la ensalada de patatas fría."
2f5dde38-3ea3-4129-849d-6f428f7c15ae,Rote Grutze,1 kg. de ciruelas rojas 500 gr. azúcar 3 cucharadas soperas de maicena 2 peras 2 melocotones 4 albaricoques o frutos del bosque (optativo) Agua  ," Rote Grutze  Cubrir las ciruelas con agua y hervirlas enteras hasta que estén blandas.  Después, pasarlas por un colador para retirar la cáscara y el carozo y llevar al fuego nuevamente. Agregar el azúcar.  Disolver la maicena en un vaso de agua fría y verter de a poco a la preparación.    Revolver todo el tiempo para que no se hagan grumos, hasta que empiece a hervir nuevamente, y seguir revolviendo durante dos minutos más.    Luego agregar la pera, el durazno cortado en cubitos o los frutos del bosque.  Dejar enfriar y servir con crema inglesa, yogur o helado."
