title,url,ingredients,steps,uuid
Barritas de Cereal de Avena con Chips de Chocolate y Frutos Secos,https://www.gourmet.cl/recetas/barritas-de-cereal-de-avena-con-chips-de-chocolate-y-frutos-secos/,Mezcla lista para Galletas de Avena con Chips de Chocolate Gourmet 1 huevo a temperatura ambiente 63 gr (o 5 cdas) de mantequilla sin sal o 32 gr de aceite de coco a temperatura ambiente 63 gr o ¼ de taza de syrup o miel 50 gr de almendras picadas 50 gr de semillas de zapallo 50 gr de cranberries,"Precalienta el horno a 170°C En un bowl agrega todos los ingredientes y mezcla hasta obtener una masa homogénea. Deja reposar por 5 minutos. En una fuente previamente enmantequillada o con papel mantequilla, agrega la mezcla y aplasta hasta dejar un grosor de un 1 cm. Hornea a 170 °C durante 10-15 minutos o hasta obtener bordes dorados. Retira del horno y deja enfriar, desmolda y corta del tamaño de barritas.",d5893f9b-ea83-11ed-9252-a96d6180cd25
Pancakes de Cinnamon Roll,https://www.gourmet.cl/recetas/pancakes-de-cinnamon-roll/,"50 gr de mantequilla sin sal derretida 100 gr de azúcar rubia 1 bolsa de Mezcla lista para Panqueques, Waffles y Pancakes Gourmet 200 ml de leche 2 huevos 1 cda de Canela molida Gourmet Mantequilla o aceite para cocinarlos 6 cdas de azúcar flor Agua Miel de maple o syrup","Mezclar todos los ingredientes y transferirlos a una botella con dispensador o una manga con una boquilla pequeña. Mezclar todos los ingredientes con un batidor de mano. Precalentar una sartén a fuego medio-bajo. Esparcir un poco de aceite o mantequilla en la sartén y verter un poco de masa sobre ella. Esperar a que rompan las primeras burbujas en la superficie y hacer un remolino de canela sobre el pancake. Aún no lo des vuelta. Cuando hayan reventado muchas burbujas y ya no se vuelvan a cubrir con masa luego de reventar, darle la vuelta al pancake con cuidado, pero rápidamente. Cocinarlo por este lado solo 1 minuto. Mezclar el azúcar flor con suficiente agua para formar una pasta. Servir sobre los pancakes con miel de maple o syrup.",d5893f9c-ea83-11ed-9423-a96d6180cd25
Tacitas de Avena con Crumble Manzana,https://www.gourmet.cl/recetas/tacitas-de-avena-con-crumble-manzana/,"1 bolsa de Mezcla lista para Galletas de Avena con Chips de Chocolate Gourmet 1 huevo 2 cdtas de agua 125 gr de mantequilla sin sal derretida y enfriada a temperatura ambiente 300 gr manzanas, peladas y picadas 80 gr azúcar rubia ½ cdta de Canela molida Gourmet ½ cdta de sal 50 gr de mantequilla sin sal derretida 2 cdas de harina sin polvos de hornear Opcional: una pizca de Nuez Moscada Gourmet 80 gr de harina sin polvos de hornear 50 gr de mantequilla sin sal fría y cortada en cubitos 60 gr de azúcar rubia ½ cdta de sal","Mezclar todos los ingredientes de las tacitas en un bowl usando una espátula. Porcionar la masa de galleta entre 10 moldes de muffins antiadherentes. Con tus dedos, formar las tacitas en la base y hacia los lados. Hornear por 8 min en un horno a 180°C. Cuando salgan del horno, notarás que la galleta se llenó y ya no hay un orificio al medio. Con una cucharita y apenas salgan del horno y sigan muy calientes, formar el interior nuevamente para dejar un espacio para el relleno. Asegurarse de no ahuecar la base. Dejar enfriar por completo. Mezclar todos los ingredientes del relleno y distribuir entre todos los moldes de muffins con galleta. Mezclar todos los ingredientes del crumble en un bowl. Con tus dedos, pellizcar la mantequilla con los ingredientes secos hasta que no queden pedazos de mantequilla evidentes. Distribuir el crumble sobre el relleno de manzana de todos los moldes de muffins. Hornea las tacitas en un horno precalentado a 180°C por 15 min o hasta que el crumble esté ligeramente dorado. Esperar a que se enfríen por completo y desmoldar con cuidado.",d5893f9d-ea83-11ed-9658-a96d6180cd25
Galletas de Avena con Chips de Chocolate y Coco,https://www.gourmet.cl/recetas/galletas-de-avena-con-chips-de-chocolate-y-coco/,1 bolsa de Mezcla lista para Galletas de Avena con Chips de Chocolate Gourmet 1 huevo 2 cdtas de agua 60 gr de aceite de coco derretido y enfriado a temperatura ambiente 2 cdas de Coco Rallado Gourmet,Mezclar todos los ingredientes en un bowl usando una espátula. Preparar una bandeja para horno con papel para hornear o mat de silicona. Formar bolitas con la masa para las galletas y aplanarlas ligeramente. Ponerlas sobre la bandeja dejando 5 cm entre ellas. Hornear en un horno precalentado a 170°C por 8 min o hasta obtener bordes dorados. Retire del horno y deje enfriar antes de servir.,d5893f9e-ea83-11ed-9ef0-a96d6180cd25
Receta Shawarma de Pollo con Salsa de Ajo Tostado,https://www.gourmet.cl/recetas/shawarma-de-pollo-con-salsa-de-ajo-tostado/,500 gr de trutro de pollo sin piel ni hueso 1 diente de ajo rallado finamente 1 cdta de Comino en Polvo Gourmet ½ cdta de Pimienta Cayena Gourmet 1 cdta de Pimentón Paprika Gourmet 1 cda de jugo de limón 2 cdas de aceite de oliva ½ cdta de Canela en Polvo Gourmet Sal de Mar Gourmet Mix de Pimientas Gourmet Aceite vegetal 3 pan libanés 3 hojas de lechuga 1 tomate en láminas ¼ cebolla morada en pluma fina Salsa de Ajo Tostado Gourmet,"Mezclar las piezas de pollo con el resto de ingredientes y dejar marinar refrigerado toda la noche. Precalentar una sartén tipo grill o parrilla a fuego alto. Esparcir una capa delgada de aceite y poner el pollo encima. Dorar el pollo por ambos lados hasta que esté totalmente cocido y retirar. Dejar descansar 5 minutos y picar en tiras. Sobre un pan libanés poner la lechuga, láminas de tomate y el pollo. Terminar con la cebolla en pluma y salsa de ajo tostado Gourmet.",d5893f9f-ea83-11ed-8280-a96d6180cd25
Receta Sándwich de Pollo Crispy con Salsa de Ajo Tostado,https://www.gourmet.cl/recetas/sandwich-de-pollo-crispy-con-salsa-de-ajo-tostado/,3 trutros sin piel y sin hueso 130 ml de taza de leche 1 cdta de Salsa de Ajo Tostado Gourmet 1 cda de Pimentón Paprika Gourmet 1 cdta de Ajo en Polvo Gourmet Sal de Mar Gourmet Pimienta Negra Molida Gourmet 180 gr de harina sin polvos de hornear ½ cda de Pimentón Paprika Gourmet ½ cdta de Ajo en Polvo Gourmet Sal de Mar Gourmet Pimienta Negra Molida Gourmet 500 ml de aceite vegetal 3 panes de papa Salsa de Ajo Tostado Gourmet 3 láminas de lechuga 2 pickles en láminas Papas fritas,"Marinar toda la noche el pollo en la leche mezclada con el resto de ingredientes. Mezclar la harina con el pimentón, ajo, sal y pimienta. Salpicar la harina con un poco del líquido de marinado del pollo y cubrir una pieza por ambos lados. Regresar al marinado y volver a cubrir con la harina. Repetir con todos los trozos de pollo. Precalentar el aceite a 180°C en una olla o sartén alta. Agregar un trozo de pollo a la vez y freír hasta que esté bien dorado, aproximadamente 4 minutos. Retirar y poner sobre una bandeja con rejilla para escurrir el exceso de aceite. Tostar los panes y sobre la base esparcir salsa de ajo tostado Gourmet. Encima, poner lechuga, un pollo frito, pickles y tapar con el pan con más salsa untada. Servir caliente con papas fritas.",d5893fa0-ea83-11ed-8194-a96d6180cd25
Receta Quesadillas Mexicanas con Salsa Ají Chipotle,https://www.gourmet.cl/recetas/quesadillas-con-salsa-aji-chipotle/,50 gr de queso mozzarella rallado 50 gr de queso cheddar rallado 4 láminas de tortilla 1 palta picada Cilantro picado Jugo de ½ limón Sal de Mar Gourmet Pimienta Negra Molida Gourmet Salsa Ají Chipotle Gourmet Cilantro Gajos de limón,"Precalentar una sartén a fuego medio. Agregar una tortilla y encima esparcir la mitad de los quesos. Tapar con otra tortilla. Cuando se haya dorado, darle la vuelta y repetir por el otro lado. Retirar y repetir con el otro par de tortillas y el resto del queso. Cortar las quesadillas en triángulos y servir calientes. Mezclar todos los ingredientes y corregir el nivel de sal. Servir con salsa Chipotle Gourmet, cilantro y gajos de limón.",d5893fa1-ea83-11ed-aa83-a96d6180cd25
Receta Merluza Frita con Salsa Acevichada,https://www.gourmet.cl/recetas/pescado-frito-con-salsa-acevichada/,700 gr de merluza Sal de Mar Gourmet y Pimienta Negra Molida Gourmet a gusto 120 gr de harina sin polvos de hornear 70 gr de maicena 1 ½ cdta de Polvos de Hornear Gourmet 1 cda de Pimentón Paprika Gourmet ½ cdta de Sal de Mar Gourmet 240 ml de cerveza 500 ml de aceite vegetal Papas fritas Salsa Acevichada Gourmet Gajos de limón,"Cortar el pescado en trozos medianos y espolvorearlos con sal y pimienta. Reservar mientras se prepara la cubierta. En un bowl, mezclar la harina, maicena, polvos de hornear, pimentón, sal y cerveza usando un batidor de mano. Precalentar el aceite en una sartén honda u olla hasta que llegue a 180C. Cubrir un trozo de pescado en la mezcla e inmediatamente agregarlo con cuidado al aceite para freír. Debería tomar 3-4 minutos. Se puede freír hasta un par de trozos a la vez. Retirar el pescado y ponerlo sobre una bandeja con rejilla para escurrir el exceso de aceite. Repetir con todo el pescado. Servir con papas fritas, salsa acevichada y gajos de limón.",d5893fa2-ea83-11ed-ba11-a96d6180cd25
Receta Hummus de Garbanzos con Salsa Ají Chipotle,https://www.gourmet.cl/recetas/hummus-con-salsa-aji-chipotle/,350 gr de garbanzos cocidos 4 cdas de tahini o pasta de sésamo 1 diente de ajo Sal de Mar Gourmet Mix de Pimientas Gourmet 100 gr de Salsa Ají Chipotle Gourmet 2 cdas de aceite de oliva 1 cda de Pimentón Paprika Gourmet Agua de la cocción de los garbanzos Aceite de oliva Pimentón Zanahoria en bastones Apio en bastones Pepino en rodajas Pan pita tostado,"Procesar o licuar todos los ingredientes. Si es necesario, agregar agua de la cocción de los garbanzos para que quede más sedoso. Probar y corregir el nivel de sal. Formar un espiral con el hummus en un bowl y terminar con aceite de oliva y pimentón. Servir con vegetales crudos y pan pita tostado",d5893fa3-ea83-11ed-af8f-a96d6180cd25
Receta Hamburguesa Smash con Salsa Burger,https://www.gourmet.cl/recetas/hamburguesa-smash-con-salsa-burger/,500 gr de carne molida de 15% grasa Sal de Mar Gourmet Pimienta Negra Molida Gourmet Aceite vegetal 6 láminas de queso cheddar 3 panes de papa 3 láminas de lechuga 3 láminas de tomate 2 pickles en láminas Salsa Burger Gourmet Papas fritas,"Mezclar la carne molida con la sal y pimienta y formar bolas de aproximadamente 4 cucharadas de carne molida. Cada hamburguesa va a tener dos de estas. Precalentar una sartén de hierro o plancha de hierro a fuego alto. Agregar una capa delgada de aceite y una de las bolas de carne. Presionar fuertemente con una espátula. Dorar por ese lado un par de minutos y dar la vuelta para repetir por el otro. Repetir con todas las hamburguesas. Al darle la vuelta, poner encima una lámina de queso cheddar. Tostar el pan de papa y poner sobre la base salsa Burger, lechuga, tomate y dos de las hamburguesas. Encima poner pickles y también agregar salsa Burger a la tapa del pan. Servir con papas fritas.",d5893fa4-ea83-11ed-9972-a96d6180cd25
