url,title,ingredients,steps
https://www.recetasnestle.com.co/recetas/arroz-mixto,Receta de Arroz mixto para el almuerzo,"   2 cucharadas aceite de canola (28 g)      1/4 de libra de carne de cerdo cortada en cubos (125 g)      1/4 de libra de carne de res cortada en cubos medianos (125 g)      1/4 de libra de pechuga de pollo sin piel y sin hueso cortada en cubos medianos (125 g)      1 chorizo mediano cortado en rodajas (60 g)      1 sobre de RAPI GUISO MAGGI®(10 g)      2 tallos de cebolla larga (la parte verde) finamente picada (30 g)      ½ pimentón rojo sin semillas, finamente picado (37 g)      2 tomates bien rojos sin piel y sin semillas, finamente picados (246 g)      2 ½ tazas de agua (625 ml)      1 ½ tazas de arroz (300 g)      2 papas pastusas con cáscara, cortadas en cubos (250 g)      4 cucharadas de aceite De Girasol (60 g)      1 plátano maduro (500 g)  ","    1.  En una olla de fondo alto calienta el aceite por 2 minutos, sofríe la carne de cerdo hasta que esté dorada, con una cuchara retira la carne de cerdo para sofreír la carne de res, así hasta terminar de sofreír todas las carnes incluyendo el chorizo. Retira las carnes y déjalas en un tazón hasta el momento de usar.                  2.  En la misma olla sofríe la cebolla, el pimentón, las arvejas y el tomate; añade el sobre de RAPI GUISO MAGGI®, las carnes del tazón y el agua. Cocina hasta que el agua hierva, adiciona el arroz y con una cuchara mezcla bien todos los ingredientes. Cuando el líquido del arroz esté seco  tapa la olla, baja el fuego al mínimo y deja cocinar por 5 minutos o hasta que el arroz este en su punto.                  3.  En una sartén pon 4 cucharadas de aceite, lleva al fuego y deja calentar por 3 minutos, vierte los cubos de plátano maduro y deja dorar por 5 minutos o hasta que estén dorados y cocidos. retira del aceite y reserva para servir con el arroz mixto.                  4.  Sirve el Arroz mixto en 4 partes iguales y pon sobre ellos los cubos de plátano dorados. Acompáñalo con una rica ensalada de aguacate.             "
https://www.recetasnestle.com.co/recetas/arroz-cubano,Receta casera de Arroz cubano,   2 cucharadas de aceite (28 g)      1 taza de zanahoria picada en cubos finos (156 g)      1/2 cebolla cebolla blanca cortada en cubos (80 g)      1/2 tallo de apio cortado en cubos (50 g)      1 taza de pimentón rojo cortado en cubos (90 g)      4 filetes de pechuga de pollo cortados en cubos (400 g)      1/4 de libra de lomo cerdo cortado en cubos (125 g)      1/2 taza de frijol negro cocido (120 g)      1/4 de libra de lomo de res cortado en cubos (125 g)      2 sobres para ARROZ CON POLLO MAGGI® (18 g)      1 taza de arroz (225 g)      1 plátano maduro cortado en cubos y frito (400 g)      1 hoja de laurel fresco (1 g)  ,"    1.  En una sartén calentar las cucharadas de aceite por 2 minutos a fuego medio, vierte el pollo, saltea por 3 minutos y retira de la sartén, luego vierte la carne de cerdo, saltea por 3 minutos y retira del sartén. Por último, vierte la carne de res y saltea por 3 minutos. Deja la sartén en el fuego para seguir con el siguiente paso.                  2.  Continua con el salteado de los vegetales en la misma sartén donde salteaste las carnes. Pon la zanahoria, la cebolla, el apio, el apio y saltea todo sin dejar de revolver por 3 minutos.                  3.  Vierte al salteado de los vegetales, el arroz, los frijoles precocidos, las carnes salteadas, el contenido del sobre ARROZ CON POLLO MAGGI®, la hoja de laurel y el agua caliente, revuelve bien y deja cocinar por 10 minutos o hasta que se evapore todo el líquido. Pasado este tiempo pon a fuego medio y tapa, deja cocinar por 10 minutos o hasta que el arroz en su punto.                  4.  Pon los cubos de plátano frito al arroz, mezcla bien, retira la hoja de laurel  y sirve tu arroz cubano.             "
https://www.recetasnestle.com.co/recetas/arroz-con-coco,Arroz con coco,   1 taza de coco deshidratado sin azúcar (80 g)      1 taza de arroz blanco crudo (250 g)      3 cucharadas de aceite vegetal (42 g)      2 tazas de leche de coco NATURE´S HEART® (480 ml)      1 cucharadita de SAZONADOR NATURISIMO MAGGI® (6 g)      1 cucharadita de tintura de Panela (5 g)  ,"    1.  Pon en una sartén a fuego medio y vierte el coco, saltea por 3 minutos o hasta que este dorado.                  2.  Luego de dorar el coco deshidratado, vierte el arroz, el aceite y con la ayuda de una cuchara revuelve bien. Seguidamente vierte la leche de coco NATURE´S HERTS, el sazonador NATURISÍMO MAGGI® , la tintura de panela y deja cocinar a fuego medio por 10 minutos o hasta que se evapore todo el líquido, luego pon a fuego bajo y deja cocinar por 10 minutos más o hasta que el arroz este totalmente cocido.                  3.  Sirve en partes iguales el arroz  con coco y acompáñalo con una preparación de tu gusto. Podría ser una posta cartagenera, un pescado frito o un estofado de res.             "
https://www.recetasnestle.com.co/recetas/arroz-parbolizado,Arroz parbolizado,   1 taza de arroz parbolizado  (200 g)      3 tazas de agua tibia (750 ml)      2 cucharadas de aceite vegetal (28 ml)      1 cubo de caldo de GALLINA MAGGI®  ,"    1.  Alista la olla donde normalmente prepares el arroz.                  2.  Lleva la olla a fuego medio y añade el aceite, y el arroz, revuelve con una cuchara por 1 minuto. Adiciona el CALDO DE GALLINA MAGGI® y el agua tibia, deja cocinar por 30 minutos o hasta que absorba todo el líquido.                  3.  Cuando absorba la mayoría de líquido, tapa la olla, baja el fuego a mínimo y deja cocinar 40 minutos más o hasta que el arroz abra y este blandito.                  4.  Pasado el tiempo de cocción del arroz, apaga el fuego y sirve.             "
https://www.recetasnestle.com.co/recetas/receta-de-arroz-integral,Delicioso y práctico Arroz Integral,   1 taza de arroz integral (200 g)      3 tazas de agua tibia (750 ml)      2 cucharadas de aceite vegetal (28 ml)      1 cubo de caldo de GALLINA MAGGI®  ,"    1.  Alista la olla donde normalmente prepares el arroz.                  2.  Lleva la olla a fuego medio y añade el aceite, y el arroz, revuelve con una cuchara por 1 minuto. Adiciona el CALDO DE GALLINA MAGGI® y el agua tibia, deja cocinar por 30 minutos o hasta que absorba todo el líquido.                  3.  Cuando absorba la mayoría de líquido, tapa la olla, baja el fuego a mínimo y deja cocinar 40 minutos más o hasta que el arroz abra y este blandito.                  4.  Pasado el tiempo de cocción del arroz, apaga el fuego y sirve.             "
https://www.recetasnestle.com.co/recetas/arroz-chino-con-pollo,Hacer Arroz chino con pollo y salsa de soya,   1 y 1/2  cucharadas de aceite vegetal (21 ml)      1 pimentón rojo pequeño finamente picado (116 g)      1/2 libra de arroz crudo (250 g)      1 sobre de CALDO CON VEGETALES MAGGI® DE LA HUERTA (9 g)      1y ½ tazas de agua      1/2  cuchara de aceite de sésamo (7 g)      1 libra de pechuga de pollo cortada en cubos pequeños y previamente salteada (500 g)      2 tazas de raíces chinas (60 g)      1/2  cucharada de salsa de soja (5 ml)  ,"    1.  Pon una olla donde normalmente preparas el arroz agrega el aceite y lleva a fuego medio; adiciona el pimentón sofríe por unos segundos, añade el arroz, el CALDO CON VEGETALES MAGGI® DE LA HUERTA y el agua. Deja al fuego por 15 minutos o hasta que absorba todo el liquido de cocción, baja el fuego, tapa la olla y cocina por 30 minutos o hasta que el arroz abra y este bien cocido.                  2.  En una sartén agrega el aceite de sésamo y calienta a fuego medio por 30 segundos, adiciona los trozos de pollo y sofríe por 5 minutos o hasta que estén bien dorados y cocidos, adiciona las raíces chinas y saltea por 1 minuto mas; por último añade la salsa de soya, revuelve y retira del fuego.                  3.  Agregar el pollo y las raíces chinas al arroz y mezcla hasta integrar bien.                  4.  Sirve una el arroz y acompaña con una porción de ensalada de tu gusto.             "
https://www.recetasnestle.com.co/recetas/arroz-con-carne-molida,Arroz con carne molida,"   2 y 1/2 cucharadas de aceite vegetal (35 ml)      1/2  cebolla cabezona roja, pequeña finamente picada (40 g)      1 zanahoria, rallada (50 g)      1/2  taza de arveja verde fresca (72 g)      1 pimentón  amarillo, sin semillas y cortado en cubos pequeños (116 g)      1 taza de arroz crudo (200 g)      1 y 1/2  tazas de agua      1 sobre de CALDO CON COSTILLA MAGGI® Desmenuzado      1/2 libra de carne molida magra (250 g)      1/4 de cucharadita de SAZONADOR NATURISIMO MAGGI® (1.5 g)  ","    1.  En una olla donde normalmente prepares el arroz, calentar 2 cucharadas de aceite a fuego medio. adiciona la cebolla, la zanahoria, la arveja y el pimentón sofríe por 1 minuto.                  2.  Adiciona el arroz, revuelve, por último añade el agua y el CALDO CON COSTILLA MAGGI®. Cocina hasta que se absorba todo el líquido. tapa la olla, baja el fuego y deja por 30 minutos o hasta que el arroz abra y los vegetales estén bien cocidos.                  3.  Calienta una sartén a fuego medio con la 1/2 cucharada de aceite restante, agrega la carne molida y el SAZONADOR NATURISIMO MAGGI®, cocina por 5 minutos o hasta que la carne este cocida.                  4.  Adiciona la carne molida preparada al arroz con los vegetales, revuelve con cuidado y apaga el fuego.                  5.  Sirve el arroz con carne molida en porciones iguales.             "
https://www.recetasnestle.com.co/recetas/arroz-con-raices-chinas,Arroz con raíces chinas con salsa de soja,   1 y 1/2  cucharadas de aceite vegetal (21 ml)      1 pimentón rojo pequeño finamente picado (116 g)      1/2 libra de arroz crudo (250 g)      1 sobre de CALDO CON VEGETALES MAGGI® DE LA HUERTA (9 g)      1 y ½ tazas de agua      1/2  cuchara de aceite de sésamo (7 g)      2 tazas de raíces chinas (60 g)      1/2  cucharada de salsa de soja (5 ml)  ,"    1.  Pon una olla donde normalmente preparas el arroz agrega el aceite y lleva a fuego medio; adiciona el pimentón sofríe por unos segundos, añade el arroz, el CALDO CON VEGETALES MAGGI® DE LA HUERTA y el agua. Deja al fuego por 15 minutos o hasta que absorba todo el liquido de cocción, baja el fuego, tapa la olla y cocina por 30 minutos o hasta que el arroz abra y este bien cocido.                  2.  En una sartén agrega el aceite de sésamo y calienta a fuego medio por 30 segundos, adiciona las raíces chinas y saltea por 1 minuto; por último añade la salsa de soya, revuelve y retira del fuego.                  3.  Agregar las raíces chinas al arroz y mezcla hasta integrar bien.                  4.  Sirve una el arroz y acompaña con una porción de proteína de tu gusto.             "
https://www.recetasnestle.com.co/recetas/arroz-mexicano,Prepara Arroz mexicano con esta receta,"   1 sachet de IDEAS PARA ARROZ MEXICANO MAGGI® (85 g)      1 taza de pechuga de pollo sin piel, cortada en cubos pequeños (300 g)      1/4 de taza de arveja fresa desgranada (50 g)      1/4 de taza de zanahoria, pelada y cortada en cubos pequeños (50 g)      1/4 de taza de maíz mazorca (50 g)      1 taza de arroz crudo (200 g)      1y 3/4 tazas de agua  (450 ml)  ","    1.  En una olla donde normalmente preparas el arroz, agrega el contenido del sachet IDEAS PARA ARROZ MEXICANO MAGGI®, adiciona la pechuga de pollo y cocina por dos minutos sin dejar de revolver.                  2.  Añade a la olla la arveja, el maíz, y la zanahoria, cocina por 1 minuto mas hasta integrar bien.                  3.  Por último, agrega el arroz y el agua, revuelve 1 vez mas para integrar, deja hasta que se absorba el liquido, baja el fuego, tapa la olla y cocina por 20 a 25 minutos o hasta que el arroz abra y este blandito.             "
https://www.recetasnestle.com.co/recetas/arroz-navideno-cremoso-con-esparragos,Arroz navideño cremoso con espárragos,"   1 cucharada de aceite vegetal (14 g)      1 taza de espárragos cortados en tres partes cada uno (200 g)      1 1/2  taza de arroz blanco, cocido (300 g)      Ralladura de 1 limón (10 g)      1 cucharada de cilantro finamente picado (10 g)      8 cucharadas de CREMA DE LECHE NESTLÉ® (120 g)  ","    1.  En una sartén mediana calienta el aceite a fuego alto, añade los espárragos y sofríe por 1 minuto.                  2.  Añade el arroz a la sartén, revuelve para integrar y deja al fuego por 2 minutos.                  3.  Adiciona la ralladura del limón, el cilantro y la CREMA DE LECHE NESTLÉ® , integra bien.                  4.  Sirve el arroz cremoso de espárragos y disfruta             "
