url,title,date,ingredients,steps
https://www.recetas.com/spatzles-de-espinacas.html,Spatzles de espinacas,,"250 gr. de espinaca 2 cdas de aceite de oliva virgen extra 250 gr. de harina 3 huevos 100 ml de agua 1pizca de nuez moscada Sal

"," Spatzles de espinacas

Lavar y limpiar las espinacas. Cocinarlas en una sartén con un par de cucharadas de aceite y mezclar bien hasta que estén completamente marchitas.

Licuar las espinacas y dejarlas enfriar por completo.



Mezclar las espinacas con los huevos, el agua y la harina tamizada hasta obtener una mezcla homogénea.

Condimentar con sal, pimienta y nuez moscada.

herramienta spatzle

Hervir el agua y verter la mezcla pasándola por la herramienta para formar los spatzle, el Spätzlehobel.

Hervir durante dos minutos, luego levantar suavemente los spatzle con una espumadera y verterlas en la sartén con la salsa elegida."
https://www.recetas.com/pastel-opera.html,Pastel Ópera,,"Para el espejo : 100 gr. de ganache 75 gr. de colorante rojo 15 gr. de glucosa

Para la ganache : 300 cc. de crema 300 gr. de chocolate cobertura Esencia de vainilla

Para el bizcocho de chocolate : 4 huevos 120 gr. de azúcar 100 gr. de harina 20 gr. de cacao

Para la crema de manteca : 280 gr. de azúcar 50 cc. de agua 4 claras 225 gr. de manteca 25 gr. de extracto de café

"," Pastel Ópera

Colocar dentro de una cacerola el azúcar junto con el agua y llevar al fuego hasta obtener un almíbar de 118º C. Verter en forma de hilo sobre las claras montadas. Batir hasta obtener un merengue italiano. Adicionar la manteca a punto pomada de a poco mientras se continúa batiendo. Por último, agregar el extracto de café. Reservar la crema de manteca.

Colocar los huevos junto con el azúcar en un bol y llevar a baño María, batir hasta que el azúcar se disuelva por completo. Retirar y continuar batiendo hasta obtener punto letra. Tamizar la harina junto con el cacao e integrar con movimientos envolventes. Colocar dentro de una placa de 30 cm x 40 cm enmantecada y enharinada. Cocinar 25 minutos aproximadamente, en horno a 180º C. Retirar el bizcocho y dejar enfriar. Cortar en cuatro capas.

Colocar la crema dentro de una cacerola y llevar al fuego hasta que rompa hervor. Verterla luego sobre el chocolate picado dentro de un bol. Mezclar hasta disolver el chocolate. Colocar la esencia de vainilla, tapar con film en contacto y dejar enfriar la ganache en la heladera hasta que tome consistencia.

Para realizar el espejo, colocar en una cacerolita la ganache con el colorante y la glucosa, calentar para integrar bien.

Armado: Intercalar sucesivamente capas de bizcocho, ganache y crema de manteca. Una vez armado, glasear con el espejo, dejar enfriar y retirar los bordes para presentar cortada en porciones."
https://www.recetas.com/spatzles-de-espinaca-con-panceta-crujiente.html,Spatzles de espinaca con panceta crujiente,,," Spatzles de espinaca con panceta crujiente

Tradicionalmente, los spatzles, los típicos ñoquis tiroleses, se preparan con la clásica pasta de huevo, pero esta versión también es muy popular.





Hervir las espinacas durante 5-6 minutos en agua hirviendo con sal, luego escurrirlas y dejar enfriar. Transferir la espinaca fría a la procesadora con 100 ml de agua y los huevos. Procesar todo y luego verter la crema en un tazón grande. Agregar la harina tamizada y comenzar a amasar, asegurándose de agregar el resto del agua si es necesario. Amasar para obtener una masa compacta.

Dorar las rebanadas de tocino en una sartén a fuego medio, luego frotarlas con papel de cocina para absorber el exceso de grasa.

Picar la panceta y ponerla en una sartén junto con la nata. Llevar a hervor una olla de agua para cocinar el spatzle. Cuando alcance el punto de ebullición, agregar agua y, si se dispone, formar los spatzle con la herramienta especial, haciendo que caigan al agua. Si no, usar un rallador con agujeros grandes.

Tan pronto como los ñoquis suban a la superficie, levantarlos con una espumadera y volcarlos directamente en la sartén con la nata y la panceta. Servir, sazonando con paprika a gust.

Algunas ideas más: si se prefiere, se puede condimentar los spatzle con mantequilla derretida, salvia y parmesano. Se pueden guardar en el refrigerador hasta 2 días después de la cocción."
https://www.recetas.com/torta-vienesa.html,Torta vienesa,,"Para la cubierta : 1 clara 100 gr. de azúcar 12 almendras enteras para decorar

Para la crema : 100 gr. de mantequilla blanda 100 gr. de azúcar 1 huevo (la yema) 1 vasito de coñac

50 gr. de almendras molidas 200 gr. de azúcar 100 gr. de harina Cáscara de 1/2 limón rallada 250 gr. de mantequilla blanda 100 gr. de galletas dulces 1 cda. de cacao 1 vasito de ron 100 gr. de chocolate

"," Torta vienesa

Trabajar cuatro yemas de huevo con 200 gr. de azúcar y 250 gr. de mantequilla blanda hasta espumar, a continuación, añadir las almendras molidas, las galletas reducidas a polvo y el cacao, un vasito de ron, la ralladura de limón, 100 gr. de harina y, finalmente, con mucha suavidad cuatro claras de huevo batidas a nieve.

Enmantecar y enharinar un molde redondo, verter la mezcla y hornear a 180 ° C durante aproximadamente 50 minutos.

Mientras tanto, en un tazón, batir hasta espumar, 100 gr. de mantequilla 100 gr. de azúcar y la yema del huevo, luego incorporar, de a poco, una copita de coñac, mantener la crema en lugar fresco.

Una vez cocido el bizcocho, dejar enfriar, desmoldar y cortar por la mitad, obteniendo dos discos. Apoyar el primer disco sobre un cartón rígido, cubrir con la crema de coñac y apoyar sobre éste el segundo disco de masa.

Para la cubierta: batir la clara de huevo restante y agregar de a poco a la vez, 80 gr. de azúcar.

Fundir el chocolate negro picado y con 20 gr. de azúcar en un baño de Maria. Retirar el chocolate del calor y cuando esté tibio ir agregándolo a la clara mezclando rápidamente.

Verter este glaseado sobre la torta y decorar con las almendras enteras blanqueadas. Llevar a la mesa."
https://www.recetas.com/torta-sacher-vegana.html,Torta Sacher vegana,,"200 gr. de harina 20 gr. de cacao 180 gr. de azúcar 10 gr. de polvo de hornear 5.3 dl de leche de soya 80 gr. de aceite de girasol 80 gr. de almidón de maíz 300 gr. de mermelada de albaricoque 500 gr. de chocolate negro

"," Torta Sacher vegana

En un bol mezclar la harina con el azúcar, el polvo de hornear, el cacao y el almidón de maíz.

En otro recipiente, mezclar 2,8 dl de leche de soja y el aceite. Verter los ingredientes líquidos en el recipiente de los ingredientes en polvo y mezclar.

Transferir la mezcla a un molde para hornear (alrededor de 22 cm de diámetro) y cocer en horno a 170 grados durante 30 minutos.

Para el glaseado: calentar a temperatura baja 2,5 dl de leche de soja a fuego lento hasta que hierva y apagar el fuego. Picar finamente el chocolate y colocar en un tazón.

Verter la leche de soja hirviendo, de una vez, y esperar 30 segundos antes de trabajarlo, de modo que la mezcla llegue a la temperatura correcta (si se tiene un termómetro, es aproximadamente 50 °). Con una cuchara, mezclar la preparación desde el centro, lentamente, hasta que los ingredientes queden bien amalgamados.

Cortar el bizcocho, ya frio, en 2 capas. Extender sobre la capa inferior del bizcocho 2/3 de mermelada, cubrir con el disco restante.

Extender el resto de la mermelada y, por encima, el glaseado de chocolate.



Decorar, si se quiere, con hilos de glasé, ramas de canela, anís estrellado, azúcar y albaricoques secos."
https://www.recetas.com/galletas-navidenas-tirolesas.html,Galletas navideñas tirolesas,,"125 gr. de mantequilla 1 pizca de sal 100 gr. de azúcar 250 gr. de harina 1 huevo 1 cdta. de polvo de hornear 1 cdta. de esencia de vainilla Mermelada de fresas o albaricoques Azúcar glas

"," Galletas navideñas tirolesas

Mezclar la harina, el polvo para hornear, el azúcar, la vainilla, la sal, la mantequilla ablandada en trozos pequeños y el huevo, hasta tener una mezcla suave y homogénea, luego envolver con papel de plástico transparente y ponerlo en la nevera durante una hora.

A continuación, estirar la masa de un espesor de unos 3 mm y cortar con una taza o un vaso, de forma circular, de un diámetro de aproximadamente 5 cm.

Con un cotapastas pequeño, practicar agujeros u otras formas en el medio de las galletas. Esta será la parte superior.

Colocar las galletas en una bandeja de horno cubierta con papel engrasado y hornear a 180° C durante unos 20 minutos, deben quedar apenas doradas, por lo que si nota que tienden a oscurecerse demasiado, sacarlas y disminuir la temperatura del horno.

Recién horneadas, y mientras todavía estén calientes, unirlas de a dos, poniendo la mitad de una cucharadita de mermelada en el centro, cubrir con una de las galletas agujereadas, presionar y colocar en una bandeja.

Una vez armadas todas las galletas, espolvorear con azúcar glas.

Nota: Se pueden rellenar con cualquier mermelada, lo importante es que no contenga trozos de fruta porque las galletas no cerrarían bien."
https://www.recetas.com/strudel-de-manzana.html,Strudel de manzana,,"150 gr. de mantequilla derretida 1 y 1/4 kg. de manzanas ácidas peladas y cortadas 100 gr. de pasas de uva sin semilla 8 cdas. de bizcochos molidos 200 gr. de azúcar Ralladura y jugo de 1/2 limón Canela 100 gr. de nueces

"," Strudel de manzana

Estirar la masa de strudel, pincelarla con la mitad de la mantequilla y espolvorear con la mitad de los bizcochos molidos y el azúcar.

En un bol mezclar las manzanas peladas y cortadas en cubitos con las pasas remojadas y escurridas, la otra mitad de azúcar y bizcochos, el jugo de limón con su ralladura y las nueces picadas groseramente.

Poner todo el relleno preparado sobre una franja de la masa y envolver ayudándose con el mantel; poner sobre asadera enmantequillada y pintar el strudel con mantequilla derretida. Colocar en horno precalentado y hornear al principio, fuerte y luego bajar a mediano, hasta que la masa se vea dorada.

Sacar, espolvorear con azúcar impalpable y comer tibio."
https://www.recetas.com/wiener-melange.html,Wiener Melange,,"2 tazas de café espresso o café bien cargado 2 yemas de huevo 4 cdas. de azúcar morena Nata al gusto Cacao en polvo

"," Wiener Melange

Batir las yemas de huevo con el azúcar morena hasta que se vuelva espumosa (como un ponche de huevo).

Verter la mezcla en un vaso alto y agregar el café caliente y el azúcar.

Agregar la nata previamente montada, teniendo cuidado de no mezclar los líquidos.

Adorne el café vienés con cacao en polvo (o virutas de chocolate negro)."
https://www.recetas.com/masitas-de-linz.html,Masitas de Linz,,"100 gr. de mantequilla 150 gr. de harina 50 gr. de almendras molidas 100 gr. de azúcar 1 huevo 1 o 2 cdas. de ron Mermelada de frambuesa Jalea de frambuesa

"," Masitas de Linz

Desmigajar la mantequilla con la harina, las almendras y el azúcar.

Agregar el huevo y 1 o 2 cdas. como para unir y formar una masa tierna. Dejar reposar 1/2 hora en la heladera.



Dividir la masa en dos partes, estirarlas y cortar discos en número par. Retirar el centro de la mitad de ellos, utilizando un cortapastas más pequeño. Disponer sobre placas enmantequilladas y hornear. Dejar enfriar.

Unir la masita entera con la ahuecada, a modo de sándwich, adhiriéndolas con un poco de mermelada de frambuesa. Espolvorear con azúcar impalpable.

Rellenar el hueco con un poco de jalea de frambuesa."
https://www.recetas.com/arrollado-magyar.html,Arrollado Magyar,,,
