url,title,date,ingredients,steps
https://www.recetas.com/receta-de-Mantecados-6244.html,Mantecados,,"Ingredientes 300 gr. de mantequilla

300 gr. de azúcar

700 gr. de harina

100 gr. de fécula de maíz

5 a 6 huevos

4 cdas. de agua

30 gr. de polvo de hornear

"," Mantecados

Batir la manteca con el azúcar hasta que esté bien cremosa, incorporar los huevos, emulsionar un poco e incorporar todos los ingredientes secos.

Mezclar hasta obtener cierta resistencia (no debe ser muy seca, más bien tipo queque).

Ir colocando la preparación en moldes de papel tipo tartaletas hasta completar más o menos las 3/4 partes de su capacidad. Espolvorear con azúcar y llevar al horno de 15 a 20 minutos, hasta que estén ligeramente dorados."
https://www.recetas.com/receta-de-Costillitas-de-cerdo-a-la-charcutiere-1714.html,Costillitas de cerdo a la charcutiere,,"4 costillitas de cerdo Aceite 3 echalotes 2 dientes de ajo 1 cebolla 100 cm3 de vino blanco 100 cm3 de caldo 1/2 frasco de pepinillos Perejil Mostaza 2 zuchinis torneados Aceite de oliva 2 zanahorias cortadas en juliana Sal Pimienta

"," Costillitas de cerdo a la charcutiere

Cortar la zanahoria en juliana, tornear los zuchinis.

Saltear las costillitas en aceite de oliva.

Filetear las echalotes, picar el ajo, cicelar las cebollas y dorar; agregar las costillitas y el vino blanco (la preparación deberá reducirse a la mitad), luego, agregar el caldo y cocinar 5 minutos más.

Colocar los pepinos (previamente fileteados) y el perejil (previamente picado), salpimentar e incorporar la mostaza.

Blanquear 1 minuto los zuchinis y saltearlos con aceite de oliva, sal, pimienta y curry, hacer lo mismo con las zanahorias (pero sin blanquear).

Servir las costillitas, acompañadas de la guarnición de zucchini."
https://www.recetas.com/receta-de-Arvejas-en-la-montana-1703.html,Arvejas en la montaña,,"16 fetas de panceta ahumada cebolla picada1 lata de arvejas1 lata de tomates pelados4 huevos

"," Arvejas en la montaña

Dorar las fetas de panceta ahumada, reservar y rehogar la cebolla -previamente picada-. Agregar las arvejas y los tomates pelados cortados en tiritas.

Preparar un revuelto con los huevos y servir 1 porción en cada plato, acompañado con la panceta dorada y las arvejas salteadas."
https://www.recetas.com/receta-de-Pollo-con-alcaparras-1510.html,Pollo con alcaparras,,"2 pechugas de pollo 1/2 frasco de alcaparras Aceite vegetalSal y pimienta al gustoVegetales a su elección

"," Pollo con alcaparras

Limpiar las pechugas, salpimentar y reservar

Limpiar y cortar los vegetales y disponerlos en una fuente de horno, con dos cucharadas de aceite. Salpimentar y agregar las pechugas y las alcaparras.

Tapar la fuente con papel de aluminio y hornear de 30 a 40 minutos.

Servir el pollo con los vegetales elegidos."
https://www.recetas.com/receta-de-Aji-de-lengua-1512.html,Ají de lengua,,"1 lengua de vaca (1 kg. más o menos)1/2 taza de aceite2 tazas cebolla blanca picada en bastones delgados1 taza tomate, pelado y picado finamente1/2 taza ají colorado molido1/2 taza perejil , picado finamente1/2 cdta. de comino molido1 cdta. de orégano1/2 cdta. de pimienta molida1 taza arvejas verdes4 tazas de caldo o aguaSal

"," Ají de lengua

Poner a hervir la lengua en abundante agua. Una vez lista, pelarla y cortarla.

Freír la cebolla y luego agregar el tomate, el ají, las arvejas y los condimentos. Dejar cocinar durante 1 hora.

Agregar la lengua y las arvejas, y seguir cocinando por media hora más.

"
https://www.recetas.com/receta-de-Croquetas-de-mandioca-1513.html,Croquetas de mandioca,,"1 kg. de mandioca200 gr. de camarón pequeño salado1/2 cebolla dorada1 yema300 gr. de harina de trigo1/4 de cdta. de curry2 cdas. de queso parmesano o provolone rallado2 huevosPan ralladoAceite para freír

"," Croquetas de mandioca

Hervir la mandioca y una vez hecha, dejar enfriar.

Formar un puré y añadir la yema de huevo, la cebolla, el queso, el curry, la harina y los camarones.

Dejar enfriar muy bien y luego formar las croquetas, pasándolas por huevo y pan rallado.

Freirlas en abundante aceite caliente y escurrirlas sobre papel absorbente."
https://www.recetas.com/receta-de-Cazuela-de-pollo-1499.html,Cazuela de pollo,,"1 pollo3 papas1/2 taza de arvejas2 zanahorias2 cebollas2 dientes de ajo1/2 pimentón Pimienta negra1/2 taza de uvas pasas2 plátanos maduros25 hojas de trigo (especialiadad de santa cruz)

"," Cazuela de pollo

En una olla con agua, hervir el pollo deshuesado y trozado, junto con las zanahorias y las arvejas

Freír el ajo y la cebolla por separado y agregarlo a la cocción anterior, junto con el plátano y las pasas.

Incorporar por último las papas y las hojas de trigo. Condimentar y servir."
https://www.recetas.com/receta-de-Chairo-paceno-1500.html,Chairo paceño,,"4 papas cortadas en juliana6 chuños (papa deshidratada) machucados2 zanahorias cortadas en juliana nabo entero1/2 taza de trigo1/2 kg. de carne de pecho de res picada1/2 kg. de hueso de res1/2 cebolla sin picar2 cdas. de perejil picado1 cda. de apio picado1 cda. de yerbabuena picada1 y 1/2 lt. de aguaSal y pimienta al gusto

"," Chairo paceño

En una olla bien grande, colocar la carne de res y su hueso, las papas y las papas deshidratadas, las zanahorias, la cebolla, el apio, el nabo y la taza de trigo.

Cocinar todo durante 1 hora aproximadamente.

Luego, añadir las hierbas y dejar unos minutos en el fuego hasta que todo esté bien hecho."
https://www.recetas.com/receta-de-Llajua-1501.html,Llajua,,"1 tomate grande2 Locotos o ajíes verdes o chiles sin semillas2 ramitas de perejil 1 ó 2 ramitas de quilquiña (epazote)1 ramita de yerbabuena4 cdas. de agua hervidaSal al gusto

"," Llajua

Colocar todos los ingredientes en un bol o un recipiente fuerte y machacar.



Formar una salsa bien espesa.



Condimentar a gusto y guardar en frascos de vidrio con tapa, en la heladera."
https://www.recetas.com/receta-de-Ahogado-1502.html,Ahogado,,,
