url,title,date,ingredients,steps
https://www.recetas.com/gallo-pinto.html,Gallo pinto,,," Gallo pinto

Pelar, lavar y picar finamente la cebolla. Verter el aceite vegetal en una olla grande (mantener a un lado una cuchara), a continuación, agregar la cebolla picada.



Añadir la mitad de cantidad de agua y dejar rehogar la cebolla a fuego lento. Entonces agregar el arroz y dejar dorar durante unos minutos.



Escurrir el líquido de conservación de los porotos rojos y agregar 125 gramos al arroz, junto con la cantidad restante de agua.



Tapar y cocer a fuego muy lento durante al menos 15-20 minutos. En un pequeño tazón condimentar los frijoles con ajo, una cucharadita de aceite de maís y sal.



Una vez que el arroz esté listo, apagar el fuego y abrirlo con un tenedor; a continuación, añadir los frijoles; revolver con una espátula y pasarlo a un plato o fuente. Se lo puede disfrutar solo o acompañado con huevos, pollo, pescado o tortillas.

Conservación: Mantenga el gallo pinto en el refrigerador en un recipiente cerrado hermético durante 1-2 días.

No se recomienda la congelación."
https://www.recetas.com/receta-de-Pollo-en-salsa-de-palmito-y-queso-8383.html,Pollo en salsa de palmito y queso,,"1 pechuga de pollo marinada al gusto 2 cdas. de mantequilla 1 oz de brandy 3 oz de crema de leche 1 cda. de cebolla finamente picada 1/2 diente de ajo finamente picado 75 gr.s de palmito enlatado escurrido 50 grs de queso mozzarela rallado 30 grs de queso Gorgonzola

"," Pollo en salsa de palmito y queso

Cocinar la pechuga de pollo en 1cda. de mantequilla y flamear con el brandy.

En otra sartén cocinar con la otra cda. de mentequilla, la cebolla, el ajo y el palmito; cuando esté dorando lincorporar la crema y dejars reducir un poco.

Añadir luego ulos quesos y mezclar hasta que la mozzarela esté derretido y el gorgonzola disuelto.

Servir la pechuga de pollo en un plato y bañar con la salsa."
https://www.recetas.com/receta-de-Dip-de-cebolla-6888.html,Dip de cebolla,,"200 gr. de queso crema cebolla mediana picada finamente1 cda. de jugo de limón Sal y pimienta al gusto1 pizca de comino

"," Dip de cebolla

Batir el queso blanco en un un tazón, agregándole la cebolla picada o rallada y el jugo de limón.

Condimentar con sal y pimienta a gusto, más una pizca de comino (opcional).

Mantener refrigerado hasta el momento de utilizar."
https://www.recetas.com/receta-de-Cerdo-en-salsa-de-manzana-6884.html,Cerdo en salsa de manzana,,"1/2 kg. de posta de cerdo manzanas peladas y partidas en tiras1 cda. de romero fresco2 tazas de vino blanco1 cda. de mantequilla1 taza de crema dulce1 cda. de aceite2 cdtas. de jugo de limón1 cdta. de fécula de maíz

"," Cerdo en salsa de manzana

Coloque en una sartén las manzanas, añada el vino y el romero, deje hervir. Cocine hasta que las manzanas estén suaves. Cuele y reserve el caldo.

En una sartén, caliente la mantequilla y el aceite y dore muy bien los la posta de cerdo cortada en bistec. Agregue el caldo y deje hervir tapado a fuego medio hasta que la carne esté suave. Saque los bistec y apártelos.

En la misma sartén en que doró la carne, agregue sal y pimienta al gusto y la crema dulce. Mezcle muy bien y deje cocinar, sin dejar de mover hasta que hierva. Disuelva la fécula de maíz en el jugo de limón, agregue a la salsa sin dejar de mover, hasta que hierva de nuevo y sazone al gusto.

Coloque la carne en el plato de servir, bañe con la salsa y decore con las manzanas cortadas en tiritas y romero fresco."
https://www.recetas.com/receta-de-Dip-de-sardinas-6772.html,Dip de sardinas,,"Ingredientes 1 cda. de cebolla

1 cda. de apio

1 cda. de chile dulce

100 gr. de queso crema

Pimienta

Sal



"," Dip de sardinas

Sofreír la cebolla, apio y chile dulce, todo picado finamente. Añadir la sal y pimienta a gusto.

Mezclar el contenido de una lata de sardinas sin la salsa, con el queso crema y el sofrito.

Servir con rodajas de pan tostado."
https://www.recetas.com/receta-de-Olla-de-Carne-6708.html,Olla de Carne,,"4 lt. de agua1/2 kg. de carne posta de res1/2 kg. de carne costilla de res2 ramitas de apio1 hoja de laurel10 hojitas de culantro coyote1 kg. de zanahoria1/2 kg. de yuca3 plátanos verdes1/2 kg. de papa1/2 kg. de tiquizque5 elotes2 sobres de sazonador de resSal

"," Olla de Carne

Ponga el agua en una olla previamente colocada sobre el fuego. Agregue sal al gusto. Corte la carne en trozos y agréguela a la olla. Deje cocinar a fuego moderado por 40 minutos.

Pele y lave las verduras. Corte las verduras en trozos y agréguelas a la olla en orden de dureza: zanahoria, elote, plátano verde y la yuca. Dejar reposar cinco minutos antes de agregar las demás verduras.

Agregue el tiquizque, la papa y el camote. Tape la olla y déjela durante 20 minutos en fuego moderado, hasta lograr la consistencia en las verduras.

Agregue el apio, el culantro, la hoja de laurel, deje cocinar 15 minutos y luego reposar un poco. Servir caliente con arroz."
https://www.recetas.com/receta-de-Picadillo-de-papaya-6695.html,Picadillo de papaya,,"2 papayas verdes500 gr. de carne de cerdo molida1 chile dulce2 dientes de ajo1 rama de apio1 rollo de culantro1 sobre de consomé de pollo1/2 barra de mantequilla1/2 cda. de aceite1/2 cdita. de achiote1/4 de cda. de sal1 cda. de salsa inglesa

"," Picadillo de papaya

Pelar y picar la papaya en cuadritos muy finos, y cocinarla en agua. Cuando esté suave, escurrirla eliminándo todo el líquido.

En una sartén caliente, agregar el aceite, el achiote, los olores picados finamente, el consomé de pollo, la sal, la salsa inglesa y la carne molida y cocinar todo junto por 10 minutos.

Agregar la mantequilla y luego la papaya. Mezcar bien y servir.

"
https://www.recetas.com/receta-de-Tamal-de-maicena-6685.html,Tamal de maicena,,"500 gr. de maicena500 gr. de azúcar250 gr. de queso rallado250 gr. de mantequilla3 tazas de leche fresca3 tazas de leche agria3 tazas de agua1 cda. de sal

"," Tamal de maicena

Mezclar las leches y el agua en una olla. Agregar el azúcar, la maicena, el queso rallado, la mantequilla y la sal. Cocinar a fuego lento, moviendo constantemente con una cuchara de madera hasta que hierva bien.

Vaciar la mezcla en una cazuela o un molde engrasado y hornear. El tamal se dora cuando se le hace una capita un poco oscura, pero no tiene que quedar totalmente dorado.

Al enfriarse, se endurece, y una vez frío se puede cortar en cuadritos."
https://www.recetas.com/receta-de-Hot-Dogs-a-lo-tico-6556.html,Hot Dogs a lo tico,,," Hot Dogs a lo tico

Picar la cebolla y el pepino en pedacitos muy chiquititos. Luego a cada ingrediente hecharle la pepinesa.

Calentar las salchichas, armar el hot dog, agregar los ingredientes reservados y si se quiere, hechar mayonesa y salsa de tomate."
https://www.recetas.com/receta-de-Pure-de-papas-6539.html,Puré de papas,,"1 kg. de papas2 cdas. de mantequilla a temperatura ambiente1/4 taza de lecheSal y pimienta blanca a gusto

"," Puré de papas

Pele y lave muy bien las papas. Hiérvalas en agua salada hasta que estén lo suficientemente tiernas como para poder triturarlas, aprox. 15 minutos.

Escúrralas y, aún calientes, májelas con la ayuda de un pasapurés u otro utensilio similar. Incorpórele la mantequilla y mezcle a mano. Agregue la leche, la sal y pimienta al gusto, bata hasta que adquiera una consistencia lisa y ligera."
