url,title,date,ingredients,steps
https://www.recetas.com/hamburguesa-a-la-danesa.html,Hamburguesa a la danesa,,"Ingredientes 200 de filetes de

1 tirita de

1 pimiento

200 gr. de pepino

1 cda. de vinagre

Sal

Azúcar

Alguna hierba fresca

1 huevo

Cáscara de limón

1 cdta. de

Jugo de 200 de filetes de merluza o lenguado1 tirita de salmón o arenque ahumado1 pimiento200 gr. de pepino1 cda. de vinagreSalAzúcarAlguna hierba fresca1 huevoCáscara de limón1 cdta. de cebolla picadaJugo de limón

"," Hamburguesa a la danesa Cortar el pepino en rodajas bien finas, aderezarlo con sal, pizca de azúcar y el vinagre, dejarlo así marinando por un rato y después agregarle alguna hierba picada.



Pasar los filetes de pescado y el salmón o arenque por la picadora o molinillo, agregar el huevo (chico), sal, pimienta recién molida, gotas de limón, pizca de la cáscara rallada, así como la cebolla.



Hacer la hamburguesa, apretándola bien y dejarla al frío un rato. Cocinarla en plancha de teflón o parrilla. Servirla con los pepinos."
https://www.recetas.com/receta-de-Sopa-de-pescado-danesa-8351.html,Sopa de pescado danesa,,"Ingredientes 4 pejerreyes frescos cortados en pedazos

1/2 taza de aceite

1 cebolla

3 puerros (la parte blanca)

3 zanahorias

1 cda. de

1 pizca de azafrán

2 It. de caldo de pescado 4 pejerreyes frescos cortados en pedazos1/2 taza de aceite1 cebolla3 puerros (la parte blanca)3 zanahorias1 cda. de perejil picado1 pizca de azafrán2 It. de caldo de pescado

"," Sopa de pescado danesa Fría los trozos de pejerrey en el aceite caliente. Retire. Corte la cebolla en rodajas, pique los puerros; pele y corte en rodajas las zanahorias.



Saltee en el aceite la cebolla, el puerro y las zanahorias. Moje con el caldo y deje cocinar 20 minutos a fuego suave, con la cacerola tapada.



Agregue los trozos de pescado y el perejil. Lleve rápidamente a ebullición, añada el azafrán y sirva."
https://www.recetas.com/receta-de-Mermelada-de-damascos-y-manzanas-7243.html,Mermelada de damascos y manzanas,,"Ingredientes 300 gr. de damascos secos

1 kg. de

1 kg. de 300 gr. de damascos secos1 kg. de manzanas 1 kg. de azúcar

"," Mermelada de damascos y manzanas Enjuague varias veces los damascos, cambiando el agua cada vez. Déjelos en remojo hasta el día siguiente.



Lave las manzanas, cortándolas en trozos sin quitarles ni la piel ni las semillas. Vierta un poco del agua de remojo de los damascos en la olla para hacer dulce y ponga en ella los damascos y las manzanas.



Deje hervir la fruta bajo tapa hasta que esté tierna. Pásela aún caliente por un colador y vuelva el puré resultante a la olla, dejándolo hervir 30 minutos aproximadamente, hasta lograr consistencia de mermelada.



Agregue el azúcar al final, cuando la mermelada esté lista. Póngala en frascos previamente hervidos, llenándolos hasta el tope y cerrándolos enseguida."
https://www.recetas.com/receta-de-Rugbrod-7244.html,Rugbrod,,"Ingredientes 50 gr. de

2 cdas. de agua tibia

60 gr. de

1 cdta. bien llena de sal

450 gr. de harina integral

150 gr. de

1/4 lt. de 50 gr. de levadura de cerveza2 cdas. de agua tibia60 gr. de margarina 1 cdta. bien llena de sal450 gr. de harina integral150 gr. de harina común1/4 lt. de leche tibia

"," Rugbrod Disolver la levadura de cerveza en el agua tibia agregándole la sal. Integrar los 60 gr. de margarina, batiendo suavemente.



Mezclar aparte la harina integral con la harina común. Agregar la mezcla al batido, alternando con la leche.



Una vez formada la masa, amasar durante 15 minutos, enérgicamente. Luego, dejar levar la masa tapada durante dos horas.



Pasado ese tiempo, formar un pan alargado y colocarlo sobre una placa recubierta con una capa ligera de margarina, dejándolo levar nuevamente durante media hora.



Hornear en horno caliente los primeros 10 minutos, bajándolo luego a medio hasta completar la cocción. El rugbrod no debe dorarse demasiado."
https://www.recetas.com/receta-de-Salmon-a-la-dinamarquesa-6712.html,Salmón a la dinamarquesa,,"Ingredientes 4 rodajas de

2 cdas. de jugo de

300 gr. de champiñones

180 gr. de panceta ahumada

1 pote de queso petit-suisse

1 pote de yogur

3 yemas

50 gr. de manteca o

Sal

Pimienta

Harina 4 rodajas de salmón de mar2 cdas. de jugo de limón 300 gr. de champiñones180 gr. de panceta ahumada1 pote de queso petit-suisse1 pote de yogur3 yemas50 gr. de manteca o margarina SalPimienta

"," Salmón a la dinamarquesa Rociar las rodajas de salmón con jugo de limón.

Pulir los hongos frescos, lavarlos y cortarlos en rodajitas.

Cortar la panceta en tiritas finas.



Mezclar el petit-suisse con el yogur y agregar las yemas, siempre revolviendo. Moler pimienta sobre las rodajas de pescado y pasarlas por harina, previo salado muy suave. Freírlas en la manteca caliente, de 5 a 6 minutos de cada lado.



Mientras tanto, rehogar los hongos con la panceta, hasta evaporar el líquido que éstos sueltan, retirar del calor y agregar a mezcla de petit-suisse, yogur y yemas. Dejar calentar, sin que llegue a hervir.



Servir esta salsa sobre el pescado. Decorar con rodajitas de cebollas y servir con papas hervidas.

"
https://www.recetas.com/receta-de-Trucha-ahumada-con-salsa-de-rabano-6442.html,Trucha ahumada con salsa de rábano,,"Ingredientes 4 truchas ahumadas

Rodajas de limón

2 cdas. de rabano picante rallado

200 gr. de queso petit-suisse

2 a 4 cdas. de leche

Sal

para moler

Lechugas 4 truchas ahumadasRodajas de limón2 cdas. de rabano picante rallado200 gr. de queso petit-suisse2 a 4 cdas. de lecheSal Pimienta para molerLechugas

"," Trucha ahumada con salsa de rábano Quitar la piel y los espinazos de las truchas ahumadas. Disponer los filetes sobre hojas de lechugas, en cuatro platos. Adornar con rodajas de limón.



Mezclar el queso petit-suisse con el rábano picante rallado, bien escurrido si fuera de conserva, sal y pimienta recién molida. Alivianarlo con algo de leche hasta darle consistencia cremosa.



Servir la trucha a temperatura ambiente, con la salsa de rábano aparte."
https://www.recetas.com/receta-de-Anillo-de-salmon-5196.html,Anillo de salmón,,"1 lata grande de salmón al natural1 tajada chica de salmón ahumado150 gr. de crema de leche 1 pote de yogur natural3/4 de taza de mayonesa1 cda. de salsa chili1/2 taza de perejil picadoSalPimientaPimentón1 sobrecito de gelatina sin saborArvejasPerejil o eneldo

"," Anillo de salmón

Escurrir el salmón y deshacerlo.

Picar muy bien el salmón ahumado y agregarlo al anterior.



Batir la crema de leche con el yogur, la mayonesa, la salsa chili, sal, pimienta y pizca de pimentón.

Remojar la gelatina en un cuarto de taza de agua fría, derretirla sobre calor suave y añadirla a la preparación anterior.



Incorporar el salmón y mezclar bien. Echar esto en un molde anular mojado y llevarlo al frío.

Dejarlo tres horas como mínimo y desmoldarlo, pasando el molde por agua caliente.

Decorar la fuente con arvejas, rodajas de limón y ramitas verdes."
https://www.recetas.com/receta-de-Pejerrey-a-la-danesa-5109.html,Pejerrey a la danesa,,"700 gr. de filetes de pejerrey2 huevosHarina2 tazas de copos de maíz Aceite para freír1 pote de queso crema1 cda. de cebolla ralladaSal y pimientaCebollín o perejil

"," Pejerrey a la danesa

Cortar los filetes en mitades. Aderezarlos con sal, pimienta y gotas de limón.

Pasarlos por los huevos batidos (con dos cucharadas de agua) y luego por los copos de maíz bien deshechos.

Freírlos dorándolos de ambos lados. Ponerlos sobré papel absorbente.



Mezclar el queso crema con la cebolla rallada, sal, pimienta y un poco de cebollín o perejil picado.



Servir el pejerrey con rodajas de limón y la crema de queso."
https://www.recetas.com/receta-de-Fondue-Danesa-3969.html,Fondue Danesa,,"2 tazas de cerveza blanca1 diente de ajoNuez moscada450 gr. de queso gruyereSal, pimienta negra1 cda. de maicena2 cdas. de agua2 cdas. de acquavitPan francés

"," Fondue Danesa

Cortar el ajo por la mitad y frotar con éste el interior de un caquelón (ollita de barro para fondue).

Echar adentro la cerveza y calentar hasta casi hervir.



Agregar el queso rallado grueso y revolver continuamente, sobre calor suave, hasta que el queso se funda completamente.



Añadir la maicena disuelta en las dos cucharadas de agua fría y seguir revolviendo unos minutos más para espesar y ligar la fondue.



Salar, moler pimienta negra por encima y rallar nuez moscada.



Incorp­rar el acquavit (licor danés seco) revolver y llevar la fondue a la mesa, sobre un calentadorcito para mantenerla caliente.



Cortar pan francés en dados y pasarlos por la fondue, usando los pinches clásicos o los de bambú."
https://www.recetas.com/receta-de-Pierna-de-corzo-con-manzanas-2375.html,Pierna de corzo con manzanas,,"1 pierna de corzo manzanas verdes150 gr. de mantequilla250 gr. de manteca cerdo 1 cdta. de canela

"," Pierna de corzo con manzanas

Dejar reposar la pierna mechándole unos trozos de manteca.

Luego de 12 horas, añadirle la canela y la manteca de cerdo. Hornear durante 50 minutos.

Mientras tanto, pelar y rebanar las manzanas. Cocinarlas durante 5 minutos esparciendoles canela por encima y untando con un poco de manteca.

Rebanar la carne y servir acompañada de las manzanas."
