url,title,date,ingredients,steps
https://www.recetas.com/babaganoush-b40.html,Babaganoush,,"3 berenjenas 4 cdas. de tahini 2 dientes de ajo 1 limón 1 cda. de aceite de oliva virgen extra 1 cdta. de sal Pimentón (para decorar)

"," Babaganoush

Lavar las berenjenas y secarlas, cortarlas a lo largo, envolverlas con papel de aluminio y llevarlas al horno caliente a 220 ° durante aproximadamente una hora.

Mientras tanto, machacar el ajo y exprimir el limón. Ponerlos en un tazón grande y agregar el tahini, mezclando bien hasta que quede liso.

Cuando las berenjenas estén cocidas, dejarlas enfriar, luego pelarlas con un cuchillo afilado y quitar la pulpa con ayuda de una cuchara. Desechar la cáscara.

Agregar la pulpa de berenjena al bol con el ajo, el limón y el tahini, luego tritura todo con ayuda de un machacador de papas con disco perforado o tenedor, mezclando para amalgamar todos los ingredientes. El Babaganoush no debe ser una crema lisa: lo que se debe obtener es una consistencia cremosa pero no uniforme y totalmente ""licuada"".

Ajustar la consistencia y el sabor de la crema agregando aceite y sal. Servir el babaganoush en un bol pequeño con un chorrito de aceite al gusto, una pizca de pimentón y una pizca de ajonjolí tostado. Acompañarlo con pan, preferiblemente pan de pita."
https://www.recetas.com/falafel-ko3.html,Falafel,,"250 gr. de garbanzos secos 80 gr. de cebolla picada (aproximadamente media cebolla mediana) 1 diente de ajo machacado 1 cda. de perejil picado 2 cdas. de cilantro picado 1/4 cdta. de pimienta de cayena 1/2 cdta. de comino molido 1/2 cdta. de cilantro molido 1/4 cdta. de cardamomo molido 1/2 cdta. de levadura en polvo 1 y 1/2 cda. de harina 750 gr. de aceite de girasol para freír Sal

"," Falafel

Remojar los garbanzos durante la noche, cubriéndolos con suficiente agua, al menos el doble del volumen de las legumbres. Escurrir y pasar por una picadora de carne junto con la cebolla, el ajo, el perejil y el cilantro.

Es importante pasar los garbanzos por la picadora de carne (usando molienda fina), se sugiere un doble paso por la picadora de carne y el uso de la licuadora o mixer solo si no se tiene una picadora de carne. Con la licuadora o mixer hay que tener mucho cuidado de no reducir los garbanzos a una crema, comprometiendo el resultado final, la mezcla debe mantener una consistencia granulosa pero fina. Ahora agregar las especias, el polvo de hornear, la sal, la harina y tres cucharadas de agua. Mezclar bien para que todos los ingredientes queden bien amalgamados. Dejar reposar en la nevera durante al menos 1 hora.

En una cacerola de lados altos y base gruesa, verter 7 cm de aceite de girasol para freír el falafel. Calentar a 180 °. Formar bolas redondas con la masa. Se obtendrán unas 20, cada una con un peso de unos 25 gr. Presionarlas bien para compactarlas y no se desarmen (en esto ayuda mucho el tiempo de reposo de la masa). Opcionalmente pasar los falafel por semillas de sésamo antes de sumergirlos en aceite hirviendo y dejarlos freír durante unos 4 minutos. Los falafels están listos cuando se forma una costra oscura y compacta, mientras que por dentro permanecen suaves y fragantes."
https://www.recetas.com/pastel-kunafa.html,Pastel Kunafa,,"1 paquete de masa phyllo (500 gr.) Mantequilla al gusto 150 gr. de harina 400 gr. de azúcar 1/2 litro de leche 200 ml de nata líquida Frutos secos (pistachos, almendras , pasas y avellanas) Jugo de limón 1 taza de agua pequeña Agua de rosas (3 cucharadas)

"," Pastel Kunafa

La torta Kunafa, delicioso postre árabe, presenta una receta poco complicada, a pesar de su nombre exótico. Es un dulce típico del mundo árabe y Oriente Medio, en particular de Egipto. El Kunafa se caracteriza por un aspecto y un sabor muy únicos, debido a los ingredientes especiales en que se basa la receta.

Comenzar preparando el relleno del pastel. Para ello, verter en una cacerola la harina, 100 gramos de azúcar y una cuarta parte de la leche disponible, mezclando todo bien.

A continuación, poner la cacerola a fuego medio y añadir, un poco a la vez, todo el resto de la leche. Remover hasta que la mezcla se vuelve densa y dejar enfriar.

Preparar el almibar, vertiendo en otra cacerolita - puesta a calentar sobre calor medio - una taza de agua, 300 gramos de azúcar y el jugo de un limón.

Revolver la mezcla y fundir el azúcar, añadiendo poco después de que inicie el hervor, el agua de rosas. Apaguar el fuego, y enfriar la mezcla, que debe tener la consistencia de un jarabe.

Picar toscamente los frutos secos picados e incorporarla, junto con la nata líquida, en la cacerola con el relleno, revolviendo todo.

Finalmente tomar una parte de la masa phylo y extenderla en el fondo de un molde redondo para hornear, pincelándola abundantemente con la mantequilla derretida. Extender el relleno en una sola capa y cubrir con la masa restante.

Presionado la superficie para compactar todo eimpregnar con el resto de la mantequilla. Hornear el pastel durante 30 minutos a una temperatura de 200 °.

Retirar del horno, verter el jatrabe sobre la superficie y servir bien frío.

Para que sea aún más atractivo se puede servir el kunafa espolvoreado con almendras y trozos de pistachos."
https://www.recetas.com/lisas-a-la-egipcia.html,Lisas a la egipcia,,"4 lisas de 300 gr. cada una 12 tomates medianos 8 anchoas saladas 2 cebollas 2 dientes de ajo 1 pizca de jengibre 1 ramita de mejorana Harina Aceite de oliva virgen extra Sal Pimienta

"," Lisas a la egipcia

Lavar las lisas bajo el chorro de agua fría, quitar las aletas y, abriéndolas ligeramente por debajo del vientre, eviscerarlas (o pedirle al pescadero que las limpie).

Pasar el pescado por harina y cocinar de ambos lados en una sartén con aceite caliente durante unos 10 minutos; sazonar luego con sal y pimienta y mantenerlas calientes.

En la misma sartén freír las cebollas peladas y picadas, los dientes de ajo en trozos, las anchoas en trozos y los tomates lavadas y cortadas en trozos; cocer a fuego lento durante unos 10 minutos; sazonar con sal, pimienta y jengibre rallado.

Verter la salsa sobre el pescado y decorar con una ramita de mejorana lavada y seca.

Notas: Para realzar el sabor en la preparación, agregar media cucharadita de azúcar a la salsa. También puede agregarse un puñado de aceitunas negras en rodajas y algunas alcaparras."
https://www.recetas.com/kunafa.html,Kunafa,,"Para el jarabe : 1 cda. de agua de azahar 250 gr. de azúcar 125 cc de agua 1 cda. de jugo de limón

Para el relleno : 200 gr. de queso mascarpone 150 gr. de ricota

1 paquete de masa filo 320 gr. de azúcar 150 gr. de mantequilla clarificada Pistachos c/n

"," Kunafa

Acomodar la mitad de la pasta filo en una placa de horno,previamente untada con mantequilla, verter por encima parte de la mantequilla clarificada.

Montar la ricota y el mascarpone y extenderla sobre la masa.

Hervir el azúcar, junto con el jugo de limón y el agua, añadiendo luego el agua de azahar. Dejar enfriar y reservar.

Cubrir el relleno con la otra mitad de la masa, pincelando con el resto de la mantequilla clarificada. Espolvorear con los pistachos picados. Hornear a 180° durante 30 minutos.

Cuando la masa esté dorada, retirar del horno y verter sobre la superficie del kunafa el jarabe de azúcar dulce. Servir caliente."
https://www.recetas.com/receta-de-Arroz-a-la-oriental-6070.html,Arroz a la oriental,,"3 tazas (de té) de arroz basmati200 gr. de lentejas, lavadas y hervidas150 gr. de pasas de uvas , sin semillas

"," Arroz a la oriental





Previo a la utilización, debe colocar el arroz en remojo. Su cocción es a fuego lento con la misma cantidad de líquido que de arroz.

La cocción debe realizarse con el recipiente tapado durante 10 minutos aproximadamente, hasta reducir el agua por debajo de nivel del arroz. Hecho esto, agregar las lentejas, tapar y con el fuego al mínimo cocinar otros 15 minutos.

Saltar las pasas en aceite de sésamo por 3 a 5 minutos y, una vez que el arroz esté listo, distribuirlas por encima. Sazonar a gusto.

"
https://www.recetas.com/receta-de-Fitter-1434.html,Fitter,,,
https://www.recetas.com/receta-de-Salsa-sharkasiya-1436.html,Salsa sharkasiya,,"8 cdas. de nueces sin cáscara2 cdas. grandes de avellanas sin cáscara2 cdas. grandes de miga de pan mojada y escurrida2 dientes de ajo machacadoCaldo de pollo Zumo de 2 limonesSal

"," Salsa sharkasiya

Deshacer bien la miga de pan y aplastar las nueces y avellanas.

Añadirle el ajo picado y mezclar.

Agregar el caldo del pollo y formar la salsa.

Incorporar el jugo de limón y calentar unos minutos."
https://www.recetas.com/receta-de-Guisantes-con-salsa-de-tomate-y-carne-1437.html,Guisantes con salsa de tomate y carne,,"1 kg. de guisantes 1/2 kg. de carne para guisar2 vasos de tomate triturado3 cdas. de aceite cebolla ralladaSal

"," Guisantes con salsa de tomate y carne

En una sartén, dorar los pedazos de carne junto con la cebolla.

Agregar los tomates, los guisantes, la pizca de sal y pimienta, y cocinar a fuego suave.

Ir agregando agua o caldo a medida que necesite la preparación, hasta que la carne y los guisantes estén tiernos."
https://www.recetas.com/receta-de-Malva-con-garbanzos-1438.html,Malva con garbanzos,,"1 kg. de malva1/4 kg. de carne picada2 cdas. de garbanzos secos macahcados cebolla ralladaCaldo o aguaSal

"," Malva con garbanzos

Saltear la carne en un poco de aceite.

Incorporar la cebolla y saltear unos minutos más.

Agregar los garbanzos, un poco de caldo o agua y cocinar a fuego mediano.

Hervir la malva en trozos y echarla a la cocción anterior. Dejar cocer por unos 5 minutos y servir."
