url,title,date,ingredients,steps
https://www.recetas.com/salsa-bbq.html,Salsa BBQ,,"300 gr. de puré de tomates cherry 50 gr. de azúcar rubia 1 diente de ajo 1/2 cebolla Pimentón ahumado dulce o picante Salsa Worcester Vinagre de manzana Aceite de oliva v. e. Sal

"," Salsa BBQ

Picar finamente la cebolla y el ajo. Rehogar en 2 cucharadas de aceite durante un par de minutos, luego agregar el puré de tomates cherry, el azúcar, 1 cucharadita de pimentón ahumado (ajustar la cantidad según el gusto) y 2 cucharadas de salsa Worcester. Dejar que se cocine durante 10 minutos a fuego medio.

Sazonar la salsa BBQ con 2 cucharadas de vinagre de manzana, luego probar y, si es necesario, agregar una pizca de sal. Continuar cocinando durante 5-8 minutos. Apagar, tamizar la salsa y dejar enfriar por completo."
https://www.recetas.com/bagels-6wu.html,Bagels,,"500 gr. de harina 50 gr. de azúcar 300 gr. de agua tibia 1/2 cubo de levadura de cerveza 10 gr. de sal fina Semillas de sésamo y amapola para decorar

"," Bagels

Mezclar la harina con agua, azúcar y levadura de cerveza. Agregar la sal y continuar trabajando hasta obtener una masa suave y elástica. No debe quedar pegajosa, en ese caso basta con añadir un poco de harina.

Colocar la masa en un recipiente aceitado, tapar con film transparente y dejar leudar durante 1 hora y media o hasta que la masa haya doblado su volumen. Una vez que la masa haya levado, dividir la masa en 8 porciones del mismo tamaño. Con un dedo enharinado, hacer un hueco en el centro de cada bolita, estirarlo hasta pasar tres dedos.

Encender el horno a 200° y poner sobre la hornalla una cacerola grande con agua y 1 cucharada de aceite: este es un truco para evitar que los bagels se peguen al fondo. Cocinar 3 bagels a la vez en agua caliente. El agua debe continuar hirviendo a fuego lento, así que mantener el fuego bajo. Con ayuda de una espumadera, dar la vuelta al bagel, que tendrá que cocinarse unos 2 minutos por lado

Escurrir los bagels y colocarlos en una bandeja para hornear forrada con papel pergamino. Pincelar con huevo y espolvorear con semillas al gusto o dejarlos al natural. Hornearlos durante 20-25 minutos a 200 ° en un horno ventilado.

Una vez fuera del horno, los bagels se pueden servir con queso crema, salmón y eneldo o cebollino, u otros rellenos como embutidos. También se pueden probar con cremas dulces o mermeladas."
https://www.recetas.com/milkshake.html,Milkshake,,,
https://www.recetas.com/pan-de-maiz-j0w.html,Pan de maíz,,"150 gr. de harina 150 gr. de harina de maíz 2 cdtas. de polvo de hornear 1 pizca de bicarbonato de sodio 1 cdta. de sal 1 cda. de azúcar 200 gr. de yogur blanco 200 ml de leche 1 cda. de jugo de limón 2 huevos 120 gr. de mantequilla

"," Pan de maíz

Preparar el suero de leche combinando el jugo de limón y la leche con el yogur.

Dejar reposar durante 20 minutos y añadir los huevos batidos y la mantequilla derretida fría. Luego mezclar.

En un bol grande poner las dos harinas, el azúcar, la sal, el bicarbonato y el polvo de hornear.Incorporar también la mezcla líquida y mezclar hasta tener una mezcla homogénea.

Transferir todo a una bandeja para hornear de 25 x25 cm forrada con papel pergamino y nivelar la superficie.

Cocinar a 220 ° C durante 25-30 minutos.

Dejar enfriar y finalmente cortar en cuadrados."
https://www.recetas.com/corn-dogs.html,Corn dogs,,"6 salchichas de pollo o cerdo 225 gr. de harina de maíz fina 100 gr. de harina 300 ml de leche 1 huevo 1 yema 7 gr. de bicarbonato de sodio 20 gr. de azúcar Pimentón dulce Sal 1 y 1/2 litros de aceite vegetal para freír Salsas al gusto (ketchup, mostaza , etc.)

"," Corn dogs

Combinar los polvos en un tazón grande: harina de maíz (lo más fina posible), harina 00, azúcar, sal, bicarbonato de sodio y paprika. En otro recipiente, mezclar la leche, el huevo y la yema con un batidor.

Agregar la mezcla de huevo y leche a los polvos y mezclar muy bien hasta obtener una masa bastante espesa y sin grumos: debe ser homogénea, pero no demasiado líquida. Verter todo en un recipiente alto y estrecho (por ejemplo, la jarra de la batidora de mano) y colocarlo en el refrigerador durante al menos una hora. Mientras tanto, cortar las salchichas por la mitad y ensartalas con un palito de brocheta.

Calentar muy bien el aceite en una sartén estrecha y alta, que pueda contener la salchicha frankfurt insertada verticalmente. Retirar la masa del refrigerador y revolver para evitar depósitos. Sumergir una salchicha a la vez en la masa, de modo que quede cubierta uniformemente y freírla mientras se sujeta el palito fuera del aceite con unas pinzas de cocina. Freír por unos 4 o 5 minutos, hasta que el maíz esté dorado.



Transferir los perros de maíz a una rejilla para drenar el exceso de aceite. Servir caliente con salsas al gusto."
https://www.recetas.com/galletas-de-mantequilla-de-mani-con-chocolate-y-avena.html,Galletas de mantequilla de maní con chocolate y avena,,"180 gr. de harina 260 g mantequilla de maní neutra * 150 gr. de azúcar moreno 200 gr. de mantequilla (a temperatura ambiente) 150 gr. de copos de avena 200 gr. de pepitas de chocolate 2 huevos 1 cdta. de polvo de hornear 1 pizca de sal 1/2 vaina de vainilla

"," Galletas de mantequilla de maní con chocolate y avena

Trabajar la mantequilla con el azúcar, luego agregar los huevos, la mantequilla de maní y las semillas de vainilla.

Tamizar la harina con el polvo de hornear y agregarlos a la masa. Agrega los copos de avena y las chispas de chocolate. Dejar reposar la masa en la nevera durante al menos 20 minutos.

Una vez que la masa haya reposado, hacer pequeñas bolitas con la ayuda de una cuchara o con las manos ligeramente humedecidas y colocarlas en una bandeja para hornear forrada con papel pergamino, un poco separadas entre sí.

Hornear a 180°C durante 12-14 min. Sacarlas del horno, manipulándolas con delicadeza, ya que en caliente son muy frágiles. Dejar que se enfríen.

Nota: Si la mantequilla de maní es muy dulce, reducir un poco el contenido de azúcar de la receta."
https://www.recetas.com/arroz-rojo-estilo-cajun.html,Arroz rojo estilo cajún,,"3 lonchas de tocino o tocino ahumado cortado en dados (alternativamente, 40 gr. de mantequilla o una mezcla de ambos) 225 gr. de arroz de grano largo (basmati) 180 gr. de salsa de tomate 470 ml de caldo de pollo o agua 1/2 cebolla dulce picada 1 diente de ajo picado 1 cdta. de azúcar 1 cdta. de sal 1/2 cdta. de pimienta negra 1 hoja de laurel Tomillo fresco o cilantro para decorar(opcional)

"," Arroz rojo estilo cajún

Lavar el arroz brevemente con agua corriente y escurrirlo.

Si se usa tocino, cocinarlo a fuego medio en una cacerola grande, de hierro fundido, aluminio o acero, hasta que los cubos estén crujientes y el tocino haya soltado su grasa, (aproximadamente de 6 a 8 minutos). Escurrir el tocino y reservar.

Si se usa mantequilla, derretirla, siempre en una cacerola grande pero ya caliente, para que tome inmediatamente color.

Si es una versión mixta primero derretir la mantequilla y luego agregar el tocino.

Agregar luego la cebolla y el ajo picados y cocinarlos en la grasa, 2-3 minutos, hasta que la cebolla esté transparente. Continuar cocinando durante aproximadamente un minuto.

Luego agregar el arroz y mezclar por unos minutos hasta que los granos pierdan su transparencia.

Luego, agregar todos los demás ingredientes (salsa de tomate, caldo, sal, pimienta y hojas de laurel) y dejar hervir a fuego alto. Luego bajar el fuego, colocar la tapa y continuar cocinando durante unos 20 minutos (o según lo requiera el arroz), revolviendo ocasionalmente.

Cuando el arroz esté cocido, apagar el fuego y dejarlo reposar durante 5 minutos, siempre tapado. Mejor si se pone un paño limpio entre la olla y la tapa para que absorba las gotitas de condensación que se formarán.

Retirar la hoja de laurel, desgranar el arroz con un tenedor y sazonar con sal y pimienta.

Poner el arroz rojo en una fuente y, si se ha utilizado la panceta/bacon, adornar con los dados reservados y, por último, unas hojas de tomillo o cilantro."
https://www.recetas.com/pollo-cajun.html,Pollo cajun,,"1/2 cdta de albahaca seca 1 pimiento rojo 2 cdas. de especias cajun 250 ml de yogur griego 1,5 kg de pollo en trozos 1 chile rojo 25 gr. de mantequilla 250 gr. de harina 60 ml de aceite de oliva v. e. 2 cdtas. de pimentón dulce 2 cdtas. de caldo en gránulos de pollo 500 gr. de verduras mixtas

"," Pollo cajun

Lavar y secar el pollo, cortarlo en 12 trozos; mezclar la harina tamizada con las especias cajún, la albahaca seca y el pimentón. Pasar los trozos de pollo por la harina empanando bien; reservar la mezcla sobrante.

Calentar el aceite en una sartén grande y dorar los trozos de pollo rebozado, 4 minutos por lado, hasta que estén crujientes y dorados; luego escurrirlos y reservarlos tibios.

Dejar en la sartén solo 2 cucharadas de la base de cocción del pollo (reservar aparte el fondo restante) y dorar la mezcla de vegetales (1 cebolla grande, 1 pimiento verde grande y 1 rama de apio, limpia y muy picada) con el pimiento rojo cortado en cubos de 1 cm y el chile pelado y desmenuzado, revolviendo todo muy bien; luego, transferir todo a una fuente para horno y colocar los trozos de pollo dorado sobre los vegetales. Agregar 250 ml de agua, cubrir y pasar al horno a 180 ° durante 40 minutos. Espolvorear con el caldo de pollo granulado, agregar el yogur y hornear por otros 20 minutos.

En una cacerola, derretir la mantequilla a baño María y mezclar 3 cucharadas de la mezcla restante de especias, revolviendo hasta que la mezcla esté dorada; incorporar la base de cocción del pollo reservada, diluyendo, si es necesario, con un poco de agua, para obtener una salsa espesa y homogénea, para servir con el pollo a la criolla.

Especias cajun

Las especias cajún son una sabrosa mezcla que se usa mucho en la cocina creole: mezcla 1 cucharada de ajo en polvo con 1 cda. de cebolla en polvo, 2 cucharaditas de pimienta blanca, 2 cucharaditas de pimienta molida en grano negro, 1 y 1/2 cucharadita de pimienta de cayena, 2 cucharaditas de tomillo seco y 1/2 cucharadita de orégano seco. Todo debe mantenerse en un frasco hermético."
https://www.recetas.com/angel-cake.html,Angel cake,,," Angel cake

Batir a punto nieve 8 claras de huevo con 100 gramos de azúcar y la vainilla, luego agregar gradualmente los otros 100 gramos de azúcar y la maicena tamizada con el cremor tártaro, mezclando suavemente con una espátula de abajo hacia arriba, sin desmontar el compuesto.

Transferir la mezcla a un molde con bordes altos de 20 cm de diámetro sin untarlo con mantequilla y hornear el pastel en un horno precalentado a 175 ° C. ° por 45 minutos.

Retire del horno y deje que el pastel se enfríe ""al revés"" sin voltearlo, sino colocando el molde sobre algo que lo mantenga levantado (por ejemplo, latas) para que el vapor pueda salir desde abajo.

Batir las claras de huevo restantes (aproximadamente 65 g) a nieve firme con una batidora planetaria. Llevar a ebullición unos 30 g de agua con 130 g de azúcar y cocine el almibar hasta que trabajando una gota entre el pulgar y el índice, previamente enfriada en agua con hielo, se obtenga una bola de consistencia media. Verterlo hirviendo y en forma de hilo sobre las 2 claras batidas a nieve, continuando el batido hasta que la mezcla se enfríe.

Desmoldar el pastel pasando la hoja de un cuchillo por el borde y, usando una espátula plana, cubrir el pastel completamente con la mezcla de claras de huevo y servir.

El truco para el éxito del Angel Cake

El pastel de ángel es un postre americano muy suave que se prepara solo con claras de huevo. Para que el pastel de ángel sea perfecto, es necesario enfriarlo antes de sacarlo del molde y asegurarse de que tome aire, manteniéndolo bien elevado de la superficie de trabajo. Además de la posibilidad de organizar el molde sobre vasos o latas, se puede conseguir un molde con pies, diseñado específicamente para la preparación de este tipo de postre o usar otro truco, como alternativa al que ya se sugirió en la receta."
https://www.recetas.com/costillas-estilo-barbacoa.html,Costillas estilo barbacoa,,," Costillas estilo barbacoa

Hacerse preparar las costillas por el carnicero, posiblemente en un solo corte, con las costillas no separadas entre sí. Antes de asarlas en la parrilla es necesario recortarla correctamente.



Con un cuchillo especial, retirar la pleura, esa capa de tela blanquecina tenaz y elástica cerca del hueso, y exponer la carne. Eliminar la mayor cantidad de grasa posible porque, aunque se usa para tiernizar, puede ser excesiva, y pegajosa, cuando se coma. Obviamente, también se puede pedir al carnicero que la recorte de esa manera.



Colocar las especias, la pimienta, las hierbas aromáticas, la sal y el azúcar en un mortero y machacar todo hasta obtener una mezcla homogénea, el llamado rub, que traducido significa ""masaje"". Con esta mezcla, masajear la carne abundantemente, asegurándose de que quede completamente cubierta.

Cocinar las costillas con el método indirecto, es decir, con una fuente de calor que no caliente la carne directamente.

Encender el carbón y colocar las costillas lejos. Agregar un puñado de la madera que se prefiera a las brasas y poner agua en el recipiente especial, si lo hay. La cocción de las costillas requiere una temperatura de 110/120°: el ""corazón"" de las costillas debe alcanzar al menos 85° y no exceder los 95°. Controlar con un termómetro equipado con una sonda, una vez que se alcanza la temperatura, la carne se cocina. En ausencia de un termómetro, configurar 2 o 3 horas con el dispositivo a 110°.

Envolver las costillas en una triple capa de aluminio, muy apretadas, y dejarlas al calor durante otra hora. Luego retirarlas del dispositivo y dejar que la temperatura baje lentamente antes de retirarlas del aluminio y servir. El resultado probablemente será lo que los estadounidenses llaman fall of the bone (caída del hueso), es decir, la carne que se desprende sola del hueso."
