url,title,date,ingredients,steps
https://www.recetas.com/salmon-relleno-4hd.html,Salmón relleno,,"6 filetes de salmón sin piel Jugo de 1 limón 6 rebanadas de queso tipo holandés Unas ramitas de eneldo Cebollino 1 ramita de tomillo Sal Pimienta negra

"," Salmón relleno

Salar y pimentar los filetes de salmón. Lavar el cebollino y tomillo; cortar el primero con una tijera y picar el segundo.

Con un cuchillo afilado practicar una abertura en forma de bolsillo, en el centro de cada filete de salmón, sin cortarlo por completo.

Rellenar el bolsillo con el cebollino, las rebanadas de queso, el tomillo y una ramita de eneldo picado.

Cerrar los filetes con un palillo y espolvorear con jugo de limón. Envolver en papel encerado y cocinar durante 15 minutos en un horno precalentado a 200° C.

Retirar del horno y servir los filetes en platos individuales, decorando con ramitas de eneldo y cebollino."
https://www.recetas.com/pescado-en-masa.html,Pescado en masa,,"Ingredientes Para la masa:

350 gr. de harina de

350 gr. de

50 gr. de

Sal



Para el relleno:

800 gr. de pescado (

200 gr. de

Pimienta 350 gr. de harina de trigo 350 gr. de harina de centeno50 gr. de mantequilla o de margarina Sal800 gr. de pescado ( caballa o arenque fresco)200 gr. de tocino

"," Pescado en masa Colocar sobre la mesada ambas harinas mezcladas; añadir una cda. de sal; disolver la mantequilla (menos un copo) y agregar a las harinas; ir tomando la masa con la adición del agua que sea necesaria; trabajarla hasta que esté bien lisa y luego estirar con el palote en una lámina de medio centímetro de espesor y de forma oval.



Limpiar el pescado, lavar y escurrir procurando no deshacerlo. Disponer luego parte del pescado crudo en el centro del óvalo de masa y cubrir con algunas tajadas de tocino. Se siguen colocando el pescado y el tocino en capas, recordando de salpimentar (poca sal ya que se utiliza tocino) cada una de ellas (dejar aparte dos o tres fetas de tocino).



Unir los bordes de masa de modo de encerrar el relleno y luego se colocan en la superficie las fetas de tocino que se habían apartado.



Disponer la preparación sobre una placa enmantequillada y llevar al horno hasta que esté dorada. Apenas retirado cubrir con una servilleta para que no se endurezca la corteza."
https://www.recetas.com/estofado-de-cordero.html,Estofado de cordero,,"Ingredientes 1 kg. de carne de

500 gr. de

3 zanahorias

2 puerros

1 manojito de

Pimienta

Sal 1 kg. de carne de cordero 500 gr. de patatas 3 zanahorias2 puerros1 manojito de perejil PimientaSal

"," Estofado de cordero Cortar la carne en dados, pelar las zanahorias, pelar las patatas, lavar los puerros y luego cortar las zanahorias y las patatas en rodajas y los puerros en trocitos.



Disponer en una cacerola una capa de carne, salpimentar, cubrir con una capa de verduras y luego con otra de carne. Cubrir con agua y llevar a ebullición, dejar cocer hasta que tanto la carne como las verduras estén a punto. Durante la cocción no se deberá revolver la preparación, pero sí puede moverse de tanto en tanto la cacerola.



Colocar luego el estofado en una fuente y espolvorear con el perejil picado no muy finamente."
https://www.recetas.com/frituras-dulces.html,Frituras dulces,,"Ingredientes 1 yema

6 claras

120 gr. de

30 gr. de azúcar molido

30 gr. de

100 gr. de

Aceite 1 yema6 claras120 gr. de harina 30 gr. de azúcar molido30 gr. de azúcar impalpable100 gr. de margarina Aceite

"," Frituras dulces Poner en un bol la yema y cuatro claras; batir hasta que esté todo bien amalgamado; añadir el azúcar molido y continuar batiendo hasta que el compuesto esté esponjoso; incorporar la harina a través de un tamiz y 30 gr. de margarina derretida, mezclando bien.



Aparte, batir a punto de nieve bien duro las claras restantes y añadir, mezclando suavemente para que no bajen.



Poner al fuego una sartén con la margarina sobrante y bastante aceite, dejando que se calienten bien.



Colocar el compuesto preparado en una manga y, oprimiéndola, hacer descender en la sartén en forma de arabescos; escurrir la fritura bien dorada, colocar sobre una hoja de papel de estraza, espolvorear con el azúcar impalpable y servir."
https://www.recetas.com/pastel-de-frutillas.html,Pastel de frutillas,,"Ingredientes 250 gr. de frutillas

175 gr. de

100 gr. de pan rallado

250 gr. de

5 huevos

1 cdta. de esencia de

1 copo de 250 gr. de frutillas175 gr. de azúcar 100 gr. de pan rallado250 gr. de nata muy fresca5 huevos1 cdta. de esencia de vainilla 1 copo de mantequilla

"," Pastel de frutillas Limpiar las frutillas, lavar cuidadosamente procurando que no se deshagan y escurrir muy bien en un colador.



Colocar las yemas (reservando las claras) en un bol; añadir el azúcar (dejando aparte un poco para espolvorear la tortera) y batir con un batidor de alambre o uno eléctrico hasta que el compuesto se ponga bien esponjoso; agregar entonces el pan rallado a través de un tamiz, la esencia de vainilla y las frutillas cortadas en trocitos (reservar algunas enteras para decorar).



Aparte, batir a punto de nieve bien duro las claras e incorporar al compuesto, mezclando suavemente para que no bajen.



Enmantequillar una tortera y espolvorear con azúcar; verter en ella la preparación y llevar al horno, a 180°, dejándola unos 35-40 minutos.



Retirar el pastel del horno y desmoldar sobre una rejilla; cuando esté completamente frío, disponer en una fuente.



Poco antes de servir, batir la nata (no demasiado, para evitar que se transforme en mantequilla), verter en una manga provista de boquilla rizada y decorar el pastel a gusto, o espatular la nata directamente sobre el pastel. Completar la decoración con las frutillas que se habían reservado."
https://www.recetas.com/rosquitas-de-carelia.html,Rosquitas de Carelia,,"Ingredientes 500 gr. de

30 gr. de

1 copo de

Sal 500 gr. de harina 30 gr. de levadura de cerveza 1 copo de mantequilla Sal

"," Rosquitas de Carelia Disolver la levadura en un vaso de agua tibia (no debe estar muy caliente, porque el excesivo calor impediría un leudado normal).



Colocar sobre la tabla la harina, añadiéndole una pizca de sal; agregar la levadura amasando todo junto; formar un bollo, envolver en una servilleta y poner a leudar hasta que doble su volumen.



Luego colocar la masa nuevamente sobre la tabla enharinada y trabajar hasta que quede lisa y suave. Cortar en doce o catorce trozos y arrollarlos ayudándose con las palmas de las manos hasta obtener unos bastoncitos finos; unir las extremidades de cada uno para formar las rosquitas; cubrir con una servilleta y dejar leudar.



Poner al fuego una olla con abundante agua salada; cuando comience a hervir, echar tres o cuatro rosquitas por vuelta y dejar cocer hasta que suban a la superficie. Retirar con una espumadera y disponer sobre una placa de horno.



Llevar al horno, a 200°, dejándolas hasta que estén doradas; el centro deberá permanecer suave. Servir frías, con rizos de mantequilla."
https://www.recetas.com/olla-de-pimienta.html,Olla de pimienta,,"Ingredientes 500 gr. de cogote de vaca

500 gr. de paleta de cordero

500 gr. de paleta de

100 gr. de panceta gorda

375 gr. de cebollas chicas

500 gr. de patatas

250 gr. de zanahorias

1 tallo de apio

2 puerros

Perejil

250 gr. de hongos frescos

Sal

250 gr. de crema de leche

para moler 500 gr. de cogote de vaca500 gr. de paleta de cordero500 gr. de paleta de ternera 100 gr. de panceta gorda375 gr. de cebollas chicas500 gr. de patatas250 gr. de zanahorias1 tallo de apio2 puerrosPerejil250 gr. de hongos frescosSal250 gr. de crema de leche Pimienta para moler

"," Olla de pimienta Deshuesar la carne y cortarla en dados. Picar la panceta y hacerla derretir en una cacerola amplia y chata. Cuando haya soltado la grasa agregar la carne, sobre calor fuerte, en porciones, y dorarlas.



Retirar la carne bien dorada y dejarla aparte. Incorporar las cebollitas cortadas en cuartos y añadirlas en la grasa de la cacerola, a fuego mediano. Pelar las patatas y cortarlas en rodajas y añadirlas sin secarlas, salar.



Incorporar las zanahorias en rodajas y el apio en bastones, los puerros en anillos, los hongos lavados y el perejil picado grueso. Mezclar, echar la crema de leche y moler por encima bastante pimienta.



Tapar el recipiente y colocarlo en el horno, cocinar durante una hora y cuarto.



"
https://www.recetas.com/receta-de-Praline-7291.html,Praliné,,"Ingredientes 100 gr. de

50 gr. de

50 gr. de 100 gr. de azúcar molido50 gr. de avellanas (pesarlas peladas)50 gr. de almendras (pesarlas peladas)

"," Praliné Quitar a las almendras y avellanas la película que las cubre. Apoyarlas sobre una placa para horno y tostar las ligeramente en horno caliente.



Poner el azúcar en una cacerolita, sobre el fuego; cuando comienza a tomar un color dorado oscuro, incorporar las almendras y avellanas, revolver unos instantes con espátula de madera.



Volcar inmediatamente sobre una placa o mármol enmantecados o sobre placa siliconada, y extender con una espátula. Dejar enfriar.



Una vez bien fría, moler con un palote o mortero, o procesar."
https://www.recetas.com/receta-de-Salmon-de-mar-finlandes-4620.html,Salmón de mar finlandés,,"4 rodajas de salmón de mar2 huevos duros picados Perejil picado100 gr. de manteca fresca500 gr. de zanahorias chicas, peladas y hervidas

"," Salmón de mar finlandés

Preparación:



Hierva las postas de salmón en agua con un chorrito de vinagre y una hoja de laurel durante a 8 minutos.

Mientras tanto, saltee las zanahorias en un poco de manteca.

Sirva el pescado caliente con el huevo duro y el perejil picados por encima, con un trozo de manteca fresca sobre el salmón.

Acompañe con las zanahorias salteadas como guarnición.

"
https://www.recetas.com/receta-de-Sopa-de-pescado-con-crema-y-huevos-2000.html,Sopa de pescado con crema y huevos,,"50 gr. de cebolla50 gr. de mantequilla250 gr. de rodaballo1 lt. de agua100 gr. de puerros150 gr. de patatas en dados1/4 kg. de bacalao fresco80 gr. de mejillones sin concha50 gr. de gambas cocidas150 ml. nata2 yemas de huevo1 cdta. eneldo

"," Sopa de pescado con crema y huevos

Preparación:



Hervir los mejillones y las gambas. Reservar el líquido de cocción.

Triturar el ajo y las cebollas. Saltear.



Echar el agua en que se hirvieron los pescados. Luego de 20 minutos, quitar la tapa y agregar las papas y las gambas, mejillones y el bacalao cortado.

Esperar 5 minutos y añadir las yemas junto con la nata. Corregir la sazón y dejar cocer por 10 minutos más.



Servir bien caliente.

"
