url,title,date,ingredients,steps
https://www.recetas.com/patatas-aplastadas.html,Patatas aplastadas,,," Patatas aplastadas

Lavar las patatas, ponerlas en una olla llena de agua fría y cocinar por unos 20 minutos desde que hierva, para que estén blandas sin que se deshagan.

Escurrir las patatas, transfiéralas a una bandeja para hornear forrada con papel pergamino, ligeramente separadas unas de otras, y aplastarlas con un tenedor, una a la vez.

Sazonar cada patata con 1 nuez de mantequilla, 1 pizca de sal y hierbas aromáticas al gusto (mejorana, tomillo, romero, salvia, cebollino, etc.) y cocinar durante 10-15 minutos a 200°C, en horno precalentado, hasta que la superficie se dore un poco. Servir inmediatamente."
https://www.recetas.com/ensalada-especiada-de-maiz-y-zanahoria.html,Ensalada especiada de maíz y zanahoria,,"35 gr. de maní tostado 35 gr. de lentejas pequeñas hervidas 3 tazas de granos de maìz 1 taza de judías verdes 1 taza de zanahorias cortadas en cinta 1/2 taza de coco fresco rallado 1/4 de taza de cilantro picado 7 hojas de curry 2 cdas. de cebolla picada 1/2 lima 1/4 de cdta. de semillas de mostaza negra 1/4 de cdta. de cúrcuma en polvo 1/4 de cdta. de polvo de asafétida Azúcar glas Aceite de oliva v. e. Sal

"," Ensalada especiada de maíz y zanahoria

Hervir el maíz y las judías verdes en agua hirviendo con sal hasta que estén cocidos. Agregar las zanahorias y blanquearlas durante 1 minuto, luego escurrir todo.

Calentar un poco de aceite en una sartén y agregar la mostaza, la cúrcuma, la asafétida y las hojas de curry; cuando las semillas comiencen a crujir, agregar la cebolla, los cacahuates y las lentejas y cocinar hasta que las cebollas se hayan ablandado. Agregar la mezcla a las verduras hervidas, agregando también el coco y el cilantro; sazonar con sal y mezclar bien.

Calentar una pizca de sal y una pizca de azúcar en una sartén; agregar el jugo de 1/2 lima mezclar y verter sobre la ensalada. Mezclar, dejar en infusión y servir fría."
https://www.recetas.com/arroz-al-curry-imr.html,Arroz al curry,,"200 gr. de arroz basmati (u otro tipo de arroz) 400ml de agua 1 cebolla 1 cdta. de aceite de coco (opcional) 2 cdtas. de curry 1 cdta. de cúrcuma 1 pizca de semillas de comino molido 1 pizca de canela 1 pieza de jengibre fresco rallado Sal Aceite de semilla o de oliva

"," Arroz al curry

Enjuagar el arroz al menos un par de veces en agua dulce, moviéndolo con las manos, para que suelte todo el almidón: al final, después del último enjuague, el agua debe quedar clara.

Dejar el arroz en remojo en agua limpia y fresca durante 30 minutos.

Picar finamente la cebolla y saltearla ligeramente con aceite de coco y aceite de semilla en una sartén antiadherente, luego agregar las especias (curry, cúrcuma, comino, canela y jengibre) y dejar sofreír.

Escurrir el arroz del agua de remojo y añadirlo a la sartén. Dejar aromatizar brevemente, luego agregar los 400 ml de agua que requiere la receta y un poco de sal, tapar y cocinar a fuego medio por 10 minutos, sin abrir.

Pasados ​​los 10 minutos quitar la tapa y comprobar la cocción y que el agua se haya absorbido por completo (si tiene que terminar de cocinar y absorber el agua, cocinar unos minutos más), retirar del fuego, tapar con un paño limpio, cerrar de nuevo con la tapa y dejar reposar otros 10 minutos. (Al colocar el paño de cocina, el agua condensada no caerá sobre el arroz).

Servir con cilantro fresco o perejil."
https://www.recetas.com/curry-de-ternera-y-patatas.html,Curry de ternera y patatas,,"Especias : 4 cápsulas de cardamomo verde triturados 1 cdta. de semillas de hinojo 4 clavos de olor 2 hojas de laurel 5 cm de rama de canela (o una cdta de canela molida) 1 cda. de cúrcuma en polvo 1,5 cdas de garam masala**

1 kg de carne de res cortada en cubos de 2,5/3 cm (preferir cortes grasos, para guiso) 2 patatas (peladas y cortadas en cubos grandes) 3 cebollas picadas 2,5 cm de jengibre (pelado y cortado en tiras) 8 chiles verdes pequeños (finamente picados) 4 dientes de ajo (finamente picados) 400 ml de leche de coco en lata 25 gr. de almendras molidas 1 cda. de pasta de tomate 3 cdas. de ghee* o aceite (o mantequilla clarificada) 2 cdtas. de sal

"," Curry de ternera y patatas

Mezclar la leche de coco, las almendras molidas y la pasta de tomate para formar una pasta. Reservar.

En un procesador de alimentos pequeño (o mortero de mano), picar las cebollas, los chiles verdes, el garam masala, la cúrcuma, el jengibre y el ajo hasta obtener una pasta homogénea.

Calentar el ghee (o el aceite) en una cacerola grande de fondo grueso a fuego medio.

Agregar los clavos de olor, las hojas de laurel, el cardamomo, la rama de canela y las semillas de hinojo y saltear por un minuto.

Cuando las especias comiencen a chisporrotear, agregar la pasta con las cebollas y cocinar a fuego lento durante 3-4 minutos o hasta que el aceite se separe y la pasta se dore.

Agregar la carne, subir un poco el fuego y continuar cocinando, revolviendo ocasionalmente, durante 10-12 minutos o hasta que el líquido se haya evaporado y la carne comience a oscurecerse.

Agregar la pasta a base de coco y la sal, y mezclar bien. Cocinar durante 4-5 minutos, revolviendo ocasionalmente.

Tapar y cocinar a fuego lento durante 1 hora y 15-20 minutos.

Agregar las patatas, tapar y cocinar a fuego lento durante otros 30 minutos o hasta que la carne esté tierna y las patatas bien cocidas.

Retirar del fuego, tapar y dejar reposar durante 15-20 minutos antes de servir.

Notas:

* ghee es la versión india de la mantequilla clarificada. Tiene un punto de humo más alto. da a los platos un sabor extraordinario.

**garam masala: es la mezcla de especias más característica de la cocina india (pimienta, clavo, canela, cardamomo, semillas de comino) que se encuentra presente en casi todos los platos"
https://www.recetas.com/pollo-especiado-con-limon-y-azafran.html,Pollo especiado con limón y azafrán,,"1 kgr. de pata y muslo de pollo (o 1,5 kgr. de pollo entero) 2 cdas. de jengibre fresco rallado 2 limones (ralladura y jugo) 3 dientes de ajo finamente picados 2 cdas. de yogur griego (o crema agria) 1 cda. de comino en polvo 2 cdas. de cilantro en polvo 5-6 pistilos de azafrán (disueltos en una cucharada de leche) 1 rama de canela 3 anís estrellado 2 hojas de laurel 4 cápsulas de cardamomo 3 cdas. de aceite de oliva v. e. Sal al gusto Pimienta al gusto

"," Pollo especiado con limón y azafrán

En un bol grande poner el jengibre, el ajo, el comino, el cilantro, la ralladura y el jugo de limón, los pistilos de azafrán remojados en una cucharada de leche (o agua) y el aceite. Revolver.

Agregar los trozos de pollo y masajearlos bien. Si se utiliza pollo entero, cubrir bien toda la superficie con esta mezcla.

Poner todo en una fuente para horno. Agregar la rama de canela, la hoja de laurel, el anís estrellado y el cardamomo rallado. Sazonar con sal y verter un poco de agua en la fuente hasta cubrir 1/3 de las piezas de pollo. Cubrir con una tapa o papel de aluminio.

Colocar en el horno y cocinar durante unos 45 minutos (el pollo entero al menos 1 hora), luego retirar la tapa y continuar durante 20-25 minutos hasta que esté completamente cocido.

Tomar la mitad de los jugos de la cocción y mezclarlo con el yogur griego (o crema agria) y cocinar en una cacerola durante 10-15 minutos hasta que se reduzca a la mitad y espese un poco.

Servir las piezas de pollo con la salsa y acompañado con arroz hervido o pan indio."
https://www.recetas.com/ensalada-de-frutas-especiadas.html,Ensalada de frutas especiadas,,"1 piña pequeña 1 mango maduro grande, en rodajas o en cubos pequeños 2 kiwis en rodajas 2 naranjas sanguiñas peladas a vivo y cortadas en rodajas 1/2 papaya , en rodajas finas o en cubos pequeños 2 frutas de la pasión 4 lichis cortados por la mitad 4 cdas. de arándanos 1 lima 2 cdas. de azúcar moreno 1 clavo de olor 2 anís estrellados 1 rama de canela 1/2 vaina de vainilla

"," Ensalada de frutas especiadas

En una cacerola preparar la infusión de especias poniendo el jugo de lima y su cáscara rallada con las dos cucharadas de azúcar moreno, el clavo de olor, el anís estrellado, la rama de canela, 1/2 rama de vainilla abierta y 1/2 taza de agua. Llevar a ebullición, revolviendo. Bajar el fuego y cocinar unos 10 minutos hasta que el almíbar se reduzca a la mitad. Dejar enfriar.

En este punto retirar la rama de canela y el clavo de olor, mientras se deja el anís estrellado.

Lavar, pelar y cortar la fruta en trozos en una fuente y verter el almíbar (retirar todas las especias) sobre la fruta. Refrigerar por una hora y servir frío.

Nota: Esta ensalada queda muy bien utilizando principalmente frutas tropicales, pero se pueden utilizar las frutas que haya en casa o las que mejor vayan con el gusto de los comensales."
https://www.recetas.com/curry-de-patatas.html,Curry de patatas,,"3-4 patatas medianas 1 cda. de ajo picado 1 cdta. de chile en polvo 1/2 cdta. de cúrcuma 2 cdtas. de comino en polvo Aceite de girasol Sal al gusto 1 puñado de cilantro fresco (o perejil) Tomates secos (opcional)

"," Curry de patatas

Pelar y trocear las patatas.

Poner 2 cucharadas de aceite en una sartén y, tan pronto como se caliente, agregar el ajo.

Después de 30 segundos, agregar las patatas cortadas en cubitos y cocine por unos 2 minutos.

Agregar las especias y mezclar bien durante 30 segundos. Agregar un poco de agua para cubrir las patatas y cocinar por unos 20 minutos, el tiempo puede variar dependiendo de las patatas. Si se secra demasiado, añadir un cucharón de agua.

Tan pronto como las patatas estén cocidas, ajustar la sal y agregar el cilantro picado. Revolver y retirar del fuego. Agregar si se desea, algunas piezas de tomates secos.

Puede acompañarse con arroz basmati o el característico pan indio (chapati*, naan) o incluso servirse con yogur."
https://www.recetas.com/pollo-asado-especiado-con-limon-y-azafran.html,"Pollo asado especiado, con limón y azafrán",,"1 kg. de pata y muslo de pollo 2 cdas. de jengibre fresco rallado 2 limones (ralladura y jugo) 3 dientes de ajo finamente picados 2 cdas. de yogur griego (o crema agria) 1 cda. de comino en polvo 2 cdas. de cilantro en polvo 5-6 pistilos de azafrán (disueltos en una cucharada de leche) 1 rama de canela 3 anís estrellado 2 hojas de laurel 4 cápsulas de cardamomo 3 cdas. de aceite de oliva v. e. Sal al gusto Pimienta al gusto

"," Pollo asado especiado, con limón y azafrán

En un bol grande poner el jengibre, el ajo, el comino, el cilantro, la ralladura y el jugo de limón, los pistilos de azafrán remojados en una cucharada de leche (o agua) y el aceite. Revolver. Agregar los trozos de pollo y masajearlos bien.

Poner todo en una fuente para horno. Agregar la rama de canela, la hoja de laurel, el anís estrellado y el cardamomo rallado. Sazonar con sal y verter un poco de agua para cubrir 1/3 de las piezas de pollo. Cubrir con una tapa o papel de aluminio.

Llevar al horno y cocinar durante unos 45 minutos, luego retirar la tapa y continuar durante 20-25 minutos, hasta que esté completamente cocido.

Tomar la mitad de los jugos de cocción y mezclarlos con el yogur griego (o crema agria) y cocinar en una cacerola durante 10-15 minutos hasta que se reduzca a la mitad y espese un poco.

Servir las piezas de pollo con la salsa y, acompañar con arroz hervido o pan indio."
https://www.recetas.com/arroz-al-curry-njz.html,Arroz al curry,,"300 gr. de arroz basmati 1 tomate maduro 1 cebolla grande 2 dientes de ajo 2 cm de jengibre fresco 3-4 clavos de olor 3-4 cápsulas de cardamomo 1/2 cdta. de cúrcuma 3 hojas de laurel (o 3 hojas de curry) 1 cm de canela 1 cda. de curry 1/2 cdta. de chile en polvo 150 ml de leche de coco 4 cdas. de aceite de coco (u oliva) Sal

"," Arroz al curry

Para preparar el arroz al curry, colocar 2 cucharadas de aceite de coco, las cápsulas de cardamomo ligeramente trituradas y los clavos de olor en una sartén de bordes altos y dejar aromatizar por uno momento. Luego agregar la cúrcurma y las hojas de laurel. Revolver rápidamente y agregar el arroz basmati, revolviendo nuevamente para que los granos absorban el condimento.

Cubrir al ras con agua, agregar una pizca de sal y cocinar con la tapa puesta: tardará entre 8 y 9 minutos desde el momento de la ebullición. Mientras tanto, cortar la cebolla y el tomate en trozos bastante gruesos, triturar (o picar finamente) los dientes de ajo y el trozo de jengibre, después de haberlos pelado.

En otra sartén (del mismo tamaño que la anterior ya que tendrá que contener el arroz cocido) poner otras dos cucharadas de aceite de coco, el ajo machacado y el jengibre, la canela, la cebolla, el curry y la cúrcuma. Dejar sofreír durante 2-3 minutos, luego agregar el tomate, sazonar con sal y cocinar por 5 minutos.

Verter la leche de coco y mezclar. Cuando la leche esté caliente, completar con el arroz, remover y cocinar y dejar que tome sabor por unos minutos más, hasta que la leche de coco se haya absorbido.

Transferir el arroz al curry a una fuente y servir."
https://www.recetas.com/pollo-tikka-masala.html,Pollo tikka masala,,"1 kg de pechuga de pollo 150 gr. de yogur griego 1 dedo de jengibre fresco 4 dientes de ajo 5 gr. de garam masala 6 gr. de pimentón ahumado 1/2 limón 350 gr. de salsa de tomate 50 gr. de nata fresca 1 cebolla 1 guindilla fresca 3 gr. de comino 3 gr. de cúrcuma en polvo 1 cdta. de azúcar morena 1 cda. de aceite de oliva v. e. Sal al gusto. Cilantro al gusto

"," Pollo tikka masala

Comenzar cortando la pechuga de pollo en trozos de unos 2 centímetros por lado.

Por separado, en un bol, mezclar el yogur con el jengibre recién rallado, 3 dientes de ajo machacados con el utensilio especial, el garam masala, la mitad del pimentón, el jugo de limón y una pizca de sal.

Incorporar los nuggets de pollo y mezclar bien para distribuir todos los sabores.

Cubrir el recipiente con papel film y colocarlo en el refrigerador durante al menos 6 horas, preferiblemente durante toda la noche.

Pasado el tiempo necesario para que la carne absorba todos los sabores de las especias, transferirla a una placa para horno forrada con papel pergamino y cocinar a 220 ° C durante 20 minutos.

Mientras tanto, preparar la salsa de acompañamiento. Cortar finamente el ajo y la cebolla restantes y dorarlos en una sartén con el aceite y el pimiento rojo cortado por la mitad y sin semillas.

Condimentar con cúrcuma, pimentón y comino y tostar las especias a fuego alto durante un minuto.

Luego agregar la salsa de tomate, el azúcar morena, una pizca de sal y cocinar a fuego medio durante 10 minutos. Dos minutos antes del final de la cocción, agregar la crema y mezclar bien.

Agregar el pollo, ahora cocido y, después de revolverlo rápidamente, servir completando con unas hojas de cilantro fresco.

La mejor manera de disfrutar el pollo tikka masala es con arroz pilaf o pan chapati como en la India!"
