url,title,date,ingredients,steps
https://www.recetas.com/nasi-goreng-plato-tipico-de-la-cocina-indonesia.html,Nasi Goreng: plato típico de la cocina indonesia,,"200 gr. de arroz 200 gr. de pechuga de pollo 100 gr. de gambas 2 huevos 2 chiles 3 dientes de ajo 4 cebollas de verdeo 1 cebolla 1 cda. se salsa de soja 1 cda. de sambal oelek Sal fina Pimienta

"," Nasi Goreng: plato típico de la cocina indonesia

Batir los huevos en un tazón y verter en una sartén antiadherente con un poco de aceite. Cocinar unos 30 segundos por lado: retirar y dejar que se enfríe.

Hervir el arroz y escurrirlo al dente. Pásarlo bajo el agua rápidamente y secarlo con un paño de algodón.

Picar los chiles, cortar finamente el ajo y la cebolla y agregarlos a la salsa sambal.

Calentar el aceite en el wok, dorar el chile, luego agregar las gambas y el pollo cortado en tiras. Agregar las cebolletas cortadas en rodajas y dejarlas dorar durante unos 10 minutos, revolviendo constantemente con una cuchara de madera.



Enrollar la tortilla y cortarla en tiras. Agregarla a la sartén con el resto de los ingredientes y cocinar por un par de minutos. Incorporar el arroz, la salsa de soja, sal y pimienta y cocinar por unos minutos más, revolviendo constantemente. Apagar el fuego e inmediatamente servir la Nasi Goren con verduras.



Consejos

Se pueden agregar las verduras que se prefieran a la preparación de Nasi Goren: pimientos cortados en tiras, guisantes, zanahorias y calabacin es juliana, tomates, según sus gustos y estacionalidad.

La pechuga de pollo se puede sustituir por tiras de res, lo que hará que el plato sea aún más sabroso.

Para la preparación de Nasi Goren usar arroz patna o arroz basmati.

Los que prefieran pueden agregar un huevo frito: agregar en el plato antes de llevarlo a la mesa. Un toque extra que hará que el plato sea más espectacular.

El sambal oelek es una salsa a base de chiles picantes, que puede adquirirse en tiendas étnicas."
https://www.recetas.com/pollo-satay.html,Pollo satay,,"Para la salsa : 50 gr. de cacahuetes tostados no salados 1-2 dientes de ajo picados 1 cda. de aceite de sésamo o maíz 2 cdas. de salsa de soja Leche de coco 1 cdta. de cúrcuma Chile en polvo a gusto 1 cda. de jugo de lima

Para la marinada : 1 cebolla grande picada 1 diente de ajo picado 1 trozo de 2 x 2 cm de jengibre fresco, pelado y desmenuzado 1 cdta. de polvo de cilantro 1 cdta. de comino 2 cdas. de azúcar de caña 3 cdas. de salsa de soja 3 cdas. de aceite de sésamo tostado (también puede ser aceite de oliva) 1 cda. de salsa de pescado (opcional)

"," Pollo satay

Poner la carne de pollo en un bol y agregar todos los ingredientes mezclándolos bien con las manos para dar sabor a todas las partes.

Tapar el recipiente y mantenerlo en el refrigerador durante al menos dos horas, o también durante toda la noche si se desea.

Al momento de cocinar, pinchar la carne en pinchos largos y cocinar en una parrilla u horno a 180 ° C durante 10-15 minutos.

Mientras los brochetes se cocinan poner todos los ingredientes de la salsa en un mixer y procesar hasta obtener una crema suave. Ajustar la consistencia con la leche de coco para que sea más densa o más fluida según el gusto.

Servir los pinchos calientes con la salsa a temperatura ambiente.

Notas: La salsa se conserva en la nevera durante 3-4 días si está bien cubierta; si se espesa demasiado, simplemente agregar un poco de leche de coco o agua y mezclar."
https://www.recetas.com/ensalada-indonesa-frutas-y-verduras.html,Ensalada indonesa frutas y verduras,,"Para el aderezo 3 cdas. de azúcar extra fino 1/2 cdita. de sal 1 cda. de vinagre dulce 1 cda. de aceite vegetal

Usar diversas frutas y verduras de ternporada como : Piña fresca Manzanas Naranjas Toronjas Mangos Uvas Pepinos Camotes Rábanos Apio Cebollitas de Cambray

"," Ensalada indonesa frutas y verduras

Pelar las frutas y las verduras; cortarlas en rebanadas pequeñas.



Acomodarlas de manera atractiva en un platón grande o en platos individuales.



Para preparar el aderezo, mezclar los ingredientes en un tazón. Servir la ensalada de frutas y el aderezo, separadamente.

Para cocinar los camotes: Hervirlos 20 minutos o hasta que queden suaves. No intentar pelarlos antes de cocinarlos. Cocinarlos y después se les podrá quitar la piel con facilidad."
https://www.recetas.com/bami.html,Bami,,," Bami

Lavar, pelar y picar finamente las verduras. Cortar en cubos la carne de pollo y la carne magra de cerdo. Escaldar los guisantes (10 minutos) y escurrirlos.



Saltear en un wok o sartén con asas el pollo, el cerdo y los camarones, a fuego alto durante unos 10 minutos, junto con 2-3 cucharadas de aceite de oliva y la mantequilla, recordando agitar suavemente durante la cocción.



Agregar las verduras y los guisantes; sazonar con sal y pimienta; tapar y cocinar 5-6 minutos.



Añadir una cucharada de ketchup y cocinar otros 5 minutos. Retirar del fuego y mantener caliente.



Cocinar los fideos al dente; escurrirlos y servirlos junto con el alteado de carne, verduras y gambas."
https://www.recetas.com/cerdo-a-la-indonesia.html,Cerdo a la indonesia,,," Cerdo a la indonesia

Corte el lomo de cerdo en rodajas de 1 cm. y luego éstas en tiras. Eche por encima el zumo del limón y déjelas macerar 10 minutos, agregando también perejil y menta picados, y sal.

Escurra la carne, pase los trocitos por el polvo de curry y fríalos en el aceite caliente durante 5 minutos.

Ralle la pulpa del coco y sírvalo para acompañar, así como el arroz blanco."
https://www.recetas.com/receta-de-Pato-a-la-indonesia-7824.html,Pato a la indonesia,,"Ingredientes 1 pato de 2,5 kg.

Sal

Pimienta

1

4 cdas. de aceite

2 cdas. de harina

1 piña chica

1 naranja

1 cda. de salsa Worcestershire

1 a 2 cdas. de

1 pato de 2,5 kg.SalPimienta coco fresco4 cdas. de aceite2 cdas. de harina1 piña chica1 naranja1 cda. de salsa Worcestershire1 a 2 cdas. de azúcar morena

"," Pato a la indonesia Partir el coco y recoger la leche, aumentarla a 3/4 de Iitro con agua o usar la leche de coco envasada; rallar grueso la pulpa.



Calentar el aceite y dorar el pato cortado en ocho partes.



Retirarlas y añadir la harina, revolver sobre el fuego, añadir 3/4 de Iitro de leche de coco o algo más y revolver hasta espesar.



Agregar media taza de coco rallado y cocinar otro poco. Incorporar los trozos de pato y seguir la cocción durante una hora.



Retirarlos y aderezar la salsa con la salsa Worcestershire, el azúcar morena y sal. Añadir nuevamente los trozos de pato, el ananá en trocitos y la naranja fileteada y calentar todo.



Rallar un poco más de coco por encima y servir con arroz blanco.

"
https://www.recetas.com/receta-de-Carnero-Rendang-3370.html,Carnero Rendang,,"Ingredientes 1 kilo de carne de carnero, pesada sin hueso. Otro tipo de carne puede ser usado.



10 tazas de agua



1 ½ cocos, la pulpa.



2 hojas de la cúrcuma



4 hojas del limonero, finamente picadas, (original hojas del árbol de la lima)



2 cucharillas de azúcar



1 cucharilla de sal



Una pulgarada de glutamato.



Rempah:



10 chiles secos



25 chalotas



5 dientes ajo



5 centímetros de raíz de cúrcuma o 2 cucharillas de



10 discos, 1 mm., de ""galingale"", el



8 discos, 1 mm., de jengibre.



3 tallos de hierba limón.

1 kilo de carne de carnero, pesada sin hueso. Otro tipo de carne puede ser usado.10 tazas de agua1 ½ cocos, la pulpa.2 hojas de la cúrcuma4 hojas del limonero, finamente picadas, (original hojas del árbol de la lima)2 cucharillas de azúcar1 cucharilla de salUna pulgarada de glutamato.10 chiles secos25 chalotas5 dientes ajo5 centímetros de raíz de cúrcuma o 2 cucharillas de cúrcuma en polvo.10 discos, 1 mm., de ""galingale"", el jengibre se puede utilizar de sustituto.8 discos, 1 mm., de jengibre.3 tallos de hierba limón.

"," Carnero Rendang Preparación:



Cortar el carnero en bocaditos.

Añadir una taza de agua a la pulpa del coco.

Machacar, exprimir, todo el liquido que se pueda del coco, para obtener una leche de coco densa.

Al residuo de la pulpa, añadirle 8 tazas de agua y extraer todo el jugo que se pueda y obtendremos una leche fina.

Mezclar al tamarindo 1 taza de agua, dejar en maceración y luego exprimir bien para extraer el jugo.

Poner la leche fina obtenida de coco en un recipiente al fuego, con el carnero y rempah, en un wok sin cubrir, añadir la cúrcuma y las hojas de limonero pero sin que llegue a hervir, añadir agua si fuera necesario para que no se seque. Revolver constantemente.

Cuando la carne este tierna, añadir la leche de coco densa, el jugo del tamarindo, azúcar, sal y glutamato.

Tener al fuego sin que hierva hasta que la carne este muy tierna y el caldo se ha espesado.

Servir caliente con arroz blanco."
https://www.recetas.com/receta-de-Ayam-Panggang-(Pollo-a-la-parrilla-al-estilo-de-Indonesia)-3371.html,Ayam Panggang (Pollo a la parrilla al estilo de Indonesia),,"Ingredientes 1



2 cucharillas de azúcar



1 cucharilla de sal



1 lima, el zumo



1 ½



3 cucharadas de aceite.



Rempah:



5 chiles



2 dientes ajo



12 chalotas



2 tallos de hierba limón



4 discos de galingale, sustituir por jengibre



15 granos de pimienta



3 centímetros de raíz de pollo de un kilo como mínimo2 cucharillas de azúcar1 cucharilla de sal1 lima, el zumo1 ½ coco , la pulpa rallada3 cucharadas de aceite.5 chiles2 dientes ajo12 chalotas2 tallos de hierba limón4 discos de galingale, sustituir por jengibre15 granos de pimienta3 centímetros de raíz de cúrcuma o en su lugar ½ cucharilla de polvo de cúrcuma.

"," Ayam Panggang (Pollo a la parrilla al estilo de Indonesia) Preparación:



Cortar en cuartos el pollo, marinarlo con el azúcar, sal y jugo de lima por al menos 2 horas.

Poner el pollo en la parrilla hasta que este bien dorado.

Mientras extraer de la pulpa rallada de coco calentándola en un poco de agua para obtener 1 taza y media de leche densa.

Calentar en el wok el aceite y freír el rempah hasta que este fragante, añadir la leche de coco y el pollo.

Tenerlo al calor sin que apenas cueza hasta que se seque.

Durante este tiempo revolver bien los cuartos de pollo, para que todas las partes se bañen en el liquido.

Para servir cortarlo en bocados."
https://www.recetas.com/receta-de-Pinchos-de-Pollo-(sate)-3372.html,Pinchos de Pollo (saté),,"Ingredientes 1 pollo grande



Un trozo de raíz de cúrcuma o 1 cucharilla de polvo de



4 cucharadas de



½ cucharilla de



1 cucharada de salsa de soja



Sal al gusto



4 cucharadas de



3 cucharadas de aceite, para pintar los trozos de 1 pollo grandeUn trozo de raíz de cúrcuma o 1 cucharilla de polvo de cúrcuma 4 cucharadas de cilantro , tostado y molido½ cucharilla de pimienta recién molida1 cucharada de salsa de sojaSal al gusto4 cucharadas de leche de coco densa.3 cucharadas de aceite, para pintar los trozos de pollo cuando estemos braseandolos.

"," Pinchos de Pollo (saté) Preparación:



Cortar la carne del pollo en trozos de unos 2 centímetros.

Macerar la carne durante 30 minutos con el cilantro, cúrcuma, pimienta, salsa de soja y sal.

Ensartar los trozos de pollo, en pinchos bien de bambú o metálicos.

Pintar los pinchos con la leche de coco justamente antes de ponerlos en las brasas de carbón vegetal.

Durante el braseado pintarlas con el aceite."
https://www.recetas.com/receta-de-Nasi-Kebuli-(pollo-frito-con-arroz)-3373.html,Nasi Kebuli (pollo frito con arroz),,"Ingredientes 1 1/2 kg. de



450 g. de



3 dientes de ajo, machacados



4 chalotes, machacados



2 cucharillas de



1/2 cucharilla de cominos



Un pellizco de laos



Un pellizco de hierba de



Un palito pequeño de canela



Un pellizco de nuez moscada, rallada



2 clavos enteros



Sal



Aceite vegetal abundante para freír



Para la guarnición:



1



picado



Cebollino picado



a rodajas 1 1/2 kg. de pollo , troceado450 g. de arroz de grano largo3 dientes de ajo, machacados4 chalotes, machacados2 cucharillas de cilantro molido1/2 cucharilla de cominosUn pellizco de laosUn pellizco de hierba de limón en polvo o una ramita frescaUn palito pequeño de canelaUn pellizco de nuez moscada, rallada2 clavos enterosSalAceite vegetal abundante para freír cebolla pequeña, a ruedas finas, frita y escurrida sobre papel absorbente. Perejil picadoCebollino picado Pepino a rodajas

"," Nasi Kebuli (pollo frito con arroz) Preparación:



Remojar el arroz en agua fría durante una hora.

Mezclar el ajo machacado y los chalotes con las especias y sal a su gusto.

Colocar los trozos de pollo y la mezcla de especias en una cacerola y cubrir de agua fría. Poner la cacerola a fuego vivo y cuando rompa a hervir el líquido, reducir el fuego y dejar cocer suavemente hasta que esté tierno el pollo, tardará aproximadamente unos 40 minutos.

Mientras, lavar varias veces el arroz con agua fría y escurrir bien. Saltearlo durante cinco minutos en un cazo grande con una cucharada del aceite, dando vueltas continuamente.

Escurrir el caldo de cocer el pollo y complételo con agua si hiciera falta hasta tener 4 1/2 tazas.

gregarlo al arroz y cocer éste en el caldo hasta que desaparezca el liquido, más o menos unos 10 minutos.

Ponerlo entonces en un cesto y cuézalo al vapor, tapado, otros 10 minutos.

Mientras cuece el arroz, calentar el aceite en freidora o sartén honda, a 180 C, cuando se fría bien un trocito de pan en 60 segundos.

Escurrir el pollo sobre papel absorbente y freírlo luego de 8 a 10 minutos o hasta que quede churruscante por fuera.

Servir el arroz apilado en una legumbrera caliente, colocar el pollo alrededor y disponer por encima la cebolla frita, el perejil, cebollino y rodajas de pepino."
