url,title,date,ingredients,steps
https://www.recetas.com/yorkshire-pudding-eu2.html,Yorkshire pudding,,," Yorkshire pudding

Poner la harina junto con los huevos en un bol y trabajar con un batidor de mano hasta que la mezcla esté suave. Agregar la leche, vertiéndola lentamente y continuar trabajando la mezcla hasta que quede suave y sin grumos. Dejar reposar durante 30 minutos en el refrigerador.

Con ayuda de una brocha, engrasar abundantemente con aceite los moldes para muffins seleccionados, que deben ser moldes antiadherentes. Calentarlos en el horno a una temperatura de 230° hasta que estén calientes: deberán verse las gotitas de aceite ""friéndose"". Retirar los moldes caliente del horno y dividir la masa en ellos, llenándolos hasta aproximadamente 3/4 de su capacidad. Hornear inmediatamente a la misma temperatura y cocinar durante 20 - 25 minutos o, en cualquier caso, hasta que los budines estén bien hinchados y dorados en la superficie. Sacar del horno y servir inmediatamente, desmoldándolos con mucho cuidado para evitar que se rompan."
https://www.recetas.com/lemon-curd-crema-inglesa-de-limon.html,Lemon Curd (Crema inglesa de limón),,"3 huevos 1 yema 100 gr. de mantequilla 200 gr. de azúcar 4 limones orgánicos 35 gr. de maicena* (opcional)

"," Lemon Curd (Crema inglesa de limón)

En una cacerola, batir todos los huevos con el azúcar.

Añadir el jugo de limón y la ralladura de uno finamente rallado, la mantequilla, una pizca de sal.

Cocinar a fuego medio-bajo, revolviendo siempre con un batidor, hasta que espese, en unos 15 minutos.

Transferir todo a un recipiente de vidrio, dejar enfriar, luego cubrir la crema con una película adhesiva para que la superficie no se seque.

Refrigerar y dejar reposar toda la noche antes de consumirla. Luego se puede conservar durante 10 días en la heladera.

Nota:

* La maicena permitirá obtener un Lemon Curd más ""sólido"". En la receta no se utilizó y la crema obtenida fue de una consistencia perfecta para rellenar una tarta (lemon pie)."
https://www.recetas.com/mince-pie.html,Mince pie,,"400 gr. de masa quebrada 300 gr. de pasas de uva 300 gr. de manzanas Granny Smith 250 gr. de bayas mixtas 250 gr. de azúcar morena 1 vaso de brandy 125 gr. de mantequilla 65 gr. de pieles de frutas confitada al gusto 1/2 limón sin tratar 1/2 naranja sin tratar 1/2 cdta. de canela molida 1 pizca de nuez moscada Azúcar en polvo al gusto Aceite de oliva al gusto

"," Mince pie

El mince pie navideño es una receta que contiene todos los sabores de la estación fría, ya que se prepara con una compota que se deja reposar durante un mes. Típico de la tradición anglosajona, es excelente para concluir un almuerzo de Navidad, pero también para un frío día de invierno.



Pelar las manzanas, cortarlas por la mitad y retirarles el corazón y las semillas, luego cortarlas en trozos pequeños. Pasarlos a un bol grande y añadir la ralladura de naranja y limón, las pieles confitadas, las bayas limpias, las pasas y la mantequilla cortada en trozos.

Disolver el azúcar y las especias en el brandy, luego espolvorear la fruta con la mezcla, revolver y dejar reposar durante la noche.

Para hacer las tartas, dividir la masa quebrada en 12 porciones. Separar cada porción en dos partes y estirarlas para formar dos discos, uno ligeramente más ancho que el otro.

Engrasar 12 moldes para muffins con un poco de aceite de oliva y usar el disco más grande para revestir el fondo y los bordes.

Precalentar el horno a 180 ° C y, mientras se espera a que alcance la temperatura, rellenar cada porción con una o dos cucharadas de la mezcla de frutas. Cerrar los dulces con el segundo disco de repostería sellando los bordes con los dedos y hornear unos 15 minutos.

Una vez listas, dejar enfriar las tartas y espolvorear con azúcar glas antes de servir.



Consejos:

Los tiempos de cocción dependen del tipo de horno y del grosor de la masa. Antes de sacar los dulces, esperar hasta que la superficie haya alcanzado un ligero dorado.

Si se prefiere, se puede hacer una sola tarta, dividiendo la masa en dos partes para obtener dos discos. Rellenar con la mezcla de frutas y proceder según la receta."
https://www.recetas.com/pound-cake.html,Pound cake,,"4 huevos 220 gr. de azúcar 220 gr. de harina 220 gr. de mantequilla 8 gr. de levadura en polvo para postres Ralladura de 1 limón Sal Azúcar glas

"," Pound cake

Batir los huevos con el azúcar y una pizca de sal hasta que la mezcla esté ligera y esponjosa. Agregar la harina tamizada y la levadura en polvo y revolver un poco más para mezclar, sin exagerar.

Agregar la ralladura de limón y la mantequilla derretida y fría vertiéndola lentamente y sin dejar de trabajar con el batidor. Cuando se haya obtenido una mezcla homogénea verterla en un molde de budín de 25 x 11 cm forrado con papel pergamino.

Hornear en horno precalentado a 170° durante unos 40-45 minutos o en cualquier caso hasta que un palillo clavado en el centro del bizcocho salga limpio. Retirar el budín del horno y dejar enfriar completamente antes de desmoldarlo. Espolvorear con azúcar glas al gusto y servir."
https://www.recetas.com/pastel-ingles-huevos-y-panceta.html,Pastel inglés huevos y panceta,,"Para el relleno : 1 cda.de aceite de oliva 1 cebolla grande, finamente picada 1 diente de ajo machacado 200 gr. de tocino fresco cortado en cubitos 200 gr. de solomillo de cerdo cortado en cubos de aproximadamente 1,5 cm 5 huevos medianos 100 gr. de queso tipo Philadelphia 100 gr. de parmesano rallado 1 cda. de cebollino picado Sal y pimienta al gusto

Para la masa : 275 gr. de harina 1 pizca de sal 135 gr. de mantequilla fría en cubos 1 huevo batido mediano 1 cdita. de jugo de limón 3-2 cdas. de agua fría 1 huevo batido para pincelar

"," Pastel inglés huevos y panceta

Para la masa, poner la sal y la harina en un tazón, agregar la mantequilla y mezclar con las yemas de los dedos o con una batidora hasta obtener una mezcla arenosa. Mezclar el huevo batido con jugo de limón y agua, agregar este líquido a las mezcla anterior y amasar muy rápido (no trabajar demasiado la masa, si es necesario agregar un poco de agua). Cuando la masa comience a amalgamarse, envolverla en una envoltura de plástico y ponerla en el refrigerador por aproximadamente 30 minutos.

Mientras tanto, calentar el aceite y agregar la cebolla y el ajo. Cocinar a fuego lento hasta que la cebolla se vuelva transparente. Agregar el tocino y el lomo, aumentar ligeramente el fuego y cocinar durante unos 10 minutos, revolviendo ocasionalmente hasta que los líquidos de la carne se hayan evaporado por completo. Dejar que se enfríe por completo.

Encender el horno a 200 ° C. Batir dos de los cinco huevos con el queso philadelphia, agregar el parmesano, cebollín, sal y pimienta. Luego agregar el tocino y el lomo enfriados.

Estirar dos tercios de la masa y cubrir el fondo y los bordes del molde, dejando que el exceso desborde.

Verter el relleno y con una cuchara hacer tres cuencos ligeros a una distancia regular; en cada cuenco agregar uno de los tres huevos restantes.

Estirar el último tercio de la masa en forma redonda y colocar el disco de pasta sobre el relleno.

Cerrar el pastel usando el exceso de masa en los lados, doblándolo sobre el disco superior y pellizcándolo con los dedos. Pincelar con el huevo batido.

Hornear y cocinar durante aproximadamente 50-55 minutos, esperar al menos 15 minutos después de retirarlos del horno antes de cortarlo. Es delicioso tanto caliente como frío"
https://www.recetas.com/baked-beans-frijoles-horneados.html,Baked beans (frijoles horneados),,"1/2 kg de frijoles 1 cebolla 1 cda. de mostaza 1 cdta. de bicarbonato 4 cdas. de azúcar 1 cda. de sal 200 gr. de tocino 1 vaso de melaza 1 cda. de pimienta

"," Baked beans (frijoles horneados)

Remojar los frijoles durante toda la noche. A la mañana siguiente, precalentar el horno a 160 grados; mientras tanto, llenar una olla a presión con agua y agregar el bicarbonato de sodio. Cuando el agua hierva, verter los frijoles en la olla. Después de 10 minutos de cocción, escurrir y reservar los frijoles.

Cortar el tocino en cubos y preparar una mezcla de melaza, mostaza, azúcar, sal y pimienta con tres vasos de agua caliente. Agregar a los frijoles. Cubrir la cacerola y llevarla al horno mínimo de cuatro a seis horas. Al término de la cocción llevar a la mesa y servir.



Consejos: Durante la cocción, verificar que los frijoles no queden secos; de vez en cuando, se puede agregar agua. Además, para disfrutar mejor este plato, se puede servir con rebanadas de pan o crutons o como guarnición de un plato de carne."
https://www.recetas.com/english-trifle.html,English Trifle,,"5 huevos 225 gr. de azúcar 75 gr. de harina 75 gr. de almidón 1 vaina de vainilla 400 gr. de fresas 70 gr. de azúcar glas 25 gr. de almidón de maíz 3 yemas 250 ml de leche 100 ml de nata batida azucarada

"," English Trifle

En primer lugar, preparar el bizcocho. Retirar las semillas de la vaina de vainilla haciendo una incisión a lo largo y raspándolas con la punta del cuchillo. Reservar la vaina.

Agregar las semillas a los huevos en el tazón de la batidora planetaria equipada con un batidor de alambre (o utilizar una batidora eléctrica) y coenzar a ensamblar. Agregar 150 gr. de azúcar poco a poco y, cuando haya obtenido una mezcla clara y esponjosa, apagar la máquina.

Incorporar la harina tamizada con el almidón y mezclar suavemente con una espátula para que se absorba sin bajar la mezcla.

Engrasar y enharinar un molde para hornear de 24 cm de diámetro y verter la mezcla. Cocer a 160 ° C durante 50 minutos. Retire del horno y deje que se enfríe completamente antes de continuar con la receta. Si lo desea, puede anticipar esta preparación el día anterior.

Ahora preparar la crema pastelera. En una cacerola, calentar la leche con la vaina de la vainilla (puede usarse la del bizcocho: será suficiente para darle sabor).

Por separado, batir las yemas con el azúcar restante, luego agregar el almidón de maíz. Cuando la leche esté caliente pero no hirviendo, retirar la vaina y verter la mezcla de huevo, revolviendo con un batidor. Dejar que la crema espese a fuego medio. Una vez que alcance la consistencia clásica, transferir a un tazón y cubrir con película en contacto.



Retirar el pecíolo de las fresas y cortarlas en cubos pequeños. Ponerlos a macerar por un par de horas con el azúcar glas, para que liberen el jugo. Al momento de utilizar las fresas, reservar el jugo.

Armar el trifle. En copas individuales o en un gran bol de cristal comenzar con una capa de bizcocho cortado en cubos de un centímetro que se humedecerán con el jugo liberado por las fresas, continar con las fresas, agregar copos de nata batida y finalmente la crema partelera. Repite todas las capas una vez más.

Nota: Recuerdar usar el jugo liberado de las fresas para remojar el bizcocho (alternativamente, puede usar fresas frescas y licor de cereza)."
https://www.recetas.com/ensalada-de-mariscos-y-lentejas.html,Ensalada de mariscos y lentejas,,"600 gr. de pulpo hervido 350 gr. de sardinas 260 gr. de calamares 200 gr. de lentejas pequeñas 12 mejillones limpios 12 almejas purgadas 6 filetes de salmonetes 1 cebolleta Menta aceite de oliva v. e. Sal

"," Ensalada de mariscos y lentejas

Hervir las lentejas en agua sin sal durante 25 minutos.

Limpiar los calamares y cortarlos en tiras; abrir las sardinas en libro, retirar el hueso y enrollarlas sobre sí mismas, dejando la piel en el exterior y sujetándolas con un palillo. Hacer abrir los mejillones y las almejas en una olla con un poco de aceite.

Cortar una cebolleta y cocinar en una sartén con 2 cucharadas de aceite por 2 minutos. Agregar las lentejas y revolver para darles sabor; espolvorear con el líquido filtrado de los mejillones y almejas, agregar una ramita de menta triturada y cocinar durante 2-3 minutos.

Saltear los rollos de sardinas; cortar los filetes de salmonetes por la mitad y agrega sal también. Colocarlos sobre las lentejas junto con los calamares y cocinar tapado durante 2 minutos; apagar y completar con el pulpo cortado en trozos pequeños y las conchas."
https://www.recetas.com/crema-custard.html,Crema Custard,,," Crema Custard

La crema custard es la versión británica de la maravillosa crema pastelera. El procedimiento es muy similar, pero el resultado es bastante diferente, es una crema bastante líquida que combina bien con magdalenas y frutas frescas.





Para preparar la crema cutard o crema inglesa, colocar la leche y la vaina de vainilla en una olla. Dejar hervir a fuego lento.

Mientras tanto, batir las yemas de huevo con el azúcar hasta que tenga una consistencia homogénea. Verter la leche caliente de la que ha extraído la vainilla y batir con batidor de alambre hasta que la crema espese ligeramente.

Llevar todo a fuego lento y continuar removiendo durante un par de minutos, no debe hervir. Apague el fuego: se habrá obtenido una crema con una consistencia bastante líquida y muy fragante, para ser servida con tortas y galletas.

Notas: Para hacer la crema un poco más espesa, agregar una cucharada de almidón de maíz a la mezcla de huevos y azúcar. No más, de lo contrario perderá su característica consistencia semilíquida.

Ideas y variantes: Al igual que con la crema pastelera, se puede dar sabor a la creama custard añadiendo chocolate o cacao en polvo."
https://www.recetas.com/steak-and-kidney-pie.html,Steak and kidney pie,,"700 gr. de carne de ternera 200 gr. de riñón de ternera 2 cebollas 30 gr. de harina 800 ml de caldo de carne 2 cdas. de salsa Worcester 1 o 2 discos de masa de hojaldre 1 huevo Mantequilla 3 cdas. de aceite de oliva virgen extra Sal Pimienta

"," Steak and kidney pie

En una cacerola grande con aceite de oliva virgen extra, dorar la carne y el riñon cortados en cubos junto con el ajo durante sólo 5 minutos, luego retirar y reservar.

En la misma cacerola, poner las cebollas picadas y, tan pronto como comienzan a dorarse, agregar la carne espolvoreando con la harina; añadir el caldo caliente, revolver bien y dejar cocinar durante 1 hora a fuego bajo.

Transcurrido el tiempo, apagar el fuego, ajustar de sal y pimienta, completar con la salsa Worcester y deje enfriar.

Verter la preparación de la carne en una cazuela para horno de bordes altos engrasada y cubrirla con un disco de pasta; cortar el exceso de hojaldre con un cuchillo de cocina, luego pincelar la superficie con el huevo batido.

Ayudando con la punta del cuchillo pequeño realizar pequeños cortes en el centro de la superficie del pastel y cocinar en el horno ya caliente a 220 ° C durante 40 minutos.

Retirar el pastel del horno, dejar reposar durante unos minutos y servir caliente.





Notas: Cocinar la carne en una olla de llama moderada sin la tapa para que se mantenga tierna. Si se secara excesivamente mojar con 1 cucharada de caldo caliente.

Para cubrir el relleno también se puede utilizar pasta brisè.

Ideas y variantes: Pueden utilizarse en el armado también dos discos de hojaldre: el primer para tapizar el fondo de la cazuela, cubrir luego con la carne y tapar con el segundo disco."
