url,title,date,ingredients,steps
https://www.recetas.com/pan-jala.html,Pan Jalá,,"1 kg de harina de Manitoba (o 00) 2 vasos de agua tibia 1 cubo de levadura fresca o 1 sobre de levadura de cerveza deshidratada 1/2 taza de aceite de maní o de girasol 1/2 vaso de azúcar de mesa 1 huevo a temperatura ambiente 1 cucharada de sal 1 huevo para pincelar Semillas de sésamo para decorar

"," Pan Jalá

En un tazón grande disolver la levadura de cerveza en el agua tibia. Luego agregar el azúcar, el aceite, la sal y el huevo y mezcle los ingredientes con un batidor o un tenedor.

Añadir poco a poco la harina a los líquidos, dejando que se absorba bien la cantidad anterior antes de añadir más. La cantidad final a añadir depende mucho del tipo de harina y de las condiciones climáticas: es posible que se lleve algo menos de un kilo. Amasar a mano en el bol, o con el gancho en la batidora, durante unos diez minutos. Cuando la masa esté suave y compacta y ya no se pegue a las manos, amasar bien sobre una superficie enharinada durante otros cinco minutos.

Transferir a un recipiente ligeramente engrasado y dejar crecer, cubierto con un paño húmedo, durante al menos un par de horas o, en cualquier caso, hasta que duplique su volumen.

Una vez que la masa haya subido bien, preparar los 2 panes. Dividir la masa por la mitad y luego dividir cada una de las dos en tres partes nuevamente. Forma una trenza con las tres primeras piezas de rollos del mismo largo.

Cuando la trenza esté hecha, dobla los extremos hacia abajo. Proceder de la misma manera para formar la otra trenza con las tres partes restantes de masa.

Colocar las trenzas en una bandeja para hornear cubierta con papel pergamino y dejarlas crecer durante otra media hora. Cuando el leudado esté completo, pintar las trenzas con huevo batido y espolvorearlas con semillas de sésamo. Luego hornear en un horno precalentado a 200°.

Cocinar las trenzas durante unos diez minutos, luego bajar la temperatura a 180 ° y cocinar durante unos veinte minutos más. La jalá está cocida cuando haya adquirido un hermoso color dorado tanto por arriba como por abajo."
https://www.recetas.com/jala.html,Jalá,,"1 kg de harina manitoba (o 00) 2 vasos de agua tibia 1 cubo de levadura fresca o 1 sobre de levadura de cerveza deshidratada 1/2 vaso de mesa de aceite de maní o de girasol 1/2 vaso de mesa de azúcar 1 huevo a temperatura ambiente 1 cda. de sal

"," Jalá

Disolver la levadura en un recipiente grande con agua tibia. Luego agregar el azúcar, el aceite, la sal y el huevo y mezclar los ingredientes con un batidor o tenedor.

Agregar la harina a los líquidos, incoporándola poco a poco y absorbiendo bien la cantidad anterior antes de agregar más. La cantidad final que se agregará dependerá en gran medida del tipo de harina y las condiciones climáticas: puede ser posible que tome menos de un kilogramo. Amasar a mano en el tazón, o con el gancho amasador en la batidora, durante unos diez minutos. Cuando la masa esté suave y compacta y ya no se adhiera a las manos, trabajar bien sobre una superficie enharinada durante otros cinco minutos.

Luego transferirla a un recipiente ligeramente engrasado y dejarla levar, cubierta con un paño húmedo, durante un par de horas o al menos hasta que se duplique su volúmen.

Una vez que la masa haya levado bien, dar forma a los 2 panes. Dividir la masa por la mitad y luego dividir cada una de las dos nuevamente en tres partes. Formar la trenza con las primeras tres piezas de los rollos de la misma longitud.

Cuando la trenza esté armada, doblar los extremos hacia abajo Proceder de la misma manera trenzando las tres partes restantes de la masa.

Acomodar las trenzas en una bandeja para hornear cubierta con papel pergamino y dejar que leven nuevamente durante media hora. Cuando se complete el leudado, pincelar las trenzas con el huevo batido y espolvorear con semillas de sésamo. Luego llevarlas al horno ya caliente a 200 °.

Cocinar las trenzas durante unos diez minutos, luego bajar la temperatura a 180 ° y cocinar durante otros veinte minutos más o menos. El Jalá estará cocido cuando haya adquirido un hermoso color dorado tanto arriba como abajo."
https://www.recetas.com/pancitos-de-matza.html,Pancitos de matzá,,"Ingredientes 1 y 1/2 tazas de

3/4 cdta. de sal

3 cdas. de azúcar

3 claras

1 taza de agua

1/4 de taza de 1 y 1/2 tazas de harina de matzá3/4 cdta. de sal3 cdas. de azúcar3 claras1 taza de agua1/4 de taza de margarina derretida

"," Pancitos de matzá Mezcle la harina con la sal y el azúcar. Bata las claras con el agua y agregue la margarina, batiendo bien.



Vierta la preparación sobre la harina y mezcle bien.



Vierta de a cdas. en moldes de tartaletas grandes y lleve a horno moderado durante media hora."
https://www.recetas.com/pan-trenzado-jale-o-koilich.html,Pan trenzado (Jale o Koilich),,"Ingredientes 1/2 kg. de harina

50 gr. de

3 huevos

1 taza de azúcar

1 taza de aceite

1/2 cda. de sal

Agua 1/2 kg. de harina50 gr. de levadura de cerveza3 huevos1 taza de azúcar1 taza de aceite1/2 cda. de salAgua

"," Pan trenzado (Jale o Koilich) Deslía la levadura en un poco de agua tibia. Agregue 1/2 cda. de azúcar, un poco de harina y forme una esponja. Deje fermentar.



Ahueque el resto de la harina sobre la mesada, incorpore los huevos, el aceite, el azúcar, el fermento y una con agua tibia en cantidad suficiente como para formar una pasta tierna. Tape y deje levar.



Vuelva a amasar, dele forma de trenza, coloque en una placa aceitada, pinte con huevo, deje levar y hornee a temperatura moderada 45 minutos."
https://www.recetas.com/receta-de-Kreplaj-de-queso-9304.html,Kreplaj de queso,,," Kreplaj de queso

Preparación:Una vez preparada la masa, sepárela en bollos, déjela descansar y estírela en hojas finas. Corte cuadrados de aproximadamente 6 cm de lado.Aparte mezcle la ricota con las yemas para el relleno. Salpimiente y agregue pizca de azúcar si los desea agridulces.Coloque montoncitos de relleno sobre los cuadrados de masa. Forme los creplaj uniendo dos puntas opuestas para que queden con forma de triangulo y luego una las puntas como en los capelletti italianos.Hiérvalos en abundante agua con sal durante aproximadamente 15 minutos.Cuele y sirva con manteca y crema o con salsa Yarkoie"
https://www.recetas.com/receta-de-Beigalej-de-queso-9283.html,Beigalej de queso,,"Ingredientes Masa de strudel

1 kg. de queso blanco

4 yemas

Pizca de sal

Margarina

Pizca de azúcar

Harina Masa de strudel1 kg. de queso blanco4 yemasPizca de salMargarinaPizca de azúcar

"," Beigalej de queso Mezcle el queso con las yemas, azúcar y sal. Incorpore 2 o 3 cdas. de harina al queso si tuviera mucho suero.



Estire la masa y ponga un poco de queso en el borde de la misma. Rocíe la hoja con aceite y arrolle para obtener un strudel angosto y de varias vueltas.



Corte porciones en forma de ensaimadas o de eses. Coloque en placas enmantequilladas, pinte con huevo y hornee hasta que tome color."
https://www.recetas.com/receta-de-Polenta-arrollada-a-la-calabresa-8580.html,Polenta arrollada a la calabresa,,"Ingredientes 500 gr. de polenta

1 y 1/2 litro de leche

100 gr. de manteca

1 cda. de sal

1 taza de queso rallado



Para el relleno:

2 cebollas

2 ajíes rojos

Aceite de oliva, c/n

1 kg. de carne picada

2 dientes de ajo

, c/n

Ají molido, orégano

Sal, pimienta

150 gr. de aceitunas



Para la cubierta:

200 gr. de salsa de tomates

2

1 longaniza

100 gr. de queso 500 gr. de polenta1 y 1/2 litro de leche100 gr. de manteca1 cda. de sal1 taza de queso rallado2 cebollas2 ajíes rojosAceite de oliva, c/n1 kg. de carne picada2 dientes de ajo Perejil , c/nAjí molido, oréganoSal, pimienta150 gr. de aceitunas200 gr. de salsa de tomates tomates frescos1 longaniza100 gr. de queso mozzarella

"," Polenta arrollada a la calabresa Relleno: pelar y picar las cebollas. Cortar en cubitos lo ajíes. Rehogar los vegetales en aceite de oliva. Incorporar la carne picada ajo y perejil picados, ají molido y orégano, y cocinar unos minutos. Escurrir el líquido y salpimentar. Incorporar las aceitunas picadas y mezclar. Reservar.



Preparar la polenta con la leche y la manteca. Condimentar a gusto y agregar el queso rallado.



Colocar sobre la mesa un papel aluminio y cubrirlo con la polenta, dándole forma rectangular, emparejando bien la superficie con una espátula.



Colocar el relleno sobre la polenta, arrollar con ayuda del papel aluminio, quedando formado el rollo.



Cubrir la superficie con salsa de tomates, rodajas de tomate fresco, láminas de longaniza y de queso mozzarella. Calentar antes de servir."
https://www.recetas.com/receta-de-Kuguel-de-Iokschen-8401.html,Kuguel de Iokschen,,"Ingredientes 250 gr. de tallarines

4-5 cdas. de azúcar

1 cda. de miel

2 cdas. de aceite

1 cdta. de canela

4 huevos

1/2 taza de nueces

1/2 taza de pasas de uva

Jugo de 1/2 250 gr. de tallarines4-5 cdas. de azúcar1 cda. de miel2 cdas. de aceite1 cdta. de canela4 huevos1/2 taza de nueces1/2 taza de pasas de uvaJugo de 1/2 limón

"," Kuguel de Iokschen Hierva los tallarines al dente en abundante agua con sal. Cuélelos.



Agregue a los tallarines el resto de los ingredientes, con los huevos apenas batidos. Revuelva bien y ponga la preparación en un molde desmontable, enmantecado y enharinado.



Cocine a fuego suave aproximadamente 1 hora.

"
https://www.recetas.com/receta-de-Leicaj-de-miel-8394.html,Leicaj de miel,,"Ingredientes 1 y 1/4 taza de azúcar

3/4 taza de aceite

1 taza de café concentrado (preparado con 2 cdtas. de

2 cdtas. de polvo para hornear

1 cdta. de bicarbonato de sodio

1 manzana

3 y 1/4 tazas de

1 cda. de

1 cdta. de canela

1 taza de nueces

impalpable 1 y 1/4 taza de azúcar3/4 taza de aceite1 taza de café concentrado (preparado con 2 cdtas. de café instantáneo) 4 huevos2 cdtas. de polvo para hornear1 cdta. de bicarbonato de sodio1 manzana3 y 1/4 tazas de harina común1 cda. de cacao amargo1 cdta. de canela1 taza de nueces Azúcar impalpable

"," Leicaj de miel Licue el azúcar con la miel, el aceite, el café, la canela, el cacao, los huevos y la manzana.



Tamice los ingredientes secos (harina, polvo para hornear, bicarbonato). Póngalos en un bol y mézclelos con los ingredientes licuados. Incorpore las nueces.



Eche en una budinera alta, con tubo central, cubierta con aceite y espolvoreada con harina. Hornee a fuego suave durante aproximadamente 50 minutos. Retire, enfríe y sirva espolvoreada con azúcar impalpable."
https://www.recetas.com/receta-de-Blintzes-de-queso-8346.html,Blintzes de queso,,"Ingredientes Para la masa:

3 huevos

2 tazas de agua

1 y 3/4 taza de

Pizca de sal

Aceite para freír



Para el relleno:

1 huevo

250 gr. de ricotta

1 taza de crema de

Sal

Pimienta

1 cda. de Para la masa:3 huevos2 tazas de agua1 y 3/4 taza de harina de matzáPizca de salAceite para freír1 huevo250 gr. de ricotta1 taza de crema de leche preparada con 1 cda. de jugo de limón SalPimienta1 cda. de azúcar

"," Blintzes de queso Tamice los ingredientes secos de la masa y agréguelos a los huevos batidos y el agua, formando una masa lisa.



Unte una sartén precalentada y vierta masa hasta cubrir la base con una capa bien fina. Cuando la crépe esté cocida, colóquela sobre un repasador para que absorba todo el aceite. Repita la operación hasta usar toda la masa.



Mezcle los ingredientes del relleno y coloque una cda. en el borde de cada panqueque. Dóblelos en forma de sobre y fríalos hasta que se doren de ambos lados.



También pueden llevarse a horno moderado durante 10 minutos, cubiertos con crema de leche y margarina.

"
https://www.recetas.com/receta-de-Gehakte-leber-8347.html,Gehakte leber,,"Ingredientes 1/2 kg. de hígado de pollo

3 cebollas chicas

Aceite

1/4 taza de chicharrones hechos con grasa de pollo

2 huevos duros

Sal

Pimienta 1/2 kg. de hígado de pollo3 cebollas chicasAceite1/4 taza de chicharrones hechos con grasa de pollo2 huevos durosSal

"," Gehakte leber Lave los hígados y séquelos con papel absorbente.



Caliente un poco de aceite, rehogue las cebollas picadas y agregue los hígados. Cocine hasta que estén a punto y jugosos. Retire del fuego y pique bien.



Incorpore los chicharrones, salpimente y sirva cubierto con huevo duro picado.

"
https://www.recetas.com/receta-de-Salsa-scarparo-7355.html,Salsa scarparo,,"Ingredientes 4 cdas. de aceite

2 dientes de ajo

2 cebollas de verdeo picadas

1 kg. de

150 gr. de provolone rallado

1/2 vaso de vino blanco seco

Orégano

Ají molido a gusto

Sal

Pimienta

2 cdas. de 4 cdas. de aceite2 dientes de ajo2 cebollas de verdeo picadas1 kg. de tomates 150 gr. de provolone rallado1/2 vaso de vino blanco secoOréganoAjí molido a gustoSalPimienta2 cdas. de perejil picado

"," Salsa scarparo Dore en aceite el ajo y la cebolla de verdeo. Agregue el tomate picado (si desea, puede pelarlo y despepitarlo). Cocine 15 minutos, añada el vino y lleve a ebullición.



Añada los condimentos y el perejil. Cocine 5 minutos más, añada el queso y sirva sobre pastas."
https://www.recetas.com/receta-de-Gnocchi-gigantes-7042.html,Gnocchi gigantes,,"Ingredientes 1 kg. de papas

100 gr. de margarina

2 huevos

2 yemas

100 gr. de harina

100 gr. de gruyere

Sal

Pimienta

Nuez moscada



"," Gnocchi gigantes Haga un puré con las papas cocidas, agréguele 50 gr. de manteca, la harina, los 2 huevos y las 2 yemas, sal, pimienta y nuez moscada. Deje enfriar y haga los ""gnocthi"" del tamaño de huevos.



Échelos en agua salada hirviendo suavemente y cocínelos durante 3 o 4 minutos (a hervor fuerte se deshacen).



Retírelos con la espumadera y acomódelos, uno al lado de otro, en una fuente de horno enmantecada; espolvoréelos con el queso rallado y báñelos con la margarina restante fundida. Gratínelos a horno caliente durante 15 minutos."
https://www.recetas.com/receta-de-Knishes-de-papas-5277.html,Knishes de papas,,"2 tazas de harina1 huevoSal4 cdas. de aceiteAgua tibia para unir2 kg. de papas, hervidas y pisadas4 cebollas picadas y rehogadas en aceiteSal

"," Knishes de papas

Ponga la harina en un bol y ahuéquela. Eche el huevo, el aceite, una pizca de sal y agua en cantidad suficiente como para obtener una masa mórbida. Golpéela insistentemente sobre la mesada para tiernizarla.

Separe en dos bollos. Unte con aceite, tape y deje reposar.

Mientras tanto, mezcle el puré de papas calientes con la cebolla rehogada, sal y pimienta. Pruebe y corrija la sazón. Deje enfriar.

Tome un bollo de masa, estírelo bien fino sobre un lienzo o repasador enharinado hasta que la masa quede trasparente. Unte con aceite. Distribuya en un borde la papa y arrolle como un strudel.

Corte pequeñas porciones con el canto de la mano. Hunda los extremos y forme bollitos con un pequeño hueco en el centro.

Repita la operación con el otro bollo.

Distribuya en placas bien aceitadas. Pinte con huevo y hornee hasta que queden bien dorados."
https://www.recetas.com/receta-de-Kneidlej-5269.html,Kneidlej,,"2 tazas de harina de matzá1/4 de taza de aceite o grasa de pollo3 huevos1 y 1/4 taza de aguaSalPimientaAgua salada o caldo de pollo

"," Kneidlej

Mezcle todos los ingredientes. Forme una masa y déjela descansar por 1 hora.

Forme bollitos con las manos untadas en aceite o agua.

Hierva por 20 minutos en agua o en caldo de pollo y sirva."
https://www.recetas.com/receta-de-Gefilte-Fish-5259.html,Gefilte Fish,,"1/2 kg. de trucha limpia1/2 kg. de dorado limpio1/2 kg. de merluza limpiaUn trozo de espinazo de la trucha1/2 cabeza de dorado6 cebollasCáscara de cebolla4 zanahoriasSalPimienta3 cdas. de azúcar4 huevos

"," Gefilte Fish

Pique 2 cebollas medianas y rehogue en un poco de aceite.

Pase por la picadora los pescados.

Procese o licúe los huevos con la cebolla rehogada y 2 cebollas crudas. Incorpore al pescado y mezcle muy bien. Condimente con sal, pimienta y azúcar.

Pase esta mezcla de a poco por la procesadora, o pique con una hachuela para desintegrar el picadillo y transformarlo en una pasta gelatinosa.

Incorpore, de a poco, una taza de agua. Mezcle muy bien. Obtendrá una pasta espesa que si está bien trabajada no necesitará ningún otro ligue.

Corte en ruedas el resto de la cebolla. Rehóguelas en un poco de aceite, incorpore 4 o 5 capas de piel de cebolla (para dar color) , las zanahorias cortadas en ruedas, el espinazo de la trucha, la cabeza del dorado, abundante agua, sal, pimienta, un poco de azúcar y hierva.

Mientras tanto, forme albóndigas grandes con la pasta de pescado y deslice en el caldo hirviendo.

Baje la llama, tape a medias y deje cocinar sin mezclar durante por lo menos 2 horas, moviendo de vez en cuando la cacerola para que el caldo cubra la superficie. Sirva frío o caliente."
