url,title,date,ingredients,steps
https://www.recetas.com/higado-a-la-veneciana-z4j.html,Hígado a la veneciana,,"500 gr. de hígado de ternera 3 cebollas blancas 40 gr. de mantequilla 1-2 cdas. de vino blanco 1 hoja de laurel Aceite de oliva virgen extra Sal Pimienta

"," Hígado a la veneciana

Pelar las cebollas, cortarlas por la mitad y luego cortarlas en tiras medianamente finas con un cuchillo o una mandolina. En una sartén grande calentar la mantequilla con una hoja de laurel (también se puede añadir una cucharada de aceite). Sofreìr las cebollas picadas y una vez que se hayan ablandado un poco agregar el vino y cocinar por unos 25 minutos, revolviendo ocasionalmente y agregando un poco de agua tibia si es necesario. Las cebollas deben quedar tiernas sin volverse marrones.

Mientras tanto, ocuparse el hígado. Lavarlo, secarlo y cortarlo en rodajas transversales.

Cuando las cebollas estén bien tiernas, agregar el hígado y dorarlo. Revolver durante un par de minutos para que tome sabor. No dorar el hígado más de 5 minutos por cada lado. Una vez listo, salpimentar al gusto.

Servir el hígado al estilo veneciano bien caliente con polenta blanca o arroz blanco."
https://www.recetas.com/pasta-con-pesto-de-tomates-secos.html,Pasta con pesto de tomates secos,,,
https://www.recetas.com/panna-cotta.html,Panna cotta,,"500 ml de nata para postres 150 ml de leche 125 gr. de azúcar 8 gr. de cola de pescado 1 cdta. de esencia de vainilla 100 gr. de caramelo

"," Panna cotta

Ablandar la cola de pescado en un bol pequeño con agua fría durante 15 minutos.

En un cazo verter la nata y la leche, añadir el azúcar y la esencia de vainilla y poner al fuego a fuego lento.

Calentar la mezcla durante 15 minutos, revolviendo ocasionalmente, luego retirar la mezcla del fuego y agregar la cola de pescado bien exprimida.

Mezclar derritiendo la gelatina.

Ahora verter la mezcla en moldes monoporción y refrigerar por al menos 6 horas.

A continuación, dar la vuelta a los moldes y decorar la panna cotta dejando gotear el caramelo."
https://www.recetas.com/lenguas-de-suegra.html,Lenguas de suegra,,"300 gr. de harina 150 gr. de agua 80 ml de aceite de oliva 2 ramitas de romero fresco 1 cdta. al ras de sal

"," Lenguas de suegra

Mezclar la harina con la sal y el romero finamente picado con un cuchillo. Hacer un hueco en el centro y agregar el agua y el aceite. Amasar rápidamente hasta obtener una bollo. Envolverlo en una película transparente y dejar reposar durante 10 minutos.

Encender el horno a 250 °

Dividir la masa en bollitos de unos 30 - 40 gr. Espolvorear la mesa de trabajo con harina y estirar con un rodillo cada bollito bien fino añadiendo tanta harina como requiera la masa. El grosor debe ser de aproximadamente 1 a 2 mm.

Acomodar las hojas en una bandeja para hornear. Pincelarlas con un poco de aceite de oliva virgen extra en la superficie.

Hornear en horno estático a 250 ° en la parte inferior del horno en contacto durante 4 minutos (menos aún si tienes un horno muy potente) inmediatamente se formarán burbujas. Transferir inmediatamente al piso superior del horno y dejar cocinar por un minuto y medio más.

Retirar del horno y dejar enfriar inmediatamente sobre una rejilla o superficie de trabajo. Cocine de esta manera, unos trozos a la vez hasta terminar."
https://www.recetas.com/frijoles-alluccelletto.html,Frijoles all'uccelletto,,"250 gr. de frijoles blancos tipo cannellini 1 trocito de alga kombu o bicarbonato de sodio 10 gr. de aceite de oliva virgen extra 2 dientes de ajo 1 ramita de salvia fresca 400 gr. de puré de tomate Sal Pimienta negra recién molida

"," Frijoles all'uccelletto

Remojar los frijoles en abundante agua tibia y un trozo de alga Kombu o una pizca de bicarbonato de sodio. Dejar reposar durante 8-12 horas. Enjuagar, escurrir y cocinar los frijoles durante 35-40 minutos en abundante agua hirviendo, preferiblemente en una cazuela de barro. Agrega también el alga Kombu, luego escurrir los frijoles y guardar unas cucharadas de agua de cocción.

Calentar el aceite y agregar el ajo y las hojas de salvia. Dejar sofreír durante 1-2 minutos e incorporar los frijoles hervidos. Remover muy suavemente dejando sofreír un minuto.

Agregar el puré de tomate, cubrir con la tapa y cocine durante 20-25 minutos. Si es necesario, agregar unas cucharadas del agua de cocción de los frijoles para que la preparación sea más húmeda y menos seca. Los frijoles deben estar tiernos y bien cocidos, pero no deben deshacerse. Agregar la sal y la pimienta recién molida. La preparación no debe estar seca sino con una salsa generosa.

Servir los frijoles calientes con pan fresco, picatostes o al gusto."
https://www.recetas.com/limoncello-iot.html,Limoncello,,," Limoncello

Enjuagar bien los limones, tratando de eliminar las impurezas residuales de la cáscara. Luego perlarlos con un pelador de patatas y repasar las pieles con un cuchillo afilado para quitar las partes blancas, lo que le daría un sabor amargo a la mezcla.

Cortar la parte amarilla de la ralladura en tiras, transferir todo a un recipiente de vidrio y cubrir completamente con 750 ml de alcohol. Cerrar el recipiente y dejar reposar durante aproximadamente un mes en un lugar seco y protegido de la luz.

Pasado el mes, poner el agua en un cazo, agregar el azúcar y llevar a ebullición. Dejar enfriar el almíbar así obtenido a temperatura ambiente, luego verterlo en el recipiente con las pieles para infundir junto con el alcohol restante. Volver a sellar el recipiente y dejarlo reposar otros 40 días en un lugar seco y protegido de la luz.

Una vez listo el limoncello, colar, embotellar y servir bien frío."
https://www.recetas.com/torta-margarita.html,Torta Margarita,,"150 gr. de azúcar 120 gr. de harina más un poco extra 50 gr. de mantequilla más un poco extra 40 gr. de almidón de maíz 6 yemas 2 huevos Limón 1 cdta. de esencia de vainilla Sal

"," Torta Margarita

Batir los huevos y las yemas con una pizca de sal y azúcar.

Empezar a trabajarlos con un batidor de varillas al baño María caliente: batir unos 5', hasta que los huevos alcancen una temperatura de unos 37 ° C

Luego continuar batiendo al baño María, con la batidora eléctrica, durante unos 10-15', hasta hasta llegar al punto letra. Agregar la ralladura de limón y la esencia de vainilla.

Incorporar la harina tamizada con el almidón de maíz, cuidando de no desarmar el batido.

Finalmente, agregar la mantequilla derretida y mezclar.

Verter la mezcla en un molde (ø 24) forrado con una hoja de papel de hornear engrasado y enharinado; hornear a 180 ° C durante unos 30'."
https://www.recetas.com/pasta-con-salsa-crudaiola-ipn.html,Pasta con salsa crudaiola,,"500 gr. de tomate en rama 1 manojo de albahaca 320 gr. de pasta al huevo Pimienta 2 dientes de ajo 6 cdas. de aceite de oliva v. e. Orégano Sal

"," Pasta con salsa crudaiola

Lavar los tomates y escaldarlos por unos momentos en agua hirviendo; luego escurrir, pelarlos y picarlos groseramente, eliminando tantas semillas como sea posible.

Pelar y cortar el ajo. Limpiar, lavar y picar la albahaca.

Colocar los tomates picados en un tazón, agregar el ajo en rodajas, la albahaca picada, una pizca de orégano, sal, pimienta y el aceite. Mezclar bien, cubrir el recipiente con papel film y deje que la salsa tome sabor durante una hora, para que también se enfríe.

Cocinar la pasta en abundante agua hirviendo con sal, escurrirla al dente, colocarla en el recipiente con la salsa crudaiola y mezclar bien.

Servir la pasta crudaiola agregando, si se desea, con más albahaca fresca picada.

Nota: Esta receta con salsa crudaiola generalmente se sirve caliente con la salsa fría. Si se prefiere fría, pasar la pasta por agua corriente fría inmediatamente después de drenarla, extenderla sobre un paño para que se seque y luego sazonar."
https://www.recetas.com/espinacas-a-la-genovesa.html,Espinacas a la genovesa,,"1 kg de espinacas 50 gr. de pasas 50 gr. de piñones 4 anchoas saladas 1 cda. de perejil picado Aceite de oliva v. e. Sal Pimienta

"," Espinacas a la genovesa

Colocar las pasas en un recipiente con agua tibia, dejándolas durante un cuarto de hora en remojo. Colocar las espinacas en una olla y hervirlas solo un instante, sin agregar agua. Una vez cocidas, escurrirlas muy bien.

En una cacerola calentar cuatro cucharadas de aceite, agregar las anchoas desaladas y picadas, mezclar y después de un par de minutos agregar las espinacas. Espolvorear con perejil fresco picado y mezclar.

Agregar las pasas bien exprimidas, sazonar con sal y pimienta y dejar cocinar a fuego lento durante unos diez minutos. Poner las espinacas en una fuente y servir calientes o tibias."
https://www.recetas.com/focaccia-estilo-bari.html,Focaccia estilo Bari,,"250 gr. de sémola rimacinata 170 ml de agua 70 gr. de patatas hervidas 7 gr. de sal 5 gr. de levadura de cerveza 100 gr. de tomates cherry Orégano Aceite de oliva v.e.

"," Focaccia estilo Bari

Antes de comenzar a amasar la focaccia, hervir las patatas, pisarlas bien y dejar que se enfríen por completo. Mientras tanto, preparar los ingredientes para la masa básica: sémola, agua y levadura de cerveza.

Derretir la levadura en el agua, luego agregar la sémola, el puré de patatas y la sal, amasar a mano o con la ayuda de una batidora planetaria. Colocar la masa en un tazón y dejar crecer hasta que duplique su volúmen.

Estirar la masa en una placa engrasada con aceite (28 cm de diámetro). Sería preferible utilizar una bandeja de aluminio para hornear.

Agregar los tomates cherry cortados a la mitad, aceite, sal y orégano. Dejar crecer por otras 2 horas.

Hornear la focaccia a 220 ° durante unos 20/30min."
