url,title,date,ingredients,steps
https://www.recetas.com/ensalada-de-pepinos-al-estilo-japones.html,Ensalada de pepinos al estilo japonés,,"3 pepinos 2 cdas. de vinagre de arroz 2 cda. de semillas de sésamo blanco Sal al gusto 1 y 1/2 cdtas. de aceite de sésamo 1/2 cdta. de azúcar 1 pizca de chile picado 1 cdta. de jengibre fresco rallado

"," Ensalada de pepinos al estilo japonés

Lavar bien los pepinos con agua corriente fría, luego secarlos y cortarlos en arandelas finas con ayuda de un cuchillo de hoja fina o mandolina.

Poner los pepinos en un colador con la sal, mezclar bien y dejar escurrir durante una hora.

Mientras tanto, tostar las semillas de sésamo en una sartén antiadherente, a fuego lento para que no se quemen.

Por separado, preparar una emulsión con aceite, vinagre, jengibre, guindilla y azúcar. Mezclar bien y dejar reposar.



Pasado el tiempo de reposo, enjuagar los pepinos de la sal, secarlos con papel de cocina y coloacarlos en una ensaladera. Sazonar con la emulsión previamente preparada y servir.

La ensalada japonesa con pepinos se puede guardar en el frigorífico en un recipiente hermético durante un máximo de un día."
https://www.recetas.com/gyozas.html,Gyozas,,"Para la salsa : 50 gr. de salsa de soja 40 gr. de vinagre de arroz Aceite de chile picante

Para el relleno : 200 gr. de carne de cerdo picada 160 gr. de col blanca (col) 60 gr. de cebolletas 2 cm de jengibre fresco rallado 1 diente de ajo (opcional) Sal y pimienta 1 cda. de salsa de soja 1 cda. de sake (opcional) 1 cda. de aceite de sésamo tostado (o de semilla)

Para la masa : 240 gr. de harina 180 gr. de agua hirviendo Fécula de patata para ayudar en la preparación de la masa

"," Gyozas

Para la masa, verter el agua en la harina y mezclar con una espátula hasta que esté lo suficientemente fría como para ser amasada con las manos.

Amasar durante unos diez minutos hasta que tenga una consistencia tierna y elástica, cubrirla con una envoltura plástica y reservar.

Para el relleno, picar finamente el repollo, la cebolleta y el ajo si se utiliza.

Rallar el jengibre y mezclar todo con la carne de cerdo, amalgamando bien. Sazonar con sal y pimienta, agregar la salsa de soya y el aceite.

Cortar trozos de masa de 10-12 gr. cada uno, estirarlos con un rodillo tratando de mantener una forma redonda. La masa se pega ligeramente pero espolvorear la parte superior con fécula de patata funciona bien.

Llenar cada disco de masa con la mayor cantidad de relleno posible, cerrarlos haciendo algunos pliegues

Para cocinar, simplemente colocar las gyozas ""de pie"" (con el cierre en la parte superior) en una sartén grande donde se habrá vertido un poco de aceite de semilla.

Dorar el fondo por un minuto, agregar un dedo de agua y cerrar la sartén con una tapa.

De esta manera, el fondo se dorará mientras que por arriba los ravioles se cocinarán al vapor. Si el agua se secara antes de que las gyozas estén completamente cocidas, solo agregar más, de a poco a la vez.

Una vez cocidas, retirar la tapa, verter un hilo aceite de sésamo sobre las gyozas, asegurándose de que el agua de cocción se haya evaporado por completo.

Para la salsa, mezclar los ingredientes y sumergir los ravioles en ella. También quedan muy bien sumergidos simplemente en salsa de soya."
https://www.recetas.com/cheesecake-japonesa.html,Cheesecake japonesa,,"250 gr. de queso Filadelfia 150 gr. de azúcar 100 gr. de nata fresca 60 gr. de mantequilla 6 huevos a temperatura ambiente 50 gr. de harina 30 gr. de almidón de maíz 4 gr. de cremor tártaro Ralladura de 1 limón 1/2 vaina de vainilla 1 pizca de sal

"," Cheesecake japonesa

Ablandar el queso al baño maría a fuego lento. Mezclar con la ayuda de una batidora hasta obtener una crema aterciopelada. Agregar las yemas, una a la vez, y seguir batiendo después de cada adición. Conservar las claras de huevo para el siguiente paso.

Agregar la primera mitad del azúcar, mezclar y luego la harina y el almidón de maíz (maicena) tamizados juntos. Mezclar.

Mientras tanto, calentar la mantequilla con la nata en una segunda cacerola. Cuando la mantequilla se derrita, agregarla a la mezcla de yemas, fuera del fuego. Siempre revolver con el batidor para obtener una mezcla suave y homogénea.

Agregar la sal, las semillas de vainilla y la ralladura de limón. Mezclar. Comenzar a batir las claras de huevo: cuando se haya formado la espuma inicial, agregar el cremor tártaro seguido del azúcar restante en varias veces. Se deberá obtener una preparación brillante y cremosa, no excesivamente batida.

Incorporar las claras a la mezcla de yemas y queso en varias veces, mezclando de abajo hacia arriba con una espátula. Cuando se haya obtenido una mezcla homogénea, que no debe desarmarse, verterla en un molde de 22 cm con bordes altos con el fondo cubierto con papel pergamino y las paredes untadas con mantequilla y enharinadas. Si se usa un molde con bisagras, tener cuidado de cubrir la base y el anillo externo con aluminio para impedir que el agua de cocción ingrese al interior.

Colocar el molde dentro de uno más grande con bordes altos y verter agua a temperatura ambiente que alcance 2 dedos desde la base. Hornear en el horno precalentado a 200 ° durante 15 minutos. Sin abrir el horno, bajar la temperatura a 160 ° y continuar cocinando por otros 15 minutos. Aún sin abrir la puerta, apagar el horno y dejar la cheesecake adentro por otros 40 minutos.

Abrir luego el horno y dejarla enfriar a temperatura ambiente. Colocarla en el refrigerador por al menos 4 horas antes de servir. Al momento llevarla a la mesa, espolvorear con azúcar glass y decorar con arándanos en cantidad a gusto"
https://www.recetas.com/panqueque-japones-esponjoso.html,Panqueque japonés esponjoso,,"2 yemas 20 ml de leche entera 10 gr. de aceite neutro 1/2 cucharadita de extracto de vainilla 30 gr. de harina 3 claras de huevo 30 gr. de azúcar

"," Panqueque japonés esponjoso

Mezclar las yemas con la leche y el aceite con un batidor manual, agregar el extracto de vainilla y la harina tamizada poco a poco.

Batir las claras hasta que estén firmes con una cucharadita de vinagre de vino y agregar gradualmente 30 gr. de azúcar.

Incorporar lentamente las claras de huevo al preparado anterior, mezclando de abajo hacia arriba.

En una sartén antiadherente muy caliente engrasada con un poco de mantequilla, verter un cucharón de la mezcla,

cubrir y cocinar durante un par de minutos a fuego lento por ambos lados. Decorar al gusto y servir de inmediato.

Nota: para obtener una forma perfectamente redonda, se pueden hornear usando un aro de pastelería redondo untado con mantequilla o forrado con papel para hornear."
https://www.recetas.com/omurice-la-tortilla-de-arroz-japonesa.html,"Omurice, la tortilla de arroz japonesa",,"200 gr. de arroz para sushi ya cocido 100 gr. de pechuga de pollo 1 cebolla 100 gr. de champiñones 50 gr. de guisantes cocidos 6 cdas. de ketchup 6 cdas. de concentrado de tomate Mantequilla

"," Omurice, la tortilla de arroz japonesa

Preparar el arroz de sushi y reservar.



Calentar el ketchup con la pasta de tomate y 6 cucharadas de agua en una cacerola. Cocinar hasta que se haga una salsa espesa y reservar.

Limpiar los champiñones con un paño húmedo para quitar la tierra y cortarlos en rodajas. Picar la cebolla y cortar la pechuga de pollo en cubos.

Dorar la cebolla con 1 cucharada de mantequilla, agregar los guisantes cocidos, los champiñones y el pollo, sal y pimienta. Luego agregar el arroz, mezclándolo suavemente con el resto de los ingredientes. Agregar 2-3 cucharadas de salsa de tomate y continuar cocinando por otro minuto. Luego dividir el conjunto en dos porciones, ayudándose con una taza pequeña, para hacer dos porciones compactas.

Ahora preparar una tortilla a la vez, usando 2 huevos para cada una, leche y una pizca de sal, formando una tortilla delgada.

Colocar el arroz en una sartén, cubrir con los bordes de la tortilla y cocinar durante un par de minutos a fuego lento. Voltear el omurice en un plato con un golpe fuerte, tratando de no deshacerlo. Decorar con la salsa de Ketchup y tomate y servir con una ensalada mixta.



Consejos

Preparar el arroz al menos 3 horas antes, para que sea más ligero y sabroso cuando se mezcle con el resto de los ingredientes.

Se puede enriquecer el omurice con jamón cortado en cubitos, queso picado suave, pimientos, zanahorias o los ingredientes que tengan disponibles.

Para una versión simplificada, evitando así romper el omurice, agregar el arroz directamente a la tortilla. Doblar los lados de la tortilla hacia abajo y emplatar con la ayuda de una espátula."
https://www.recetas.com/okonomiyaki-tortilla-japonesa.html,"Okonomiyaki, tortilla japonesa",,"150 gr. puré de tomate 100 gr. de harina 50 gr. de panceta ahumada 10 gr. de salsa Worcester 5 huevos Lima Ajo Azúcar 120 gr. de hojas de col 75 gr. de noodles (fideos japoneses) 25 gr. de vinagre de manzana 10 gr. de salas de soja Caldo de verduras en polvo Cebolla Aceite de sésamo Sal

"," Okonomiyaki, tortilla japonesa

Hervir los fideos en agua hirviendo con sal durante 2-3', colarlos y sumergirlos en agua fría para enfriar, escurrir y sazonar ligeramente con aceite de sésamo.

Poner 5 g de salsa Worcester en una olla junto con 10 gr. de aceite de sésamo, el vinagre de manzana, la salsa de tomate, la salsa de soja, una pizca de sal, una cucharada de azúcar, un diente de ajo, media cebolla picada y el jugo de 1 lima.

Cocinar a fuego mínimo al menos durante 15'. Apagar, procesar y tamizar esta salsa.

Batir los huevos con la harina, revolviendo muy bien con el batidor para eliminar los grumos. Agregar 200 gr. de agua y una cucharada de caldo granulado.

Cortar el tocino en bastoncitos delgados. Poner en un bol un cuarto del repollo, un cuarto del tocino, un cuarto de los fideos y un cuarto de la mezcla de huevo, mezclar bien y cocinar en una sartén caliente velada con aceite de sésamo, durante 2 minutos de cada lado

Repetir estos pasos para preparar las otras 3 tortillas. Acomodar las tortillas en los platos, completar con la salsa y a gusto con hojuelas de bonito disecado (katsuobushi)."
https://www.recetas.com/giozas-ravioles-japoneses-de-carne-y-verduras-al-vapor.html,Giozas (ravioles japoneses) de carne y verduras al vapor,,"Para el relleno : 450 gr. de carne magra de cerdo 1 chalota 2 zanahorias 150 gr. de col china 3 cdas. de salsa de soja 1 cuchara de jerez 2 cdtas. de azúcar 1 cda. de aceite de sésamo 1 cdta. de sal 1 cdta. de almidón de maíz 2 cdtas. de raíz de jengibre rallada o finamente picada

"," Giozas (ravioles japoneses) de carne y verduras al vapor

En un bol, tamizar la harina con la levadura; añadir 250 ml de agua y comenzar a amasar hasta obtener una masa suave; hacer una bola y cubrir con un paño húmedo durante unas pocas horas, dejando que la masa leve a temperatura ambiente.

Mientras tanto, cortar la carne de cerdo, mojar con la soja y el jerez, añadir sal (poca), el aceite de sésamo y el azúcar; remover e incorporar la col, la zanahoria y la chalota (previamente lavadas y picadas), y por último añadir la maicena y el jengibre.

Después de dos horas, dividir la masa por la mitad. Amasar de nuevo sobre una superficie enharinada y obtener de cada mitad, un rollo de 5 cm de diámetro.

Tomar un cuchillo y dividir cada rollo en 15 piezas. Aplastar cada pieza con la palma de la mano, y extender luego con un rodillo para obtener discos de alrededor de 7 cm de diámetro.

Poner una cda. de relleno en el centro de cada disco y sujetando todos los bordes del disco encerrar el relleno presionando ligeramente para cerralos muy bien; proceder de la misma manera hasta terminar toda la masa.

Si se poseen los cestos para cocinar al vapor, colocar un trozo de tela mojada, preferiblemente de muselina, en un estante del bastidor, y acomodar encima las giozas aproximadamente a 1 cm de distancia entre ellos. Cubrir con la tapa y cocinar al vapor fuerte durante unos veinte minutos. Si no se posee el cesto específico, cocinar a baño maría acomodando un colador sobre la olla regular. Servir muy caliente y si se desea, bañados con unas gotas de salsa de soja."
https://www.recetas.com/sopa-de-miso.html,Sopa de miso,,," Sopa de miso

La sopa de miso es una tradicional receta japonesa consistente en un caldo en el que se cocina el miso, un derivado de la fermentación de la soja amarilla. Rico en enzimas, sales, proteínas y vitaminas el miso que enriquece la sopa, ayuda al sistema inmunológico, dando energía y purificando el cuerpo. La sopa puede ser preparada con varios tipos de algas y verduras, pero también con trozos de tofu cortado en cubos. Esta es la receta básica.



Enjuagar el alga y ponerla en remojo en agua fría durante unos 10 minutos, luego exprimirla y picarla.

Rehogar el puerro hasta que esté casi transparente; añadir el agua, la zanahoria cortada en rodajas y el alga picada y dejar hervir unos quince minutos; en los últimos 3 o 4 minutos, añadir las hojas de acelga.

Completado el tiempo de cocción, apagar el fuego y tomar un poco de caldo caliente, pero no hirviendo, para disolver el miso. Una vez disuelto incorporarlo a la olla, revolver suavemente un par de veces con una cuchara y dejar reposar 5 minutos. Servir caliente.

El caldo básico se puede preparar con antelación, pero el miso debe agregarse a último momento; esta sopa no debe ser congelado. Es importante recordar que el miso es muy sabroso, por lo que no hay necesidad de añadir sal."
https://www.recetas.com/dorayaki.html,Dorayaki,,"180 gr. de agua 240 gr. de harina 00 150 gr. de azúcar en polvo 2 huevos 3 gr. de polvo de hornear 20 gr. de miel

"," Dorayaki

Verter la harina en un recipiente y añadir el azúcar en polvo y el polvo de hornear.

Mezclar e incorporar los huevos, la miel y el agua a temperatura ambiente.

Una vez que se hayan añadido todos los ingredientes comenzar a batir con un batidor, lentamente al principio, luego vigorosamente hasta que la mezcla esté libre de grumos y la consistencia sea fluida.

Calentar la sartén para crepes (o una sartén grande), untar toda la superficie con un poco de aceite ayudándose con una hoja de papel de cocina ; verter un cucharón del compuesto para cada Dorayaki (se sugiere preparar un par a la vez). El fuego debe ser medio: de esta manera no se correrá el riesgo de que el Doriyaki quede demasiado oscuro. De acuerdo a la mezcla que se utilice, se obtendrán Doriyakis más o menos grandes.

Esperar durante unos 3 minutos y apenas en la superficie aparezcan pequeñas burbujas ya se pueden dar vuelta

y continuar la cocción durante 1 minuto también del otro lado. Continuar de esta manera hasta terminar la masa, apilándolos cuando se vayan retirando de la sartpen. Servirlos solos o como sándwiches, rellenos con mermelada y crema al gusto.

Conservación: Mantener la mezcla de Dorayaki durante 12 horas como máximo en el refrigerador. Una vez cocido, se deben consumir en el día. Como alternativa se puede congelar separados por papeles separadores y luego embolsados, en bolsa de freezer, sin rellenar y calentándolos al momento de saborearlos"
https://www.recetas.com/cheesecacke-a-la-japonesa.html,Cheesecacke a la japonesa,,"1 molde de 22 cm de diámetro 250 gr. de queso Filadelfia 150 gr. de azúcar 100 gr. de nata fresca 60 gr. de mantequilla 6 huevos a temperatura ambiente 50 gr. de harina 30 gr. de almidón de maíz 4 gr. de cremor tártaro Ralladura de 1 limón 1/2 vaina de vainilla 1 pizca de sal

"," Cheesecacke a la japonesa

Ablandar el queso a baño María a fuego lento. Mezclar con la ayuda de un batidor para obtener una crema suave. Añadir las yemas de huevo, una a la vez, y continuar batiendo después de cada adición. Reservar las claras de huevo.

Unir una mitad del azúcar, revolver y luego incorporar la harina y el almidón de maíz tamizados juntos. Mezclar.

Mientras tanto, en una segunda olla calentar la mantequilla y la nata. Cuando la mantequilla se haya derretido, añadir a la mezcla de las yemas fuera del fuego. Mezclar siempre con un batidor hasta obtener una preparación suave y homogénea. Añadir la sal, las semillas de vainilla y la cáscara de limón rallada. Revolver.

Empezar a montar las claras de huevo: cuando se haya formado la espuma inicial añadir el cremor tártaro seguido por la otra mitad del azúcar restante en varias veces. Se deberá obtener una preparación cremosa y brillante, no exesivamente batida.

Incorporar las claras a nieve en varias veces a la mezcla de yemas de huevo y queso, mezclando desde abajo hacia arriba con una espátula. Cuando se haya obtenido una mezcla homogénea, que no deberá desarmarse, se vierte en un molde de 22 cm de lados altos con el fondo cubierto con papel de hornear y con las paredes enmantecadas y enharinadas. Si se utiliza un molde desmontable tener cuidado de cubrir bien la base y el anillo por fuera con papel de aluminio para no hacer entrar el agua de cocción en el interior.

Colocar el molde dentro de uno más grande de lados altos y verter agua a temperatura ambiente, que llegue a 2 dedos de la base.

Hornear en un horno precalentado a 200 grados durante 15 minutos. Siempre sin abrir el horno, bajar la temperatura a 160 ° y continuar la cocción durante otros 15 minutos. Luego, sin abrir la puerta, apagar el horno y dejar el pastel de queso en el interior durante otros 40 minutos.

Pasado ese tiempo abrir el horno, y dejar enfriar a temperatura ambiente. Colocarla en el refrigerador durante por lo menos 4 horas antes de servir.

Al llevar a la mesa espolvorear con azúcar en polvo y los arándanos en cantidades al gusto."
