url,title,date,ingredients,steps
https://www.recetas.com/hummus-con-pimientos-del-piquillo.html,Hummus con pimientos del piquillo,,"El zumo de un limón

300 gramos de garbanzos cocidos o medio bote de garbanzos en conserva

"," Hummus con pimientos del piquillo

Escurrir los garbanzos eliminando cualquier resto de agua.

Pelar el diente de ajo. Si se nos suele repetir, podemos quitarle el centro del diente.

Si hemos optado por un bote de garbanzos cocidos conviene pasarlos por agua hasta quitarles el sabor a conserva.

Meterlos en el vaso de la batidora reservando una cucharada sopera para más adelante.

Añadir el diente de ajo pelado a los garbanzos.

Triturar los garbanzos junto con el ajo.

Añadir la salsa de tahina, los pimientos del piquillo, un chorro de limón, una pizca de comino, sal y pimienta negra molida al gusto.

Seguir triturando añadiendo a la crema un poco de agua hasta conseguir una textura cremosa. Si se ha optado por los garbanzos de bote posiblemente no te haga falta el agua.

Poner el hummus en un plato hondo de barro y decóralo con perejil picado, el pimentón, los garbanzos reservados, un chorro de aceite de oliva o unos bastones de zanahoria.



"
https://www.recetas.com/sopa-fria-de-remolacha.html,Sopa fría de remolacha,,," Sopa fría de remolacha

Poner las remolachas, con su piel, en una olla profunda.

Llenar la olla con agua hasta que cubra a las verduras. Echar un puñado de sal.

Cocinar, a fuego lento, durante 30 minutos.

Como cada verdura no es igual a otra, para comprobar si está tierna pinchar las remolachas con la punta de un cuchillo o cualquier otro objeto punzante, antes de sacarlas.

Si están tiernas, ponerlas a escurrir.

Pelar, lavar y cortar la patata y la cebolla. Los trozos deben ser pequeños.

En un cazuela de profundidad media, cubrir la base con aceite de oliva. Echar la cebolla picada en su interior. Calentar hasta que esté blandita. Para facilitar este proceso se puede agregar un poco de sal.

Pelar la remolacha y cortar en trozos.

Cuando la cebolla esté lista, agregar la patata y la remolacha cortadas.

Pasados unos minutos, añadir el caldo vegetal y cocinar hasta que la patata esté blanda.

Una vez que todos los ingredientes están blandos, triturar la mezcla. Es conveniente que hayan perdido temperatura.

Cuando tengamos una mezcla homogénea, que no está excesivamente líquida.

Salpimentar la gusto y meter en el frío durante varias horas.

Servir fría decorada con un par de cucharadas de nata para cocinar."
https://www.recetas.com/mutabal-de-berenjenas.html,Mutabal de berenjenas,,"- 3 berenjenas medianas (500 gramos aproximadamente)- 3 dientes de ajo.- 1 limón.- aceite de oliva. comino molido, pimienta negra molida.- sal- pimentón dulce.- 10 gramos de tahína.

"," Mutabal de berenjenas

Cortar las berenjenas por la mitad, utilizando como eje su largo.

Poner sal gorda por el lado del corte y dejar que reposen durante 20 minutos sobre un escurridor. La verdura se pondrá a sudar y expulsará el agua sobrante.

Precalentar el horno a 190º C.

Secar las berenjenas con ayuda de papel de cocina y ponerlas, boca arriba, sobre una bandeja de horno.

Hornear las berenjenas durante 30 minutos con calor arriba y abajo y, si el horno lo permite, circulación de aire.

Cuando las verduras estén tiernas, sacarlas del horno y dejar que se enfríen hasta que se pueda trabajar con ellas.

Cuando estén templadas, quitarles la piel y sacarles toda la pulpa. Para ello se puede utilizar algún vaciados aunque se puede hacer con una cucharilla de café. Reservar.

Exprimir un limón y obtener su zumo sin pepitas ni pulpa. Habrá que escurrirlo para asegurarnos de ello.

Pelar los dientes de ajo en trocitos pequeños.

En un vaso de batidora poner la pulpa de berenjena, el ajo, la tahína, la pimienta, el zumo de medio limón, el comino, la pimienta negra, la sal y el aceite de oliva.

Batir la mezcla con energía. La idea es que quede un puré denso. Poner la mezcla en un recipiente, taparlo para que no se oxide y reservar hasta la hora de consumir.

Cuando vayamos a servirla, ponerla en un plato llano, echarle un chorro de aceite de oliva y un poco de pimentón dulce (o picante, ya al gusto). Se consume con triángulos de maíz, pan de pita o similar."
https://www.recetas.com/tabule-de-trigo-burgol-con-tomates-y-zucchini.html,Tabulé de trigo burgol con tomates y zucchini,,,
https://www.recetas.com/receta-de-Mini-fatay-8972.html,Mini fatay,,"Ingredientes 30 discos de masa pequeños (8-10 cm)

150 gr. de

1/4 de

1 diente de ajo

250 gr. de carne picada

40 gr. de extracto de tomate

1 cda de

1 cda de menta

1/2 cdita de pimentón dulce

1/2 cdita de pimentón picante

Sal y

2 tomates

Jugo de 30 discos de masa pequeños (8-10 cm)150 gr. de cebolla 1/4 de morrón rojo1 diente de ajo250 gr. de carne picada40 gr. de extracto de tomate1 cda de perejil picado1 cda de menta1/2 cdita de pimentón dulce1/2 cdita de pimentón picanteSal y pimienta negraJugo de limón

"," Mini fatay Picar las cebollas, el morrón, el diente de ajo y mezclar con la carne, el extracto de tomate, el perejil, la menta, el pimentón dulce y el picante.



Salpimentar y amasar con las manos para que se integren bien los ingredientes. Incorporar la piel de los tomates cortada en cubitos.



Formar pelotitas del tamaño de una nuez. Colocar en el centro de cada disco de masa, cerrar parcialmente haciendo tres pellizcos para formar un triángulo.



Colocar en una placa aceitada y cocinar en un horno precalentado a temperatura media a alta (190°C) durante 20 min. aprox. o hasta que comiencen a dorarse. Retirar del horno y rociar con jugo de limón."
https://www.recetas.com/receta-de-Tabule-8380.html,Tabule,,"Ingredientes 1 tomate

1

1 pepino

1 taza de

1 taza de perejil

Aceite de oliva

Jugo de limón

Sal 1 tomate cebolla grande1 pepino1 taza de trigo burgol1 taza de perejilAceite de olivaJugo de limónSal

"," Tabule Hidrate el burgol en agua fría aproximadamente 15 minutos o hasta que esté tierno. Escurra bien.



Corte en finísimo brunoise el tomate, la cebolla, el pepino y el perejil. Agregue el burgol. Todos los ingredientes deben estar presentes en la misma proporción.



Condimente con aceite de oliva y abundante jugo de limón.

"
https://www.recetas.com/receta-de-Tabule-7893.html,Tabule,,"Ingredientes 1 taza de

1 y 1/2 cdtas. de sal

3 cdas. de jugo de limón

1/4 de taza de aceite de oliva

1/2 cdta. de ajo picado

1/2 taza de menta picada

3

1/2 taza de

2 cdas. de chalotas o

1 taza de trigo burgol1 y 1/2 cdtas. de sal3 cdas. de jugo de limón1/4 de taza de aceite de oliva1/2 cdta. de ajo picado1/2 taza de menta picada tomates maduros1/2 taza de pepino picado2 cdas. de chalotas o cebolla picada

"," Tabule Poner a remojar el trigo burgol cubierto con agua hirviendo más la sal indicada, durante una hora. Hacerlo escurrir en un colador y secarlo sobre un repasador o toalla, exprimiéndolo bien.



En otro bol mezclar este trigo con el jugo de limón, aceite y ajo y dejarlo marinar durante una hora, tapado (en verano, en la heladera durante tres horas).



Añadir la menta, los tomates pelados y cortados en daditos, el pepino picado la chalota y perejil también picados algo grueso, sal y pimienta."
https://www.recetas.com/receta-de-Solomillo-de-cerdo-oriental-6976.html,Solomillo de cerdo oriental,,"Ingredientes Para el solomillo:

200 gr. de solomillo de

Aceite

Sal y pimienta

Cognac

Miel

Manteca

Dátiles



Para el timbal:

Aceite

1/2

1 pocillo de

Semillas de

Pasas de uva

Crema de leche

Sal y 200 gr. de solomillo de cerdo AceiteSal y pimientaCognacMantecaDátilesAceite1/2 cebolla roja1 pocillo de arroz carnaroliSemillas de cardamomo Pasas de uvaCrema de lecheSal y pimienta

"," Solomillo de cerdo oriental



Selle el solomillo en una sartén con aceite y salpimente. Desglase con cognac,

miel y manteca. Reserve el fondo.



Lleve el solomillo al horno hasta que esté a punto. Para finalizar la salsa, agregue al fondo dátiles procesados.



En un poco de aceite, sude la cebolla cortada en brunoise, incorpore el arroz y séllelo. Perfume con cardamomo y vaya agregando agua poco a poco, hasta que el arroz esté a punto. Añada pasas de uva y crema. Sazone y moldee.



Sirva el solomillo con la salsa y acompañe con el timbal. Agregue dos o tres dátiles enteros.

"
https://www.recetas.com/receta-de-Albondigas-de-carne-6022.html,Albondigas de carne,,"1 litro de Laban 1/4 litro de agua1 huevo1 kg. de1 cda. de manteca2 dientes de ajo machacadosSalPimientaHojas de menta picada

"," Albondigas de carne

Mezcle el laban con el agua y añada el huevo entero. Salpimiente. Pase todo por un colador a una cacerola previamente enjuagada con agua hirviendo.

Coloque en la palma de la mano pequeñas cantidades de picadillo de carne cruda condimentada.

Forme una albóndiga y con el índice de la otra mano haga un hueco en el centro. Estas albóndigas deben quedar cerradas pero huecas por dentro.

Hiérvalas en el Laban de 12 a 15 minutos. Fría los dientes de ajo en la manteca junto con la menta y agregue a la preparación anterior unos minutos antes de servir. También puede servirlas frías."
https://www.recetas.com/receta-de-Kebbe-(picadillo-de-carne-cruda-condimentado)-6023.html,Kebbe (picadillo de carne cruda condimentado),,"1 kg. de carne de cordero (o ternera magra) picada cebolla chica muy picada1/4 kg. de trigo burgolRabanitos para decorarAceite de oliva

"," Kebbe (picadillo de carne cruda condimentado)

Mezcle la carne con la cebolla y condimente.

Lave el trigo varias veces y escurra el agua totalmente. Deje reposar 1/2 hora hasta que se ablande.

Coloque la carne en un recipiente profundo y añada el trigo, trabajando con las manos mientras agrega agua helada hasta que quede, una pasta fresca y homogénea.

Coloque en una fuente y decore con hojas de menta y rabanitos. Acompañe con aceite de oliva."
