url,title,date,ingredients,steps
https://www.recetas.com/receta-de-Gravlax-de-salmon-6257.html,Gravlax de salmón,,"Ingredientes 1 penca de

150 gr. de sal gruesa

150 gr. de azúcar

1 medida de vodka

1 atado de eneldo

1 atado de ciboulette

Flores de lavanda



Para la ensalada de hierbas:

Dill

Cilantro

Ciboulette



Para el aliño:

Aceto balsámico

Miel

Semillas de 1 penca de salmón rosado fresco150 gr. de sal gruesa150 gr. de azúcar1 medida de vodka1 atado de eneldo1 atado de cibouletteFlores de lavandaDillCilantroCibouletteAceto balsámicoMielSemillas de mostaza

"," Gravlax de salmón Coloque la penca sobre una rejilla y disponga en una placa. Cubra el salmón con la sal y el azúcar y lleve a la heladera durante aproximadamente 12 hs.



Retire de la heladera, quite los excesos de líquidos, restos de azúcar y sal, y colóquela nuevamente en el recipiente. Tape con las hierbas y rocíe con el vodka. Envuelva en papel film y deje 48 hs más en heladera.

Transcurrido ese tiempo, retire las hierbas y utilice.



Prepare una ensaladita con las hojas de dill, cilantro y ciboulette, condimente con el aliño y envuelva pequeñas porciones en láminas de salmón."
https://www.recetas.com/receta-de-Salmon-con-remolachas-glaceadas-6189.html,Salmón con remolachas glaceadas,,"4 fetas de salmón ahumado3 remolachasAgua, c/n2 cdas. de manteca2 cdas. de azúcar1 cda. de vinagre de vino200 gr. de queso crema1 cda. de krein (pasta de rábano picante)SalPimienta

"," Salmón con remolachas glaceadas

Corte las remolachas en cuartos y colóquelas en una fuente para horno con bordes. Agregue a la fuente agua a hasta la altura de las remolachas. Agregue el resto de los ingredientes.

Cocine en un horno a 180°C durante 40 minutos. Mezcle el queso crema con el krein y condimente. Sirva el salmón ahumado con las remolachas y la salsa de krein."
https://www.recetas.com/receta-de-Budin-nordico-de-pescado-5138.html,Budín nórdico de pescado,,"2 rebanadas de pan1 y 1/2 taza de leche750 gr. de filetes de merluza 1/2 limón Sal100 gr. de manteca1 cebolla200 gr. de camarones (optativo)125 gr. de crema de leche3 huevos1 cda. de perejil picadoSalsa de tomate

"," Budín nórdico de pescado

Poner la miga de pan a ablandar en la leche.

Salpimentar el pescado, rociarlo con limón, pasarlo por harina.

Freír los filetes en 60 gr. de manteca. Una vez listos, retirar y deshacerlos. Colocarlos en un bol.

Picar la cebolla y rehogarla en la manteca restante hasta que se haga transparente. Añadirla al pescado deshecho.

Agregar también los camarones picados, la crema de leche, las yemas, el pan remojado y deshecho, el jugo de limón, sal, pimienta y perejil.



Batir las claras a nieve y añadirlas a la preparación, mezclando con un movimiento de batido lento.

Echar la preparación en una budinera con tubo, enmantecada y espolvoreada con sémola o pan rallado.

Tapar con papel de aluminio y cocinar a baño María durante una hora y cuarto a una hora y media.



Dejar reposar el budín fuera del baño durante diez minutos y desmoldarlo.

Servirlo con una salsa de tomate perfumada con salvia."
https://www.recetas.com/receta-de-Arrollados-de-arenque-5115.html,Arrollados de arenque,,"16 filetes de arenque125 gr. de crema de leche 2 cdtas. de rábano picante rallado1 cdta. de azúcar 1 cdta. de pimienta verde200 gr. de jalea de grosellas 1 cda. de mostaza fuerte pepino encurtido Perejil , eneldo175 gr. de crema de leche1 cda. de alcaparrasSal y pimientaJugo de limón1 manzana4 cdas. de chutney de mangos2 cdtas. de curry

"," Arrollados de arenque

Poner los filetes de arenque en agua fría y dejarlos desalar durante dos horas. Mientras tanto, preparar las cuatro salsas.



La salsa de rábano se prepara mezclando la crema batida firme con el rábano picante rallado y el azúcar.

Para la salsa de grosellas se mezcla la jalea con la pimienta verde machacada y la mostaza.

La salsa de hierbas se prepara con el pepino, alcaparras, perejil y eneldo picados y mezclados con la crema de leche batida, sal, pimienta, pizca de azúcar y jugo de limón.



La salsa de curry se obtiene mezclando el chutney, la manzana picada, curry y jugo de limón.

Los filetes de arenque, bien escurridos, se arrollan y rellenan con las salsas descriptas, luego se acomodan sobre las hojas de lechuga."
https://www.recetas.com/receta-de-Waffles-Oslo-5101.html,Waffles Oslo,,"1/4 de taza de harina1/2 taza de copos de maíz deshechos1/2 cdta. de sal3 cdtas. de polvo de hornear1/4 taza de leche1/2 taza de margarina fundida2 huevos1 pote de queso blanco1 cda. de cebolla de verdeo ralladaSal y pimientaLimónLangostinos o camarones

"," Waffles Oslo

Pelar los langostinos o camarones y aderezarlos con sal, pimienta y limón.



Preparar la masa de los waffles mezclando los ingredientes con las claras a nieve en último término.

Echar la masa llenando la capacidad de la wafflera caliente, taparla y cocinar a fuego mediano, de dos a cinco minutos de cada lado, sin abrir para nada durante la cocción.



Rallar la cebolla y agregarla al queso blanco, con sal y pimienta recién molida y gotas de limón.

Servir los waffles tibios o fríos, con la crema de queso blanco y langostinos, decorando con un trozo de rodaja de limón."
https://www.recetas.com/receta-de-Consome-de-albondigas-1866.html,Consomé de albóndigas,,"50 gr. de pan rallado500 gr. de puré de patatas 50 gr. de cebolleta1 y 1/2 lt. de caldo de ave (gallina)150 gr. de nata2 cdtas. de eneldo250 gr. de pechuga de ave (gallina)1 cdta. de cebolleta muy picadaSal y pimienta50 gr. de tocinillo magro

"," Consomé de albóndigas

Colocar en un bol la cebolleta picada, la nata, el puré de papas y el pan rallado. Mezclar, condimentar y dejar reposar.

Cortar en pequeños trozos la pechuga y el tocinillo. Agregar los pedacitos picados de pechuga y tocinillo al puré. Amasar muy bien para integrar.

Formar bollitos pequeños de masa y hervir en el caldo."
https://www.recetas.com/receta-de-Condimento-de-acelgas-1867.html,Condimento de acelgas,,," Condimento de acelgas

Lave bien la acelga, aparte los troncos y hiérvalos 20 minutos. Reserve las hojas para otra preparación.

Cortar los troncos en trozos regulares. Salar a gusto.

Poner a hervir el azúcar con el vinagre.



Colocar en un bol los troncos de acelga y encima echarles los clavos y el vinagre hirviendo.

Dejar macerar 1 día en la nevera para que tome gusto."
https://www.recetas.com/receta-de-Salmon-al-estilo-kuku-1868.html,Salmón al estilo kuku,,," Salmón al estilo kuku

Cocinar los filetes de pescado en una plancha vuelta y vuelta.



Picar la cebolla o cortarla en pedazos pequeños y junto con el ajo, echarla a freír en una olla con un poco de aceite.

Verter un poco de nata y dejar cocer unos minutos.



En otra olla, cocer a fuego suave las verduras que usted haya elegido.

Servir primero el filete, luego la salsa y finalmente las verduras encima."
https://www.recetas.com/receta-de-Filetes-de-pescadilla-empanados-al-curry-1869.html,Filetes de pescadilla empanados al curry,,"4 filetes de pescadilla50 gr. de harina huevo batido20 gr. de curry150 gr. de queso blanco150 gr. de pan rallado80 gr. de mantequillaSal y pimientaZumo de medio limón1 cda. de cebolleta

"," Filetes de pescadilla empanados al curry

Salar los filetes.

En un recipiente profundo y amplio, mezclar harina, huevo, pan rallado y curry.

Empanar con esta mezcla los filetes y freírlos en aceite.



Formar una pasta mezclando la cebolla bien picada, el queso rallado y el jugo del limón. Salpimentar a gusto.

Servir los filetes acompañados con la pasta."
https://www.recetas.com/receta-de-Filete-de-arenque-al-tomate-1870.html,Filete de arenque al tomate,,"Para el escabeche : 1 dl. vinagre 3 cdas. de salsa de soja 1,5 dl. de ketchup

"," Filete de arenque al tomate

Limpiar bien los filetes.

Enrollarlos y con un palillo pincharlos para que no se desarmen.



En un bol, mezclar el vinagre, la salsa de soja y el ketchup. Colocar los rollos de filete en un recipiente para hornear y verter encima esta salsa.



Hornear por 10 minutos.

Dejar un día en reposo en la nevera para que tomen gusto."
