url,title,date,ingredients,steps
https://www.recetas.com/calamares-rellenos-a-la-parrilla.html,Calamares rellenos a la parrilla,,," Calamares rellenos a la parrilla

Hervir los calamares con sus tentáculos en agua hirviendo con sal durante unos veinte minutos, escurrirlos.

Retirar los tentáculos y cortarlos finamente. Mezclarlos con la mantequilla, el ajo y el perejil, una pizca de pimienta y una de sal.

Rellenar las bolsas de calamares con la mezcla preparada, cerrarlas con un palillo de dientes, pincelarlas con aceite aromatizado con sal y pimienta.

Colocar los calamares en la parrilla del horno y cocinar, durante unos diez a quince minutos, a la temperatura máxima, girándolos con frecuencia."
https://www.recetas.com/arrufadas.html,Arrufadas,,"500 gr. de harina 125 gr. de azúcar 80 gr. de leche 60 gr. de mantequilla 13 gr. de levadura de cerveza 4 huevos 1 cdta. de esencia de vainillaa Ralladura de limón

"," Arrufadas

Desmenuzar la levadura en la harina; mezclar con 3 huevos, mantequilla derretida, azúcar, vainilla, un poco de ralladura de limón, leche y una pizca de sal para obtener una masa homogénea y suave.

Colocar en un recipiente, cubrirlo con un paño húmedo y dejar levar hasta que se haya triplicado su volumen (aproximadamente 2 horas). Una vez que ha levado, amasarlo brevemente y obtener 16 porciones de 50 gr. cada una. Formar una bolita y decorar con un cordón hecho de la masa restante.

Acomodar las arrufadas en una bandeja para hornear, pincelar con el huevo batido restante y dejarlas crecer nuevamente hasta que dupliquen su volumen (aproximadamente una hora). Luego hornear a 180 ° C durante unos 15 minutos."
https://www.recetas.com/cataplana.html,Cataplana,,"1 kg de almejas 600 gr. de bacalao 600 gr. de nabos 200 gr. de gambas 200 gr. de calamar 2 cebollas 1 tomate 1 pimiento amarillo 300 ml de caldo de pescado 1 ramita de perejil Aceite de oliva v.e.

"," Cataplana

Antes de proceder a la preparación, remojar el bacalao durante al menos 2 días, cambiando el agua a menudo. En cuanto a las almejas, colocarlas en agua fría y salada durante al menos 3 horas, preferiblemente en un lugar fresco y oscuro, antes de cocinarlas.

En el momento de la preparación, limpiar el nabo y cortar en trozos, cortar en pedazos también el bacalao, limpiar las gambas y el calamar y cortar este último en anillos.

Cortar las cebollas y colocarlas en la cataplana, donde se verterá una generosa cantidad de aceite. Cortar el tomate en cubos y el pimiento en tiras. Agregar el caldo de pescado, cerrar la cataplana y cocinar durante unos 5-6 minutos.

A continuación, agregar el bacalao y el nabo. Después de unos 15 minutos, agregar las gambas y los calamares. Después de 10 minutos poner las almejas en la cataplana. Esperar otros 5 minutos para que las almejas se abran. Apagar el fuego y espolvorear con el perejil previamente picado.

Aclaración: Para esta receta no hay sal, dado el sabor del pescado y, en particular, del bacalao.

Sumar al tiempo de preparación y cocción, 2 días para el remojo del bacalao y 3 horas para purgar las almejas

Ideas y variantes: Además de esta versión, hecha solo con pescado, también se puede cocinar una cataplana ""mixta"", añadiendo pechuga de pollo y tocino."
https://www.recetas.com/cerdo-a-la-alentejana-x1k.html,Cerdo a la alentejana,,"700 gr. de cerdo (lomo) 500 gr. de almejas purgadas 200 gr. de puré de tomate 2 dientes de ajo pelados 1 cebolla Laurel Vino blanco seco Chile picante Perejil Limón Aceite extra virgen de oliva Sal Pimienta

"," Cerdo a la alentejana

Cortar la carne de cerdo en trozos, sazonar con una copa de vino, el chile, la hoja de laurel, sal, pimienta y los 2 dientes de ajo; dejar macerar durante 2 horas.

Pasadas las 2 horas, escurrir la carne de la marinada y dorar en aceite durante 5-6', a continuación, retirar de la sartén y mantenerla caliente.

En la misma sartén, saltear la cebolla picada; añadir la marinada y el puré de tomate y cocinar a fuego alto por 10'.

Hacer abrir las almejas en una olla con un poco de aceite y la mitad de un vaso de vino. Retirarlas de las cáscaras, manteniendo sólo algunas enteras para decorar.

Poner nuevamente la carne en la olla con la salsa, y cocinar 5 minutos más, por último añadir las almejas, con un poco de su jugo filtrado. Cocinar 1-2 minutos más. Completar con perejil picado y ralladura de limón; servir con rodajas de limón."
https://www.recetas.com/caldo-verde.html,Caldo verde,,," Caldo verde

Pelar patatas y cebollas y cortarlas en trozos. Ponerlas en una cacerola con un diente de ajo pelado, 1,5 litros de agua y una pizca de sal y pimienta; cocer durante unos 20', con la tapa. Mientras tanto, cortar en tiras finas la col y ponerla en un recipiente.

Pasar las patatas con un poco de su agua de cocción por el prensapatatas y recogerlas en otra cacerola. Añadir la col al procesado de patatas, estirar con el agua de cocción, hasta la consistencia adecuada; aplastar el diente de ajo hervido y añadir a la sopa.

Cocinar durante 10'. Completar la sopa con el chorizo en rodajas y servir caliente."
https://www.recetas.com/cerdo-a-la-alentejana.html,Cerdo a la alentejana,,," Cerdo a la alentejana

Cortar el lomo de cerdo en cubos grandes (más o menos el mismo tamaño de una almeja) y ponerlos a macerar unas horas con pimentón, salsa Tabasco, cebollín, apio, vino blanco, sal, pimienta negra y cilantro fresco.

Purgar las almejas y dejar que se abran en una sartén con aceite de oliva virgen extra y el ajo entero, pero sólo lo justo para comprobar que estén bien. Retirar casi todas las conchas, dejando sólo unas pocos para el momento de servir.

Escurrir muy bien la carne de la marinada, enharinarla y freirla por inmersión con aceite de semillas. Dejar enfriar en un colador de metal para que la corteza quede crujiente; sazona con sal y pimienta.

Añadir la carne frita a las almejas, terminar de cocinar a fuego alto sin dejar secar demasiado la preparación. Servircon patatas cocidas o arroz blanco."
https://www.recetas.com/pollo-a-la-portuguesa.html,Pollo a la portuguesa,,," Pollo a la portuguesa

Quite el excedente de grasa y la piel de las porciones de pollo.



Pele y pique la cebolla. Lave y corte en bastones finos el pimiento. Pele y pique el ajo.



Tenga preparado el caldo de ave y la salsa de tomate.



Pele, lave y corte las patatas en ruedas españolas o en cubos de 1 cm de lado. Resérvelas en agua fría hasta el momento de usar para que no se oxiden.



Coloque una olla sobre fuego medio, agregue el aceite y dore allí las presas de pollo. Dórelas en todos sus lados, retírelas de la olla y reserve.



En la misma olla, con un poco más de aceite y a fuego medio, saltee la cebolla y los pimientos. Cocine hasta que se hayan ablandado y dorado suavemente.



Incorpore el ajo, regrese el pollo a la olla y moje con el vino blanco. Salpimiente y deje que se evapore bien el alcohol, es decir, que se reduzca a la mitad de su volumen inicial.



Añada el caldo de ave, la salsa de tomate, el pimentón y el azúcar. Tape la olla y hierva suavemente por 15 minutos.



Incorpore las patatas y los guisantes y continúe la cocción tapada hasta que las patatas estén cocidas.



Presente todo dentro de una fuente, espolvoreado con abundante perejil picado."
https://www.recetas.com/mazagran-cafe-portugues.html,Mazagrán (café portugués),,"1 taza de café negro frío 1/2 taza de jugo de limón fresco Azúcar blanco al gusto

"," Mazagrán (café portugués)

Mezclar el café con el jugo de limón en un vaso alto.

Endulzar al gusto.

Llenar el vaso con hielo. Decorar con una cereza confitada o una rodaja de limón.

Si lo desea, puede agregar especias o hierbas (como vainilla, menta o canela)."
https://www.recetas.com/pastel-de-sardinas.html,Pastel de sardinas,,"Para el relleno : 1 kg. de sardinas frescas 1 cebolla grande Ramitas de perejil Sal Pimienta Aceite Huevo

Para la masa : 1/2 kg. de harina 150 cm3 de aceite de oliva 150 cm3 de leche Sal

"," Pastel de sardinas

Poner la harina en un bol, hacer un hueco, echar el aceite, la leche y sal. Unir los ingredientes para formar una masa tierna. Amasarla un poco sobre la mesa enharinada, cubrirla y dejarla descansar 20 minutos en la heladera.

Mientras tanto, quitar las vísceras y la cabeza a las sardinas. Lavarlas, secarlas y sazonarlas.

Pelar la cebolla y cortarla en ruedas muy finas, rociarlas con un poco de aceite de oliva y salpimentarlas.

Dividir la masa en dos partes. Forrar con una un molde cuadrado untado con aceite, distribuir las sardinas, por encima las cebollas, tapar con el resto de masa, unir sus bordes, sellarlos como una empanada, pintar con huevo, pinchar la masa y hornear el pastel."
https://www.recetas.com/merluza-a-la-portuguesa.html,Merluza a la portuguesa,,"4 filetes de merluza Harina Mantequilla o margarina Sal Pimienta Limón Salsa portuguesa (puede ser envasada) 1/2 copa de jerez Puré en copos

"," Merluza a la portuguesa

Salpimiente los filetes, rocíelos con limón y páselos por harina; fríalos en mantequilla o margarina hasta dorarlos de ambos lados, a fuego moderado.

Pase los filetes a una fuente; agregue el vino a la sartén junto con la salsa portuguesa, caliente unos minutos a buen calor para evaporar el vino y eche sobre los filetes.

Sirva el pescado bañado con la salsa y acompañado con un puré de patatas."
https://www.recetas.com/receta-de-Carnero-a-la-beirio-8279.html,Carnero a la beirio,,," Carnero a la beirio

Se corta la carne a trocitos, se lava y se escurre. En una cazuela de barro negro y que sea honda, se colocan en capas alternadas todos los ingredientes así preparados.



Sobre la última capa; se echa el aceite, la manteca y la sal. Finalmente, se cubre todo con el vino tinto y se lleva primeramente a fuego fuerte, reduciendo en seguida a fuego lento para que vaya cogiendo el gusto.

Se acompaña con patatas hervidas con su piel y luego peladas.

"
https://www.recetas.com/receta-de-Pasteles-de-lorvao-8280.html,Pasteles de lorvao,,"Ingredientes 450 gr. de

120 gr. de miga de almendra

2 cdas. de

12 yemas y 2 claras de

1 cdta. de

Piel rallada de

1 cdta. de

450 gr. de azúcar 120 gr. de miga de almendra2 cdas. de harina 12 yemas y 2 claras de huevo 1 cdta. de mantequilla Piel rallada de limón 1 cdta. de canela

"," Pasteles de lorvao Se lleva el azúcar al fuego y se deja hervir un poco. Se retira del fuego y se juntan las almendras peladas y ralladas, así como la harina. Se mueve y se lleva nuevamente al fuego hasta que empiece a hervir.



Se deja enfriar el preparado y se añaden entonces las yemas, las claras, la canela y la piel rallada del limón. Se mezcla todo muy bien y se va echando la pasta en moldes de cake bien untados de mantequilla; se llevan al horno hasta que estén cocidos y se espolvorean con azúcar cristalizado tan pronto se saquen del horno.



Se presentan en cajitas de papel frisado.

"
https://www.recetas.com/receta-de-Bacalao-a-las-brasas-8281.html,Bacalao a las brasas,,"Ingredientes 4 trozos grandes de

4 lonchas de

4-8 hojas de col (según tamaño)

2,5 di de aceite de oliva

1 cebolla

750 gr. de

1 manojo de grelos hervidos

4 trozos grandes de bacalao 4 lonchas de tocino o jamón4-8 hojas de col (según tamaño)2,5 di de aceite de oliva750 gr. de patatas hervidas1 manojo de grelos hervidos

"," Bacalao a las brasas Cuando se tiene el bacalao ya desalado y seco, se envuelve primero en el tocino (o jamón), luego en las hojas de col, y finalmente en papel vegetal.



Se atan los paquetes con un hilo y se introducen en las brasas, que deberán cubrirlos completamente. El bacalao estará asado cuando empiece a hacer ruido.



Se retiran los papeles, las hojas de col, el tocino y se aliña con aceite. Se adorna con cebolla cruda cortada a rodajas y se acompaña con patatas hervidas con su piel y grelos hervidos.

"
https://www.recetas.com/receta-de-Arroz-de-afogado-8274.html,Arroz de afogado,,"Ingredientes Vísceras de 1

150 gr. de jamón

2 cebollas

Perejil

2 cdas. de manteca

Sal, laurel,

1/2 vaso de vino blanco

600 gr. de

Vísceras de 1 cabrito (tripas, hígado, riñones, pulmones y corazón)150 gr. de jamón2 cebollas2 cdas. de mantecaSal, laurel, clavo de olor1/2 vaso de vino blanco600 gr. de arroz

"," Arroz de afogado Lavar muy bien las tripas del cabrito en varias aguas, ponerlas al revés, y hervirlas en agua con un poco de sal, laurel y clavo.



Preparar un sofrito con la cebolla, la manteca, el perejil y el jamón cortado a trocitos. Añadirle el hígado, los pulmones, los riñones y el corazón, también cortados a trocitos, y dejar guisar bien.



Cortar las tripas cortadas en trocitos y agregarlas a la preparación. Bañar con el vino blanco y tan pronto como hierva agregar el arroz, dejando cocinar a fuego lento y agregando el agua necesaria, para obtener un arroz caldoso (el agua deberá ser por lo menos 3 veces más que la cantidad del arroz).

"
