url,title,date,ingredients,steps
https://www.recetas.com/arroz-con-tocino-y-pollo.html,Arroz con tocino y pollo,,"400 gr. de arroz 1 kgr. de pollo 70 gr. de tocino 1 lata de tomates 1 cebolla 1 pimiento verde 1 hoja de laurel 1 cda. de mantequilla 20 gr. de alcaparras 20 aceitunas rellenas, cortadas en rodajitas 1 chile fresco 12 tallos de espárrago ya hervidos 100 gr. de guisantes congelados 1 litro y medio de caldo caliente 1/4 litro de aceite de oliva Sal

"," Arroz con tocino y pollo

Limpiar y lavar la cebolla y el pimiento, cortar el tocino y colocar en una cacerola. Cocinar a llama suave con tres cdas. de aceite de oliva, revolviendo frecuentemente.

Después de diez minutos de cocción, añadir la salsa de tomate y la hoja de laurel, revolver bien y cocinar por otros cinco minutos.

En otra sartén grande con cinco cdas. de aceite, añadir el pollo cortado en trozos y dorar ligeramente. Añadir la salsa recién preparada y un litro de caldo caliente, agregar sal si es necesario, y cocer a fuego lento durante diez minutos.

Añadir el arroz y, removiendo con una cuchara de madera, dejar cocer durante unos veinte minutos, revolviendo con frecuencia y añadiendo el resto del caldo caliente, la preparación debe resultar más bien líquida.

Mientras tanto, en otra sartén, rehogar con mantequilla los guisantes y las puntas de espárragos. Finalmente añadir las alcaparras, las aceitunas y el chile bien lavadas y picado, mezclar todo y servir en platos individuales, agregando en cada uno, una porción de guisantes y espárragos.

ConseJO: Si al final de la cocción el arroz resultara demasiado seco, añadir más caldo caliente hasta obtener la consistencia deseada."
https://www.recetas.com/receta-de-Besitos-de-coco-7344.html,Besitos de coco,,"1 lata de leche condensada (14 oz.) 5 y 1/3 de tazas de coco rallado 1 cdta. de vainilla (negra) 1/2 cdta. de vainilla (blanca)

"," Besitos de coco

Mezcle el coco rallado con la leche condensada, obtendrá una mezcla pegajosa. Incorpore la vainilla (ambas negra y blanca). Prepacaliente el horno a 180 grados.

Haga bolitas con la mezcla preparada y acomódelas en una placa de horno, dejando entre cada una un espacio de aproxmadamente 1/2 pulgada.

Lleve la bandeja al horno y cocine hasta que los besitos esten bien dorados o a gusto. Retírelos con cuidado y déjelos enfriar un poco.

Una vez fríos, coloquelos en un envase y llévelos al refrigerador."
https://www.recetas.com/receta-de-Pina-Colada-6834.html,Piña Colada,,"4 cl. de ron blanco 2 cl. de ron añejo 12 cl. de jugo de piña (preferentemente natural) 4 cl. de leche de coco Hielo

"," Piña Colada

Poner todos los ingredientes en una licuadora, junto con unos 6 a 8 hielos.

Licuar hasta obtener una ligera espuma, servir en una copa para cócteles y decorar con un trozo de piña fresca."
https://www.recetas.com/receta-de-Flan-de-calabaza-6268.html,Flan de calabaza,,"2 tazas de puré de calabaza1 taza de leche evaporada1 taza de leche condensada o 1 taza de azúcar1 taza de leche de coco4 huevos1 barra de queso crema (8 oz.)1 cdta. de vainilla1 pizca de canela2 cdas. de almidón de maíz harina todo uso1 taza de azúcar para el caramelo

"," Flan de calabaza

Preparación:

En una licuadora verter las leches, los huevos, la vainilla, el queso crema, la pizca de canela y las 2 cucharadas de almidón de maíz.



Mezclar el batido con el puré de calabaza.

En una cacerola poner a calentar el azúcar hasta que se derrita y se torne color caramelo, echar al molde.

Precalentar el horno a 350ºC.

Verter la mezcla en el molde azucarado y llevar all horno precalentado por 45 minutos a baño María.

Retirar, dejar enfriar y desmolar."
https://www.recetas.com/receta-de-Clericot-con-refresco-de-limon-5814.html,Clericot con refresco de limón,,"2 tazas de refresco sabor limón2 cdas. de azúcar blanca1 toronja de gajos1 taza de fresas1 nectarina madura picada2 tazas de vino tinto a su preferencia1 taza de vodka a su preferencia

"," Clericot con refresco de limón

Cortar la fruta en trozos pequeños, colocar en un tazón y macerar con el azúcar unos 10 minutos

Mezclar el vino, el vodka y el refresco de limón.

Combinar en una jarra las frutas y los líquidos. Tapar con plastico y reservar en el refrigerador hasta la hora de servir."
https://www.recetas.com/receta-de-Bizcocho-con-tropiezos-5147.html,Bizcocho con tropiezos,,"1/4 kg. de mantequilla o margarina1 taza de azúucar morena clara1 huevo1 cdta. de extracto de vainilla1 taza de harina1/4 cdta. de bicarbonato de soda1/4 cdta. de sal1/4 de taza de trozos de chocolate blanco (''chips'')1/4 de taza de trozos de chocolate de leche (''chips'')1/2 taza de nueces pecanas o nueces picadas

"," Bizcocho con tropiezos

Precaliente el horno a 175ºC.

Engrase un molde cuadrado de 8 pulgadas (20 cm).

En un bol mediano, bata la mantequilla y el azúcar morena hasta que resulte cremosa.

Agregue el huevo y la vainilla y siga batiendo para unir.



Combine la harina, el bicarbonatode soda y la sal en un bol pequeño. Agregue esta mezcla a la mezcla de mantequilla. Revuelva hasta que esté apenas unido. No revuelva demasiado.



Añada los trozos de chocolate blanco, los trozos de chocolate de leche y las pecanas. Mezcle para combinar bien todos los ingredientes.



Acomode la mezcla dentro del molde ya preparado. Hornee hasta que al introducir un palillo en el centro, éste salga limpio (alrededor de 25 minutos).

Deje enfriar 10 minutos antes de cortar."
https://www.recetas.com/receta-de-Bizcocho-facil-4990.html,Bizcocho fácil,,"1/2 taza de margarina1 taza de azúcar2 y 1/2 taza de harina preparada2 huevos3/4 tazas de leche2 das. de leche1 cdta. de vainilla

"," Bizcocho fácil

Batir la margarina hasta que esté cremosa.

Cernir la harina y el azúcar juntas sobre la margarina.

Añadir 3/4 taza de leche y mezclar hasta que los ingredientes secos estén húmedos (2 minutos a velocida mediana o 300 vueltas a mano.

Añadir los huevos, las 2 cucharadas de leche y la vainilla.

Hornear a 300-350f. por 30 a 35 minutos."
"https://www.recetas.com/receta-de-Huevo-escalfado-con-tomate,-pimiento-verde-y-cebolla-4882.html","Huevo escalfado con tomate, pimiento verde y cebolla",,"4 huevos pimiento cortado en tiras1/2 tomate cortado en rodajas1/2 tomate cortado en cubos1/2 cebolla cortadas en aros2 cdas. de mantequillaSal y vinagre a gusto

"," Huevo escalfado con tomate, pimiento verde y cebolla

Coloque en un sartén 2 cucharaditas de mantequillas. Una vez que la mantequilla se derrita, añada los huevos. Cubra y ponga a fuego mediano. Deje cocinar por unos 5 minutos.

Luego, destape y voltee el huevo, con cuidado de no romper el centro. Déjelo cocinar unos 5 min. más y retire de la sartén.

En la misma sartén, mezcle los pimientos, los cubos de tomates y los aros de cebollas y revuelva hasta que esten dorados.

Remueva del fuego y póngalos en un plato sobre el huevo escalfado y ya frito.

En otro plato, ponga las rodajas del tomate y condimente con el vinagre y la sal a gusto.

"
https://www.recetas.com/receta-de-Paella-por-Maria-V.-Laureano-3719.html,Paella por Maria V. Laureano,,," Paella por Maria V. Laureano

Preparación:

En una sartén con un chorrito de aceite sofreir el tocino cortado en cuadritos hasta que quede bien crujiente. Retirar del fuego y reservar.

Posteriormente en la misma sartén rehogar el resto de los ingredientes a excepeción del arroz.

Una vez que estén todos los vegetales cocidos se agrega en la sartén (o pasar a una más grande en caso de ser necesario) el arroz junto con 7 tazas de agua (o caldo para que quede más sabroso).

Dejar cocinar todo junto durante unos 30/40 min, hasta que el arroz esté listo.

Para servir decorar con perejil picado por encima."
https://www.recetas.com/receta-de-Flan-de-Maria-V.-Laureano-3680.html,Flan de Maria V. Laureano,,," Flan de Maria V. Laureano

Preparación:

Mezclar todos los ingredientes en la licuadora (menos el azúcar).

Luego preparar el caramelo con el azucar en el molde para flan.

Llevar al horno a baño maría y cocinar por 1 hora."
https://www.recetas.com/receta-de-Coditos-con-jamonilla-3667.html,Coditos con jamonilla,,," Coditos con jamonilla

Preparación:

Cojes un caldero y lo llenas de agua hasta la mitad, luego le echas sal y aceite y deja que hierba a fuego alto.

Echas la caja de coditos y la mueves, despues de 5 minutos chequeas si los coditos estan blanditos.

Cojes otro caldero para hacer la jamonilla, le echas sofrito y ajo deja que se sofria un poco, despues le echas la salsa de tomate , el sobre de sazon, el honey mustard y la salsa ragu lo mueves todos para que se junte.

Al final despues de escurrir los coditos vaz a echarle las jamonillas con la salsa y ya esta listo para comer."
https://www.recetas.com/receta-de-Lenguado-a-la-Ostra-3331.html,Lenguado a la Ostra,,," Lenguado a la Ostra

Preparación:

Blanquear las hojas de espinaca y reservar.

Tomar un filete y enrollar como un turbante de manera que se pueda rellenar.

Batir la clara a punto nieve.

Aparte, procesar el otro filete y mezclado con la clara a nieve.

Salpimentar, tomar una asadera y poner el filete enrollado, las hojas de espinaca forrando por dentro y por último la mezcla anterior.

Hornear durante 15 minutos, sin dejar que se dore.

Para hacer la salsa licuar las ostras con su agua y el caldo de pescado, reducir a fuego fuerte unos minutos y salpimentar, agregar un trocito de mantequilla.



Disponer primero la salsa en el plato y en el centro el pescado relleno, salpicar con caviar y acompañar con buen vino blanco helado."
https://www.recetas.com/receta-de-Polvorones-2499.html,Polvorones,,"1/2 taza de manteca vegetal1/2 taza de mantequilla1 taza de azúcar2 yemas de huevo1 cda. de extracto de vainilla2 y 1/2 a 3 tazas de harina de trigo

"," Polvorones

Calentar el horno a 350°C y engrasar 2 bandejas.

Mezclar la manteca, la mantequilla, el azúcar, las yemas de huevo, el extracto de vainilla hasta que quede una preparación cremosa.

Añadir la harina de trigo poco a poco.

Formar bolitas con la masa.

Colocarlas en una bandeja dejando un espacio de 1cm. entre uno y otro.

Presionar el centro de cada bolita



Hornear de 10 a 15 minutos."
https://www.recetas.com/receta-de-Carne-guisada-a-la-americana-1802.html,Carne guisada a la americana,,"Carne magra de vaca1 bote de caldo de carne1 hoja de laurel ajos picaditos cebolla mediana en cuatro trozos2 cdas. de aceite de olivaSal Pimienta en grano1 vasito de vino blanco

"," Carne guisada a la americana

Cortar la carne en trozos y rehogarla en la sartén con aceite hasta dorarla.

Volcar en una cacerola y agregarle el caldo de carne, los ajos picados, y el resto de los ingredientes; cocinar a fuego lento hasta que la carne esté tierna.

"
https://www.recetas.com/receta-de-Cerdo-al-curry-con-coco-1803.html,Cerdo al curry con coco,,"1 kg. de aguja de cerdo en trocitos1 cdta. de curry3 cdas. de coco rallado1 cda. de harinaSalPimientaAceiteCaldo de carne

"," Cerdo al curry con coco

Cortar la carne en trozos y ponerla a dorar en una cazuela.

Agregar 1 cucharada de harina, el curry, el caldo, sal y pimienta.

Dejar cocer a fuego bajo con la olla tapada hasta que la carne esté tierna.

Añadir el coco; dejar 5 minutos más y servir."
https://www.recetas.com/receta-de-Flan-1274.html,Flan,,," Flan

Mezclar todos los ingredientes en una licuadora hasta lograr una consistencia homogénea.

En un molde para flan, preparar el caramelo derritiendo el azúcar.

Bañar bien todas las paredes del molde con el caramelo.

Volcar la preparación de flan en el molde acaramelado y llevar a cocinar a baño María por espacio de 45 minutos a 1 hora.

Retirar del fuego y llevar a la nevera a enfriar.

"
https://www.recetas.com/receta-de-Batido-de-Frutas-1195.html,Batido de Frutas,,," Batido de Frutas

Preparación:

En una batidora, licuar todas las frutas bien lavadas y peladas, cortadas en trozos.

Agregar la leche y el agua, volver a licuar y servir inmediatamente para que las frutas no se oxiden.

"
https://www.recetas.com/receta-de-Pure-de-guayaba-con-pera-1168.html,Puré de guayaba con pera,,,
