url,title,date,ingredients,steps
https://www.recetas.com/tortas-galesas.html,Tortas galesas,,"230 gr. de harina 110 gr. de mantequilla fría de la nevera 5 gr. de levadura en polvo 40 gr. de pasas 90 gr. de azúcar 1 huevo 1 pizca de sal

"," Tortas galesas

Poner en un bol la harina, la levadura, el azúcar, la sal y luego la mantequilla cortada en cubos. Trabajar todo con la batidora planetaria a baja velocidad con el gancho k hasta obtener migas grandes. Agregar el huevo y las pasas y mezclar. La mezcla también puede realizarse a mano.

Amasar todo hasta obtener una masa con una consistencia similar a la masa quebrada. Formar un bollo y extenderlo con un rodillo sobre una tabla de repostería ligeramente enharinada, hasta que tenga un grosor de unos 5 mm. Con un cortador de masa de 5-6 cm, cortar discos. Volver a juntar la masa sobrante y proceda de la misma manera.

Engrasar el fondo de una sartén antiadherente grande (para cocinar al menos 5-6 a la vez) y colocar los discos sobre ella, espaciándolos adecuadamente. Cocinarlos en la sartén muy caliente durante unos 3 minutos por cada lado, dándoles la vuelta con una espátula, o en cualquier caso hasta que adquieran un color ámbar. Espolvorearlos, mientras aún estén calientes, con azúcar.

Servir las tortas galesas inmediatamente, solas o con mermelada."
https://www.recetas.com/scotch-eggs-huevos-escoceses.html,Scotch Eggs (Huevos escoceses),,"Para empanar : 2 huevos Harina 100 gr. de pan ralado Aceite para freír

"," Scotch Eggs (Huevos escoceses)

Poner los huevos en una cacerola pequeña con agua fría, cuando empiecen a hervir, dejarlos durante 4 minutos, retirar del agua hirviendo y colocarlos en un recipiente con agua fría.

Prelar los huevos con cuidado y resservar.

Colocar la carne picada en un tazón junto con la salchicha sin piel y desmenuzada, sazonar con una pizca de sal, nuez moscada, salsa Worcestershire y pimienta.

Amasar bien la carne y colocar unos 50 gramos en un cuadrado de papel pergamino o película autoadhesiva, colocar un huevo duro en el centro de la carne y, con la ayuda del papel, formar una bola de carne presionando bien para hacer que el huevo se pegue y quede bien cubierto con la carne. Formar tres más con cada uno de los huevos restantes.

Pasar los huevos escoceses por harina, luego por el huevo batido y, finalmente, por el pan rallado.

Calentar abundante aceite en una sartén y cuando alcance la temperatura, freír no más de dos a la vez.

Colocar los huevos escoceses fritos sonbre papel de cocina para absorber el exceso de aceite. Servir fríos o calientes.



Notas: hay muchas variaciones para esta deliciosa receta, se pueden preparar con verduras en lugar de carne, o usar solo salchicha, obviamente aumentando la dosis."
https://www.recetas.com/lemon-drizzle-cake.html,Lemon drizzle cake,,"Para el almibar : Cáscara de 1 limón 6/7 cdas. de limón jugo 1 cda. de azúcar Rodajas de limón para decorar

180 gr. de Harina 00 125 gr. de mantequilla 120 gr. de azúcar 2 huevos 1/2 cdta. de polvo de hornear Jugo de 1 limón Cáscara de 1 limón 50 ml de leche 3 cdas. de azúcar glas

"," Lemon drizzle cake

Batir los huevos con el azúcar, agregar la harina tamizada con el polvo de hornear, la ralladura y el jugo de limón filtrado, la leche y la mantequilla derretida, mezclando hasta obtener una masa suave y homogénea.

Engrasar y enharinar un molde para pasteles y verter la mezcla.

Cocine en un horno caliente a 180 ° durante aproximadamente 40 minutos.

Mientras tanto, preparar el almibar mezclando en una sartén antiadherente el azúcar glas con el azúcar y el jugo de limón haciéndolas derretir a fuego muy bajo.

Apagar la llama tan pronto como el azúcar esté completamente disuelta.

Desmoldar el bizcocho ni bien esté cocido, ñpinvcharlo de inmediato con un palillo de brocheta, luego verter el almibar sobre toda la superficie y en las perforaciones.

Dejar enfriar durante 15 minutos y luego transferirlo a una rejilla hasta que se enfríe por completo.

Notas: Si desea cubrir el pastel con un glaseado de limón crujiente, antes de servir pique la cáscara de limón con un par de cdas. de azúcar granulada y espolvoree sobre el pastel junto con algunas rodaja de limón."
https://www.recetas.com/shortbread.html,Shortbread,,"300 gr. de avena 120 gr. de azúcar 200 gr. de mantequilla 2 cdas. de extracto de vainilla Sal

"," Shortbread

Verter la harina, 100 gr. de azúcar y una pizca de sal en un bol, mezclar y hacer un agujero en el centro donde poner la mantequilla blanda a temperatura ambiente y cortada en trozos.

Incorporar la mantequilla amasando con las manos; agregue el extracto de vainilla y seguir trabajando la masa rápidamente.

Cuando se obtiene un compuesto sólido y liso, hacer un bollo y cubrir con película transparente; dejar reposar durante 1 hora en la nevera.

Extender entonces la masa de poco menos de 1 cm de espesor y cortar en forma de rectángulos, de unos 10 cm de largo y 2 cm de ancho. Coloque las tiras en una hoja de papel de hornear que se coloca sobre una bandeja y llevar al refrigerador por otros 30 minutos: asegurarse de que no se pegan entre sí.

Una vez fríos, retire los rectángulos de la nevera y pinchar su superficie con un palillo de dientes.

Llevar la bandeja al horno y cocinar a 160 ° C durante 30 minutos.

Una vez listo, enfríar y espolvorear con el azúcar restante. Dejar reposar por algunos minutos y servir.

Ideas y variantes: Dependiendo del gusto personal,se pueden perfumar estas galletas por ejemplo, reemplazando el extracto de vainilla con limón o extracto de naranja; para hacerlos aún más fragantes; en este caso, también combinar la cáscara de 1/2 limón rallada. Si prefiere los aromas más delicados, use extracto de almendras."
https://www.recetas.com/crumpets.html,Crumpets,,"390 gr. de harina 350 ml de leche entera a 45 ° 190 ml de agua tibia 15 gr. de azúcar 7 gr. de levadura de cerveza seca 7 gr. de sal 4 gr. de bicarbonato de sodio Aceite para freír Mantequilla para pincelar

"," Crumpets

Los crumpets son bollos redondos que se asemejan en algunos aspectos a tortitas, pero con una circunferencia menor y un espesor mayor. Además, los bollos tienen agujeros en la superficie y son más suaves. Son perfectos para el desayuno, con un poco de mantequilla o mermelada,, chocolate, miel o queso fresco.



Para preparar los crumpets, poner en el cuenco de la planetaria o batidora la leche caliente a 45 ° (medida con un termómetro de cocina común) junto con la levadura de cerveza deshidratada y el azúcar. Revolver con un batidor de mano para que se derrita, luego dejar reposar durante 10-15 minutos, o hasta que aparezcan burbujas en la superficie.

Añadir la harina tamizada y la sal accionando poco a poco el funcionamiento de la planetaria con el batidor, a baja velocidad. Batir durante unos pocos minutos hasta que la mezcla esté suave. Cubrir con una envoltura de plástico y dejar levar a temperatura ambiente durante aproximadamente 1 hora o al menos hasta que la masa se haya duplicado en volumen.

Después de ese tiempo, disolver en un recipiente separado el bicarbonato en agua tibia y añadir, poco a poco, a la mezcla ya levada revolviendo constantemente con el batidor de la planetaria, a baja velocidad, para amalgamar.

Se debe obtener una masa pegajosa y viscosa. Calentar una sartén antiadherente apenas engrasada con aceite de semilla y apoyar en ella algunos cortapastas (o ruedas de pastelería) de unos 8 cm de diámetro, pincelados con mantequilla derretida. Verter dentro de cada uno de ellos un cucharón del compuesto y cocinar a fuego medio-bajo durante 3-4 minutos.

Con la ayuda de una pinza de cocina quitar el anillo y, cuando en la superficie de los crumpets se hayan formado burbujas y la base esté bien dorada, darlas vuelta con la ayuda de una espátula. Cocinar durante otros 3-4 minutos. Continuar hasta que agotar toda la masa. Servir los crumpets con mantequilla y mermelada al gusto."
https://www.recetas.com/roast-beef-a-la-inglesa.html,Roast beef a la inglesa,,"600 gr de entrecot de ternera (lomo bajo, lomo de riñonada, ojo de bife) 30 gr. de mostaza 1 ramita de romero 3 hojas de salvia 50 gr. de aceite de oliva virgen extra 1 taza de vinagre de vino blanco 1 limón Sal Pimienta negra

"," Roast beef a la inglesa

Limpiar la carne de la grasa. Frotarla con la mostaza. Espolvorear con el romero, la salvia, el ajo, la sal y la pimienta.

En una olla calentar el aceite y poner a dorar la carne a fuego alto. Cuando la carne se dore por todos sus lados, remojar con el vinagre blanco. Una vez evaporado pasar al horno durante unos 15 minutos a 180 grados.

Hacer una salsa citronette con el fondo de cocción emulsionado con el jugo de limón.

Cortar en rebanadas y servir.

Notas: el tradicional roast beef a la inglesa se prepara siguiendo un procedimiento particular que hace que al término e la cocción la pieza de carne tenga una corteza exterior crujiente y quede tierna y rojiza en su interior. Para lograrlo, la carne se dora en primer término por todos sus lados, una operación que seirve para sellar los jugos en su interior, y luego se cocina por un total de unos 30-35 minutos por kg. Se corta luego en rodajas finas y se sirve caliente, acompañado con el jugo de cocción, pero también es deliciosa fría."
https://www.recetas.com/receta-de-Torta-escocesa-al-whisky-7779.html,Torta escocesa al whisky,,"Ingredientes 1 y 1/4 de taza de pasas de uva rubias

5 cdas. de whisky

100 gr. de manteca

6 cdas. de

6 cdas. de azúcar impalpable

3 huevos grandes

1 cdta. de cáscara rallada de limón

1/2 cdta. de nuez moscada rallada

1 cda. de jugo de limón

1 y 1/4 de taza de harina

1 y 1/2 cdta. de polvo de hornear

3/4 de taza de

1 y 1/4 de taza de pasas de uva rubias5 cdas. de whisky100 gr. de manteca6 cdas. de azúcar molida6 cdas. de azúcar impalpable3 huevos grandes1 cdta. de cáscara rallada de limón1/2 cdta. de nuez moscada rallada1 cda. de jugo de limón1 y 1/4 de taza de harina1 y 1/2 cdta. de polvo de hornear3/4 de taza de nueces picadas

"," Torta escocesa al whisky



Poner a macerar las pasas en 4 cdas. de whisky, durante una hora, previamente pasadas por agua caliente.



En un bol grande trabajar la manteca, añadir el azúcar molido y el impalpable y batir hasta hacer una crema liviana. Agregar los huevos, uno por uno, batiendo después de cada adición, e incorporar al final la nuez moscada recién rallada, la cda. de whisky restante, las pasas remojadas y escurridas y las nueces picadas, mezclando bien.



Echar la masa por cdas. en un molde rectangular enmantecado y enharinado, emparejar la superficie y tener al frío durante 15 minutos.



Luego llevar el molde a horno muy caliente durante 6 minutos, reducir el calor a moderado y seguir la cocción de la torta durante 35 a 40 minutos más. (Si se dora demasiado cubrirla con papel de aluminio.)



Retirar la torta cuando un cuchillo introducido en ella salga seco, invertirla sobre una rejilla de repostería y dejarla enfriar.

"
https://www.recetas.com/receta-de-Repollitos-de-Bruselas-a-la-inglesa-7695.html,Repollitos de Bruselas a la inglesa,,"Ingredientes 1 kg. de repollitos de Bruselas

Sal

Pimienta

Nuez moscada

2 cdas. de manteca o margarina

75 gr. de panceta ahumada

2 cebollas

4 rebanadas de pan francés



"," Repollitos de Bruselas a la inglesa Pulir y lavar los repollitos de Bruselas. Hervirlos en poca agua con sal, durante unos 12 minutos.



Calentar una cda. de manteca en una sartén grande, agregar la panceta cortada en daditos y la cebolla picada fina. Cuando la cebolla esté transparente, añadir los repollitos escurridos y saltearlos, moviendo la sartén para que todo se mezcle. Condimentar con sal, pimienta recién molida y nuez moscada rallada y cocinar 5 minutos más.



Calentar el resto de manteca en otra sartén y dorar el pan cortado en dados. Agregar a los repollitos justo antes de servir este plato, recién sacado del fuego.



"
https://www.recetas.com/receta-de-Torta-Galesa-6914.html,Torta Galesa,,"Ingredientes 200 gr. de manteca

250 gr. de

200 gr. de azúcar rubia

350 gr. de

4 cdtas. de polvo leudante

1 cdta. de bicarbonato

5 claras

5 yemas

2 cdas. de

1 cda. de especias dulces

150 cc. de

250 gr. de frutas secas y glaseadas (

Azúcar impalpable 200 gr. de manteca250 gr. de azúcar molida200 gr. de azúcar rubia350 gr. de harina 4 cdtas. de polvo leudante1 cdta. de bicarbonato5 claras5 yemas2 cdas. de miel de maíz 1 cda. de especias dulces150 cc. de leche apenas tibia250 gr. de frutas secas y glaseadas ( almendras , pasas de uvas , nueces o cáscaras cítricas, hidratadas en 50 cc. de de coñac)Azúcar impalpable

"," Torta Galesa Batir en un bol la manteca a temperatura ambiente con 200 gr. de azúcar, el azúcar rubia y la miel de maíz.



Cuando todos los elementos estén bien integrados, incorporar las yemas de a una, al tiempo que se continúa batiendo hasta que la mezcla resulte aireada y cremosa.



Aparte, unir los elementos secos, cernirlos y añadirlos al batido, agregando también la leche tibia. Revolver.



Escurrir las frutas hidratadas, pasarlas por 1 cda. de de harina e incorporarlas a la preparación.



Batir las claras, incorporándoles suavemente el azúcar restante hasta llegar a punto nieve. Añadir a la preparación de la torta.



Forrar con papel manteca el fondo de un molde de 26 cm de diámetro, verter la preparación y llevar a horno suave (unos 150°C) durante 2 horas. Desmoldar, dejar enfriar y por último espolvorear con azúcar impalpable."
https://www.recetas.com/receta-de-Pate-a-la-inglesa-5517.html,Paté a la inglesa,,"800 gr. de carne de cordero picada200 gr. de carne de cerdo picada3 huevos200 gr. de crema de leche50 gr. de manteca1 diente de ajoSalPimientaTomilloOréganoPerejil200 gr. de panceta ahumada cortada finaPepinitos para servir

"," Paté a la inglesa

Pique el ajo y la cebolla. Mezcle la carne picada de cordero y de cerdo junto con la cebolla y ajo picados y dórelos suavemente en la manteca.

Agregue sal y pimienta recién molida, 1/2 cucharadita de tonillo, 1/2 de salvia, 1/4 de orégano y 1/2 taza de perejil picado. Batir los huevos e incorporarlos a la mezcla de carnes y aromas.

Tapizar una budinera alargada con tajadas de panceta y verter en ella la preparación de paté. Cubrir la preparacióncon panceta y llevarlo al horno de calor moderado, dentro de una asadera con agua.

Cocinar el paté durante una hora: estará listo cuando al introducir la hoja de un cuchillo o un pinche, éste salga limpio y seco.

Dejar enfriar el paté a temperatura ambiente, por lo menos durante 12 horas; luego retirar la panceta y cortarlo en rebanadas.

Servirlo con pepinitos en vinagre y alguna salsa."
