url,title,date,ingredients,steps
https://www.recetas.com/empanaditas-con-atun.html,Empanaditas con atún,,"Para el relleno: 1 lata de atún al natural, peso escurrido 155 gr. 1 chile 1 cebolla 25 gr. de espinacas 50 gr. de queso tipo manchego 2 cdas. de nata fresca 1/2 cdta. de sal

"," Empanaditas con atún

Para el relleno, escurrir bien el atún y deshacerlo bien. Picar finamente el chile, la cebolla y las espinacas. Mezclarlos bien con el atún. Cortar el queso en dados y junto con la nata fresca, añadirlo al resto de ingredientes. Mezclar bien y agregar sal.

Precalentar el horno a 200°C. Cortar la masa en 6 cuadrados. Dividir el relleno en 8 porciones y colocar uno en cada uno de los 6 cuadrados de masa. Doblar la masa por el medio y presionar los bordes. Eliminar generosamente las esquinas y formar 2 bolas con los restos de masa, aplanarlas y hacer 2 discos. Extender el resto del relleno sobre los discos. Presionar los bordes. Enrollar todos los bordes y presionar bien.

Transferir todas las empanadas a una bandeja para hornear forrada con papel pergamino. Pincelar uniformemente con la yema de huevo batida. Dorarlas en la parte baja del horno durante unos 20 minutos. Servir con ensalada de hojas."
https://www.recetas.com/pamplona-criolla.html,Pamplona criolla,,"Para las patatas paille 3 patatas grandes Aceite para freír Sal y pimienta negra molida

2 pechugas de pollo 150 gr. de tocino ahumado 100 gr. de queso mozzarella 100 gr. de jamón cocido en fetas Hojas de albahaca fresca

"," Pamplona criolla

Abrir las pechugas al medio. Colocar por encima una lámina de jamón cocido, el queso mozzarella rallado y las hojas de albahaca. Condimentar.

Sobre papel film disponer láminas de tocino superpuestas y colocar las pechugas. Enrollar (el tocino quedará envolviendo el pollo) y cerrar las puntas.

Cocinar las pamplonas en una cacerola con agua hirviendo salada durante 15 minutos. Escurrir, dejar reposar unos minutos y retirar el papel film. Dorar en una sartén o una plancha caliente con gotas de aceite.



Para las patatas: pelar y cortar las patatas en tiras delgadas. Freír en abundante aceite caliente. Condimentar. Servir junto con las pamplonas criollas.

Notas. La pamplona es una preparación típica uruguaya. Se elabora con pollo, cerdo o carne vacun y se envuelve normalmente, en lugar de tocino, se suele envolver con una crepinette o redaño, que es el manto membranoso que recubre los órganos de la cavidad abdominal del cerdo o del cordero."
https://www.recetas.com/pamplonas-de-pollo-o-conejo.html,Pamplonas de pollo o conejo,,"Ingredientes 1/2

300 gr. de crepín (la crepín es la grasa que recubre la panza del cerdo)

3 fetas de jamón cocido

6

6 hojas de rúcula

1 pulpeta de

Sal y pimienta



Para la guarnición:

300 gr. de col morada

300 gr. de col blanca

300 gr. de

2.cdas. de postre de mayonesa

1 cdta. de

1 cda. de postre de azúcar

1 cda. de postre de nata

2 cdas: de

3 gotas de salsa Tabasco

Sal y 1/2 pollo conejo deshuesado300 gr. de crepín (la crepín es la grasa que recubre la panza del cerdo)3 fetas de jamón cocido tomates secos6 hojas de rúcula1 pulpeta de mozzarella de búfalaSal y pimienta300 gr. de col morada300 gr. de col blanca300 gr. de zanahoria rallada2.cdas. de postre de mayonesa1 cdta. de café de mostaza1 cda. de postre de azúcar1 cda. de postre de nata2 cdas: de vinagre de manzana3 gotas de salsa TabascoSal y pimienta

"," Pamplonas de pollo o conejo Colocar la crepín bien estirada en una tabla; sobre ella, la carne elegida deshuesada y abierta.



Por encima del pollo o conejo distribuir las hojas de rúcula, el jamón cocido, la mozzarella de búfala cortada en pequeños bastones y los tomates secos dispuestos uno al lado del otro.



Enrollar y cocinar en grill o parrilla aproximadamente 25 minutos a fuego medio.



Para la ensalada de coleslaw rápida, lavar y cortar los vegetales en juliana, hacer una vinagreta con el resto de los ingredientes y mezclar."
https://www.recetas.com/receta-de-Pan-Casero-7871.html,Pan Casero,,," Pan Casero

En un bol poner 3 tzas de harina, hacer un pozo en el centro y colocar la sal por fuera sobre el borde de la harina.

Mientras, en un boll pequeño, colocar la levadura fresca, una cucharadita de azúcar y cubrir con agua tibia. Agregar un poco de harina y revolver. Poner a leudar cerca de una fuente de calor.

Agregar la levadura a la harina en el centro, más unas 3 cucharaditas de grasa. Tomar la levadura y la grasa e ir incorporando la harina poco a poco. Formar una masa suave y manejable, no muy seca.

Amasar de forma tal que se ""forme miga"". Luego del amasado, untar el bollo con grasa y dejar levar, hasta que duplique su tamaño, cerca de una fuente de calor.

Engrasar una asadera acorde a la forma que le vamos a dar al pan: redondo, alargado, el bollitos, etc. Cuando la masa esta pronta colocar en la asadera engrasaday dejar reposar unos minutos.

Hacer cortes con una trincheta sobre la masa (no con cuchillio porque es muy grueso) y llevar a horno fuerte por 30 minutos.

Retirar y con un paño seco, tomar el pan, darlo vuelta en la mano y golpearlo con la palma de la mano cual tambor. Debe sonar hueco y no sentirlo pesado en la mano.

Si está pronto, dejarlo reposar boca abajo sobre un paño por unos minutos. Cortar con cuchillio dentado."
https://www.recetas.com/receta-de-Chivito-uruguayo-7549.html,Chivito uruguayo,,"Ingredientes Pan francés o tipo pita

1 lonja de carne vacuna (lomo, cuadrada, bola de lomo)

Tomate

Lechuga

Jamón cocido

Queso mozzarella

Mayonesa u otro aderezo a gusto

1

Pan francés o tipo pita1 lonja de carne vacuna (lomo, cuadrada, bola de lomo)TomateLechugaJamón cocidoQueso mozzarellaMayonesa u otro aderezo a gusto huevo duro o a la plancha (opcional)

"," Chivito uruguayo



Aplastar la carne con una maza para dejarla fina; cocinarla en una plancha bien caliente.



A mitad de cocción, dar vuelta la carne y agregar sal y cubrir con una feta de jamón y una de mozzarella arriba. Terminar la cocción hasta que el queso se derrita.



Untar mayonesa en el pan y luego colocar el bife en él, completar el sandwich con tomate, lechuga, y el huevo si se desea.

"
https://www.recetas.com/receta-de-Ricota-5782.html,Ricota,,," Ricota

Calentar la leche a 95ºc.



Agregar el vinagre (también se puede utilizar jugo de limón, para preparaciones dulces) apagar el fuego y dejar reposar unos 15 minutos.

Retirar con una espumadera y verter en moldes, se puede agregar una pizca de sal para saborizar y ayuda a la preparación a quedar un poco mas seca y firme.

Dejar que despida el líquido excedente y llevar a la nevera.

"
https://www.recetas.com/receta-de-Arroz-con-leche-tostado-5783.html,Arroz con leche tostado,,"140 gr. de arroz 1/4 lt. de nata (crema doble)1 lt. de leche 125 gr. de azúcar3 yemasAromas (vainilla) Azúcar para caramelizar

"," Arroz con leche tostado

Preparación:

Poner a cocinar la leche y la nata con el arroz.

Añadir los aromas.

Cuando el arroz esté roto, añadir el azúcar y las yemas, con cuidado de que no se pasen de temperatura.



Disponer en moldes individuales y enfriar.

Espolvorear azúcar en el momento de servir y quemar con soplete o paleta."
https://www.recetas.com/receta-de-Agnolotti-rellenos-de-carne-y-repollo-5785.html,Agnolotti rellenos de carne y repollo,,"400 gr. harina 3 huevos1 cda. de aceite1/2 kg. de carne bien tierna150 gr. de jamón cortado en una rodaja1/2 vaso de vino blanco seco150 gr. de queso rallado1 ramita de romero 1 hoja de laurel 1 repollo mediano50 gr. de manteca3 cdas. de aceite cebolla mediana2 huevosSalPimientaNuez moscadaHojitas de salvia 100 gr. de manteca

"," Agnolotti rellenos de carne y repollo

Preparación:

Masa: Poner la harina sobre la mesa, hacer un hueco en el centro y agregar los huevos previamente batidos y el aceite.



Trabajar la mezcla con la punta de los dedos hasta que la mezcla haya absorbido todo el líquido. Agregar un poco de agua templada para terminar de ligar la masa.

Comenzar a trabajar la masa hasta que ésta quede elástica, suave y firme, y que no se pegue ni en las manos ni en la mesa. Formar un bollo y guardarla en una bolsa de nylon, o papel film y dejarla descansar durante 1 hora



Relleno: Cortar el repollo en juliana y la carne en cubos pequeños.

Poner a calentar la manteca y el aceite y agregar la cebolla muy picada, dejarla rehogar hasta que quede tierna y transparente, luego agregar la carne, el romero y el laurel, cocinar hasta quedar todo bien dorado, condimentar a gusto y rociar con vino blanco.

Dejar cocinando todo a fuego lento y mezclando de vez en cuando durante 15 o 20 minutos, hasta que se haya evaporado por completo todo el líquido.

Retirar el romero y el laurel, mezclar con en jamón y procesar todo, verter la mezcla en un bol y agregar los huevos y el queso rallado, dejar enfriar en la nevera para utilizarlo luego bien frío.

Armado: Estirar la masa preparada y cortar círculos de 8 a 10 cm. de diámetro, colocar abundante relleno en el centro y mojar su contorno para ayudar a pegar bien la masa.

Poner una cacerola con abundante agua al fuego. Agregarle sal gruesa y tapar hasta que rompa el hervor.

Incorporar los agnolotti y cocinar al dente."
https://www.recetas.com/receta-de-Tortas-Fritas-5589.html,Tortas Fritas,,"1/2 Kg de harina común2 cdtas. de polvo de hornearAguaSalAzúcarAceiteSi se quiere dulce de membrillo o batata,

"," Tortas Fritas

Poner en un bol harina, polvo de hornear, dos cucharaditas de sal, una de azúcar, y medio pocillo de aceite, mezclar; incluir poco a poco el agua, revolviendo hasta ligar toda la mezcla.

Hechar la mezcla en la mesa con harina y amasar; dividir en bollitos y aplastar con el palo de amasar hasta 1cm de espesor.

Calentar aceite en una sartén con e ir hechando las tortas: el secreto para que salgan sequitas es ir moviendo la torta dentro de la sartén hundiendo y dejando reflotar para que no se enfrie el aceite en ninguna de sus partes.

Sacar con un tenedor y dejarla escurrir un poco antes de llevarla al plato."
https://www.recetas.com/receta-de-Anillos-fritos-5041.html,Anillos fritos,,"Ingredientes 1 kg. de harina

500 gr. de grasa

1 y 1/2 cdta. de sal

5 cdas. de aceite

Agua tibia c/n

1 cda. de polvo de hornear

"," Anillos fritos

Mezclar en un bol la harina con la sal, agregar el polvo de hornear y volver a mezclar.

Hacer un hoyo en el centro y colocar el aceite y empezar a mezclar de a poco con el agua tibia hasta formar una masa. Unir bien.

Formar bollitos y dejarlos descansar unos diez minutos.

Estirar de a uno formando una torta redonda y hacerle un agujero en el centro con el dedo.

Freír en grasa bien caliente hasta que estén dorados."
https://www.recetas.com/receta-de-Guiso-suave-con-carne-5019.html,Guiso suave con carne,,"1 cda. de aceite de oliva250 gr. de peceto cortado en cubitos4 zanahorias en rodajas gruesas coliflor chico separado en ramitos300 gr.de ramitos de brócoli 2 papas cortadas en cubos200 gr. de chauchas cortadas en trozos diagonales200 gr. de calabacita cortada en cubos chicos2 tazas de caldo de verdurasRamita de tomillo (optativo) Perejil picado

"," Guiso suave con carne

Preparación:



Ponga el aceite en una olla y saltee la carne.

Agregue las verduras, menos las papas, el caldo, el tomillo sal y pimienta.

Cocine a fuego bajo hasta que las verduras estén blandas pero al dente.

Diez minutos antes de finalizar la cocción, añada las papas.

Espolvoree con perejil picado y sirva."
https://www.recetas.com/receta-de-Milhojas-de-peras-4978.html,Milhojas de peras,,"1 y 1/2 taza de harina común1/2 taza de maicena2 cdtas. de polvo de hornear1/2 cdta. de jengibre20 gr. de edulcorante en polvo150 gr. de margarina4 peras maduras1 huevo2 claras de huevo1 taza de leche descremada

"," Milhojas de peras

Tamizar juntos la harina, la maicena, el polvo de hornear, el jengibre y el edulcorante. Agregar la margarina y trabajar con la punta de los dedos integrando bien hasta que la masa quede con aspecto de migas.

Rociar con spray vegetal un molde de 22 x 24 cm, previamente enharinado, y distribuir encima la mitad de la preparación.

Pelar las peras, cortarlas en rodajas finas e ir acomodándolas sobre la masa en forma pareja. Cubrir con el resto de la masa de migas, esparcida en forma pareja.

Verter por encima el huevo mezclado con las claras y la leche, haciendo que penetren a través de las migas.

Cocinar en horno precalentado a temperatura moderada durante media hora. Retirar y enfriar sobre una rejilla. Cortar en cuadrados y servir tibia."
https://www.recetas.com/receta-de-Brioches-2755.html,Brioches,,"1/4 kg. de harina225 grs. de manteca25 grs. de azúcar1 pizca de sal4 huevosCáscara rallada de medio limón1 cucharada de esencia de vainilla10 grs. de levadura de cerveza1/2 taza de leche

"," Brioches

Colocar en un bol la mitad de la harina y añadirle la levadura disuelta en media taza de leche. Hacer una masa y dejarla descansar durante dos horas.

Volver a amasar, formar un bollo y hacerle un corte superior en forma de cruz.



Colocar sobre la mesa el resto de la harina en forma de corona, y en medio colocar tres huevos, la sal, el azúcar,la esencia de vainilla y la ralladura. Mezclar estos ingredientes y colocar encima el bollo que contiene la levadura.

Crear una masa única uniendo los ingredientes con la harina de la corona.

El siguiente paso es estirarla y agregar 200 grs. de manteca.

Luego de un descanso, untarla con el resto de la manteca y dejar descansar hasta el día siguiente en la heladera.

Separar la masa en bollitos y colocarlos sobre placas de horno enmantecadas y enharinadas. Arriba de cada bollo hacer un huequito con el dedo, y colocar en ellos una bolita de la misma masa, en cada uno, humedecida. Pintar con el restante huevo batido y cocinar en horno fuerte.



Servir espolvoreados con azúcar impalpable."
https://www.recetas.com/receta-de-Cerdo-glaseado-2733.html,Cerdo glaseado,,," Cerdo glaseado

Preparación:

Dejar en remojo la carne de cerdo con el vino, sal, pimienta, romero y ajo picado por 12 horas en la heladera.

Retirar la carne, salarla a gusto, frotarle la mostaza y llevar al horno mediano ubicándola sobre un colchón de las verduras picadas groseramente.

Bañar con el vino cada 20 minutos.

Servir cada porcion cubierta de nueces, ciruelas y pasas picadas y acompañar con puré de papas cremoso y las verduras de la cocción."
https://www.recetas.com/receta-de-Budin-de-bizcochuelo-y-banana-1830.html,Budín de bizcochuelo y banana,,"Ingredientes 3 tazas de migas de bizcochuelo

1 lt. de leche

3 huevos

1/4 de taza de azúcar

50 gr. de manteca

1 cdta. de jugo de limón

3 bananas

"," Budín de bizcochuelo y banana

Preparación:



Poner la leche en una cacerola y llevar al fuego hasta que esté caliente.

Colocar en un bol las migas de bizcochuelo y agregar sobre ellas la leche caliente.

Aparte, semibatir los huevos con el azúcar y la sal, agregar la manteca derretida y el jugo de limón.

Añadir el bizcochuelo deshecho en la leche y mezclar muy bien.

Pelar las bananas, cortarlas en rodajitas bien finas y añadirlas a la preparación.

Verter todo en un molde de budín inglés enmantecado y llevar a horno moderado durante 45 minutos.

Retirar, entibiar y luego desmoldar.

"
https://www.recetas.com/receta-de-Plantillas-1812.html,Plantillas,,," Plantillas

Batir 4 yemas, 1 huevo y las 5 cucharadas de azúcar. Agregar luego, de a una, las 5 cdas de harina.

Agragar las 2 claras batidas a nieve.

Poner la mezcla en tiras, sobre una asadera enmantecada y enharinada, espolvorear con azúcar impalpable por encima y hornear de 10 a 15 minutos, en horno moderado, hasta que estén apenas doradas.

Retirar y enfriar sobre una rejilla."
https://www.recetas.com/receta-de-Torta-Facil-1813.html,Torta Fácil,,"3 huevos 150 gr. de manteca 3 vasos de leche 4 cdas. de azúcar 300 gr. de harina 1 pizca de sal 2 cdtas de povo para hornear

"," Torta Fácil

Batir los huevos con el azúcar hasta que estén blancos y espumosos.

Derretir la manteca e incorporar a la mezcla; agregar la leche revolviendo con batidora.

Incorporar la harina, tamizada junto con el plvo de hornear y la sal hasta conseguir una textura espesa.

Volcar en un molde de 24 cm. de diámetro, enmantecado y enharinado, y hornear a calor suave por 35-40 minutos."
https://www.recetas.com/receta-de-Salsa-salu-1733.html,Salsa salu,,"2 dientes de ajo2 cebollas grandes morrón rojo2 aceitunas verdes2 aceitunas negras tomates maduros1 taza de caldo de pollo 1 cdta. de pimienta negra molida10 cdas. de aceite de oliva3 cdas. de sal1/2 vaso de vino blanco1 hoja de laurel 1 ramita de romero 1 cda. de maizena o harina 1/2 cda. de aji molido o adobo

"," Salsa salu

Picar el ajo y la cebolla y llevarlos a dorar a una sartén con el aceite. A los 5 minutos agregar el morrón y la zanahoria cortados en juliana, dorar por 3 minutos más y agragar los tomates cubeteados juno con el vino. Cocinar por 5 minutos más a fuego fuerte y agregar luego el caldo de pollo junto con las aceitunas cortadas, el laurel, el romero, sal, pimienta y ají molido. Remover bien.



Unos 5 minutos antes de terminar la cocción, agregar la cucharadita de maicena, remover bien."
https://www.recetas.com/receta-de-Torta-de-Limon-1252.html,Torta de Limón,,"6 cdas. de harina 6 cdas. de aceite 6 cdas. de leche 5 cdas. de azúcar 1 huevo 2 cdtas. de polvo de hornear 1 limón

"," Torta de Limón

Colocar en un recipiente las 6 cucharadas de harina con las 6 cucharadas de aceite, las 6 cucharadas de leche y las 6 de azúcar, mezclar y agregar el huevo y la cáscara rallada de todo el limón.

Agregar por último, el polvo de hornear y revolver todo hasta formar la masa.

Volcar la masa en un molde enmantecado y enharinado llevar al horno a 180°C aproximadamente por 45 minutos o hasta que al pinchar con un palillo, éste salga seco.

"
https://www.recetas.com/receta-de-Pollo-hervido-con-verduras-1235.html,Pollo hervido con verduras,,"2 patatas medianas 2 zanahorias 125 gr. de judías verdes 1/2 nabo 1 puerro 2 hojas de acelga 2 hojas de lechuga 1 calabacín pequeño 1 alita de pollo 1 muslo y un contramuslo 1/2 lt. de agua

"," Pollo hervido con verduras

Preparación:

Llevar una olla con agua al fuego y cuando hierva, incorporar las verduras peladas y partidas.

Cuando lleven diez minutos hirviendo, añadir el pollo y una pizca de sal y dejar que se cocine unos 10 minutos más."
https://www.recetas.com/receta-de-Atun-al-horno-con-papas-1187.html,Atun al horno con papas,,"1 atún cortado en rodajas Sal a gusto 1 limón 1 atado de perejil 1 frasco pequeño de alcaparras Manteca 1 diente de ajo picado

"," Atun al horno con papas

Adobar las rodajas de atún con limón y sal a gusto; dejar macerar por dos horas.

Poner luego el atún en un molde para horno untado con manteca y un ramito de perejil sobre cada rodaja. Coninar en horno medio.

Cuando el atún esté listo, preparar las alcaparras: en una olla, derritir una cuchara de manteca, colocar el ajo picado y revolver hasta dorar.

Agregar las alcaparras y remover. Puede adicionarse un vaso de jugo de naranja.

Retirar el atún del horno y regar con la salsa."
