title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Rissotto de hongos y queso parmesano,,"['1\nPoner en una cazuela a fuego lento la cebolla, el pimiento y las chalotas junto con un poco de mantequilla y aceite, dejar pochar durante unos minutos.', '2\nAñadir el arroz y los hongos fileteados y rehogar unos 3 minutos.', '3\nAñadir el caldo (hirviendo) poco a poco conforme vayamos removiendo e irá reduciendo.', '4\nCuando el arroz esté a punto, (más o menos en 12 o 13 minutos) retirarlo del fuego y añadir el resto de la mantequilla y el queso parmesano rallado, removiendo con una cuchara de madera.', '5\nEl arroz debe quedar cremoso.']","Valoración: 3,3 (30 votos)",,,,Dificultad media,"['600 gr de arroz', '2 cebollas medianas', '2 chalotas', '1 pimiento verde', 'Robellón', 'champiñón', 'llanega', 'fredolic', '150 gr de queso Parmesano rallado', 'Mantequilla', 'aceite', 'y un poco de caldo (de pollo y verduras)']",https://www.recetasgratis.net/receta-de-rissotto-de-hongos-y-queso-parmesano-37384.html,,
Arroz con costra al horno,,"['1\nUtilizar un perol de barro no muy hondo.', '2\nFreir el embutido y reservar, freir la carne y reservar, freir el tomate y añadir los garbanzos y sofreirlos, añadir la carne y el embutido y a continuacion poner el agua (2 vasos de agua por uno de arroz).', '3\nPara cuatro personas lo ideal son 3 vasos (tipo nocilla) de arroz, asi que ,se pone 6 vasos de agua, un poco de sal y colorante o un sobre de paellero (especias).', '4\nCuando empieze a hervir se le añade el arroz, y se baja un poco el fuego para que no se queme demasiado el arroz por bajo.', '5\nHay que esperar a que este totalmente seco el arroz y entoncez se le añade el huevo batido y se mete al horno precalentado (conctarlo cuando se ponga el arroz) y dejarlo a 200º hasta que el huevo este subido y bien dorado aprox. 15 minutos.']","Valoración: 4,1 (7 votos)",,,,Dificultad media,"['Un muslo y contramuslo de pollo troceado', 'Medio conejo', '6 longanizas blancas', '6 rojas', '1 botifarron blanco', '1 botifarron negro', 'Garbanzos tomate', '6 huevos.']",https://www.recetasgratis.net/receta-de-arroz-con-costra-al-horno-37361.html,,
Arroz Dietetico,,"['1\nEn un sarten pones un poco de aceite de oliva, pero muy poco apenas tres gotitas, enseguida pones el arroz bien lavado en el sarten hasta que quede medio dorado, pero casi no. Enseguida viertes el agua necesaria para que cubra tu arroz y agregas la sal y el ajo.', '2\nMientras el arroz se cocina y toma una textura suave, es decir cuando el arroz queda bien abiertito lo dejas enfriar.', '3\nEntonces ya que tienes los dos tipos de chile cortaditos los pones en otro sarten pero sin aceite, dejas q se cocinen con sus propios jugos, y cuando ya estan medio aguaditos le pones el atun sun en el sarten y le meneas un ratito.', '4\nEnseguida sacas la mezcla y la pones encima del arroz blanco, lo dejas enfriar y a comer.', '5\nComes eso 3 veces al dia y lo acompañas con vaso de agua, y veras que bajas de peso rapidito.']","Valoración: 3,3 (32 votos)",,,,Dificultad media,"['1/2 taza de arroz', '1 chile morron amarillo', '1 chile jalapeño', '1 lata de atun en agua', '1 cucharada de ajo', '1/2 cucharada de sal', 'Aceite de oliva']",https://www.recetasgratis.net/receta-de-arroz-dietetico-37177.html,,
Arroz con pollo,"Aprende cómo hacer arroz con pollo con esta receta fácil. En RecetasGratis queremos ayudarte a cocinar los mejores platos y si tienes que preparar un menú para muchas personas, nada mejor que un buen arroz con pollo, un plato que rinde mucho y que no necesita demasiados ingredientes. Este arroz con pollo con guisantes y maíz es un plato muy colorido, ya verás como el sabor a compaña a la vista, sorprenderás a todos en la mesa y no tendrás que invertir mucho. Vamos entonces con la lista de ingredientes y las instrucciones de este delicioso arroz con pollo.","['1\nPara preparar nuestro arroz guisado con pollo, empezamos por limpiar y trocear el pollo en porciones pequeñas. Lo colocamos en un recipiente y le incorporamos la mostaza para suavizar un poco el sabor a pollo, añadimos también orégano, salsa inglesa, comino y sal.Reservamos y lo dejamos marinando en esta mezcla de especias.', '2\nPor otro lado, coloca todo el agua en un olla lo suficientemente grande, y calienta a fuego alta hasta que rompa un hervor. Entonces, añadimos los cubitos y una presa de pollo para hacer un caldo de pollo.Para que el caldo tenga un buen sabor, lo mejor es añadir la parte del pescuezo.', '3\nMientras, vamos picando finamente toda la verdura. La cebolla, el pimentón, el tomate, el ajo, el ajoporro y la zanahoria, todo en cuadritos o en juliana, según los gustos.El ajoporro también se conoce con el nombre de puerro.', '4\nA continuación, añadimos aceite en una buena sartén y nos ponemos a hacer el sofrito base para nuestro plato de arroz con pollo. Para ello, a freír el ajo a fuego alto hasta que empiece a dorarse, entonces añadimos la cebolla.Cuando esta cambie ligeramente de color incorporamos el resto de verduras empezando por el ajoporro, la zanahoria, el pimentón y el tomate. Remueve todo y continua con la cocción del sofrito hasta que tome un color rojizo.', '5\nEntonces coloca el pollo en la sartén y sazona todo con una pizca de pimienta. Baja la llama a fuego medio y cocina el conjunto por unos 20 minutos hasta que el pollo esté bien cocido.En ese punto incorpora el arroz junto con una pizca de sal y remueve bien para que éste se impregne de todos los sabores que hay en la sartén. Mantén la cocción durante 5 minutos más.', '6\nAhora añade el caldo que hemos estado preparando desde el primer paso y remueve todo hasta que rompa un hervor. Cuando la preparación este hirviendo, le añadimos el colorante y tapamos. Terminamos de cocinar el arroz con pollo a fuego lento por unos 25 minutos o hasta que el arroz este seco.', '7\nUnos 2 minutos antes de que esté listo el arroz, le agregamos el maíz y los guisantes. Apagamos y lo dejamos tapado durante 5 minutos más antes de servir.', '8\nDisfruta de este delicioso arroz con pollo en familia, verás como rinde muchísimo y a todo el mundo le gusta. Para completar el menú te recomendamos preparar una ensalada de papas con mayonesa y si quieres un arroz más caldoso, puedes revisar la receta de arroz con pollo fácil.¡A disfrutar!']",Valoración: 4 (56 votos),8 comensales,45m,Plato principal,Dificultad baja,"['1 Pollo', '1 kilogramo de Arroz blanco', '1 Cebolla', '¼ Ajoporro', '1 Pimentón rojo', '1 Pimentón verde', '4 dientes de Ajo', '1 Tomate', '1 Zanahoria', '1 lata de Guisantes', '1 lata de Maíz', '½ taza de Aceite', '1 cucharada sopera de Mostaza', '2 cucharadas soperas de Salsa inglesa', '½ cucharadita de Orégano en polvo', '½ cucharadita de Comino', '10 tazas de Agua (2400 mililitros)', '2 Cubitos de caldo de pollo concentrado', '1 cucharadita de Colorante alimentario', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-arroz-con-pollo-37128.html,,[]
Bolas de palomitas con panela,Las bolas de palomitas con panela son una versión criolla de las típicas cotufas acarameladas o las palomitas de maíz dulces. La diferencia de esta receta está en que el caramelo no lo haremos de azúcar sino que lo haremos de panela.Quédate en RecetasGratis.net y aprende cómo hacer esta rica merienda de palomitas de maíz caseras.,"['1\nPara hacer estas palomitas dulces, lo primero que haremos es fundir la panela. Para ello, coloca una olla con algo de agua a calentar y vierte la panela en trozos. Cocina a fuego muy lento y ve moviendo de tanto en tanto.La idea es hacer un caramelo líquido pero de panela o papelón en vez de con azúcar.', '2\nEl maíz pira es el tipo de maíz con el que se hacen las palomitas de maíz o cotufas crispetas. Para hacerlas, calienta el aceite en un cazo profundo junto con los granos de maíz.Cocina a fuego bajo tapado hasta que los granos revienten.', '3\nCuando tengas ambas preparaciones listas, ve añadiendo el melado de panela poco a poco en la ollas con las palomitas de maíz caseras. Ve removiendo hasta que todas las palomitas se impregnen con el caramelo.', '4\nDeja reposar durante una hora más o menos para que el melado de papelón se enfríe y ya podrás disfrutar de las bolas de palomitas con panela.Y si quieres una explicación más detallada puedes revisar la receta paso a paso de palomitas dulces con caramelo.']","Valoración: 3,7 (47 votos)",2 comensales,15m,Merienda,Dificultad baja,"['1 Panela o Papelón', '125 gramos de Maíz pira', '1 taza de Agua (240 mililitros)', '2 cucharadas soperas de Aceite']",https://www.recetasgratis.net/receta-de-bolas-de-palomitas-con-panela-36891.html,,['Recomendada para veganos']
arroz ranchero,,"['1\nPrimero se sartea las verduras, la zanahoria, el pimenton, ajo y cebolla blanca en un calderon hondo con el aceite bien caliente, se sofrie hasta que la verdura se cocine y se echan los chorizos y las costillas de cerdo. Por otro lado se cocina la pechuga y se sacan tiritas no muy grandes, se revuelven junto con los demas ingredientes y finalmente con el arroz cocido.', '2\nSe sirve con papa ala francesa o con papa criolla frita.', '3\nEs un plato espectacular que me invente y lo hecho para muchas personas y le ha gustado.']","Valoración: 3,9 (53 votos)",,,,Dificultad media,"['1 de arroz', '2 zanahorias medianas', '2 pimentones medianos', '1/2 libra de cebolla blanca', 'aceite girasol o de oliva', 'ajo bien picadito', 'color', '1 libra de chorizo de ternera zenu o colanta', '1 libra de costilla ahumada de cerdo', '1 libra de pechuga']",https://www.recetasgratis.net/receta-de-arroz-ranchero-36639.html,,
Arroz con gandules y coco,"El arroz con gandules es un plato de la cocina tradicional de República Dominicana que no puedes dejar de probar. También conocido como moro de gandules con coco, este plato se preparar con arroz, granos y leche de coco.. una mezcla única que sin duda sorprenderá a todos quienes lo prueben. Sigue el paso a paso de esta receta dominicana que te aseguramos no te defraudará.","['1\nComo en todas nuestras recetas, lo primero que debes hacer es preparar los ingredientes. Para ello, pica toda la verdura finamente, disuelve el cubito en las dos tazas de agua y escurre los gandules. \nTruco: Los gandules también se conocen como arvejas, chícharo o quinchoncho.', '2\nCaliente el aceite en una olla y haz un sofrito con la cebolla, el cilantro y el orégano. Continua con el fuego medio alto y ve removiendo todo por unos 5 minutos o hasta que las cebollas se ablanden.', '3\nIncorpora a la olla la pasta de tomate y sigue removiendo todo por dos minutos más i hasta que veas que el sofrito comienza a caramelizarse.', '4\nEntonces añade los gandules, el agua con el cubito, la leche de coco y un poco de sal. Mezcla todo bien y espera hasta que hierva.', '5\nAñade el arroz y cuando la preparación vuelva a hervir deja al fuego un minuto más y baja la llama. Deja cocinar el arroz con gandules y coco hasta que el agua se haya evaporado por completo sin revolver.', '6\nPor último, cuando ya no queda casi agua, baja la llama al mínimo y mezcla el arroz con movimientos envolventes de abajo hacia arriba. Continua con la cocción hasta que todo esté tierno por unos 20 minutos con la olla tapada.', '7\nDeja reposar un par de minutos y sirve el delicioso arroz con gandules dominicano acompañado con unas milanesas de pollo y ¡buen provecho!']","Valoración: 3,8 (39 votos)",10 comensales,1h 30m,Plato principal,Dificultad baja,"['1 cucharadita de Aceite vegetal', '¼ unidad de Cebolla', '1 diente de Ajo', '1 rama de Cilantro fresci', '1 pizca de Orégano', '1 cucharadita de Pasta de tomate', '2 latas de Gandules cocidos', '2 tazas de Agua (480 mililitros)', '1 unidad de Cubito de caldo de pollo', '1 lata de Leche de coco', '1 pizca de Sal', '2½ tazas de Arroz extra largo']",https://www.recetasgratis.net/receta-de-arroz-con-gandules-y-coco-36008.html,,[]
Arroz con repollo y tocineta,"Si quieres saber cómo hacer arroz con col o repollo échale un vistazo a este paso a paso que te enseñamos en RecetasGratis. Se trata de una receta de arroz con repollo y tocineta (o panceta) riquísimo y muy fácil de hacer que podrás en poco tiempo y con pocos ingredientes. Además, podrás añadir otras verduras que te gusten si lo deseas. ¡Qué aproveche!","['1\nLavar el repollo, sacarle las nervaduras y cortarlo en fina juliana.', '2\nSaltear en el aceite la tocineta o panceta. Cuando esté cocida incorporarle la cebolla y dejar cocer 5 minutos.', '3\nLavar el arroz y echarlo a la preparación anterior, removiendo hasta que se fría un poco.', '4\nCalentar el caldo de pollo, carne o verduras y verterlo en la preparación. Remover bien y dejar que comience a hervir.', '5\nCuando hierva cubrir con el repollo y salpimentar. Tapar la cacerola de arroz con repollo y dejar cocinar 20 minutos.', '6\nServir el arroz con repollo y tocineta recién hecho una vez esté bien cocido.']","Valoración: 3,7 (9 votos)",6 comensales,45m,Plato principal,Dificultad baja,"['6 tacitas de arroz', '1 repollo chico (col)', '200 gr de tocineta o panceta ahumada picada', '2 cebollas picadas', '12 tacitas de caldo de pollo, carne o verduras', '50 ml de aceite', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-arroz-con-repollo-y-tocineta-35778.html,,[]
arroz caldoso de centolla,,"['1\nen una cazuela pondremos aceite de oliva y el ajo laminado previamente, añadiremos las gambas, le centolla traceada y las almejas.', '2\nUna vez cambie el marisco de color añadimos el arroz que saltearemos hasta que coja color, acto seguido añadimos el tomate y después de unos minutos pondremos el caldo de pescado.', '3\nDejaremos que hierva unos cinco minutos. Durante este tiempo prepararemos la salsa romescu poniendo en el vaso de la batidora el ajo, previamente pelado, la ñora, sin pepitas, las almendras, avellanas, la cebolla y la miga de pan. Poco a poco añadiremos el aceite.', '4\nCuando la salsa se convierta en una pasta añadiremos un poco de vinagre y sal.', '5\nAl arroz caldoso, añadiremos la salsa romescu, la esparciremos bien y dejaremos que hierva unos 5 o 7 minutos mas.', '6\nPasado este tiempo quitaremos la olla del fuego y dejaremos que repose unos minutos y lista para servir.']","Valoración: 2,7 (3 votos)",,,,Dificultad baja,"['1 centolla grande', '4 gambas', '8 almejas grandes', 'aceite', '6 dientes de ajos', '1 ñora', '1 tomate natural grande rallado', '400 gr. de arroz', 'caldo de pescado', 'pimienta', 'azafrán puro', 'para la salsa Romescu', '1 ñora', 'almendras', 'avellanas', 'ajo', 'cebolla', 'pan', 'aceite', 'vinagre']",https://www.recetasgratis.net/receta-de-arroz-caldoso-de-centolla-35757.html,,
arroz de pajarito,,"['1\npreparacion en un caldero con aproximadamente 1 pocillo pequeño de aceite vejetal freiras el platano previamente pelado y desmenuzado hasta que quede bien morenito.', '2\nLuego echaras el arroz y 2 pocillos y medio de agua sal y azucar a tu gusto y listo ideal para acompañar con carne.']","Valoración: 3,6 (33 votos)",,,,Dificultad media,"['1 libra de arroz', '3 platanos bien maduros', 'aceite', 'sal', 'azucar al gusto']",https://www.recetasgratis.net/receta-de-arroz-de-pajarito-35598.html,,
