title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Arroz con Pollo al Curry,"Dentro de la gama de los arroces, el arroz con pollo es un plato clásico. En esta oportunidad, presentamos la variante con curry, una mezcla de especias asiáticas con un sabor exótico y único. El arroz con pollo al curry es un plato fácil y rápido para disfrutar en cualquier momento. Además, hemos optado por hacerlo sin nata y sin leche de coco, por lo que el resultado es un plato menos calórico y, por ende, más ligero y saludable.Échale un vistazo al paso a paso que compartimos en RecetasGratis para descubrir cómo hacer pollo al curry con arroz y anímate a elaborarlo. Al final de la receta, te damos algunas ideas para acompañar el plato y datos interesantes sobre su valor nutricional.","['1\nPara empezar a preparar este suculento plato de arroz con pollo al curry sin nata, lo primero que debes hacer es derretir una cucharada de mantequilla con un chorrito de aceite en una sartén más o menos grande.', '2\nEn esta grasa, fríe el pollo troceado junto con la cebolla cortada en cuadros pequeños o picada, como más te guste. Luego, agrega el curry y remueve bien para integrarlo en la carne. Si añades esta especia antes de que el pollo acabe de cocinarse, el arroz con pollo al curry tendrá mucho más sabor porque habrá penetrado mejor en la carne.', '3\nAgrega al pollo el arroz y saltéalo durante un par de minutos. Añade el caldo de pollo y el agua hasta cubrir todos los ingredientes y remueve bien para que el curry se distribuya correctamente.\nTruco: Para seguir la receta original, recomendamos optar por la variedad de arroz basmati.', '4\nTapa la sartén y cocina a fuego suave hasta que se seque el arroz con pollo al curry, es decir, hasta que no quede caldo. Este proceso puede tardar unos 20 minutos.\nTruco: Si prefieres que el pollo al curry con arroz quede más caldoso, agrega un poco más de agua o caldo de pollo.', '5\nSi ves que se seca pero que el arroz con pollo no está hecho, agrega un poco más de caldo. Cuando se haya consumido casi todo el líquido, apaga el fuego y deja reposar la preparación. Deleita a todos tus comensales con este delicioso arroz con pollo al curry y sirve de postre un flan casero o un postre de limón. Nosotros hemos elaborado pollo al curry con arroz basmati, sin embargo, puedes hacer esta misma receta con cualquier tipo de arroz, preferiblemente de grano largo.']","Valoración: 4,4 (81 votos)",4 comensales,30m,Plato principal,Dificultad baja,,[],"['2 tazas de agua (480 mililitros)', '200 gramos de arroz', '1 pechuga de pollo', '2 cucharaditas de curry', '50 gramos de cebolla picada', '2 tazas de caldo de pollo', '2 cucharadas soperas de mantequilla', '1 cucharada postre de aceite de oliva', '1 pizca de sal', '1 pizca de pimienta', '1 pizca de perejil picado']",https://www.recetasgratis.net/receta-de-arroz-con-pollo-al-curry-28634.html
Receta colombiana fácil,"¿Te sorprendiste al leer arroz con Cola-Cola? ¿Te preguntaste si era un plato salado o dulce? La Coca-Cola es uno de los refrescos más consumidos en todo el mundo y, por ende, no es de extrañar que existan recetas culinarias que la incluyan como ingrediente. Sin embargo, a menos que seas de Colombia, Ecuador o Perú, donde suele consumirse y de donde es originario, es probable que sientas confusión ante la idea de imaginarte esa extraña mezcla de sabores.Pues bien, el arroz con Coca Cola es uno de esos platos para acompañar cuando quieres variar el típico arroz blanco. Como su nombre lo indica, consiste en preparar arroz y sustituir una parte del agua de cocción del arroz por la gaseosa. Lo demás es preparar este cereal como lo has hecho siempre. El sabor al final es salado, pero con un toque dulce que le dará un toque único a tus platos. ¿Te atreves a probar esta receta? Descubre cómo hacer arroz con Coca-Cola colombiano en RecetasGratis y disfruta. Es el caso de la receta que aquí te mostramos, donde la utilizaremos para preparar un delicioso arroz. Este refresco aporta toda una variedad de sabores y aromas completamente diferentes a lo que has probado hasta el momento que seguro te encantarán. Toma nota de los pasos y aprende a preparar este arroz con Coca-Cola.","['1\nEste arroz con Coca Cola se prepara tal cual cocinas tu arroz normalmente. Si deseas agregar la cebolla y el ajo, comienza por picarlos muy finamente.', '2\nLlévalos a sofreír hasta que doren.', '3\nLuego, agrega el arroz y la sal. Esta última a tu gusto. Sofríelo por dos o tres minutos.', '4\nAhora solo agrega el agua y la gaseosa y revuelve muy bien. Déjalo cocinar como lo haces normalmente, es decir, hasta que el cereal absorba el líquido y quede suelto.', '5\nLas pasitas son un complemento de la preparación, por lo que puedes prescindir de ellas. Sirve el arroz con Coca Cola caliente para acompañar un plato principal.Como ves, hacer arroz con Coca-Cola es muy sencillo y el resultado espectacular. Puedes acompañarlo patatas asadas, lomo a la plancha o pechugas de pollo.']","Valoración: 4,2 (206 votos)",4 comensales,30m,Plato principal,Dificultad muy baja,,[],"['1 taza de arroz', '1 taza de agua (240 mililitros)', '1 taza de coca-Cola', '1 pizca de sal', '1 cebolla pequeña (opcional)', '2 dientes de ajo', '2 cucharadas soperas de pasitas (opcional)', '2 cucharadas soperas de aceite vegetal']",https://www.recetasgratis.net/receta-de-arroz-con-coca-cola-16495.html
Arroz rojo mexicano,"Un colorido arroz que lo encontramos como acompañante habitual en muchos platos de la cocina tradicional mexicana. El arroz rojo mexicano es un clásico, hecho con ingredientes naturales y muy conocido en la cocina vegetariana y vegana. Aprende a preparar este delicioso plato con una receta fácil y rápida y dale un color diferente al arroz de cada día.","['1\nPara hacer el arroz rojo empezaremos por preparar una sencilla salsa. Para ello, lava todos los tomates, desecha las cabezas o bordes y tritúralo junto con parte de la cebolla, un poco de sal y parte del ajo. Usa la licuadora para triturar estos ingredientes y luego pasa por un colador y aparta la salsa.', '2\nA continuación pica finalmente el resto de ajo y cebolla. También lava las patatas y corta en cuadros pequeños.', '3\nAparte, coloca en el fuego una sartén, más o menos profunda y con tapa, con un poco de aceite. Cuando este caliente el aceite añade el arroz y sofríe unos minutos hasta que se vuelva transparente y entonces será cuando incorporas a la sartén la papa, el maíz, el perejil, los chiles y al cebolla. Mezcla bien todos los ingredientes y cocina a fuego medio hasta que se doren.', '4\nCuando el arroz este frito se irá agregando el jugo tomate que preparamos al principio. Esta mezcla le dará color a nuestro arroz rojo. Remueve para que la salsa impregne por completo todo el arroz. En este punto puedes sazonar y corregir el nivel de sal y pimienta si es necesario.', '5\nCuando los ingredientes estén incorporados por completo añade el agua o el caldo ligeramente caliente a la preparación. Coloca la tapa a la sartén y cocina a fuego lento hasta que se seque el arroz.', '6\nSirve caliente este deliciosos arroz rojo mexicano y disfruta acompañado de unos frijoles charros o si quieres algo más mediterránea, sírvelo con unas albóndigas caseras.']",Valoración: 4 (225 votos),4 comensales,30m,Entrante,Dificultad media,,"['Recomendada para veganos', 'Recetas mexicanas']","['1 taza de Arroz', '2 unidades de Tomate', '½ unidad de Cebolla', '1 diente de Ajo', '2 unidades de Papas', '1 taza de Maíz en grano', '1 rama de Perejil', '1 pizca de Pimienta en granos', '½ taza de Jugo de limón', '3 cucharaditas de Sal', '2 tazas de Agua caliente o de consomé de pollo', '1 vaso de Chiles serranos', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-arroz-rojo-mexicano-12297.html
Arroz frito chino,"Imagen: http://www.taringa.net/


El arroz frito chino tiene muchas variantes, la que presentamos a continuación es la de arroz frito con gambas, una receta fácil y una opción excelente para variar y descubrir el mundo de los sabores orientales. Las gambas o camarones son el ingrediente principal de este sencillo plato, que ademas de sano y ligero es muy sabroso.","['1\nPara preparar nuestro arroz frito chino primero de debemos tener todos los ingredientes listos. Para ello, empieza cortando el cebollín en pequeñas rodajitas y apártalo. También, limpia los camarones y pícalos en dos o tres partes (si no son muy grandes puedes dejarlos enteros).\nTruco: Puedes convertir este excelente plato en uno vegano cambiando las gambas por cualquier verdura de tu preferencia', '2\nEn una olla poner el aceite y calentar un poco, luego agregar el arroz previamente lavado y escurrido. Freír durante un par de minutos el arroz, revolviendo siempre, hasta que los granos pasen de cristalinos a blancos.\nTruco: Si quieres un sabor más intenso puedes incluir salsa de soja o soya durante la cocción del arroz', '3\nAgregar el agua hirviendo, el vinagre, la sal y el cebollín y dejar cocinar a fuego lento de 10 a 15 minutos. Luego agrega los camarones y deja cocer hasta que se evapore totalmente el agua, el proceso debería tardar otros 15 minutos. Mantén la olla tapada a medias durante la cocción.', '4\nEn un sartén con media cucharadita de aceite ponemos dos huevos previamente revueltos, y cocinamos a fuego lento hasta obtener una tortilla tipo omelette, un minuto es suficiente.', '5\nPara terminar nuestro arroz frito chino picamos en pequeños trocitos la tortilla y lo mezclamos con el arroz ya cocinado. Sirve caliente y acompáñalo con cualquier plato con sabores orientales como el pollo en salsa agridulce.\nTruco: Si quieres hacerlo más profesional puedes incluir guisantes, brotes de soja y trocitos de jamón al arroz']","Valoración: 3,7 (2.099 votos)",4 comensales,15m,Plato principal,Dificultad baja,,['Recetas chinas'],"['1½ tazas de Arroz', '3 unidades de Cebollines', '2 unidades de Huevos', '3 tazas de Agua hirviendo', '3 cucharadas soperas de Aceite', '3 cucharadas soperas de Vinagre de vino blanco', '100 gramos de Camarones', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-arroz-frito-chino-11714.html
Arroz a la jardinera,"El arroz a la jardinera es uno de los platos principales más populares de la cocina vegetariana, pues ofrece una receta deliciosa a la vez que nutritiva por la cantidad de verduras que incorpora. Si no sabes qué cocinar hoy, este es un plato ideal para toda la familia. No te pierdas esta receta de RecetasGratis.net y descubre los pasos para preparar un arroz a la jardinera de rechupete.","['1\nPara empezar con la realización del arroz a la jardinera, lo primero que haremos será cocer el arroz. Para ello, pon a calentar el agua e incorpóralo cuando rompa a hervir. Añade sal al gusto y cocínalo hasta que esté al dente, luego escúrrelo bien y resérvalo.', '2\nAhora, coge una olla, pon a calentar un poco de aceite y fríe la cebolla y el ajo. Añade la cúrcuma molida, la sal, la pimienta y el comino al gusto.', '3\nCuando estén casi fritos, incorpora los guisantes, la zanahoria y el maíz y remúevelo todo. Cocínalo durante unos minutos y añade el agua para seguir con el sofrito del arroz con verduras. Comprueba si está bien de sal y tapa la olla. En el momento en el que empiece a hervir, incorpora el arroz, remuévelo todo y vuélvela a tapar.', '4\nDeberás removerlo de vez en cuando para que el arroz no se pegue y las verduras se hagan correctamente. Una vez incorporado el arroz, cuando hierva baja el fuego al mínimo y deja que se cocine.', '5\nPuedes hacerlo más o menos caldoso, como tú prefieras, pero si deseas que quede con un poquito más de caldo, simplemente incorpora un poco más de agua. Cuando esé listo, apaga el fuego y sírvelo caliente. Como ves, hacer arroz a la jardinera es muy sencillo y el resultado espectacular. Puedes servir una ensalada verde como entrante y de postre fresas con leche de soja.']","Valoración: 4,4 (71 votos)",4 comensales,1h 30m,Plato principal,Dificultad baja,,['Recomendada para vegetarianos'],"['4 tazas de Arroz', '1½ tazas de Guisantes', '1½ unidades de Zanahoria grande picada', '1½ tazas de Granos de maíz', '2 unidades de Cebolla grande picada', '1 cucharada sopera de Cúrcuma molida', '2 cucharadas soperas de Ajo molido', '4 tazas de Agua (960 mililitros)', '4 cucharadas soperas de Aceite', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Comino']",https://www.recetasgratis.net/receta-de-arroz-a-la-jardinera-11451.html
Arroz blanco suelto,"El arroz es uno de los cereales de mayor consumo a nivel mundial. Se utiliza en la confección de platos elaborados con carnes, aves y verduras y también se puede comer solo como guarnición.¿Te preguntas cómo hacer arroz blanco suelto? Pues bien, en RecetasGratis aprende a preparar un arroz blanco fácil y rápido para acompañar tus mejores platos. ¡Vamos allá!","['1\nPara empezar con la receta de arroz blanco suelto y sabroso, primero debes disponer de un caldero de tamaño medio para derretir la mantequilla a fuego bajo.', '2\nAgrega el arroz y mezcla con una cuchara de madera hasta que los granos se hayan cubierto con la mantequilla.\nTruco: usa un arroz de grano largo para que quede más suelto, si usas arroz de grano corto reduce la cantidad de agua para cocer el arroz.', '3\nSeguidamente añade el agua y el ajo. En este paso añade sal al gusto y prueba la sazón.', '4\nCuece el arroz blanco a fuego medio y tapado hasta que hierva sin remover. El tiempo de cocción del arroz blanco es de 15 minutos aproximadamente.', '5\nUna vez que hierva el arroz, reduce el fuego y termina la cocción con el cazo sin tapar y sin mover, hasta que seque.', '6\nPuedes comprobar que se ha consumido todo el agua inclinando el caso. Una vez seco el arroz, puedes moverlo para evitar que se pegue.', '7\nPuedes servirlo y decorar con un poco de perejil fresco. Además, señalamos que el arroz blanco suelto con ajo está delicioso, así que si te gusta el ajo puedes añadírselo a tu receta. ¡A comer!']",Valoración: 4 (53 votos),4 comensales,30m,Entrante,Dificultad baja,,[],"['4 cucharadas soperas de mantequilla', '2 tazas de arroz', '1 cucharadita de sal', '1 cucharadita de ajo en polvo', '4 tazas de agua (960 mililitros)']",https://www.recetasgratis.net/receta-de-arroz-blanco-suelto-10849.html
Arroz caldoso con bogavante,"Con solo pronunciar las palabras arroz caldoso, se nos viene a la mente ese aromático arroz humeante con un caldo muy sabroso que recuerda a esas zonas costeras del Mediterráneo. Asimismo, el arroz caldoso, ya de por sí, es una receta que a todo el mundo le gusta, pero si le añadimos bogavante, estamos hablando de una receta de lujo. Estamos seguros de que nadie dejaría pasar un plato como este, porque si hay un rey de los arroces, entonces es el arroz de bogavante caldoso. Además, en esta receta se explica de forma sencilla cómo hacerlo, optimizando el tiempo lo máximo posible y con un resultado único que sorprenderá a tus invitados.En RecetasGratis te enseñamos cómo hacer arroz caldoso con bogavante. ¡Vamos a ello!","['1\nPara empezar con esta receta de bogavantes con arroz caldoso, primero debes preparar el marisco. Puedes utilizar bogavantes frescos o unos ya descongelados y cocidos. Seguidamente, trocéalos en dos mitades, separando sus pinzas. Ahora, trocea en dos o tres partes, separando también la cabeza y el tronco.\nTruco: también puedes acompañar el bogavante con otro tipo de pescado, por ejemplo, puedes hacer arroz caldoso con bogavante y gambas.', '2\nEn una sartén honda, debes agregar un buen chorro de aceite de oliva y sofreír los trozos de bogavante. Simplemente, dale vueltas durante no más de dos minutos para que tome ese color rojizo. Por último, reserva.', '3\nA continuación, corta las verduras para sofreír. Primero, debes trocear el pimiento verde, el pimiento rojo, la cebolla y el ajo. Seguidamente, añade un poco más de aceite en la sartén y sofríe durante tres minutos. Si quieres que se doren con mayor rapidez, puedes añadir una pizca de sal.\nTruco: con esta receta también puedes hacer arroz con bogavante meloso, solo tendrás que reducir más el caldo del arroz.', '4\nCuando las verduras estén ya sofritas, debes reservarlas. A continuación, sofríe el tomate y añade la ñora picada, el pimentón y el laurel, debes remover a fuego lento durante dos minutos.', '5\nAhora, debes añadir la copa de Brandy y esperar a que el alcohol se evapore. Es importante avisar de que este paso es totalmente opcional, hay quien prefiere echar un poco de vino o, simplemente, quitar el alcohol de este paso.', '6\nA continuación, añade el arroz. Sin embargo, las medidas están pensadas para 4 comensales, dependiendo de la cantidad de personas a las que vayas a servir, debes añadir más arroz y agua. Por último, debes dejar tres minutos al fuego mientras remueves, de esta forma, el arroz irá soltando el almidón.', '7\nCuando haya pasado este tiempo, debes verter el caldo o fumet para el arroz con bogavante. Para esta receta de arroz caldoso de bogavante, puedes utilizar caldo de cocer hecho a base de cáscaras y cabezas de gamba o, simplemente, el caldo típico que hay en las neveras de los supermercados.', '8\nA continuación, deja que el caldo entre en ebullición. Cuando hayan pasado dos minutos desde que el caldo está hirviendo, debes añadir el sofrito hecho a base de pimientos, cebolla, ajo y las hebras de azafrán.\nTruco: en vez de azafrán puedes utilizar cualquier otro tipo de colorante alimentario.', '9\nAhora, debes remover para que se mezcle todo bien y desprenda los sabores. Por último, lo debes dejar cociendo durante 25 minutos sin remover. Cuando haya pasado el tiempo de cocción, reparte el bogavante por todo el arroz, para que así, los últimos 10 minutos se cueza todo junto.', '10\nEn caso de que tengas que añadir más caldo, puedes hacerlo agregando un poco de agua caliente. Por último, tapa el arroz para dejarlo reposar durante 3 minutos fuera del fuego. Ya puedes servir este delicioso arroz. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.\nTruco: el arroz no debe quedar demasiado pasado, más bien debe quedar ligeramente entero.']","Valoración: 4,7 (615 votos)",4 comensales,1h 30m,Plato principal,Dificultad baja,,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas españolas']","['2 bogavantes congelados o frescos', '1 vaso de tomate triturado', '1 pieza de pimiento rojo, pequeño', '1 pimiento verde italiano', '1 cebolla', '3 dientes de ajo', '1 cucharadita de pimentón dulce', '1 pellizco de azafrán en hebras', '1 cucharada postre de ñora picada seca, o un pimiento choricero ( solo su carne)', '1 copa de brandy', '1 pizca de sal', '1 vaso pequeño de aceite de oliva virgen extra', '1 hoja de laurel', '2 litros de caldo de fumet, de pescado', '8 puñados de arroz bomba o redondo']",https://www.recetasgratis.net/receta-de-arroz-caldoso-con-bogavante-10287.html
Arroz con azafrán,"Podemos elaborar el arroz de múltiples formas y preparar platos exquisitos con él, pero si lo que buscas es una receta fácil y sabrosa al mismo tiempo, estás en el lugar adecuado. El arroz con azafrán es una de las recetas más antiguas y modificadas a lo largo de los años, pero en esta receta de RecetasGratis.net queremos mostrarte el proceso básico, para que los principiantes también puedan cocinarlo. ¡Toma nota de los ingredientes y ponte manos a la obra!","['1\nPara realizar el arroz con azafrán lo primero que debes hacer es coger una cacerola o sartén honda y poner a calentar el aceite de oliva. Cuando esté caliente, fríe la cebolla picada hasta que se torne transparente. Aparte, mezcla el azafrán con el caldo de carne.', '2\nEn ese momento, incorpora el arroz, sal y pimienta al gusto. Agrega caldo de carne mezclado con el azafrán de manera que el arroz quede cubierto y cocínalo todo durante 18-20 minutos, aproximadamente. Conforme el caldo se consuma, añade más.', '3\nCuando el arroz con azafrán esté al dente, retíralo del fuego y sírvelo. Si lo deseas, puedes espolvorear queso rallado o perejil picado. Puedes acompañar este plato con pechugas de pollo al horno con vino o lubina a la plancha.']","Valoración: 4,6 (107 votos)",2 comensales,45m,Acompañamiento,Dificultad baja,,[],"['250 gramos de Arroz', '1 unidad de Cebolla mediana picada', '20 hebras de Azafrán', '70 mililitros de Aceite de oliva', '1 taza de Caldo de carne (cantidad necesaria)', '1 paquete de Queso parmesano rallado en hebras (opcional)', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-arroz-con-azafran-7154.html
Arroz cubano a la cartagenera,"El arroz cubano a la cartagenera es un tipo de arroz preparado con leche de coco, carne y verduras. Este tipo de arroz es uno de los platos más representativos de la cocina cartagenera y, aunque pueda ser un tanto costoso realizarlo, el resultado es un plato lleno de aroma y sabor. Pon a prueba los pasos de esta receta de RecetasGratis y preparar este delicioso arroz cubano a la Cartagena con coco.","['1\nRalla el coco. Te será más fácil sacar la pulpa si tras retirar el agua colocas el coco en el fuego y lo giras para que se queme por todas partes. Luego, golpéalo y verás como sale fácilmente. Si no dispones de rallador, tritúralo.', '2\nCuando esté rallado o triturado, pásalo por el colador para obtener la leche. Coloca esa leche de coco en una cazuela con siete cucharadas de azúcar y resérvalo un momento, sin encender el fuego.\n\n\n\n\n\n\nImagen: cocinaycomparte.com', '3\nAñade un poco de agua al coco rallado y sigue exprimiéndolo para conseguir la máxima cantidad de leche posible. Reserva toda la leche que obtengas.', '4\nCuando ya no puedas conseguir más, pon a calentar el cazo que tienes en el fuego a temperatura media. Dale vueltas a la mezcla con una cuchara de madera hasta que el azúcar se disuelva, adquiera una textura de caramelo espeso y veas el fondo del cazo.', '5\nUna vez conseguido el caramelo, baja el fuego, agrega un poco de la leche que tenías reservada y remuévelo todo hasta que la mezcla quede líquida. Si es necesario añade más leche de coco.', '6\nCuando lo hayas conseguido, para seguir con la preparación de arroz cubano a la Cartagena, añade el arroz hervido previamente y lavado, una pizca de sal y las uvas pasas. Remuévelo todo y añade más leche si no tiene suficiente líquido para que el arroz se cocine.', '7\nNo añadiremos aceite a esta receta porque el coco ya lleva suficiente como para cocinar el arroz correctamente. Mientras se cuece todo, adereza la carne de cerdo, el solomillo y el pollo con sal y pimienta y cocina todas las piezas a la plancha o la sartén por ambos lados.', '8\nAhora, corta todas las verduras en juliana y saltéalas en una sartén con el ajo picado y la salsa de soya. Si lo deseas puedes añadir sal al gusto pero debes tener en cuenta que los ingredientes anteriores ya llevan sal y podría ser demasiado.', '9\nCorta también la salchicha ranchera y el jamón y agrega ambos ingredientes al salteado de verduras para cocinarlo todo junto.', '10\nCuando el arroz esté listo, incorpóralo al salteado de verduras con salchicha y jamón y revuélvelo todo. Después, agrega los tres tipos de carne cortados en tiras y cocínalo todo junto unos segundos.', '11\nUna vez terminado el arroz cubano a la cartagenera, sírvelo con un poco de parmesano espolvoreado por encima. Este plato se sirve caliente, por lo que no esperes para degustarlo. Aunque se trata de una receta con un proceso un tanto largo, lo cierto es que el resultado impregnado de aromas es espectacular y vale la pena. Puedes acompañar este arroz con coco y carne con una ensalada verde, un cóctel de gambas o, incluso, aguacate relleno.']","Valoración: 4,2 (140 votos)",4 comensales,45m,Plato principal,Dificultad media,,[],"['1 pizca de pimienta', '6 tazas de agua (1440 mililitros)', '3 tazas de arroz', '1 unidad de coco', '500 gramos de uvas pasas', '½ kilogramo de cerdo', '½ kilogramo de solomillo', '1 pechuga de pollo', '3 unidades de salchichas rancheras', '3 lonchas de jamón', '1 paquete de queso parmesano', '1 unidad de pimentón verde', '1 unidad de pimentón rojo', '1 unidad de cebolla grande roja', '1 diente de ajo', '1 chorro de salsa de soya', '1 pizca de sal', '7 cucharadas soperas de azúcar']",https://www.recetasgratis.net/receta-de-arroz-cubano-a-la-cartagenera-43474.html
Congri (arroz con frijoles),,"['1\nLave los frijoles en un colador con agua corriente hasta que el agua salga clara.', '2\nDepositelos en una olla grande con 4 tazas de agua,1cucharadita de sal, el tomillo y la mitad del pimiento verde.', '3\nLlévelo todo a ebullición a fuego fuerte, baje el fuego y déjelo hervir 3 horas o hasta que los frijoles queden tiernos.', '4\nAñada más agua si se evapora demasiado. Escurra los frijoles cocidos y reserve el agua para hervir el arroz.', '5\nRetire 1 cuchara de frijoles y macháquelos en un mortero hasta obtener una pasta fina.', '6\nEn un sartén grande con aceite caliente fría la carne de cerdo hasta que quede crujiente y haya soltado toda la grasa.', '7\nRetire la carne del fuego y dejéla escurrir sobre papel de cocina.', '8\nResérvela, rehoque en la sartén el ajo, el resto del pimiento verde, la guindilla y la cebolla 5 minutos removiendo constantemente.', '9\nIncorpore el puré de los frijoles, los frijoles restantes y la carne de cerdo.', '10\nBaje el fuego y dejélo hervir todo sin tapar unos 10 minutos.', '11\nPase todos estos ingredientes a la olla con el agua de los frijoles y añada el arroz, 1 1/4 de cucharadita de sal y la pimienta negra.', '12\nLlévelo todo a ebullición sin dejar de remover para mexclar todos los ingredientes, dejélo hervir durante 20 minutos o hasta que se cueza el arroz y el liquido se haya evaporado.', '13\nPruébelo, rectifique de sal.', '14\nSe sirve de inmediato.']","Valoración: 3,9 (73 votos)",,,,,,,"['180g de frijoles negros secos', '2 litros de agua', '21/4 cucharadita de sal', '1 ramita de tomillo fresco picada fina', '1/2 pimiento verde picado fino', '3 cucharada de aceite vegetal', 'un trozo de carne magra de cerdo salada cortado en dados pequeños', '2 dientes de ajo picado finos', '1/4 de guindilla roja despepitada y picada fina', '2 cebollas picadas', '750g de arroz', '1/2 cucharadita de pimienta negra']",https://www.recetasgratis.net/receta-de-congri-arroz-con-frijoles-6609.html
