title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Hummus con yogur,"El hummus es un crema de garbanzos tradicional que proviene de los países árabes y que normalmente se hace con tahini, una pasta de semillas de sésamo que le da un toque especial al hummus de garbanzos. Pero en este caso, desde RecetasGratis os vamos a mostrar cómo hacer hummus con una receta de hummus con yogur deliciosa y fácil de hacer.Se trata de una elaboración que puede servir tanto como entrante como acompañamiento para algunas comidas porque está buenísimo y porque se puede comer a todas horas. ¡No esperes más y échale un ojo a esta receta de hummus sin tahini!","['1\nEl primer paso para preparar este receta de hummus con yogur es poner los garbanzos en remojo durante toda la noche y escurrirlos a la mañana siguiente para cocinarlos. Es mejor cocinar las legumbres, como los garbanzos, sin usar sal ya que tiende a endurecerlos si la pones al principio del tiempo de cocción. El hummus sin tahini es mejor hacerlo por lo menos 24 horas antes, ya que espesa cuando se guarda.', '2\nSeguidamente, ponga los garbanzos en un cazo, cúbralos con agua añadiendo la cebolla picada gruesa y la hoja de laurel y llévelos a ebullición. Cuando hiervan baje el fuego, tápelos y cocine de 1 a 2 horas, o hasta que los garbanzos estén tiernos, sino el hummus casero no saldrá bien.', '3\nEscurra muy bien los garbanzos y retire la hoja de laurel. Haga un puré con los garbanzos y los trozos de cebolla. Mezcle con el jugo de limón, los ajos bien machacados, el aceite, el yogur, el comino molido y una pizca de sal al gusto hasta obtener una consistencia suave del hummus de garbanzos.', '4\nAgregue sal al gusto. Refrigere bien el hummus con yogur y a continuación, adorne con un poco de perejil y pimentón dulce, y tómelo acompañado del tradicional pan de pita (pan árabe) caliente.']","Valoración: 3,4 (60 votos)",8 comensales,24h,Entrante,Dificultad baja,,['Recomendada para vegetarianos'],"['225 gramos de Garbanzos', '1 Cebolla', '1 hoja de Laurel', '1 Limón (zumo)', '2 dientes de Ajo', '2 cucharadas soperas de Aceite de oliva', '300 mililitros de Yogur natural', '½ cucharadita de Comino molido', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-hummus-con-yogur-26420.html
Entremeses variados,,"['1\nReparta y coloque con buen gusto las rebanadas superpuestas de salchicha y salami; huevo cocido y sardianas.', '2\nPepino picado mezclado con yogurt, sal y pimienta al gusto; tomate espolvoreado con las cebollitas picadas; papa y zanahoria con mayonesa.', '3\nRebanadas de champiñones condimentados durante 30 minutos con el aderezo francés.', '4\nAdorne los platos con berros y acompáñelos con pan negro y mantequilla.', '5\nSi quiere que sirva como plato principal se aumentan las cantidades.']","Valoración: 3,4 (15 votos)",,,,,,,"['40 grs. de salchichas, cortadas en rebanadas', '40 grs. de salami, cortado en rebanadas', '1 huevo cocido y rebanado', '125 grs. de sardinas de lata, escurridas', 'Un trozo de pepino (cohombro) de 4 cm. picado', '2 cucharadas de yogurt natural, sin endulcorante', 'Sal', 'Pimienta negra recién molida', '1 tomate grande cortado en rebanadas', '2 cebollitas picadas', '1 papa, hervida, pelada y picada', '1 cucharada de zanahoria, rallada', '1 cucharada de mayonesa espesa', '50 grs. de champiñones cortados en rebanadas finas']",https://www.recetasgratis.net/receta-de-entremeses-variados-26387.html
Empanaditas de hojaldre,,"['1\n1. Precaliente el horno a 400º.', '2\nEn una sartén pequeña, a fuego medio, caliente el aceite y sofría la cebolla hasta que esté doradita.', '3\n2. En un recipiente mediano mezcle el puré con la cebolla y verifique la sazón.', '4\nAñada sal y pimienta si es necesario.', '5\n3. En una superficie enharinada extienda la masa de hojaldre hasta que esté delgada.', '6\nCon un cortador adecuado, corte la masa.', '7\nColoque un poco de puré en el centro de cada ración cortada, unte el borde con huevo, doble para formar empanaditas en media luna, selle los bordes firmemente con un tenedor para impedir que se abran al hornear.', '8\n4. Coloque las empanaditas en una bandeja de hornear, barnice con el huevo restante y lleve al horno, hasta que se vean doraditas.', '9\nRetírelas y sirva.']",Valoración: 4 (22 votos),,,,,,,"['1/2 taza de cebolla finamente picada', '1 cucharada de aceite', '2 tazas de puré de papas', '400 gramos de masa de hojaldre', '1 huevo batido', 'Sal', 'pimienta al gusto']",https://www.recetasgratis.net/receta-de-empanaditas-de-hojaldre-26366.html
Empanada Chilena,,"['1\n1. El pino (relleno) Se fríe la carne picada en una sartén con bastante aceite (4 cucharadas más o menos); se añade paprika, aliño completo.', '2\nEn una sartén grande, u olla, se cuece bien la cebolla 4 minutos.', '3\n2. Cuando ya está cocida, se le añade la carne. Se deja a fuego lento; se le añaden las pasas.', '4\nSe deja enfriar.', '5\nLa masa Se derrite la manteca en una sartén. En una ollita, se pone 1 vaso de agua y sal.', '6\n3. Se hace una salmuera caliente, hasta que hierva; se vierte en la harina la manteca y la salmuera. Se revuelve bien. Una vez que está bien incorporado, se amasa y estira.', '7\n4. Se deja reposar un par de minutos, luego se corta la mitad.', '8\nDe esa mitad, se cortan 6 montoncitos, se uslerean hasta que queden del tamaño de un plato de postre aproximadamente.']","Valoración: 3,6 (77 votos)",,,,,,,"['1 kilo harina (sin polvos de hornear)', '1/2 kg. de carne vacuno picada a mano muy fina no molida', '200 grs manteca', '2 cebollas grandes picadas muy fina,', '20 pasas', '12 aceitunas negras', '3 huevos duros partidos en cuatro']",https://www.recetasgratis.net/receta-de-empanada-chilena-26365.html
Dip de espinacas y queso,En RecetasGratis.net te enseñamos a preparar de forma fácil y rápida un delicioso dip de espinacas con queso crema para servir a modo de aperitivo. ¿Tienes invitados y no sabes qué hacer? No lo pienses más y ponte manos a la obra con esta receta.,"['1\nLo primero que haremos será cocinar las hojas de espinacas previamente lavadas en una olla con agua hirviendo y sal al gusto.', '2\nEs importante que no tapes la olla para evitar que se oxiden. Cuando estén listas las espinacas, escúrrelas y exprímelas para eliminar el exceso de agua. Deja que se enfríen.', '3\nUna vez frías, agrégalas al recipiente de la licuadora y tritúralas junto con la mayonesa, el queso crema, el jugo de limón, los ajos picados, el azúcar, sal y pimienta al gusto. Si no tienes licuadora, también puedes utilizar una batidora para hacer tu dip de espinacas.', '4\nPor último, agrega el queso parmesano de forma envolvente. Coloca la mezcla en un recipiente y resérvalo en el frigorífico hasta el momento de servir. Si lo deseas, puedes hornearlo unos minutos para que el queso se dore.', '5\nEl dip de espinacas y queso se suele acompñar con palitos de pan, palitos de zanahoria, galletas saladas, tostadas, tallos de apio, tiras de pimientos rojo, amarillo y verde, etc. Si quieres conocer más aperitivos fáciles y económicos, no te pierdas estas tostadas con surimi.']","Valoración: 3,8 (84 votos)",4 comensales,45m,Entrante,Dificultad media,,[],"['½ taza de Mayonesa', '1 tarro de Queso crema', '1 cucharada sopera de Jugo de limón', '½ cucharada sopera de Sal', '½ cucharadita de Azúcar', '½ taza de Queso parmesano o pecorino rallado', '3 dientes de Ajo', '2 paquetes de Hojas de espinaca hervidas y escurridas', '1 pizca de Pimienta negra molida al gusto']",https://www.recetasgratis.net/receta-de-dip-de-espinacas-y-queso-26361.html
Croquetas de atún fáciles y rápidas,"Unas croquetas de atún fáciles y rápidas, eso es lo que aprenderás con esta receta de RecetasGratis.net. Sigue leyendo y revisa paso a paso las instrucciones para disfrutar de estas deliciosas croquetas de atún y patata; se volverán tus favoritas y la de los más pequeños de casa y no podrás dejar de prepararlas. ¡A cocinar!","['1\nPrepara todos los ingredientes necesarios para esta receta de croquetas caseras sobre la mesa de la cocina. De esta forma se hará mucho más fácil el procedimiento de elaboración.', '2\nEmpezaremos por las verduras, entonces pela y pica las papas en cubitos. Colócalas en agua hirviendo en una olla hasta que se ablanden. Escúrrelas.', '3\nLuego, ponlas en un recipiente o bol de mezclar y tritúralas con un tenedor hasta obtener una masa suave tipo puré de patatas.', '4\nAñade sobre este puré suave el atún, el cebollín, la cebolla, los ajíes, la mayonesa y un toquecito de sal al gusto. Recuerda picar todo finamente.Revuelve bien la masa de las croquetas de atún y patata, preferiblemente con una cuchara de madera.', '5\nDivide la masa en varias porciones pequeñas y forma las croquetas creando círculos aplanados. Luego, espolvoréalos con harina para quitarles algo de humedad, pasa por huevo batido y pan rallado.', '6\nFinalmente, calienta el aceite en la sartén y coloca las croquetas en una sola capa. Fríe las croquetas caseras a fuego medio durante 6 minutos aproximadamente o hasta que se doren por lado y lado.', '7\nEscúrrelas sobre papel absorbente y sírvelas con trocitos de limón o acompaña con una mayonesa de aguacate o la clásica salsa tártara.Las croquetas de atún fáciles y rápidas son una delicia, perfectas para servir a los más pequeños de casa o presentar como aperitivo.']","Valoración: 3,7 (81 votos)",4 comensales,30m,Entrante,Dificultad media,,[],"['4 Patatas', '1 lámina de Atún', '2 cucharadas soperas de Mayoesa', '2 ramas de Cebollín', '1 Cebolla rallada', '2 Ají dulce', '½ taza de Harina de trigo (70 gramos)', '1 Huevo', '1 pizca de Sal', '¾ taza de Pan rallado', '¼ taza de Aceite']",https://www.recetasgratis.net/receta-de-croquetas-de-atun-faciles-y-rapidas-26358.html
Croquetas de verduras y queso,"Aprende a preparar croquetas de verduras paso a paso, una saludable receta para diabéticos que podrías preparar en Navidad y con la que también encantarás al resto de la familia, pues no gastarás mucho al prepararlas y las puedes rellenar con tus verduras preferidas. Así que sigue leyendo RecetasGratis.Net para conocer muchas más recetas económicas navideñas y recetas de Navidad para diabéticos.","['1\nPara empezar a preparara estas croquetas caseras, el primer paso es picar la cebolla y los dientes de ajo finamente. Utiliza ingredientes bajos en azúcar y sal', '2\nTambién pica el resto de las verduras. La zanahoria pelada, el brócoli y chayote previamente blanqueados, el calabacín limpio y sin pelar en dados pequeños.\nTruco: Para blanquear el brócoli y chayote basta con sumergirlos de 3 a 5 minutos en agua hirviendo con sal', '3\nPocha la cebolla y el ajo en un sartén con aceite ya caliente. Incorpora el resto de las verduras, sazona y cocina todo junto durante unos 5 minutos.', '4\nAgrega la harina y mezcla bien hasta que se reparte de forma uniforme por toda la sartén.', '5\nVierte la leche templada poco a poco sin dejar de batir.', '6\nSalpimienta y trabaja la masa a fuego suave durante 15 minutos. El secreto de las croquetas es trabajar con calma y suavidad la masa.', '7\nRalla encima el queso, mezcla bien y pasa la masa a una fuente amplia previamente engrasada. Deja que se enfríe y tome temperatura ambiente.', '8\nCuando la masa de las croquetas para diabéticos haya enfriado,corta trozos y haz la forma típica de las croquetas. Luego, pásalas por harina, huevo y pan molido.', '9\nVuelve a pasar las croquetas por el huevo y pan molido. Repite este proceso hasta terminar con todas las croquetas.', '10\nRefrigera las croquetas de verduras durante veinte minutos. Una vez transcurrido este tiempo fríelas en aceite caliente hasta que estén ligeramente doradas. Escurre el exceso de aceite con papel absorbente.', '11\nSirve las croquetas de verduras y queso en la cena de Navidad y disfruta en familia. Y si estás buscando ideas sin azúcar para estas fiestas te recomiendo preparar las galletas de jengibre si azúcar, especial para diabéticos.']","Valoración: 4,4 (5 votos)",4 comensales,45m,Entrante,Dificultad media,,"['Recomendada para vegetarianos', 'Receta sin azúcar', 'Recetas para Navidad']","['3 tazas de Leche (720 mililitros)', '3 cucharadas soperas de Harina', '150 gramos de Cebolla', '150 gramos de Chayote blanqueado', '150 gramos de Brócoli blanqueado', '150 gramos de Zanahoria', '150 gramos de Calabacín', '2 dientes de Ajo', '100 gramos de Queso', '200 gramos de Harina', '400 gramos de Pan molido', '1 pizca de Nuez moscada', '1 pizca de Sal y pimienta', 'Aceite vegetal', '6 unidades de Huevo']",https://www.recetasgratis.net/receta-de-croquetas-de-verduras-y-queso-26359.html
Crepes de jamón y queso,,"['1\nMezclar con los huevos bien batidos y la leche. Sazonar con sal y pasarlo por un colador fino. Dejar reposar durante 30 minutos. Calentar un poco la mantequilla en una sartén y verter un poco de pasta, la suficiente para que cubra todo el fondo de la satén.', '2\nCocinar la crepe por ambos lados. Rehogar en aceite, a fuego suave, la cebolla picada. Cuando esté doradita mezclarla con el queso y el jamón cortados en dos y añadir la mitad de la bechamel.', '3\nRellenar las crepes con la preparación anterior; doblarlas en cuatro y cubrirlas con el resto de la bechamel. Espolvorear con el queso rallado y gratinarlas unos instantes.']","Valoración: 3,3 (68 votos)",,,,,,,"['125 gramos de harina', '½ litro de leche', '2 huevos', '2 cdas. de mantequilla', '2 tazones de salsa bechamel', '100 gramos de queso rallado', 'sal', 'Para el relleno', '1 cebolla', '250 gramos de queso tierno', '2 tajadas gruesas de jamón', '3 cdas de aceite de oliva']",https://www.recetasgratis.net/receta-de-crepes-de-jamon-y-queso-26357.html
Champiñones en Adobo,,"['1\n1. Si utiliza yerbas mixtas secas, sólo necesitará la mitad de la cantidad. Ponga todos los ingredientes, excepto los champiñones, en un frasco con tapón de rosca y agite bien.', '2\n2. Añada los champiñones empujándolos hacia abajo si fuera necesario. Agite de nuevo el frasco de manera que los champiñones se bañen con el adobo.', '3\nSi no tiene un frasco grande con tapón de rosca, utilice cualquier recipiente que tenga tapa.', '4\nPonga el frasco en un lugar fresco y déjelo durante 24 horas, agitándolo de vez en cuando, para que los champiñones se ablanden.', '5\nDurante este tiempo reducen considerablemente su tamaño y también producen mucha cantidad de líquido.', '6\n3. Sírvalos refrigerados acompañados de pan francés.']",Valoración: 4 (10 votos),,,,,,,"['1 cucharada de vinagre de sidra', '1 cucharada de aceite de oliva', '1 cucharada de jugo de limón', 'Unas gotas de salsa inglesa', '2 cucharadas de puré de tomate', '2 cucharadas de agua fría', '1 cucharada de yerbas mixtas, frescas', '1 cebolla pequeña rallada', '1 diente de ajo, machacado', '450 grs. de champiñones, pequeños, cortados en rebanadas']",https://www.recetasgratis.net/receta-de-champinones-en-adobo-26324.html
Ceviche estilo Acapulco,"Uno de los ceviches de pescado más populares de México es el elaborado en la ciudad de Acapulco. Si tú también has oído hablar de él y buscas la receta original para prepararlo en la comodidad de tu casa, ¡has llegado al lugar adecuado! En RecetasGratis.net te enseñamos a preparar el tradicional y fácil ceviche estilo Acapulco, ¡no te lo pierdas!","['1\nEmpezamos el ceviche estilo Acapulco cortando en cuadrados el pescado. Los pasamos a un recipiente hondo y añadimos el jugo de seis limones, tapamos y dejamos que se macere en el frigorífico durante seis horas como mínimo.', '2\nPasado el tiempo del macerado del pescado, lo escurrimos y reservamos. Aparte, picamos la cebolla, la pasamos a un bol y añadimos el jugo de los dos limones restantes, el aceite de oliva, las aceitunas bien picadas, las alcaparras escurridas y picadas, el orégano y la sal.\nTruco: Si quieres puedes añadir chiles verdes picados.', '3\nCortamos los tomates por la mitad, retiramos las semillas y los picamos en cuadrados pequeños. Añade los tomates picados a la mezcla anterior y remueve para integrar.', '4\nAgregamos el pescado macerado al ceviche e incorporamos el cilantro picado. Mezclamos bien y servimos en copas.', '5\nPor último, añadimos el aguacate cortado en cubos al ceviche de pescado estilo Acapulco tanto para decorar como para potenciar el sabor.', '6\nSírvalo en copas o platos agregándole el aguacate en cuadritos.']","Valoración: 3,6 (72 votos)",4 comensales,6h,Entrante,Dificultad baja,,['Recetas mexicanas'],"['½ kilogramo de Pescado sierra en filetes', '5 piezas de Tomates', '8 piezas de Limones', '½ pieza de Cebolla', '¼ taza de Cilantro picado', '3 cucharadas soperas de Aceite de oliva', '½ taza de Aceitunas picadas', '1 pieza de Aguacate', '10 piezas de Alcaparras picadas', '1 pizca de Orégano', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-ceviche-estilo-acapulco-26321.html
