title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Solomillo al queso,,"['1\nSe sofríe la cebolla con el aceite en una sartén. A continuación se añaden los filetes salpimentados y enharinados, se doran ligeramente por ambos lados, se bañan con el vino blanco y se dejan que cuezan durante 10 minutos. Se lava y pica el perejil finamente y se corta el queso en trozos. Se retira la carne de la sartén y se pone en una fuente para hornear. Se añade el queso y el perejil picado a la sartén y se deja que el queso se funda a fuego moderado sin dejar de remover, añadiendo un poco de leche. Pasados unos minutos, se vierte la salsa de queso sobre los solomillos y se meten al horno a 180 grados durante 15 min. Se dejan reposar y se sirven con una rica guarnición, por ejemplo de patatas asadas.']","Valoración: 3,3 (21 votos)","['500 grs. de filetes de solomillo de ternera', '150 grs. de queso gorgonzola', '80 grs. de harina', '1 cebolla mediana picada finamente', '1 ramita de perejil', '1 vaso de leche', '1 copa de vino blanco seco', '4 cdas. de aceite de oliva', 'Sal y pimienta al gusto']",https://www.recetasgratis.net/receta-de-solomillo-al-queso-11750.html,,,,,,
Lomo de cerdo relleno con frutas,"En esta ocasión vamos a realizar una receta tradicional para Navidad o cualquier ocasión especial que tengan, un lomo de cerdo relleno de frutas confitadas. Se trata de un plato consistente, lleno de sabor, textura y aromas que sorprenderán a todos tu invitados. Sigue leyendo y aprende con RecetasGratis.net e elaborar esta receta navideña.","['1\nEl primer paso para realizar nuestra receta de lomo para Navidad es prealistar los ingredientes. Lo ideal es que el lomo de cerdo pese entre 1 kilo y 1 kilo y medio aproximadamente. Si deseas reemplazar el azúcar por edulcorante o endulzante es totalmente válido.', '2\nVamos a realizar el relleno. Para ello, lleva una olla honda a fuego medio, agrega las manzanas peladas con una cucharada de mantequilla y saltea durante algunos minutos.', '3\nAgrega los arándanos y las uvas pasas con un poco de sal, pimienta y, si quieres, cualquier especia para dar un toque extra de sabor a nuestra receta. Yo quise agrega un poquito de ajo y canela en polvo para tener un relleno balanceado en sabores, pero tú puedes incorporar lo que desees. Baja el fuego y deja que los ingredientes se salteen un poco.', '4\nSi deseas puedes agregar un poquito de vino blanco y dejar conservar a fuego lento la preparación, hasta que las manzanas estén tiernas. Apaga el fuego y deja enfriar.', '5\nCon la ayuda de un cuchillo abre el lomo de cerdo con mucho cuidado. Lo ideal es que estires lo más que puedas el lomo a lo ancho para que puedas rellenarlo.', '6\nAgrega el relleno frío como se observa en la fotografía, de manera bien distribuida.', '7\nEnrolla con mucho cuidado el lomo navideño.', '8\nCiérralo con hilo de cocina para que podamos sellar el lomo y no se desarme ni se salga el rellen. Como pueden observar, cerrarlo no es tarea fácil, pero esta es una tarea que se perfecciona con el tiempo y la práctica.', '9\nLleva una sartén a fuego medio y agrega una cucharada de aceite de girasol. Una vez caliente, coloca el lomo con sal y pimienta negra al gusto para a sellarlo y finalizar la cocción en el horno. Al realizar este paso lo que conseguimos es obtener una carne muy jugosa y anda seca. Sella por todos los lados y retira una vez esté sellada en su totalidad.', '10\nLleva el lomo de cerdo relleno a una refractaria resistente al calor, hornéalo con el horno precalentado a 180ºC durante 25-30 minutos aproximadamente. Recuerda que la carne de cerdo se puede consumir en el término de cocción que deseemos.', '11\nSirve el lomo de cerdo relleno de frutas cortando e tajadas gruesas con la ayuda de una pinza. Lo ideal es que consumamos la carne jugosa y en el término que deseemos, baña con un poco de jugo de la preparación que tenemos en la refractaria y listo. Acompaña este suculento plato con una ensalada de pimientos y queso. Si deseas más recetas para Navidad o cualquier otra celebración, tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 3,6 (25 votos)","['1 unidad de Lomo de cerdo', '60 gramos de Arándanos o cranberrys', '60 gramos de Uvas pasas', '3 unidades de Manzanas verdes', '3 cucharaditas de Azúcar', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-lomo-de-cerdo-relleno-con-frutas-11746.html,5 comensales,1h 30m,Plato principal,Dificultad media,,"['Recetas para Navidad', 'Recetas al horno']"
Lomo estofado al vino,"Son muchas las formas de las que disponemos para elaborar un buen lomo estofado. Tantas, que en muchas ocasiones resulta realmente difícil decidirse por una. Por ello, en RecetasGratis.net, te proponemos preparar una receta diferente, con un toque especial que dará a la carne un sabor inigualable. En esta receta aprenderás a cocinar lomo estofado al vino tinto con champiñones, un plato perfecto para compartir en familia o sorprender a tus amigos. ¡Sigue leyendo y ponte manos a la obra!","['1\nCortamos el lomo en cubos de 3X3cm aprox.', '2\nLavamos y limpiamos bien los champiñones de impurezas, luego los fileteamos y los dejamos macerar junto a la carne y el vino tinto para que absorban el sabor de éste.', '3\nSacamos la carne y la sazonamos con sal, ajos y pimienta. Luego, se fríe a fuego lento en el aceite, mientras que los champiñones se van friendo en la mantequilla a fuego lento con el vino y un poco de ajo picado.', '4\nCuando los tacos de lomo están todavía duros pero algo cocidos, se junta la preparación de los champiñones y se deja que terminen de cocinarse juntos.', '5\nSi se quiere espesar la salsa, se cuela el líquido, se le echa un poco de maicena y se vuelve a mezclar.', '6\nDisfruta de este lomo con champiñones al vino y acompaña con arroz blanco, con vegetales salteados o un sencillo puré de patatas y ¡buen provecho!']","Valoración: 4,3 (10 votos)","['½ kilogramo de Lomo de cerdo', '1 kilogramo de Champiñones', '½ litro de Vino tinto', '100 gramos de Mantequilla', '¼ litro de Aceite', '1 diente de Ajo', '1 pizca de Sal', 'Pimienta al gusto']",https://www.recetasgratis.net/receta-de-lomo-estofado-al-vino-11709.html,3 comensales,30m,Plato principal,Dificultad baja,,[]
Albóndigas en salsa,"Ya sabemos que las mejores albóndigas en salsa, sin lugar a duda, son las que cocinan nuestras madres, pero con esta receta fácil aprenderás los secretos para hacer un plato delicioso, nutritivo y casi tan perfecto como el de toda la vida. Las albóndigas en salsa son una de esas comidas tradicionales que todos debemos saber hacer, así que sigue el paso a paso y manos a la obra.","['1\nPara hacer las albóndigas en salsa empezaremos por preparar las albóndigas. Para ello, corta finamente y sofríe la cebolla, en una sartén con aceite, sin que llegue a coger color.', '2\nAparte, prepara la mezcla de carne en un bol. Amasa ésta con las manos y mezcla con los huevos, el ajo, el perejil, el pan rallado y la miga de pan mojada en leche.', '3\nAñade la cebolla, previamente salteada, y corrige la sazón con un punto de sal si es necesario.', '4\nYa con la carne lista, lo que queda es armar las albóndigas. Para ello, ayúdate con un poco de harina. Un truco para hacerlas más fácilmente es añadir una cucharada de harina en un vaso junto con una porción de carne, ve moviendo el vaso de forma circular y se formara la albóndiga.', '5\nPara terminar con esta preparación, fríe las albóndigas en una sartén con aceite bien caliente, de manera que se forme una costra crujiente por fuera y por dentro quede un poco cruda. Reserva.', '6\nPara hacer la salsa de las albóndigas, pica la cebolleta con el jamón y el ajo. Te recomeidno utilizar un pica todo o ayudarte con la licuadora.', '7\nAparte corta la zanahoria finamente y sofríe la mezcla anterior unos 8 minutos. Pasado este tiempo añade la zanahoria y continua salteando unos 3 minutos más.', '8\nA continuación, añade el vino blanco y deja que reduzca hasta que casi se hay secado. Entonces, incorpora el caldo de carne junto con el agua y deja cocer a fuego lento hasta que la zanahoria esté tierna.', '9\nPor último, pasa la salsa por la licuadora para que se triture todo y si quieres puedes pasarla por un colador. Vierte la salsa en una sartén junto con las albóndigas, corrige la sazón con un poco de sal si es necesario y deja al fuego por unos 5-10 minutos hasta que la salsa reduzca.\nTruco: Si la salsa te queda muy espesa puedes añadir más agua', '10\nSirve las albóndigas en salsa caseras recién hechas y acompaña con un poco de arroz blanco y unas tajadas de plátano. Si te sobran albóndigas las puedes congelar y guardar para otra ocasión. Recuerda que puedes visitar mi blog Sabor en Cristal para descubrir más recetas como esta.']","Valoración: 4,6 (194 votos)","['375 gramos de Carne picada de ternera', '125 gramos de Carne picada de cerdo', '100 gramos de Cebolleta', '1 chorro de Aceite de oliva', '1 unidad de Huevo', '1 unidad de Yema de huevo', '1 diente de Ajo', '1 cucharada sopera de Perejil', '2 cucharadas soperas de Pan rallado', '1 trozo de Miga de pan (pan viejo)', '3 cucharadas soperas de Leche', '1 pizca de Sal', '1 taza de Harina (140 gramos)', '1 unidad de Zanahoria', '2 unidades de Cebolleta', '1 diente de Ajo', '1 vaso de Caldo de carne', '150 gramos de Jamón', '½ vaso de Vino blanco', '300 mililitros de Agua (1¼ tazas)']",https://www.recetasgratis.net/receta-de-albondigas-en-salsa-11669.html,2 comensales,45m,Plato principal,Dificultad baja,,[]
Cordero otoñal,,"['1\nCortamos el cordero en trozos no muy grandes los salpimentamos apretándo un poco con las manos los trozos.', '2\nCalentamos la mitad del aceite y doramos los trozos de cordero, retiramos y reservamos. Desechamos el aceite donde lo hemos cocinado y la grasa que ha soltado.', '3\nColocamos el resto del aceite en la misma cazuela y agregamos la cebolla, salteamos y añadimos los tomates.', '4\nAñadimos la hoja de laurel, el ajo y el perejil y cocinamos el conjunto unos 3 ó 4 minutos. Después de este tiempo agregamos el vino.', '5\nIncorporamos los trozos de cordero, las zanahorias cortadas en rodajas y las patatas, en trozos grandes.', '6\nAgregamos el caldo caliente y cocinamos a fuego suave, con el recipiente tapado, durante 20 minutos. Incorporamos, por último, los guisantes.', '7\nCocinamos hasta que el cordero esté tierno. Dejámos reposar y servimos.']","Valoración: 3,3 (21 votos)","['1 ½ kilo de cordero', '100 grs. de cebolla picada', '100 grs. de tomates pelados y picados', '½ vaso de vino blanco', 'Sal', 'Pimienta al gusto', '1 ramita de perejil', '1 hoja de laurel', '2 dientes de ajo machacados', '1 vaso de aceite de oliva', '100 grs. de zanahorias', '4 patatas medianas', '1 taza de caldo de carne', '100 grs. de guisantes']",https://www.recetasgratis.net/receta-de-cordero-otonal-11642.html,,,,,,
Ossobuco guisado,,"['1\nSalpimentamos las rodajas de ossobuco, las pasamos por harina de maíz y las doramos en aceite caliente en una cazuela.', '2\nCuando estén cocinadas, las retiramos de la cazuela y agregamos en ella las cebollas picadas, el diente de ajo picado, las zanahorias y el apio cortados en dados.', '3\nRehogamos las hortalizas durante unos minutos, agregamos el vino blanco, dejamos evaporar y agregamos el caldo.', '4\nColocamos en la cazuela de nuevo las rodajas de ossobuco, condimentamos con sal, albahaca, tomillo, pimienta, laurel y el perejil picado.', '5\nTapamos la cazuela y dejamos cocinar hasta que la carne esté tierna, agregando más caldo o sal si fuese necesario.', '6\nDejámos enfríar un poco antes de servir.']","Valoración: 3,9 (35 votos)","['4 rodajas de Ossobuco de ternera', '2 unidades de Cebollas medianas', '3 unidades de Zanahorias medianas', '4 cucharadas soperas de Aceite de oliva', '3 ramas de Apio verde', '2 dientes de Ajo', '1 taza de Vino blanco', '1 taza de Caldo de carne', '1 cucharada sopera de Albahaca picada', '2 hojas de Laurel', '1 pizca de Tomillo', '½ taza de Perejil picadito', '1 pizca de Sal', '1 pizca de Pimienta al gusto', '1 pizca de Maicena para rebozar']",https://www.recetasgratis.net/receta-de-ossobuco-guisado-11635.html,,,,,,
Lomo en salsa de martini,,"['1\nPoner en una sartén grande o una olla el aceite de oliva y calentar un poco, agregar la cebolla y el azúcar, sofreír revolviendo durante 15 minutos a fuego medio.', '2\nEn este proceso y como en todo el resto de la preparación mantener este concentrado de cebolla en consistencia media, y para ello cuidar de no secar agregando permanentemente pequeñas dosis del vino blanco.', '3\nLuego agregamos el licor martini, nuez moscada (recomiendo 1/2 cucharadita), una pizca de pimienta y sal a gusto.', '4\nCocinar siempre revolviendo a fuego medio durante 5 minutos.', '5\nFinalmente sobre esta salsa ponemos la carne previamente espolvoreada apenas en sal, la cubrimos un poco del contenido, agregamos un poquito más de vino blanco si se ha secado la cebolla, dejamos cocinar unos pocos minutos más o hasta cuando veamos que la carne ya está lo suficientemente cocinada para nuestro gusto.', '6\nRecordemos que a más tiempo la carne en cocción ésta tiende a desprender su jugo y a secarse interiormente, sobre todo en estos platos cocinados en ollas destapadas.', '7\nEsta preparación es muy simple aunque se debe vigilar de forma constante para evitar secar la cocción.', '8\nPara este tipo de preparación, algo azucarada, se recomienda acompañar con pastas, o cualquier tipo de patatas. Cualquier vino tinto a esta cena le da un sabor más agradable.']",Valoración: 4 (17 votos),"['500 gramos de Carne de res (lomo cortado en bistecs finos)', '2 cucharadas soperas de Aceite de oliva', '2 unidades de Cebollas medianas picadas finamente', '20 mililitros de Martini blanco', '1 cucharadita de Azúcar', 'Vino blanco', 'Nuez moscada', 'Pimienta negra molida', 'Sal']",https://www.recetasgratis.net/receta-de-lomo-en-salsa-de-martini-11628.html,2 comensales,30m,Plato principal,Dificultad baja,,[]
Hervido de res,,"['1\n1) Con un cuchillo, se elimina la grasa del pecho de res y se corta en trozos.', '2\n2) Se colocan las carnes en una olla grande junto con la cebolla, el ajoporro, el apio españa, la pimienta y la sal.', '3\nSe cubre todo con el agua y se cocina a fuego bajo hasta que las carnes estèn blandas y el lìquido se haya reducido a la mitad (aproximadamente 40 minutos).', '4\n3) Se retira la olla del fuego,se sacan las carnes y s dejan enfriar.', '5\nSe apartan las costillas.', '6\n4) Se cuela el caldo y se vierte en una olla.', '7\nSe añaden las carnes, la papa, el ñame, el ocumo, los jojotos en ruedas y la yuca.', '8\nSe calienta a fuego medio y cuando el lìquido comience a hervir, se agregan la auyama, el repollo y el apio.', '9\nSe cocina todo hasta que las verduras ablanden (unos 10 o 15 minutos).', '10\n5) Se colocan las costillas sobre una bandeja y se hornean durante 15 minutos o hasta que doren, a 240ªC.', '11\nSe sirven aparte.', '12\n6) Se agregan al caldo las ramas de perejil y cilantro 5 minutos aantes definalizar la cocciòn, y se retiran antes de servir.']","Valoración: 3,9 (35 votos)","['1 kilo de pecho de res', '1 kilo de costillas de res cortadas en trozos de 5 centimetros', '1 cebolla grande cortada en cuatro', '1 ajoporro cortado en trozos medianos', '2 cucharadas de sal', '4 litros de agua', '1/2 kilo de papas cortados en cuadros pequeños', '1/2 kilo de ñame cortado en trozos pequeños', '1/2 repollo cortado en trozos pequeños', '1/2 kilo de ocumo cortado en trozos pequeños', '172 kilo de auyama cortada en trozos medianos, consu piel', '1/2 kilo de yuca cortadas en cuadros pequeños', '6 jojotos cortados en ruedas de 3 centìmetros', '1 ramita de perejil', '3 ramitas de cilantro.']",https://www.recetasgratis.net/receta-de-hervido-de-res-11592.html,,,,,,
Albondigon relleno,,"['1\nJunte las tres clases de carne molidas, añàdales los cuatro huevos enteros, el bizcocho o pan rallado, sal y pimienta amase muy bien para mezclar perfectamente los ingredientes y para que queden las carnes suaves, corte en trocitos el jamòn, tocineta y pimientos morrones, pele los 3 huevos duros y còrtelos en trocitos.', '2\nExtienda sobre una mesa un rectàngulo de papel parafinado como de60 cms. de largo, espolvoree el papel con harina, extienda sobre el papel enharinado la carne amasada,cubra todo el papel, sobre la carne extienda el diablito (jamòn endiablado) tratando de cubrirla bien, distribuya sobre la carne las aceitunas, el jamòn, la tocineta y los pimientos morrones, coloque los trocitos de huevo y enrolle la carne con la ayuda del papel, tratando como de hacer un brazo gitano, coloque cuidadosamente el rollo en una bandeja refractaria rectangular, previamente engrasada con aceite, jùntele bien los extremos para que no se salga el relleno.', '3\nLleve al horno a 350 grados por espacio de 1.1/4 horas, losprimeros 45 minutos debe taparse con papel de aluminio, luego destaparlo para que dore un poco.', '4\nAPARTE PREPARE LA SIGUIENTE SALSA.Licúe los tomates, cuèlelos, caliente la mantequilla, añada los tomates licuados, añada una cucharadita de azùcar, sal y pimienta y el orègano, deje cocinar durante 20 minutos, añada luego las cebollitas, deje hervir durante 10 minutos màs, cuando vaya a servir la carne, bañèla con esta salsa y la calienta al horno.', '5\nEsta carne puede comerse sin la salsa, y tambièn puede servirse frìa, preparada con anterioridad.']","Valoración: 3,6 (25 votos)","['1/2 kilo de carne de res molida (carne de òptima calidad)', '1/2 kilo de carne de cochino molida (sin grasa)', '2 pechugas de pollo molidas', '1/2 paquete de tocineta', '1/8 de kilo de jamòn', '1 taza de bizcocho o pan rallado', '2 latas de diablitos (jamòn endiablado)', '2 cucharadas de aceitunas rellenas', '1 hoja de laurel', '1 cucharada de orègano en polvo', '3 cucharadas de harina', '1 cucharada de mantequilla', '4 tomates', '7 huevos, (3 cocidos duros y 4 crudos)', '1 lata de pimientos morrones', '1 lata de cebollitas pequeñitas', '1/2 taza de aceite', 'Sal', 'pimienta', 'azúcar.']",https://www.recetasgratis.net/receta-de-albondigon-relleno-11562.html,,,,,,
Biftec de falda marinado,,"['1\nPREPARACION ANTICIPADA Adobe el bistec, la noche anterior.', '2\nCombine los ingredientes como lo indica la receta en una fuente para hornear poco profunda, agregue el bistec.', '3\nCubra y selle con papel plástico y refrigere.', '4\nPREPARACION TOTALCorte la cebolla en rebanadas, combine la cebolla, el vino, el vinagre, el aceite, la albahaca, la sal y los copos de pimentón, en una fuente de vidrio para hornear poco profunda.', '5\nMezcle bien.', '6\nHaga tajos en la carne, frote ambos lados del bistec con el ajo en forma pareja.', '7\nPongalo en la fuente y dele vuelta para untarlo con el adobo.', '8\nCúbralo y déjelo adobar en el refrigerador por 30 minutos o la noche anterior.', '9\nPrecaliente la parrilla.', '10\nAparte el bistec del adobo, descarte el adobo que quedó en la fuente.', '11\nPalmoteé el bistec con toallas de papel para secarlo.', '12\nPonga el bistec en la parrilla a 4 pulgadas del fuego y déjelo cocinar alrededor de 6 minutos por cada lado para cocción mediana.', '13\nDéjelo reposar 10 minutos antes de cortarlo en rebanadas.', '14\nAcompañe con ensalada o papas horneadas.']","Valoración: 3,3 (18 votos)","['1 cebolla mediana', '3/4 taza de vino blanco o caldo de pollo', '1/4 taza de vinagre de vino blanco', '2 cucharadas de aceite vegetal o de oliva', '1 cucharadita de albahaca seca o', '1 cucharada de albahaca fresca picada', '1/2 cucharaditas de sal', 'Pimentón rojo, picante molido', '1 bictec de falda de 1 1/2 libra, 675 gramos desgrasados', '1 diente de ajo partido en dos']",https://www.recetasgratis.net/receta-de-biftec-de-falda-marinado-11523.html,,,,,,
