title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
frapuccino de chocolate,,['1\nPon todos los ingredientes en la licuadora licualos y si tu deceas puedes agregarle hielo mientras esta se licua sirva al gusto y listo.'],Valoración: 4 (47 votos),,,,Dificultad alta,"['1 taza de chocolate en polvo', '1/2 de leche', '3 cucharadas de cafe', 'azucar']",https://www.recetasgratis.net/receta-de-frapuccino-de-chocolate-36689.html,,
Batido de chocolate con leche,,"['1\nCoges el rayador y rayas la tableta de chocolate hasta que quede muy pequeño.', '2\nLo pones en la batidora y le pones 40cl de leche.', '3\nCuando esta batido le añades mas leche, unos 30cl más y lo bates.', '4\nPon el batido de chocolate en varios vasos en el refrigerador y cuando pasen 30 minutos lo sacas y a beber!! Puedes decorar con nata montada o crema chantilli antes de servir.']","Valoración: 3,3 (31 votos)",2 comensales,15m,,Dificultad baja,"['1 unidad de Tableta de chocolate', '1 unidad de Brick de leche']",https://www.recetasgratis.net/receta-de-batido-de-chocolate-con-leche-36349.html,,[]
Esperma de Pitufo,,"['1\nProcesar el hielo e ir agregando el blue, la piña y el vodka.', '2\nBatir y a disfrutar!']","Valoración: 3,5 (30 votos)",,,,Dificultad media,"['1/4 Blue Curaçao', '1/4 Piña colada', '1/2 vodka', 'Hielo, cantidad necesaria']",https://www.recetasgratis.net/receta-de-esperma-de-pitufo-36273.html,,
Gin tonic de Tanqueray,,"['1\nEn vaso ancho (de sidra o similar, cuanto más grande, mejor) ponemos hielo hasta arriba.', '2\nCortamos una corteza del limón sin llegar a la carne.', '3\nLa doblamos de modo que lo verde quede hacia fuera y la esencia impregne el borde del vaso al girarla doblada.', '4\nAñadimos ginebra y revolvemos para que coja temperatura. A continuación completamos con tónica.', '5\nSi la echamos haciendo círculos sobre el vaso no necesitaremos revolverlo (pierde fuerza). Si se quiere se puede cortar otra corteza y meterla dentro.']","Valoración: 3,3 (27 votos)",1 comensal,15m,,Dificultad baja,"['Ginebra MG, London Gin o Tanqueray Ten (cuanto más seca mejor)', 'Tónica Schweppes o Fever Tree', 'hielo', 'limón verde']",https://www.recetasgratis.net/receta-de-gin-tonic-de-tanqueray-36138.html,,[]
Ponche crema original,,"['1\nBatir en la licuadora las yemas por 3 minutos, luego agregue la azucar, la vainilla y la nuez mozcada y bata por 1 1/2 minutos mas y reserve.', '2\nPonga al fuego las leche evaporadas, condensadas y descremada, y mover constantemente. Cuando comienze a hervir echar la mezcla de las yemas y continuar moviendo por 4 minutos.', '3\nPasados los 4 minutos, retirar del fuego, vierta el ron, deje enfriar y colarlo antes de entrar a la nevera.']","Valoración: 3,3 (28 votos)",,,,Dificultad baja,"['6 yemas de huevos', '2 latas de leche evaporada 315g', '1 lata de leche condensada 186g', '1/2 cucharadita de nuez moscada', '1 cucharada de vainilla', '1/2 taza de azucar', '2 latas de leche descremada (de la misma de la leche evaporada)', '1/2 taza de ron']",https://www.recetasgratis.net/receta-de-ponche-crema-original-35979.html,,
coquito de cafe,,"['1\nMESCLA TODO, LO PONES A ENFRIAR Y LISTO.']","Valoración: 3,4 (33 votos)",,,,Dificultad alta,"['2 LATAS DE LECHE EVAPORADA', '1 LATA LE LECHE CONDENSADA', '2 LATAS DE LECHE DE COCO', '1 LATA DE CREMA DE COCO', '1/2 TAZA DE CAFE NEGRO MIENTRAS MAS FUERTE MEJOR', 'CANELA EN RAJA', 'RON A GUSTO']",https://www.recetasgratis.net/receta-de-coquito-de-cafe-35811.html,,
moka con espuma de ron,,"['1\nLicuar platano,helado,hielo y café,hierves 1 taza de leche, 10 grs. de azucar y ron, lo bates en caliente y le agregas la mezcla anterior . provecho']","Valoración: 3,3 (27 votos)",,,,Dificultad baja,"['1 c. de cafe soluble', '1 c. de ron', 'Helado de vainilla', '95 grs. hielo', 'Platano 1/2', 'Azucar']",https://www.recetasgratis.net/receta-de-moka-con-espuma-de-ron-35779.html,,
coctel de piña y durazno,,"['1\n1.EN UN REFACTARIO ONDO DE VIDRIO VACIAR LOS DURAZNOS Y LA PIÑA CON EL ALMIBAR.', '2\n2.VACIAR LA MITAD DE LA CREMA Y AGREGAR LA NUEZ PICADA.', '3\nCONSEJO:', '4\nPUEDES VACIAR EL COCTEL EN UNA COPA ALTA.']",,,,,Dificultad alta,"['1 LATA DE DURAZNOS EN ALMIBAR', '1 LATA DE PIÑA EN ALMIBAR', 'NUEZ FINAMENTE PICADA.(1/12)', 'UN FRASCO DE CREMA LALA O BELL.(U OTRA CREMA QUE SEA PARECIDA)']",https://www.recetasgratis.net/receta-de-coctel-de-pina-y-durazno-35719.html,,
Leche con Platano,,['1\nEn la jugera bate todo junto y despues lo echas a un baso y asi obtendras esta maravillosa receta.'],"Valoración: 3,7 (92 votos)",,,,Dificultad alta,"['1 tasa de leche', '3 platanos', '1 cuchara de asucar (opcional)']",https://www.recetasgratis.net/receta-de-leche-con-platano-35240.html,,
Pisco sour espumoso,"Seguro que ya conoces el famoso cóctel pisco sour, y aunque no queremos entrar en discusiones entre si el mejor es el peruano o el chileno, lo que si queremos que sepas es que puedes preparar de forma fácil y rápida y exquisito pisco sour espumoso.El truco está en las claras de huevo, así que echa un vistazo a esta sencilla receta y disfruta con tus amigos de una bebida única.","['1\nBatir en coctelera o licuar el pisco con el jarabe de goma. Luego agregar el jugo de limón y mezclar bien. El jarabe de goma no es más que almíbar casero de azúcar.', '2\nIncorporar el hielo picado y, al final, las claras de huevo para darle ese toque de espuma. Licuar bien, hasta que la clara quede espumosa y servir en vasos pequeños.El secreto para conseguir un pisco espumoso es añadir las claras de huevo al final, no importa si no lo haces en licuadora, pero recuerda agitar bien si lo haces en una coctelera tradicional.', '3\nAl momento de servir, agregar unas gotas de amargo de Angostura al gusto y listo. Ya tienes tu pisco sour espumoso.Y si quieres probar otros cócteles ""sour"" puedes probar el whisky sour o el famoso amaretto sour, ambos son estupendos.']","Valoración: 3,3 (24 votos)",2 comensales,15m,,Dificultad baja,"['3 tazas de Pisco', '1 taza de Jugo de limón', '1 taza de Jarabe de goma', '2 unidades de Claras de huevo', '12 cubos de Hielo', 'Gotas de Amargo de Angosturo']",https://www.recetasgratis.net/receta-de-pisco-sour-espumoso-35057.html,,['Recetas peruanas']
