title,intro,order,votes,url,comensales,duración,para,dificultad,coste,types,ingredientes
"TÉ MATCHA: Propiedades, beneficios y 6 recetas","En los últimos años este té ancestral de origen japonés se ha popularizado tanto en Occidente que es muy fácil encontrarlo en cualquier cafetería de la ciudad. Conocido por sus beneficios antioxidantes, el té matcha acelera el metabolismo a la vez que llena tu cuerpo de energía. Descubre todas sus propiedades y algunas propuestas para consumirlo.El té matcha es una excelente fuente de vitaminas y minerales muy beneficiosos para el organismo, libre de toxinas y sin calorías. Se trata del único té verde que no se consume por infusión, sino en polvo. Esto hace que todas sus propiedades antioxidantes estén potenciadas y concentradas, además de que ofrece mucha versatilidad a la hora de añadirlo en nuestras recetas diarias. ¿Quieres conocer el origen de su consumo y qué beneficios aporta a tu organismo? Sigue leyendo este artículo de RecetasGratis y descubre todas las propiedades y beneficios del té matcha, así como nuestras mejores propuestas de recetas.",[],,https://www.recetasgratis.net/articulo-te-matcha-propiedades-beneficios-y-receta-75019.html,,,,,,,
Atole de guayaba con masa,"No hay nada más rico que comenzar o terminar tu día con una rica bebida caliente, y esta receta de atole de guayaba con masa es una opción ideal que puedes preparar fácilmente en casa. Esta rica bebida es hecha a base de agua, así que es apta si eres intolerante a la lactosa. El uso de la masa en el atole, por su lado, hará que esta bebida tradicional mexicana adquiera una consistencia espesa deliciosa, así que es la perfecta sustituta de los productos lácteos que se suelen usar en otras versiones de esta preparación. Si quieres conocer todos los pasos y descubrir cómo hacer atole de guayaba con masa de forma sencilla y rápida, ¡sigue todos nuestros pasos en RecetasGratis y cuéntanos cómo te queda!","['1\nPara comenzar la receta de atole de guayaba con masa y sin leche, limpia las guayabas cortando los extremos, luego corta cada guayaba en cuatro partes.\nTruco: si lo prefieres, puedes quitarles las semillas a las guayabas antes de cocinarlas.', '2\nEn una olla con medio litro de agua, cocina las guayabas con la rama de canela por 10 minutos o hasta que el agua reduzca y las guayabas estén suavizadas.', '3\nMientras se cocinan las guayabas, en una olla calienta los dos litros de agua con el piloncillo, deja que se disuelva el piloncillo, también puedes usar azúcar estándar.', '4\nYa que estén listas las guayabas, retira la rama de canela y lleva a licuar con la masa y con un poco del líquido de la cocción de las guayabas para que sea fácil de licuar todo.', '5\nVacía lo que licuaste a la olla, pasando por un colador para deshacerte de las semillas de la guayaba. Mezcla y deja hervir por 10 minutos, mueve de vez en cuando hasta que logre una textura espesa pero ligera.Comprueba de sabor y, si es necesario, puedes agregar un poco de azúcar o más piloncillo. Puedes agregar otra rama de canela para aromatizar tu atole de guayaba.', '6\n¡Y listo! Sirve este rico atole de guayaba con masa, acompaña con un pan dulce o galletas.']",,https://www.recetasgratis.net/receta-de-atole-de-guayaba-con-masa-74889.html,10 comensales,30m,,Dificultad baja,,['Recetas mexicanas'],"['500 gramos de guayaba', '250 gramos de masa de maíz', '1 rama de canela', '2 litros de agua', '250 gramos de piloncillo']"
Agua de frutas estilo La Michoacana,"Quienes viven en México seguramente conocen la famosa cadena de helados “La Michoacana”. Con muchas sucursales a lo largo y ancho de México, no solo ofrece ricos helados y paletas, también entre su menú se encuentran las aguas frescas. Una en especial que suele gustar a todos es el agua de frutas, una bebida cremosa y con trocitos de fruta que puedes disfrutar para refrescar o para acompañar algún alimento.En RecetasGratis traemos para ti la deliciosa receta de agua de frutas estilo La Michoacana. Lo mejor de todo es que puedes utilizar esta receta como base y utilizar todas las frutas que quieras, así que sigue leyendo y no te pierdas ninguno de los pasos. Cuando termines, sabrás cómo preparar agua de frutas de La Michoacana.","['1\nEl primer paso para saber cómo hacer agua de frutas estilo La Michoacana es separar y cortar en pedazos la mitad de las frutas. Con esto facilitarás el licuado y tendrás esta receta lista súper rápido.', '2\nLicua las frutas añadiendo una cucharada de esencia de vainilla y 2 tazas de agua.\nTruco: también puedes agregar media taza de azúcar si te gusta muy dulce.', '3\nLuego, cuela la mezcla licuada en tu jarra, esto para eliminar las semilla de la guayaba y la fresa. Así, la consistencia quedará más liviana.', '4\nAñade la leche evaporada y la leche condensada, seguido por 1 litro de agua. Mezcla para integrar todo.', '5\nPica en trozos pequeños el resto de la fruta, asegúrate de que queden de tamaño similar, y agrégalos a la jarra de agua.', '6\nPor último, y opcionalmente, puedes agregar una gota de colorante vegetal rojo para marcar más el color rosado del agua, sirve con hielo al gusto y disfruta.']",Valoración: 4 (1 voto),https://www.recetasgratis.net/receta-de-agua-de-frutas-estilo-la-michoacana-74818.html,10 comensales,15m,,Dificultad muy baja,,['Recetas mexicanas'],"['1½ litros de agua', '1 lata de leche condensada', '1 lata de leche evaporada', '1 cucharada sopera de esencia de vainilla', 'hielo al gusto', '500 gramos de fresas', '1 pieza de plátano', '4 guayabas', '2 manzanas', 'colorante vegetal rojo (opcional)']"
Agua de guanábana,"El agua o jugo de guanábana es una bebida bastante popular en países tropicales como Colombia y Venezuela, donde es común acompañar las comidas con infusiones y jugos de frutas. Esta receta de agua de guanábana es bastante sencilla y muy rica, pues se le agrega hielo que, además de temperar la bebida, le da una textura bastante cremosa.La guanábana es una fruta bastante dulce, por lo que te aconsejamos que en esta preparación pruebes el resultado sin endulzar, evalúes y, de ser necesario, vayas añadiendo el endulzante de tu preferencia poco a poco y en bajas cantidades.Esta es una excelente oportunidad para probar cosas distintas sin complicarte demasiado, darle una oportunidad a las frutas tropicales de formar parte de tu dieta y explorar nuevos sabores y formas de consumir alimentos saludables. Esta agua de guanábana es ideal para una tarde soleada, para refrescarte o acompañar una rica comida. Sigue leyendo y descubre cómo hacer agua de guanábana fácil, así como sus beneficios y propiedades.","['1\nCorta las guanábanas a la mitad, separa la pulpa de la cáscara y córtala en trozos pequeños para facilitar sacarle las semillas.', '2\nAgrega la pulpa junto con el agua, el hielo y la leche a la licuadora.', '3\nComienza a batir el agua y agrega la vainilla, prueba un poco del agua de guanábana y, de ser necesario, agrega algún endulzante como azúcar o estevia.', '4\nPor último, pasa el agua por un colador para desechar cualquier grumo o semilla que haya quedado en el agua de guanábana.', '5\nSirve esta riquísima bebida con un poco más de hielo o simplemente como está. Puedes espolvorear canela por encima y verás que rico queda.']",,https://www.recetasgratis.net/receta-de-agua-de-guanabana-74802.html,2 comensales,10m,,Dificultad muy baja,,[],"['2 guanábana mediana', '3 cucharadas soperas de leche en polvo', '500 mililitros de agua', '8 cubos de hielo', '1 chorro de vainilla (opcional)', '1 cucharada sopera de endulzante (opcional)']"
Torito de cacahuate estilo Veracruz,"La diversidad gastronómica en México no para nunca y siempre hay una receta para cada ocasión, no solo nos fijamos en platillos salados o dulces, también buscamos variedad en bebidas. Esta ocasión no es la excepción, en RecetasGratis queremos que conozcas cómo hacer torito de cacahuate, una bebida deliciosa y energizante muy típica.Su preparación es muy sencilla, se trata de una mezcla de cacahuate, leche, vainilla y licor de caña que, juntos, tienen el sabor perfecto para disfrutar frío o incluso caliente. Tómalo como aperitivo o acompaña con unos ricos mariscos. Eso sí, esta receta de torito de cacahuate lleva alcohol, así que te recomendamos tomarlo con moderación. Con eso claro, ¡sigue leyendo y descubre lo fácil y rico que queda el torito de cacahuate estilo Veracruz!","['1\nPara saber cómo hacer toritos veracruzanos, tuesta en un sartén el cacahuate por unos minutos. Evita que se queme, ya que podría amargar la bebida.', '2\nDespués, solo tienes que licuar todo, la leche evaporada, la leche condensada, el cacahuate, la vainilla, la crema de cacahuate y el licor de caña. Licua por al menos 3 minutos para obtener una consistencia liviana en tu torito veracruzano.\nTruco: te aconsejamos utilizar crema de cacahuate natural sin endulzante, también puedes sustituir el licor de caña por ron blanco.', '3\nAhora solo prepara unos vasos con hielo al gusto y sirve tu bebida de torito de cacahuate, también puedes embotellarlo y refrigerarlo para degustar en cualquier momento.']",Valoración: 5 (1 voto),https://www.recetasgratis.net/receta-de-torito-de-cacahuate-74761.html,5 comensales,10m,,Dificultad muy baja,,"['Recetas mexicanas', 'Recetas veracruzanas']","['50 gramos de cacahuate', '4 cucharadas soperas de crema de cacahuate', '1 lata de leche condensada', '250 mililitros de leche evaporada', '2 cucharadas soperas de extracto de vainilla', '250 mililitros de licor de caña o ron blanco', 'Hielo al gusto']"
Michelada de mango con cerveza,"La michelada es la bebida perfecta para un día caluroso, una bebida refrescante con alcohol que a muchos les encanta. La mezcla entre cerveza y jugo de limón es tan solo la base de muchas recetas de michelada, pero puede prepararse de muchos sabores y con ingredientes diferentes. En esta ocasión, preparamos una receta de michelada de mango súper rica que te encantará.No tiene gran complicación, así que no tendrás excusas para no hacerla en un día soleado o para acompañar una carne asada. ¡Sigue leyendo y descubre en RecetasGratis cómo hacer michelada de mango!","['1\nPara empezar la preparación de la michelada de mango te aconsejamos meter al congelador el tarro o vaso donde servirás tu michelada para que quede muy frío cuando sea hora de verter la bebida. Por otro lado, licua la media taza de jugo de tomate con el mango cortado en cubitos.\nTruco: puedes utilizar mango congelado para hacer tu michelada de mango con cerveza aún más refrescante.', '2\nPrepara los condimentos que vas a utilizar, el chile en polvo, el limón, la sal y, de manera opcional, también puedes usar chamoy. Si decides usar jugo de tomate sin sazonadores, puedes agregar también salsa inglesa.Si no tienes chamoy, prepáralo en casa siguiendo nuestra receta de chamoy casero.', '3\nToma tu tarro o vaso y frota con el limón los bordes. El jugo de limón restante puedes añadirlo al vaso.', '4\nEscarcha con chile en polvo los bordes del tarro que previamente bañaste con el limón, también puedes escarchar solo con sal, o aventurarte y escarchar con una capa de chamoy.', '5\nDespués, vacía un poco de la mezcla licuada de jugo de tomate y mango.', '6\nContinúa añadiendo la cerveza de tu preferencia y mezcla con un palillo o cuchara para que se integren los sabores.', '7\nDisfruta de tu rica michelada de mango, puedes añadir más mango en cubitos para darle un toque extra de sabor. Anímate a prepararla y haz tu propia versión añadiendo alguna salsa que te guste o combinándola con alguna otra fruta, aunque el mango por sí solo queda perfecto en la michelada.']",,https://www.recetasgratis.net/receta-de-michelada-de-mango-74754.html,2 comensales,10m,,Dificultad muy baja,,['Recetas mexicanas'],"['1 botella de cerveza de tu gusto', '½ taza de chile en polvo', '1 limón', '1 taza de mango picado en cubos', '½ taza de jugo de tomate con sazonador (CLAMATO)', 'Sal', 'Chamoy (opcional)']"
Agua de tuna,"La tuna es un fruto del nopal tunero, del cual se puede obtener gran variedad de tonalidades y sabores. México es el principal país de producción y consumo de tuna y la más consumida es la de variedad llamada ""reina"" o ""de pulpa blanca"".Es un fruto muy refrescante, ya sea para comer solo o en una rica agua de tuna. Para esta última la receta es muy fácil de hacer y lo mejor de todo es que puedes agregarle algún ingrediente adicional de tu preferencia, como limón o incluso chía, para potenciar su sabor. Así mismo, el limón favorece la digestión, de manera que el agua de tuna con limón es perfecta para mantener la línea. Sigue leyendo y aprende cómo hacer agua de tuna.","['1\nEs muy fácil y rápido preparar una suculenta agua de tuna. Para ello, como primer paso, quita la cáscara a la tuna haciendo dos cortes en las orillas, después un corte transversal y pelando la fruta con mucho cuidado de no hacerte daño con las espinas.', '2\nCuando tengas todas las tunas peladas, córtalas en trozos medianos para facilitar el licuado.', '3\nColoca los trozos de tuna en la licuadora, añade el azúcar, el jugo de dos limones y medio litro de agua. Licua durante unos minutos.\nTruco: el limón es opcional, también puedes añadir pepino, alguna otra fruta o semilla como la chía. También puedes sustituir el azúcar por algún endulzante.', '4\nPasa la mezcla por un colador para retirar las semillas de la tuna. Agrega el litro de agua restante y mezcla.', '5\nYa tienes lista tu agua de tuna con limón, ahora solo agrega un poco de hielo al gusto y disfruta de esta refrescante bebida. También puedes añadir unas hojas de menta si quieres aportar un toque todavía más refrescante.']",Valoración: 4 (2 votos),https://www.recetasgratis.net/receta-de-agua-de-tuna-74697.html,5 comensales,15m,,Dificultad muy baja,,"['Recomendada para perder peso', 'Recetas mexicanas']","['5 piezas de tuna blanca o verde', '125 gramos de azúcar (o cantidad de necesaria de edulcorante)', '2 limones', '1½ litros de agua', 'Hielo al gusto']"
Jugo de betabel con zanahoria,"El betabel y la zanahoria son vegetales de raíz que están repletas de vitaminas, minerales y muchas propiedades medicinales. Ambos productos son muy ricos y muy fáciles de incorporar en nuestra dieta, tan fácil como prepararte un rico jugo de betabel con zanahoria para acompañar tu desayuno o complementar tu día.En RecetasGratis te diremos cómo hacer jugo de betabel con zanahoria, así como sus beneficios y cómo tomarlo. ¡Sigue leyendo para aprovechar todas sus propiedades!","['1\nLa preparación del jugo de betabel con zanahoria es demasiado sencilla, si tienes un extractor de jugos puedes hacerlo de una manera práctica, pero si no cuentas con uno puedes hacerlo con la licuadora sin problema. Para ello, lava muy bien las zanahoria y el betabel. Luego, con ayuda de un pelador quita la piel y corta las piezas para facilitar el licuado.', '2\nLicua añadiendo un poco de agua. También puedes hacer el jugo de betabel con zanahoria y naranja utilizando jugo de naranja, así potenciarás el sabor del licuado y las propiedades.', '3\nCuando esté perfectamente licuado, pasa la mezcla por un colador para extraer todo el jugo. También puedes apoyarte de una tela de algodón y presionar para aprovechar todo lo posible.', '4\nY listo, en tres pasos ya tienes tu jugo de betabel con zanahoria para desayunar. Otras opciones totalmente válidas son las que incluyen apio, limón y pepino. En el caso del limón, deberás usar el jugo combinado con agua o con jugo de naranja. En el caso del apio y el pepino, simplemente trocea (y pela el pepino) los ingredientes y lícualos con los demás.Si quieres conocer más jugos, no te pierdas este artículo: ""Jugos de frutas para adelgazar"".']",Valoración: 4 (2 votos),https://www.recetasgratis.net/receta-de-jugo-de-betabel-con-zanahoria-74681.html,2 comensales,10m,Desayuno,Dificultad muy baja,,"['Recomendada para perder peso', 'Receta sin azúcar']","['5 piezas de zanahoria', '4 piezas de betabel grande', '125 mililitros de agua o jugo de naranja']"
¡Receta del trago chileno original!,"El trago terremoto se hizo popular en Chile a finales del siglo XX y ahora forma parte de las fiestas patrias celebradas el 18 y 19 de Septiembre. Se prepara con vino pipeño, granadina y helado de piña y es común encontrarlo en bares, restaurantes y puestos de comida. La historia más popular sobre el nombre de este trago habla sobre un terremoto que hubo en 1985. Los terremotos forman parte de la idiosincrasia chilena, por ello son aceptados y parte se su historia.El vino pipeño utilizado en este trago es un vino tradicional chileno que se fermenta o almacena en tinajas de greda selladas con barro. Si no puedes encontrar el pipeño, se puede sustituir por vino blanco y espumante a partes iguales. Además, dependiendo de la zona, en algunas regiones de Chile se le agrega algún licor, como ron, fernet o pisco. ¿Quieres aprender a prepararlo? Descubre cómo hacer terremoto chileno siguiendo la receta original aquí, en RecetasGratis.","['1\nAgrega 3 cucharadas de helado de piña en dos vasos grandes.', '2\nAgrega el vino pipeño a los vasos para seguir con la preparación de la bebida terremoto. Puedes sustituir el pipeño por vino blanco y espumante a partes iguales.', '3\nVierte la granadina al gusto encima del helado. En general, con una o dos cucharadas está bien, pero puedes ir probando el dulzor para hacerlo al gusto.', '4\nDisfruta de esta refrescante bebida dulce siempre que te apetezca. Puedes usar una pajilla o cucharilla para mezclar el helado con el vino y consumir todos los ingredientes bien integrados. Verás que la bebida terremoto tiene un sabor inigualable y es ideal para celebrar cualquier fecha especial.']",Valoración: 4 (2 votos),https://www.recetasgratis.net/receta-de-terremoto-chileno-74634.html,2 comensales,10m,,Dificultad muy baja,,['Recetas chilenas'],"['6 cucharadas soperas de helado de piña', '2 cucharadas soperas de granadina', '4 tazas de pisco']"
Cómo hacer atole de pinole,"El pinole es una preparación prehispánica que proviene de la palabra náhuatl ""pinolli"", que significa harina de maíz- Es un polvo fino de maíz tostado que se comía desde la época prehispánica y que ha conservado su uso en la actualidad; también sirve para la preparación de postres o bien para consumirse con queso.En México existen muchas formas de usar el pinole, principalmente se puede mezclar con canela, chocolate, azúcar o piloncillo. Adicionando agua, jugo o leche, se puede conseguir una bebida deliciosa y energizante con menor cantidad de azúcares que las bebidas deportivas. En RecetasGratis, queremos enseñarte cómo hacer atole de pinole, una rica bebida a la que además le daremos un toque de chocolate que realzará su sabor. Quedará perfecto para cerrar o empezar tu día de una forma muy sabrosa, así que sigue leyendo y no te pierdas esta sencilla receta.","['1\nPara comenzar la preparación del atole de pinole, agrega los dos litros de agua en una olla grande e incorpora el piloncillo, el chocolate y la media cucharadita de sal.\nTruco: La sal intensificará los sabores. También puedes utilizar el chocolate de tu preferencia.', '2\nCalienta a fuego medio hasta conseguir que el piloncillo y el chocolate logren disolverse e integrarse al agua, después baja el fuego y deja que empiece a hervir.', '3\nEn otro recipiente, mezcla la taza de agua fría con la taza de pinole y revuelve hasta que se integren bien. Procura revolver bien para evitar grumos.', '4\nCuando el agua endulzada que tienes al fuego ya esté comenzando a hervir, vierte el pinole diluido y con ayuda de un batidor de globo revuelve para integrar todos los ingredientes.', '5\nDeja que el atole de pinole con agua hierva unos minutos sin dejar de mover hasta que tome una consistencia espesa pero ligera. En este punto, puedes probar y ajustar el sabor, si quieres que quede más dulce añade un poco de azúcar.', '6\n¡Ahora ya puedes disfrutar de esta deliciosa receta de atole de pinole! Puedes acompañar la bebida con un rico pan o galletas o simplemente disfrutarla sola. Si te apetece disfrutar de esta bebida con galletas, no te pierdas estas recetas:Galletas craqueladasGalletas de vainillaGalletas de naranja']",,https://www.recetasgratis.net/receta-de-atole-de-pinole-74593.html,6 comensales,30m,Desayuno,Dificultad muy baja,,"['Receta sin gluten', 'Recetas mexicanas']","['1½ litros de agua', '200 gramos de piloncillo', '1 taza de pinole', '½ cucharadita de sal', '125 gramos de chocolate en tableta o polvo', '1 taza de agua fría']"
