title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
El revuelto de papas de Paco,,"['1\nLave, corte y pele las patatas en rodajas no muy finas.Salar.', '2\nPara freir las patatas, añada los ajos( previamente golpeados por la maja) a fuego medio; espere a que el aceite se temple y luego eche las patatas.', '3\nFreir a fuego medio durante 10 min.', '4\nApartar las patatas con los ajos en otra sarten que ponemos al fuego, y echamos los huevos: primero las claras, damos unas vueltas y luego las yemas.', '5\nRemover con pala de madera, damos algunas vueltas mas y servimos directamente.']","Valoración: 4,3 (6 votos)","['3 patatas grandes.', '3 huevos.', '8 dientes de ajo.', 'Sal', 'aceite de oliva.']",https://www.recetasgratis.net/receta-de-el-revuelto-de-papas-de-paco-14548.html,,,,,,
Fondue Neuchateloise con Gruyere,,"['1\nFrotar bien la marmita de Fondue con un ajo, luego poner los quesos rallados que se dejaran derretir despacio, a fuego lento, con el vino blanco removiendo sin cesar, con una cuchara de madera.', '2\nEn cuanto se formen burbujas, añadir poco a poco el preparado de fécula y sazonar con sal, nuez moscada y un poco de pimienta.', '3\nServir la marmita así en la mesa sobre la lámpara de alcohol, y al mismo tiempo, servir los trocitos de pan, dispuestos ya por adelantado en los platos.', '4\nCon los pinchos de fondue, pinchar un trocito de pan e introducirlo en la marmita, y cuando el pan esté completamente untado de la mezcla de quesos, se puede comer.']","Valoración: 3,3 (30 votos)","['150 gr. de queso Emmenthal', '150 gr. de queso Gruyère', '2 dl. de vino blanco', 'Un poco de fécula de patata desleída en agua', 'Pimienta', 'Nuez Moscada', '1 diente de ajo', 'Trocitos de pan']",https://www.recetasgratis.net/receta-de-fondue-neuchateloise-con-gruyere-14475.html,,,,,,
Tortilla de patatas de Susana,,"['1\nPelamos y cortamos las patatas en tacos. El pimiento y la cebolla en trozos. Echamos sal a las patatas y freimos, vamos incoorporando la cebolla y el pimiento mas tarde parar que no se quemen.', '2\nApartar. Batimos los huevos y echamos un chorreon de leche. Mezclamos y hacemos la tortilla con poco aceite a fuego lento, dando vueltas cada minuto. Despues de 5 min, apagar fuego y tapar. Se puede añadir un poco de levadura al huevo batido.']","Valoración: 3,4 (9 votos)","['4 patatas nuevas', '3 huevos', '1/2 cebolla', 'Leche', '1 pimiento']",https://www.recetasgratis.net/receta-de-tortilla-de-patatas-de-susana-14449.html,,,,,,
Tortilla de Alcachofas frescas,,"['1\nLimpieza de las alcachofas Las alcachofas se parten por la mitad y se limpian, quitando la “escobilla” interna.', '2\nSe frotan con limón para que no se pongan negras.', '3\nSe parte el corazón y las hojas tiernas de la alcachofa en láminas finitas.', '4\nLas hojas tiernas se distinguen porque rompen sin hacer fuerza', '5\nSe exprime limón sobre las alcachofas cortadas y se les echa sal', '6\nCuando el aceite esté caliente se echan las alcachofas, friéndolas sin que lleguen a dorarse.', '7\nUna vez fritas se sacan de la sartén reservándolas', '8\nSe baten los huevos y se les añaden las alcachofas depositando la mezcla en la sartén a fuego lento hasta que cuaje.', '9\nSe le da la vuelta a la tortilla como a cualquier tortilla de patata.']","Valoración: 3,8 (9 votos)","['1/2 kilo de alcachofas frescas (unas 6)', '4 huevos frescos grandes', 'Aceite de oliva', 'Sal', 'Limón']",https://www.recetasgratis.net/receta-de-tortilla-de-alcachofas-frescas-14447.html,,,,,,
revuelto de zapallitos y salchichas,,"['1\nPoner en una cacerola el aceite con la cebolla y el ajo picados finamente, dorar suavemente, lavar los zapallitos y cortarlos en laminas o juliana,igualmente los morrones agregarlos al aceite y revolver.', '2\nTapar, cortar las salchichas de viena en rodajitas y batir los huevos con el queso rallado salpimentar a gusto y cuando se note que los zapallitos estan cocidos agregarles la mezcla de huevos y queso, revolver suavemente en forma envolvente hasta que el huevo cuaje, servir de inmediato.']","Valoración: 4,1 (15 votos)","['6 zapallitos redondos verdes', '2 cebollas', '2 dientes de ajo', '1 morrón queso rallado', '100 gm aceite 1 pocillo', '4 huevos', '6 salchichas tipo viena', 'sal', 'pimienta a gusto']",https://www.recetasgratis.net/receta-de-revuelto-de-zapallitos-y-salchichas-14392.html,,,,,,
Tortilla de patatas original,"La tortilla de patatas es uno de los platos más representativos de la gastronomía española. Aunque existen varias versiones, la receta original se prepara a partir de dos ingredientes principales: huevo y patata. Quédate en RecetasGratis.net y aprende a cocinar la auténtica tortilla española, ¡te encantará!","['1\nLo primero que debes hacer para empezar a preparar la tortilla española es pelar las patatas. Como comentamos, la tortilla original se realiza únicamente con patatas y huevo, de manera que, si quieres cocinar una versión con cebolla te aconsejamos que visites la siguiente receta de tortilla de patatas con cebolla.', '2\nCorta las patatas en cubos del grosor que quieras. Para este paso no hay una norma establecida, pues cada cocinero corta las patatas según sus gustos. Si lo prefieres, puedes cortarlas en láminas finas o realizar cortes irregulares con un cuchillo.', '3\nCoge una sartén antiadherente y pon a calentar abundante aceite. Cuando esté caliente, fríe las patatas a fuego medio hasta que estén blandas pero sin que lleguen a dorarse. Si has utilizado patatas muy grandes y tu sartén no tiene la capacidad suficiente como para freírlas todas a la vez, hazlo en dos tandas.', '4\nCuando veas que las patatas están listas, retíralas de la sartén con una espumadera y resérvalas en un bol con papel absorbente o un escurridor para retirar el exceso de aceite. Aparte, bate los huevos con sal al gusto. Si quieres una tortilla consistente y muy cuajada, deberás batir los huevos hasta espumar. Si de lo contrario te gustan más las tortillas de patata un poco menos hechas, no los batas en exceso.', '5\nUna vez retirado el exceso de aceite de las patatas, pásalas a un bol grande. Añade el huevo batido y, si lo consideras necesario, una pizca más de sal. Mezclamos y ponemos a calentar una sartén antiadherente con un poco de aceite (unas dos cucharadas). Para obtener una buena tortilla de patatas, lo ideal es que la sartén tenga entre 20 y 26 cm de diámetro.', '6\nCuando esté caliente el aceite, añade a la sartén las patatas mezcladas con el huevo y reparte la preparación haciendo movimientos circulares suaves con la sartén. Deja cocinar a fuego medio hasta que veas que la tortilla empieza a burbujear.', '7\nDale la vuelta a la tortilla con ayuda de un plato llano un pelín más pequeño que la sartén. Lo ideal es que el plato cubra justo la tortilla, pero también puedes utilizar una tapa lisa o un plato más grande.', '8\nCocina la tortilla de patatas por el otro lado. Puedes darle varias vueltas si lo deseas, todo dependerá del grado de consistencia que quieras que adquiera la tortilla. Si quieres que quede más cuajada, voltéala varias veces, si prefieres una tortilla poco hecha, con un par de vueltas será suficiente. Cuando esté, sírvela acompañada de rodajas de pan, embutido de tu preferencia y una ensalada de tomate.']","Valoración: 3,5 (29 votos)","['1 kilogramo de Patatas', '5 unidades de Huevos', '1 pizca de Sal', '1 botella de Aceite virgen extra (para freír)']",https://www.recetasgratis.net/receta-de-tortilla-de-patatas-original-13699.html,6 comensales,30m,Plato principal,Dificultad media,,['Recetas españolas']
Tortilla de espárragos y gambas,,"['1\nEn una sartén con aceite, ponemos el ajo picado, cuando empiece a coger color añadiremos las gambas peladas.', '2\nUna vez rehogadas, añadiremos los huevos batidos con un poco de sal y los espárragos troceados.', '3\nRemoveremos los huevos mientras se hacen hasta que estén cuajados.']",Valoración: 3 (2 votos),"['Para 4 personas', '4 huevos', '1 diente de ajo', '4 espárragos', '16 gambas peladas', 'Sal', 'Aceite']",https://www.recetasgratis.net/receta-de-tortilla-de-esparragos-y-gambas-13697.html,,,,,,[]
Souffle de queso con harina de maiz,,"['1\nEn un cazo, mezcla con una varilla los dos tipos de harina y la leche. Una vez bien mezclado, caliéntalo hasta que espese. Añade el queso y sigue removiendo para que éste se disuelva. Una vez que ligue, tardará alrededor de 2 minutos, retira del fuego y deja enfriar.', '2\nAñade entonces las yemas, vuelve a mezclar y echa este preparado sobre las claras montadas a punto de nieve sobre el azúcar. Mezcla nuevamente, esta vez con cuidado para que quede esponjoso.', '3\nVierte en moldes untados con mantequilla y enharinados, rellenando sus 3/4 partes y hornea a 175 grados durante 20-25 minutos (30-40 minutos si el molde es grsnde). Sirve.']","Valoración: 4,1 (10 votos)","['Para 4 personas', '3 yemas', '5 claras de huevo', '1 vaso de leche', '2 cuch. de harina', '2 cuch. de harina de maíz refinada', '200 grs de queso cremoso (de untar)', '2 cuch. de azúcar', 'Mantequilla y harina para untar el molde']",https://www.recetasgratis.net/receta-de-souffle-de-queso-con-harina-de-maiz-13576.html,,,,,,[]
Revuelto manchego,,"['1\nPica bien las cebollitas, los ajos y el pimiento. Ponlos a dorar en una sartén con aceite. Agrega el zucchini pelado y picado.', '2\nPica los tomates en cuadraditos y añádelos a la sartén. Sazona y deja que todo se haga unos 15-18 minutos.', '3\nAgrega el jamón crudo bien picado a la sartén con las verduras y saltea. Incorpora los huevos a la sartén, sazona y revuelve hasta que cuaje bien el revuelto.', '4\nEspolvorea con perejil picado y sirve acompañado de los pancitos fritos.', '5\nSi al hacer unos huevos revueltos, éstos te han quedado secos, sólo tienes que seguir removiéndolos fuera del fuego y añadirles un poco de crema de leche.', '6\nDe esta forma, ganarán en sabor y quedarán muy jugosos.']",Valoración: 3 (9 votos),"['Para 4 personas', '6 cebollitas de verdeo', '1 zucchini', '1 pimiento morrón verde', '2 tomates', '3 dientes de ajo', '100 g de jamón crudo', '5 huevos', '2 rebanadas de pan lactal', 'perejil picado', 'Sal', 'Aceite']",https://www.recetasgratis.net/receta-de-revuelto-manchego-13378.html,,,,,,[]
Revuelto de pisto con verduras,,"['1\nEn una cazuela se pone el aceite y cuando este caliente se echa la cebolla picada muy menudita y el ajo y el perejil, también picados.', '2\nSe parten los pimientos y se les quita la simiente, se cortan en pedacitos y se añaden a la sartén.', '3\nSe deja rehogar tapado a fuego suave.', '4\nSe pelan los calabacines, se parten en cuadraditos y se añaden a la cazuela.', '5\nSe pelan los tomates, se les quita la semilla, se cortan en pedacitos y se vierten en la cazuela.', '6\nSe prueba de sal y se deja cocer a fuego lento durante 20 minutos.', '7\nCuando este hecho, añadir los huevos, moverlo bien y servir.']",Valoración: 4 (1 voto),"['1/2 kg. De calabacines', '1/2 tomate maduro', '1/2 kg. Pimientos', '1/4 kg. Cebollas', 'aceite', '1 diente de ajo', '4 huevos', 'sal']",https://www.recetasgratis.net/receta-de-revuelto-de-pisto-con-verduras-13376.html,,,,,,[]
