title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
"Judías pintas, receta de la abuela","Prepara un plato rico de judías pintas, receta de la abuela. Una elaboración de cuchara sencillo de preparar y completo. Asimismo, como bien sabes, los platos de cuchara son una delicia con pocos ingredientes pero contundentes. Esta receta tradicional se puede preparar con diferentes acompañamientos, según la zona añaden chorizo y morcilla, oreja, tocino, etc. En RecetasGratis te enseñamos cómo hacer judías pintas, receta de la abuela. ¡A cocinar!","['1\nAñade en remojo las judías durante 12 horas. A continuación, en una cazuela pon un chorro de aceite de oliva a fuego medio, pica la cebolla muy pequeñita y añade a pochar en la cazuela. A medio pochar añade el pimiento verde, los ajos pelados enteros y el tomate frito. Mezcla y deja 3-4 minutos que se cocine a fuego medio.', '2\nAñade el hueso de jamón, la panceta salada y el chorizo en trozos.', '3\nCubre con agua fría y añade las judías pintas y una hoja de laurel. Deja que se cocine a fuego lento unas 2 horas o hasta que las judías pintas queden tiernas. A media cocción añade un poco de sal. Puede tardar más o menos según el tipo de judía, algunas necesitan menos tiempo.\nTruco: debe quedar cubierto de agua y un poco más. Si hace falta a media cocción se puede añadir más agua. No deben quedar muy secas.', '4\nPela y lava las patatas, córtalas en trozos chascándolas al final del corte para que suelten el almidón y así espese un poco el caldo. Deja que se cueza todo hasta que estén las patatas.Si observas que no queda la salsa muy espesa, puedes chafar unas cuantas patatas y añadirlas al caldo. También puedes deshacer una cucharada de harina en agua o caldo de las judías, verter en el caldo y dejar que cueza unos minutos, la salsa espesará un poco.', '5\nCuando veas que las judías pintas estofadas están listas, prueba de sal y rectifica si hace falta.', '6\n¡Listas las alubias pintas con chorizo y panceta! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,2h 30m,,Dificultad baja,,[],"['400 gramos de judías pintas', '3 patatas', 'hueso de jamón', '2 dientes de ajos', 'panceta salada', 'chorizo', '1 cebolla', '1 pimiento verde', '4 cucharadas soperas de tomate frito', '1 kilogramo de laurel', 'sal', 'aceite de oliva']",https://www.recetasgratis.net/receta-de-judias-pintas-receta-de-la-abuela-76588.html
Receta FÁCIL y SALUDABLE,"Esta torta de garbanzos es una torta plana tipo pan o tipo pizza para acompañar las comidas o para poner diferentes ingredientes en su superficie. Es una torta de origen italiano y muy fácil de elaborar, incluso aunque no tengas experiencia en la cocina. Al llevar simplemente harina de garbanzos es apta para celíacos o para dietas libre de gluten.Si quieres saber cómo se elabora esta sencilla receta a base de garbanzos, sigue leyendo, en RecetasGratis te enseñamos cómo hacer torta de garbanzos para que quede perfecta de manera sencilla y fácil. ¡A cocinar!","['1\nPara hacer la receta de torta de garbanzos, pon en un bol la taza de agua templada con un poco de sal y dos cucharadas de aceite de oliva. Mezcla todo removiendo con una cuchara.', '2\nVe añadiendo poco a poco la harina de garbanzos mientras vas removiendo con unas varillas manuales para dejar una preparación sin grumos.', '3\nCubre el bol con papel film y deja reposar a temperatura ambiente durante 1 hora.', '4\nPasado el tiempo de reposo, precalienta el horno a 200º C. Mete dentro del horno una tartera o una sartén apta para el horno vacía de unos 18-20 cm de diámetro para que se vaya calentando.', '5\nMientras el horno se calienta, retira el papel film de la masa y añade las otras dos cucharadas de aceite de oliva y remueve bien para que se integre.', '6\nRetira el molde ya caliente del horno, añade unas gotitas de aceite de oliva y pincela toda la superficie con el aceite para que la torta con harina de garbanzos no se pegue al molde.', '7\nVierte la masa para la torta de garbanzos en el molde y espolvorea con las semillas de comino. Vuelve a meter la tartera en el horno a 200 ºC con calor arriba y abajo durante 15 minutos o hasta que la torta quede bien doradita.\nTruco: prueba también a añadir orégano o pimienta negra molida para darle diferente sabor.', '8\nSirve la torta de garbanzos tibia cortada en trozos. ¿Qué te ha parecido la receta? ¿Te ha resultado fácil? Cuéntanos tu experiencia con ella o envíanos una foto con el resultado final.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.\nTruco: si lo deseas, también puedes hacer diferentes tortitas de garbanzos para preparar distintas elaboraciones.']",,4 comensales,30m,Acompañamiento,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin gluten', 'Recetas al horno']","['1 taza de agua templada', '4 cucharadas soperas de aceite de oliva', '1 taza de harina de garbanzos', '1 pizca de sal', '1 cucharadita de semillas de comino']",https://www.recetasgratis.net/receta-de-torta-de-garbanzos-76491.html
Garbanzos con verduras y huevo,"Las garbanzos salteados con verduras consiste en un plato competo y muy variado que puedes preparar como entrante. Además, puedes acompañar el plato con las verduras que te gusten y utilizar las que tienes reservadas en la nevera o aprovechar las verduras de temporada. Un plato sencillo, rápido de hacer y muy nutritivo que gustará a toda la familia. Asimismo, para hacerlos diferentes, también se pueden añadir hierbas frescas, como tomillo, orégano, romero y, si te gusta un sabor más exótico, se pueden añadir especias como curry, comino, cúrcuma, etc.En RecetasGratis te enseñamos cómo hacer garbanzos con verduras y huevo. ¡A cocinar!","['1\nPara empezar con la receta de garbanzos con huevo y verduras, primero prepara las verduras. Para ello, lávalas. Por otro lado, retira los garbanzos del bote ya cocidos, coloca en un colador y lava bajo el grifo, escurre bien. Reserva mientras se cocinan las verduras. Si quieres cocer en casa los garbanzos, coloca una cazuela amplia llena de agua, añade los garbanzos secos en la cazuela cubiertos de agua y un puñado de sal, mínimo 12 horas. Cuando pase el tiempo indicado, retira el agua y, en una olla, cuece un par de horas o hasta que queden cocidos. Si tienes olla express, el tiempo será más corto.', '2\nPela y corta las verduras. Asimismo, corta el pimiento verde en trozos pequeños, la cebolla en tiras y la zanahoria en cuadraditos. Pela el calabacín y corta en cuadrados. Coloca una cazuela al fuego con un buen chorro de aceite de oliva, añade la cebolla, el pimiento y la zanahoria unos minutos. Después, añade el calabacín y deja que se poche durante 10 minutos.\nTruco: si te gustan las verduras aldentes, déjalas menos tiempo de cocción, ya que luego saltearás los garbanzos de bote con las verduras.', '3\nCuando tengas pochadas las verduras, pero aldentes, añade un poco de sal y pimienta. Mientras, coloca el agua para cocer el huevo y, cuando empiece a hervir, espera 10 minutos e introdúcelo.', '4\nCuando tengas las verduras en su punto, añade los garbanzos y saltea con cuidado que no se deshagan. Prueba de sal y pimienta al gusto y sirve. Si lo deseas, puedes acompañar los garbanzos con un puñado de perejil, con un poco de pimentón dulce y/o un toque picante.', '5\n¡Ya puedes comer los deliciosos garbanzos con calabacín y cebolla! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,2 comensales,30m,,Dificultad baja,,[],"['1 bote de garbanzos cocidos', '2 calabacín', '2 zanahorias', '1 cebollas', '1 chorro de aceite de oliva', '1 pizca de pimienta', '1 pizca de sal', '1 huevo']",https://www.recetasgratis.net/receta-de-garbanzos-con-verduras-y-huevo-76324.html
Receta DE LA ABUELA,"La fabada gallega es un guiso tradicional parecida a la fabada asturiana que se cocina con fabes o alubias, chorizo, panceta salada y, en algunos casos, se añade morcilla, aunque en la gallega no se suele añadir la morcilla. Asimismo, es un plato muy completo, que también se puede añadir patatas, un puñado de arroz, etc. Por ello, este plato se cocine de forma tradicional y a fuego lento con ingredientes de buena calidad, para que con pocos ingredientes quede un plato con mucho sabor. Un plato de cuchara consistente donde no puede faltar el pan para acompañarlo.En RecetasGratis te enseñamos cómo hacer fabada gallega de la abuela. ¡A cocinar!","['1\nPara preparar la fabada gallega con chorizo y panceta, lo primero que debes hacer es poner las fabes en remojo en una olla cubierta de agua. Debes ponerla la noche anterior o unas 12 horas.', '2\nPrepara los ingredientes para hacer la fabada gallega casera. Pela la cebolla y corta por la mitad. Pela los dientes de ajos y deja enteros. Prepara también la hoja de laurel.', '3\nPon una olla grande con agua fría, escurre bien las fabes que tienes en remojo y añade a la olla grande. Luego, añade la cebolla partida por la mitad, los dientes de ajos y la hoja de laurel. Deja a fuego medio hasta que empiece a hervir. Deja que se cocine unos 15 minutos.', '4\nMientras se cocinan las fabes, prepara el resto de los ingredientes: la panceta y el chorizo. Corta todo en trozos medianos. La cantidad de chorizo y de panceta será al gusto.', '5\nCuando hayan pasado los 15 minutos, retira la espuma que se forma en la superficie. Añade un vaso grande de agua fría para cortar la cocción y deja a fuego fuerte hasta que empiece a hervir otra vez. Baja el fuego a medio y añade la panceta y el chorizo. Deja que se cocine todo a fuego lento hasta que las fabes estén bien cocidas, unos 60 minutos, dependerá del tipo de fabes o del tamaño.', '6\nCuando observes que las fabes de la fabada gallega tradicional están casi cocidas, añade la sal, deja que sigan cocinando y vuelve a probar hasta dejarlas a punto de sal.', '7\nCuando estén bien cocidas, apaga y ya estarán listas para comer. Asimismo, si queda el caldo muy ligero, puedes coger un cucharón de fabes y chafarlas, añadirlas a la cazuela y dar otro hervor, así quedará más espesa la salsa. También hay quién liga la salsa con un poco de harina disuelta en agua.']",Valoración: 4 (1 voto),4 comensales,1h 30m,,Dificultad baja,,[],"['400 gramos de alubias blancas', 'panceta salada', '2 chorizo', '1 cebolla', '1 hoja de laurel', '2 dientes de ajos', 'sal']",https://www.recetasgratis.net/receta-de-fabada-gallega-76427.html
Salsa boloñesa de lentejas,"La boloñesa de lentejas es un plato vegetariano y vegano que queda genial como primer plato para acompañar pasta, carne, pescado, huevos fritos, entre otros ingredientes. Es una elaboración realmente sencilla y completa, llena de sabor, además, es muy saludable. Es un plato con muchas variantes, se puede hacer añadiendo más verduras o restando otras, pero siempre debe incorporar verduras. Para las personas que son vegetarianas o veganas, este plato se utiliza igual que la boloñesa de carne. En esta ocasión, hemos incorporado las lentejas normales, pero también puedes hacer boloñesa de lentejas rojas, quedará un plato exquisito.En RecetasGratis te enseñamos cómo hacer salsa boloñesa de lentejas fácil. ¡No te pierdas esta receta!","['1\nPara empezar con la receta de salsa boloñesa de lentejas, primero debes preparar las lentejas. Para ello, coloca una olla con sal y una hoja de laurel, incorpora las lentejas en la olla. Déjalas hasta que queden cocidas, pero enteras. A continuación, escurre bien y reserva. Por otra parte, también debes saber que las puedes comprar cocidas de bote, salen muy bien y de esta forma adelantas tiempo. Para ello, retíralas del bote, lávalas debajo del grifo, escúrrelas y resérvalas.Luego, prepara las verduras. Para ello, pica la cebolla, el pimiento verde, el pimiento rojo, la zanahoria y los dientes de ajo, pica todas las verduras bien pequeñitas. A continuación, coloca una cazuela al fuego con un chorro de aceite y añade la cebolla, la zanahoria y los pimientos, deja que se cocine a fuego medio.', '2\nCuando observes que están pochadas, añade los dientes de ajos picados y remueve.', '3\nDeja que el ajo se cocine con cuidado para que no se queme, y añade el vino blanco. Déjalo unos minutos para que se reduzca el alcohol.', '4\nAñade el tomate triturado, el orégano o albahaca, e incluso las dos cosas, un poco de pimienta y sal. Deja que se cocine todo, estará lista cuando la salsa de tomate reduzca y espese. Cuando esté la salsa boloñesa de lentejas, prueba por si necesita más sal o alguna hierba, según te guste.', '5\nComo estará muy espesa la salsa, puedes añadir un vasito de agua o de caldo de verduras. A continuación, incorpora las lentejas y déjalo todo junto unos 10 minutos para que adquiera los sabores. Si te gusta más suelto, puedes añadir más agua o caldo hasta que quede a tu gusto.', '6\nCuando esté cocinada la boloñesa de lentejas, puedes comerla así tal cual o puedes triturarla.\nTruco: puedes congelar en la nevera para futuras ocasiones.', '7\n¡Lista para servir! ¿Qué te ha parecido la receta de boloñesa vegana de lentejas? Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,45m,,Dificultad baja,,[],"['500 gramos de lentejas cocidas', '1 pimiento verde', '1 pimiento rojo', '1 cebolla', '2 dientes de ajos', '1 zanahoria', '400 gramos de tomate triturado', '150 mililitros de vino blanco', '1 cucharada postre de albahaca', '1 cucharada sopera de orégano', '1 pizca de pimienta', '1 pizca de sal', '1 chorro de aceite de oliva']",https://www.recetasgratis.net/receta-de-salsa-bolonesa-de-lentejas-75870.html
Enfrijoladas veganas,"Si de recetas económicas se trata, las enfrijoladas son una muy buena opción para el día a día. Además, si estás empezando llevar a cabo una dieta vegana, esta receta de enfrijoladas veganas te va a encantar. Así pues, aprende de una manera sencilla a preparar este platillo con ingredientes muy fáciles de conseguir, baratos y rendidores. ¿Cómo resistirse a una tortilla dorada y bañada en salsa de frijol? ¡Te encantará!En RecetasGratis te enseñamos cómo hacer enfrijoladas veganas. Así pues, podrás obtener una comida completa, bastará con tener la salsa de frijol para que rellenes la tortilla con los ingredientes que más te gusten. También puedes preparar la combinación de verduras que nosotros te compartimos. ¡A cocinar!","['1\nPara hacer esta receta de enfrijoladas veganas fácil, primero prepara la salsa de frijol. Para ello, coloca en la licuadora los frijoles cocidos con su propia agua junto con un trozo de cebolla y una pizca de sal, licua por 3 minutos.', '2\nCalienta una cucharadita de aceite en una olla y vacía la salsa de frijol. Seguido, agrega 2 hojitas de epazote, un poco más de sal al gusto y deja cocinar hasta que hierva. Luego, reserva.', '3\nPara el relleno, pica los nopales y la calabacita. A continuación, cocina al vapor o en agua hasta que hayan ablandado.', '4\nEn una sartén con un poco de aceite fríe ligeramente las tortillas de maíz. ¿Qué te está pareciendo esta receta de enfrijoladas veganas?', '5\nPara armar las enfrijoladas veganas, rellena una tortilla con los vegetales y enrolla o dobla, como prefieras.\nTruco: prueba con tortilla de harina y enrolla como un burrito.', '6\nLuego, baña con la salsa de frijol hasta cubrir. Acompaña con una rebanada de aguacate y cebolla al gusto. ¿Qué te han parecido estas enfrijoladas veganas? Déjanos en los comentarios tu opinión.\nTruco: también puedes añadir un poco de crema vegetal.']",,5 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recetas mexicanas']","['1 taza de frijoles cocidos', '1 cucharadita de aceite de oliva', '2 hojas de epazote', '1 pizca de sal al gusto', '2 nopales medianos', '2 calabacitas', '20 tortillas de maiz', 'rebanadas de aguacate']",https://www.recetasgratis.net/receta-de-enfrijoladas-veganas-75706.html
Receta SALUDABLE,"El matambre es un plato tradicional para consumir durante las fiestas. Antiguamente, se conocía como mata-hambre, sin embargo, con la cantidad de fibra que tiene este plato, gracias a las legumbres, a las semillas y a las verduras, te aseguramos que con hambre no te quedarás. Esta receta tradicional consiste en un corte de carne, pero, en esta oportunidad te enseñamos cómo adaptar este famoso plato a uno apto para quienes deciden llevar una dieta vegana.En RecetasGratis te enseñamos cómo hacer matambre vegano, sigue los pasos para presentar un delicioso y vistoso plato estas fiestas. Al final encontrarás más opciones de relleno por si no dispones de estos ingredientes o quieres probar otras variantes. ¡A cocinar!","['1\nPara empezar con la receta de matambre vegano, primero debes remojar las semillas de girasol y las lentejas por 8 y 12 horas respectivamente. Una vez pasado el tiempo, cambia el agua de remojo y cocina las lentejas en abundante agua hirviendo aproximadamente 30 minutos, hasta que estén tiernas. No te preocupes si se pasan de cocción, ya que las procesaremos. Reserva las semillas.', '2\nUna vez cocidas las lentejas, cuélalas asegurándote que retiras la humedad. Condiméntalas al gusto y procésalas hasta obtener una mezcla homogénea. Mientras, hidrata los tomates secos con agua caliente.\nTruco: si no tienes mixer, puedes procesarlas con la licuadora o pisarlas con un pisa papa o con un tenedor.', '3\nAñade a la preparación los copos de avena y mezcla para obtener una masa maleable. La avena absorberá la humedad que le hayan quedado a las lentejas. Y, si no tienes avena, puedes reemplazarla por cualquier harina, por ejemplo, de garbanzos, de arroz o integral. Solo ten en cuenta que, si estás preparando esta receta para alguien con celiaquía, la harina que vas a utilizar no debe tener gluten, así como el resto de los ingredientes deben tener el logo correspondiente para asegurarte de que no están contaminados.', '4\nA continuación, prepara tu mesada con una hoja de film. Vuelca sobre ella la masa de lentejas y estírala con ayuda de tus manos y/o un palo de amasar con un grosor de aproximadamente medio centímetro. Resérvala.', '5\nProcesa las semillas de girasol que has remojado previamente con 1 cucharada sopera de aceite de oliva, 1 cucharadita de jugo de limón y condimentos al gusto. Te recomendamos comino, pimienta, ají molido y pimentón.', '6\nÚntalo sobre las lentejas que has estirado sobre el film.', '7\nAñade también las hojas de espinacas previamente lavadas. ¿Qué te está pareciendo esta receta de matambre vegano de lentejas?', '8\nY, por último, agrega los tomates que has hidratado. Asegúrate de retirarles el cabo, si es que tienen.', '9\nEnrolla tu matambre vegano ayudándote con el papel film y con las manos. Haz algo de presión para que no quede aire, pero con cuidado de no romperlo.', '10\nCiérralo cuidadosamente con el film y, si es necesario, agrega otra hoja más. Lleva este matambre a una olla con agua hirviendo y asegúrate de que no entra agua, así pues, brídalo con hilo de cocina para que mantenga su forma.', '11\nCocina el matambre vegano en abundante agua hirviendo por aproximadamente 20 minutos. Pasado ese tiempo, dale la vuelta y cocínalo 20 minutos más. Retíralo con cuidado de no quemarte. Llévalo a la heladera y déjalo enfriar unas 2 horas, de esta manera, tendrá más firmeza.', '12\nRetira los hilos y el film. Corta y sirve el matambre vegetariano en rodajas, puedes acompañarlo con una abundante ensalada con una rica vinagreta de mango. Cuéntanos en los comentarios qué te ha parecido esta receta vegana.']",,4 comensales,2h 30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Recomendada para perder peso', 'Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten', 'Receta sin sal', 'Recetas para Navidad']","['1 taza de lentejas crudas', '6 tomates deshidratados', '100 gramos de espinaca', '⅓ taza de semillas de girasol', '1 cucharadita de jugo de limón', '1 cucharada postre de comino', '1 cucharada postre de pimentón ahumado', '½ cucharada postre de ajo en polvo', '¼ cucharada postre de ají molido', '3 cucharadas soperas de copos de avena', '1 cucharada sopera de aceite de oliva']",https://www.recetasgratis.net/receta-de-matambre-vegano-75652.html
Frijoles de la olla,"Los frijoles son parte fundamental de muchos platillos de México, existen muchas recetas en los que se pueden incluir, ya que hay una gran variedad, además son muy económicos y rendidores. Es por eso que en esta ocasión queremos que aprendas la forma más sencilla y tradicional de preparar frijoles de la olla, te explicamos de una forma práctica los pasos a seguir.Sigue leyendo, al final de esta receta fácil te explicamos algunos de los beneficios que trae consumir esta deliciosa leguminosa. ¡A cocinar!","['1\nPreparar esta receta de frijoles de la olla es muy sencillo, así que vamos allá. Primero debes enjuagar muy bien los frejoles con un chorro de agua, para reducir el tiempo de cocción de los frijoles te recomendamos poner a remojar durante una noche o un mínimo 1 hora. Puedes omitir este paso, solo ten cuenta que podría demorar un poco más la cocción. Señalamos que los dos tipos de frijoles, los frijoles de bote o los frijoles naturales son aptos para esta receta casera.', '2\n¿Te preguntas cómo cocinar los frijoles? Pues bien, una vez remojados procede a pasarlos a la olla donde los cocinarás, retira el agua de los frijoles y vierte agua limpia. Señalamos que puedes usar una olla a presión, olla de barro u olla normal.', '3\nAgrega el trozo de cebolla, los dientes de ajo, la rama de epazote y una pizca de sal, tapa y deja cocinar. Si utilizas olla a presión en cuanto comience a soltar el vapor debes contar 30 minutos, y si utilizas olla normal deja cocinar aproximadamente 1 hora o hasta que estén blandos.', '4\nPasado el tiempo de cocción, retira la cebolla, los dientes de ajo y las hojas de epazote, comprueba de sabor y si lo crees necesario añade un poco más de sal. Deja hervir solo aproximadamente unos 5 minutos más y estarán listos. Sirve los frijoles, puedes disfrutarlos solos en su propio caldo o servirlos como guarnición de algún platillo. ¡A comer!']",,4 comensales,2h 30m,Acompañamiento,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas mexicanas']","['500 gramos de frijoles', '3 litros de agua', '1 trozo de cebolla', '2 dientes de ajo pelados', '1 pizca de sal al gusto', '1 rama de epazote fresco']",https://www.recetasgratis.net/receta-de-frijoles-de-la-olla-75447.html
Tortilla vegana de tofu,"La leche de soya es uno de los productos más consumidos en las dietas vegetarianas y veganas gracias a su gran aporte nutricional y a su versatilidad. Pues bien, con la leche de soya también se elabora el tofu, un alimento parecido al queso, con el tofu podemos elaborar una gran cantidad de recetas veganas.¿Te preguntas cómo hacer una rica tortilla vegana de tofu? No te pierdas esta receta y sigue nuestro paso a paso.","['1\nPara empezar a preparar la receta de tortilla vegana de tofu primero debes reunir todos los ingredientes necesarios. En la siguiente imagen puedes observar todos los ingredientes.', '2\nLava las verduras y luego ralla la zanahoria. También debes cortar en diagonal el cebollín y picar en cubos la papa cocida. Reserva todos los ingredientes.', '3\nCon la ayuda de un tenedor pisa el tofu hasta conseguir una masa compacta.\nTruco: podemos adicionar un chorro de salsa de soya para aportar sabor al tofu.', '4\nCalienta aceite en un sartén y saltea la zanahoria, el cebollín y la papa.', '5\nEn un recipiente mezcla el tofu y las verduras salteadas, agrega sal y pimienta.', '6\nEn un recipiente agrega la harina de garbanzo, la sal, la pimienta y un poco de agua hasta conseguir una mezcla homogénea.', '7\nEn un sartén antiadherente calienta el aceite y agrega la mezcla previamente mezclada. Dora por ambos lados aproximadamente 3 minutos, ten cuidado de no romperla al momento de voltearla.', '8\n¡Ya está lista para comer esta deliciosa tortilla vegana de tofu! ¿Qué te ha parecido esta receta fácil vegana? Cuéntanos tu experiencia en los comentarios.']",,4 comensales,15m,,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']","['200 gramos de tofu', '1 zanahoria', '1 papa', '1 cebollín', '100 gramos de harina de garbanzo', '1 cucharadita de polvos de hornear', 'agua', 'sal', 'pimienta', 'aceite vegetal']",https://www.recetasgratis.net/receta-de-tortilla-vegana-de-tofu-75376.html
Hamburguesa de falafel,"El falafel es una receta tradicional de la cocina árabe, una mezcla triturada de garbanzo junto con otros ingredientes que a continuación te detallamos. Esta receta es muy atractiva por sus sabores característicos y por su gran aporte nutricional, ideal para quienes buscan una alimentación consciente y libre de ingredientes con origen animal. También es una gran alternativa a considerar cuando pensamos en la alimentación de los más pequeños del hogar.¿Te preguntas cómo hacer una hamburguesa de falafel? En RecetasGratis te proporcionamos todos los pasos que debes seguir para llevar a cabo este plato. ¡A cocinar!","['1\nPara empezar con la receta de hamburguesa de falafel, primero debes dejar el día anterior los garbanzos en remojo, recomiendo hacerlo con agua caliente.', '2\nReúne y limpia todos los ingredientes.\nTruco: escurre los garbanzos que el día anterior dejaste hidratando y reserva un poco del líquido restante.', '3\nEn un robot de cocina o licuadora tritura los garbanzos, la cebolla troceada, el ajo pelado y desvenado y las hojas de perejil y cilantro.Y si además, quieres aprender a elaborar unas ricas hamburguesas veganas de algas, sigue leyendo.', '4\nIncorpora el comino, la harina de garbanzo, los polvos de hornear, la sal y la pimienta. Debes licuar hasta conseguir una mezcla homogénea.', '5\nCon las manos debes dar forma a las hamburguesas árabes y llevar al refrigerador aproximadamente unos 15 minutos. En este paso acostumbro a incluir un poco de avena entera para sustituir al panko y al pan rallado. ¡Ya casi están listas las hamburguesas vegetarianas!\nTruco: la avena es un super alimento que aporta a nuestro organismo vitaminas, fibra, hidratos de carbono entre otros beneficios.', '6\nEn un sartén fríe las hamburguesas que has preparado hasta dorarlas.', '7\nSirve estas hamburguesas de falafel acompañadas de salsa mostaza agridulce. ¡A comer! ¿Qué te ha parecido esta receta de hamburguesas de falafel? Déjanos en los comentarios tu experiencia. Y si quieres complementar esta receta con un delicioso postre, no te pierdas esta receta de brownie vegano.']",,4 comensales,45m,Entrante,Dificultad baja,,['Recomendada para veganos'],"['300 gramos de garbanzos', '150 gramos de cebolla', '3 dientes de ajo', '1 cucharada sopera de cilantro', '1 cucharada sopera de perejil', '100 gramos de harina de garbanzo', '1 cucharadita de polvos de hornear', 'comino', 'ajo', 'sal de Cahuil', '2 chorros de aceite vegetal']",https://www.recetasgratis.net/receta-de-hamburguesa-de-falafel-75353.html
