title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Dip de garbanzos fácil,,"['1\nPara empezar a realizar nuestro dip de garbanzos fácil, el primer paso es prealistar todos los ingredientes.', '2\nLlevar los garbanzos aun bowl ( lo que yo realice y se observa en la foto fue aprovechar el mismo recipiente donde realice la pasta de ajo otra receta que la encuentran adjunta en la página de esta manera sacamos provecho a todos los ingredientes) con el zumo de limón y el ajo que se indica en los ingredientes.Esto lo procesamos con la ayudar de un mixer.', '3\nUna vez se procese nuestro dip de garbanzos fácil, añadimos el aceite de oliva, sal y pimienta al gusto.Porcesar de nuevo hasta integrar todos los ingredientes.', '4\nPor ultimo paso añadir la paprika y mezclar bien.Rectificar el sabor del dip de garbanzos fácil si necesita añadir un poco más de algún ingredientes no dude en hacerlo.Agregar el orégano para darle un sabor adicional.', '5\nServir nuestro dip de garbanzos fácil decorando con un poco de aceite de oliva y paprika encima.Este dip es ideal para cualquier tipo de reuniones pueden almacenarlo en la nevera llevando en un frasco de vidrio esterilizado, ideal también para acompañar con pan pita o palitos de zanahoria y apio.Si deseas mas recetas con garbanzos o de dips y tienes algún comentario o inquietud por favor escribanos.Disfrutar.']",Valoración: 4 (1 voto),"['300 gramos de garbanzo previamente cocinado.', '2 unidades de limones.', 'Media taza de caldo de pollo.', '15 gramos de orégano seco.', '80 ml de aceite de oliva.', '20 gramos de pasta de ajo.', 'Paprika.', 'Sal.', 'Pimienta.']",https://www.recetasgratis.net/receta-de-dip-de-garbanzos-facil-52780.html,,,,,,
Ratatoulli,,"['1\nPreparación:', '2\nEsta receta de Ratatouille, es una receta muy sencilla de hacer que aquí te enseñamos paso a paso. De hecho la receta de Ratatouille da nombre a la receta de la pelicula del mismo nombre.', '3\nLo primero que hemos de hacer es cortar las berenjenas y los calabacines en finas rodajas; la cebolla la pelamos y la cortamos en juliana, el ajito picadito muy fino, y el tomate igualmente en rodajas al igual que los pimientos. Seguidamente cogemos una bandeja para hornos, la engrasamos con aceite de oliva y vamos disponiendo en capas las verduras.', '4\nLe añadimos unos toques de sal y pimienta y lo introducimos en el horno a 180º durante unos 25 minutos. Para terminar, montaremos el plato poniendo en forma de espiral cada rodaja de verdura, le añadimos un chorrito de aceite y un poco de sal y listo.', '5\nYa tenemos esta conocida y sabrosa receta de Ratatouille.']",Valoración: 5 (1 voto),"['2 Berenjenas', '- 2 Calabacines', '- 1 Tomate grande', '- 1 Diente de ajo', '- 1 Cebolla', '- 1 Pimiento verde y uno rojo', '- Aceite de oliva y sal', '- Pimienta', '- Orégano']",https://www.recetasgratis.net/receta-de-ratatoulli-52712.html,,,,,,
Frijoles blancos a la turca,,"['1\nEsta es una versión muy sana y ligera de frijoles blancos a la turca, para prepararlos debes alistar primero todos los ingredientes.', '2\nEn la olla a presión cocinar los frijoles con abundante agua, con un cubo de caldo de gallina y hoja de laurel, durante una hora.', '3\nPicar el tomate en cuadros.', '4\nPasada la hora retiramos los frijoles de la olla y escurrimos, mezclamos en un recipiente junto con el tomate y el perejil finamente picado, agregar aceite de oliva sal y pimienta.', '5\nServir y degustar esta versión de frijoles blancos a la turca. Si te gusto esta receta déjanos tus comentarios.']",Valoración: 4 (4 votos),"['200 gr frijoles blancos', 'perejil', 'tomillo y laurel', 'sal', 'pimienta', 'cubo de caldo de gallina', 'un tomate grande', 'aceite de oliva']",https://www.recetasgratis.net/receta-de-frijoles-blancos-a-la-turca-52682.html,,,,,,
Hamburguesas de lentejas,"Con las lentejas no solo puedes hacer buenos potajes si que las puedes utilizar como ingrediente para infinidad de platos, como ejemplo las famosas hamburguesas veganas. En esta oportunidad, RecetasGratis.net te trae una receta paso a paso para que aprendas a cocinar unas hamburguesas de lentejas que le gustarán a todos en casa. Anímate y ¡a cocinar!","['1\nPara empezar a realizar nuestra receta de hamburguesas de lentejas, el primer paso es prealistar todos los ingredientes. Recuerda que debes hidratar las lentejas desde la noche anterior a la preparación.', '2\nLlevar las lentejas hidratadas a una olla mediana. Adicionar un poco de sal al gusto y cocinar a fuego medio-alto durante unos 20 a 30 minutos aproximadamente.', '3\nEscurre y deja que las lentejas se enfríen a temperatura ambiente. Adicionar la cebolla blanca en cascos y procesa todo con la ayuda de un mixer o una licuadora.', '4\nAdicionar la miga de pan, el perejil fresco, la pasta de ajo, una cucharada de orégano, sal, pimienta y 2 cucharadas de aceite de oliva. Procesar bien hasta que se integren los ingredientes de las hamburguesas de lentejas.', '5\nArmar las hamburguesas de lentejas y cocinarlas con un poco de aceite de oliva por lado y lado. Ten mucho cuidado al voltearlas para que se doren bien y no se desarmen.', '6\nServir las hamburguesas de lentejas acompañada por lo que desees, como por ejemplo un ceviche de aguacate o un par de rebanadas de pan.Si deseas más recetas de lentejas y tienes algún comentario o inquietud por favor escribanos. Disfrutar.']","Valoración: 4,6 (14 votos)","['300 gramos de Lentejas', '1 chorro de Aceite de oliva', '3 unidades de Cebolla blanca', '150 gramos de Migas de pan vegano', '1 pizca de Orégano seco', '1 cucharadita de Pasta de ajo', '100 gramos de Perejil fresco', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-hamburguesas-de-lentejas-52627.html,2 comensales,30m,Plato principal,Dificultad baja,,['Recomendada para veganos']
Lentejas estofadas con verduras,,"['1\nPara empezar a realizar nuestra receta de lentejas estofadas con verduras, el primer paso es prealistar todos los ingredientes.', '2\nLavar los tomates y cebolla, llevar aun procesador y triturar, por separado, hasta conseguir un puré de cada uno de estos ingredientes. Sigue el ejemplo de la foto.', '3\nAparte, lleva las lentejas a una olla con agua. Añadir laurel, tomillo, sal y pimienta al gusto. Cocinar a fuego medio hasta que nuestras lentejas estén blandas, aproximadamente durante 15 a 20 minutos.', '4\nAdicionar las verduras y dejar cocinar durante unos 10 minutos más. El mix de verduras consiste en diferentes tipos de verduras cortados en cuadros, puedes comprarlo congelado o mezclar al gusto, patatas, guisante, zanahorias, etc.', '5\nEn un sartén sofreír el puré de tomate y cebolla con un poco de aceite de oliva. Adicionar sal, pimienta y una cucharada de ajo en pasta.', '6\nA continuación, incorpora el chorizo español cortado en tiras a nuestro sofrito y apagar el fuego.', '7\nAñade el sofrito y el cilantro finamente picado a nuestras lentejas estofadas. El cilantro es el toque final que le dará un exquisito sabor a nuestra receta. Dejar conservar a fuego bajo durante diez minutos y apagar el fuego.', '8\nServir las lentejas estofadas con verduras decorando con una rama de tomillo fresco. Si deseas más recetas de lentejas y tienes algún comentario o inquietud por favor escríbanos.']",Valoración: 4 (4 votos),"['300 gramos de Lentejas (remojadas 12h. antes)', '100 gramos de Cilantro fresco', '2 unidades de Cebolla', '4 unidades de Tomate', '1 cucharada postre de Pasta de ajo', '100 gramos de Chorizo español', '1 hoja de Laurel fresco', '1 rama de Tomillo fresco', 'Mix de verduras', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-lentejas-estofadas-con-verduras-52617.html,4 comensales,30m,Plato principal,Dificultad baja,,"['Receta sin lactosa', 'Receta sin azúcar']"
Garbanzos estofados,,"['1\nPara empezar a realizar nuestra receta de garbanzos estofados, el primer paso es prealistar todos los ingredientes.', '2\nLavar los tomates y las cebollas. Picar muy finos y llevar a una olla a fuego medio con un poco de aceite de oliva. Sofreír bien los vegetales durante unos 5 minutos.', '3\nAdicionar los dientes de ajo finamente picados a nuestro sofrito para saborizar los garbanzos estofados.', '4\nAdicionar sal y pimienta al gusto y mezclar bien.', '5\nIncorpora los garbanzos a la preparación y cubre con suficiente agua. Si quieren pueden utilizar una olla a presión y la cocción será más rápida, de hacerlo en una olla normal deben dejar la preparación durante unos 40 minutos aproximadamente.', '6\nUna vez nuestra preparación de garbanzos estofados lleven 20 minutos de cocción adicionar la zanahoria rallada. Luego, pasados los 40 minutos de cocción se debe comprobar la textura de los garbanzos, deben quedar tiernos. Apagar el fuego y dejar enfriar la preparación', '7\nRetirar la mitad del caldo una vez frío y procesar para que la zanahoria se integre bien a los garbanzos estofados.', '8\nServir los garbanzos estofados espolvoreando perejil finamente picado encima. Y si te gustan los garbanzos también puedes prepararlos:Garbanzos salteadosHamburguesa de garbanzosSi deseas más recetas de garbanzos y tienes algún comentario o inquietud por favor escribanos. Disfrutar.']","Valoración: 4,5 (19 votos)","['300 gramos de Garbanzos (hidratados 12 horas antes en agua)', '1 unidad de Zanahoria', '4 unidades de Tomate maduro', '2 unidades de Cebolla blanca', '2 ramas de Cebolla larga o de verdeo', '1 chorro de Aceite de oliva', '2 dientes de Ajo', '1 pizca de Sal', '1 pizca de Pimienta', '1 cucharada sopera de Perejil fresco']",https://www.recetasgratis.net/receta-de-garbanzos-estofados-52603.html,3 comensales,30m,Entrante,Dificultad baja,,['Recomendada para veganos']
Lentejas con cerdo,,"['1\nLavar bien las lentejas y en una olla con agua y sal hervirlas hasta que ablanden y reduzca el agua,(que no queden muy líquida y ni muy secas) ligeramente espesas, mientras en una sartén sofreír la cebolla primero que quede cristalizada y retirarla poner aparte y luego en la misma sartén echar el ajo, dorar ligeramente retirar y echarlo a la cebolla apartada, cocina el cerdo, en la misa sartén con sal y pimienta dorar e incorporar la cebolla y el ajo que estaban apartados, agregarle el vino blanco esperar que se absorba un poco, apartar del fuego, una vez que la lentejas estén listas verter el cerdo en la olla de las lentejas, revolver muy bien y servir.Se acompaña con un buen pan campesino. Buen provecho!']",,"['1 kilo de lenteja', '500 gr. de cerdo (con un poco de grasa)', '1 cebolla(picadas en cubos)', '2 dientes de ajo(bien picaditos)', '1 taza de vino blanco para cocinar', 'Sal (al gusto)', 'Pimienta(al gusto)', 'Aceite de oliva']",https://www.recetasgratis.net/receta-de-lentejas-con-cerdo-52413.html,,,,Dificultad baja,,
Garbanzos con tocino de cerdo,,"['1\nPrealistar los ingredientes.', '2\nPicar el tocino en cuadros medianos. Reservar.', '3\nLlevar una olla a fuego medio, adicionar un chorrito de aceite y adicionar los cuadros de tocino. Dejar dorar muy bien.', '4\nLavar y picar las verduras como se observa en la foto.', '5\nAdicionar las verduras picadas al tocino dorado, sofreír durante unos minutos.', '6\nAdicionar los garbanzos y cubrir con suficiente agua. Adicionar las hojas de laurel y el tomillo. Dejar hervir durante unos 45 a 60 minutos si no tenemos olla a presión, si tenemos olla a presión estarán mucho mas rápido, acá lo realice en una olla normal para mostrar el paso a paso de los procedimientos. Apagar el fuego y revisar el punto de cocción de los garbanzos si están duros cocinar por 10 minutos más procurando que no se deshagan.', '7\nServir los garbanzos con tocino bañando con la salsa de la preparación. Disfrutar. Y si tienes garbanzos de sobra puedes probar a preparara unos deliciosos falafel de garbanzos.']","Valoración: 4,5 (4 votos)","['400 gramos de Garbanzos (hidratados desde la noche anterior)', '150 gramos de Tocino de cerdo', '2 unidades de Cebolla blanca', '4 unidades de Tomate medianos', '3 ramas de Cebolla larga', '2 hojas de Laurel', '1 pizca de Tomate seco', '1 pizca de Sal y Pimienta']",https://www.recetasgratis.net/receta-de-garbanzos-con-tocino-de-cerdo-52304.html,4 comensales,30m,Plato principal,Dificultad baja,,[]
Frijoles con chorizo de cerdo,,"['1\nCocer el frijol como se acostumbra y agregarle sal.Cuando estén cocidos, quitarle todo el caldo y molerlos a mano o con molino. (No licuar, quedaría como atole.)En un recipiente grande para poder menearlo fácilmente, colocar a derretir la manteca de cerdo.Cuando esté caliente, dorar las tres tortillas hasta tostarlas.Sacarlas y colocar en la grasa el chorizo, guisándolo hasta que este bien frito.Colocar en el recipiente el frijol molido y menear hasta integrarlo.Agregar la salsa Huichol y mezclar.Cuando el frijol, se despegue de la pared del recipiente, significa que ya “rindieron” y están listos para agregar el queso y el contenido de la lata de chiles jalapeños.Dejar hervir hasta que rindan y listo.', '2\nNOTAS:Para rendirlos, se deben batir constantemente para evitar que se peguen y quemen, mientras mas los menee, mejor quedará la consistencia y el sabor.']",,"['1 Kg de frijol azufrado', '¾ de kg de manteca de cerdo', 'tres tortillas', '½ kg de chorizo de cerdo', '1 lata chica de chiles jalapeños en rajas', '¼ de taza de salsa huichol nayarita', '¼ de kg de queso seco rayado.']",https://www.recetasgratis.net/receta-de-frijoles-con-chorizo-de-cerdo-52267.html,,,,Dificultad media,,
Lentejas con bacon y patata,,"['1\nPrealistar los ingredientes.', '2\nLavar el tomate y la cebolla larga y picarlos muy fino.Llevar una olla a presión a fuego medio, adicionar un poco de aceite y agregar la cebolla y el tomate.Sofreír.', '3\nAñadir la bacon o panceta en tiras.Sofreír por unos minutos más.', '4\nAdicionar la zanahoria rallada y el tomillo seco.Adicionar sal y pimienta al gusto, tambien un poco de la sal de ajo si se quiere cambiar la sal de ajo por dos dientes de ajo finamente picados', '5\nAdicionar las lentejas y las patatas cortadas en cuadros pequeños.Adicionar suficiente agua que las cubra.Cocinar a fuego medio durante 30 a 45 minutos hasta que estén blandos.', '6\nServir con un poco de queso parmesano encima.Disfrutar.']",Valoración: 4 (2 votos),"['300 gramos de lentejas remojadas', '150 gramos de bacon o panceta', '200 gramos de patatas amarillas', '200 gramos de cebolla larga o de verdeo', '5 unidades de tomates', 'Sal de ajo', 'Tomillo', '1 unidad grande de zanahoria', 'Sal', 'Pimienta']",https://www.recetasgratis.net/receta-de-lentejas-con-bacon-y-patata-52042.html,,,,,,
