title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Pizza cuatro quesos,"Esta receta es perfecta para aquellos amantes del queso porque combina sabores fuertes y aparte es crocante por la masa de la pizza. La pizza cuatro quesos es ideal para consumir acompañada de un vino tinto ya que estos poseen un alto grado de acidez y son muy aromáticos, lo que realzarán el sabor intenso de los quesos en nuestra pizza casera.","['1\nEn un bol añadir el agua tibia con la levadura seca y una pizca de azúcar, esperar 5 minutos hasta que la levadura se active.', '2\nAparte, en un bol añadir la harina de trigo, hacer un volcán con esta y en la parte de arriba espolvorear la sal (es importante que la sal no toque directamente la levadura ya que la puede desactivar y no va a leudar la masa) y en el centro agregar la levadura activada y el aceite de oliva.', '3\nMezclar todo añadiendo harina en el centro del volcán de a poco. Cuando tengamos una mezcla pareja, amasar durante 15 minutos hasta obtener una masa suave y homogénea. En un bol enharinado añadir la masa con un paño húmedo sobre ésta y dejar en una zona cálida, esperar a que leude la masa, aproximadamente 2 horas.', '4\nPasado este tiempo, en una superficie con harina, desgasificar la masa de pizza con los dedos (sacar todo el gas que se obtuvo durante el leudado) estirar la masa y doblar las esquinas hacia dentro. Con un pincel añadir un poco de la salsa napolitana y pincharla para que no se infle en el horno, prehornear durante 5 minutos a 200º C.', '5\nEs momento de agregar más salsa napolitana y las 4 clases de queso rallado, llevar al horno por 10 minutos más. Puedes variar alguno de los tipos de queso por tu opción favorita, como roquefort o gorgonzola.', '6\nfinalmente cuando la pizza cuatro quesos esté lista, porcionar y disfrutar. Puedes acompañarla con una ensalada fresca. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 5 (1 voto),8 comensales,2h 30m,Plato principal,Dificultad media,,"['Recomendada para vegetarianos', 'Recetas al horno', 'Recetas italianas']","['300 gramos de Harina de trigo', '5 gramos de Levadura seca', '2 cucharadas soperas de Aceite de oliva', '100 mililitros de Agua', '1 cucharadita de Sal', '150 gramos de Salsa napolitana', '30 gramos de Queso gruyere', '30 gramos de Queso cheddar', '30 gramos de Queso mozzarella', '30 gramos de Queso parmesano']",https://www.recetasgratis.net/receta-de-pizza-cuatro-quesos-56096.html
Lasaña de atún y verduras,"En esta receta traemos una opción muy saludable para que los niños puedan consumir dos grupos de alimentos muy importantes para su correcto desarrollo y que no acostumbran a querer, las verduras y el pescado. Los introduciremos en una deliciosa lasaña, bañada en abundante salsa bechamel. Ten en cuenta que puedes utilizar las verduras que desees, yo traté de adaptar las opciones que más consumen los niños. Veamos los ingredientes de esta suculenta receta y aprende con RecetasGratis.net a preparar lasaña de atún y verduras fácilmente.","['1\nEl primer paso para realizar esta receta de lasaña casera es prealistar los ingredientes.', '2\nVamos a cocinar los espárragos frescos. Para ello, debemos llevar una olla con suficiente agua a fuego alto y, una vez el agua esté a punto de ebullición, adicionar los espárragos con un poco de sal. Cocina durante unos 5 minutos aproximadamente y retíralos.', '3\nLleva una sartén a fuego medio, adiciona el aceite de oliva y saltea los champiñones.', '4\nAgrega los espárragos con un poco de sal y pimienta. Saltea durante algunos minutos más y apaga el fuego.', '5\nLleva las verduras que salteamos a un bol una vez estén frías, adiciona el maíz tierno y mezcla bien el relleno de la lasaña.', '6\nAdiciona el atún y mezcla muy bien con las verduras que se encuentran en el bol.', '7\nVamos a realizar cada una de las lasañas de manera individual, entonces llevamos una de las hojas de la lasaña a una refractaria previamente engrasada, cubre muy bien con salsa bechamel como se observa en la fotografía.', '8\nAñade un poco del relleno de la lasaña casera como se observa en la imagen, es importante que quede bien distribuido en toda la preparación. Recuerden que si desean pueden añadir más verduras que sean de su agrado.', '9\nCubre con queso mozzarella el relleno y adiciona otra hoja de lasaña encima.', '10\nBaña nuevamente la última capa con salsa bechamel, agrega queso mozzarella y queso parmesano. Lleva las refractarias individuales al horno a 180ºC hasta que el queso gratine.', '11\nCorta una tajada de la lasaña de atún y verduras y decora con unas puntas de espárragos. Recuerden si desean adicionar mas vegetales al gusto de cada uno de los cocineros pueden hacerlo. Puedes acompañar este plato con una ensalada templada, pollo a la plancha o lo que más te guste. Si deseas más recetas de pasta y tienes algún comentario o inquietud, escríbenos ¡Disfruta!']",Valoración: 5 (1 voto),4 comensales,1h 30m,Plato principal,Dificultad media,,['Recetas al horno'],"['8 unidades de Hojas de lasaña precocidas', '1 unidad de Salsa bechamel', '8 rodajas de Queso mozzarella', '1 lata de Maíz tierno', '1 lata de Atún', '250 gramos de Champiñones', '1 manojo de Espárragos frescos', '20 mililitros de Aceite de oliva', '150 gramos de Queso parmesano', '1 pizca de Sal', '1 pizca de Pimienta negra', '1 pizca de Orégano']",https://www.recetasgratis.net/receta-de-lasana-de-atun-y-verduras-56065.html
Pizza boloñesa,"La pizza es un plato clásico de la cocina italiana, consiste en un pan plano horneado por lo general delgado elaborado con distintos ingredientes y casi siempre con queso. La receta de hoy es una deliciosa pizza boloñesa casera que contiene salsa napolitana, carne picada, queso mozzarella y aceitunas negra, perfecta para compartir con la familia.","['1\nAntes de realizar esta receta de pizza casera, el primer paso es alistar todos los ingredientes.', '2\nEn un bol añadir el agua tibia con la levadura seca y una pizca de azúcar, esperar 5 minutos hasta que la levadura se active.', '3\nAparte, en un bol añadir la harina de trigo, hacer un volcán con ésta y en la parte de arriba espolvorear la sal (es importante que la sal no toque directamente la levadura ya que la puede desactivar y no va a leudar la masa) y en el centro agregar la levadura activada y el aceite de oliva.', '4\nMezclar todo añadiendo harina en el centro del volcán de a poco. Cuando tengamos una mezcla pareja, amasar durante 15 minutos hasta obtener una masa suave y homogénea. En un bol enharinado añadir la masa con un paño húmedo sobre ésta y dejar el bol en una zona cálida y esperar a que leude la masa, aproximadamente 2 horas.', '5\nAparte en una sartén con aceite de oliva, sofreír la cebolla cortada en cubos pequeños con la carne molida, cocinar durante 5 minutos, salpimentar.', '6\nCuando la masa haya leudado, en una superficie con harina, desgasificarla con los dedos (sacar todo el gas que obtuvo la masa durante el leudado), estirar la masa y doblar las esquinas hacia dentro, con un pincel añadir un poco de salsa napolitana y pincharla para que no se infle en el horno. Prehornear la pizza durante 5 minutos a 200 grados C.', '7\nEs momento de agregar más salsa napolitana, el queso mozzarella rallado, la carne molida y las aceitunas, hornear durante 10 minutos más a 200 grados C.', '8\nCuando la pizza boloñesa casera salga del horno, porcionar y disfrutar, es perfecta para la hora de la cena y si te gusta la pizza te recomiendo probar la pizza mexicana con aguacate. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 4 (4 votos),8 comensales,2h 30m,Plato principal,Dificultad media,,['Recetas al horno'],"['300 gramos de Harina de trigo', '5 gramos de Levadura seca', '2 cucharadas soperas de Aceite de oliva', '100 mililitros de Agua', '1 pizca de Sal', '150 mililitros de Salsa napolitana', '1 unidad de Cebolla blanca', '250 gramos de Carne molida', '150 gramos de Queso mozzarella', '50 gramos de Aceitunas negras', '1 pizca de Sal', '1 pizca de Pimienta', '30 mililitros de Aceite de oliva']",https://www.recetasgratis.net/receta-de-pizza-bolonesa-56067.html
Lasaña de carne y champiñones,"La lasaña es uno de los platos más populares de la gastronomía italiana. En esta ocasión, traemos una receta tradicional de lasaña de carne con champiñones, deliciosa y muy fácil de preparar. Vamos a ver el paso a paso que en RecetasGratis.net te enseñamos para elaborar esta increíble lasaña casera.","['1\nEl primer paso para realizar esta receta es prealistar los ingredientes de la lasaña casera.', '2\nVoy a realizar cada una de las lasañas en refractarias individuales. Así pues, colocamos una hoja de lasaña como base de la preparación y mojamos con salsa blanca o bechamel.', '3\nComo hemos dicho, vamos a realizar el relleno de la lasaña con carne. Entonces, llevamos una sartén a fuego medio, adicionamos un poco de aceite de oliva y, cuando esté caliente, agregamos la carne con sal y pimienta al gusto.', '4\nUna vez observamos que la carne está medio salteada, adicionamos los champiñones cortados en láminas y revolvemos bien para integrarlos con la carne picada.', '5\nAdicionamos un poco de pasta de ajo y tomillo al relleno para darle un toque de sabor. Dejamos saltear durante unos minutos más.', '6\nAdicionamos el vino tinto y dejamos conservar a fuego lento durante 10 minutos más, retiramos del fuego y ya estará listo el relleno de nuestra lasaña con champiñones.', '7\nAgregamos un poco del relleno encima de la hoja de lasaña previamente hidratada con salsa bechamel.', '8\nLuego, una tajada de queso mozzarella como se observa en la fotografía.', '9\nCubrimos la lasaña de carne con una hoja de pasta y más salsa bechamel o blanca encima, añadimos un poco más de queso mozzarella y, para terminar, queso parmesano para gratinar la preparación. Llevamos la lasaña al horno precalentado a 180ºC durante 15-20 minutos aproximadamente, o hasta que observes que está lista.', '10\nSirve la lasaña de carne cortando una rebanada de ella y bañándola con la salsa bechamel. Puedes acompañarla con una rica ensalada verde o caprese para seguir en la línea de las recetas italianas. Si deseas más recetas de pasta y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 3,2 (5 votos)",4 comensales,45m,Plato principal,Dificultad media,,"['Recetas al horno', 'Recetas italianas']","['500 gramos de Carne molida', '300 gramos de champiñones', '250 mililitros de Salsa blanca', '1 taza de Vino tinto', '12 unidades de Hojas de lasaña precocida', '15 rebanadas de Queso mozzarella', '150 gramos de Queso parmesano', '1 cucharada sopera de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta negra', '1 pizca de Pasta de ajo', '1 pizca de Tomillo']",https://www.recetasgratis.net/receta-de-lasana-de-carne-y-champinones-56049.html
Ñoquis con salsa de queso,Los ñoquis son un tipo de pasta italiana hecha a base de patata que tienen una textura suave y un sabor muy delicado. Con la receta de hoy aprenderás cómo hacer ñoquis y acompañarlos con una deliciosa una salsa de tres quesos de sabor intenso. Anímate y sigue esta receta paso a paso para elaborar la próxima comida en casa.,"['1\nAntes de realizar esta receta, el primer paso es alistar todos los ingredientes.', '2\nCocinar las patatas con cáscara en abundante agua durante 30 minutos, cuando estén listas retirar la piel y triturarlas hasta formar un puré.', '3\nMezclar el puré con el huevo, la harina cernida, sal y pimienta. Amasar durante unos minutos hasta obtener una masa suave y homogénea.', '4\nEn una superficie enharinada, formar cilindros con la masa y cortar pequeñas porciones. Luego, presiona un poco el tenedor sobre éstos para dar la forma tradicional a los ñoquis. Reserva.', '5\nCocinar los ñoquis en abundante agua hirviendo con sal, durante 4 minutos. Cuando estén flotando retirar y reservar.', '6\nPara la salsa de tres quesos, en un sartén con aceite sofreir la cebolla y el ajo cortado finamente durante unos minutos hasta que este translucida.', '7\nAgregar la crema de leche y la leche, mezclar muy bien, añadir el queso gruyere y el cheddar cortados en trozos, revolver hasta que se derritan los quesos.', '8\nFinalmente agregar el queso parmesano rallado, sal y pimienta. Mezclar y cocinar a fuego bajo hasta que espese, para que la salsa quede más homogénea, licuar unos minutos.', '9\nServir la pasta de patata y cubre con la salsa recién hecha. Esta preparación es perfecta para la hora del almuerzo, ya que los ñoquis con salsa de queso pueden resultar un poco pesados para la cena, sobre todo si prefieres cenar ligero. Si te ha gustado estareceta, tienes algún comentario o inquietud danos tu opinión.']",Valoración: 4 (2 votos),3 comensales,45m,Plato principal,Dificultad media,,['Recetas italianas'],"['1 unidad de Huevo', '200 gramos de Harina de trigo', '2 unidades de Patata', '50 gramos de Queso parmesano', '200 mililitros de Crema de leche (1 taza)', '100 mililitros de Leche', '1 unidad de Cebolla blanca', '2 unidades de Ajo', '1 pizca de Sal', '1 pizca de Pimienta', '30 mililitros de Aceite de oliva', '50 gramos de Queso gruyere', '50 gramos de Queso cheddar']",https://www.recetasgratis.net/receta-de-noquis-con-salsa-de-queso-56027.html
Mini pizzas sin horno,"Todos conocemos la pizza, es deliciosa pero porque no probar una receta casera y diferente, sin necesidad de encender el horno y hacer tantas preparativos.","['1\nEnciende tu estufa y pon a calentar la tortilla de harina. Si quieres hacer las tortillas de forma casera puedes revisarla receta de tortillas de trigo.', '2\nAgrega el puré de tomate y el queso desmenuzado. También puedes usar queso mozarella rallado. Si quieres, también puedes hacer la salsa siguiendo la receta de la salsa especial para pizzas.', '3\nUna vez que el queso empiece a derretirse añade el complemento que desees, puede ser jamón, champiñones, salchicha, anchoas, etc. Deja al fuego unos segundos y espolvorerá un poco de orégano.', '4\nDisfruta de estas mini pizzas caseras, ideales para cenar o cuando deses comer algo sencillo y rápido pero delicioso. Acompaña este plato con un batido de piña y coco y buen provecho.']",,1 comensal,15m,,Dificultad baja,,[],"['2 unidades de Tortilla de trigo', '2 cucharadas de postre de Puré de tomate', '2 puñados de Jamón troceado (opcional)', '100 gramos de Queso Oaxaca o asadero', '1 pizca de Sal', '1 pizca de Orégano']",https://www.recetasgratis.net/receta-de-mini-pizzas-sin-horno-55894.html
Raviolis rellenos de ricotta,"En esta receta vamos a realizar unos raviolis rellenos de ricotta con la masa de pasta fresca sin gluten. Vamos a realizar el relleno con un poco de albahaca fresca y nuez moscada, la cual dará un toque especial a nuestros raviolis. ¿Quieres conocer el paso a paso? Sigue leyendo y descubre con RecetasGratis.net cómo hacer pasta rellena de forma fácil.","['1\nEl primer paso para realizar la receta de raviolis rellenos es prealistar los ingredientes.', '2\nPrimero vamos a realizar el relleno de los raviolis. Para ello, llevamos el queso ricotta a un bol con las hojas de albahaca, licuamos o procesamos muy bien hasta que se integren los ingredientes.', '3\nUna vez procesados añade un poco de sal, pimienta y pasta de ajo.', '4\nPor último, añade la nuez moscada y mezcla bien, reservar el relleno para más adelante.', '5\nEstira la masa de pasta con un rodillo o máquina para pasta. Para hacer tu propia masa sin gluten, no te pierdas esta sencilla receta.', '6\nRellena los raviolis y cierra muy bien para que estos nos se abran durante la cocción.', '7\nLleva una olla a fuego medio con un poco de aceite de oliva y sal al gusto. Una vez esté el agua a punto de ebullición, añade la pasta fresca y deja cocinar hasta que esté al dente o en el punto de cocción deseado.', '8\nRetira la pasta fresca y lleva una sartén a fuego medio, adiciona un poco de aceite de oliva y agrega los raviolis cuando esté caliente.', '9\nAdiciona un poco de leche entera y crema de leche, si deseas puedes añadir vino blanco al gusto. Deja reducir esta salsa a fuego lento y apagamos cuando esté lista.', '10\nSirve los raviolis rellenos de ricotta con un poco de la salsa que realizamos en el ultimo paso, añade queso parmesano al gusto. Puedes acompañarlos con un delicioso salmón a la plancha o hummus de remolacha. Si deseas más recetas de pasta y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']",Valoración: 5 (1 voto),4 comensales,1h 30m,Plato principal,Dificultad media,,['Receta sin gluten'],"['1 unidad de Masa para pasta sin gluten', '1 manojo de Albahaca', '250 gramos de Queso ricotta', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Pasta de ajo', '2 cucharadas soperas de Aceite de oliva']",https://www.recetasgratis.net/receta-de-raviolis-rellenos-de-ricotta-55923.html
Masa para pasta fresca sin gluten,"Para todos los que solicitan a través de sus comentarios recetas para celíacos traemos una de las más básicas: la receta de masa para pasta fresca sin gluten. Vamos a ver el paso a paso y los ingredientes que necesitas y prepárate para disfrutar de una pasta casera, deliciosa y libre de ingredientes alérgenos como el gluten.","['1\nEl primer paso para realizar nuestra receta es prealistar los ingredientes para esta masa de pasta sin gluten.', '2\nEn un bol adiciona la harina y las semillas de chia. Las semillas chia no son un ingrediente imprescindible, pero lo he incluido porque aportan fibra, antioxidantes, calcio y proteínas entre otros muchos elementos beneficiosos para nuestra salud.', '3\nA continuación, añadimos la sal y los huevos mezclando muy bien todos los ingredientes hasta formar una masa uniforme.', '4\nAdiciona el aceite de oliva y el agua, y continua amasando. Lo ideal es que podamos amasar con las manos y no se nos pegue la masa. Para conseguir esta consistencia puedes añadir un poco más de harina.', '5\nLleva nuestra masa para pasta casera sin gluten a un lugar cálido y deja reposar durante 30 minutos.', '6\nPasado este tiempo ya tendremos lista una deliciosa masa para pasta sin gluten con la que podremos hacer todo tipo de pastas como raviolis con salsa de orégano y limón o raviolis rellenos de espinacas. No olvides comprobar que todos los ingredientes que utilices estén señalados como aptos para celíacos. Si deseas más recetas de pasta y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 3,9 (10 votos)",1 comensal,1h 30m,,Dificultad media,,['Receta sin gluten'],"['300 gramos de Harina de maíz (o la harina sin gluten de tu preferencia)', '1 cucharada sopera de Aceite de oliva', '2 unidades de Huevos', '1 taza de Agua (240 mililitros)', '1 pizca de Sal', '2 cucharadas soperas de Semillas de chia']",https://www.recetasgratis.net/receta-de-masa-para-pasta-fresca-sin-gluten-55922.html
Espaguetis con anchoas y aceitunas,"La pasta es uno de esos alimentos que pueden variar completamente sólo con aplicar una salsa. Con esta receta fácil haremos una salsa para pasta tradicional, una salsa napolitana casera hecha a base de aceitunas y anchoas. Evita la monotonía en la cocina y prepara algo diferente con los ingredientes que siempre tienes en casa.","['1\nAntes de realizar esta receta de pastas, el primer paso es alistar todos los ingredientes.', '2\nEn una olla con agua hirviendo, añadir los tomates haciéndoles una cruz con un cuchillo en la parte superior y cocinar por 5 minutos. Unas vez estén listos, pelar, licuar y reservar el jugo.', '3\nEn una olla con aceite, sofreír la cebolla finamente picada y el ajo macerado a fuego bajo hasta que la cebolla este translucida.', '4\nAgregar el jugo del tomate y la albahaca, cocinar a fuego medio hasta que hierva, aproximadamente 5 minutos.', '5\nCortar los champiñones en láminas, las aceitunas negras por la mitad y las anchoas finamente.', '6\nAgregar los champiñones y las aceitunas a la salsa, tapar y cocinar a fuego bajo durante 20 minutos. Transcurrido este tiempo, añadir una pizca de azúcar para regular la acidez del tomate.', '7\nFinalmente agregar las anchoas y mezclar todo muy bien, rectificar la sazón con sal y pimienta si es necesario. Recuerda que las anchoas son saladas, así que hay que tener cuidado con la sal al momento de usarla.', '8\nPara la pasta en una olla con agua hirviendo y una cucharadita de sal, agregar los espaguetis y cocinar durante 10 minutos hasta que estén al dentes, escurrir y reservar.', '9\nEs momento de servir los espaguetis con anchoas y aceitunas, espolvorea un poco de queso parmesano y acompaña con un poco de pan de ajo en la hora del almuerzo. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 2,3 (3 votos)",2 comensales,45m,Plato principal,Dificultad media,,[],"['300 gramos de Espaguetis', '1 lata de Anchoas', '2 cucharadas soperas de Aceitunas negras', '80 gramos de Champiñones', '4 unidades de Tomates rojos', '1 unidad de Cebolla blanca', '2 dientes de Ajo', '5 hojas de Albahaca', '30 mililitros de Aceite de oliva', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-espaguetis-con-anchoas-y-aceitunas-55893.html
Lasaña de mariscos fácil,"La lasaña o pasticho es un plato tradicional italiano que posee miles de variaciones. Cada familia la prepara a su gusto y con los ingredientes que deseen. En este caso presentamos el paso a paso de una versión muy famosa, la lasaña de mariscos. Una lasaña con un delicioso relleno de pescado, gambas y langostinos que sin duda todos disfrutarán.","['1\nPara empezar nuestra lasaña de mariscos, empezaremos por cocer las láminas de pasta en agua salada. Luego pásalas por agua fría, escurre y reserva sobre un paño de cocina.', '2\nAparte, haz un sofrito con las verduras previamente cortadas muy pequeño. Luego, pasados unos minutos, añade a la sartén los langostinos, las gambas y la merluza. Puedes trocear las gambas y procura desmenuzar el pescado para eliminar todas las espinas. Sazona con sal y pimienta y deja en el fuego hasta que todo se dore.', '3\nEn otra sartén prepara una salsa bechamel de forma tradicional y añade a la salsa una vez lista el queso. Remueve hasta que se integre el queso en la salsa. Sigue la receta de bechamel casera si no sabes cómo hacer esta salsa blanca.', '4\nA continuación, añade un poco de la salsa al relleno de mariscos y mezcla bien. Reserva el resto de la salsa.', '5\nPara montar la lasaña de mariscos utilizaremos una fuente de cristal especial para horno. Las capas se colocaran de la siguiente manera: láminas pasta, relleno y así sucesivamente hasta gastar los ingredientes, terminando con una capa de lasaña.', '6\nFinalmente baña toda la preparación con el resto de la salsa bechamel y añade una capa de queso para gratinar si deseas. Lleva al horno a temperatura media y cocina por unos 10 minutos hasta que se dore la parte superior.', '7\nSirve la lasaña de mariscos y comparte este deliciosos plato en familia. Puedes acompañar con una ensalada ligera de espárragos y manzana. Comenta esta receta y no olvides que puedes encontrar más platos como este en mi blog La Cocina de Juani.']",,8 comensales,30m,Plato principal,Dificultad baja,,['Recetas al horno'],"['230 gramos de Merluza desmenuzada', '2 cucharadas soperas de Harina', '1 unidad de Cebolla', '200 gramos de Gambas', '200 gramos de Langostinos', '8 láminas de Lasaña', '80 gramos de Queso rallado', '1 pieza de Sal', '2 unidades de Tomate', '1 unidad de Zanahoria', '1 cucharada sopera de Mantequilla', '½ litro de Leche', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-lasana-de-mariscos-facil-55865.html
