title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Sardinas fritas rebozadas,"En esta ocasión os traigo para compartir con RecetasGratis unas sardinas fritas rebozadas, un pescado que no puede faltar en nuestra dieta por sus nutrientes y sobre todo, por el omega 3 que lleva y lo esencial que es para nuestro cuerpo.Ahora en verano se consumen mucho las sardinas fritas con ajo y perejil, ya es un buen tiempo para consumirlas como tapas o entrantes en los bares de playa. Esta vez las he preparado como gusta mucho en casa: adobo las sardinas con un poco de un aceite de ajo y perejil y luego las frío. También las he limpiado de espinas porque así es más fácil comerlas, y para los niños también.No te pierdas mi sardinas rebozadas sin huevo porque están para chuparse los dedos y disfruta de muchas otras recetas en mi blog Cocinando con Montse.","['1\nEmpezaremos a preparar esta receta de sardinas fritas rebozadas limpiando el pescado: para ellos, les quitaremos las cabezas y las tripas, las limpiamos de escamas, las abrimos por la mitas y quitamos la espina central y la de los lados de todas las sardinas. Las secamos bien.', '2\nUna vez todas limpias, vamos colocando las sardinas en un plato.', '3\nEn un bol o un vaso de batidora colocamos los 100 ml de aceite de oliva, los 3 ajos y el perejil.', '4\nCon la batidora trituraremos todos estos ingredientes bien. Así las sardinas rebozadas sin huevo estarán mucho más sabrosas.', '5\nCon una brocha de cocina, iremos untando con este aceite las sardinas. Podemos dejar reposar un ratito los filetes de sardinas marinadas con esta mezcla en la nevera para que cojan más sabor aún si lo preferimos.', '6\nPor otro lado, ponemos en un bol la harina, y ponemos una sartén con abundante aceite a calentar.', '7\nPasamos las sardinas marinadas por la harina.', '8\nCuando el aceite de la sartén esté caliente iremos friendo las sardinas rebozadas en tandas.', '9\nTendremos un plato con papel de cocina preparado e iremos poniendo las sardinas rebozadas sin huevo encima para que escurran el aceite a medida que estén listas.', '10\nPondremos las sardinas fritas rebozadas en una fuente y las acompañaremos con una ensalada griega por ejemplo.¡A comer!']",Valoración: 4 (1 voto),4 comensales,30m,Plato principal,Dificultad baja,,[],"['1 kilogramo de Sardinas', '1 paquete de Harina para rebozar pescado', '100 mililitros de Aceite de oliva', '3 unidades de Ajos', '1 puñado de Perejil', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-sardinas-fritas-rebozadas-62229.html
Boquerones fritos adobados,"Los boquerones en vinagre son una de las tapas más populares en los bares españoles, pero lo cierto que es también se pueden hacer boquerones fritos.Pues bien, hoy vamos a preparar boquerones fritos pero con un sabor extra, ya que los vamos a marinar en un rico adobo de vinagre, pimentón dulce y ajo. Esta típica receta es muy sencilla, en casa nos gusta mucho y los preparo continuamente, son unos boquerones buenísimos con un ligero sabor al adobo que los hace ideales como aperitivo o entrante de una comida.Los boquerones fritos adobados que estás a punto de preparar te gustarán tanto que seguro querrás repetir, así que no dudes en guardar esta receta en tus favoritos.","['1\nPrimero de todo limpia los boquerones quitando la cabeza y las tripas, también puedes pedir que te los limpien en la pescadería, seguro que te los limpiarán.Si lo haces tú cógelos de la cabeza y estira hacia abajo para sacar todas las tripas y enjuágalos bien. Sécalos y sálalos.Para preparar el adobo pon en un bol el vinagre, añade los dientes de ajo pelados y cortados en láminas. Echa el pimentón y el orégano y mezcla bien.\nTruco: Para hacer boquerones en adobo es mejor que los compres grandecitos, si son muy pequeños no quedan tan sabrosos.', '2\nYa tenemos el pescado limpio y el adobo hecho, entonces el siguiente paso será poner los boquerones en una fuente y bañar por encima con el adobo. Remueve con cuidado para que el pescado se mezcle bien con los sabores.Deja en reposo entre 60-90 minutos para que coja el sabor del adobo.Pasado ese tiempo escurre bien y pasa por harina cada boquerón.', '3\nPara cocinar los boquerones fritos, primero sacude bien para que solo quede una capa fina de harina. Entonces, junta de 3 boquerones en 3 por la colita y fríe en abundante aceite caliente por tandas para que no se enfríe el aceite.Pásalos a un plato con papel absorbente para que suelten el aceite sobrante.', '4\nLos boquerones fritos adobados puedes tomarlos fríos o recién hechos, como más te gusten!! Preséntalos con un trozo de limón y prepara otras tapas para combinar como unas croquetas de pollo asado y unos pingüinos de olivas negras. Ahora solo te queda contarnos qué te ha parecido la receta y consultar tus dudas, así que dejes de hacer tus comentarios y visitar mi blog Mandarinas y miel. ¡Espero que te guste!']","Valoración: 4,5 (2 votos)",6 comensales,1h 30m,Entrante,Dificultad baja,,[],"['1 kilogramo de Boquerones frescos', '125 mililitros de Vinagre', '3 dientes de Ajo', '1 cucharada sopera de Orégano', '1 cucharadita de Pimentón dulce', '1 chorro de Aceite de oliva virgen', '1 pizca de Sal', 'Harina para rebozar']",https://www.recetasgratis.net/receta-de-boquerones-fritos-adobados-62002.html
Salmón a la naranja y miel,"El salmón es uno de los pescados más apreciados en todo el mundo, por su exquisito sabor y múltiples beneficios para la salud. Entre todos ellos, destaca su elevado aporte de omega 3, proteínas y vitaminas. Para aprovecharnos de todas sus propiedades, lo más recomendable es cocinarlo al horno o a la plancha, evitando emplear grandes cantidades de grasa. Por ello, a continuación se propone una sencilla receta de salmón a la plancha con naranja y miel, ¿te animas?Quédate en RecetasGratis y descubre cómo hacer salmón a la naranja y miel, una receta fácil y deliciosa.","['1\nSalpimentar el salmón al gusto para empezar a realizar la receta. Para la preparación, se puede emplear uno o dos lomos de pescado, en función del número de comensales.', '2\nCon un poco de aceite en la sartén o plancha, dorar las piezas de pescado o la pieza.', '3\nMezclar la miel con el zumo de naranja y las especias. Luego, verter la salsa obtenida sobre los lomos de salmón y dejar que reduzca hasta que el pescado quede caramelizado.', '4\nSi queremos que el salmón a la naranja y miel coja mucho más sabor, podemos marinarlo con la mezcla antes de cocinarlo. También se puede cambiar la naranja por mandarina o limón si se desea. Cuando esté listo, lo servimos de inmediato acompañado de patatas al horno.']",Valoración: 5 (4 votos),2 comensales,30m,,Dificultad baja,,[],"['2 Lomos de salmón', 'Aceite de oliva', '2 cucharadas soperas de Miel', 'Zumo exprimido de una naranja', '1 pizca de Eneldo', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salmon-a-la-naranja-y-miel-62152.html
Tartar de atún con tomate y aguacate,"El tartar de atún es un plato muy conocido y consiste en presentar el pescado crudo, marinado con cítricos y por lo general, con una salsa picante, cortado en trozos pequeños.El atún en si es un pescado muy sano, tiene muchos ácidos grasos omega 3 y vitamina C, así que incluir en nuestra dieta siempre será un acierto. Ahora, si lo queremos incluir con cierta elegancia, nada mejor que añadir en nuestro menú este rico tartar de atún con tomate y aguacate, un plato que llamará la atención y que dejará a todos muy contentos.","['1\nReunimos todos los ingredientes y empezamos por picar finamente la cebolla y los pepinillos. Puedes hacer el corte a mano o usar un pica todo para hacerlo. Mezclamos y reservamos.', '2\nAparte picamos el atún en dados pequeños y regulares. Un buen tartar se diferencia en el corte del ingrediente principal, en este caso lo mejor es hacerlo a mano con un cuchillo bien afilado, procurando que los trozos sean lo más regular posible.Cuando lo tengamos, lo mezclamos con la cebolla y el pepinillo. Sazonamos con la salsa soja y añadimos salsa picante al gusto.', '3\nPicamos el aguacate en trozos pequeños, más o menos del mismo tamaño que los del atún o ligeramente más grandes. Sazonamos aparte el aguacate con sal y el zumo de limón.También picamos el tomate siguiendo las mismas instrucciones, añadimos un punto de sal y reservamos.', '4\nPara armar la presentación del tartar, utilizamos un aro de emplatado y ponemos primero una capa de aguacate, luego el tomate y por último la mezcla del atún.Al retirar el aro se deben distinguir las tres capas por colores, verde, rojo y rojo oscuro.', '5\nEste tartar de atún con tomate y aguacate es una entrada perfecta aunque su la ración es grande, puedes servirlo como plato principal. Acompaña con pan tostado o galletas saladas y listo. Y si de comer pescado marinado se trata, no dejes de probar un buen ceviche de pescado o el tartar de salmón ahumado, ¡te gustarán tanto como esta receta de atún!']",Valoración: 4 (1 voto),3 comensales,15m,Entrante,Dificultad baja,,[],"['500 gramos de Atún', '100 mililitros de Salsa de soja', '2 Aguacates', '1 Limón', '1 cucharada sopera de Aceite', '2 Tomates', '1 Cebolleta', '10 Pepinillos', '1 cucharadita de Siracha o Tabasco', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-tartar-de-atun-con-tomate-y-aguacate-62135.html
Pastel de atún sin pan de molde,"El pastel de atún es un plato que siempre agrada tanto a grandes como a pequeños, por su agradable sabor y textura. En general, acostumbra a elaborarse con pan de molde y mayonesa, creando un plato frío perfecto para las épocas de calor e ideal para servir a modo de entrante. Sin embargo, puede suceder que no dispongamos en ese momento de dichos ingredientes y, por ende, creamos que no podemos disfrutar de un delicioso pastel de atún. ¡Pues eso se acabó! En RecetasGratis descubrirás la forma de elaborar un increíble pastel de atún sin pan de molde, ¿te animas?","['1\nLo primero que se debe hacer para empezar a preparar el pastel de atún sin pan de molde es cortar la cebolla y el pimentón en brunoise. Luego, sofreír la cebolla, el pimentón y el perejil en las dos cucharadas de aceite de maíz. Retirar del fuego cuando estén hechos los ingredientes.', '2\nEn un bol pequeño, añadir el atún desmenuzado, incorporar los huevos, el queso rallado, la fécula de maíz y el sofrito anterior. Mezclar todos los ingredientes y sazonar con sal y pimienta al gusto.', '3\nVerter la mezcla del pastel de atún en un molde refractario previamente engrasado con mantequilla y llevar al horno a 250 °C hasta que al introducir un cuchillo, el mismo salga seco.', '4\nEste pastel de atún sin pan de molde se puede servir frío o caliente, puesto que su sabor es delicioso de ambas formas.', '5\nSi quieres conocer otras recetas de pastel de atún fáciles y deliciosas para variar, no te pierdas estas que te proponemos:Pastel de atún al microondasPastel de patata y atún']",,4 comensales,30m,,Dificultad baja,,[],"['2 latas de Atún en agua', '1 Cebolla', '½ Pimentón', '2 cucharadas soperas de Perejil picado', '2 cucharadas soperas de Mantequilla', '3 Huevos', '2 cucharadas soperas de Fécula de maíz', '½ taza de Queso rallado parmesano', '2 cucharadas soperas de Aceite de maíz', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-pastel-de-atun-sin-pan-de-molde-62125.html
Dorada al horno con limón y patatas,"Sabemos que el pescado no puede faltar en nuestra dieta, así que si quieres incluir en tu menú un plato lleno de sabor y saludable, te recomendamos probar hoy mismo esta receta de dorada al horno.El pescado al horno es muy fácil de hacer, el secreto está en sabor sazonarlo correctamente y cocinar en conjunto algunas verduras para que todo se bañe con el sabor del pescado. Pues bien, en esta ocasión usaremos limón y un toque de vino para darle al plato ese gusto especial.La receta de dorada al horno con limón y patatas es realmente buena y sobre todo, muy fácil de hacer así que no pierdas detalle de las instrucciones paso a paso.","['1\nPara hacer este plato de pescado al horno lo primero que tenemos que hacer es preparar una bandeja apta para horno cubriendo el fondo con un chorrito de aceite. Aprovechamos y encendemos el horno a 200 ºC para precalentar.', '2\nEn la mesa de la cocina alistamos las verduras. Lavamos y cortamos la patata en rodajas finas la cebolla y el limón mientras que el pimiento lo cortamos en juliana.', '3\nColocamos las patatas junto con la cebolla y los pimientos en la bandeja para el horno, en ese orden formando una cama. Sazonamos con un poco de sal y un chorro de vino blanco.Metemos dentro y cocinamos durante unos 25-30 minutos calor arriba y abajo.', '4\nMientras se hacen las verduras preparamos las doradas. Para ello ponemos en un mortero algo de sal y los dientes de ajo. Machacamos bien y añadimos aceite y perejil, movemos esa mezcla y untamos con esto todo el interior del pescado.', '5\nLuego le hacemos unos cortes transversales a la dorada, tal como se enseña en la receta de dorada frita y allí se le pone una pizca de sal y las rodajas de limón. Luego ponemos por encima un poco más de la mezcla de aceite perejil, sal y ajo.', '6\nUna vez terminado el tiempo de cocción de las verduras, cuando las patatas estén hechas, colocamos el pescado sobre la cama de verduras asadas y cocinamos en el horno unos 15 minutos.', '7\nLa dorada al horno con limón y patatas es un plato saludable y perfecto para toda la familia. De esta forma el pescado adquiere mucho sabor y las verduras quedan realmente buenas, si te animas puedes seguir este mismo procedimiento para cocinar otro tipo de pescados similares.Como guarnición, desde RecetasGratis te recomendamos preparar un poco de arroz con cilantro o un poco de cuscús con verduras. ¡Buen provecho!']",Valoración: 5 (1 voto),2 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para perder peso', 'Recetas al horno']","['2 Doradas', '1 Patata grande', '1 Cebolla', '1 trozo de Pimiento', '2 dientes de Ajo', '1 Limón', '1 chorro de Aceite', '1 pizca de Sal', '1 chorro de Vino', '1 manojo de Perejil']",https://www.recetasgratis.net/receta-de-dorada-al-horno-con-limon-y-patatas-62072.html
Bacalao con salsa de limón,"Hoy toca cocinar pescado y lo que haremos será un rico pescado con salsa de cítricos usando solo limón y un poco de crema. El pescado que usaremos será bacalao, un pescado blanco con bajo contenido en grasa y que además nos beneficia con importante aporte de vitaminas. Vamos entonces con la receta del bacalao con salsa de limón y disfruta cocinando de forma fácil y rápida con las recetas que nos llegan desde la comunidad de usuarios de RecetasGratis.","['1\nAntes de ponernos con la preparación de nuestros filetes de bacalao en salsa debemos alistar los ingredientes. Entonces, ralla la cáscara de limón y exprime para reservamos el zumo y la ralladura por separado, también pica la cebolla finamente.', '2\nCalentamos un poco de aceite en una cacerola o en una olla de fondo grueso. Cuando esté caliente, freímos los filetes de bacalao sellando por ambos lados. Una vez listos, retira de la olla y reserva.', '3\nA continuación, en esa misma sartén sofreímos la cebolla con una pizca de sal hasta que esté bien pochada. Añade un poco de más de aceite si es necesario.Pasados unos minutos añadimos la ralladura de limón y removemos todo durante unos minutos.', '4\nPara terminar de hacer la salsa de limón, añadimos el zumo del limón a la preparación y dejamos que evapore un poco. Luego incorporamos la nata y mezclamos los ingredientes muy bien hasta ligar.', '5\nEn este punto pondremos los filetes dentro de la cacerola con la salsa y mantendremos la cocción a fuego medio durante unos minutos para que absorban un poco la salsa y tengan más sabor.', '6\nA la hora de servir nuestro bacalao en salsa de limón, ponemos el pescado en el centro del plato y bañamos con la salsa por encima. ¡A disfrutar!Como guarnición puedes preparar unas patatas panaderas o un arroz con cilantro.']",,2 comensales,45m,Plato principal,Dificultad baja,,[],"['1 Limón (zumo y ralladura)', '½ Cebolla', '2 filetes de Bacalao', '200 mililitros de Nata para montar o Crema de leche', '1 pizca de Sal', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-bacalao-con-salsa-de-limon-61974.html
Receta fácil y saludable,"Si tienes ganas de comer un buen trozo de un rico pastel de pescado, aquí te traemos una receta fácil y rápida que seguro te gustará pues se trata de la famosa receta de budín de jurel con avena.El budín de jurel es un plato muy popular, es económico y muy rico al que puedes añadir o quitar los ingredeientes que quieras. Se trata, básicamente, de un pastel de pescado hecho con jurel (también llamado escribano o chicharro), huevo, avena y verduras, todo sazonado a gusto. Es una excelente opción para una comida familiar o de domingo.El jurel, también es conocido como chicharro o escribano, es un pescado azul que contiene grasas saludables y se considera una fuente de proteínas de alto valor biológico. Como con todos los pescados azules, son muchos los beneficios que puedes obtener de integrarlos a tu alimentación; contiene grasas saludables, es considerado una fuente de proteínas de alto valor biológico y nos aporta vitaminas y minerales esenciales. Por ello, esta vez te enseñamos cómo hacer budín de jurel al horno para que descubras y disfrutes su sabor y sus aportes.","['1\nPrepara el jurel y desmenúzalo. Saca las espinas, piel y restos que pueda tener, lo puedes lavar un poco para disminuir el sodio contenido.También recuerda que puedes seguir esta misma receta para hacer un rico pastel de pescado utilizando cualquier otro pescado que puedas conseguir fácilmente.\nTruco: puedes hacer esta receta también con judel en tarro.', '2\nLava los vegetales, córtalos en cuadros pequeños y ralla la zanahoria.', '3\nEn una sartén con un poco de aceite sofríe los vegetales a fuego medio. \nTruco: Si no quieres usar aceite puedes usar agua.', '4\nCuando se ablande la cebolla, sazona con sal y pimienta a gusto. Precalienta el horno a 200 °C.', '5\nEn un bol mezcla el jurel con el sofrito de vegetales. Esta mezcla será el relleno de nuestro budín de jurel fácil.', '6\nAñade la avena y el huevo, revuelve bien hasta que todos los ingredientes se integren.\nTruco: puedes hacer el budín de jurel con harina, harina de avena o pan rallado.', '7\nDistribuye la mezcla en recipientes aptos para horno previamente engrasados. Espolvorea el queso para gratinar y mete al horno por 30 minutos o hasta que estén dorados por arriba. El tiempo de cocción es un poco al gusto según la textura que quieras para tu budín de pescado. La capa superior debe quedar completamente tostada.', '8\nEspera unos minutos después de sacar el budín de jurel del horno, sirve y disfruta con unas tajadas de plátano y una ensalada César tradicional, ¡buen provecho!Si quieres conocer más recetas con jurel, no dudes en probar nuestras recetas empanadas de jurel y hamburguesa de jurel.']","Valoración: 4,8 (4 votos)",2 comensales,45m,Plato principal,Dificultad baja,,['Recetas al horno'],"['1 cebolla', '1 zanahoria', '300 gramos de jurel', '4 cucharadas soperas de avena', '1 huevo', '1 pimentón rojo o morrón (opcional)', '1 puñado de cilantro (opcional)', '4 cucharadas soperas de queso para gratinar (opcional)', 'Sal al gusto']",https://www.recetasgratis.net/receta-de-budin-de-jurel-al-horno-61906.html
Hamburguesa de salmón con aguacate y queso crema,"¿Sin ideas para la cena? ¡Pues anota esta que comparto a continuación! Se trata de un bocadillo de hamburguesa completo, con un contraste de sabores y texturas que te encantará y sorprenderá. Para hacerlo, me he decantado por una hamburguesa de salmón, por su suave sabor y aporte de ácidos grasos omega 3, vitaminas y minerales. Para acompañarla, he seleccionado aguacate, queso crema y otros ingredientes que detallo más abajo.¿Te animas a probar esta receta? Sigue leyendo y descubre en RecetasGratis el paso a paso para aprender a preparar esta deliciosa hamburguesa de salmón con aguacate y queso crema.","['1\nLo primero que debemos hacer para agilizar el trabajo es dejar listos los ingredientes. Para ello, lavamos bien la lechuga, retiramos la cáscara del aguacate y el hueso, y cortamos en rebanadas. Así mismo, cortamos el tomate en rodajas.', '2\nCocinamos las hamburguesas de salmón a la plancha con un chorrito de aceite de oliva. Para aprender a preparar tus propias hamburguesas, no te pierdas la receta de hamburguesas de salmón que se encuentra en RecetasGratis, ¡es muy sencilla!', '3\nMientras se cocinan las hamburguesas, abrimos los panecillos por la mitad y los tostamos ligeramente para que el bocadillo quede más crujiente. Puedes comprar el pan que más te guste de la panadería, o consultar la receta de pan de hamburguesa casero. Una vez tostado, cogemos la base del pan y colocamos sobre él una cama de lechuga troceada al gusto.', '4\nSobre la lechuga, situamos dos o tres rodajas de tomate, ¡a tu gusto! En función de los sabores que quieras realzar, deberás decidir la cantidad final de cada ingrediente, aunque nosotros consideramos que siempre es mejor pasarse un poco que quedarse corto, ¿no crees?', '5\nAhora, colocamos la hamburguesa de salmón caliente y, sobre ella, untamos una capa de queso crema generosa. Nosotros nos hemos decantado por un queso crema suave tipo Philadelphia, pero tú puedes escoger el queso crema que más te guste.', '6\nSobre el queso, espolvoreamos cebolla frita. Como ves, hemos empleado cebolla muy crujiente, pero cebolla caramelizada también encaja a la perfección con esta hamburguesa de salmón con aguacate.', '7\n¡Ha llegado el turno del aguacate! Añade todas las rodajas de aguacate que desees sobre la cebolla, teniendo en cuenta que este es un producto que en poca cantidad, apenas se aprecia.', '8\nCerramos la hamburguesa de salmón con aguacate y queso crema con la tapa del panecillo y la degustamos acompañada de patatas chips, una ensalada de rúcula..., ¡lo que más nos guste! Si te ha gustado, no dudes en dejar tu comentario, y si has hecho alguna modificación, indícamelo también para probarla. ¡Buen provecho!']",,2 comensales,15m,Cena,Dificultad baja,,[],"['2 Hamburguesas de salmón', '1 Aguacate', '1 Tomate', '1 cucharada sopera de Cebolla frita', '4 hojas de Lechuga', '2 Panecillos', 'Queso crema']",https://www.recetasgratis.net/receta-de-hamburguesa-de-salmon-con-aguacate-y-queso-crema-61818.html
Merluza al horno fácil y rica,Pescado... Seguro que más de uno escucha (o lee como en este caso) la palabra y lo recorre un escalofrío. Personalmente no entiendo por qué tiene tantos detractores si las recetas de pescado al horno bien cocinado están deliciosas. Es cierto que a veces cuesta hacerlo porque es frágil y acaba rompiéndose y llega a la mesa con un aspecto no demasiado apetecible pero la receta de merluza al horno en bolsa que esta vez comparto en RecetasGratis es sencilla y rápida y queda más que buena... Y si os digo que ni el horno se ensucia... ¿verdad que os apetece probar esta merluza al horno fácil y rica? ¡No olvidéis pasar por mi blog Los dulces secretos de Cuca donde encontraréis más recetas rápidas y sencillas!,"['1\nLo primero que vamos a hacer para preparar esta merluza al horno fácil y rica es poner en un vaso el vino, el aceite, la pastilla de caldo desmenuzada, el perejil, el ajo, la sal y la pimienta y mezclamos con una cucharilla (como si estuviéramos removiendo en azúcar del café) para que quede todo bien mezclado.\nTruco: También se puede añadir un chorrito de zumo de limón.', '2\nEn una bolsa apta para horno ponemos los filetes de merluza y vertemos el contenido del vaso. Cerramos la bolsa y agitamos para que todos los filetes queden bañados por la mezcla.', '3\nIntroducimos los filetes de merluza al horno para niños en la zona central precalentado a 180 ºC y los horneamos durante unos 25-30 minutos o hasta que veamos que la merluza está hecha.\nTruco: Yo utilizo filetes de merluza congelados sin piel ni espinas y los pongo directamente congelados en la bolsa. Si no están congelados tardarán mucho menos en hacerse.', '4\nSacamos los filetes de merluza del horno y servimos. Cuidado al abrir la bolsa que sale mucho vapor muy caliente.Podemos acompañar esta merluza al horno fácil y rica con una ensalada de patatas por ejemplo y tendremos listo en un pispás una comida sana y saludable.\nTruco: El jugo que queda en la bolsa de la merluza al horno baja en calorías se puede utilizar para hornear otros pescados o bien colado para eliminar los restos del perejil como base para algún caldo.']","Valoración: 3,8 (5 votos)",2 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para perder peso', 'Recetas al horno']","['600 filetes de Merluza sin piel ni espinas congelados', '1 chorro de Aceite de oliva virgen extra', '100 mililitros de Vino blanco', '1 pastilla de Caldo de pescado', '1 pizca de Pimienta negra molida', '1 pizca de Ajo molido en polvo', '1 cucharadita de Perejil seco', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-merluza-al-horno-facil-y-rica-61597.html
