title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Pie de Limon,,"['1\n1. Triturar las galletas maría y derretir la mantequilla, añadir a las galletas colocar en el fondo de el moldo y meter en la nevera.2. Agregar la leche condensada, la crema de leche, el juego de los 4 limones en la licuadora hasta que quede una mezcla homogénea.3. Rayar 1 cascara de limón evitando rayar la zona blanca, ya que puede quedar agrio.4. Agregar el sobre de gelatina sin sabor con dos cucharadas de agua, revolver dejar que seque y meter al microondas por 30 segundos.5. Agregar unas cucharadas de la mezcla a la gelatina para evitar un cambio drástico de calor y agregar gradualmente, volver a licuar.6. Agregar a ralladura de limón y revolver. Agregar la mezcla al molde y dejar en la nevera aproximadamente por 3 horas.Y listo!']",Valoración: 4 (2 votos),,,,Dificultad baja,"['15 paquetes de galletas Maria', 'media barra de mantequilla', 'Un tarro de crema de leche', 'Un tarro de leche condensada', '4 limones', '1 sobre de gelatina sin sabor']",https://www.recetasgratis.net/receta-de-pie-de-limon-53132.html,,
Macarrones franceses,"Seguro has visto estas delicias en alguna pastelería y no sabías su nombre, pues se trata de los macarrones franceses, un postre ideal para tomar con el té o a la hora de la merienda, con infinidad de colores y sabores. No te asustes por la cantidad de pasos y ponte manos a la obra. Los macarrones franceses son unos sándwiches dulces de merengue, crocantes y suaves con rellenos que puedes hacer a tu gusto.","['1\nBate las claras con una pizca de sal hasta formar picos, utiliza preferiblemente una batidora eléctrica. Luego añade el azúcar, primero una cucharada de azúcar, luego el resto en dos mitades sin dejar de batir a velocidad alta hasta que se integren todo por completo y la mezcla tenga una tonalidad brillante.', '2\nA continuación añade las almendras molidas con ayuda de una espátula de forma envolvente. Luego divide la mezcla en tazones diferentes, según la cantidad de colorantes que tengas e incorpora 1 o 2 gotas de colorante en cada tazón para tener masas de colores distintos. Ten cuidado con el colorante porque suelen ser bastante fuerte, echa primero una gota y si crees que es necesario echa otra.', '3\nColoca papel para hornear en una bandeja y forma pequeños círculos de 2 centímetros de diámetro con la masa ayudándote con una manga pastelera. Repite el procedimiento con todas las mezclas que tengas y procura no usar la misma manga para no mezclar los colores de los macarrones franceses.', '4\nPrecalienta el horno a 170 °C. y antes de cocinar deja los macarrones en reposo durante media hora.', '5\nMientras iremos preparando el relleno. Para ello, bate la mantequilla hasta conseguir una crema, luego agrega el azúcar y sigue batiendo hasta conseguir una mezcla homogénea. Incorpora la vainilla, la crema y bate de nuevo hasta que la mezcla tenga una consistencia ligera y esponjosa.', '6\nDivide esta crema entre cuatro tazones diferentes. Incorpora la cocoa, ralladura de limón, pistachos y mermelada de fresa en cada uno de los tazones, a fin de tener cuatro sabores y reserva. Recuerda que puedes hacer los macarrones con el relleno que prefieras así que en este paso lo dejamos a tu elección.', '7\nLlega la hora de cocinar los macarrones, recuerda que han debido reposar 30 minutos. Llévalos al horno precalentado durante 14 minutos aproximadamente. Deben quedar crocantes sin llegar a quemarse. Una vez hechos deja reposar en la misma bandeja hasta que se enfríen a temperatura ambiente.', '8\nFinalmente unta el lado plano de cada macarrón con uno de los relleno. Puedes combinar los rellenos con los colores que tenga cada macarron, por ejemplo los verdes con el relleno de pistacho y los marrones con chocolate. Ve armando todas las piezas como si fueran un sándwich.', '9\nDisfruta de estos deliciosos macarrones franceses al momento o conserva en la nevera dentro de un recipiente hermético. Si estas preparando una mesa de dulces para un cumpleaños estas otras recetas te pueden interesar:Bolitas de chocolateBocaditos infantilesCakepops de oreo']","Valoración: 4,5 (4 votos)",40 comensales,45m,Postre,Dificultad media,"['6 unidades de Clara de huevo', '1 pizca de Sal', '400 gramos de Azúcar glas', '250 gramos de Almendra molida', '2 gotas de Colorante vegetal', '350 gramos de Azúcar glas', '240 gramos de Mantequilla suavizada', '1 cucharada postre de Estracto de vainilla', '2 cucharadas soperas de Crema para batir', '1 cucharada sopera de Ralladura de limón', '1 cucharada sopera de Pistacho triturado', '1 cucharada postre de Cocoa en polvo', '1 cucharada sopera de Mermelada de fresa']",https://www.recetasgratis.net/receta-de-macarrones-franceses-53129.html,,['Recetas al horno']
Postre de frutas para niños,"Una receta rápida, nutritiva y terrorífica. Sigue el paso a paso que en RecetasGratis.net te ofrecemos para aprender a elaborar esta postre de frutas para niños y sírvela durante la cena de Halloween. Con estos fantasmas de plátano conseguirás que consuman este alimento tan beneficioso para su organismo, a la vez que se divierten disfrutando de una de las noches más esperadas del año.","['1\nPara empezar a realizar nuestra receta de halloween el primer paso es prealistar todos los ingredientes.', '2\nPelar los kiwis y cortar en rodajas, una vez tengamos las rodajas cortar a la mitad y llevar a un plato. Colocar las media lunas en forma de serpiente como se observa en la foto.', '3\nA continuación, pelar y cortar los plátanos a la mitad. Coloca los plátanos como se ve en la fotografía. Las porciones son un plato por persona.', '4\nCon el frosting de dulce decorar nuestros fantasmas de plátano realizando ojos y boca de la manera que usted más desee.', '5\nAgregar azúcar blanca en la parte inferior de los plátanos y si tenemos un flambeador derretir el azúcar hasta formar un caramelo como se observa en la foto. Estos flambeadores se consiguen en tiendas de repostería o cocina especializada, son muy útiles.', '6\nServir los fantasmas de plátano para Halloween una vez terminemos de flambear el azúcar. Si deseas más postres de frutas para niños y/o tienes algún comentario o inquietud por favor escríbenos. ¡A disfrutar!']","Valoración: 4,8 (4 votos)",5 comensales,15m,Postre,Dificultad baja,"['5 unidades de Plátano o Banana', '5 unidades de Kiwi', 'Decoración', '1 bote de Frosting dulce para pasteles', '1 vaso pequeño de Azúcar blanca']",https://www.recetasgratis.net/receta-de-fantasmas-de-platano-53126.html,,[]
PERAS DULCES AL LICOR,,"['1\nHERVIR EL AGUA CON LA CANELA, CUANDO SUELTE EL HERVOR, PONER LA CANELA, DEJAR HERVIR UNOS MINUTOS, AGREGAR EL AZULCAR, Y DEJAR HERVIR, UN POCO DESPUES, AGREGAR LAS PERAS, PELADAS Y PARTIDAS A LA MITAD, , TAPAR SI LO DESEAS, DEJAR HERVIR 1/2 HORA, AGREGAR UN LITRO DE VINO TINTO PARA COCINAR NO TIENE QUE SER CARO, O BIEN ALGUN LICOR COMERCIAL QUEDA MUY BIEN SI CONSIGUES UNA BOTELLA DE LICOR DE ZARZAMORA ! DEJAR HERVIR TODO MAS O MENOS 1 HORA, O HASTA QUE LAS PERAS SE SIENTAN SUVES POR FUERA, Y FIRMES POR DENTRO, SERVIR CON UN ADORNO DE CREMA CHANTILLY, (TENEDOR Y CUCHILLO ) mmm ES UNA DELICIA !']",,,,,Dificultad baja,"['4 PERAS VERDES (NO MADURAS) PELADAS CON SU RABO Y PARTIDAS EN DOS', '1/4 DE AZULCAR MASCABADO', '3 RAJAS DE CANELA', '1 LT. DE AGUA']",https://www.recetasgratis.net/receta-de-peras-dulces-al-licor-53121.html,,[]
Fantasmas de merengue para Halloween,"El merengue es un tipo de crema pastelera muy versátil, con la que podemos elaborar infinidad de figuras. Por ello, en RecetasGratis hemos decidido preparar estos fantasmas de merengue para Halloween, uno de los postres fáciles para niños con los que podrás sorprender a los más pequeños y darle un toque de dulzor a la terrorífica noche de brujas.Aunque sabemos que no es lo ideal ofrecer a los niños muchos postres con azúcar, al ser esta una de las noches más esperadas, precisamente, por la cantidad de caramelos, golosinas y dulces que recogen, ¿por qué no darles este capricho? ¡Les encantará la idea! Sigue leyendo y descubre con nosotros cómo hacer fantasmas de merengue.","['1\nAntes de realizar los fantasmas de merengue para Halloween, el primer paso es alistar todos los ingredientes.', '2\nBatir las claras de huevo a punto de nieve y añadir unas gotas de esencia de vainilla.', '3\nAgregar poco a poco el azúcar y batir hasta obtener un merengue, asegurarse que los granos de azúcar se disuelvan completamente.', '4\nAñadir el merengue a una manga pastelera y en un molde de silicona hacer la forma de fantasma, llevar al horno a 100ºC durante 2 horas, apagar el horno y dejar que los merengues se enfríen.', '5\nUna vez estén listos, con la nutella simular los ojos y la boca, también se pueden realizar con chocolate derretido, ideal para los niños en Halloween. Si te ha gustado esta receta de fantasmas de merengue, tienes algún comentario o inquietud, danos tu opinión.Y si quieres descubrir otras elaboraciones sencillas para esta noche tan especial, revisa las siguientes:Galletas de mantequilla para HalloweenMagdalenas de araña para Halloween']","Valoración: 4,8 (12 votos)",4 comensales,30m,Postre,Dificultad media,"['2 unidades de Claras de huevo', '6 cucharadas soperas de Azúcar blanco', '1 pizca de Esencia de vainilla', 'Nutella']",https://www.recetasgratis.net/receta-de-fantasmas-de-merengue-para-halloween-53097.html,,['Recetas al horno']
Manzanas de caramelo rojo,"¿Quién no ha comido de niño unas manzanas de caramelo? Pues bien, ahora compartimos la receta paso a paso para que aprendas a hacer este postre con manzana tan típico y sorprendas a todos en casa, a los mayores con un buen recuerdo o a los más pequeños con algo nuevo.","['1\nPara empezar a realizar nuestra receta de manzanas de caramelo rojo, el primer paso es prealistar todos los ingredientes.', '2\nEn una olla adicionar el agua y el azúcar para poder realizar el caramelo para las manzanas.', '3\nLlevar la olla con la mezcla del agua y el azúcar a fuego medio-alto y esperar a que se reduzca nuestra mezcla, de esta manera obtendremos el caramelo.', '4\nAñadir unas gotas de colorante rojo al caramelo para que tome el color que necesitamos para nuestra preparación.', '5\nMientras se realiza nuestro caramelo, lavar las manzanas y quitarles el tallo. Con mucho cuidado ponerle los palos de madera a cada una de las manzanas, tal como se ve en la foto.', '6\nUna vez obtengamos el caramelo, bañar las manzanas cubriendo bien por todas partes. Luego deja enfriar las manzanas sobre una bandeja de silicona o con papel encerado.Debemos tener cuidado cuando manipulamos caramelo pues es uno de los alimentos más peligrosos de manipular ya que como se realiza a altas temperaturas, quemarse con esto es fatal así que mucho cuidado en el momento de su manipulación.', '7\nServir nuestras manzanas de caramelo rojo y utiliza tu imaginación para decorarlas al gusto. Y si quieres continuar con los postres tradicionales de las ferias, también puedes probar con las famosas palomitas dulces.Si deseas más recetas con manzanas y tienes algún comentario o inquietud por favor escribanos. Disfrutar esta deliciosa receta.']","Valoración: 4,8 (5 votos)",5 comensales,15m,Postre,Dificultad baja,"['5 unidades de Manzana verde o roja', 'Colorante rojo para comida', '5 unidades de Palos de madera largos', '2 tazas de Agua (480 mililitros)', '150 gramos de Azúcar blanca']",https://www.recetasgratis.net/receta-de-manzanas-de-caramelo-rojo-53081.html,,[]
Parfait de frutas y cereal,,"['1\nPara empezar a realizar nuestra receta de parfait de frutas y cereal, el primer paso es prealistar todos los ingredientes.', '2\nLo ideal es lavar toda nuestras frutas, la primera fruta que vamos a utilizar es el durazno, lo picamos en cuadros medianos como se observa en la foto y adicionarla en el fondo del vaso de vidrio.', '3\nLavar nuestras fresas y retirar el tallo, picar en laminas y adicionar en el vaso de vidrio.', '4\nPelar nuestro kiwi y cortarlo en tajadas, para adicionarlo en los vasos cortar en la mitad las rodajas y mezclar con los pasos anteriores.', '5\nBañar las frutas que tenemos en el vaso con el yoghurt.', '6\nAdicionar la manzana verde y la pera en cuadros medianos y decorar cada uno de los vasos con una fresa en el borde de estos.', '7\nPor ultimo adicionar nuestra granola y servir nuestra receta de parfait de frutas y cereal, es importante que se emplate en vasos de vidrio para observar los colores y la presentación es más linda. Si deseas mas recetas con fruta o cereal y tienes algún comentario o inquietud por favor escribanos. Disfrutar esta deliciosa receta.']","Valoración: 4,6 (5 votos)",5 comensales,10m,,Dificultad baja,"['3 unidades de manzana verde.', '3 unidades de pera.', '4 kiwis.', '4 duraznos pequeños.', '10 unidades de fresas grandes.', '500 ml de yoghurt (del sabor que desee)', 'Miel de abejas.', '250 gramos de granola.', '5 vasos de vidrio grandes.']",https://www.recetasgratis.net/receta-de-parfait-de-frutas-y-cereal-53074.html,,[]
Muffins de chocolate para niños,"En esta receta preparemos un sencillo cementerio de chocolate, un postre para Halloween con muffins decorados. Sigue leyendo el paso a paso que en RecetasGratis.net te detallamos de unos deliciosos muffins de chocolate para niños y sorprende a los más pequeños con estas terroríficas y deliciosas tumbas.","['1\nPara empezar a realizar nuestra receta de muffins de chocolate para niños, el primer paso es prealistar todos los ingredientes.', '2\nEn un bol mezclar todos los ingredientes secos (harina de trigo, cocoa, azúcar y sal). Pasa la preparación por un colador para que nuestra mezcla quede más fina.', '3\nAdiciona uno a uno los huevos y mezcla con un batidor de mano, hasta obtener una masa homogénea y sin grumos.', '4\nVierte la masa de los muffins en los moldes. Precalienta el horno a 200ºC y, cuando esté caliente, introduce los muffins, baja la temperatura a 160ºC y hornéalos durante 15-20 minutos.', '5\nUna vez fríos, retira del horno las magdalenas de chocolate y llévalos a un plato. Luego, decorar el plato con las nueces picadas de manera que simule las piedras de un cementerio.', '6\nDecora con el frosting rojo cada uno de los muffins de chocolate para niños con una cruz, simulando una tumba. ¡Y listo! ¿Fácil verdad? Si quieres más recetas para Halloween, no te pierdas los siguientes aperitivos:Dedos de momiaHuevos rellenos de arañas']",Valoración: 4 (4 votos),6 comensales,30m,Postre,Dificultad baja,"['200 gramos de Harina de trigo', '80 gramos de Cocoa en polvo', '1 pizca de Esencia de vainilla', '3 unidades de Huevos', '50 gramos de Aceite de girasol', '1 pizca de Sal', '150 gramos de Azúcar blanco', 'Frosting rojo dulce', 'Nueces procesadas']",https://www.recetasgratis.net/receta-de-muffins-de-chocolate-para-ninos-53034.html,,['Recetas al horno']
MOUSE DE FRESAS,,['1\nEmpezamos lavando cortando las fresas.Las ponemos en una cazuela cazuela con el azúcar y ponemos a fuego por 10-15 minutos.mientras tanto preparamos la base machucando las galletas con la mantequilla fundida y la mermelada y ponemos en la base del molde.Añadimos a la cazuela en que cocinamos las fresas y el yogur natural y el sobre de gelatina y retiras del fuego.Batimos esto durante 5 minutos para que coja aire la mezcla llevamos a la nevera por 2 o 3 horas a la hora de des moldar decoro con el resto de fresas y mermelada'],"Valoración: 3,3 (3 votos)",,,,Dificultad baja,"['2.cucharadas de mantequilla.', '2.cucharadas de mermelada de fresas.', '500 gramos de fresas.', '1.sobre de gelatina sin sabor.', '2.cucharadas de azúcar.', '1 taza de yogur natural.', '100 gramos de fresas para decorar.', 'galletas a tu gusto.']",https://www.recetasgratis.net/receta-de-mouse-de-fresas-53032.html,,
Turrones de harina y azúcar,"Estos turrones de harina y azúcar están especialmente diseñados para deleitar a los más pequeños de casa durante las fiestas de Navidad. ¿A quién no le gusta ver a un niño sonreír? Sin duda, estas fechas son muy especiales para ellos y somos nosotros los adultos quienes debemos garantizar su felicidad. Quédate en RecetasGratis.net y descubre el paso a paso para aprender a preparar estas bolas de turrón.","['1\nTamiza la harina junto con la maicena y forma un volcán sobre la mesa de trabajo. En el centro coloca el polvo para hornear, los huevos, el azúcar, la vainilla, sal, la crema entera y empieza a amasar. Aparte, pon a hervir en agua los tomates durante un rato, apartálos del fuego y deja que se enfríen para utilizar el agua.', '2\nAñade el agua de los tomates cuando esté fría para dar textura y sabor a la masa. Deberás añadir el agua poco a poco para incorporar solo la cantidad necesaria. El resultado debe ser una masa suave, que no se pegue en las manos y homogénea.', '3\nSi notas que la masa se queda pegada en las manos o no es suficientemente suave, añade un poco más de harina cernida y sigue amasando. Una vez que la masa esté firme, divídela en dos partes y refrigéralas durante 10 minutos envueltas en papel film.', '4\nPasado el tiempo, amasa de nuevo y forma bolitas con las manos del tamaño de una pelota de matatena o de un bombón. Coge un rallador de zanahoria para darle textura rugosa a las bolitas de masa y pon una sartén con aceite a calentar.', '5\nCuando el aceite esté caliente, fríe las bolitas y dales la vuelta cuando veas que se empiezan a dorar por abajo. Deja que se enfríen y prepara el escarchado. Para ello, coge una olla honda grande y pon a hervir una taza de agua, tres de azúcar y una rama de canela. Cuando empiece a hervir, deja la mezcla en el fuego hasta que veas que espesa y se forma burbujas. Retira el caramelo del fuego y cubre los turrones con él.', '6\nSirve los turrones de harina y azúcar cuando estén fríos. Si quieres conocer más tipos de turrón, no te pierdas el turrón de almendras o el turrón de chocolate.']","Valoración: 4,6 (5 votos)",4 comensales,45m,Postre,Dificultad baja,"['1 barra de Chocolate', '1½ kilogramos de Harina de trigo', '½ kilogramo de Maicena', '1 litro de Crema entera', '1 taza de Azúcar (200 gramos)', '3 cucharaditas de Vainilla', '1 cucharadita de Polvo para hornear', '1 pizca de Sal', '5 unidades de Huevos', '12 unidades de Tomates verdes (la cáscara)', '2 litros de Aceite para freír', '1 paquete de Azúcar para escarchar', '1 pizca de Canela']",https://www.recetasgratis.net/receta-de-turrones-de-harina-y-azucar-51159.html,,['Recetas para Navidad']
