title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Mermelada de frutillas,"A todos, o casi todos, nos gustan las fresas y una forma genial de conservarlas es haciéndolas en mermelada. En RecetasGratis.net ten enseñamos a preparar una estupenda mermelada casera que podrás utilizar para desayunos, postres o incluso para hacer un bonito regalo. Sigue el paso a paso y disfruta de la mermelada de frutillas.","['1\nPrealistar todos los ingredientes para hacer la mermelada casera. Ten en cuenta que para hacer esta mermelada de frutillas puedes utilizar azúcar blanco o moreno.', '2\nEn un bol o tazón hondo adicionar las frutillas (ya lavadas y sin la rama verde) junto con el azúcar. Dejar macerar durante 24 horas, es importante respetar este lapso de tiempo pues el almíbar que sale es esencial para la elaboración de esta receta de mermelada.', '3\nPasadas las 24 horas observamos el liquido o almíbar que sale de las frutillas.', '4\nLlevar las frutillas a una olla honda y empezar a cocinar a fuego medio.', '5\nUna vez esté en punto de ebullición, vemos que va saliendo como una espuma, retira esta espuma con ayuda de una cuchara para eliminar las impurezas de la preparación.Entonces, adiciona la menta y deja cocinar durante 10 -15 minutos aproximadamente.', '6\nRetirar del fuego y dejar enfriar la mermelada. Retirar las hojas de menta si le adicionamos.', '7\nUna vez frío adicionar a un frasco de vidrio y cerrar. Esta deliciosa mermelada de frutilla es ideal para para regalar en Navidad a nuestros familiares y amigos. Servir y disfrutar.']","Valoración: 4,8 (6 votos)",1 comensal,30m,,Dificultad baja,,[],"['500 gramos de Frutilla o fresas', '250 gramos de Azúcar (1¼ tazas)', '1 puñado de Hojas de menta']",https://www.recetasgratis.net/receta-de-mermelada-de-frutillas-51106.html
Mousse de chocolate y galletas,"El mousse de chocolate y galletas es un postre ideal para servir de forma individual para una cena elegante o una reunión familiar. Con esta receta paso a paso te enseñaremos cómo conseguir una mousse cremosa y con esa textura única, así que no pierdas detalle a las explicaciones.","['1\nFundimos el chocolate al baño María para poder empezar a preparar la mousse.', '2\nSeparamos las yemas de las claras y batimos las yemas con el azúcar.', '3\nYa fundido el chocolate, se lo añadimos a las yemas y el azúcar.', '4\nBatimos las clara a punto de nieve y se lo añadimos a la mezcla.', '5\nA continuación, la nata montada y mezclamos despacio para que no se baje.', '6\nPara la base de la mousse, machacaremos las galletas. Puedes utilizar galletas María o similares.', '7\nLe añadiremos la mantequilla fundida.', '8\nDespués un chorrito de ron y mezclamos bien. Este ingrediente es opcional, si el postre de chocolate lo van a consumir niños mejor elimínalo de la receta.', '9\nPonemos la base de galleta en una copa.', '10\nA continuación la mousse de chocolate, reservamos en el frigorífico para que cuaje y servimos bien frío.']",Valoración: 5 (7 votos),2 comensales,4h,Postre,Dificultad media,,[],"['500 gramos de Nata montada', '3 unidades de Huevos', '200 gramos de Chocolate negro', '100 gramos de Azúcar (½ taza)', '10 unidades de Galletas digestivas', 'Ron', '125 gramos de Mantequilla']",https://www.recetasgratis.net/receta-de-mousse-de-chocolate-y-galletas-51100.html
Nata montada para postres,"No hay nada como hacer nata montada casera mucho más sabrosa y saludable parar preparar nuestros postres preferidos. Por eso en RecetasGratis vamos a enseñarte esta receta de nata montada con la que podrás elaborar multitud de recetas tanto dulces como saladas si no le echas azúcar, porque en este caso le hemos añadido azúcar para que sea una nata montada para postres perfecta.¡Anímate y pruébala! Verás lo sencilla de hacer que es.","['1\nEn primer lugar, preparamos todos los ingredientes para hacer esta receta de nata montada para postres.', '2\nLuego metemos la nata en el congelador durante media hora, y aparte, en un bol ponemos hielo y agua porque muy importante mantener la nata fría durante toda la preparación, sino tardaremos mucho más en hacer la nata montada.', '3\nDespués ponemos la nata en otro bol o en una cazuela de aluminio y lo colocamos encima del hielo y el agua. A este procedimiento se le llama ""baño maría invertido"".', '4\nEmpezamos a batir subiendo y bajando las varillas para que le entre aire a la nata fría. También podemos hacer la nata montada con una batidora eléctrica ya que tardaremos mucho menos tiempo, sobre todo si tenemos más cantidad para montar.', '5\nCuando la nata esté a punto de nieve, añadimos el azúcar y seguimos batiendo hasta acabar de hacer la nata montada casera.', '6\nYa montada la nata, la reservamos en la nevera hasta que la vayamos a utilizar para que no se baje ni se corte. Esta es la manera clásica de hacer la nata montada para postres, pero si prefieres, puedes poner el bol que vayas a utilizar para montarla y la nata en el frigorífico algunas horas antes y no tendrás que utilizar el ""baño maría invertido"".Estas son algunas de las recetas que te recomendamos donde puedes utilizar la nata montada casera:Buñuelos de nataFresas con nata casera']","Valoración: 4,1 (8 votos)",2 comensales,30m,Acompañamiento,Dificultad baja,,[],"['½ litro de Nata líquida 35% M.G.', '200 gramos de Azúcar (1 taza)', 'Hielo']",https://www.recetasgratis.net/receta-de-nata-montada-para-postres-51099.html
Flan de huevo en moldes individuales,"El flan de huevo en moldes individuales es un postre perfecto para fiestas infantiles o incluso para vender. En esta receta paso a paso te enseñaremos a preparar un flan de huevo tradicional pero lo haremos en moldes pequeños, todos ellos con su base de caramelo, para que presentes un flan en porciones más pequeñas.Y si te gusta comer flan no olvides que en RecetasGratis puedes encontrar una enorme variedad de recetas de flan, de muchos sabores distintos, a baño María, sin horno, fríos y muchos más.","['1\nPara preparar este rico flan de huevo rápido y sencillo necesitaremos solo cuatro ingredientes. Reúne todo en la mesa de trabajo para agilizar el proceso.El caramelo lo puedes hacer fácilmente calentando azúcar, visita la receta de caramelo líquido con la explicación paso a paso para hacer de forma casera.', '2\nEmpezamos por batir los huevos hasta unir por completo las claras y las yemas. El resultado debe ser una mezcla homogénea, utiliza un bol amplio para poder añadir el resto de ingredientes.', '3\nA continuación, añadimos el azúcar y continuamos batiendo hasta que se disuelva por completo.', '4\nPara terminar con la masa de nuestro flan de 6 huevos, incorporamos la leche y continuamos mezclando hasta obtener una mezcla suave y sin grumos.Si quieres, puedes añadir un poco de vainilla o ralladura de limón al flan de huevo.', '5\nComo ya tenemos la mezcla lista, lo que haremos ahora es preparar los moldes individuales para los flanes, colocando una base de caramelo líquido.', '6\nVacía la mezcla de flan en cada uno de los moldes, procurando no llenarlos del todo y colócalos todos en una bandeja de horno un profunda para poder cocinarlos a baño María.', '7\nPara cocinar a baño María, coloca uno o dos dedos de agua en la bandeja y cocina durante 45-50 minutos a 150ºC.Al igual que sea hace con los bizcochos caseros, puedes comprar que los flanes individuales están listos pinchando uno con un palillo.', '8\nPasado este tiempo, deja que enfríen a temperatura ambiente y entonces reserva en la nevera hasta la hora de servir.Desmolda el flan de huevo en moldes individuales y decora con algo de fruta o nata montada.']","Valoración: 4,7 (3 votos)",20 comensales,1h 30m,Postre,Dificultad baja,,[],"['1 litro de Leche', '6 Huevos', '250 gramos de Azúcar (1¼ tazas)', 'Caramelo liquido']",https://www.recetasgratis.net/receta-de-flan-de-huevo-en-moldes-individuales-51080.html
Cómo hacer caramelo líquido casero,"El caramelo líquido se emplea para múltiples elaboraciones de postre, siendo los flanes los más populares. Podemos comprarlo ya hecho o prepararlo nosotros mismos en la comodidad del hogar, una opción, además, mucho más económica.En RecetasGratis te explicamos todos los trucos para hacer caramelo líquido perfecto y sin complicaciones. Verás que queda con una textura y un color increíbles, ¡como si llevaras toda la vida haciendo esta receta! Sigue leyendo y descubre cómo hacer caramelo casero, ¡te encantará!","['1\nPrepara todos los ingredientes para poder preparar el caramelo con azúcar. Con las cantidades anteriores podrás usar el caramelo para hacer 18-20 flanes aproximadamente.', '2\nPon en una cazuela el azúcar y caliéntalo a fuego bajo. Nosotros utilizamos azúcar blanco común.', '3\nLuego, vierte el agua sobre el azúcar. También puedes hacer caramelo con azúcar sin añadir agua, que quedará más espeso todavía. Para este caso, te recomendamos hacer uso del baño María.\nTruco: Para hacer el caramelo casero al baño María simplemente debes introducir una olla más pequeña dentro de la cazuela, verter agua caliente hasta alcanzar 1/3 parte de la olla, remover el azúcar para que se empiece a disolver y seguir los pasos siguientes.', '4\nIncorpora el zumo del limón y remueve bien hasta que el azúcar se disuelva por completo.', '5\nDeja que empiece a hervir el caramelo sin dejar de remover. El azúcar debe disolverse bien en el agua.', '6\nCuando el azúcar se disuelva, entonces deberás dejar de mezclar con la cuchara para pasar a mover la cazuela. Este es un truco muy efectivo a la hora de hacer caramelo casero para evitar que se cristalice. Una vez que coja un color oscuro, ¡ya lo tendrás listo!', '7\nPon el caramelo líquido casero en los moldes antes de que se enfríe y procede a elaborar el flan que más te guste. Te recomendamos las siguientes recetas:Flan de huevoFlan de caféFlan de lecheY para más detalles acerca de cómo hacer caramelo, aquí tienes nuestro vídeo:']","Valoración: 4,2 (20 votos)",18 comensales,15m,Postre,Dificultad baja,,[],"['150 gramos de azúcar (¾ taza)', '1 vaso de agua', '1 pieza de limón (el zumo)']",https://www.recetasgratis.net/receta-de-caramelo-liquido-51079.html
Flan de coco,"Los flanes son el postre perfecto y una de sus mejores características es que los podemos hacer de distintos sabores. En este caso te enseñamos la receta de flan de coco casero, hecho paso a paso para que no te pierdas ningún detalle y el resultado final sea un flan dulce, suave y con textura firme que deleitará a más de uno. Este flan de coco rallado lo haremos a baño de María, una cocción sencilla y sin complicaciones que te hará disfrutar de un postre exquisito. Sigue leyendo en RecetasGratis.net y descubre cómo hacer el flan de coco al horno.","['1\nPreparamos todos los ingredientes para preparar nuestro flan casero en baño María. Al flan también se le conoce con el nombre de quesillo en otros países.', '2\nPara empezar con la mezcla, ponemos a calentar la leche y el azúcar en una cazuela. Es importante disolver por completo el azúcar sin dejar que la leche hierva.', '3\nA continuación, añade el coco rallado. Reserva un poco para colocar en los moldes a la hora de repartir la mezcla de nuestro flan casero.', '4\nDespués añadimos la leche de coco y dejamos hasta que empiece a hervir.', '5\nMientra, preparamos los moldes individuales. Para ello, primero le ponemos el caramelo líquido y después el coco rayado. Recuerda que también puedes presentar tu flan de coco en un molde único, más grande o una flanera.', '6\nUna vez ha hervido la leche y el coco, retiramos, dejamos enfriar y echamos el huevo batido mezclándolo bien.', '7\nPonemos la mezcla en los moldes y la cocemos al baño María en el horno a 150ºC durante unos 55 minutos aproximadamente.', '8\nYa cocidos, dejamos enfriar, desmoldamos, decoramos y servimos el delicioso flan de coco. Puedes decorar el plato con un poco de nata montada o coulis de fresa como hemos hecho nosotros. ¡A disfrutar!Y si quieres otras variedades de flan, puedes ver la receta de flan de naranja o el quesillo de leche condensada.']",Valoración: 5 (3 votos),12 comensales,30m,Postre,Dificultad baja,,[],"['1 litro de Leche', '150 mililitros de Leche de coco', '125 gramos de Coco rallado (1¼ tazas)', '6 unidades de Huevo', '250 gramos de Azúcar (1¼ tazas)']",https://www.recetasgratis.net/receta-de-flan-de-coco-51078.html
Flan de chocolate al baño María,"Hoy vamos a enseñarte a preparar un postre que tendrá contento tanto a los fans de los postres con chocolate como a los fans de los suaves y cremosos flanes caseros. El flan de chocolate al baño María es una delicia que se prepara de forma fácil y rápida, tan solo necesitas leche, huevos, azúcar y por supuesto, ¡chocolate!La cocción a baño María la haremos al horno, la forma más sencilla y práctica de llevar a cabo esta técnica tan usada en la preparación de postres. Este tipo de quesillo de chocolate lo podrás servir como postre después de una comida copiosa, ya que es bastante ligero y no es tan empalagoso como puede resultar el clásico flan de leche condensada.","['1\nReunimos todos los ingredientes para preparar nuestro flan de huevo y chocolate, un postre estupendo para consentir a todos en casa.Si tienes virutas de chocolate, fruta confitada o nata montada, reserva cerca porque seguro lo usaremos para la decoración.', '2\nPasa saborizar la leche la calentamos en un cazo junto con la rama de vainilla. Si no tienes vainilla en esta presentación puedes usar una cucharadita de esencia.', '3\nCuando empiece a calentarse, incorporamos el chocolate. Lo mejor es trocear la tableta para que todo vaya más rápido.', '4\nA continuación añadimos el azúcar y, sin retirar del fuego, continuamos removiendo hasta conseguir que ésta se disuelva por completo.', '5\nMientras se va fundiendo el chocolate, batimos los huevos. Rómpelos todos en un plato hondo y bate con ayuda de unas varillas manuales.', '6\nPor otro lado vamos preparando los moldes para nuestro flan de chocolate. Lo que haremos será poner una base de caramelo líquido en el fondo.Recuerda que puedes usar moldes individuales si quieres que la cocción se más rápida, aunque si tienes tiempo puedes usar una flanera grande para hacerlo todo junto, como la que se ve en la receta del queisllo casero sin horno.', '7\nVolviendo a la mezcla de leche y chocolate, cuando comprobemos que el chocolate se ha fundido por completo, retiramos del fuego y dejamos enfriar a temperatura ambiente.Cuando la mezcla ya no esté caliente, podremos incorporar los huevos batidos a la olla, removiendo e integrando poco a poco.', '8\nVaciamos la mezcla del flan casero de chocolate en cada uno de los moldes con la base de caramelo, llenando hasta arriba, tal como se ve en la foto.', '9\nPara cocinar el flan a baño María, colocamos todos los moldes en una bandeja un poco profunda con agua. Llevamos al horno y lo dejamos durante unos 45-60 minutos a 150ºC. Pasados los primeros 45 minutos puedes ir comprobando la textura de tus flanes clavando un palillo en el centro.', '10\nCuando estén hechos, deja que enfríen nuevamente a temperatura ambiente y conserva en la nevera al menos unas 3 horas antes de servir.Al desmoldar, podrás presentar tu flan de chocolate a baño María así solo con su salsa de caramelo o decorarlo con virutas de chocolate, nata montada o frutas confitadas... ¡a disfrutar!']",Valoración: 5 (1 voto),10 comensales,45m,Postre,Dificultad baja,,[],"['1 litro de Leche', '1 tableta de Chocolate negro', '6 Huevos', '1 rama de Vainilla', '250 gramos de Azúcar (1¼ tazas)', 'Caramelo líquido']",https://www.recetasgratis.net/receta-de-flan-de-chocolate-al-bano-maria-51077.html
Cómo hacer MERENGUE casero AL HORNO,"El merengue casero no solo se utiliza para decorar tartas como el típico pie de limón, sino que también se degusta solo si se cocina al horno. En muchos países del mundo, el merengue al horno es conocido como suspiro o merenguito, ya que suele adoptar un tamaño pequeño para cocinarse mejor. En esta receta te enseñamos de forma detallada cómo hacer merengue casero y todos los trucos que necesitas conocer para cocinarlo al horno sin que se desarme. Hecho a base de claras de huevo y azúcar, el popular merenguito casero es fácil y muy rápido de hacer. Vamos entonces con la receta paso a paso del merengue casero al horno y pasa de preguntarte cómo hacer merengues caseros a disfrutar de ellos en un dos por tres.","['1\nAlista todos los ingredientes para preparar los merenguitos caseros. Si no los quieres hacer de limón puedes usar otras esencias como vainilla. Así mismo, puedes añadir colorante para hacer unos estupendos suspiros de colores.', '2\nColoca las claras en un bol, preferiblemente de cristal o metal, y bate con una pizca de sal. Utiliza una batidora eléctrica para garantizar movimientos constantes y bate a velocidad alta hasta montar las claras a punto de nieve. Esto puede llevarte tranquilamente hasta 5 minutos. No debe quedar ni una gota de líquido.', '3\nA continuación, ve añadiendo el azúcar glass poco a poco sin dejar de batir y haciendo movimientos envolventes. Si no tienes azúcar glas, un truco muy bueno es triturar azúcar blanco con una batidora eléctrica de mano, tal y como indicamos en la Receta de azúcar glas. \nTruco: Para obtener un buen merengue, recomendamos pesar las claras, ya que la cantidad de azúcar ideal es el doble. Si tus claras pesan 50 g, necesitarás 100 g de azúcar.', '4\nDeberás seguir batiendo hasta obtener un merengue duro que forme picos y no se caiga al voltear el recipiente. Puedes añadir el zumo de medio limón tanto para ayudar a espesar el merengue casero como para aportar un toque de sabor. Agrégalo sin dejar de batir. En este vídeo podrás ver mejor todos los pasos.', '5\nPrecalienta el horno a 80 ºC. Mientras se calienta, introduce el merengue en una manga pastelera. Ayúdate con una espátula o lengua de cocina para no desperdiciar nada.', '6\nForma los suspiros directamente en la bandeja del horno forrada con papel vegetal. Cocina el merengue al horno durante 1 hora u hora y media a 80 ºC. El tiempo final puede variar en función del tipo de horno. Cuando estén listos, apaga el horno y deja los suspiros dentro como mínimo 1 hora más, o hasta que el horno esté totalmente frío, así te aseguras de que no pierden su forma.\nTruco: Puedes dar la forma que quieras a tu merengue, de espiral, de beso, totalmente redonda...', '7\nLa receta de merenguitos caseros al horno es una auténtica delicia. Podrás servir este dulce a la hora de la merienda o prepararlo para un cumpleaños. Y si quieres combinar los merengues caseros con otros sabores, no dejes de probar los merengues de fresa y los merengues de café para los más mayores.']","Valoración: 3,7 (27 votos)",20 comensales,2h 30m,Postre,Dificultad baja,,"['Recetas al horno', 'Recetas colombianas']","['2 claras de huevo', '100 gramos de azúcar glas', '1 pizca de sal', '½ limón']",https://www.recetasgratis.net/receta-de-merengue-casero-al-horno-51069.html
Delicias cordiales.,,"['1\nPreparamos todos los ingredientes.', '2\nRallamos el limón y con el limón hacemos un zumo.', '3\nBatimos los huevos y se lo añadimos a la ralladura de limón.', '4\nA continuación le añadiremos el azúcar, la almendra y el zumo de limón y mezclamos bien.', '5\nPonemos las oblas en una bandeja de horno.', '6\nNos mojamos las manos en aceite para poder trabajar la masa, haciendo unas bola con un agujero en medio para poner el cabello de ángel.', '7\nPonemos la masa encima de las obleas con el cabello de ángel metemos al horno a ciento cincuenta grados, quince minutos.', '8\nSacamos del horno, y retiramos el sobrante de las obleas.', '9\nPonemos en una bandeja y servimos.']",,,,,Dificultad media,,,"['250 Gramos de almendras picadas.', '175 Gramos de azúcar.', 'Cabello de ángel.', '2 Huevos.', '1 Limón.', 'Obleas.']",https://www.recetasgratis.net/receta-de-delicias-cordiales-51057.html
Delicias macabras.,,"['1\nPreparamos los ingredientes.', '2\nPelamos los cacahuetes, quitándole la cáscara y la piel marrón.', '3\nFundimos el chocolate al baño María, poniéndole un poco de agua, cuando este fundido le añadimos los cacahuetes y removemos.', '4\nCogemos chocolate con una cuchara, hacemos montoncitos y dejamos enfriar en la nevera.', '5\nCuando estén frías las ponemos en una bandeja con blonda y servimos.']",,,,,Dificultad media,,,"['1 Bolsa de cacahuetes sin pelar.', '1 Tableta de chocolate negro.', '1 Tableta de chocolate con leche.', 'Un poco de agua.']",https://www.recetasgratis.net/receta-de-delicias-macabras-51056.html
