title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Morones,,"['1\nMezclaremos la manteca y el azucar hasta que blanquen le añidiremos las claras y incorporaremos la harina el granillo de almendra.', '2\nFormar bolas que pimteremos con yemas y las de coramos con una almendra.', '3\nHornearemos a 180 grados.', '4\nUna ves cocidas estan listas para ser degustadas.', '5\nPara 8 personas.']","Valoración: 3,3 (37 votos)","['Harina 200 gr', 'Manteca de cerdo 100 gr', 'Azucar 100 gr', '3 claras de huevo', 'Almendra granillo fino 50 gr', 'Canela', 'Limon rayado']",https://www.recetasgratis.net/receta-de-morones-16787.html,,,,,,
Mouse de Banana,,"['1\nDisolver la gelatina en el jugo de naranja, poner en la licuadora con las bananas, el jugo de limon, el azucar y licuar.', '2\nBatir la crema de leche y mezclar todo.', '3\nPoner en un molde engrasado con hueco facil de desmoldar, llevar a la nevera 4 horas.', '4\nLicuar las fresas y bañarlo al momento de servir.']","Valoración: 3,4 (38 votos)","['2 cuchara sopera gelatina en polvo sin sabor', '1 ud. zumo de limón', '1 ud. zumo de naranja', '6 ud. banana (madura)', '300 gr. nata líquida', '1 pizca sal', '1 bote fresa congelada', '8 cuchara sopera azúcar']",https://www.recetasgratis.net/receta-de-mouse-de-banana-16788.html,,,,,,
Mermelada de naranja amarga y jengibre,"Si quieres preparar una mermelada de naranja y jengibre de una forma sencilla y casera, no te pierdas esta receta que RecetasGratis pone a tus disposición a continuación porque necesitas muy pocos ingredientes y su elaboración es mu fácil.Apúntate los ingredientes, sigue leyendo el paso a paso y prepárate para aprender una mermelada de naranja amarga y jengibre que podrás utilizar para preparar o acompañar cualquier postres, desayuno, merienda o comida que quieras.","['1\nPara preparar esta mermelada de naranja amarga y jengibre, el primer paso que tenemos que hacer es pelar la naranjas y el limón, pero reservar las pieles de las naranjas mirando de quitar todas las partes blancas de la piel para que no amarguen luego.', '2\nA continuación, cortamos las naranjas y el limón el cuartos, los trituramos con ayuda de una licuadora o batidora eléctrica junto con el kilo de azúcar y dejamos reposar esta mezcla unas 24 horas en un recipiente cerrado.', '3\nAl día siguiente, vertemos la mezcla anterior en una olla a presión junto con el litro de agua. Entonces cerramos la olla, la llevamos a ebullición y cuando empiece a hervir bajamos el fuego al mínimo y cocinamos la mermelada de naranja durante unos 15 minutos aproximadamente.', '4\nCuando haya pasado ese tiempo, dejamos que la mermelada de naranja se temple y después la pasamos por un colador. Seguidamente volvemos a ponerla en la olla y la llevamos a ebullición otra vez.', '5\nFinalmente cortamos las pieles de las naranjas y el jengibre fresco en juliana y los añadimos a la mermelada de naranja. La seguimos cocinando para que se reduzca hasta conseguir la textura deseada y entonces ya podremos degustar nuestra mermelada de naranja amarga y jengibre.']","Valoración: 3,4 (37 votos)","['2 kilogramos de Naranjas amargas', '1 Limón', '1 kilogramo de Azúcar', '1 taza de Jengibre fresco', '1 litro de Agua']",https://www.recetasgratis.net/receta-de-mermelada-de-naranja-amarga-y-jengibre-16743.html,8 comensales,24h,Postre,Dificultad baja,,[]
Mermelada de naranja amarga,"Prepara una auténtica mermelada de naranja casera con esta receta fácil que esta vez te proponemos en RecetasGratis porque necesitas muy pocos ingredientes y es muy sencilla de hacer.Después de preparar esta mermelada de naranja amarga te recomendamos que esperes un mes para consumirla para que se concentres los sabores una vez la elabores y la guardes en su tarro pertinente ya que así, estará mucho más sabrosa. ¡Pruébala!","['1\nPara preparar esta mermelada de naranja amarga, el primer paso que hay que hacer es lavar bien las naranjas y los limones.', '2\nA continuación, cocerlos enteros con el agua durante 30 minutos en un recipiente tapado.', '3\nUna vez cocidas las frutas, hay que sacarlas, escurrirlas y dejarlas enfriar, pero reservando el agua de cocción.', '4\nPosteriormente, partir por la mitad y vaciar las naranjas amargas y los limones.', '5\nEntonces recoger la pulpa y las pepitas y envolverlas en una gasa amplia, atándola como un paquete.', '6\nAhora trocear finamente las naranjas dulces (la pulpa y corteza) y trocear en tiras las cortezas de las naranjas amargas y los limones.', '7\nEntonces poner toda esta fruta con el agua reservada en la cazuela para confituras. Y añadir también la bolsa de gasa con las pepitas y pulpa.', '8\nA continuación, calentar el azúcar en el horno a temperatura media (150º C) durante 5 minutos.', '9\nCuando haya pasado ese tiempo, agregar el azúcar a la cazuela de la mermelada de naranja amarga, mezclándolo con la fruta troceada. Entonces dejar en maceración durante una noche.', '10\nAl día siguiente, poner la mermelada de naranja amarga a fuego medio, removiendo para que se disuelva totalmente el azúcar.', '11\nCuando empiece a hervir, bajar la intensidad del fuego y cocer lentamente la mermelada de naranja casera de hora y media a dos horas, removiendo a menudo.', '12\nUna vez reducida la mermelada de naranja amarga, comprobar que tiene la consistencia deseada, retirar la bolsa de gasa con las pepitas, dejarla enfriar, verterla en unos tarros previamente esterelizados y tapar de inmediato.\nTruco: Os recomendamos esperar un mes antes de consumirla.']","Valoración: 3,6 (44 votos)","['1 kilogramo de Naranjas amargas', '½ kilogramo de Naranjas', '¼ kilogramo de Limones', '2¼ kilogramos de Azúcar', '1½ litros de Agua']",https://www.recetasgratis.net/receta-de-mermelada-de-naranja-amarga-16744.html,10 comensales,24h,Postre,Dificultad baja,,[]
Mermelada de banana,"Las mermeladas caseras nos permiten elaborarlas por completo a nuestro gusto, con las frutas que más nos gusten e, incluso, experimentar mezclando varias. No obstante, en esta receta de RecetasGratis.net hemos decidido empezar por una de las básicas, mermelada de banana, ideal para conseguir, además, que los más pequeños consuman esta fruta tan beneficiosa para ellos. Eso sí, al contener un aporte tan elevado de azúcar, debemos tener cuidado y no abusar de ella. Sigue leyendo y aprende cómo hacer mermelada de frutas.","['1\nCoge una cacerola con la capacidad suficiente y pon a calentar el agua con el azúcar y la rama de canela. Deja que hierva durante 3 minutos.', '2\nMientras tanto, en un recipiente aparte, trocea las bananas, báñalas con el jugo de limón y tritúralas con una batidora eléctrica. Para las mermeladas caseras, siempre es recomendable utilizar algún jugo cítrico porque permite que se conserve durante más tiempo.', '3\nAñade el puré de banana a la cacerola donde tenemos el almíbar, remueve con una cuchara de madera y deja cocinar a fuego lento hasta que adquiera el punto de mermelada deseado. Recuerda remover la mezcla de vez en cuando.', '4\n¡Y listo! Ahora solo te queda reservar la mermelada de banana en tarros de cristal previamente esterilizados y con cierre hermético. Puedes conservarlos hasta 3 meses sin abrir, en el frigorífico. Una vez abierto, deberás consumir la mermelada en un periodo máximo de 15 días.']","Valoración: 3,7 (50 votos)","['½ kilogramo de Bananas', '300 gramos de Azúcar (1½ tazas)', '100 mililitros de Agua', '1 rama de Canela', 'El jugo de medio limón']",https://www.recetasgratis.net/receta-de-mermelada-de-banana-16734.html,1 comensal,2h 30m,Merienda,Dificultad baja,,[]
Mermelada de fresas caseras,,"['1\n1 Preparación: Colocar la fruta, el zumo de limón y el azúcar en una olla en capas sucesivas.', '2\nGuardar en un sitio fresco durante 24 horas.', '3\n2 Cocción: Llevar a ebullición a fuego lento, removiendo el fondo con una espátula para que no se pegue.', '4\nMantener en ebullición durante media hora y eliminar la espuma que se forma en la superfície.', '5\nConservar en frascos esterilizados, cubiertos con un papel empapado en alcohol y cerrados herméticamente.']","Valoración: 3,4 (37 votos)","['1 kg. fresón limpio, maduro y troceado', '1 kg. azúcar', '1 ud. limón exprimido']",https://www.recetasgratis.net/receta-de-mermelada-de-fresas-caseras-16736.html,,,,,,
"Receta, Ingredientes e Historia","La mazamorra morada es uno de los postres más populares de Perú. Tanto es así, que hoy en día es conocida en prácticamente todo el mundo. Se caracteriza por presentar una textura espesa y suave a la vez, un sabor dulce y un color morado intenso.En RecetasGratis compartimos la receta de mazamorra morada tradicional y explicamos cómo agregar más frutas para intensificar el sabor del postre. Sigue leyendo para descubrir con nosotros cómo preparar mazamorra morada, cuál es la historia de la mazamorra morada y qué variantes existen.","['1\nPrimero, preparamos la chicha morada. Para ello, ponemos en una olla los 6 litros de agua y, cuando hierva, agregamos el maíz morado, la canela, clavo de olor al gusto y la cáscara de la piña. De forma opcional, podemos añadir algunas frutas, como un par de manzanas. Dejaremos que se cocine a fuego lento hasta que el agua esté de color morado. Esto puede llevarnos alrededor de 45 minutos.', '2\nCuando el agua se haya tornado de color morado intenso, retiramos 3 litros para hacer la mazamorra morada y los vertemos en otra olla para ponerla también al fuego. El resto podemos dejarlo en la olla, añadiendo un poco más de agua, para elaborar una chicha concentrada que podamos beber.', '3\nAñadimos el azúcar a la olla y removemos para que se disuelva. Ahora, es posible añadir pedazos de fruta, como membrillo, manzana o piña. En tal caso, será necesario esperar a que hierva de nuevo para verter el zumo de limón. Si no agregas fruta, puedes añadir directamente el zumo. Una vez incorporado, dejamos que se hierva durante 8-10 minutos.', '4\nAparte, disolvemos la harina de chuño en un poco de chicha. También se puede disolver en agua, pero de esta forma queda la mazamorra morada más concentrada. Una vez disuelta, la añadimos a la olla poco a poco y sin dejar de mover.\nTruco: La harina de chuño se puede sustituir por fécula de papa o harina de camote.', '5\nSeguimos cocinando hasta que la mazamorra morada adquiera la consistencia deseada. Si vemos que queda muy líquida, siempre podemos disolver un poco más de harina de chuño y agregarlo a la olla. Justo antes de servir, añadimos los guindones y las pasas.', '6\nServimos la mazamorra morada espolvoreando canela en polvo por encima. Este postre es perfecto para el invierno, aunque en Perú es común comerlo durante todo el año acompañado con arroz con leche, mezcla que se conoce con el nombre de ""clásico"".Descubre la crema volteada peruana si quieres probar otro postre típico de este país.']","Valoración: 3,9 (76 votos)","['½ kilogramo de maíz morado', '½ onza de zumo de limón', '1 taza de harina de chuño o fécula de papa', '6 litros de agua', '1 taza de azúcar (al gusto)', '3 ramas de canela', 'Clavo de olor', 'Corteza de una piña', 'Guindones', 'Pasas (opcional)', 'Canela en polvo']",https://www.recetasgratis.net/receta-de-mazamorra-morada-facil-16691.html,10 comensales,45m,Postre,Dificultad baja,,['Recetas peruanas']
Masa de Tulipas,,"['1\nMezclar la harina con el azúcar, añadir las claras y remover hasta incorporar bien.', '2\nAñadir por último la mantequilla y mezclar muy bien. En una placa de horno engrasada extender la masa con una espátula o el reverso de una cuchara y darle forma redonda.', '3\nHornear a 150ºC hasta que se dore (entre 15 y 20 minutos), sacar del horno y colocar sobre un vaso para que la tulipa coja su forma.', '4\nEsta operación tiene que hacerse con bastante rapidez, pues hay que modelar la masa mientras que está caliente.']","Valoración: 3,6 (49 votos)","['100 gr. azúcar', '100 gr. mantequilla', '100 gr. harina', '100 gr. clara de huevo']",https://www.recetasgratis.net/receta-de-masa-de-tulipas-16681.html,,,,,,
Kuchen alemán de nuez,"La tarta kuchen es un postre alemán muy famosa que consiste en una base de masa, tipo de tarta y un relleno que suele ser de distintas frutas, como por ejemplo manzana o durazno.En RecetasGratis puedes encontrar un gran número de recetas de kuchen casero,pero la versión que te enseñamos a continuación es una de las más prácticas y fáciles, hecha a base de nueces y leche condensada. Presta atención a todas las indicaciones y cocina con nosotros un rico kuchen alemán de nueces, es un postre tan fácil y rápido de preparar que querrás hacerlo hasta para regalar a tus amigos.","['1\nPara hacer la masa empezamos por mezcla la harina tamizada con el azúcar y los polvos de hornear.Forma un volcán con estos ingredientes y en el centro colocar el huevo y la mantequilla blanda. Amasa todo hasta conseguir una masa suave, homogénea y que on se pegue a los dedos.', '2\nExtiende esta masa sobre un molde, previamente engrasado con mantequilla, y cocina en horno convencional durante 15 minutos a unos 160-180ºC. Retirar del horno y reservar.', '3\nPara hacer el relleno del kuchen casero colocamos la mantequilla en una cacerola junto con la leche condensada. Vamos removiendo y mezclando a fuego lento durante unos 10-15 minutos.Pasado este tiempo incorporamos las nueces troceadas y dejamos hervir durante 5 minutos.', '4\nVaciamos esta mezcla en el molde, sobre la base de masa que cocinamos anteriormente, y volvemos a meter al horno durante 10 minutos.', '5\nEl kuchen alemán de nuez se puede servir templado o frío y si lo disfrutas recién hecho no dejes de acompañarlo con helado de vainilla. ¡Qué aproveche!Y si te gustan este tipo de postres no dejes de probar el kuchen de miga y el kuchen de manzana tradicional... cuando los pruebes todos, ¡nos cuentas cuál es tu favorito!']","Valoración: 4,3 (120 votos)","['2 tazas de Harina (280 gramos)', '½ taza de Azúcar flor o glas', '1 Huevo', '2 cucharadas soperas de Levadura en polvo', '½ barra de Mantequilla derretida', '2 tazas de Nuez molida', '1 bote de Leche condensada', '100 gramos de Margarina']",https://www.recetasgratis.net/receta-de-kuchen-aleman-de-nuez-16523.html,8 comensales,30m,Postre,Dificultad media,,['Recetas al horno']
Helado frito,,"['1\nTomas una bola grande de helado y la pasas por la leche, luego por harina de trigo y dejas congelar.', '2\nLuego de que se endurezca bastante procedes de la misma forma que antes, lo vuelves a pasar por leche y luego por harina y lo vuelves a congelar de nuevo. Repetir este proceso por tercera vez hasta que tenga bastante consistencia la bola de helado.', '3\nLuego de la tercera operación, incluyendo la etapa de congelación, lo tiras a freír por un momento en aceite hirviendo, como por unos dos minutos hasta que el empanizado quede frito y lo sirves con torta o bizcocho.', '4\nAl principio va estar muy caliente la capa superficial del helado (la empanizada), pero cuando lo sirvas es igual de rico como siempre e igual de frío. ES UN HELADO FRITO!!!']","Valoración: 3,5 (41 votos)","['1 unidad de Bola de helado de vainilla', '1 taza de Harina de trigo (140 gramos)', '1 vaso de Leche']",https://www.recetasgratis.net/receta-de-helado-frito-16468.html,1 comensal,15m,Postre,Dificultad baja,,[]
