title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Aceite de romero y ajo,Si te gustan los aceites saborizados esta recete te interesa. Aprende como darle un toque aromático al aceite que utilizas a diario para preparar tus platos de siempre. Sal de la rutina y dale la vuelta a un sencillo plato con este aceite de ajo y romero.,"['1\nEn una olla, poner el aceite de girasol a calentar con el ajo y el romero. Debemos dejar infusionar durante unos 3 a 4 minutos máximo para que el ajo no se queme.', '2\nDejar enfriar y colócalo en una botella de vidrio para tener un aceite saborizado el cual podemos usar en cualquiera de nuestras comida. Te recomendamos probarlo con:Ensalada de AtúnMagret de PatoAtún a la plancha']",,1 comensal,15m,Plato principal,Dificultad baja,,['Recomendada para veganos'],"['200 mililitros de Aceite de girasol', '3 dientes de Ajo', '1 cucharada sopera de Romero seco']",https://www.recetasgratis.net/receta-de-aceite-de-romero-y-ajo-47869.html
Thermomix: Bechamel para Lasagnas,,"['1\nVierta todos los ingredientes en el vaso y programe 8 minutos, temperatura 90º, velocidad 4.', '2\nNOTA: Para canelones quite 50 g de harina.']","Valoración: 3,5 (17 votos)",4 comensales,30m,,Dificultad baja,,[],"['750 g (7 1/2 cubilete) de leche', '90 g (1 1/2 cubilete) de harina', '50 g de mantequilla', '1 cucharada de aceite', 'Nuez moscada, pimienta y sal.']",https://www.recetasgratis.net/receta-de-thermomix-bechamel-para-lasagnas-30791.html
Salsa bechamel de bacon con Thermomix,"La salsa bechamel es la salsa blanca por excelencia, su consistencia es ligeramente espesa tiene un sabor suave, siempre sazonada con nuez moscada y se usa en la preparación de platos gratinados y pastas como lasañas y canelones. La receta para hacer bechamel casera es bastante sencilla y si tienes una Thermomix, pues más fácil todavía y en este caso, en RecetasGratis, te enseñamos el procedimiento y los trucos para hacer salsa bechamel con Thermomix.Eso sí, no vamos a preparar cualquier bechamel, porque nos alejaremos un poquito de la receta tradicional para hacer una versión con un toque de sabor extra que conseguiremos añadiendo bacon. Vamos entonces con la receta de bechamel de bacon con Thermomix y ¡a cocinar!","['1\nPara preparar nuestra bechamel con bacon empezaremos por dorar el bacon. Para ello, coloca el aceite junto con el bacon en el vaso de la Thermomix y programa por 4 minutos con 100º de temperatura y la velocidad en 2.', '2\nCuando la máquina pare, añadimos la harina tamizada y dejamos que se tueste durante 2 minutos, manteniendo la temperatura en 100º y bajando la velocidad a 1.', '3\nSazona con sal, pimienta y nuez moscada al gusto y termina incorporando la leche en el vaso. Programa la Thermomix por 7 minutos, subimos la velocidad a 4 y dejamos la temperatura igual, a 100º.Ten cuidado de no pasarte con la sal, recuerdo que el bacon ya aportará su toque salado a la salsa.', '4\nEsta salsa bechamel de bacon con Thermomix la podrás usar para hacer todo tipo de lasañas o incluso un plato de verduras gratinadas. Es casi como una bechamel clásica pero con un toque de sabor extra que sorprenderá a todos tus comensales.']","Valoración: 3,4 (16 votos)",4 comensales,15m,Acompañamiento,Dificultad baja,,[],"['150 gramos de Bacon', '25 mililitros de Aceite de oliva', '100 gramos de Harina de trigo', '1 pizca de Sal y Pimienta', '1 pizca de Nuez moscada', '750 mililitros de Leche entera']",https://www.recetasgratis.net/receta-de-salsa-bechamel-de-bacon-con-thermomix-30790.html
Thermomix: Mayonesa antisalmonella,,"['1\nPonga en el vaso el vinagre y la sal, programe 4 minutos a 100 gados y velocidad 1.', '2\nVuelva a poner la máquina en marcha programando velocidad 3 e incorpore los huevos -que habremos roto en un vaso previamente- a través del bocal.', '3\nUna vez incorporado todo, suba la velocidad a la 8 y vaya echando todo el aceite, poco a poco, sobre la tapadera con el cubilete inclinado.', '4\nVARIANTES: Se pueden incorporar encurtidos en vinagre o una cucharadita de mostaza, o cinco hojas de espinaca o remolacha cocida, ketchup, ajo, etc.']",,4 comensales,30m,,Dificultad baja,,[],"['50 g de vinagre de manzana o vinagre corriente', '1 cucharadita de sal', '2 huevos', '500 g de aceite de girasol o maíz']",https://www.recetasgratis.net/receta-de-thermomix-mayonesa-antisalmonella-30803.html
Thermomix: Mayonesa,,"['1\nVierta todos los ingredientes en el vaso, excepto el aceite y mezcle unos segundos a velocidad 5.', '2\nPrograme 45 segundos a velocidad 5, ponga el cubilete ligeramente inclinado y vierta el aceite sobre la tapadera para que vaya cayendo dentro del vaso. La cantidad del aceite dependerá del tamaño de los huevos.', '3\nUna vez que haya echado todo el aceite, compruebe la textura y, si fuera necesario, añada un poco más. Si salpica mucho a la tapadera, ponga el cestillo dentro del vaso.', '4\nSi en vez de utilizar 1 huevo, incorpora además 1 yema, podrá aumentar la cantidad de aceite a 6 cubiletes.']",Valoración: 1 (1 voto),6 comensales,30m,,Dificultad baja,,[],"['1 huevo', 'el zumo de 1/2 limón o vinagre', '1/4 cubilete de agua', 'sal', '400 g. (4 cubiletes) de aceite']",https://www.recetasgratis.net/receta-de-thermomix-mayonesa-30802.html
Thermomix: Mayonesa de cilantro,,"['1\nPoner en el vaso todos los ingredientes excepto el aceite y triturar a velocidad 4, pasando después a la velocidad 9 hasta que esté todo triturado.', '2\nPoner la maquina a velocidad 4 o 5 y sin retirar el cubilete ir echando sobre la tapadera el aceite poco a poco hasta terminarlo.', '3\nRectificar de sal y vinagre según nuestro gusto.']","Valoración: 3,3 (15 votos)",6 comensales,30m,,Dificultad baja,,[],"['2 huevos', '1 diente de ajo', '2 cucharaditas de comino en polvo', 'Vinagre al gusto (puede ser de frambuesa, queda sabrosa)', '20 g de hojas de cilantro fresco', '500 g de aceite de oliva y de girasol a partes iguales', '1/2 cucharadita de sal']",https://www.recetasgratis.net/receta-de-thermomix-mayonesa-de-cilantro-30805.html
Salsa barbacoa casera fácil y rápida,"¡Todo con salsa queda mejor! Y si se trata de una salsa hecha en casa, ingrediente por ingrediente, mucho mejor. EN RecetasGratis te mostramos cómo hacer salsa barbacoa casera hecha con tomate, azúcar y miel de una textura y sabor que te sorprenderá.Esta salsa barbacoa fácil es perfecta para aderezar cualquier tipo de carnes o verduras, así que una vez la tengas lista, las posibilidades son infinitas. ¡Anímate a probarla!","['1\nPara que la receta de salsa barbacoa sea rápida lo primero que debes hacer es alistar todos los ingredientes.', '2\nEn una sartén con un poco de aceite de oliva saltea la cebolla cortada en cuadros junto con el ajo. Cuando estén dorados agrega el azúcar moreno y cocina a fuego bajo hasta que veas que la cebolla carameliza. Para más detalles, consulta la receta paso a paso de cebolla caramelizada.', '3\nRetira del fuego y rápidamente agrega la pasta de tomate, la salsa de tomate y la miel; mezcla hasta que se integren todos los ingredientes de la salsa barbacoa casera.', '4\nAgrega por último la cucharadita de pimentón en polvo.', '5\nSirve y degusta esta deliciosa preparación ahora que sabes cómo hacer salsa barbacoa casera. Si te ha gustado la receta de salsa barbacoa rápida, ¡déjanos tus comentarios! Y si quieres descubrir con qué acompañarla, ¡sigue leyendo!']","Valoración: 4,4 (8 votos)",1 comensal,15m,Acompañamiento,Dificultad baja,,[],"['1 cebolla blanca', '1 diente de ajo', '20 gramos de salsa de tomate', '20 gramos de miel', '10 gramos de azúcar moreno', '1 pizca de sal', '1 chorro de aceite de oliva', '1 cucharadita de pimentón', '1 cucharada sopera de pasta de tomate']",https://www.recetasgratis.net/receta-de-salsa-barbacoa-casera-facil-y-rapida-52869.html
Salsa de tomate básica,,"['1\nProcedemos a cortar la cebolla y los ajos en cuadros pequeños. En una cazuela grande ponemos a sofreír la cebolla con el aceite y cuando empiece a marchitarse, añada el ajo y la albahaca. Cuando doren estos ingredientes, agregamos los tomates, el agua y bajamos a fuego medio. A media cocción agreguemos la cucharadita de azúcar para evitar la acidez del tomate. Y si es de su gusto puede agregar un cubito de caldo concentrado. Con una paleta o cuchara de madera removemos de vez en cuando, añadir mas agua si ve que lo necesita. Cuando ya los tomates estén bien blandos, lo bajamos del fuego y procederemos a licuar todo con mucho cuidado. Agregándole el agua de la cocino necesaria sin que llegue a ponerse muy floja. Luego lo pasamos por colador y lo llevamos a fuego medio nuevamente por unos minutos más. Este es el momento de verificar la sal y si lo desea un toque de pimienta. Coloque algunas hojas más de albahaca. Esta preparación la puede colocar en envases bien cerrados y guardar en la nevera para cuando requiera usarla. Esta salsa se puede utilizar para muchos fines, con carne o pollo para hacer salsas para pastas. Para pizzas. Para realizar guisados o estofados y muchos usos más.']",Valoración: 5 (1 voto),4 comensales,30m,,Dificultad baja,,[],"['1 kg de tomates maduros (pueden ser enlatados) o esos que ya se nos están madurando y que no queremos para ensalada.', '1 cebolla grande puede ser de la morada que tiene mejor sabor', '3 dientes de ajo', 'Albahaca', 'Aceite de oliva virgen', 'Agua', 'Una cucharadita de azúcar', 'Opcional un cubito de caldo concentrado']",https://www.recetasgratis.net/receta-de-salsa-de-tomate-basica-52806.html
Salsa de naranja para carnes,Esta salsa de naranja no tiene nada que ver con dulces sino que se trata de una salsa agridulce perfecta para acompañar carnes y verduras. La salsa de naranja para carnes es una preparación muy fácil que te ayudará a darle vida a platos sencillos y que pueden resultados repetitivos o aburridos.,"['1\nAntes de realizar la salsa de naranja para carnes, el primer paso es alistar todos los ingredientes.', '2\nEn un vaso exprimir el zumo de la naranjas.', '3\nEn una olla agregar el zumo de naranja, el azúcar y la cucharada de vinagre. Mezclar muy bien hasta disolver el azúcar y cocinar durante 5 minutos a fuego bajo.', '4\nEs momento de agregar la rama de cilantro y cocinar hasta que la salsa tenga consistencia un poco espesa. Este proceso no debe tardar más de 15 minutos a fuego medio. Añade sal y pimienta para corregir la sazón al gusto.', '5\nCuando la salsa esté lista retirar la rama de cilantro, servir y disfrutar. La salsa de naranja es ideal para acompañar cualquier tipo de carnes o verduras como por ejemplo un conejo a la plancha, pollo al horno o algo más innovador como unos tacos de lechuga vegetarianos. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']",Valoración: 5 (6 votos),1 comensal,15m,Acompañamiento,Dificultad baja,,[],"['3 unidades de Naranja valenciana', '1 rama de Cilantro', '2 cucharadas soperas de Azúcar moreno', '1 cucharada sopera de Vinagre blanco', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-salsa-de-naranja-para-carnes-52766.html
Salsa de diablito para pasta,,"['1\nCorté finamente en cuadritos muy pequeños todos los vegetales. En una sartén honda ponga un poco de aceite y caliente. Coloque en la sartén primeramente la cebolla, cuando este marchita agregue el ajo, bien machacado y el jamón endiablado. Luego de unos minutos añada el resto de los vegetales (menos el cilantro y la albahaca) y sofría por 5 minutos hasta que los vegetales estén cocidos. Al estar cocidos agregamos las cucharadas de salsa o pasta de tomate y el caldo o agua (hasta diluir bien la pasta de tomate o la salsa), añada también las hojitas de albahaca, y unos chorritos de salsa inglesa. Cocine por espacio de 10 a 15 minutos, hasta que espese al gusto. Agregue la margarina para que tome brillo. Sirva sobre la pasta caliente. Al momento de servir agregue el perejil o cilantro espolvoreado sobre la salsa. Si es su preferencia añada queso parmesano.', '2\nEsta salsa es la adoración de los niños, a mis hijos les gusta demasiado. Espero la disfruten.']",,2 comensales,15m,Plato principal,Dificultad baja,,['Recetas venezolanas'],"['1 Lata de jamón endiablado, de tamaño grande', '1/2 Cebolla mediana', '1 Ramito de cebollin', '1 Ramito de cilantro o perejil', '3 Hojas de albahaca', '2 Dientes de ajos', '1/4 Pimentón rojo', '3 Cucharadas de salsa para pastas o 2 de pasta de tomate', 'Unas cucharadas de agua o caldo', '1 Cucharada de salsa inglesa', '1 Cubito de caldo concentrado', '1 Cucharadita de margarina', '1 Aceite de maíz']",https://www.recetasgratis.net/receta-de-salsa-de-diablito-para-pasta-52731.html
