title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Pastel de berenjenas al horno,"La receta del pastel de berenjenas al horno es sin duda uno de los platos más fáciles de hacer para que nuestros hijos, familiares o amigos coman un plato elaborado, rico y muy nutritivo. Este plato es muy típico para épocas de frío ya que se sirve bastante caliente. Los tres elementos básicos de este plato son las berenjenas, el rellenos y la bechamel.","['1\nPara hacer este pastel de berenjenas al horno debemos usar dos berenjanas grandes, y con las medidas de esta receta salen 4 raciones, el primer paso es pelar las berenjenas y cortarlas en rodajas.', '2\nPoner la berenjenas cortadas en sal para que suelten el amargor durante 10 minutos.', '3\nPasados los 10 minutos Lavaremos las rodajas de berenjenas y escurrirlas.', '4\nFreirlas en abundante aceite de oliva. Para que el pastel de berenjenas al horno quede bueno no te recomendamos que las frías mucho rato.', '5\nEscurrirlas de aceite, para ello te recomendamos que uses un plato con papel de cocina y pongas las berenjenas encima del papel de cocina.', '6\nCoger una bandeja de horno e ir colocando las berenjenas en el fondo.', '7\nLuego una capa de jamon de york y luego de queso.', '8\nSeguir con berenjenas, jamon de york y queso (siempre en ese orden).', '9\nAcabar de montar con una capa de berenjena.', '10\nHacer la bechamel: calentar la mantequilla, echar la harina y tostar.', '11\nCuando este ir echando la leche poco a poco, removiendo con unas varillas para no formar grumos.', '12\nLa bechamel debe quedar espesa, pero no solida.', '13\nEchar la nuez moscada al pastel de berenjena y dejar cocer.', '14\nCubrir la tarta de berenjenas con la bechamel y sobre esta esparcir el queso rallado y una bolitas de mantequilla.', '15\nMeter al horno, previamente precalentado y gratinar. El pastel de berenjena tardará unos 10 minutos en gratinarse, después lo dejas enfriar un poco y ya lo puedes servir. Puedes acompañar este plato con un poco de perejil y una ensalada fresca.']","Valoración: 4,3 (24 votos)",4 comensales,45m,,Dificultad media,,['Recetas al horno'],"['2 unidades de Berenjenas', '¼ kilogramo de Jamón de York', '3 unidades de Lonchas de queso', '60 gramos de Mantequilla', '60 gramos de Harina', '1 litro de Leche', '1 pizca de Nuez moscada', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-pastel-de-berenjenas-al-horno-7865.html
Flan de paltas,"El flan de aguacate es ideal para servirlo a modo de entrante si estás pensando en hacer una comida orignal. Además, se trata de un plato muy nutritivo, puesto que el aguacate aporta múltiples beneficios para nuestra salud, entre los que destacan su alto contenido en vitamina E y ácido fólico. Eso sí, no es recomendable abusar de este fruto puesto que contiene un elevado porcentaje calórico. Sigue leyendo este receta de RecetasGratis.net y aprende a preparar flan de palta.","['1\nPara empezar con la preparación del flan de palta, disuelve la gelatina en dos vasos de agua fría. Luego, coge una olla pequeña, vierte el contenido de ambos vasos y caliéntalo todo a fuego lento, hasta que la gelatina se disuelva por completo.', '2\nAñade sal y pimienta al gusto y muévelo todo. Retira del fuego la gelatina y deja que se entibie. Mientras tanto, pela el aguacate, retira el hueso y tritura la pulpa junto con el jugo de limón.', '3\nLuego, añade la crema de leche al aguacate triturado y la mayonesa y mézclalo todo bien, hasta obtener una crema homogénea. En este momento, incorpora la gelatina y sigue moviendo.', '4\nPara seguir con la preparación del flan de palta, vierte la mezcla en un molde de silicona o apto para congelar y resérvalo en el congelador hasta que cuaje y endurezca. Para poder desmoldarlo deberás colocar el molde primero en agua caliente al baño María durante unos segundos. Luego saldrá sin problemas.', '5\nDecora el flan de aguacate con tiras de pimiento rojo y colócalo sobre un rico carpacció de lomo, puesto que se trata de un entrante. Si quieres conocer más apertivos para acompañarlo, no te pierdas las siguientes recetas:Empanadas boloñesaCroquetas de quinoa y zanahoria']","Valoración: 3,6 (7 votos)",4 comensales,1h 30m,Entrante,Dificultad baja,,[],"['1 sobre de Gelatina sin sabor', '1 unidad de Palta grande madura', '200 mililitros de Crema de leche (1 taza)', '2 cucharadas soperas de Mayonesa', 'Jugo de limón', 'Sal al gusto', 'Pimienta al gusto']",https://www.recetasgratis.net/receta-de-flan-de-paltas-7786.html
Pasticho de berenjena,"El pasticho o lasaña es un plato que tiene su origen en Italia y se ha extendido prácticamente por todo el mundo. Podemos elaborarlo con múltiples ingredientes, entre los que destacan la carne y las verduras, y cubrirlo con salsa bechamel, boloñesa o gratinarlo con queso. Entre todas las variantes que existen de este plato, en esta receta de RecetasGratis.net queremos enseñarte a preparar pasticho de berenjenas, apto para vegetarianos, y ayudarte a elaborar comidas más saludables.","['1\nPara empezar con la preparación de esta receta vegetariana, pela las berenjenas y córtalas en rodajas finas a lo largo. Luego, hiérvelas con una pizca de sal y una hora de laurel durante 10 minutos. Pasado el tiempo, escúrrelas y deja que se enfríen.\n\n\n\n\n\n\nImagen: recetasvegetarianas7.com', '2\nPara seguir con la receta de pasticho de berenjena, coge una sartén y pon a calentar el aceite. Cuando esté caliente, fríe la cebolla picada, el tomate troceado, el orégano molido y el ajo machacado. Cocínalo hasta formar una salsa espesa.\n\n\n\n\n\n\nImagen: dedublinalcielo.com', '3\nAhora es el momento de montar la lasaña. Para ello tienes dos opciones, hacerlo con o sin láminas de pasta. En caso de querer usarlas, simplemente hiérvelas con un chorrito de aceite y escúrrelas cuando estén al dente.', '4\nEn un envase previamente engrasado, coloca una lámina de pasta (si decidiste usarla), una capa de berenjenas, un poco de salsa y queso. Continúa con este orden hasta finalizar las berenjenas. Una vez montada, espolvorea queso para que se gratine. Hornea el pasticho durante 30-40 minutos a 180ºC.\n\n\n\n\n\n\nImagen: floruca.com', '5\nCuando la lasaña de berenjenas esté lista, retírala del horno y sírvela. Este tipo de lasañas se comen calientes, pero con cuidado de no quemarte. Puedes acompañarla con una ensalada verde si deseas seguir en la línea de recetas vegetarianas, o una de pollo light.']","Valoración: 4,7 (117 votos)",2 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas al horno']","['3 unidades de Berenjenas de regular tamaño, moradita, o negra, es importante esto', '3 dientes de Ajo', '2 cucharadas soperas de Aceite', '3 cuñas de Quesos, variados todos picados en lajitas', '1 lata de Tomate enteros', '2 cucharadas soperas de Orégano', '1 unidad de Cebolla grande picadita']",https://www.recetasgratis.net/receta-de-pasticho-de-berenjena-6956.html
Mangú dominicano,"El mangú es una receta típica de la República Dominicana y se elabora a partir de plátanos verdes. Se trata de un plato rico y muy económico, ideal para degustar a modo de entrante o aperitivo cuando vienen visitas inesperadas o queremos sorprender a nuestros familiares, amigos o pareja. En RecetasGratis.net te enseñamos una forma muy sencilla de elaborar mangú dominicano, ¡no te la pierdas!","['1\nLo primero que debes hacer para realizar el mangú dominicano es poner las cuatro tazas de agua a hervir junto con la sal. Mientras hierve, retira la piel de los plátanos verdes y córtalos por la mitad. Luego, incorpóralos al agua hirviendo y deja que se cocinen durante 10 minutos.\n\n\n\n\n\n\nImagen: recetasdelujo.com', '2\nUna vez cocidos, retíralos del fuego y tríturalos con un mortero. Conforme los trituras agrega el agua fría poco a poco y la mantequilla. Luego, pon a calentar el aceite vegetal a fuego medio y fríe la cebolla cortada en aros cuando esté caliente.', '3\nAhora, coloca en los platos el puré de platáno y sobre él los aros de cebolla fritos. Como ves, se trata de una receta de mangú dominicano muy sencilla y deliciosa. Puedes acompañar este entrante con berenjenas fritas, calabacines y calabaza, o croquetas y empanadillas caseras.']","Valoración: 4,4 (42 votos)",2 comensales,45m,Acompañamiento,Dificultad baja,,[],"['6 unidades de Plátanos verdes', '4 tazas de Agua (960 mililitros)', '¼ barra de Mantequilla (o margarina)', '1 unidad de Cebolla blanca gande', '1½ tazas de Agua fría', '2 cucharaditas de Aceite vegetal', '2 cucharaditas de Sal']",https://www.recetasgratis.net/receta-de-mangu-dominicano-6618.html
Aguacate antillano,,"['1\nPoner en la licuadora hielo y todos los ingredientes excepto el aguacate.', '2\nLicuar hasta que el hielo se triture bien.', '3\nSacar la mitad de la mezcla y reservarla.', '4\nLicuar el aguacate con la otra mitad.', '5\nEn una copa servir la mitad de la mezcla del aguacate.', '6\nEncima cuidando que no se mezclen, la otra mitad que se reservó.', '7\nServir.']","Valoración: 3,7 (14 votos)",,,,,,,"['½ taza de la lechera', '1 taza de leche', '1 caballito de ron', '½ aguacate en puré', 'Hielo al gusto']",https://www.recetasgratis.net/receta-de-aguacate-antillano-2.html
Pastel de berenjenas y pimientos con Thermomix,"A continuación te explicamos como hacer un pastel de berenjena y pimientos rojos muy rico con la inestimable ayuda de la Thermomix. Verás que es una receta con muchos pasos pero si sigues poco a poco lo conseguirás.Además, este pastel de berenjenas y pimientos con Thermomix es ideal para servir como guarnición o incluso como un entrante frío en una reunión con amigos. Anímate a preparar algo diferente con ayuda de tu robot de cocina y de RecetasGratis.net.","['1\nParta las berenjenas en trozos grandes, écheles sal y deje reposar durante 15 minutos. Luego lava y enjuaga todo, secándolas bien con papel de cocina.', '2\nParta los pimientos, quíteles las simientes y mézclelos con las berenjenas. Trocee, en dos veces en el thermomix, programando 4 segundos, velocidad 3 1/2 (debe quedar grandecito).', '3\nSaque y reserve. Coloque la mariposa en las cuchillas, eche el aceite y programe 5 minutos, temperatura Varoma, velocidad 1.', '4\nA continuación eche las berenjenas con los pimientos y programe 12 minutos, temperatura Varoma, velocidad 1. Saque la mezcla y póngala a escurrir.', '5\nRetire la mariposa de las cuchillas. Mientras tanto, eche los huevos con la sal y la pimienta en el vaso y bátalos durante 10 segundos En velocidad 2.', '6\nAñada la mezcla de berenjenas y pimientos y remueva bien con la espátula. Mientras, forra el molde para el pastel con papel fil transparente.', '7\nVierta la mezcla en el mismo y tape bien con papel de aluminio o con la tapa que lleva el molde.', '8\nColóquelo en el recipiente varoma, cubra con papel de cocina y tape el recipiente. Reserve. Ponga en el vaso 1/2 i de agua y programe 6 minutos, temperatura Varoma, velocidad 1.', '9\nCuando termine, coloque el recipiente Varoma sobre la tapadera y programe 30 minutos, temperatura Varoma, velocidad 2.', '10\nCompruebe si está cuajado pinchándolo con una brocheta, de no ser así, programe 10 minutos más. Luego, sirve el pastel de berenjenas y pimientos con Thermomix acompañando con un poco de mayonesa o si lo prefiere con una bechamel ligera.']","Valoración: 3,8 (21 votos)",4 comensales,45m,Entrante,Dificultad media,,[],"['400 gramos de Berenjenas enteras', '200 gramos de Pimientos rojos', '5 Huevos', '100 mililitros de Aceite de oliva', '1 pizca de Sal y Pimienta', 'Mayonesa con zumo de limón']",https://www.recetasgratis.net/receta-de-pastel-de-berenjenas-y-pimientos-con-thermomix-31007.html
Thermomix: Pastel De Puerros,Pastel De Puerros riquísimo como la thermomix. Verás si sigues las indicaciones que bien te queda este pastel de puerros.,"['1\nPoner los puerros partidos en rodajas y trocear 5 o 6 segundos velocidad 3 ½.', '2\nPONER LA MARIPOSA EN LAS CUCHILLAS, Agregar mantequilla, aceite, y el azúcar y programar 30 minutos velocidad 1.', '3\nCuando termine añadir el resto de los ingredientes , batir un poco en velocidad 1 1/2 y programar 7 minutos 90º velocidad 1 1/2.', '4\nCuando termine poner dos minutos sin temperatura en V 1 1/2 y dejar que baje el calor para volcarlo rapidamente en un molde de corona de tupper o al gusto.', '5\nDejarlo enfriar un minimo de 3 horas.', '6\nCuando lo desmoldes, servir al gusto con salsa holandesa, mahonesa, rosa.....', '7\nNOTA: en lugar de ponerlo en un molde puede hacer tartaletas de masa quebrada (libro pag 26, añadir una cucharadita de levadura royal) de tamaño individual:cuando sale del horno pincelarlo con clara de huevo y un hornear un poco para que seque.', '8\nEchar aqui el relleno y gratinar.', '9\nQueda muy bonito.']","Valoración: 3,7 (21 votos)",6 comensales,45m,,Dificultad alta,,[],"['500gr de lo blanco de los puerros( lo verde amarga)', '190gr de mantequilla temperatura ambiente', '30 g de aceite', '1 cucharadita de azúcar.', '1 tarrina de queso philadelphia de 200gr', '250 g de nata liquida', '5 huevos', '2 pastillas de caldo de pollo o sal', 'pimienta', 'nuez moscada', 'y un toque de cayena en polvo (optativo)']",https://www.recetasgratis.net/receta-de-thermomix-pastel-de-puerros-31008.html
Thermomix: Pastel De Verduras,"Hacer un pastel de verduras variadas con la Thermomix parece casi imposible, pero si, gracias al Varoma y si sigues los paso que te indicamos a continuación podrás hacer un pastel de verduras exquisito.","[""1\nPoner en el vaso el agua y sal, programar 5' temperatura Varoma, velocidad 2. Laminar los calabacines y las zanahorias y colocar en el recipiente Varoma. Reservar."", ""2\nColocar el Varoma encima de la tapadera y programar 15', Varoma, velocidad 2. Poner el calabacín cocido a escurrir sobre papel de cocina."", ""3\nForrar un molde y extender en él el calabacín. Poner en el vaso los huevos, la nata, la mantequilla, el aceite, sal y pimienta, 5', a 90º, velocidad 4. Cubrir el calabacín con parte de esta mezcla."", '4\nSalpimentar. Poner encima las zanahorias, y cubrir con otra capa de la mezcla. Salpimentar. Colocar encima las lonchas de queso, y acabar con el resto de la mezcla. Salpimentar.', ""5\nPoner el molde en el horno con el pastel de verduras, precalentado a 200º, y hornear de 15 a 20'. Para servir, se puede cubrir con mayonesa y gratinar.""]","Valoración: 2,2 (5 votos)",4 comensales,45m,,Dificultad media,,[],"['500 gramos de agua', '1 pizca de sal', '1 pizca de pimienta', '600 gramos de calabacines sin pelar', '200 gramos de zanahorias', '3 unidades de huevos', '300 gramos de nata líquida', '1 cucharada postre de mantequilla', '1 cucharada postre de aceite', '150 gramos de queso en lochas']",https://www.recetasgratis.net/receta-de-thermomix-pastel-de-verduras-31014.html
Thermomix: Pastel De Berenjenas Y Pimientos,"Hacer un pastel de berenjenas y pimientos con la Thermomix parece casi imposible, pero si, gracias al Varoma y si sigues los paso que te indicamos a continuación podrás hacer un pastel de berenjenas exquisito.","['1\nPartir las berenjenas en trozos grandes, echar sal y dejar reposar 15 minutos.', '2\nLavar y secar bien con papel de cocina.', '3\nPartir los pimientos, quitar las semillas y mezclar con las berenjenas.', '4\nTrocear en la Thermomix en dos veces, programar 4 segundos velocidad 3 1/2.', '5\nDebe quedar grandecito.', '6\nSacar y reservar.', '7\nColocar la mariposa en las cuchillas, echar el aceite y 5 minutos temperatura Varoma, velocidad 1.', '8\nA continuación se echan las berenjenas con los pimientos y 12 minutos temperatura Varoma, velocidad 1.', '9\nSacar la mezcla y ponerla a escurrir.', '10\nQuitar la mariposa. 4.', '11\nMientras tanto echar los huevos, sal y pimienta y batir 10 segundos velocidad 2.', '12\nAñadir la mezcla de las berenjenas escurridas y remover bien con la espátula. Forrar el molde por dentro con film transparente (Albal), se vierte la mezcla y se tapa bien con papel aluminio o con la tapa del molde.', '13\nSe pone en el Varoma, se cubre con papel de cocina y se tapa. Poner en el vaso 1/2 l. de agua programar 6 minutos temperatura Varoma, velocidad 1.', '14\nCuando termine colocar Varoma y 30 minutos temperatura Varoma, velocidad 2.', '15\nComprobar que está cuajado pinchando con una brocheta, de no ser así programar 10 minutos más.', '16\nSe sirve con la mayonesa ó con una bechamel ligera y ya puedes disfrutas de tu pastel hecho con la thermomix.']","Valoración: 3,3 (15 votos)",4 comensales,45m,,Dificultad media,,['Recomendada para vegetarianos'],"['400 gramos de Berenjenas sin pelar', '200 gramos de Pimientos rojos', '5 unidades de Huevos', '100 gramos de Aceite', '1 pizca de Sal', '1 pizca de Pimienta', '1 unidad de Molde Plum cake que quepa en el Varoma (1 L. de capacidad)', '200 gramos de Mayonesa', '1 vaso pequeño de Zumo de limón']",https://www.recetasgratis.net/receta-de-thermomix-pastel-de-berenjenas-y-pimientos-31013.html
Repollitos de Bruselas gratinados,Como puedes ver en la foto este plato de repollitos de Bruselas gratinados son un plato vegetariano muy apetecible y que sorprenderá a tus comensales. Este plato es ideal para que los niños que no quiere comer verdura la coman sin casi ni enterarse. Los repollitos son muy sanos y el queso gratinado le dan es toque de Rock'n Roll.,"['1\nCocinar los repollitos en agua hirviendo y sal, colarlos, poner atención en el punto de cocción de los repollitos, que deben estar crocantes, puesto que luego al gratinarlos se siguen cocinando en el horno. Si los cocinas en la olla presión, con apenas 10 minutos será suficiente. Un típico error es hacer demasiado los repollos. El repollito debe quedar un poco duro.', '2\nCortarlos por la mitad y disponerlos en una cazuela de barro, donde previamente, se habrá untar manteca, crema de leche y un poco de pimienta negra.', '3\nCuando se termine esta capa colocarle por encima ajo fileteado y rehogado en aceite de oliva y manteca, cubrir con crema de leche, manteca y queso parmesano (recién rallado), o cualquier otro queso de buena calidad.', '4\nDisponer por encima la segunda capa de repollitos y proceder de la misma manera, esto se hará con cada capa nueva de repollitos y se terminará con lo anteriormente descripto solo que la última capa llevará el doble de cantidad de queso rallado.', '5\nPrecalentar el horno y gratinar, en apenas 5 minutos será suficiente para que los repollitos con queso queden muy ricos. Ya los puedes servir, un poco calientes para que el queso este fundido y se mezcle perfectamente con el repollo.']","Valoración: 3,6 (72 votos)",4 comensales,30m,Entrante,Dificultad baja,,['Recomendada para vegetarianos'],"['1 kilogramo de Coles de bruselas', '3 cucharadas soperas de Manteca', '2 vasos de Crema de leche', '1 pizca de Pimienta negra', '1 cucharada sopera de Ajo fileteado', '1 chorro de Aceite de oliva', '200 gramos de Queso Parmesano rallado']",https://www.recetasgratis.net/receta-de-repollitos-de-bruselas-gratinados-25549.html
