title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Tacos al Horno,,"['1\nPonga a coser la pechuga de pollo hasta que quede tierna, ponga las tortillas en aceite sin dejar k doren solo una pasada por el aceite caliente, desmenuce la pechuga de pollo, en una licuadora muela el jitomate con poca agua en una casuela ponga poco aceite y vierta la salsa ponga en la misma casuela caldo de polloy deje hervir, una ves hirviendo la salsa agrgue la crema a la salsa y los 2 cubos de sazonador y deje hervir de nuevo.', '2\nDeje reposar una ves hervida la mezcla, desmenuce el queso oxaca, los chiles poblanos pongalos en en la estufa hasta que queden como con unas costrasde dorado y meta en una bolsa para que se desprenda la piel del chile, una ves limpios los chiles haga en rajas.', '3\nUna vez teniendo todos los ingredientes tome un refractarioy valla formando tacos con las tortillas con pollo, rajas, elotes y enrrolle, una vez completado el refractario, agregue la mezcla de salsa y cubra con queso, siga este procedimiento hasta que alcanze el nivel de el refractario, por ultimo meta en el horno hasta que el queso de la superficie quede un poco dorado saque y sirva.']",Valoración: 5 (2 votos),,,,Dificultad baja,"['5 Chiles Poblanos.', '1 Pechuga de pollo.', '200 gramos de jitomate.', '500 ml de caldo de pollo.', '1 lata de elotes.', '2 cubos de sasonador.', 'sal al gusto.', 'aceite de maiz.', '1 kilo de tortillas de maiz.', '400 gramos de queso oxaca.', '1/4 de cebolla.', '400 gramos de crema.']",https://www.recetasgratis.net/receta-de-tacos-al-horno-44104.html,,
Ceviche de Camarones facil,,"['1\nSOFRIE LOS CAMARONES EN UN SARTEN ,PICA LA CEBOLLA EN CUADROS PEQUEÑOS ,Y LA SOFRIE JUNTO CON EL PEREJIL ENTRE 20MIN,DESPUES LO LICUAS CON LAS SALSAS CUANDO LOS CAMARONES HALLAN SOFREIDO ENTRE 20MIN A 30MIN LOS PONEN EN UNA COPA DE CRISTAL Y LE AGREGAS EL LICUADO REVUELVELO POR 5MIN Y LOS LIMONES LOS USAS DE DECORACION LO RALLAS Y LO PONES DESPUES ESTA LISTO PARA 10 PERSONAS.']",Valoración: 4 (1 voto),,,,Dificultad alta,"['3 k de camarones', '1L DE CEBOLLA', 'PEREJIL AL GUSTO', 'SALSA DE TOMATE', 'SALSA DE MALLONESA', '5 LIMONES']",https://www.recetasgratis.net/receta-de-ceviche-de-camarones-facil-44079.html,,
Tamales criollos,"Con esta receta aprenderás a preparar los famosos tamales peruanos. El tamal es el nombre genérico que se le da a un guiso de masa, que puede ser de diferentes carnes o verduras u hojas, con salsas o moles variadas; dulces o salados. El tamal tradicional se envuelve en hojas de plátano, maíz, o aluminio y se cuece al vapor.En esta oportunidad, en RecetasGratis.net te explicaremos cómo hacer tamales criollos, que son un platillo típico de Perú.","['1\nAlistamos todos los ingredientes y vamos a preparar estos deliciosos tamales peruanos. Si no contamos con la pasta de ajo, pelamos una buena cantidad de dientes de ajo y los molemos con poco aceite de oliva a que nos quede la pasta.Igual con la pasta de ají panca o chile mulato, para hacerla desvenamos y remojamos en agua caliente 10 chiles de preferencia la noche anterior, posteriormente los molemos igual con poca agua. Luego colamos y así ya tendremos la pasta de ají panca. De la misma manera procedemos con el ají amarillo, desvenamos chiles criollos amarillos, desvenamos, remojamos y molemos.', '2\nPara iniciar cocemos la carne de puerco hasta que se ablande. El maíz mote es el maíz precocido, que vamos a proceder a moler en la licuadora. Esto lo llevamos a cabo en pequeñas porciones con un poco agua.Aparte cocemos los huevos hasta que queden duros. El achiote lo disolvemos en poca agua y los freímos para que suelte su sabor.\nTruco: Podemos utilizar el maíz precocido.', '3\nPonemos al fuego una cazuela y cuando se caliente, agregamos 1 taza de aceite y luego agregamos dos cucharadas soperas de pasta de ajo a que se sofría.', '4\nLuego agregamos 4 cucharadas de la pasta de ají amarillo. Revolvemos a que se integre al ajo ya dorado.', '5\nLo siguiente es agregar la pasta de ají panca o mulato a nuestra preparación anterior. En este momento agregamos sal, revolvemos a que se integre.', '6\nDejamos que se sazonen muy bien las pastas y luego procedemos a agregar el mote. Lo vamos incorporando poco a poco.', '7\nPor último, agregamos la pasta de achiote. Seguimos cociendo la masa hasta que, tomando una porción con nuestros dedos, no se nos pegue. Sí vemos que está muy seca agregamos un poco de caldo donde se coció la carne. Con este paso ya dejamos lista la masa para los tamales peruanos.\nTruco: Si nuestra masa queda muy aguada agregamos un poco de harina para tamales.', '8\nAhora prepararemos el relleno. Troceamos la carne de puerco en tiras delgadas, la ponemos aparte.En otra cazuela ponemos un chorro grande de aceite y le agregamos pasta de ajo, cuando ya se haya dorado agregamos suficiente pasta de ají panca y dejamos que se siga sofriendo con el ajo.', '9\nAgregamos el comino y pimienta molidos. Mezclamos y por último agregamos la carne de puerco troceada y un poco de caldo. Dejamos que se cueza, rectificamos de sal y reservamos.', '10\nPara preparar las hojas para hacer los tamales, las limpiamos de los dos lados, las recortamos del tamaño de una hoja carta. Luego las ponemos en un comal por unos minutos hasta que cambien de color y las volteamos, así sucesivamente.', '11\nProcedemos al armado de los tamales. Para ello, colocamos una cucharada de masa en el lado menos verde de la hoja de plátano, luego colocamos una porción de la carne de puerco, una trozo de huevo duro, aceitunas y cacahuetes.', '12\nDoblamos la hoja de plátano hasta que sus bordes se junten y los enrollamos, los bordes laterales los doblamos y amarramos con una tira de cordón.Preparamos la vaporera, le ponemos agua y vamos colocando de manera alterna los tamales para que circule el vapor entre ellos. Una vez que hemos terminado de armar los tamales, cubrimos la parte de arriba con los remanentes de las hojas de plátano, le ponemos también un trapo limpio y una bolsa plástica, para que no se salga el vapor.Se cosen por 2 horas aproximadamante.\nTruco: Es importante que el agua no toque los tamales.', '13\nServimos los tamales criollos peruanos y acompañamos con la típica salsa criolla. Si quieres probar otro tipo de tamales también están los típicos tamales mexicanos que tienen un preparación algo diferente. ¡Buen provecho!']",Valoración: 5 (5 votos),30 comensales,3h,,Dificultad media,"['2 kilogramos de Maiz mote', '2 litros de Aceite de oliva', '1 tarro de Pasta de ajo', '1 tarro de Pasta de ají panca', '1 tarro de Pasta de ají amarillo', '4 unidades de Hoja de plátano', '1 barra de Achiote', '1 kilogramo de Pulpa de cerdo', '1 bote de Aceitunas negras', '8 piezas de Aji colorado', '4 unidades de Huevos', '1 cucharadita de Cominos', '1 cucharadita de Pimienta', '1 taza de Cacahuates']",https://www.recetasgratis.net/receta-de-tamales-criollos-44027.html,,"['Recetas al vapor', 'Recetas peruanas']"
Tartaletas de foie,,"['1\nEn un recipiente se pone la harina, se abre un poco en el centro, haciendo un hueco, y se pone la manteca, la leche, el huevo y la sal.', '2\nCon una cuchara de madera se va recogiendo la harina poco a poco hasta formar una masa compacta y fina.', '3\nSe hace una bola y se envuelve en un paño, dejándola reposar una hora.', '4\nPasado ese tiempo se espolvorea la mesa con harina, se echa la masa y se estira con el rodillo hasta dejarla fina.', '5\nSe doran los moldes de tartaletas, se pincha el fondo y se echa un poco de arroz, se meten al horno con calor moderado durante 20 minutos.', '6\nFreímos a fuego lento dos láminas de calabacín rebozadas con huevo y harina.', '7\nUna vez fritos, se rellenan con foie y se vuelven a empanar, esta vez con pan rallado y huevo.', '8\nHacemos una salsa a base de mucha cebolla, un poco de aceite, sal, azúcar y concentrado de carne.', '9\nSe hace a fuego lento y, cuando está todo muy blando, se le añade un poco de zumo de naranja y vino blanco.', '10\nEsta salsa se pasa por el chino y se coloca sobre la tartaleta que ya tiene el calabacín relleno.', '11\nSe decora a gusto de cada cual.']",Valoración: 5 (2 votos),,,,Dificultad baja,"['150 ccs. de aceite', '1 cucharadita de azúcar', '2 calabacines en laminas', '1 cebolla', '150 gr. de foie', '200 gr. de harina', '120 gr. de harina', '1 huevo', '2 cucharadas de leche', '75 gr. de mantequilla', '1 naranja', '100 gr. de pan rallado', '1 pastilla de caldo', '1 vaso de vino blanco']",https://www.recetasgratis.net/receta-de-tartaletas-de-foie-43897.html,,[]
Dip de mostaza,"Los dips o cremas para untar son ideales para organizar un buen picoteo. Si tenemos fiestas o gente en casa, lo mejor es tener algo para picar o como pasa-palo y la receta que te traemos a continuación es una exquisitez que entra dentro de esta categoría.El dip de mostaza que te enseñamos en RecetasGratis no es solo una salsa de mostaza, es más bien una crema suave y delicada que se hace con huevo, crema de leche y un toque de azúcar. Su sabor te sorprenderá y querrás ponérselo a todo, así que anímate y vamos ¡manos a la obra!","['1\nEl primer paso para hacer esta fabulosa salsa para picar, es batir las claras a punto de nieve firme. Reserva.', '2\nPor otro lado, hacemos un almíbar suave cocinando el el azúcar con un poco de agua a fuego medio-alto. Reserva.', '3\nEn otro cazo, cocinamos la nata cuidando de que no se pegue y cuando esté caliente, sin dejar de remover, añadimos el caramelo que hemos preparado en el paso anterior.', '4\nPara terminar, incorpora el zumo de limón, la mostaza, la sal, la pimienta y las claras. Continua removiendo la mezcla hasta que se integre todo y deja para el final, la yema. Es importante que la salsa de mostaza no llegue a hervir. \nTruco: Puedes añadir un poco de cebolla picada finamente si lo deseas.', '5\nY listo, dejamos reposar hasta enfriar completo y ya tenemos un estupendo dip de mostaza para acompañar los platos que más nos gusten. Mi recomendación, es servir esta salsa de mostaza con verduras hervidas, cruddités o bolitas de carne.Esta receta no puede faltar en tu carpeta de cremas para untar o picoteo y si te gusta la mostaza, también puedes incluir la mantequilla de mostaza, la que incluso podrás usar para cocinar todo tipo de platos.']",,4 comensales,15m,Entrante,Dificultad media,"['1 cucharadita de Azúcar', '1 unidad de Cebolla', '2 unidades de Clara de huevo', '1 cucharada sopera de Mostaza', '150 gramos de Nata líquida', '1 pizca de Pimienta negra', '1 pizca de Sal', '1 unidad de Yema de huevo', '1 cucharadita de Zumo de limón']",https://www.recetasgratis.net/receta-de-dip-de-mostaza-43898.html,,[]
Empanadas fritas primavera.,,"['1\nMASA En un recipiente agregue la harina,luego la manteca bien caliente derretida en una sarten,luego el agua hervida con sal,mezcle bien hasta quedar como la tipica masa de empanadas.', '2\nRELLENO.', '3\nEn una olla saltee el repollo junto con la carne molida,luego ralle la zanahoria y agreguela,luego la pimienta el ajo y la sal dejela hasta que el repollo este bien cocido.', '4\nLuego haga bollitos de masa y amasela con un uslero bien delgaditas y cortelas a la medida de un platillo, agregue el relleno y dele la forma que guste.', '5\nCaliente muy bien el aceite frialas y sirvalas calientitas.', '6\nUnas empanadas ricas y economicas.']",Valoración: 5 (4 votos),,,,Dificultad baja,"['1 Kg de harina sin polvos de hornear.', '1/4 Kg de manteca.', '1 cucharada y media de sal.', 'Agua caliente.', '1 Repollo', '1 Kilo de carne molida', '1 Zanahoria', 'ajo en polvo', 'pimienta', 'sal', 'aceite para freir.']",https://www.recetasgratis.net/receta-de-empanadas-fritas-primavera-43541.html,,
tarta de pollo y papa,,"['1\nPica el tomate en cubos y ponlo a freir con la cebolla medio consomate hasta que hierva. Licua el queso con la leche e incoroporalo con el tomate y dejalo hasta que hierva. Guisa las papas con la otra mitad del consomate y reserva en un refractario coloca una cama de papas y vierte la salsa.', '2\nDespues coloca las tiras de pollo y otra cama de papas y el restante de la salsa hornea a 250º de 25 a 30 minutos y sirve.']","Valoración: 3,3 (36 votos)",,,,Dificultad alta,"['250 gramos de pechuga de pollo deshuesada y cortada en tiras', '2 papas cocidas y en cubos', '1 tomate', '1 consomate', '1/4 de cebolla picada', '1/2 taza de leche', '3 rebanadas de queso amarillo', '1/2 barra de mantequilla']",https://www.recetasgratis.net/receta-de-tarta-de-pollo-y-papa-43495.html,,[]
Enchiladas rojas mexicanas,"Si eres un amante del picante y la comida típica mexicana, estas enchiladas rojas te van a encantar. Son muy fáciles de preparar y el resultado un entrante espectacular, ¿te lo vas a perder? Sigue leyendo y prepara con RecetasGratis.net enchiladas mexicanas.","['1\nPicamos la cebolla finamente y la mezclamos con el queso ya cortado. Podemos utilizar queso mozarella sin problemas. Aparte, ponemos los ajíes a remojo para limpiarlos. Cuando estén bien limpios, los licuamos junto con los ajos pelados las especias, sal y un poco de agua del remojo.', '2\nPonemos una sartén a calentar con abundante aceite para freír. Una vez caliente, pasamos cada una de las tortillas por la salsa de ají y las freímos por ambos lados. Las pasamos a un plato grande y las rellenamos con la mezcla de queso y cebolla, enrollamos y las pasamos a una fuente.', '3\nA la hora de servir, decoramos las enchiladas rojas con los rabanitos y la lechuga picada. ¡Buen provecho!']","Valoración: 2,8 (14 votos)",6 comensales,30m,Entrante,Dificultad media,"['12 unidades de Tortillas chicas', '1 unidad de Cebolla', '½ taza de Queso cortado en tiras finas', '6 unidades de Ajíes (chiles anchos)', '2 dientes de Ajo', '1 pizca de Pimienta', '1 rama de Canela', '2 unidades de Clavos de olor', '5 unidades de Rábanos', '1 unidad de Lechuga picada', 'Aceite para freír', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-enchiladas-rojas-mexicanas-43436.html,,['Recetas mexicanas']
Sándwich de pollo y yogur,,"['1\nColocar a cocinar el pollo en agua hirviendo hasta que este suave. Luego, esperar que enfríe un poco y desmenuzarlo.', '2\nA continuación, mezclar el pollo con la mayonesa, el yogur y sal y pimienta hasta que se integre bien todo.', '3\nFinalmente tostar ligeramente el pan y rellenar, primero la lechuga, luego el pollo y por último las rodajas de tomate y a disfrutar del original sándwich de pollo con yogur.', '4\nLo bueno de esta receta fácil de sándwich es que puedes incluir los ingredientes que prefieras o hacerla con el pan de tu gusto. No dudes en agregar aguacate o queso, quedará muy bien.']",Valoración: 4 (1 voto),2 comensales,15m,,Dificultad baja,"['1 pechuga de Pollo', '4 rodajas de Pan blanco', '2 hojas de Lechuga', '4 rodajas de Tomate', '1½ cucharadas soperas de Yogurt natural (kumis)', '1½ cucharadas soperas de Mayonesa', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-sandwich-de-pollo-y-yogur-43397.html,,[]
Benjamin Emilio,,"['1\nAbra los panes y colóquelos en el horno para calentarlos.', '2\nCocine las salchichas en agua hirviendo.', '3\nDéjelas escurrir.', '4\nColoque las salchichas dentro del pan y decore con salsa de tomate, mostaza, tiritas de queso, papas fritas y dulce de piña.', '5\nSirva caliente.']","Valoración: 3,4 (9 votos)",,,,Dificultad media,"['6 tajadas de queso', '6 salchichas', 'salsa de tomate frasco', 'Mostaza al gusto', '6 Pan para perros', 'Dulce de piña al gusto', 'Papa frita desmenuzada al gusto']",https://www.recetasgratis.net/receta-de-benjamin-emilio-43396.html,,
