title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Pizza con harina de maíz,"Hoy vienen en la tarde unos amigos para ver películas o el fútbol, y tú quieres agasajarlos con una comida rica, económica y fácil. Piensas...!Pizza! Pero existe un detalle, no tienes harina de trigo o uno de tus amigos es celiaco !Qué estrés!En RecetasGratis siempre pensamos en alternativas que puedan ayudarte en la cocina, ""cero estrés"", por eso te traemos una deliciosa opción: pizza con harina de maíz.¡Mmmm! Te aseguro repetirás, muchas veces más.","['1\nEsta deliciosa receta de pizza sin gluten es tan fácil y sabrosa que no lo podrás creer. Dispón de varios recipientes y coloca en ellos las medidas exactas de los ingredientes necesarios para esta receta.\nTruco: Si eres celiaco, verifica que la harina de maíz no esté enriquecida con algún cereal que contenga gluten o el maíz sea de semillas transgénicas.', '2\nPaso seguido deposita la harina de maíz en un bol. Aplica aproximadamente media taza de agua tibia, más o menos y amasa.\nTruco: Si preparas este alimento para alguien celiaco, procura no contaminar los utensilios o el área de trabajo con otros ingredientes que contenga gluten.', '3\nCuando logres una masa homogénea, la masa para pizza sin gluten estará lista.\nTruco: Si la masa se quiebra coloca un poco más de agua y si está muy pegajosa un poco más de harina.', '4\nCrea una bola con la masa. Forma con las manos un disco grande, con toda la masa o casi toda, esto dependerá del grosor que prefieras.\nTruco: Coloca una sartén a precalentar.', '5\nColoca el disco de maíz en la sartén o plancha, durante 5 minutos por cada lado. Podríamos decir que esto sería como una especia de arepa pizza por su similitud en cuanto a su elaboración se refiere.', '6\n¡Listo tienes una súper arepa! Ahora sólo falta el paso que la convertirá en una exquisita pizza.Para ello, retira la arepa pizza de la sartén y colócala en un plato. Primero, pon en la superficie el queso mozzarella, de forma generosa. Luego, agrega el pepperoni. Finalmente, espolvorea el orégano al gusto. Para fundir la cubierta un poco, lleva al microondas 30 segundos o a la sartén. Si es en la sartén, cubre la arepa con una tapa de cazo por unos segundo y...¡A comer!\nTruco: Si eres celiaco, verifica que el embutido sea libre de gluten.', '7\n¡Mamma mia!... ¡Que delicia! Una pizza con harina de maíz, pensada en los celiacos y todo aquel que desee una pizza algo más ligera. El queso fundido y el sabor picantoso del pepperoni junto a la masa de maíz, es simplemente indescriptible. ¡Te dije que sería facilísima!Puedes realizar muchas versiones de esta deliciosa y creativa arepa pizza.Te invito a probar otros sabores: capressa, margarita, hawaiana, jamón y panceta, napolitana y 4 quesos. Comparte con nosotros una foto de tú creación y coméntanos ¿Qué te parece esta receta? ¿Qué otro sabor se te ocurre a ti? ¡Casi no puedo esperar para ver vuestras creaciones!']","Valoración: 4,5 (6 votos)",1 comensal,10m,Plato principal,Dificultad baja,,['Receta sin gluten'],"['1 taza de Harina de maíz (120 gramos)', '100 gramos de Pepperoni', '100 gramos de Mozzarella', '1 pizca de Orégano']",https://www.recetasgratis.net/receta-de-pizza-con-harina-de-maiz-60839.html
Arepas de calabacin y cilantro,"Aunque la arepa es un plato típico de ciertos lugares del Caribe, hoy en día, su fama es mundial. Existen muchas versiones y rellenos pero la arepa de calabacín y cilantro es una deliciosa alternativa fitness. Esta vez en RecetasGratis, interesados por tu salud y buena forma, compartimos este increíble invento culinario por si no sabes cómo hacer arepas de vegetales. ¡Te prometemos, una deliciosa degustación!","['1\nAntes de comenzar con esta deliciosa receta de arepas venezolanas, es importante preparar el área de trabajo. Coloca recipientes con los ingredientes lavados, picados y en las medidas correspondientes.', '2\nDeposita en un bol todos los ingredientes, para amasar las arepas de vegetales.', '3\nMezcla muy bien, hasta lograr una masa homogénea.\nTruco: Si se pega la masa, rocía un poco agua en tus manos o aceite.', '4\nPrepara una bola con la masa de las arepas de calabacín y cilantro. Divídela en dos, crea otras dos bolas. Entonces dale forma de disco a cada bola.\nTruco: Coloca una sarten en la hornilla.', '5\nColoca las arepas en la sartén, budare o plancha. Cocínalas 5 minutos por cada cara. Si deseas que queden perfectamente cocidas, cúbrelas con una tapa de cazo y déjalas aproximadamente un 1 minutos más.', '6\n¡Que delicia! Estas maravillosas arepas de calabacín y cilantro son ideales para cualquiera que desee mantenerse sano y en forma. Este rico plato puede reemplazar al pan y acompañar sopas, servir de refrigerio, desayuno, cena y de vez en cuando salva hasta algún almuerzo. Rellena esta maravillosa arepa de vegetales con la ensalada de tu preferencia y alguna proteína. ¡Será un placer al paladar!Me encantaría saber tú opinión de esta receta y si te animas a preparar este plato, por favor comparte tu foto.']",,4 comensales,15m,Entrante,Dificultad baja,,"['Recomendada para perder peso', 'Receta sin gluten', 'Recetas venezolanas']","['3 tazas de Harina de maíz (360 gramos)', '2 tazas de Calabacín', '½ taza de Hojas de cilantro', '1 cucharada sopera de Aceite (para engrasar)', '2 tazas de Agua tibia', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-arepas-de-calabacin-y-cilantro-60837.html
Sopes al estilo Guadalajara,"Los sopes mexicanos son de las entradas más populares que existen ya que son súper versátiles, prácticas, fáciles de preparar y económicas, pues no te debes atar a determinados ingredientes, en este platillo tu imaginación es el límite.En esta ocasión en RecetasGratis prepararemos unos increíbles sopes al estilo Guadalajara, una receta exquisita ya que combinan el delicioso sabor de la masa de maíz crujiente, los frijoles refritos y como proteína principal, estos llevaran chorizo frito y además los acompañaremos con un poco de lechuga fresca rallada, queso, crema y salsa.Te invitamos a que sigas con nosotros y juntos preparemos estos exquisitos sopes estilo Guadalajara, te aseguramos que con este platillo sorprenderás a todos en casa y tú querrás cocinarlos una y otra vez más.","['1\nEn la siguiente imagen podrás observar los ingredientes que necesitaremos para la preparación de estos deliciosos sopes al estilo Guadalajara.En el caso de que quieras preparar las tortillas para sopes caseras visita esta receta de sopes de carne deshebrada para ver cómo se hacen.', '2\nVamos a comenzar cocinando el chorizo, para esto en un sartén con un poco de aceite muy caliente agregamos la cebolla finamente picada, y una vez que esta se ve transparente añadimos el chorizo y dejamos que se fría hasta dorar. Una vez listo, lo retiramos del fuego y reservamos un momento.', '3\nPor otro lado tomamos las tortillas para sopes mexicanos y las colocamos en la plancha caliente la cual debe tener un poco de aceite: esto lo hacemos para dorar nuestra tortilla. Una vez dorada la retiramos del fuego.', '4\nAhora tomamos nuestras tortillas para sope doradas y les añadimos un poco de frijoles refritos en toda su superficie.', '5\nEnseguida tomamos el chorizo dorado y de la misma forma que los frijoles añadimos suficiente a cada uno de nuestros sopes estilo Guadalajara.', '6\nY ¡LISTO!, servimos los sopes al estilo Guadalajara acompañados con crema agria, queso rallado y lechuga, y además puedes aderezarlos con tu salsa favorita.']",,4 comensales,30m,Entrante,Dificultad baja,,['Recetas mexicanas'],"['8 piezas de Tortillas para sopes', '400 gramos de Chorizo', '1 taza de Frijoles refritos', '½ pieza de Cebolla', '2 cucharadas de postre de Aceite', '1 taza de Crema agria', '1 taza de Queso rallado', '1 taza de Lechuga rebanada']",https://www.recetasgratis.net/receta-de-sopes-al-estilo-guadalajara-60852.html
Quesadillas fritas de papa,"Recientemente ha habido una gran controversia sobre si se nombra quesadillas a una tortilla rellena solo de queso o también se le puede nombrar quesadilla a una tortilla que lleva queso pero combinado con algún otro ingrediente. La verdad, yo creo que si lleva queso se le puede nombrar quesadilla, independientemente de que lleve o no algún otro ingrediente. De cualquier forma, las quesadillas fritas son un platillo súper sencillo, versátil, económico y delicioso, eso nadie lo puede negar.Es por eso que en esta ocasión en RecetasGratis hemos decidido traer para ti una exquisita receta de quesadillas fritas de papa. Se trata de unas quesadillas rellenas de un delicioso puré de papa y por supuesto, llevarán un poco de queso para cumplir con el nombre.Te invitamos a que sigas con nosotros y juntos preparemos paso a paso estas deliciosas quesadillas mexicanas, te aseguramos que te encantarán y a todos en casa también.","['1\nEl primer paso es reunir los ingredientes que necesitaremos para la preparación de estas deliciosas quesadillas fritas de papa.', '2\nVamos a comenzar cocinando la papa, para esto la colocamos partida en mitades en una cacerola con suficiente agua hirviendo, añadimos un trozo de cebolla, una pizca de sal y un diente de ajo, y dejamos que se cueza hasta que la papa esté muy suave; esto tarda aproximadamente 25 minutos.', '3\nUna vez lista la papa la colocamos en un tazón profundo y con ayuda de una triturador, aplastamos la papa hasta formar un puré, añadimos lo que resta de la cebolla finamente picada, una pizca de sal, una pizca de pimienta y listo.', '4\nAhora con la masa de maíz, formamos una tortilla de tamaño y grosor normales, sobre ella colocamos un poco de nuestro puré de papa acompañando con algunas hebras de queso de hebra, doblamos la tortilla para formar nuestra quesadilla frita y sellamos perfectamente presionando las orillas.', '5\nUna vez lista la quesadilla de papa, la llevamos a freír en un sartén con aceite muy caliente, dejamos que se dore muy bien de los dos lados, y una vez lista la retiramos del fuego y colocamos sobre papel absorbente para retirar el exceso de aceite.', '6\nY ¡LISTO!, podemos servir las quesadillas fritas de papa acompañadas con un poco de crema agria, queso rallado, lechuga y tu salsa preferida.']",Valoración: 5 (2 votos),6 comensales,45m,Entrante,Dificultad baja,,['Recetas mexicanas'],"['1 kilogramo de Masa de maíz', '½ kilogramo de Papa', '200 gramos de Queso de hebra', '½ pieza de Cebolla blanca', '1 diente de Ajo', '½ pieza de Lechuga', '1 tableta de Crema agria', '1 taza de Queso rallado', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-quesadillas-fritas-de-papa-60851.html
Arepas de arroz con maicena,"¿Te quedó arroz del día anterior? ¡Perfecto! RecetasGratis te resuelve el desayuno, con una deliciosa y económica receta: arepas de arroz cocido. Originalmente esta receta se inspira en la tortitas de arroz zulianas, la preparación es muy parecida pero la diferencia es que las tortitas son dulces y las arepas no.¿Imaginas los nutrientes que contiene esta receta? El maíz dulce posee gran cantidad de fuentes nutritivas: hidratos de carbono, fibra, sales minerales como potasio, magnesio, hierro, calcio, zinc, sodio y fósforo. También posee vitaminas A, B1, B2, B3, B6, B9, E y C. Además, el germen del grano de maíz contiene un aceite que no tiene colesterol. Para esta receta puedes utilizar maicena (fécula de maíz) o harina de maíz (precocida o preparada), ambas dan excelentes resultados, aunque nosotros hemos optado por elaborar unas arepas de arroz con Maizena, pudiendo emplear esta marca de maicena o cualquier otra.El arroz blanco, por su parte, contiene variados nutrientes: proteínas, fibra, sodio, niacina, fósforo, ácido pantoténico o vitamina B5, cobre, magnesio, zinc, potasio, tiamina y carbohidratos. Además, en la versión integral posee cero colesterol. Suma las maravillas nutritivas del maíz y el arroz, a un relleno de tu preferencia. Resultado: ¡un plato nutritivo, económico y fácil!","['1\nDispón los ingredientes, antes de comenzar a trabajar en estas arepas de arroz caseras. Primero coloca las medidas indicadas en varios recipientes, esto te facilitará el trabajo un montón.\nTruco: Es aconsejable que el arroz sea del día anterior, la consistencia que adquiere ayuda a esta receta.', '2\nLo primero que debes hacer es mezclar la maicena con el arroz cocido. Para lograr una buena textura en la masa, realiza intervalos de amasado. En unos aprieta la mezcla con tu puño cerrado, como plastilina, esto ayuda a eliminar grumos. En otros, mueve la masa en el recipiente de forma envolvente. Agrega poco a poco las seis cucharadas de agua, a medida que amases. Aplica sal al gusto.', '3\nCuando tengas una masa homogénea, con una textura firme pero no pegajosa, la preparación estará en su punto. Realiza una bola.Dispón una sartén con aceite o sin aceite, depende si prefieres la arepa de arroz con maicena en versión frita o asada.\nTruco: Recuerda que es importante que la sartén esté bien caliente antes de colocar las arepas venezolanas, por eso es recomendable precalentar.', '4\nEste paso es opcional, pues puedes agregar o no el huevo. Si prefieres arepas de maicena y arroz con una textura crujiente, te recomiendo usarlo. No obstante, repetimos, esta receta queda perfecta con o sin el huevo.\nTruco: El huevo le da más humedad a la masa y la compacta cuando amasas. Si lo pones al final y fríes, dará un toque crujiente al degustar.', '5\nAmasa solo un poco, hasta que el huevo se integre. Quizá se pegue la masa un poquito a tus manos, no te preocupes eso le dará una textura interesante.\nTruco: Si sientes que se pega mucho la masa, añade un poco de agua en tus manos o aceite.', '6\n¡Lista la versión con huevo! Ahora divide la bola en dos partes y forma dos bolas separadas. Coloca una de las bolas entre tus palmas, simula un aplauso corto, casi sin separar las palmas. Cada palmadita hazla girando las manos un poco. Haz ese movimiento hasta lograr un disco de masa. Si no logras una arepa de arroz y maicena circular a la primera no te preocupes, se necesita algo de práctica, igual quedará deliciosa.', '7\nLa sartén ya nos espera precalentada. Cocina las arepas sin harina de trigo y espera cinco minutos entre vuelta y vuelta. La hornilla debe estar a fuego medio.\nTruco: El aceite debe estar bien caliente.', '8\n¡Qué delicia! Estas arepas de arroz cocido con maicena están listas para el relleno. Este plato combina con muchos rellenos pero yo lo preparé con queso blanco y aguacate. La cubierta de la arepa está crujiente y el queso derretido con aguacate... Solo puedo decir: ¡mmmm!', '9\nPor favor, cuéntame..., ¿cómo te quedaron las arepas sin gluten? ¿Con qué la rellenaste? ¿Qué combinación creativa se te ocurre con este plato? Me encantará ver una foto de tu creación y un comentario. Y si quieres conocer otros tipos de arepas venezolanas, no te pierdas las siguientes ideas:Arepa pabellónArepa de auyama con maicena']",Valoración: 5 (3 votos),2 comensales,15m,Plato principal,Dificultad baja,,"['Receta sin gluten', 'Recetas venezolanas']","['1 taza de Arroz cocido (175 gramos)', '1 Huevo (opcional)', '6 cucharadas soperas de Maicena o harina de maíz', '6 cucharadas soperas de Agua', '1 pizca de Sal al gusto (opcional)']",https://www.recetasgratis.net/receta-de-arepas-de-arroz-con-maicena-60785.html
Arepa de auyama sin harina de maíz,"Quieres comer arepa pero… ¡te apetece algo saludable! No te preocupes, RecetasGratis te trae una exquisita y nutritiva opción. Te invitamos a probar las deliciosas arepas de auyama sin harina de maíz. Sólo necesitas dos ingredientes: auyama y maicena, así que no hay excusas. ¡Su suave consistencia te encantará!Esta deliciosa arepa de auyama con maicena la puedes rellenar con aguacate y queso blanco, ensalada caprese, ensalada de pollo, queso amarillo o… ¡cualquier delicia que se te ocurra!","['1\nPara facilitar el trabajo en la cocina, es recomendable ser ordenado y tener todo a la mano. La medida correcta y los ingredientes dispuesto según la receta. Así que luego que tengas lista la mesa de trabajo, puedes comenzar a cocinar...será muy rápido y más fácil. Ahora...¡Manos a la obra! Vamos a preparar estas deliciosas arepas económicas.', '2\nEn muchas recetas light, la calabaza es la protagonista por su consistencia, nutrientes y... ¡sabor! Sancocha la auyama, pincha con un tenedor los trozos y comprueba que están suaves pero aún firmes. Retira del fuego, luego dejar refrescar un poco y retira la concha.Otra opción es precalentar el horno el horno a 180º C y cuando alcance la temperatura deseada, envuelve la auyama con concha en papel de aluminio y hornea. Espera de 30 a 45 minutos, hasta que la pulpa quede suave pero sólida. Luego, saca la auyama del horno, y deja que refresque para cortar en láminas. Posteriormente, aplasta las láminas hasta crear un puré de calabaza.En ambos procesos, lo más importante es la consistencia final de la auyama, que debe ser firme.\nTruco: La consistencia de la auyama debe estar firme, para que el puré sea consistente y así la masa de la arepa sea adecuada.', '3\nSi elegiste hervir la auyama, debes pasar los trozos por un colador para retirar el exceso de agua. Reserva una taza del agua de la calabaza, para humedecer posteriormente la masa de las arepas de maizena.\nTruco: Para retirar el exceso de agua, puedes usar un colador pero es preferible usar una manguita de colar café, un pañito limpio, gasa o un pedazo de tela limpia.', '4\nPrepara un puré con los trozos de calabaza. Recuerda que debe quedar firme para que resulte esta receta de arepas de maizina sin gluten. Puedes sustituir la maicena por harina de arroz, si lo prefieres. Las arepas de auyama con harina de arroz son también muy deliciosas.\nTruco: Pre-calienta el budare o la sárten.', '5\nColoca el puré en un bol y agrega la maicena poco poco, mientras amasas. Pon sal al gusto. Amasa hasta obtener una consistencia compacta.\nTruco: Sí notas que se pega mucho a tus manos la masa, agrégale un poco más de maicena, pero poco a poco. También puedes humedecer tus manos con un poco de aceite.', '6\nForma una bola con la masa de las arepas venezolanas, divídela en dos y forma dos bolas. Con cada bola forma unos discos de masa.\nTruco: Agrega a la mezcla linaza en polvo, si lo deseas o semillas de chía.', '7\nColoca en el budare o sartén un poquito de aceite, para evitar que las arepas de auyama se peguen. El budare se parece a una plancha de metal, que se utiliza en Venezuela para cocinar arepas y cachapas. Luego, si deseas puedes pasarlas por el horno para que queden más tostaditas.Si optas por la sartén o budare, cocina cinco minutos por cada lado. Luego, cubre la arepa de maizena con la tapa de un cazo. Así, se terminará de cocer de forma más pareja.\nTruco:', '8\n¿Dime si no se te hace agua la boca? El sabor dulzón de la auyama con queso blanco derretido, con ensalada de atún o con los famosos frijoles negros (alubias negras , judías negras, caraotas negras, burritos o gallo pinto). En mí país hay un plato llamado pabellón criollo, excelente para rellenar esta arepa, pero también es rico al revés, acompañar al pabellón con la misma.', '9\nMe encantaría conocer tú opinión, acerca de esta receta de arepas de auyama sin harina de maíz y si compartes una foto de tú creación ...¡mejor aún!. Si deseas chequear otras recetas saludables o recetas con calabaza, sólo continúa curioseando por aquí.']","Valoración: 4,3 (9 votos)",2 comensales,15m,Desayuno,Dificultad baja,,"['Receta sin gluten', 'Recetas venezolanas']","['1 kilogramo de Auyama', '1 taza de Maicena o fécula de maíz', '1 pizca de Sal al gusto']",https://www.recetasgratis.net/receta-de-arepa-de-auyama-sin-harina-de-maiz-60783.html
Arepa de auyama y avena,"Suena la alarma del reloj… ¡Hora de levantarse! Las primeras horas de la mañana son las indicadas para nutrir nuestro organismo de manera adecuada para iniciar bien el día. Un buen carbohidrato acompañado de proteína es la mejor elección. RecetasGratis te trae a una reina mañanera en una versión exquisita: arepa de auyama y avena. ¡Sí! Une todos los nutrientes del maíz, la calabaza y la avena. Luego, agrégale un relleno proteínico y... ¡A sonreír al día!","['1\nOrdena tú área de trabajo para iniciar la preparación de éstas deliciosas arepas de verdura. Lava y pica en trozos la calabaza. Luego, hierve los trozos en un cazo, hasta que estén blandos. Retira del fuego la auyama y prepara un puré. Reserva el puré en un recipiente. Ahora, ya todos los ingredientes dispuesto, comienza a preparar la masa de las arepas venezolanas.', '2\nUtiliza un bol e incorpora la harina de maíz, el puré de auyama y la avena. Amasa hasta lograr una masa homogénea. Las arepas de avena, siempre tienen una deliciosa consistencia.', '3\nRealiza una bola con la masa de la arepa de auyama y avena. Divídela en dos, y haz dos bolas más. Amasa cada bola, hasta obtener una forma circular, semejante a un disco, con un grosor mayor de 1cm.', '4\nEn una sartén, previamente caliente, coloca las arepa. Cocina 5 minutos por cada cara, luego coloca una tapa de cazo encima de la arepa de avena, para concentrar el calor y se termine cocinar parejo.\nTruco: Pre-calienta la sartén, antes de colocar las arepas.', '5\n¡Momento de degustar! Estas exquisitas arepas venezolanas serán la sensación de tus desayunos, rellenas con vegetales y proteínas, te encantarán. Hoy a mí me provocó con aguacate y queso blanco, debo confesar que adoro esta combinación para el relleno.Cuéntame, ¿cómo quedaron tus arepas de auyama y avena? ¿Te gustó la receta? Si no te las comes primero, por favor manda una foto con el resultado.']",Valoración: 5 (1 voto),2 comensales,15m,Entrante,Dificultad baja,,['Recetas venezolanas'],"['1 taza de Harina de maíz precocida', '1 taza de Auyama hervida', '½ taza de Avena', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-arepa-de-auyama-y-avena-60784.html
Tacos al pastor veganos,"Al escuchar las palabras ""México"" y ""comida"", te aseguro que lo primero que viene a tu mente es la palabra ""tacos"", ¡y claro!, ¿quién no ha escuchado hablar de este famoso platillo?En cualquier parte del mundo se puede preparar algún tipo de taco mexicano teniendo los ingredientes base que serían en primer lugar, la tortilla de maíz y en segundo lugar cualquier guisado, carne o verdura con la que se pueda rellena. Los tacos normalmente se rellenan de alguna proteína animal ya sea carne de cerdo, de res o de pollo, pero en esta ocasión en RecetasGratis traemos para ti una deliciosa idea para preparar ricos tacos mexicanos veganos, y como sabemos que el estilo de taco que más se consume es el taco al pastor, los haremos de esta manera.Te invitamos a que sigas con nosotros y descubras cómo hacer tacos al pastor veganos, ya verás que quedarás sorprendido.","['1\nPara preparar estos tacos al pastor veganos, lo primero que hay que hacer es reunir los ingredientes que necesitaremos como puedes ver en la siguiente imagen.', '2\nPara comenzar con nuestra preparación pondremos a hidratar nuestra soja texturizada, para esto la colocamos en una cacerola con agua hirviendo, añadimos una pizca de sal, las hojas de laurel y dejamos que se suavice completamente. Esto tardará aproximadamente 10 minutos a fuego alto.Una vez lista la retiramos del fuego, dejamos enfriarse, y una vez fría la exprimimos perfectamente para retirar el exceso de agua que pudiera contener aún y la reservamos un momento.', '3\nPor otro lado, del mismo modo en agua muy caliente colocamos a suavizar los chiles guajillo y pasilla.', '4\nUna vez blandos los chiles pasilla y guajillo, los colocamos en la licuadora junto con el vinagre, el agua, la canela, la pimienta, el comino, el clavo, la mejorana, los ajos, la mitad de la cebolla y una pizca de sal, y licuamos hasta obtener una salsa homogénea para los tacos de soya al pastor.', '5\nUna vez lista la salsa la añadimos colándola sobre la soja, integramos todo muy bien, procurando que toda la soja se impregne de la salsa. Entonces cubrimos con papel film y dejamos reposar en el refrigerador por al menos 4 horas.', '6\nUna vez pasado este tiempo o más si así lo deseas, tomamos un poco de cebolla picada y dejamos que se fría en un sartén con aceite caliente. Una vez lista la cebolla añadimos la soja texturizada y dejamos que se fría hasta que esta bien cocida, puedes añadir también trozos de piña, para que la soja tenga más sabor a pastor.', '7\nUna vez listo el relleno, tomamos las tortillas de maíz y formamos los tacos mexicanos veganos, añadiendo un poco de piña picada y acompañando con un poco de cilantro picado o tu salsa favorita, y ¡LISTO! Ya podemos disfrutar de estos exquisitos tacos al pastor veganos.']",Valoración: 4 (1 voto),6 comensales,8h,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Recetas mexicanas']","['3 tazas de Soja texturizada', '3 piezas de Chile pasilla', '3 piezas de Chile guajillo', '½ taza de Vinagre blanco', '5 hojas de Laurel', '6 piezas de Pimienta gorda', '5 piezas de Clavo', '2 dientes de Ajo', '1 cucharada sopera de Comino', '1 trozo de Canela entera', '1 pieza de Cebolla', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-tacos-al-pastor-veganos-60828.html
Tarta de cebolla caramelizada y queso brie,"El hojaldre es una masa que se presta muy bien para elaborar recetas tanto dulces como saladas. En mi frigorífico siempre hay hojaldre, porque te saca de más de un apuro ya que en pocos minutos puedes preparar cosas ricas a la vista y al paladar, como esta tarta de cebolla caramelizada y queso brie que comparto con RecetasGratis y que podemos preparar por la mañana, para así tenerla crujiente para la cena. Eso sí, hay que utilizar un hojaldre de calidad.Si quieres preparar una tarta de hojalde salada sabrosísima y con fundamento, sigue el paso a paso que te propongo y obtendrás una tarta de cebolla y queso para chuparse los dedos.","['1\nEl primer paso para preparar esta tarda de cebolla caramelizada y queso brie es calentar el aceite en una sartén, y de mientras pelamos y cortamos en juliana las cebolletas. Freímos a fuego lento hasta que esté la cebolleta blanda y caramelizada sin que llegue a deshacerse. Un vez hecha, ponemos un poco de sal y reservamos quitándole el exceso de aceite si lo tiene.', '2\nA continuación, precalentar el horno a 180 grados. Cortamos la lámina de hojaldre en rectángulos de 5x16 centímetros (dependiendo del tamaño que le demos salen más o menos cantidad de tartaletas de cebolla caramelizada y queso brie).', '3\nDespués, pinchamos con un tenedor los rectángulos de hojaldre y los metemos en el horno unos 10 minutos.Sacamos las tartas de hojaldre, las cubrimos con la cebolla y encima ponemos lonchas de queso brie. Volvemos a meter al horno unos minutos hasta que el queso se derrita.', '4\nPara el aceite de aceitunas (también conocido como paté de aceitunas u olivada), escurrimos bien las aceitunas, las picamos en el mortero hasta obtener una pasta y vamos añadiéndole el aceite poco a poco. Una vez que sacamos las tartas de cebolla caramelizada y queso brie del horno, les ponemos por encima un poco de este aceite de aceitunas ¡y listo!Vista mi blog La Cocina de Catina para descubrir muchas más recetas ricas como esta.']",,4 comensales,1h 30m,Entrante,Dificultad baja,,['Recetas al horno'],"['1 lámina de Hojaldre rectangular', '3 unidades de Cebolletas tiernas o dulces', '1 cuña de Queso brie', '3 cucharadas soperas de Aceite de oliva', '½ cucharadita de Sal', '½ vaso pequeño de Aceite de oliva virgen extra', '1 bote de Aceitunas negras sin hueso']",https://www.recetasgratis.net/receta-de-tarta-de-cebolla-caramelizada-y-queso-brie-60826.html
Tlacoyo de haba,"Los tlayocos son unos aperitivos o entradas pertenecientes a la gastronomía tradicional mexicana. Estos son preparados a base de masa de maíz y rellenados comúnmente con frijol molido, sin embargo, sus rellenos pueden variar dependiendo del gusto de cada quien y podemos rellenarlos con una infinidad de ingredientes.En esta ocasión en RecetasGratis traemos para ti una excelente y sabrosa receta de unos tlacoyos de haba, una preparacion súper sencilla, práctica y que al final resulta deliciosa. Te invitamos a que sigas con nosotros y descubras cómo se hacen los tlacoyos de habas, ya verás que te encantarán y querrás prepararlos una y otra vez.","['1\nEn la siguiente imagen podrás observar los ingredientes que necesitaremos para la preparación de estos deliciosos tlacoyos de haba.', '2\nPara comenzar vamos a lavar perfectamente las habas y las dejamos reposar en agua por aproximadamente dos horas, esto es para que al cocerlas la cocción sea mas rápida y mejor.', '3\nUna vez pasado este tiempo, drenamos el agua de las habas y las colocamos en una cacerola con agua hirviendo, y añadimos también la cebolla y el diente de ajo además de una pizca de sal y dejamos que se cuezan hasta que estén muy suaves.', '4\nUna vez cocidas las habas, por otro lado tomamos la masa de maíz y formamos una especie de tortilla pero esta debe tener una forma elíptica, así como se observa en la siguiente imagen, y además debe tener un grosor aproximado de 0.5 cm, no debe ser delgada esta tortilla.', '5\nAhora tomamos un poco de las habas cocidas y las colocamos en el centro de nuestro tlacoyo mexicano distribuyendo a lo largo.', '6\nPara sellar el tlacoyo de haba, primero tomamos uno de los lados, lo llevamos al centro cubriendo el relleno, enseguida tomamos el segundo lado, lo llevamos de la misma forma al centro cubriendo el primer lado, y después los extremos los doblamos un poco al centro, sellando completamente nuestro tlacoyo mexicano.', '7\nUna vez formados todos nuestros tlacoyos de habas los llevamos a cocer a la plancha caliente a fuego alto.', '8\nUna vez cocida la masa nuestros tlacoyos de haba estarán listos. Te recomiendo que los sirvas calientes acompañados de tu salsa favorita, además de un poco de crema agria, queso rallado y lechuga rallada.']",,10 comensales,6h,Entrante,Dificultad baja,,['Recetas mexicanas'],"['1 kilogramo de Masa de maíz', '1 kilogramo de Haba amarilla', '½ pieza de Cebolla', '1 diente de Ajo', '1 taza de Crema agria', '1 taza de Queso rallado', '1 taza de Lechuga rayada', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-tlacoyo-de-haba-60806.html
