title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Risotto con frutos del mar original,,"['1\nCaliente la mitad del aceite en una olla grande de fondo pesado. Agregue el ajo y cocine a fuego bajo por 20-30 segundos, sin dejar de dorar.', '2\nAñada los calamares y los langostinos y condimente ligeramente. Suba el fuego y cocine hasta que se tornen opacos.', '3\nRetire los calamares y langostinos y resérvelos.', '4\nAgregue el pescado y las vieiras a la olla y cocine hasta que cambien de color. Retire y reserve.', '5\nVierta el caldo en una olla aparte, deje hervir y luego manténgalo a fuego muy lento.', '6\nAgregue el aceite restante a la olla grande. Añada el puerro y cocine de 3-4 minutos o hasta que esté blando pero no dorado.', '7\nAgregue el arroz y reduzca el fuego a bajo. Condimente y revuelva para que el arroz se entrape bien y luego añada el vino blanco. Aumente el fuego y cocine, revolviendo, hasta que el líquido haya sido absorbido.', '8\nVierta ahora un cucharón del caldo caliente y cocine a fuego moderado, sin dejar de revolver.', '9\nCuando el caldo sea absorbido, incorpore otro cucharón de caldo.', '10\nContinúe así por unos 20 minutos, hasta que haya agregado todo el caldo y el arroz esté al dente. (Es posible que no necesite todo el caldo, o que necesite un poco adicional). Si lo prefiere, añada más caldo para que el risotto quede más líquido.', '11\nAdicione los tomates, los mariscos y el pescado y mezcle suavemente.', '12\nRetire del fuego e incorpore cuidadosamente la mantequilla y las hiervas. Condimente con sal y pimienta negra. Sirva de inmediato.']",Valoración: 4 (1 voto),"['175 grs de anillos de calamar', '4 cucharadas de aceite de oliva', '200 grs de langostinos limpios', '1 litro (4 tazas) de caldo de pescado', '2 dientes de ajos machacados', '175 grs de filetes de pescado blanco, róbalo o bacalao fresco, sin piel y cortados en bocados', '16 vieiras o scallops limpios', '3 tomates romanos picados', '1 puerro, sólo la parte blanca, finamente tajado', '360 grs (1 y 2/3) tazas de arroz para risotto', '125 ml (1/2 taza) de vino blanco seco', '1 cucharada de mantequilla', '3 tomates romanos picados', '1 y ½ cucharadas de perejil finamente picado', '1 y ½ cucharadas de eneldo finamente picado']",https://www.recetasgratis.net/receta-de-risotto-con-frutos-del-mar-original-50612.html,,,,,,
Delicioso Risotto frutos del mar,,"['1\nPonemos las almejas en agua con sal como mínimo una hora para que suelten la arena.', '2\nLimpiamos bien los mejillones, ponemos en una cazuela un poco de agua y un chorrito de vino blanco y cocemos al vapor y los vamos retirando según se vayan abriendo.', '3\nAbrimos también las almejas.', '4\nQuitamos las conchas a los mejillones y las almejas, juntamos los caldos de la cocción s y lo colamos. Añadimos agua hasta completar 1 litro. Reservamos.', '5\nCortamos la cebolla y el ajo en brunoise y pochamos con un poco de aceite y una cucharada de mantequilla.', '6\nCuando ya esté un poco hecha la cebolla y el ajo, añadimos el pimiento verde cortado en rodajitas.', '7\nCuando esté transparente añadimos el arroz y rehogamos bien. Echamos un chorrito de vino y esperamos que sea absorbido.', '8\nAñadimos caldo caliente hasta que cubra el arroz y cocemos a fuego medio.', '9\nA medida que vaya absorbiéndose el caldo, vamos añadiendo más y removemos de vez en cuando para que vaya soltando el almidón.', '10\nEstará listo en unos 20 minutos aproximadamente.', '11\nCuando esté al dente, añadimos una cucharada de mantequilla, el queso, las almejas y los mejillones. Removemos bien y dejamos reposar unos 2 minutos.', '12\nEmplatamos y decoramos con un poquito de perejil picado y unas lascas de Parmesano.']",,"['350 gr de arroz arborio', '1 cebolla', '1 litro de caldo de cocer los mejillones y las almejas', '600 gr de mejillones', '30 gr de queso parmesano reggiano rallado', '600 kg de almejas', '1 pimiento verde', '1/2 puerro', '1 diente de ajo', '1 chorrito de vino blanco', 'Aceite de oliva virgen extra', '2 cucharadas de mantequilla']",https://www.recetasgratis.net/receta-de-delicioso-risotto-frutos-del-mar-50611.html,,,,,,
Deliciosa Ensalada de cuscús,,"['1\nPonemos el cous cous con la mantequilla y la sal en un recipiente y ponemos a hervir el agua.', '2\nCuando comience a hervir, la echamos sobre el cous cous removemos y tapamos. Dejamos reposar y a los 5 minutos ya está listo para consumir.', '3\nMientras reposa, cortamos muy finos los ingredientes restantes y los añadimos al cous cous ya reposado.', '4\nYo le añadí los piñones y las pasas enteras.', '5\nRemovemos todo, le añadimos un poco de zumo de limón y aceite y dejamos enfriar en la nevera.']",Valoración: 1 (1 voto),"['1 taza de cous cous', 'Aceite de oliva', 'Zumo de limón', '1 cucharada de mantequilla', 'Sal', 'La misma mediada de de agua que de cous cous', 'Perejil', 'Unas hojas e hierbabuena(opcional)', 'Media cebolleta pequeña', 'Medio tomate', 'Un poco de pimiento', 'Pasas', 'Piñones']",https://www.recetasgratis.net/receta-de-deliciosa-ensalada-de-cuscus-50478.html,,,,,,
Ensalada de cuscús,,"['1\nAñade el agua en un cazo que puedas tapar.', '2\nAgrega una pizca de sal y un chorrito de aceite.', '3\nLleva el agua a ebullición.', '4\nCuando comience a hervir, vierte el cous cous. Apaga el fuego o separa el cazo y tápalo durante cinco minutos.', '5\nCorta el pepino y la cebolla.', '6\nCorta el pepino en cuadraditos o trocitos ni muy gruesos ni muy finos. Añádelos a una ensaladera y repite el proceso con la cebolla.', '7\nMezcla el cous cous con el resto de ingredientes.', '8\nUna vez pasados los cinco minutos de reposo, separa el cous cous con un tenedor.', '9\nMezcla en la ensaladera con el pepino y la cebolla. Añade los tomates cherry en trozos pequeños y corta las aceitunas negras y verdes en rodajas.', '10\nAñade el maíz y la hierbabuena, que le dará ese punto especial que tiene esta ensalada libanesa.', '11\nSazona y añade zumo de limón y aceite de oliva.', '12\nAñade sal y el zumo de limón, un poco de aceite de oliva y mezcla todo bien.', '13\nPuedes servirla recién hecha o meterla en el frigorífico para que se enfríe antes.']",Valoración: 5 (1 voto),"['150 grde cous cous', '150 ml de agua', 'Un pepino', 'Una cebolla', 'Maíz dulce en conserva', 'Aceitunas verdes y negras', 'Zumo de dos limones', 'Aceite', 'Tomates cherry', 'Sal', 'Hojas de menta o hierbabuena']",https://www.recetasgratis.net/receta-de-ensalada-de-cuscus-50477.html,,,,,,
Arroz con pollo colombiano,"Unas de las recetas más populares en Colombia para la hora de almuerzo es el arroz con pollo. Por ello, en RecetasGratis.net hemos decidido enseñarte a prepararlo paso a paso, con imágenes que te muestran cómo debe quedar. Sigue leyendo y aprende de forma fácil y rápida a preparar este rico arroz con pollo colombiano.","['1\nPrealistar todos los ingredientes para preparar este delicioso arroz con pollo colombiano.', '2\nPoner una sartén mediana a calentar a fuego medio. Añadir aceite y cuando esté caliente poner el pollo con sal, pimienta y un poco de tomillo seco encima. Dorar por lado y lado.', '3\nReservar el pollo y dejar que se enfríe en un bol aparte.', '4\nUna vez frío, desmenuzar el pollo en hilos muy finos. Reservar para seguir con la preparación del arroz colombiano.', '5\nCocina el arroz con los vegetales y mezcla con el pollo desmenuzado. Revolver bien para que se integren todos los ingredientes. Si quieres saber cómo hacer el arroz consulta la receta paso a paso del arroz primavera.', '6\nServir el arroz primavera con un poco de pollo desmenuzado encima y salsa de tomate. Este arroz es perfecto para la hora de la comida y puedes acompañarlo con unas tajadas de plátano o huevo frito.']","Valoración: 3,1 (7 votos)","['2 tazas de Arroz', '2 tazas de Vegetales primavera', '1 cucharada sopera de Aceite de girasol', '2 unidades de Suprema de pollo', '1 diente de Ajo', '1 taza de Maíz', '1 pizca de Sal y Pimienta', '1 pizca de Tomillo seco']",https://www.recetasgratis.net/receta-de-arroz-con-pollo-colombiano-50452.html,4 comensales,30m,Plato principal,Dificultad baja,,['Recetas colombianas']
Arroz primavera,,"['1\nPrealistar todos los ingredientes para preparar el arroz primavera. Puedes comprar la mezcla de verduras congeladas, o seleccionarlas frescas a tu gusto, limpiarlas y picarlas finamente.', '2\nEn una olla mediana, adicionar un chorro de aceite de girasol. Poner las dos tazas de arroz con un diente de ajo finamente picado para darle más sabor y sal (la cantidad que usted desee). Adicionar 4 tazas de agua y dejar cocer el arroz como normalmente. Una vez el arroz esté hecho, retirar y reservar.', '3\nEn una olla aparte poner a hervir agua y, una vez alcance el punto de ebullición, adicionar los vegetales primavera. Dejar cocinar durante 5-10 minutos como máximo. Retirar las verduras y cortar la cocción con agua fría para evitar que se sobre cocinen.', '4\nEn una olla grande, adicionar el arroz ya hecho y las verduras. Mezclar bien para que se integren todos los ingredientes.', '5\nServir el arroz primavera, puede acompañar con cualquier plato que usted desee como pechuga de pollo a la plancha, salmón ahumado o una opción apta para vegetarianos como falafel de garbanzos.']","Valoración: 4,7 (9 votos)","['2 tazas de Arroz de su preferencia', '1 taza de Verduras primavera (choclo, arvejas, habichuelas, zanahoria)', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-arroz-primavera-50451.html,2 comensales,30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos']"
Risotto de Langostinos y calamar.,,"['1\nPrealistar los ingredientes.', '2\nEn una olla mediana poner a cocinar el arroz arborio con la mantequilla o manteca, por una taza de arroz dos de agua. La mantequilla va a darle una consistencia mas cremosa al risotto.', '3\nEn un sartén mediano, adicionar el aceite de oliva una vez caliente agregar los langostinos y los anillos de calamar con el ajo finamente picado. Dejar saltear durante unos cinco minutos aproximadamente, agregar sal y pimienta al gusto.', '4\nAdicionar el vino y dejar reducir un poco lo el alcohol. Dejar cocinar durante unos dos minutos mas. Apagar el fuego.', '5\nUna vez este el arroz debemos mezclar los anillos de calamar y los langostinos con el arroz. Revolver muy bien para que queden los ingredientes bien distribuidos por la preparación. Por ultimo adicionar la crema de leche y dejar conservar durante dos a tres minutos más.', '6\nServir el plato decorando con un poco de oregano seco encima.']",Valoración: 5 (1 voto),"['300 gramos de arroz arborio.', '150 gramos de langostinos.', '150 gramos de anillos de calamar.', '50 gramos de mantequilla o manteca.', '2 cucharadas de aceite de oliva.', 'Media taza de vino blanco.', '1 taza de crema de leche.', 'Sal.', 'Pimienta al gusto.']",https://www.recetasgratis.net/receta-de-risotto-de-langostinos-y-calamar-50204.html,,,,,,
Paella con ostiones,,['1\nse prepara el arroz solo con ajo y curry ..a parte se saltean los camarones chorizo y ostiones ..se coce la carnes y pollo ..después q todo los ingredientes ya estan listo se incorpora todo mezclando suavemente y queda una rica paella'],Valoración: 4 (1 voto),"['1-arroz', 'pollo', 'chorizo', 'carne', 'camarones', 'ostiones', 'pimentón', 'ajo', 'curry']",https://www.recetasgratis.net/receta-de-paella-con-ostiones-50101.html,,,,Dificultad baja,,[]
Arroz con calamares y colorante,"Si quieres preparar una paella de calamares o lo que es lo mismo, una cazuela de arroz con calamares, échale un vistazo a esta receta fácil que ponemos a tus disposición en RecetasGratis porque conseguirás un plato delicioso en menos de una hora.Sigue leyendo, toma nota de los ingredientes y del paso a paso y prepara un arroz con calamares y colorante para chuparse los dedos y comer en familia un fin de semana por ejemplo.","['1\nEl primer paso parar preparar este arroz con calamares y colorante es hacer un sofrito con las verduras. Para ello picamos la cebolla, el pimiento y el ajo, lo ponemos en una cazuela con aceite de oliva y lo ponemos al fuego para que las verduras de la paella de calamares empiecen a pocharse.', '2\nMientras se sofríen las verduras, preparamos una cazuela con agua y el colorante y la ponemos a calentar. También podéis preparar un fondo de marisco o un fumet de pescado en un lugar de poner solo el agua.', '3\nCuando ya esté el sofrito bien hecho lo retiramos y lo trituramos en el vaso de la túrmix o la batidora eléctrica. Yo lo trituro porque a mí no me gusta encontrarme los trocitos de verduras en el arroz con calamares pero tú puedes dejarlos enteros si quieres.', '4\nAparte, freímos los calamares en la misma cazuela del sofrito.', '5\nCuando estén casi hechos los calamares, les agregamos el arroz, lo removemos y lo dejamos cocinar durante 5 minutos más.', '6\nA continuación, agregamos el sofrito al arroz blanco con calamares.', '7\nY después añadimos el agua con el colorante, y dejamos cocinar durante 15 minutos aproximadamente el arroz con calamares.', '8\nUna vez pasado el tiempo, probamos que el arroz con calamares y colorante esté casi hecho o al punto. Lo retiramos dejándolo reposar 5 minutos y servimos.']",Valoración: 4 (2 votos),"['500 gramos de Calamares en tiras limpios y frescos', '200 gramos de Arroz bomba', '1 trozo de Pimiento rojo', '2 dientes de Ajo', '1 trozo de Pimiento verde', '1 pizca de Sal', '1 chorro de Aceite', '1 cucharada sopera de Colorante alimentario', 'Agua (3 vasos pequeños de agua por cada vaso pequeño de arroz)']",https://www.recetasgratis.net/receta-de-arroz-con-calamares-y-colorante-47888.html,4 comensales,45m,Plato principal,Dificultad baja,,[]
Paella de marisco con calamares,,"['1\nLo primero que vamos hacer es poner a calentar el caldo de pescado con los mejillones y las almejas ya limpios.', '2\nEn una cazuela aparte sofritamos el picadillo de pimientos, tomates y cebolla que previamente hemos cortado.', '3\nMientras en una cazuela de barro o paellera freiremos las cigalas, las gambas y los calamares. Una vez esta frito lo reservamos con su jugo, añadimos los pimientos, los tomates y la cebolla que habremos previamente cortado.', '4\nUna vez ya esta pochado lo ponemos en un vaso para triturar ,lo trituramos y se lo agregamos en el sofrito triturado y los calamares, removemos.', '5\nAl caldo le retiramos los mejillones y las almejas y le agregamos el colorante y se agrega al arroz y los dejamos cocer durante 10 minutos a fuego alto.', '6\nPasado este tiempo le pondremos las gambas, las cigalas, los mejillones y las almejas y lo dejamos 5 minutos mas a fuego medio.', '7\nYa lo podemos retirar y dejar reposar unos minutos.']",Valoración: 3 (6 votos),"['200 Gramos de Almejas', '300 Gramos de mejillones', '4 Gambas medianas', '4 Cigalas', '250 Gramos de calamares', '2 Tomates', '1 Pimiento verde', '1 Trozo de pimiento rojo', '1 Cebolla mediana', 'Arroz unos 400 gramos aprox', 'Sal', 'Pimienta', '2 Hojas de laurel', 'Aceite', '1 Litro de caldo pescado']",https://www.recetasgratis.net/receta-de-paella-de-marisco-con-calamares-47826.html,,,,Dificultad media,,
