title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Pastelón de yuca con carne,"Imagen: Elboricua.com


Aprende cómo preparar un pastelón de carne, pero como en la cocina típica de República Dominicana, con yuca. Parecido al pastel de choclo chlieno, pero utilizando este exótico y delicioso tubérculo, la yuca. ¡Manos a la obra con el pastelón de yuca!","['1\nSe unta con mantequilla un molde alto para hornear. Precalentar el horno a fuego medio, unos 200°C.', '2\nEn una cacerola se pone a calentar el aceite. Se agrega la carne picada y revuelve para que se cueza uniformemente.', '3\nAgregar un poco de agua, la pimienta, el orégano, la cebolla, el ají, la albahaca, una pizca de sal y la pasta de tomate. Pica la cebolla lo más finamente posible. Dejar cocer a fuego bajo ajustando el agua cuando sea necesario.', '4\nCuando la carne esté cocida dejar evaporar casi todo el líquido y ajustar la sal al gusto. Retira del fuego y reserva.', '5\nPelar y trocear la yuca. Se hierve añadiendo 1 cucharadita de sal al agua hasta que esté blanda. Retirar del fuego.', '6\nSacar la yuca del agua inmediatamente y hacer un puré agregando la mantequilla hasta que se convierta en una masa muy suave.', '7\nPara armar el pastelón se pone un tercio de la mezcla de la yuca en el molde para hornear. Se cubre 1/3 del queso y se agrega la mitad de la carne. Repite este orden en otra tanda de capas.', '8\nTermina el armado con la mezcla restante de yuca y tapa con algunas lonchas de queso.', '9\nLleva al horno hasta que el queso se dore y sirve el pastelón de yuca caliente con ensalada verde.']","Valoración: 3,5 (33 votos)",6 comensales,30m,Plato principal,Dificultad media,,['Recetas al horno'],"['900 gramos de Yuca', '30 centímetros cúbicos de Aceite', '1 cucharada sopera de Pasta de tomate', '120 gramos de Queso mozarella en lonchas', '200 gramos de Carne picada de cerdo', '1 rama de Albahaca (picada finamente)', '1 unidad de Cebolla roja', '1 pizca de Pimienta negra molida', '1 cucharadita de Orégano', '1 cucharadita de Sal', '1 unidad de Pimiento rojo', '100 gramos de Mantequilla']",https://www.recetasgratis.net/receta-de-pastelon-de-yuca-con-carne-38840.html
Receta FÁCIL y DELICIOSA,"¿Qué parte es el osobuco? El osobuco, u ossobuco, corresponde a la zona más alta y carnosa de las patas delanteras y traseras de la ternera, el buey, el cordero o el cerdo. Se trata de un corte de carne muy jugoso y sabroso, que se puede cocinar de múltiples formas. No obstante, la receta más popular es la de osobuco a la milanesa u osobuco a la italiana, un guiso tradicional de la gastromonía de Italia.En esta ocasión, vamos a aprender a preparar una receta fácil de osobuco, que incluye pocos ingredientes y nos proporciona un plato saludable a la par que delicioso. Se trata de osobuco de ternera al horno, aunque podemos seguir esta misma receta para cocinar osobuco de pavo, osobuco de cerdo, etc. ¿Quieres conocer los pasos? Pues sigue leyendo y descubre de la mano de RecetasGratis cómo hacer osobuco al horno.","['1\nPrimero, ponemos una olla al fuego con un chorro de aceite de oliva, las ramas de romero y los ajos cortados en láminas. Salteamos durante un par de minutos para aromatizar el aceite.\nTruco: Si lo prefieres, puedes sustituir el romero por perejil o por tomillo.', '2\nMientras se saltean los ajos, salpimentamos los osobucos de ternera. Así mismo, colocamos la harina en un plato y pasamos la carne por ella, presionando para que se adhiera bien.', '3\nPasados los dos minutos, sellamos los ososbucos en la misma olla y sin retirar los ajos ni el romero. Esto lo hacemos para que el osobuco al horno quede jugoso por dentro y crujiente por fuera. Así, el término ""sellar"" hace referencia al hecho de cocinar la carne solo por fuera, dejándola unos segundos por cada lado.\nTruco: Precalienta el horno a 180 ºC, con calor arriba y abajo y la función ventilador.', '4\nApagamos el fuego y colocamos la carne en una bandeja para horno, previamente engrasada con un chorrito de aceite de oliva. Distribuimos los ajos salteados y las ramas de romero, vertemos el vino tinto, el suficiente como para hacer una salsa que acompañe la carne, y tapamos la bandeja con papel de aluminio.\nTruco: Para obtener más salsa, vierte un chorro generoso de vino tinto y medio vaso de agua.', '5\nIntroduce el osobuco al horno con papel de aluminio y deja que se cocine durante 40 minutos. Pasado este tiempo, retira el papel y deja la carne unos minutos más para que se dore. Una vez lista la carne, podemos servir la receta de osobuco al horno acompañada de puré de patatas o patatas asadas, una ensalada de tomate y, por supuesto, algunas rebanadas de pan para mojar la salsa que, prometemos, está espectacular.']","Valoración: 3,4 (12 votos)",4 comensales,1h 30m,Plato principal,Dificultad baja,,['Recetas al horno'],"['4 osobucos de ternera', '2 ramas de romero', '3 dientes de ajo', '3 cucharadas soperas de aceite de oliva', '1 chorro de vino tinto', '½ taza de harina de trigo (70 gramos)', '1 pizca de pimienta negra', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-osobuco-al-horno-38740.html
Mousse de jamón,,"['1\nSe prepara un sofrito con la margarina, el jamón, la tocineta y cebolla y se reservar.', '2\nSe disuelve en agua tibia la gelatina y así mismo se reserva.Después mezclar la gelatina, la salsa bechamel, crema de leche, salsa inglesa, mostaza, sal y la pimienta.', '3\nAñadir el sofrito y seguir mezclando y luego se coloca en un molde para mouse y se pone a refrigerar hasta que cuaje.']","Valoración: 3,3 (30 votos)",,,,,,,"['1 taza de jamón de pierna picadito', '0,5 tazas de tocineta ahumada picadita', '1 cabeza de cebolla picadita', '1 cucharadita de mostaza', '1 cucharadita de salsa inglesa', '2 cucharadas de margarina', '2 cucharadas de gelatina sin sabor', '1 taza de salsa bechamel', '0,5 tazas de nata o crema espesa', '100 ccs de agua', '1 pizca de sal', '1 pizca de pimienta']",https://www.recetasgratis.net/receta-de-mousse-de-jamon-38719.html
Milanesas de res con salsa campesina,,"['1\nPara preparar la salsa campesina se rebanan los champiñones.', '2\nSe calienta un poco de aceite y un poco de margarina y sofreír los champiñones en la sartén.', '3\nSacarlos del sartén y reservar.', '4\nEn la misma sartén, calentar la misma cantidad que antes de aceite y margarina y sofreír la cebolla, el ajo y los tomates.', '5\nAgregar el orégano y el vino, cocinar durante un minuto, añadir el agua con el cubito de caldo, los champiñones, la zanahoria y la pimienta.', '6\nCocinar sin tapar, a fuego bajo, hasta que se tenga una salsa bien espesa.', '7\nLas milanesas se realizan pasando cada de ellas por harina de trigo, luego por huevo y luego por pan rallado.', '8\nFreír en abundante aceite bien caliente.', '9\nSacar y escurrir sobre papel absorbente.', '10\nColocar las milanesas en una bandeja de servir y cubrir con la salsa campesina.', '11\nServir bien caliente acompañado de puré de papa o de ocumo ó tortitas dulces de plátano macho y una ensalada mixta de lechuga.']","Valoración: 4,3 (10 votos)",,,,,,,"['3 dientes de ajo', '2 cebollas medianas cortadas en cuadritos.', '200 gramos de champiñones limpios', '1 cubito de carne disuelto en de agua tibia', '60 gramos de harina', '1 huevo batido', '8 milanesas de res o vacuno', '1 pellizco de orégano', '70 gramos de pan rallado', '1 pellizco de pimienta negra molida', '1 pizca de sal', '5 tomates maduros picados en cuadritos', '100 ccs de vino blanco seco', '1 zanahoria cortada en rueditas finitas y hervida']",https://www.recetasgratis.net/receta-de-milanesas-de-res-con-salsa-campesina-38697.html
Medallones de filete al roquefort,,"['1\nPara la salsa se pone en una olla poner a freír la cebolla y el ajo a fuego lento.', '2\nCuando tome color, se coloca la leche, la crema y mayonesa junto con un poco de agua.', '3\nSe añade sal y pimienta al gusto.', '4\nAñadir el perejil y los champiñones y revolver.', '5\nPor último se agrega el queso roquefort, esperar aproximadamente cinco minutos o hasta que el queso roquefort se haya integrado por completo.', '6\nPara los medallones se pone una sartén a fuego bajo.', '7\nSe colocan los medallones de filete con el aceite.', '8\nSe añade sal y pimienta al gusto.', '9\nCuando hayan agarrado color de ambos lados se vierte la salsa previamente hecha.', '10\nSe cocina a fuego lento unos 20 a 30 minutos aproximadamente dependiendo el término que elijan para la carne.']","Valoración: 2,8 (10 votos)",,,,,,,"['500 gramos de filetes de vacuno o res', '200 gramos de queso roquefort', '1 cebolla picada', '2 dientes de ajo', '250 ccs de nata o crema de leche', '1 cucharada de mayonesa', '200 ccs de leche-180 gramos de champiñones picados', '2 cucharaditas de perejil', '4 cucharadas de aceite o manteca', '1 pizca de sal', '1 pizca de pimienta']",https://www.recetasgratis.net/receta-de-medallones-de-filete-al-roquefort-38670.html
Matambre asado con pimientos,"El matambre es un corte de carne muy popular en Argentina, también se conoce como aleta de vaca y suele cocinarse de muchas formas. En esta receta te enseñamos cómo hacer matambre asado con pimientos, un plato ideal para una comida en familia.","['1\nSe retira la grasa sobrante de la carne y se deja en adobo unas dos horas con la mitad del aceite, el pimentón, el ajo picadito, el perejil, el orégano, la pimienta negra y la pimienta de cayena.', '2\nSe rehoga la cebolla hasta que empiece a tomar color a miel. Se fríen los pimientos, se le quita la piel y se dejan que escurran el aceite.', '3\nSe extiende sobre la carne la cebolla rehogada bien escurrida de aceite, los pimientos fritos también bien escurridos y cortados en tiras, las zanahorias y el bacon cortado en tiras.', '4\nSe enrrolla el matambre y se termina cociéndolo muy bien para que no se salga el relleno. También se pueden pinchar palillos de madera en los extremos para asegurarnos de que no se abre el rollo.', '5\nSe pone en una fuente de horno a asar cubierto con un papel de aluminio que se retirará al final para terminar de dorarlo. El horno debe estar precalentado a 180ºC y lo dejaremos hasta que esté hecho.', '6\nCuando al pinchar el matambre su carne salga un jugo blanquecino estará en su punto. Se sirve caliente con una guarnición de verduras o un puré.']",Valoración: 4 (66 votos),6 comensales,2h 30m,Plato principal,Dificultad media,,"['Recetas al horno', 'Recetas argentinas']","['1 cucharada sopera de Orégano', '½ cucharadita de Pimienta', '250 gramos de Pimientos verdes', '1 vaso de Aceite de oliva pequeño', '½ cucharadita de Pimienta negra molida', '150 gramos de Zanahoria cocida', '2 dientes de Ajo', '1 cucharada sopera de Perejil picado', '1½ kilogramos de Matambre o aleta de vaca', '200 gramos de Bacon', '1 cucharadita de Pimentón', '200 gramos de Cebolla']",https://www.recetasgratis.net/receta-de-matambre-asado-con-pimientos-38666.html
Matambre a la pizza jugoso,,"['1\nSe limpia el matambre de la grasa sobrante y se pone en adobo unas dos hora con la mitad de los ajos picados, el pimentón, la mitad del aceite, la mitad del orégano, la mitad de la pimienta negra, la sal y la pimienta de cayena.', '2\nMiéntras se prepara una salsa de tomate dorando el resto de los ajos picaditos en el resto del aceite al que se le añade el tomate y se deja cocer condimentado con el azúcar, el resto de la pimienta, el caldito y el orégano.', '3\nSe deposita en una fuente de horno el matambre y se asa hasta que esté tierno, cubriéndolo al principio de la cocción con un papel de aluminio, cuando se pinche y salga un jugo blanquecino se reparte sobre el mismo la salsa de tomate y el queso partido en dados para que con el calor se funda.', '4\nSe sirve en cuanto el queso empiece a tomar un poco de color.']","Valoración: 4,1 (9 votos)",,,,,,,"['2 cucharaditas de pimienta negra molida', '2 cucharadas de orégano', '0,5 cucharaditas de pimientón', '200 gramos de queso mozzarella', '1 pizca de sal', '1 pastilla de caldo de carne', '1,5 kilos de matambre o aleta de vaca', '0,5 cucharaditas de pimienta de cayena', '4 dientes de ajo', '1 cucharadita de azúcar', '1 kilo de tomate natural triturado', '1 vasito de aceite de oliva']",https://www.recetasgratis.net/receta-de-matambre-a-la-pizza-jugoso-38664.html
Lomo strogonoff,"En esta receta vamos a realizar un lomo strogonoff, preparado con una salsa hecha a base de champiñones, cebolla blanca y crema de leche o nata, entre otros ingredientes. Esta receta se hizo popular en la Segunda Guerra Mundial, ya que es un plato que se puede realizar en grandes cantidades. Sigue el paso a paso que en RecetasGratis.net te mostramos y aprende a cocinar este espectacular y apreciado lomo en salsa.","['1\nEl primer paso para realizar la receta de lomo strogonoff es prealistar los ingredientes. Si lo prefieres, en lugar de vino puedes utilizar vodka.', '2\nLo primero que vamos a realizar es la salsa de champiñones. Para hacerla, llevamos una olla a fuego medio y adicionamos un poco de aceite, agregamos la cebolla blanca en cuadros y dejamos saltear.', '3\nUna vez que la cebolla tome un color transparente, agrega los champiñones, sal, pimienta negra y pasta de ajo al gusto.', '4\nPara que los champiñones se doren, adiciona la mantequilla y deja sofreír.', '5\nCuando estén dorados los champiñones, agrega la harina de trigo y forma una pasta con la mantequilla, la cebolla y champiñones, esto es lo que le va a a dar espesor a nuestra salsa base strogonoff.', '6\nAdiciona el fondo o caldo de carne y deja que este se cocine.', '7\nAgrega el vino tinto, la paprika y la mostaza y mezcla muy bien con la salsa para el lomo.', '8\nUna vez que la salsa haya espesado, baja el fuego lo más lento que puedas y añade la crema de leche y el perejil fresco; mezcla muy bien los ingredientes de nuestra receta y deja conservar.', '9\nVamos a cocinar los medallones de lomo. La receta original dice que debes servir y saltear el lomo en cuadros medianos, pero yo quise realizarlo un poco más personalizado y dar por comensal dos medallones. De manera que, este paso es al gusto del cocinero, cualquiera de las dos formas es totalmente válida. Lleva una sartén a fuego medio, adiciona un poco de aceite y, una vez caliente, agrega los medallones de lomo con sal y pimienta al gusto.', '10\nDale vuelta a los medallones, recuerda que puedes consumirlos en el término de cocción que desees. En este sentido, debes saber que a menos vueltas más jugosa quedará la carne por dentro. Ten presente que con cada vuelta la carne se va deshidratando y, por tanto, perdiendo sus jugos. Es importante que tengas en cuenta estos pequeños tips de cocina que te damos a la hora de cocinar para obtener una carne más jugosa.', '11\nRectificamos de sabor la salsa, si deseas puedes añadir más sal, pimienta o cualquier otro ingrediente que desees y consideres le hace falta. Una buena salsa se nota por su brillo y espesor, siempre debes probar y rectificar para obtener el resultado deseado.', '12\nSirve cada uno de los medallones salteados en el término de cocción que deseas.', '13\nBaña los medallones de lomo en la salsa strogonoff y espolvorea con un poco de perejil fresco encima. Es ideal que acompañes el lomo strogonoff con arroz blanco. Si deseas más recetas de carne y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 4,5 (23 votos)",4 comensales,1h 30m,Plato principal,Dificultad alta,,[],"['1 kilogramo de Lomo de res', '1 copa de Vino tinto', '200 gramos de Champiñones tajados', '2 unidades de Cebolla blanca', '4 tazas de Fondo o caldo de res', '5 gramos de Perejil fresco', '2 cucharaditas de Harina de trigo', '1 cucharada sopera de Mostaza', '1 cucharadita de Paprika', '1 taza de Crema de leche o nata', '2 cucharaditas de Mantequilla', '1 pizca de Pasta de ajo', '1 pizca de Sal', '1 pizca de Pimienta negra']",https://www.recetasgratis.net/receta-de-lomo-strogonoff-38620.html
Lomo de cerdo con pimienta y vino tinto,"Un plato elegante con sabores fuertes, el lomo de cerdo con pimienta y vino tinto es ideal para una cena especial. Queda como todo un gourmet con esta receta de lomo de cerdo y sorprende a todos en casa.","['1\nLimpia bien la pieza de carne y sazona untándola con sal, pimienta y tomillo. Te recomiendo mezclar estos tres ingredientes antes y untar la carne con las manos.', '2\nCalienta una sartén con una tercera parte de la mantequilla y la mitad del aceite. Una vez caliente, coloca la pieza de carne y sella por todas partes. Esto quiere decir que se doren los bordes de la carne sin que se llegue a cocinar del todo.', '3\nColoca el lomo de cerdo en un molde para horno más o menos profunda y vacía allí también el resto de aceite y grasas de la cocción en la sartén. Cocina en el horno por 40 minutos a 200ºC. Cuando hayan pasado los primeros 20 minutos dale la vuelta ala carne.', '4\nSaca el molde del horno y escurre todo el líquido de la cocción. Une éste con el caldo de carne y lleva a fuego lento mientras revuelves todo para hacer la salsa. Pasados unos minutos, incorpora el vinagre, el vino, la maicena disuelta y la mostaza.', '5\nDeja que la salsa hierva, siempre a fuego lento, y cuando empiece a espesar agrega el resto de la mantequilla.', '6\nPara servir el lomo de cerdo con pimienta y vino tinto, corta la carne en rodajas y bien puedes bañar con la salsa o servirla aparte para que cada persona se sirva al gusto. Este plato lo puedes acompañar con patatas asadas, verduras al vapor o champiñones salteados.']","Valoración: 3,4 (32 votos)",5 comensales,45m,Plato principal,Dificultad baja,,['Recetas al horno'],"['2 cucharadas soperas de Aceite', '1 taza de Caldo de carne', '1 kilogramo de Lomo de cerdo', '1 cucharada sopera de Maicena', '2 cucharadas soperas de Mantequilla', '1 cucharada sopera de Mostaza', '1 cucharadita de Pimienta negra', '1 cucharadita de Sal', '1 cucharadita de Tomillo fresco', '2 cucharadas soperas de Vinagre', '1 taza de Vino tinto']",https://www.recetasgratis.net/receta-de-lomo-de-cerdo-con-pimienta-y-vino-tinto-38611.html
Lomo de cerdo con arándanos,"El lomo de cerdo es un corte suave y tierno que se caracteriza por combinar muy bien con salsas agridulces. En esta oportunidad, te enseñaremos la receta paso a paso para que prepares un plato elegante con un sabor exótico y deliciosos: El lomo de cerdo con arándanos sorprenderá a todos con su toque aromático y podrás usarlo como una excelente opción en el menú de Navidad.","['1\nAntes de realizar esta receta de lomo de cerdo, el primer paso es alistar todos los ingredientes.', '2\nPara hacer la salsa de arándanos para carne, en una olla añadir el zumo de naranja y el vino blanco. Agregar los arándanos y cocinar a fuego lento para que se vayan hidratando.', '3\nAgregar el azúcar y cocinar a fuego lento durante 20 minutos. La fruta debe quedar suave y totalmente hidratada, salpimentar.', '4\nFinalmente licuar la mezcla hasta que este completamente homogénea, reservar algunos arándanos para decorar, reservar la salsa.', '5\nAparte, sazonar los medallones de lomo con el zumo de limón, sal y pimienta. Luego, en una sartén con aceite, cocinarlos por cada lado durante 8 minutos, hasta que estén dorados.', '6\nFinalmente servir la carne y bañar con la salsa agridulce. El lomo de cerdo con arándanos puedes acompañarlo con una ensalada césar tradicional y servirlo en una ocasión especial como para Navidad o Año Nuevo. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 1,6 (12 votos)",3 comensales,45m,Plato principal,Dificultad baja,,['Recetas para Navidad'],"['500 gramos de Lomo de cerdo', '1 unidad de Limón', '1 pizca de Sal', '1 pizca de Pimienta', '100 gramos de Arándanos', '80 gramos de Vino blanco', '1 unidad de Naranja', '2 cucharadas soperas de Azúcar']",https://www.recetasgratis.net/receta-de-lomo-de-cerdo-con-arandanos-38612.html
