title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Ternera gallega estofada,,"['1\nPonemos todos los ingredientes en crudo en una cazuela sin agua ya que es suficiente con el jugo que soltará la carne y las legumbres, cocinadas a fuego muy lento.', '2\nCuando la carne esté tierna, se prueba de sal, y se sirve acompañada de una guarnición de legumbres y de jugo.']","Valoración: 3,2 (10 votos)","['pimienta', 'zanahoria', '2 cebolla', '1 tomate', '2 pimiento verde', '1 aceite de oliva virgen', '3 dientes ajo', 'vino blanco', '1 ramita perejil', 'pimentón', 'azafrán', '2kg. ternera gallega de jarrete']",https://www.recetasgratis.net/receta-de-ternera-gallega-estofada-26643.html,,,,,,
Solomillo de ternera gallega asado con su jugo y salsa de queso tetilla,,"['1\nSalsa de queso tetilla en baño María ponemos a fundir el queso con la crema de leche, mientras montamos una bechamel con la mantequilla, la harina y la leche y se la añadimos al queso fundido con la crema de leche, reservamos.', '2\nVerduras de temporada lanqueamos en abundante agua hirviendo las verduras una a una y las refrescamos en agua fría para que no pierdan color.', '3\nObservaciones Ponemos al fuego una fuente de horno con un poco de aceite, salpimentamos la carne y la doramos, cuando esté muy caliente, por ambos lados; después la pasamos al horno precalentado a 200 grados durante 5 minutos (debe quedar roja en el centro).', '4\nRetiramos del horno la carne y escurrimos el exceso de aceite, ponemos la fuente al fuego y vertemos el jugo de carne y dejamos reducir hasta que ligue.', '5\nSalteamos las verduras en aceite y montamos el plato poniendo el trozo de solomillo cubierto con su jugo, al lado un hilo grueso de salsa de tetilla y las verduras salteadas.']","Valoración: 3,3 (57 votos)","['Crema de leche, 50ml', 'Sal', 'Pimienta', 'Aceite', 'Leche', 'Harina', '250gr mantequilla', '15gr verduras de temporada', 'Jugo de carne, 200ml', 'Solomillo de ternera, 900gr', 'Queso de tetilla, 175gr']",https://www.recetasgratis.net/receta-de-solomillo-de-ternera-gallega-asado-con-su-jugo-y-salsa-de-queso-tetilla-26642.html,,,,,,
Redondo mechado,,"['1\nCon ayuda de una aguja de mechar, introducimos en el redondo, el huevo cocido, la zanahoria y la panceta, todo cortado en tiras.', '2\nSeguidamente, sazonamos con sal y pimienta, y, colocándolo en una asadera, lo doramos sobre el fuego, después de rociarlo con un poco de aceite.', '3\nUna vez dorado el redondo, añadimos las hortalizas, (para asar), bien lavadas y troceadas en dados.', '4\nMetemos la asadera en el horno, con una temperatura de unos 180º C, manteniéndolo el tiempo necesario, hasta que ""pinche"" la pieza; rociándola, de vez en cuando, con un poco de vino blanco.', '5\nSe puede servir acompañado con patatas fritas y verduras cocidas y salteadas con ajo y mantequilla.', '6\nEl jugo que queda en la asadera, se cuela, y es la salsa ideal para acompañar este asado.']","Valoración: 3,4 (58 votos)","['sal', 'pimienta', '1 zanahoria', 'aceite', '1 cebolla puerro', '1 tomate', '1 ajo', '2 dientes vino blanco', 'perejil', '1kg. redondo', '1 pieza huevo cocido', 'zanahoria cocida', '200gr panceta']",https://www.recetasgratis.net/receta-de-redondo-mechado-26640.html,,,,,,
"Puchero de pata, chorizo y garbanzos",,"['1\nSe limpian las patas, se cortan, se blanquean y se pasan a una olla limpia.', '2\nSe cubren con agua y se echan : una cebolla, una cabeza de ajo, el puerro y un poquito de sal.', '3\nSe pone a cocer durante 3 horas a fuego lento.', '4\nEn una tartera, se cuecen los garbanzos con los chorizos.', '5\nEn una sartén se pone aceite y se hace un refrito con ajo, cebolla, tomate, pimentón y la harina.', '6\nSe refríe y se echa en la pata.', '7\nAlgunos de los garbanzos, se pasan por el chino para espesar la salsa; se echan los cominos y se sirve en una cazuela de barro bien caliente.', '8\nPara 8 Personas.']","Valoración: 3,3 (58 votos)","['Sal', 'Aceite', 'Laurel', '1 hoja agua', 'Cebolla', '2 puerro', '1 harina', '50gr tomate 2 maduros', 'Ajo, 2 cabezas', 'Pimiento dulce', '1 cucharada guindilla', '1 chorizo', '500gr comino,1 cucharada', 'Pata de ternera 4', 'Garbanzos, 500gr']",https://www.recetasgratis.net/receta-de-puchero-de-pata-chorizo-y-garbanzos-26638.html,,,,,,
Lomo de ternera al horno,,"['1\nSe prepara el lomo y se sazona con sal y pimienta blanca molida.', '2\nSe dora ligeramente en la placa en la que se vaya a asar, con manteca de cerdo y algo de aceite.', '3\nUna vez dorado, se le añaden unas verduras troceadas, (zanahorias, puerros, cebolla y tomate).', '4\nSe mete en el horno a 200º C, y se va mojando de vez en cuando con vino blanco.', '5\nAl cabo de 1 hora, aproximadamente, se comprueba que esté asado.', '6\nSe retira la placa y se prepara la salsa del siguiente modo: Se pone la placa al fuego para que se pegue el jugo y se pueda retirar la grasa; a continuación, se añade el vino blanco y se deja hervir para que todo el jugo se disuelva de nuevo.', '7\nCuando el vino quede reducido a la mitad, se añade algo de agua y se deja hervir nuevamente; se diluye un poco de maicena en coñac, y se le agrega el jugo para que ligue, se pasa por un colador chino y se comprueba el punto de sal.', '8\nSe trocea el lomo, se coloca sobre una fuente y se acompaña con una guarnición de verduras del tiempo o puré de patatas.', '9\nSe complementa con el resto del jugo servido en salsera.']","Valoración: 3,4 (61 votos)","['sal', 'pimienta', 'zanahoria', '125ml. aceite', '2 cebolla', 'puerro', '2 tomate', '250ml. vino blanco', '50gr. grasa de cerdo', '1 cucharada maicena', 'coñac', '1kg lomo']",https://www.recetasgratis.net/receta-de-lomo-de-ternera-al-horno-26630.html,,,,,,
Entrecot de ternera gallega piloto con patatas de Galicia,,"['1\nEn un soté de freir se pone el aceite y la charlota y se deja freir sin que se dore; se pasan los entrecots por harina y se fríen con la charlota y se ponen los champiñones, el Oporto y la salsa española.', '2\nSe deja cocer un poco y se pone la nata.', '3\nSe sacan a una fuente, se deja reducir la salsa y se echa por encima con los champiñones.', '4\nSe acompañan con las patatas y perejil picado.']",Valoración: 4 (4 votos),"['sal', 'pimienta', '24 patatas tipo cucharilla fritas', '25gr harina', '100ml. aceite de oliva virgen', '250ml nata líquida', '1 rama perejil', '400gr champiñones laminados', '4 entrecots ternera gallega de 300gr', '1 copa charlota oporto', '1 picada muy fina', '250ml. salsa española']",https://www.recetasgratis.net/receta-de-entrecot-de-ternera-gallega-piloto-con-patatas-de-galicia-26625.html,,,,,,
Cordero guisado a la bretona,,"['1\nSe cortan las paletillas en trozos pequeños y ponemos sal y pimienta y se pasan por la harina. En una cazuela los doramos y ponemos los ajos picados, la cebolla y la zanahoria, los tomates, el azafrán y el vino. Se deja rehogar un poco y se pone el consomé, se tapa y se deja cocer lentamente, dándole vueltas para que no se agarre.', '2\nEn una cazuela se cuecen las habas remojadas del día anterior. En un cazo con tapa se pone 1/2 l. de agua fría, una cebolla picada, un chorro de aceite y el pimentón con un poco de sal. Se dejan estofar y una vez cocidas se echan en el guiso quedando listo para servir.']","Valoración: 3,3 (57 votos)","['1 pizca de Sal y Pimienta', '2 unidades de Zanahoria', '2 hojas de Laurel', '2 unidades de Cebolla', '1 unidad de Puerro', '50 gramos de Harina', '2 unidades de Tomate maduro', '250 mililitros de Aceite de oliva', '4 dientes de Ajo', '1 vaso de Vino blanco', '1 rama de Perejil', '½ cucharada sopera de Pimentón dulce', '1 sobre de Azafrán', '250 mililitros de Consomé', '4 unidades de Paletilla de cordero', '1 taza de Habas asturianas']",https://www.recetasgratis.net/receta-de-cordero-guisado-a-la-bretona-26624.html,6 comensales,45m,Plato principal,Dificultad baja,,[]
Chuletillas de cordero Villaroy,,"['1\nSe fríen las chuletas pasadas por harina y se dejan enfriar.', '2\nSe hace una salsa bechamel y se cubren las chuletas con ella.', '3\nDespués se pasan por huevo batido y pan rallado y se fríen en abundante aceite.', '4\nServir con patatas paja, guisantes y tomate.']","Valoración: 3,8 (4 votos)","['Huevos', 'Sal', 'Aceite', 'Patatas', 'Harina', 'Pan rallado', 'Chuletas de cordero', '2kg bechamel']",https://www.recetasgratis.net/receta-de-chuletillas-de-cordero-villaroy-26621.html,,,,,,
Chuletón de buey,,"['1\nSe hace fuego con leña de roble en una barbacoa y se consigue una brasa fuerte. Se sala el chuletón por ambos y se coloca sobre la parrilla. Una vez que humee la carne se le da la vuelta, asándolo al gusto del consumidor.', '2\nSi la carne se desea poco hecha el fuego deberá ser más fuerte y lógicamente tendrá que estar menos tiempo. En caso contrario se asará más tiempo con las brasas más tenues.']","Valoración: 3,2 (65 votos)","['1,2 kg chuletón', 'sal marina']",https://www.recetasgratis.net/receta-de-chuleton-de-buey-26622.html,,,,,,
Carré de ternera gallega,,"['1\nEn una placa de asar se pone el aceite y el tocino troceado, una vez bien caliente se pone le lomo con sal y pimienta.', '2\nSe le va dando vueltas y se deja dorar bien, se le echan los ajos y las legumbres bien picadas.', '3\nSe pone el vino y se mete al horno durante 1 hora (con el horno moderado).', '4\nSe saca a tabla de cortar y se cortan los chuletones y se pasan a la fuente con la salsa, las judías y los champiñones salteados con la mantequilla, y las patatas, todo en las misma fuente, y se espolvorea con perejil picado.']","Valoración: 3,3 (57 votos)","['Sal', 'Pimienta', 'Zanahoria', '2 laurel', '2 hojas cebolla', '1 puerro', '2 patatas', '24 tipo cucharilla fritas mantequilla', '50 gr tomate', '1 aceite de oliva virgen', '250 ml ajo', '1 cabeza vino blanco', '250 ml perejil 1 rama', 'Lomo 1 trozo alto con 4 costillas (1,5kg.)', 'Judías, verdes cocidas 400gr', 'Champiñones, laminados 400gr', 'Tocino, 200gr']",https://www.recetasgratis.net/receta-de-carre-de-ternera-gallega-26620.html,,,,,,
