title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Cóctel San Francisco,El cóctel San Francisco es uno de los cócteles sin alcohol más famosos que existen. La combinación de zumos de frutas hacen de este cóctel una delicia para adultos y una opción perfecta para sorprender a los niños con una bebida muy especial.,"['1\nPonemos el zumo de naranja y el de limón en la coctelera, después de haber añadido los hielos y le vamos añadiendo el zumo de piña y melocotón además de la granadina o zumo de grosella.', '2\nCerramos la coctelera y agitamos de forma rítmica con el fin de mezclar bien todos los zumos y que la granadina proporcione su particular toque de color rojizo y nos preparamos para servir.']",,5 comensales,15m,,Dificultad baja,,['Recomendada para veganos'],"['100 mililitros de Zumo de melocotón', '200 mililitros de Zumo de piña', '100 mililitros de Zumo de limón', '100 mililitros de Granadina o Grosella', '500 mililitros de Zumo de naranja', '1 cucharada postre de Azúcar', '1 puñado de Hielo']",https://www.recetasgratis.net/receta-de-coctel-san-francisco-50219.html
Rebujito andaluz,,"['1\nPoner un vaso en una superficie estable y echar hielo.', '2\nVerter la cantidad de manzanilla que sepamos que nuestro cuerpo puede aguantar y añadir gaseosa hasta el borde.', '3\nLo ideal, es que la proporción sea la anteriormente citada.', '4\nSugerencia: Añadir algunas hojas de menta.']",Valoración: 5 (1 voto),,,,,,,"['1 litro de manzanilla', 'Hielo', '1 litro de gaseosa', 'Hojas de menta (opcionales)']",https://www.recetasgratis.net/receta-de-rebujito-andaluz-50217.html
Cóctel Negroni,,"['1\nColoca tres piezas de hielo grande en una cóctelera o shaker. Si no tienes uno, puedes usar dos vasos que encajen entre ellos o cualquier envase para bebidas que cierre bien.', '2\nAñade todos los ingredientes menos la naranja. Luego agita fuertemente por unos minutos, la idea es que se mezclen los líquidos y además, que tomen frío.', '3\nSirve el cóctel negroni en un vaso corto, sin las piezas de hielo que queden en la cóctelera y decora con la piel de naranja.']",Valoración: 5 (1 voto),1 comensal,15m,,Dificultad baja,,[],"['1 trozo de Piel de naranja (twist o espiral)', '4 partes de Ginebra', '1 parte de Vermouth dulce', '2 partes de Campari']",https://www.recetasgratis.net/receta-de-coctel-negroni-50215.html
Long Island Iced Tea,"El long island iced tea es un cóctel muy famoso, de sabor fuerte y color oscuro que tiene como característica principal la mezcla de muchos alcoholes. Este cóctel lleva ginebra, vodka, tequila, ron y licor de naranja, pero el toque indispensable, sin duda es la Coca-Cola.","['1\nCortad en rodajas el limón.', '2\nPara hacerlo, meted en una coctelera cuatro hielos junto con todos los licores, el e zumo de limón y el jarabe de azúcar.', '3\nRemoved agitando bien todos los ingredientes.', '4\nServidlo usando un vaso tipo Pinta 50 – 60 Cl. y echadle la cola.', '5\nRemovedlo muy bien de nuevo con una cuchara. Servid con pajita y una rodaja de limón.']",,1 comensal,15m,,Dificultad baja,,[],"['15 mililitros de Vodka', '15 mililitros de Cointreau', '15 mililitros de Ginebra', '15 mililitros de Ron blanco', '3 cubos de Hielo', '25 mililitros de Zumo de limón', '30 mililitros de Jarabe de azúcar', '15 mililitros de Tequila blanco', '1 rodaja de Limón', '1 chorro de Coca-Cola']",https://www.recetasgratis.net/receta-de-long-island-iced-tea-50214.html
La original Queimada de Galicia,,"['1\nEn una olla de barro o cobre colocar todos los ingredientes salvo el ron, el vino y la canela.', '2\nEn un cucharón colocar 1 copa de ron y prenderle fuego. Con esta llama, y con mucha paciencia, prender fuego a la grapa que se encuentra en la olla.', '3\nAgregar la copa de vino tinto y canela al gusto un poco antes de apagarla.', '4\nDejar consumiendo el alcohol hasta que la llama adquiere un tono rojizo.']",,,,,,,,"['1/2 lt. de aguardiente', '1 pocillo de café', 'cascara de 1 limón', 'Canela a gusto', '1 puñado de pasas de uva', '3 cucharadas de azúcar', '1 copa de vino tinto', '1 copa de ron', '1/2 manzana cortada en dados pequeños']",https://www.recetasgratis.net/receta-de-la-original-queimada-de-galicia-50143.html
Queimada Gallega casera,,"['1\nColocar en un recipiente propio para queimada o en una tartera de porcelana o de hierro el azúcar y dos trozos de corteza de limón.', '2\nReservar dos cucharadas de azucar y ponerlas en el cucharón. Echar el aguardiente, poner un poco en el cucharón y prenderle fuego, incorporandola ardiendo al resto de la queimada.', '3\nDar algunas vueltas sin tocar demasiado el fondo. Coger del fondo el azucar.', '4\nEscurrirle el aguardiente y dejar que se queme con el fuego. El caramelo asi formado le da un color tostado. Podemos dejar que arda el tiempo que queramos,eso va en gustos.', '5\nCuanto menos se queme más fuerte resulta. Se apaga soplando fuerte o con una tapadera.', '6\nHay quien le incorpora a la queimada al comenzar a hacerla unos trozos y el zumo de un limon. Otros le echan unos granos de café y la apagan con vino tinto.', '7\nLos ingredientes que indicamos son los fundamentales. Los demas son variaciones que se introducen segun el que hace la queimada.', '8\nPara hacer el caramelo podemos reservar un poco del azúcar y no mojarlo en el aguardiente, estando seco se dora mas facilmente.']",,,,,,,,"['1 limón', '1 lt. de aguardiente', '150 gr de azúcar']",https://www.recetasgratis.net/receta-de-queimada-gallega-casera-50142.html
Tequila golpeado,"Otro cóctel con tequila o mejor dicho, otro cóctel tipo shot que querrás preparara siempre que puedas. Descubre cómo hacer el famoso tequila golpeado y disfruta con tus amigos.","['1\nEl tequila golpeado es un cóctel tipo shot, que se toman de inmediato y de un solo trago y además, son muy fáciles de preparar. Para hacerlo, reúne todos los ingredientes, incluyendo un vaso de tubo o uno pequeño de boca no muy ancha.', '2\nColoca en el fondo de la vaso el gajo de limón y añade el tequila.', '3\nAñade la bebida gaseosa que puede ser cualquier de limón tipo sprite, 7Up, tónica o ginger ale. Luego, tapa el vaso con la mano y agita fuertemente para que el gas forme burbujas.', '4\nAhora bebe de inmediato el tequila golpeado y a seguir la fiesta! Y si te gusta el tequila puedes probar el absolut tequila o el blue tequila, cócteles más clásicos que seguro te gustarán.']",,1 comensal,15m,,Dificultad baja,,[],"['30 mililitros de Tequila', '30 mililitros de Sprite o Ginger Ale', '1 gajo de Limón verde']",https://www.recetasgratis.net/receta-de-tequila-golpeado-49028.html
Cóctel de vermouth,,"['1\nBata todos los ingredientes en la juguera, al momento de servir agregue hielo a gusto.', '2\nPuedes presentar este coctel de vermouth con un vaso como el de la foto y dentro una cereza y una rodaja de limón o naranja.']",,1 comensal,15m,,Dificultad baja,,[],"['Porciones de vermouth', '8 gotas de Amargo', '1 unidad de Limón (jugo)', '1 cucharada sopera de Azúcar', 'Hielo a gusto']",https://www.recetasgratis.net/receta-de-coctel-de-vermouth-48248.html
Ponche De Culén,,"['1\nRemoje los palitos de culén en agua tibia, enseguida pélelos con un cuchillo, póngalos a hervir en tres litros de agua, añada los clavos de olor, la canela y el azúcar. Deje hervir unos 30 minutos. Luego deje enfriar y cuélelo mezclándola con el aguardiente. Bata un rato, levantando con un cucharón y deje caer. Envase en botellas de vidrio y guarde en un lugar oscuro y seco.']",,8 comensales,45m,,Dificultad baja,,[],"['1 paquete(s) de culén', '3 palito(s) de canela', '1 taza(s) agua caliente', '3 clavos de olor', '3/4 taza(s) azúcar por litro', 'Aguardiente']",https://www.recetasgratis.net/receta-de-ponche-de-culen-48146.html
Ponche de duraznos,,"['1\nSepara el durazno del almíbar. Reserva aparte el líquido y corta toda la fruta en cuadros pequeñitos.', '2\nMezcla el agua con el azúcar y el vino hasta que ésta última se haya disuelto por completo.', '3\nA continuación añade a la mezcla la fruta cortada y el almíbar reservado. Revuelve bien y si no tienes un bol o jarra lo suficientemente amplia puedes dividir el preparado en dos. Refrigera.', '4\nUna vez el ponche de durazno esté bien frío añade el coñac y sirve.']",Valoración: 4 (1 voto),8 comensales,15m,,Dificultad baja,,[],"['1 tarro de Duraznos en conserva', '½ taza de Azúcar (100 gramos)', '2 libras de Vino blanco', '2 cucharadas soperas de Coñac', '1 botella de Agua mineral']",https://www.recetasgratis.net/receta-de-ponche-de-duraznos-48122.html
Coctel de ron con maracuyá,,"['1\nmezcle todos los ingredientes con hielo abundante.si quiere le puede agregar un poco de saborizante, adorne al gusto']",Valoración: 5 (1 voto),,,,Dificultad baja,,[],"['- 1 taza de ron blanco', '- 1/2 taza de ron superior', '- 2 tazas de jugo de maracuyá']",https://www.recetasgratis.net/receta-de-coctel-de-ron-con-maracuya-47953.html
jugo de fresa con mora,,"['1\nEn una licuadora batimos el agua junto a las fresas el azucar y la mora , luegocernimos el jugo en un embase meter al congelador por 2:00 horas listo haora disfruta de tu bebida fria.']",Valoración: 4 (1 voto),,,,Dificultad baja,,[],"['un litro de agua', '10 fresas rojas', '5 cucharadas de azucar', 'y 10 moras']",https://www.recetasgratis.net/receta-de-jugo-de-fresa-con-mora-47770.html
