title,intro,order,votes,url,comensales,duración,para,dificultad,coste,types,ingredientes
Smothie de naranja y plátano,"En esta oportunidad RecetasGratis.net te enseña con esta vídeo receta cómo hacer un delicioso batido para empezar el día con energía de forma natural y saludable. El smoothie de naranja y plátano, además es ideal para los más pequeños de casa, pues la combinación de frutas hacen que tenga un sabor increíble sin necesidad de añadir azúcares extra.",[],,https://www.recetasgratis.net/video-receta-de-smothie-de-naranja-y-platano-56143.html,,,,,,,
Lassi de mango,"El lassi es una bebida tradicional india que está hecha a base de yogur y leche. El lassi es famoso por su poder refrescante y se puede hacer salado, dulce o picante, todos ellos ideales para acompañar cualquier tipo de comida, en especial las de sabores fuertes. Hoy te enseñamos cómo preparar lassi de mango, uno de los más populares en occidente y que además puedes servir como postre.","['1\nHacer lassi de mango es muy fácil, lo importante es que los ingredientes sean de calidad. En cuanto al mango, te recomendamos usar mango dulce, necesitarás unos 3. Si deseas. también puedes usar pulpa de mango.', '2\nTritura el mango por completo, procura no dejar grumos. Luego mezcla con el yogur y la leche.', '3\nCon la mezcla base lista sólo te queda añadir azúcar al gusto y una pizca de cardamomo. Éste último le aportara un toque de sabor y además múltiples beneficios saludables a tu organismo.', '4\nDeja reposar en la nevera para que el lassi de mango este frío y a disfrutar. En India esta bebida se usa para acompañar comidas como la tradicional samosa o pakora vegetal, pero también la puedes servir como postre. Y recuerda que que si estás en Barcelona y quieres disfrutar de auténtica comida India puedes venir a visitarnos en Mayura restaurante & lounge.']",,https://www.recetasgratis.net/receta-de-lassi-de-mango-56103.html,4 comensales,15m,,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas indias']","['250 mililitros de Yogur natural', '130 mililitros de Leche', '200 gramos de Mango', '2 cucharadas de postre de Azúcar', '1 pizca de Cardamomo en polvo']"
Merengada de Oreo con helado,"Ahora en RecetasGratis.net podrás seguir el tutorial de tus recetas favorita, en este caso te enseñamos a preparar una deliciosa merengada para consentir a los más golosos de casa. Aprende cómo hacer un batido de Oreo con helado de vainilla, una receta fácil y divertida con la que seguro sorprenderás a todos.Échale un vistazo a esta video receta y comparte con todos una tarde desenfada con esta estupenda merengada de Oreo y helado. ¡Un postre que podrás comer y beber!",[],,https://www.recetasgratis.net/video-receta-de-merengada-de-oreo-con-helado-56047.html,,,,,,,
Batido de piña y coco,Se te gustan las bebidas naturales pero no estás seguro de qué mezclas hacer toma nota. Aprende cómo hacer un batido de piña con leche de coco y disfruta de una deliciosa piña colada sin alcohol a cualquier hora del día. Un batido refrescante y nutritivo que seguro te encantará.,"['1\nEl primer paso para preparar este delicioso batido será cortar la rodaja de piña. Conserva un par de hojas de la piña para decorar los vasos al final.', '2\nCorta la piña en cuadros y desecha el círculo central de la fruta, que aunque se puede comer, puede amargar mucho el batido.', '3\nLa leche de coco la puedes encontrar en tu supermercado habitual. También puedes utilizar pulpa de coco o coco natural mezclado con un poco de leche.', '4\nLleva todo a la licuadora y procesa por unos cuantos minutos hasta que se triture por completo la fruta. Puedes prescindir del azúcar ya que si la piña está madura será lo suficientemente dulce para que el batido tengo un sabor estupendo.', '5\nSirve el batido de piña y coco y decora con unas hojas secas de piña, quedará muy elegante. Este cremoso zumo lo puedes beber en el desayuno con un sándwich de huevo o a media tarde con la merienda y si prefieres puedes añadirle unas gotas de ron y hacer una piña colada.']",Valoración: 5 (5 votos),https://www.recetasgratis.net/receta-de-batido-de-pina-y-coco-55853.html,2 comensales,15m,,Dificultad baja,,[],"['1 rodaja de Piña natural', '1 vaso de Leche de coco', '1 cucharada postre de Azúcar']"
Cóctel de frutas naturales,"Un sencillo y sano cóctel natural, acompañado de una ligera tapa de melón con jamón. Si tienes invitados en casa o, simplemente, quieres sorprender a tu pareja con recetas diferentes y especiales, toma nota del paso a paso y prepara con RecetasGratis.net este delicioso cóctel de frutas.","['1\nEmpezaremos la receta por la elaboración de la tapa de melón con jamón. Para ello, cortamos rodajas de melón de 2 cm de grosor, aproximadamente. Luego, con la ayuda de uno o varios cortapastas, damos formas diferentes, pueden ser flores, corazones, etc. Hecho esto, colocamos pequeños trozos de jamón serrano encima y reservamos.', '2\nAhora vamos a por el cóctel de frutas. Exprimimos las naranjas y vertemos el zumo en una coctelera o cualquier otro recipiente. Añadimos unos cubitos de hielo, zumo de piña (la misma cantidad que de naranja) y removemos. Si no tienes zumo de piña, puedes licuar algunos trozos de esta fruta. Yo, normalmente, suelo tener piña cortada en la nevera y ella sola va soltando su jugo. Ten en cuenta que la piña con un poco de azúcar suelta mucho zumo y, si exprimimos con las manos la cáscara, esta también expulsa mucho líquido.', '3\nAñadimos la casera, también la misma cantidad que de zumos. Removemos un poco y añadimos un chorro de granadina, volvemos a mover.', '4\nPonemos un trozos de cáscara de naranja y lo servimos en copa o vaso, como más nos guste.', '5\nUn aperitivo ligero y muy refrescante. Este cóctel de frutas naturales acompañado de una tapa de jamón es ideal para aquellos días de más calor o que nos apetece darnos un pequeño capricho. Más recetas como esta en mi blog La Cocina de Adita. Espero que os guste, besos. Adita']","Valoración: 4,5 (2 votos)",https://www.recetasgratis.net/receta-de-coctel-de-frutas-naturales-55523.html,2 comensales,30m,,Dificultad baja,,[],"['Melón', 'Jamón serrano cortado muy fino', 'Zumo de piña natural', 'Zumo de naranja natural', 'Gaseosa', 'Granadina', 'Cubitos de hielo y piel de naranja']"
Batido de plátano y galletas,"Esta receta me recordó cuando era niña y mi abuela me preparaba batidos con los plátanos que ya estaban muy maduros. Con esta receta fácil aprenderás cómo hacer un batido de plátano y galletas, una merienda completa, deliciosa y perfecta para tomar en cualquier momento. Estoy segura que este batido con leche lo disfrutarán todos en casa, así que manos a la obra.","['1\nPara hacer este delicioso batido de plátano lo primero que debes hacer es alistar los ingredientes. Esta batido nutritivo no lleva azúcar porque tanto las galletas como la fruta ya contienen la suficiente.', '2\nEl siguiente paso será partir un poco las galletas y echarlas en la licuadora. Si no tienes licuadora puedes utilizar cualquier batidora o pica todo que tengas en casa. Yo he utilizado galletas tipo digestive pero puedes usar galletas María o cualquiera de tu preferencia.', '3\nA continuación trocea el plátano y agrégalo a la licuadora junto con las galletas. Mientras más maduro esté el plátano el batido quedará más dulce.', '4\nAhora le toca el turno a la leche. Añade la leche junto con los demás ingredientes. Yo he utilizado leche desnatada para que esta deliciosa merengada de plátano tenga menos grasa, pero puedes utilizar la leche que desees.', '5\nProcesa todo durante unos 5 minutos o hasta que veas que se han triturados e integrado todos los ingredientes. Puedes probar la mezcla y corregir el sabor añadiendo azúcar, vainilla, canela o lo que desees. Yo no he añadido ningún ingrediente extra y el batido de plátano ha quedado perfecto.', '6\nEl batido de plátano y galletas es la merienda perfecta, una bebida completa y nutritiva para tomar a media tarde o para empezar el día. Y si has pensado en merienda, también puedes preparar unas galletas de mantequilla. A disfrutar!!']",Valoración: 5 (5 votos),https://www.recetasgratis.net/receta-de-batido-de-platano-y-galletas-55714.html,2 comensales,15m,Merienda,Dificultad baja,,[],"['4 unidades de Galletas digestive', '1½ unidades de Plátano', '1½ vasos de Leche desnatada']"
Clericó argentino,"El clericó es una bebida típica argentina que se prepara en la época de verano, especialmente para las fiestas de Navidad y Año Nuevo. Es un cóctel o ponche (como lo llaman también) elaborado a base de frutas de estación y vino blanco, que se prepara en grandes jarras y se consume bien frío. Sigue leyendo y aprende con RecetasGratis.net a preparar este delicioso clericó argentino.","['1\nLo primero que hacemos antes de empezar con la receta es alistar todos los ingredientes para el clericó.', '2\nPelar y cortar en cubos todas las frutas, fíjate en la fotografía para hacerlo de la misma manera.', '3\nColocar la fruta cortada en una jarra de vidrio. Le incorporamos el azúcar y dejamos reposar durante 30 minutos para que las frutas despidan su jugo y el clericó argentino quede perfecto.', '4\nVertemos el vaso de vino blanco y completamos el clericó, muévelo un poco para que las frutas se impregnen de los líquidos. Lo llevamos a la heladera y lo dejamos durante 1 o 2 horas aproximadamente.', '5\nPara darle un toque de glamour al clericó argentino, humedecemos con el limón el borde superior de los vasos y los sumergimos en un tazón de azúcar para que este quede impregnado, como vemos en la imagen. Servimos y decoramos con unas rodajas de limón.']",Valoración: 4 (1 voto),https://www.recetasgratis.net/receta-de-clerico-argentino-55499.html,2 comensales,30m,,Dificultad baja,,"['Recetas para Navidad', 'Recetas argentinas']","['2 unidades de Naranjas', '1 unidad de Manzana', '1 unidad de Banana', '1 unidad de Durazno', '1 unidad de Pera', '2 unidades de Kiwi', '2 unidades de Ciruelas', '10 unidades de Frutillas', '1 manojo de Uvas', '1 unidad de Limón para exprimir', '1 taza de Azúcar (200 gramos)', '1 vaso de Vino blanco']"
Batido de chirimoya y naranja,"La chirimoya es un fruto rico en calcio, fósforo, potasio y hierro. Todo esto unido con la vitamina C de la naranja da como resultado un batido saludable y muy aromático, útil para el corazón debido a las propiedades cardioprotectoras de estos dos alimentos. Toma nota de los pasos, prepara este batido de chirimoya y naranja con RecetasGratis.net y empieza a aprovecharte de sus múltiples beneficios.","['1\nAntes de realizar esta receta saludable, el primer paso es alistar todos los ingredientes.', '2\nPartir la chirimoya por la mitad, extraer la pulpa con una cuchara y retirar las semillas, añadir la chirimoya a la licuadora con el zumo de naranja.', '3\nProcesar hasta obtener un batido totalmente homogéneo, fíjate en la fotografía para tenerla como referencia.', '4\nColar el batido de chirimoya y naranja, así obtendremos una bebida más suave, aunque también se puede consumir sin necesidad de colar.', '5\nTe recomiendo consumir el batido de chirimoya y naranja muy frío, ya que así es mucho más refrescante, tomarlo a la hora del desayuno o en la merienda. Si te ha gustado esta bebida, tienes algún comentario o inquietud, danos tu opinión.']",,https://www.recetasgratis.net/receta-de-batido-de-chirimoya-y-naranja-55459.html,2 comensales,15m,Desayuno,Dificultad baja,,[],"['2 unidades de Chirimoya', '2 unidades de Naranja']"
Sorbete de melón y cava,"Un sorbete está compuesto por zumo de frutas, azúcar y agua, principalmente. En esta ocasión vamos a hacer un sorbete de melón y cava, un cóctel con frutas que te encantará. El cava es un vino espumoso elaborado en la región del Cava en España, y su método de elaboración es el mismo que el que se emplea para la preparación del champán adaptado a las variedades autóctonas o de las zonas españolas de producción. Sigue leyendo y aprende con RecetasGratis.net a hacer sorbete de melón y cava, ideal para ocasiones especiales.","['1\nEl primer paso para la elaboración de la receta es prealistar los ingredientes de nuestro sorbete casero.', '2\nCorta el melón en trozos y llévalo a un bol para la elaboración de este sorbete tan refrescante.', '3\nAdiciona el azúcar y la taza de agua y procesa muy bien hasta integrar los ingredientes.', '4\nLleva esta mezcla a un molde de silicona, en esta ocasión quise realizar moldes de estrella, congela durante una hora aproximadamente.', '5\nUna vez congelados los cubos de melón, agrega el cava a cada una de las copas de vino.', '6\nPara hacer el sorbete de melón y cava, agrega los cubos congelados a las copas y todos los ingredientes se integren e impregnen de cada uno de sus aromas. Esta bebida es muy refrescante para el verano y deliciosa, ya que el melón combina muy bien con la cava. Asimismo, el cava es una de las bebidas más afrodisíacas, por lo que este sorbete es ideal para la cena de San Valentín. Si deseas más recetas de cócteles y bebidas y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 3,5 (4 votos)",https://www.recetasgratis.net/receta-de-sorbete-de-melon-y-cava-55438.html,4 comensales,1h 30m,,Dificultad baja,,[],"['1 botella de Cava', '1 unidad de Melón fresco', '2 cucharadas soperas de Azúcar', '3 unidades de Limón', '1 taza de Agua (240 mililitros)', '4 unidades de Copas de vino']"
Cosmopolitan,"El Cosmopolitan es un cóctel a base de vodka con algunos toques a frutales, es conocido por ser un cóctel afrodisíaco y muy colorido y se volvió famoso por el ser la bebida de las chicas de la serie Sexo en Nueva York. Hoy te traemos esta receta de cosmopolitan para que lo aprendas a hacer en y le des un toque especial a tus cenas románticas, especialmente para estas fechas de San Valentín.","['1\nPara preparar el cosmopolitan lo primero que debes hacer es alistar todos los ingredientes, yo utilice hielo con arándanos pero puedes usar hielo solo.', '2\nColoca en una copa grande el vodka y los hielos, revuelve un poco para integrar los sabores.', '3\nLuego agrega el triple sec y el jugo de un limón, mezcla. El triple sec es un licor de naranja y también puedes utilizar el conocido cointreau.', '4\nPor ultimo, para terminar este delicioso cóctel afrodisíaco agrega el jugo de arándano y mezcla muy bien, si tienes una coctelera te recomiendo que prepares este cóctel en esta.', '5\nSirve y degusta esta delicia afrodisíaca en tus cenas románticas y en especial para san Valentín, sorprende a tu pareja con un buen cosmopolitan.', '6\nY para tu cena romántica te proponemos:Ensalada templada de langostinosPollo en salsa de curryFresas de chocolate']",Valoración: 5 (2 votos),https://www.recetasgratis.net/receta-de-cosmopolitan-55437.html,2 comensales,15m,,Dificultad baja,,['Recetas para San Valentín'],"['100 gramos de Jugo de arándano', '5 cucharadas soperas de Triple sec', '7 cucharadas soperas de Vodka', '1 unidad de Limon', '6 unidades de Hielo']"
