title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Maroccan mint tea,,"['1\nEn una cafetera poner 3 cucharas de OOLONG TEA (no sobres), 2 cucharas de hojas de menta secas y 1/2 taza de azúcar.', '2\nLlenar de agua hirviendo hasta el borde, dejar reposar por 5 minutos.', '3\nMover la infusión probar si esta lo suficientemente dulce, servir en vasos de cristal.', '4\nMientras que los invitados toman el te usted puede volver a añadir 1 cucharilla de té y 2 de azúcar echar agua hirviendo, 5 minutos de reposo mover de nuevo, probar otra vez y listo para servir.', '5\nEncontrar tiendas de alimentación africanas o arabes para comprar.']","Valoración: 3,3 (33 votos)","['Caja de té', 'Azúcar', 'Incienso', 'Té DE MENTA', 'MORIZCO']",https://www.recetasgratis.net/receta-de-maroccan-mint-tea-16277.html,,,,,,
Coctel de tumbo,,"['1\nAñadir más azúcar si es necesario.', '2\nSe licúa la pulpa del tumbo con medio litro de agua.', '3\nSe cuela, separando las pepas del tumbo y parte de la pulpa del mismo, quedando sólo su jugo.', '4\nSe añaden el otro 1/2 litro de agua,los 3 cubitos de hielo y la leche condensada.', '5\nSe licúa todo muy bien y se añaden el singani y los restantes cubitos de hielo para servir.', '6\nSe puede añadir más leche condensada o quitarla de acuerdo al gusto.', '7\nEs un coctel delicioso y muy boliviano.']",Valoración: 4 (26 votos),"['10 tumbos (granada china en Centroamérica) pelados y desgranados conservando su pulpa.', '1/2 vaso de singani boliviano (aguardiente de uva).', '1/3 vaso de leche condensada.', '1 litro de agua hervida y fría.', '3 cubitos de hielo para licuar y 4 para servir.']",https://www.recetasgratis.net/receta-de-coctel-de-tumbo-16254.html,,,,,,
Chuflay,,"['1\nSe ponen dos cubitos de hielo en cada vaso, se le agregan una medida de Singani y Ginger Ale hasta tres cuartas partes del vaso.', '2\nSe introduce una rodaja de limón a cada vaso y salud...', '3\nEs importante utilizar el Singani auténtico boliviano por su inconfundible sabor a uva.', '4\nSe le puede añadir, si se quiere, un poco de jugo de limón.']","Valoración: 3,3 (34 votos)","['Singani (aguardiente de uva boliviano)', 'Ginger Ale o gaseosa de limón', 'Rodajas de limón', 'Hielo en cubitos', 'Jugo de limón (opcional)']",https://www.recetasgratis.net/receta-de-chuflay-16248.html,,,,,,
bebida sanbertin,,"['1\nExprimir los cítricos y licuar el jugo obtenido junto con la manzana pelada y cortada en trozos.', '2\nAgregar el azúcar y la miel.', '3\nA la hora de servir, remover bien y agregar hielo a gusto.']","Valoración: 4,7 (3 votos)","['2 naranjas exprimidas', '2 limones exprimidos', '4 cucharadas de azúcar', '1 cucharada de miel', '1 manzana exprimida']",https://www.recetasgratis.net/receta-de-bebida-sanbertin-16237.html,,,,,,
GUARRUZ,,"['1\nPoner a calentar el agua, agregar todos los ingrediantes, dejar cocinar hasta que al introducir una cuchara esta quede parada.', '2\nAcompañar este Plato con carne frita de cerdo y papa cocida salada.', '3\nSi desea tambien un patacon.']","Valoración: 4,2 (11 votos)","['1 libra de arroz', '3 litros de agua', '5 hojas de naranjo agrio', 'pizca de bicarbonato o soda']",https://www.recetasgratis.net/receta-de-guarruz-15990.html,,,,,,
batido de naranja y vainilla helada,,"['1\nVerter el zumo de naranja en un vaso alto.', '2\nAñadir 3 ó 4 (o más)cucharadas soperas de helado de vainilla; para decorarlo, espolvorear el azucar y poner la hojita de menta.', '3\nEs un batido muy refrescante.', '4\nTambién se puede substituir por helado de vainila con cookies o con nueces de Macadamia.']",Valoración: 4 (4 votos),"['Zumo de naranja sin pulpa', 'helado de vainilla', '1 cucharadita de azucar de caña', '1 hojita de menta fresca']",https://www.recetasgratis.net/receta-de-batido-de-naranja-y-vainilla-helada-15100.html,,,,,,
Batido de gelatina y frutas,,"['1\nEspecial para refrescarce o para cualquier ocasion facil de preparar y facil de devorar.', '2\nHacer la gelatina de frambuesa y la limon una ves q tengas las dos gelatinas(no cuajadas)batir la gelatina de limon en la licuadora hasta que se espume, cortar los platanos y las manzanas ponerlos en posillitos junto con la gelatina de frambuesa (dejar espasio para la espuma masomenos cuarta parte )', '3\nCuajar la gelatina con las frutas despues echarle la espuma volver a cuajar y listo¡¡¡ los paquetes de gelatina pueden ser de distintos sabores,si se quiere agregar mas frutas pero que no sean jugosas,si quieres q la gelatina se cuaje mas rapido ponla en la congeladora .']","Valoración: 3,4 (31 votos)","['1 Un paquete de Gelatina sabor frambuesa', '2 Medios paquetes de Gelatina sabor limon', '2 Platanos dulces', '2 manzanas tamaño mediano rojas']",https://www.recetasgratis.net/receta-de-batido-de-gelatina-y-frutas-15099.html,,,,,,
Batido de naranja,,"['1\nPoner en la licuadora el jugo de naranja y echar el huevo crudo junto con la miel hasta licuarse muy bien.', '2\nSe puede agregar hielo también a la mezcla y obtener un batido más refrescante.', '3\nRinde para más de 1 vaso y sirve como reanimante, puedes agregar la miel a tu gusto al igual que la vainilla.']","Valoración: 3,8 (37 votos)","['1 vaso de Jugo de naranja', '1 unidad de Huevo', '2 cucharadas soperas de Miel de abeja', 'Vainilla líquida al gusto']",https://www.recetasgratis.net/receta-de-batido-de-naranja-14130.html,2 comensales,15m,,Dificultad baja,,[]
Batido de gelatina y frutas especial,,"['1\nDetalles de la receta: Nivel de dificultad : 1 Tiempo de preparación: 15 min Tiempo de cocción : 0 vegetariana', '2\nHacer la gelatina de frambuesa y la limon una ves q tengas las dos gelatinas(no cuajadas)batir la gelatina de limon en la licuadora hasta que se espume, cortar los platanos y las manzanas ponerlos en posillitos junto con la gelatina de frambuesa (dejar espasio para la espuma masomenos cuarta parte )cuajar la gelatina con las frutas despues echarle la espuma volver a cuajar y listo.', '3\nLos paquetes de gelatina pueden ser de distintos sabores,si se quiere agregar mas frutas pero que no sean jugosas,si quieres q la gelatina se cuaje mas rapido ponla en la congeladora.']","Valoración: 3,5 (30 votos)","['1 Un paquete de Gelatina sabor frambuesa', 'Medio paquete de Gelatina sabor limon', '2 Platanos dulces', '2 manzanas tamaño mediano rojas']",https://www.recetasgratis.net/receta-de-batido-de-gelatina-y-frutas-especial-14019.html,,,,,,
Ponche para niños,,"['1\nCalienta la leche. Viértela junto con las yemas y la miel en un vaso de batidora. Bátelo bien.', '2\nPor último, vierte el ponche en vasos grandes. Puedes decorar los bordes de los vasos impregnándolos en granadina y azúcar.', '3\nEspolvorea canela por encima y decora con hojas de menta. Sirve enseguida.']","Valoración: 3,8 (12 votos)","['Para 4 personas', '750 ml de leche', '4 yemas de huevo', '4 cuch. de miel', 'Canela en polvo', 'Granadina y azúcar', 'Unas hojas de menta']",https://www.recetasgratis.net/receta-de-ponche-para-ninos-13293.html,,,,,,[]
