title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
¡Receta Casera Fácil!,"El salpicón de marisco es una receta sencilla y fresquita, ideal como entrante o como tapa. El salpicón es como una ensalada pero con trozos de mariscos y verduras troceadas. Se puede hacer muy variada, ya que admite muchos ingredientes, así que puedes agregar tus mariscos favoritos y personalizarla a tu gusto.Lo importante para que el salpicón te quede bueno y delicioso es usar ingredientes frescos. Las verduras también han de ser frescas y estar buenas. De resto, es una receta muy fácil y rápida de hacer, así que no te verás con tantas complicaciones. En RecetasGratis, te damos todos los pasos y consejos que necesitas para aprender cómo hacer salpicón de marisco, ¡vamos a ello!","['1\nPica las verduras (la cebolla, el pimiento rojo y el pimiento verde) en trozos muy pequeños.', '2\nCorta en trozos pequeños el pulpo y los palitos de cangrejo. Pela las gambas y, según tu gusto, córtalas o déjalas enteras.', '3\nPon todos los ingredientes en una fuente de servir.', '4\nPrepara una vinagreta con el aceite, un chorro de vinagre y el pimentón. Mezcla los ingredientes bien. Añade un poco de sal al salpicón de marisco y báñalo con la vinagreta. Sirve bien frío y disfruta. El salpicón no solo se hace de las mezclas de mariscos, así que también puedes preparar:Salpicón de polloSalpicón de cangrejoSalpicón de res']","Valoración: 3,8 (9 votos)",2 comensales,30m,,Dificultad baja,,[],"['1 pata de pulpo cocida', '6 gambas cocidas', '3 palitos de cangrejo', '1 trozo de pimiento rojo', '1 trozo de pimiento verde', '1 trozo de cebolla tierna', '1 chorro de aceite de oliva', '3 cucharadas soperas de vinagre', '1 cucharada postre de pimentón dulce o picante', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-salpicon-de-marisco-73482.html
Ensalada de Espinacas y Mango,"¿Te provoca algo fresco, ligero y lleno de sabor? ¡A nosotros también! Por eso, queremos compartir esta receta de ensalada de espinacas y mango: una combinación de sabores tropicales y refrescantes que te sacarán de la rutina. Si te gustan los sabores cítricos y dulces, estamos seguros de que esta preparación te encantará.El mango es una fruta tropical, aunque en España también se cosecha un poco, sobre todo durante la primavera y el verano. Dependiendo de qué tan maduros o verdes estén los mangos, la fruta adquirirá un sabor más dulce o ácido respectivamente. El mango combina muy bien con otras verduras e ingredientes, así que, en esta ocasión, hemos juntado los mejores para que descubras cómo hacer ensalada de espinacas y mango de la manera más deliciosa. ¡Comencemos!","['1\nEmpieza preparando las pechugas de pollo a la plancha. Para darles sabor, puedes condimentarlas con pimienta, hierbas provenzales, pimiento dulce y otras esencias que te gusten.\nTruco: No uses tanta sal si quieres hacer una receta más ligera.', '2\nLava las espinacas con abundante agua y resérvalas. Pícalas si es necesario, puedes usar espinaca baby para que sea más cómodo preparar la ensalada.', '3\nPela y pica el mango en cubitos de aproximadamente 3 cm. Asimismo, pica la cebolla.', '4\nPrepara una cama de espinacas, coloca luego el pollo picado en tiras, el mango, la cebolla y las nueces. Condimenta todo con sal y pimienta y rocía con aceite de oliva. ¡Disfruta de tu ensalada de espinacas y mango!']","Valoración: 4,2 (5 votos)",2 comensales,15m,,Dificultad baja,,[],"['2 pechugas de pollo a la plancha', '1 mango', '1 manojo de espinacas', '1 cebolla morada', '2 puñados de nueces', 'Aceite de oliva al gusto', 'Sal y pimienta al gusto']",https://www.recetasgratis.net/receta-de-ensalada-de-espinacas-y-mango-73300.html
Tartar de tomate y aguacate,"Esta vez, en RecetasGratis, vamos a preparar una receta de tartar de tomate y aguacate. Es una entrada fresquita y rica para empezar cualquier comida. El tartar es una ensalada muy saludable, ya que las preparamos con verduras frescas. Su presentación es ideal para una celebración con amigos o seres queridos. Además, es un plato muy sencillo y rápido de elaborar. ¡En apenas unos 15 minutos ya estará listo! Puedes hacerlo con los ingredientes que más te gusten, pero la combinación del tomate y aguacate, además de ser clásica, ¡es deliciosa y queda genial!No dudes en probarlo y sigue leyendo para aprender cómo hacer tartar de tomate y aguacate.","['1\nPara preparar el tartar de tomate y aguacate, lo primero que haremos será lavar el tomate. Opcionalmente, podemos quitarle la piel. Sacamos además las pepitas y cortamos en trozos pequeños. Luego, pelamos el aguacate, lo cortamos en trozos y hacemos lo mismo con la cebolla.', '2\nEchamos el zumo de limón sobre los ingredientes cortados, sobre todo encima del aguacate para que no se oxide. Lo mezclamos todo en un bol.', '3\nEn otro bol, echamos el aceite, un poco de sal y vinagre. Mezclamos y añadimos un poco de esta vinagreta sobre el tartar, lo removemos y servimos en platos individuales, utilizando un molde redondo. Por si se quiere aliñar más, podemos servir el aliño que sobró aparte. ¡Listo, tu tartar quedará genial!']","Valoración: 4,2 (5 votos)",2 comensales,15m,,Dificultad baja,,[],"['2 tomates', '1 aguacate', '1 cebolleta o cebolla', '1 limón o lima', '1 chorro de aceite de oliva', '1 pizca de sal', '1 chorro de vinagre balsámico']",https://www.recetasgratis.net/receta-de-tartar-de-tomate-y-aguacate-72994.html
"Receta, Ingredientes, Calorías","El origen de la ensaladilla rusa es todavía incierto, ya que muchos aseguran que fue Lucien Olivier, cocinero belga conocido en todo el mundo, quien inventó este plato en Rusia, mientras que otros afirman que la receta ya existía mucho antes. Independientemente de si fue Olivier o no quien la creó, lo cierto es que la ensaladilla rusa se popularizó gracias a él. Originalmente, la ensalada que Olivier ofrecía en su restaurante tenía el nombre de ensalada Olivier, es por este motivo por el que muchas personas conocen la receta bajo este nombre, y no como ""ensalada rusa"".Actualmente, existen muchas formas de preparar ensaladilla rusa, no obstante, en RecetasGratis hemos indagado entre los distintos posibles orígenes del plato y todos ellos tienen los siguientes ingredientes en común: patatas, zanahoria, carne, guisantes y mayonesa. En su restaurante, Olivier ofrecía una ensalada con estos productos y otros alimentos catalogados como gourmet, como caviar y trufa. Puesto que la mayoría de personas no disponemos de estos productos en nuestras despensas, seguiremos la receta original, más humilde y económica. Sigue leyendo y descubre con nosotros cómo hacer ensaladilla rusa, la receta original.","['1\nLa ensaladilla rusa original se prepara cocinando las verduras hervidas. No obstante, para acelerar el proceso, nosotros hemos optado por hacerlas al microondas. Para ello, es necesario pelar las patatas y las zanahorias, envolverlas en papel film y cocinar al microondas a máxima potencia durante 8 minutos. En caso de hacerlas hervidas, aconsejamos trocearlas en trozos similares.', '2\nMientras se cocinan las patatas y las zanahorias, cocemos los guisantes en agua hirviendo. En paralelo, cocinamos la pechuga de pollo fileteada hervida, al vapor o a la plancha, ya que queremos preparar una ensaladilla rusa baja en calorías.\nTruco: Si tienes los guisantes congelados, añádelos directamente al agua hirviendo.', '3\nPor otro lado, hacemos los huevos cocidos teniendo mucho cuidado al añadirlos al agua caliente para evitar que se rompan. El tiempo de cocción dependerá del tamaño de los huevos, pero suele oscilar los 8-10 minutos. Este ingrediente no aparece en la ensalada rusa original, sin embargo, se lleva incorporando a la receta desde hace tantos años que, hoy en día, no la contemplamos sin él.\nTruco: Si no cocinas las patatas y las zanahorias al microondas, puedes cocer toda la verdura junta, agregando también los huevos.', '4\nUna vez que estén todos los ingredientes de la ensaladilla rusa listos, ha llegado el momento de prepararla. Troceamos las patatas y las zanahorias, escurrimos las latas de atún y mezclamos en un bol o ensaladera. La receta original se hacía únicamente con carne, que podía ser de pollo o de pavo, pero con el paso de los años el atún se ha convertido en otro producto indispensable, es por ello por lo que no podía faltar aquí.', '5\nCortamos el pollo y lo añadimos a la ensalada. Pasamos los huevos cocidos por agua fría y, una vez fríos del todo, los pelamos y troceamos.', '6\nPreparamos la mayonesa casera batiendo el aceite de oliva con el huevo hasta emulsionar. Recomendamos utilizar batidora de mano eléctrica, especialmente si nunca antes se ha preparado mayonesa. En caso de costar que el aceite emulsione, recomendamos añadir un poco más de aceite pero sin dejar de batir. La añadimos a la ensalada y mezclamos.', '7\n¡Listo! Ya tenemos nuestra receta de ensaladilla rusa casera preparada para servir. A este receta base, hay quien suma otros ingredientes, como gambas, más verduras... Así, te animamos a probar la ensaladilla rusa auténtica y experimentar para preparar distintas versiones cada vez. ¡Incluso puedes hacerla vegana! Además, ¡esta es una receta para tupper ideal!']","Valoración: 3,3 (6 votos)",3 comensales,15m,,Dificultad baja,,[],"['2 patatas medianas', '2 zanahorias medianas', '2 latas de atún al natural', '1 pechuga de pollo fileteada', '1 puñado de guisantes', '2 huevos', '1 huevo', '100 mililitros de aceite de oliva']",https://www.recetasgratis.net/receta-de-ensaladilla-rusa-original-72835.html
¡Receta original con yogur griego!,"Hoy en día, la variedad de las ensaladas es, afortunadamente, inmensa y las recetas no siempre tienen que ser exclusivamente de lechuga o verduras. En este caso, en RecetasGratis, os proponemos esta receta de ensalada de papa con manzana, un platillo muy rico, fresco y diferente que seguro va a gustar en casa. Además, al utilizar una cebolla fresca, la ensalada resulta ligera y digestiva. Esta vez, la hemos acompañado de yogur griego, logrando así una cremosa armonización de todos sus sabores. Esta ensalada de papa fría no tiene muchos secretos, es apta para principiantes en la cocina y un gran aliado para comidas o cenas ligeras y rápidas. Puede combinarse con el plato principal o consumirla sola. Sea como sea, combina muy bien con casi cualquier ingrediente. ¡Os contamos cómo hacer ensalada de papa y manzana con excelentes resultados!","['1\nEn primer lugar, vamos a pelar y lavar las patatas. Las ponemos en una olla con agua y las cocemos hasta que estén tiernas, pero que no se deshagan. Dependiendo del tamaño de las patatas, estarán listas entre 30-45 minutos.\nTruco: Podemos utilizar patatas medianas, y si las ponemos grandes, con menos patatas tendremos bastantes. Si la patata es grande, corta mejor por la mitad para cocerla.', '2\nEscurrimos las patatas y dejamos enfriar. Una vez se puedan manipular, las partimos en cuadrados no muy grandes y le añadimos un poco de sal. Pelamos las manzanas, las descorazonamos y las cortamos de igual manera que las patatas, haciendo los cuadrados más o menos del mismo tamaño. Cortamos también las cebolletas, pero, esta vez, en cubos más pequeños.Las ensaladas con manzana siempre brindan un suave y dulce sabor que hace cualquier receta de ensaladas única. Prueba más con esta receta de ensalada de manzana, lechuga y nueces. \nTruco: Utiliza cebolla fresca, que no pique y tenga un sabor suave para armonizar con la ensalada. También puedes utilizar cebolla dulce, chalotas...', '3\nMezclamos los cubos de patata, los de manzana y la cebolla fresca en un bol. Añadimos encima los yogures griegos azucarados y mezclamos con cuidado. Si os gusta poco el cebollino, añadidlo solo como decoración, y si os gusta su sabor, añadidlo al mismo tiempo que el yogur.\nTruco: Si no os gusta el cebollino, podéis utilizar perejil fresco, cilantro, entre otras hierbas. Eso sí, siempre con mesura o se llevarán todo el sabor de la ensalada de patatas y manzana.', '4\nReservamos en la nevera al menos dos horas y ya tenemos lista nuestra ensalada de papa y manzana para servir. ¿Os animáis a preparar más recetas de ensaladas únicas y diferentes? Podéis continuar con estas:Ensalada de manzana con piña y nuezEnsalada de papa con cebolla moradaEnsalada de roquefort y manzanaEspero que os haya gustado y os invito a que también visitéis mi blog, Cakes para ti.']","Valoración: 4,3 (3 votos)",4 comensales,45m,Acompañamiento,Dificultad baja,,['Recomendada para vegetarianos'],"['4 papas (patatas) medianas', '2 manzanas', '2 cebolletas frescas', '2 yogures griegos azucarados (250 ml)', '4 tallos de cebollino fresco', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-ensalada-de-papa-con-manzana-72878.html
Ensalada de AGUACATE y MANGO,"¡Llega el calor del verano y apetecen ensaladas frescas! No te preocupes, con el verano llega también esta receta de ensalada de aguacate y mango: una ensalada saludable, fresca y muy nutritiva. Se puede preparar con infinidad de ingredientes y hacerlas variadas para que pruebes una alternativa distinta cada día.Además, también la puedes hacer con otras frutas, aunque esta vez solo he usado mango. En este caso, el contraste de dulce con la vinagreta hace de esta ensalada un plato muy apetecible. Ideal para una cena ligera, también puedes combinarla con fresas o agregarle ingredientes como los langostinos. ¿Listo para saber más? ¡Sigue leyendo en RecetasGratis para saber cómo hacer ensalada de aguacate y mango!","['1\nLava la lechuga y luego, colócala como base en una fuente de servir o en platos individuales. Será la cama perfecta para la ensalada de mango, lechuga y aguacate. Corta el aguacate en trozos y añádelo a la fuente con la lechuga.', '2\nA continuación, coge un mango maduro, córtalo en trozos pequeños y añádelo a la ensalada. El mango será el encargado de darle ese toque dulce y tropical a tu ensalada de verano.', '3\nPela y corta el pepino de la misma forma que hiciste con el mango, en trozos pequeños. Posteriormente, añádelo a la fuente de la ensalada.', '4\nAhora, corta el queso fresco, o el que te guste, en trocitos y añádelo a la ensalada.', '5\nPara preparar la vinagreta, coloca en un bol pequeño el aceite, el vinagre y sal. Bátelo un poco para que emulsiones la mezcla.\nTruco: Si gustas darle un sabor adicional a la vinagreta para ensalada, puedes añadir un poco de miel.', '6\n¡Listo! Ya puedes servir la ensalada de aguacate y mango con todos sus ingredientes.También puedes guardarla en la nevera hasta la hora de servir, pero no la aliñes. Solo aliña cuando vayas a servirla.']",Valoración: 4 (2 votos),2 comensales,15m,,Dificultad baja,,"['Recomendada para vegetarianos', 'Receta sin azúcar']","['1 aguacate o palta', '1 mango', '1 manojo de lechugas variadas', '1 trozo de queso fresco', '1 pepino', '1 chorro de aceite', '1 chorro de vinagre balsámico o de Módena', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-ensalada-de-aguacate-y-mango-72868.html
Ensalada de Aguacate y Salmón,"Ensalada de aguacate y salmón, una ensalada fresca y rica para los días de calor. Esta es una ensalada equilibrada y completa que se prepara en poco tiempo y es perfectamente compatible con dietas para adelgazar. Se puede servir tanto como entrante o aperitivo como plato único, ¡incluso se puede preparar para cenar!Si te encantan las ensaladas y buscas opciones saludables, ligeras y rápidas, esta receta de ensalada de salmón y aguacate que compartimos en RecetasGratis es lo que necesitas. Aunque nosotros proponeos un listado inicial de ingredientes, a lo largo de la receta indicamos qué otros alimentos podemos incluir para hacer el plato más completo. Por ejemplo, podemos optar por una ensalada de aguacate, salmón y tomate, o podemos incluir langostinos si lo deseamos. Así mismo, este es un plato que podemos preparar con antelación y ganar algo de tiempo. Sigue leyendo para aprender con nosotros cómo hacer una ensalada de aguacate y salmón.","['1\nLavamos muy bien la lechuga, cortamos los aguacates y los rociamos con un poco de zumo de limón para evitar que se oxiden. Aparte, cortamos la cebolla en tiras finas, picamos las nueces y troceamos el queso en tacos pequeños. Nosotros hemos optado por una ensalada de aguacate, salmón y queso fresco, pero lo cierto es que también se puede usar queso parmesano si se prefiere.', '2\nCogemos platos individuales o una fuente grande y colocamos una cama de lechuga picada, cebolla, queso y nueces. Por supuesto, podemos modificar la lista de ingredientes sin problema y agregar o eliminar a nuestro gusto. Así, podemos sustituir las nueces por almendras, por ejemplo, o la lechuga por espinacas.', '3\nCortamos el salmón en tiras o en trozos. Para potenciar su sabor, espolvoreamos pimienta al gusto y lo añadimos a la fuente con el resto de ingredientes. Para elaborar una ensalada templada de salmón y aguacate podemos optar por preparar salmón a la plancha y añadirlo a la receta troceado.', '4\nAhora que tenemos todo listo, solo falta preparar la vinagreta para aliñar la ensalada de aguacate y salmón. Para ello, en un bol ponemos el aceite, vinagre, un chorro de limón, sal y pimienta. Removemos todo bien para que se integren los ingredientes y lo echamos por encima de la ensalada. Podemos usar vinagre blanco o vinagre de manzana. Así mismo, para hacer el plato más ligero, recomendamos eliminar este ingrediente del aliño y preparar la ensalada de aguacate y salmón con vinagreta de naranja, por ejemplo.\nTruco: Otra salsa para la ensalada de aguacate y salmón recomendada es la salsa de soja sin azúcar.', '5\nSi no seguimos una dieta estricta para perder peso, podemos rematar la ensalada de salmón y aguacate con unas aceitunas. Ahora bien, dado que las aceitunas son bastante calóricas, si pretendemos preparar un plato ligero es mejor no añadirlas. En su lugar, podemos incorporar cualquier tipo de verdura o tomate troceado.']",Valoración: 4 (2 votos),4 comensales,15m,Plato principal,Dificultad baja,,['Recomendada para perder peso'],"['2 aguacates', '1 paquete de salmón ahumado (100 g)', '1 cebolla', '1 puñado de nueces', '1 paquete de queso feta', '1 pizca de sal', '1 lechuga', '1 chorro de aceite de oliva', '1 chorro de vinagre', '1 pizca de pimienta', '1 limón', '1 bote de aceitunas']",https://www.recetasgratis.net/receta-de-ensalada-de-aguacate-y-salmon-72825.html
Ensalada de Coliflor Fría,"Las ensaladas son muy fáciles y rápidas de hacer, por lo que siempre son un excelente recurso cuando no tenemos tiempo suficiente para cocinar platos más elaborados. Así mismo, nos permiten mezclar toda una serie de ingredientes con un elevado valor nutricional, como las frutas, las verduras o las legumbres. Por todo ello, ¡incluir recetas de ensaladas en nuestra dieta está más que recomendado!En RecetasGratis compartimos una sencilla pero deliciosa y completa ensalada de coliflor cocida, que incluye zanahoria, cebolla, especias y mayonesa. Si bien es cierto que la mayonesa no acostumbra a ser una salsa ligera, si optamos por hacerla casera nos aseguraremos de utilizar productos de calidad y el resultado será mucho más saludable. Esta ensalada es perfecta para comer sola o para acompañar carne a la plancha, pescado a la plancha o al horno, hamburguesas vegetales, etc. Y si quieres descubrir otras opciones, compartimos más recetas de ensalada de coliflor, cruda, light y mucho más. Sigue leyendo y descubre con nosotros cómo hacer ensalada de coliflor","['1\nLava la coliflor, sepárala en arbolitos y córtalos para obtener trozos más pequeños. Aparte, pela las zanahorias y córtalas a tu gusto. Eso sí, intenta hacer trozos de un tamaño similar a los de la coliflor.', '2\nCuece la coliflor y la zanahoria en una olla con agua hirviendo durante 5-10 minutos, dependiendo del punto de cocción que desees. Si prefieres hacer la ensalada de coliflor cruda, ¡también puedes! En este caso, podrás saltarte este paso.', '3\nEscurre las verduras cuando estén listas y pásalas por agua fría para cortar la cocción. Luego, colócalas en un bol o una ensaladera, añade la cebolla picada, el perejil también picado, sal y pimienta al gusto. Después, prepara la mayonesa batiendo sin parar el huevo con el aceite y agrega la cantidad indicada a la ensalada. Para conocer los pasos detallados, no te pierdas la receta de mayonesa casera.\nTruco: Indicamos usar cebolla morada porque es una de las variedades de cebolla más suaves, ideal para consumir cruda.', '4\n¡Y listo! Ya puedes disfrutar de esta deliciosa receta de ensalada de coliflor y zanahoria. Nosotros hemos optado por una ensalada de coliflor con mayonesa, no obstante, para hacer el plato más ligero siempre se puede eliminar esta salsa y sustituirla por un chorrito de aceite de oliva. Así mismo, podemos incluir otros ingredientes y preparar, por ejemplo, una ensalada de coliflor y brócoli o una ensalada de coliflor y patata, ¡las posibilidades son inifinitas!']","Valoración: 4,3 (7 votos)",4 comensales,30m,Acompañamiento,Dificultad baja,,[],"['1 coliflor', '2 zanahorias', '1 cebolla morada', '4 cucharadas soperas de mayonesa', 'perejil picado', 'pimienta negra', 'sal', '1 huevo', '1 chorro de aceite de oliva']",https://www.recetasgratis.net/receta-de-ensalada-de-coliflor-fria-72808.html
Ensalada griega de pepino tradicional,"La ensalada griega es una receta tradicional de la gastronomía de Grecia que se elabora con los ingredientes típicos de este país y de la dieta mediterránea. Los ingredientes de esta rica y fácil ensalada son los tomates, la cebolla roja, el pepino, el pimiento, las aceitunas y el queso feta. Además, se aliña tradicionalmente de una forma muy sencilla con aceite de oliva, sal, pimienta y orégano. Es una opción ligera, fresca y saludable para un almuerzo, una cena o servida como un acompañamiento.El queso feta es el ingrediente estrella de este plato, junto con el pepino, y siguiendo los pasos de esta receta que comparto en RecetasGratis vas a aprender a preparar una sustituto vegetal y sin lácteos para cocinar esta deliciosa ensalada griega de forma vegana. El queso feta es un tipo de queso blando, también tradicional de la cocina griega, que se elabora a partir de la leche de oveja y cabra. Sin embargo, te vas a sorprender con mi versión de feta vegano, cuyo ingrediente principal es la harina de garbanzos. El sabor de este queso es muy característico, puesto que se sumerge en salmuera, por tanto he utilizado la levadura de cerveza, el zumo de limón y la sal para agregar ese sabor fuerte a nuestra preparación. El queso a base de la harina de garbanzos es una alternativa no láctea saludable, puesto que ayuda a mejorar la salud digestiva y cardiovascular, además de ser muy saciante y nutritiva. Si te gusta la idea, sigue leyendo y descubre cómo hacer una ensalada griega tradicional.","['1\nPara elaborar el queso feta vegano pon al fuego un cazo con la mitad de agua (unos 100 ml) hasta que llegue a ebullición. Si prefieres elaborar la ensalada griega original, puedes saltarte este paso y usar queso feta común, aunque adelantamos que la versión vegana no tiene nada que envidiar.', '2\nMientras se calienta el agua, mezcla en un bol todos los demás ingredientes: la harina de garbanzos, la avena, la sal, el aceite, el zumo de limón, el tomillo, el orégano, la levadura de cerveza y el resto de agua. Remueve hasta que quede una masa homogénea y suave.', '3\nIncorpora la mezcla resultante al cazo con el agua caliente y remueve sin parar durante 1-2 minutos, hasta que la mezcla quede espesa. Viértela en un molde o tupper cuadrado, alisa la superficie y guarda el molde en la nevera hasta que el queso vegano casero se enfríe y endurezca. Desmolda el queso y córtalo en dados.', '4\nTrocea la verdura para la ensalada griega tradicional: corta la cebolla, el pimiento y el pepino en trozos medianos, corta los tomates cherry y las aceitunas por la mitad.', '5\nEn una ensaladera mezcla todos los ingredientes incluyendo el queso y aderézala con un buen chorro de aceite de oliva. También añade la sal, la pimienta y el orégano y remueve bien.', '6\nSirve la ensalada griega con queso feta y pepino como un rico entrante o acompañamiento para otros platos. En la línea de las recetas tradicionales de Grecia, puedes probar la skordalia griega o la popular salsa tzatziki. Así mismo, si te apetece probar otra versión de esta ensalada, puedes revisar esta otra receta de ensalada de pepino y yogur. Y no olvides visitar mi blog, Vegspiration, para encontrar más platos veganos deliciosos.']",Valoración: 4 (4 votos),4 comensales,1h 30m,,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa']","['1 pepino', '1/2 pimiento verde', '1/2 cebolla roja', '1 puñado de aceitunas negras sin hueso', '1/2 pimiento rojo', '10 tomates cherry o 2 tomates', '1 queso feta (puede ser vegano)', '1 cucharadita de orégano', '1 chorro de aceite de oliva', '1 pizca de pimienta negra', '1/2 cucharadita de sal', '50 gramos de harina de garbanzos', '200 ml de agua', '1 cucharada de copos de avena', '1 cucharadita de aceite de oliva', '1 cucharadita de zumo de limón', '1/4 cucharadita de sal', '1/2 cucharadita de tomillo', '1/2 cucharadita de orégano', '2 cucharadas de levadura de cerveza']",https://www.recetasgratis.net/receta-de-ensalada-griega-de-pepino-tradicional-72219.html
Esqueixada de bacalao fácil y rápida,"La esqueixada de bacalao, o esqueixada de bacallà en catalán, es una ensalada de bacalao desmigado muy rica y sencilla típica de Cataluña en la que el ingrediente principal es el bacalao fresco. Puede variar según la zona, pues en algunos sitios añaden a esta esqueixada de bacalao pimientos verdes o rojos. Asimismo, cuando a la esqueixada catalana se le añaden legumbres como garbanzos, judías o alubias blancas estamos hablando de un empedrat.La llames como la llames, esta receta de esqueixada de bacalao sencilla y rápida que te enseño a preparar en RecetasGratis es un plato muy saludable, ideal como entrante o plato único, y muy rápido de preparar ya que en tan solo 10 minutos lo podrás tener listo porque no necesita ningún tipo de cocción.Si no sabes cómo hacer una esqueixada de bacalao fácilmente échale un vistazo a los ingredientes y a los pasos de esta receta catalana y verás que en poco minutos podrás disfrutarla en compañía de los tuyos.","['1\nPreparamos los ingredientes para la esqueixada de bacallà. El bacalao fresco lo compraremos desalado. Si no lo desalaremos en casa, lo pondremos en remojo unas 48 horas y lo cambiaremos 2-3 veces.', '2\nCortaremos los tomates en rodajas. Los iremos poniendo en un plato de servir. Podemos poner un poco de sal y pimienta a los tomates.\nTruco: La esqueixada de bacallà original lleva los tomates rallados o cortados en dados.', '3\nCortamos la cebolla tierna en rodajas finas y el bacalao desalado en tiras o trozos. También puedes picar la cebolla o cortarla en trozos pequeños, y utilizar una cebolla de Figueres o dulce en lugar de la tierna para hacer la esqueixada de bacalao catalana.\nTruco: Puedes hacer la esqueixada de baclao congelado pero tendrás que descongelarlo bien previamente antes de desmigarlo.', '4\nEncima de las rodajas de tomate iremos poniendo la cebolla y las tiras de bacalao. \nTruco: Otra manera de preparar la esqueixada de bacalao fresco es mezclando todos los ingredientes en el plato.', '5\nAñadimos unas aceitunas negras de Aragón o muertas al gusto.\nTruco: También podemos optar por unas olivas negras dulces si lo preferimos.', '6\nPreparamos la vinagreta para la ensalada de bacalao desmigado. En un vaso ponemos un chorro de aceite y vinagre. Lo batimos y mezclamos bien.', '7\nPonemos un poco de pimienta, y sal solo si es necesario, por encima de la esqueixada de bacalao fácil y rápida, y la vinagreta que tenemos preparada también. Servimos.En mi blog Cocinando con Montse y en la web de RecetasGratis encontrarás muchas más recetas de bacalao fáciles tanto catalanas como de otras zonas de España y otro países como esta receta de buñuelos de bacalao o esta receta de pimientos del piquillo rellenos de bacalao.\nTruco: Otra opción es aliñar la esqueixada catalana directamente con el aceite y el vinagre por separado.']","Valoración: 4,3 (4 votos)",2 comensales,10m,Entrante,Dificultad baja,,"['Recetas españolas', 'Recetas catalanas']","['200 gramos de bacalao desalado', '3 tomates', '1 cebolla tierna', '1 bote de aceitunas negras de Aragón o muertas', '1 chorro de aceite de oliva', '1 chorro de vinagre', '1 pizca de pimienta', '1 pizca de sal (opcional)']",https://www.recetasgratis.net/receta-de-esqueixada-de-bacalao-facil-y-rapida-72044.html
