title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Guiso de vainas con calamar,,"['1\nPica la cebolleta finamente, el tomate en cuadraditos, los ajos laminados y rehoga brevemente en una cazuela con aceite.', '2\nSazona.', '3\nLimpia los calamares y trocéalos.', '4\nLimpia y corta las vainas.', '5\nPela las patatas y córtalas en trozos.', '6\nIncorpora los calamares, las vainas y las patatas a la cazuela.', '7\nVierte un vaso de vino blanco y cubre con agua.', '8\nPon a punto de sal y deja cocer durante 40-45 minutos.']","Valoración: 4,4 (7 votos)","['300 gr. De vainas', '700 gr. De calamares', '2-3 patatas', '1 cebolleta', '1 tomate', '2 dientes de ajo', '1 vaso de vino blanco', 'Agua', 'Aceite virgen extra hojiblanca', 'Sal']",https://www.recetasgratis.net/receta-de-guiso-de-vainas-con-calamar-8085.html,,,,,,
Guiso de costilla de cerdo,,"['1\nPica la cebolla, los pimientos, el tomate y las zanahorias y pon en una cazuela con aceite a rehogar.', '2\nAñade las costillas de cerdo, la harina y el vino blanco. Añade agua hasta cubrir. Sazona y deja cocer durante 25-30 minutos.', '3\nPela, trocea y fríe las patatas.', '4\nCuando el guiso este hecho, añade las patatas, las habas, y los guisantes.', '5\nSirve en una fuente y adorna con los espárragos.']","Valoración: 3,1 (59 votos)","['1 cebolla', '2 pimientos verdes', '1 tomate grande', '3 zanahorias', '1 cucharada de harina', '800 gr. de costilla de cerdo', '1 vaso de vino blanco', 'Agua hasta cubrir', '2 patatas grandes', '200 gr. de habitas cocidas', '200 gr. de guisantes cocidos', '4 espárragos', 'Aceite', 'Sal']",https://www.recetasgratis.net/receta-de-guiso-de-costilla-de-cerdo-8081.html,,,,,,
Pote asturiano,,"['1\nSe remoja el lacón durante la noche, en agua templada; las alubias en agua fría.', '2\nAl día siguiente, en una cazuela proporcinada a las cantidades, se ponen las alubias, las morcillas, el tocino y el lacón, o la parte del cerdo que se tenga disponible; se cubre con agua fría y se acerca al fuego.', '3\nCuando rompe el hervor se espuma, se separa un poco del fuego -o se baja el fuego- y se dejan cocer lentamente durante dos horas.', '4\nPor separado, se cuecen las verduras -en muchos lugares las ponen a cocer en el mismo pote, después de cocidas las alubias- después de lavarlas y picarlas en trozos regulares y pequeños; se ponen a cocer en agua caliente y sal; seguidamente se juntan con las alubias, se remueve para mezclarlo todo y se añaden las patatas peladas y partidas en trozos regulares.', '5\nSi fuese necesario se agrega el agua de la verdura o agua caliente hasta cubrirlo todo; el pote asturiano no puede nunca quedar seco ni presentarse seco a la mesa.', '6\nSe sazona de sal, teniendo en cuenta la sal de las carnes y se deja en el fuego hasta que todo quede tierno y unido.', '7\nEn su punto se retira del fuego, y se deja reposar y se sirve.', '8\nTambién queda delicioso de un día para otro.']","Valoración: 3,4 (15 votos)","['400 gr. de alubias blancas', 'Hojas de berza', '2 morcillas', '2 chorizos', 'Un cuarto de kilo de lacón', '100 gramos de tocino', 'Costillas de cerdo saladas, o hueso de jamón, etc.', '1 diente de ajo', '½ Kilo de patatas', 'Aceite', 'sal']",https://www.recetasgratis.net/receta-de-pote-asturiano-7996.html,,,,,,
Potaje de alubias coloradas con bacalao,,"['1\nPon las alubias a cocer con agua y sal, habiéndolas tenido la noche anterior en remojo. Cuando estén casi cocidas (al dente), escúrrelas y las reservas.', '2\nHaz un sofrito con los dientes de ajo picados, el bacalao desmigado y las guindillas partidas por la mitad, y agrégalo a las alubias.', '3\nCubre con agua fría y, cuando rompa a hervir, añade la taza de arroz. Déjalo cocer alrededor de 20 minutos.', '4\nSazona de sal, sirve y echa un chorrito de aceite por encima.']","Valoración: 3,3 (9 votos)","['500 grs. de alubias', '4 dientes de ajo', '200 grs. de bacalao desalado', '1 taza de arroz', 'Aceite de oliva', 'Agua', 'Sal', '8 guindillas en vinagre']",https://www.recetasgratis.net/receta-de-potaje-de-alubias-coloradas-con-bacalao-7992.html,,,,,,
Potaje castellano,,"['1\nPon los garbanzos en remojo, con una hoja de laurel, la noche anterior.', '2\nPica las zanahorias, media cebolla y las espinacas.', '3\nPon a cocer, en agua caliente, los garbanzos, las verduras picadas y el laurel. deja a fuego lento un par de horas.', '4\nTambién puedes hacerlos en la olla a presión, reduciendo el tiempo de cocción.', '5\nAparte, haz un sofrito con la otra madia cebolla picada y los ajos picados.', '6\nCuando esté casi rehogado, añade la harina, el pimentón y un cazo de caldo de los garbanzos.', '7\nAgrégalo a los garbanzos y deja cocer otros 5 minutos.', '8\nSirve con huevo picado.']","Valoración: 3,3 (9 votos)","['½ Kg de garbanzos', '½ Kg de espinacas', '2 zanahorias', '2 hojas de laurel', '4 dientes de ajo', '1 cebolla', '2 huevos cocidos', '1 cucharada de harina', '1 cucharada de pimentón', 'Aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-potaje-castellano-7990.html,,,,,,
Cocido madrileño tradicional,,"['1\nEn una olla con abundante agua fria se ponen todas las carnes.', '2\nY separadas por una escurredera de verduras, las verduras y los garbanzos (que habrán estado en remojo durante 12 horas la noche anterior).', '3\nSe le añade la sal y se deja cocer lentamente durante algo más de 3 horas.', '4\nEl primer plato del cocido será la sopa, para la cual utilizaremos el caldo del mismo.', '5\nLa sopa la podemos hacer de la pasta que queramos o de pan.', '6\nSi es de pasta, habrá que retirar parte del caldo a otra cacerola.', '7\nY cuando hierva incorporar la pasta, dejandolo hervir hasta que esté cocida.', '8\nSi la queremos de pan, cortaremos rebanadas de pan duro.', '9\nColocándolas en el fondo de los platos, y regándolas luego con el caldo del cocido.', '10\nLos garbanzos se colocan en una fuente con la carne alrededor bien colocada.', '11\nEn otra fuente aparte se sirve la verdura, las patatas y el chorizo y morcilla.', '12\nLas dos fuentes se sirven a la vez, junto con una salsera con salsa de tomate para acompañarlos.']","Valoración: 3,8 (12 votos)","['250 gr de garbanzos', '1 pie de Cerdo salado', '500 gr de morcillo de ternera', '6 patatas pequeñas', '1/4 gallina o de pollo', 'col', 'zanahorias', 'puerros', '100 gr de tocino salado', '1 hueso de jamón', '1 hueso de rodilla de ternera', '1 morcilla y 1 chorizo', 'Sal']",https://www.recetasgratis.net/receta-de-cocido-madrileno-tradicional-7967.html,,,,,,
Cocido clásico,,"['1\nPon los garbanzos en remojo el día anterior con agua y sal.', '2\nEn una olla con 25 litros de agua fría y sal, pon las carnes, embutidos y huesos y cuécelos durante 30 minutos a fuego vivo.', '3\nAñade los garbanzos escurridos y los puerros, patatas y zanahorias pelados y cortados a trozos grandes.', '4\nLleva a ebullición y cuece durante 1 hora a fuego lento o hasta que se obtenga 1 litro de caldo.', '5\nCuela el caldo y reserva las carnes y verduras.', '6\nPon el caldo de nuevo en la olla y añade la pasta, cociéndola 5-10 minutos.', '7\nAparte, trocea y cuece la coliflor en 2 litros de agua con sal durante 20 minutos y escúrrela.', '8\nPela los ajos y fríelos con la coliflor en una sartén con aceite caliente.', '9\nSirve la sopa como primer plato y las carnes y verduras, en una fuente, como segundo.']","Valoración: 4,2 (10 votos)","['400 grs. de carne de ternera', '2 huesos de ternera', '100 grs. de tocino en un trozo', '150 grs. de gallina o pollo', '50 grs. de jamón en un trozo', '50 grs. de chorizo', '180 grs. de garbanzos', '2 zanahorias', '2 puerros', '2 patatas', '¾ Kg. de coliflor', '75 grs. de pasta para sopa', '2 dientes de ajo', 'Aceite', 'sal']",https://www.recetasgratis.net/receta-de-cocido-clasico-7966.html,,,,,,
Potaje italiano,,"['1\nPoner los garbanzos y su agua de remojo ,en una cacerola con las ramitas de albahaca, y las partes bien verdes del puerro. Hervir lentamente, sin sal, durante unos minutos.', '2\nAgregar entonces el caracu, tapar y continuar la cocción lentamente, sin salar, hasta que los garbanzos estén tiernos. Salar, retirar la piel de la cebolla, las hojas de puerro y la albahaca, junto con el hueso con carne, poniendo éste en un plato y retirándole toda la carne que tuviera, cortándola en trozos chicos y volviéndolos a la cacerola junto con la cebolla, el puerro, la zanahoria, las papas y el zapallo.', '3\nTodos estos ingredientes se agregarán gradualmente, para evitar enfriar el caldo de cocción, muy importante para los garbanzos Luego se añadirá el extracto de tomate diluido en 1 taza de agua hirviendo.', '4\nHervir tapado y lentamente hasta que todas las hortalizas estén cocidas, salpimentarlo lo necesario sobre el fin de la cocción. Servir esta sopa colocando en cada plato parte de todos los ingredientes. La piel oscura de la cebolla impregna de un color especial al caldo.']",Valoración: 3 (9 votos),"['200 gramos de garbanzos remojados 12 horas', '1 caracu completo', '1 cebolla grande, picada', '1 puerro en aros y las hojas verdes', '2 papas medianas en cubos chicos', '1 cucharadita de extracto de tomate', 'Unas ramitas de albahaca', '100 gramos de zapallo cortados en cubitos', '1 zanahoria cortada en cubitos', 'Sal', 'Pimienta', '80cc de aceite']",https://www.recetasgratis.net/receta-de-potaje-italiano-7958.html,,,,,,
Potaje del la reina,,"['1\nPoner en una cacerola el aceite y la cebolla; freírla hasta apenas dorar y agregar el apio, las zanahorias, el caldo hirviendo, sal y pimienta, y hervirlo tapado durante 20 minutos lentamente.', '2\nLuego incorporar las papas y continuar la cocción igualmente, hasta que estén tiernas.', '3\nAñadir después de las arvejas y la coliflor en pequeños ramitos.', '4\nCalentar estos últimos ingredientes y, en el momento de servir, agregar en perejil y las aceitunas.']",,"['100 centilitros de taza de aceite', '1 cebolla grande, picada fina', '1 tallo de apio en rodajitas', '2 zanahorias tiernas en pequeños bastoncitos', '250 g de ramitos de brocoli cocida', '150 g de arvejas cocidas', '100 g de aceitunas verdes descarozadas', '2 cucharadas de perejil', '1,5 litros de caldo de verduras', 'Sal', 'Pimienta', '1 papa grande, cortada en cubos muy pequeños']",https://www.recetasgratis.net/receta-de-potaje-del-la-reina-7955.html,,,,,,
Potaje de porotos,,"['1\nLavar los porotos y remojarlos durante 8 horas; luego hervirlos lentamente hasta que estén tiernos, salándolos sobre el final de la cocción. Dejarlos en su líquido, fuera del fuego. Cortar los tomates, el apio y la cebolla en trozos.', '2\nHervir el caldo; agregar las hortalizas, los porotos escurridos y las hiervas aromáticas y hervir hasta que todo esté bien blando. Retirar el ramito de hiervas y licuar o tamizar todo.', '3\nVolver esta crema a la cacerola, añadir el aceite, hervir salpimentando lo necesario y servir el potaje de porotos, esparciendo en la superficie el perejil.']","Valoración: 3,3 (6 votos)","['1 litro de caldo de verdura', '1 tallo de apio con sus hojas', '50 g de porotos secos', '1 tomate grande, maduro, sin piel', '1 cebolla chica', '1 ramillete de finas hierbas', 'Sal', 'Pimienta', '1 cucharada de perejil picado', '1 cucharada de aceite']",https://www.recetasgratis.net/receta-de-potaje-de-porotos-7951.html,2 comensales,1h 30m,Plato principal,Dificultad media,,[]
