title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Hummus de azuki,"El hummus de azuki o crema de azuki es una elaboración original y saludable de preparar un hummus tradicional de una manera diferente. En este caso en RecetasGratis queremos enseñarte a hacer una receta de pasta de azuki para que prepares este hummus de legumbres y sorprendas a toda la familia, ya que las azuki, son una judías o alubias rojas que tienen un toque dulzón al que no estamos acostumbrados. ¡Prueba este hummus de azuki y cuéntanos si te ha gustado!","['1\nLo primero que tenemos para preparar el hummus de azuki es poner en remojo las judías en una recipiente con abundante agua para que se hidraten, como se hace normalmente con todas las legumbres secas.', '2\nAl día siguiente, escurrimos bien las judías azuki y las ponemos a cocer. Si las cocemos en una olla exprés con un poco de sal tardarán unos 15 minutos pero, si lo hacemos de la manera tradicional tardarán unas cuantas horas, así que os recomiendo que cozáis las alubias rojas en la olla a presión y así tendréis mucho antes la crema de azuki.', '3\nUna vez cocidas, escurrimos las azuki, pelamos y cortamos el ajo en rodajas y lo colocamos todo en un vaso de túrmix o batidora eléctrica.', '4\nDespués añadimos el chorrito de limón, el tahini, los cominos, el aceite y sal al gusto, y trituramos la pasta de azuki para hacer este riquísimo hummus de legumbres.', '5\nRectificamos de sabor con más limón, tahini o sal, picamos el perejil fresco, lo espolvoreamos por encima, añadimos un cucharadita de aceite más si queremos o unas pocas semillas de sésamo y listo, nuestro humus de azuki ya está hecho. si te gustan las recetas de hummus originales y diferentes, puedes visitar estas que te enseñamos a continuación:Hummus de berenjenaHummus de calabazaHummus de guisantesHummus de remolacha']",,4 comensales,24h,Entrante,Dificultad baja,,[],"['1 diente de Ajo', '300 gramos de Judías azuki', '1 cucharadita de Comino en grano', '1 cucharadita de Tahini', '50 mililitros de Aceite de oliva', '1 chorro de Limón (zumo)', 'Perejil fresco', 'Sal']",https://www.recetasgratis.net/receta-de-hummus-de-azuki-59897.html
Lentejas con pollo al curry,"Déjate sorprender por los matices exóticos de estas lentejas con pollo al curry y disfruta del sabor de un guiso tradicional con toques orientales.La receta de lentejas puede tener posibilidades infinitas, no te quedes con la receta de tu abuela, puedes innovar y combinar ingredientes para preparar un plato nuevo y delicioso. En esta ocasión, en RecetasGratis.net hemos elaborado unas lentejas con pollo combinadas con verduras variadas y un poquito de curry.Este pollo al curry con lentejas es un plato completamente distinto a la receta de lentejas caseras, ideal para preparar en meses fríos. Si eres tan amante de las lentejas estofadas como nosotros, prueba esta variedad con pollo y curry, ¡te encantará!","[""1\nReunimos todos los ingredientes para preparar las lentejas con pollo al curry. Recuerda que es necesario poner las lentejas en remojo unas horas antes de la preparación para que tarden menos en cocerse.Nosotros hemos utilizado lenteja del tipo 'pardina' y las hemos remojado durante 2 horas."", '2\nEn una olla sofreímos el ajo pelado junto con el aceite de oliva y el pollo cortado en cuadraditos. Salpimentamos y dejamos que se dore el pollo durante 3-4 minutos. Pasado este tiempo, sacamos el pollo y lo reservamos.', '3\nEn la misma olla añadimos el puerro cortado en rodajas y el pimiento verde cortado de la misma manera. Dejamos que se cocinen durante 2 minutos.', '4\nIncorporamos el pimiento amarillo cortado del mismo modo que el pimiento verde, movemos y dejamos que se cocinen las verduras durante 3-4 minutos.', '5\nAgregamos las zanahorias peladas y cortadas en rodajas y el tomate rallado. Movemos para que se mezclen los sabores y dejamos cocinar durante 3 minutos más.', '6\nAñadimos el pollo de nuevo a la olla, ponemos el curry en polvo y dejamos cocinar durante 2 minutos más.', '7\nEs el momento de incorporar las lentejas escurridas. Removemos, rectificamos de sal y cubrimos las lentejas con pollo al curry con agua. Llevamos a ebullición y dejamos cocer durante 20 minutos aproximadamente, depende del tamaño de las lentejas.', '8\nSi te gusta el sabor picante, puedes poner un poco de guindilla picada al servir las lentejas con pollo al curry. Y si te animas con otras recetas similares, te proponemos las lentejas estofadas con costillas o la ensalada de lentejas con pollo. ¡No olvides mandar una foto de tu plato!']",,2 comensales,45m,Plato principal,Dificultad media,,[],"['100 gramos de Muslo de pollo sin hueso', '170 gramos de Lentejas', '1 Pimiento verde', '½ Pimiento amarillo', '1 Tomate', '½ Puerro', '2 Zanahoria', '1 pizca de Sal', '1 pizca de Pimienta negra molida', '2 cucharaditas de Curry en polvo', '1 diente de Ajo', '4 cucharadas soperas de Aceite de oliva']",https://www.recetasgratis.net/receta-de-lentejas-con-pollo-al-curry-59825.html
¡Listas en 30 minutos!,"Preparar unas lentejas estofadas con patatas nunca había sido tan fácil gracias a RecetasGratis que comparte esta receta fácil de lentejas con patatas. En este caso hemos utilizado unas lentejas de bote ya cocidas para su elaboración pero vosotros podéis cocer las legumbres desde cero, aunque obviamente os llevará más tiempo para hacer la receta. Además, también apra ahorrar tiempo hemos cocido las patatas aparte pero podéis cocerlas directamente en el guiso si lo preferís. No lo penséis más y animaros a probar esta fácil receta de lentejas en esos días que haga más frío.","['1\nPelar y cortar las patatas en trozos y ponerlas a cocer en una olla con abundante agua y una pizca de sal durante unos 15 minutos aproximadamente (dependiendo del grosor de los trozos). Este es primer paso para hacer la receta de lentejas con patatas.', '2\nMientras se cuecen las patatas, lavamos y cortamos los pimientos en trozos, pelamos y cortamos las cebolla en octavos y pelamos los ajos, y lo trituramos todo en una batidora eléctrica o en un vaso de túrmix. Este será el sofrito de nuestras lentejas estofadas con patatas.\nTruco: Si queréis poder picar toda la verdura en vez de triturarla.', '3\nA continuación, freímos las verduras trituradas en una sartén con un poco de aceite para que se empiecen a pochar.', '4\nCuando el sofrito empiece a dorarse echamos el tomate natural triturado y lo freímos con el resto de ingredientes.', '5\nUna vez hecho el sofrito de las lentejas con patatas, añadimos las legumbres de bote y un poco de agua para que empiecen a estofarse.', '6\nDespués de unos 5 minutos añadimos la cucharadita de pimentón dulce y seguimos cocinando.', '7\nAñadimos las patatas escurridas directamente de la olla con una espumadera para no añadir más agua a las lentejas estofadas con patatas. Removemos bien.\nTruco: En lugar de cocer el tubérculo aparte se puede cocinar directamente en el guiso de lentejas pero habrá que echar más agua y esperar más tiempo.', '8\nFinalmente, añadimos la hoja de laurel, tapamos las lentejas con patatas y dejamos que se cocinen a fuego lento unos 10 minutos más aproximadamente.', '9\nPasado ese tiempo ya podremos disfrutar de nuestras ricas y reconfortantes lentejas con patatas a nuestro gusto. ¡Qué aproveche!De entrante puedes preparar una ensalada de manzana verde y queso y de postre un flan de naranja por ejemplo.']",Valoración: 5 (2 votos),4 comensales,30m,Plato principal,Dificultad baja,,[],"['1 bote de lentejas cocidas', '½ bote de tomate natural triturado', '1 pimiento verde italiano', '½ pimiento rojo', '½ cebolla', '4 dientes de ajo', '1 cucharadita de pimentón dulce', '1 hoja de laurel', '4 patatas', 'Agua', 'Aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-lentejas-con-patatas-59784.html
Lentejas con arroz y tomate,"¿No sabes hacer unas lentejas de bote con arroz caseras? Pues no busques más porque en RecetasGratis te vamos a enseñar a prepararlas de una manera fácil y rápida. Además de su sencilla elaboración, las lentejas con arroz y tomate son una gran fuente de proteínas, vitaminas y minerales beneficiosos para nuestro organismo, como todas las legumbres. Sigue el paso a paso y descubre cómo hacer lentejas con arroz caseras, fáciles y riquísimas.","['1\nEl primer paso para elaborar estas ricas lentejas con arroz y tomate es poner agua a hervir en una olla con abundante agua y un poco de sal para cocer el arroz. Cuando el agua esté hirviendo echamos el arroz y lo cocinamos unos 12-15 minutos', '2\nA continaución, lavamos y cortamos los pimientos en trocitos, pelamos y cortamos un poco la cebolla, pelamos también los ajos, y lo trituramos todo con ayuda de una picadora o un túrmix. Este será el sofrito de nuestras lentejas de bote con arroz y tomate así que si prefieres notar los trozos de verduras, tritúralas un poco menos.', '3\nLuego echamos el sofrito en una cazuela con un poco de aceite y dejamos que se poche unos minutos.', '4\nCuando esté el sofrito de las lentejas con arroz y verduras un poco hecho, añadimos el tomate triturado natural y removemos. Dejamos que se poche todo un poco más y se integren los sabores.', '5\nUna vez esté hecho el sofrito de las lentejas con arroz y tomate, echamos el bote de lentejas cocidas y un poco de agua, mezclamos bien, y dejamos que se cocine todo unos minutos.', '6\nCuando el arroz esté cocido, lo colamos, lo lavamos un poco con agua fría y lo reservamos para más tarde.', '7\nA continuación, echamos el pimentón dulce a las lentejas estofadas y removemos de nuevo para darle un toque de sabor extra.', '8\nPor último, añadimos el arroz a las lentejas y las hojas de laurel. Añadimos un pelín de sal si es necesario, tapamos la cazuela y dejamos que se cocine todo unos 10 minutos más o hasta que veáis que las lentejas de bote con arroz tienen la textura deseada.', '9\nAhora ya solo queda servir las lentejas con arroz y tomate bien calientes y a tu gusto. ¡Qué aproveche! Y si te gustan las recetas de lentejas no te pierdas las que vienen a continuación:Lentejas con pescadoLentejas a la jardineraLentejas con chorizo']",,4 comensales,30m,Plato principal,Dificultad baja,,[],"['1 bote de Lentejas cocidas', '½ bote de Tomate natural triturado', '½ Pimiento rojo', '1 Pimiento verde italiano', '4 Ajos', '½ Cebolla', '2 hojas de Laurel', '1 cucharadita de Pimentón dulce', 'Agua', 'Aceite de oliva', 'Sal', '4 vasos pequeños de Arroz']",https://www.recetasgratis.net/receta-de-lentejas-con-arroz-y-tomate-59773.html
Lentejas estofadas con costillas,"Todos los que somos amantes de los potajes y guisos tradicionales sabemos apreciar un buen plato de lentejas con costillas. Es una receta con muchísimo hierro, hidratos de carbono, fibra, vitaminas y proteínas. ¿Qué más se puede pedir?La receta de lentejas es fundamental en la alimentación de los más pequeños, ya que ayudan al desarrollo de los niños en la etapa de crecimiento. Si aún no sabes cómo preparar lentejas, ya no tienes excusa, en RecetasGratis.net vas a aprender la técnica y te va a encantar. ¡Ponte el delantal y a preparar estas deliciosas lentejas estofadas con costillas!","['1\nReunimos todos los ingredientes para elaborar las lentejas estofadas con costillas. Recordad que es importante hidratar las lentejas antes de cocinarlas. Yo las dejo en remojo de 2 a 4 horas antes de prepararlas, pero también puedes ponerlas en agua la noche de antes.', '2\nEn una olla sofreímos la cebolla con un poco de aceite, dejamos que se cocine un par de minutos y añadimos el pimiento troceado.', '3\nAgregamos las costillas de cerdo para que se doren y se sellen. Salpimentamos, las dejamos cocinar durante 3 minutos, las sacamos y reservamos.', '4\nAñadimos los tomate rallados y dejamos que se cocinen durante 4-5 minutos a fuego suave. Pasado ese tiempo, batimos el sofrito con ayuda de la batidora.', '5\nPonemos un poco más de aceite en la olla y añadimos las zanahorias (peladas y cortadas en rodajas), las lentejas escurridas, la hoja de laurel, sal, pimienta negra molida y una pizca de comino molido. Removemos para que se integren los sabores.', '6\nEs el momento de incorporar el sofrito que previamente hemos batido. Ponemos agua, aproximadamente 450 mililitros. Dejamos hervir el estofado de lentejas durante 20-25 minutos.', '7\nAgregamos las costillas y las patatas peladas y cortadas en gajos medianos. Dejamos cocinar durante 12 minutos aproximadamente.', '8\nLas lentejas estofadas con costillas son un plato excepcional, completo y equilibrado. Te recomendamos otras recetas de guisos y potajes como las alubias blancas con verduras o el potaje de habichuelas andaluz. ¡Que aproveche!']","Valoración: 4,5 (2 votos)",2 comensales,45m,Plato principal,Dificultad media,,['Recetas españolas'],"['80 gramos de Lentejas', '½ Cebolla', '1 Pimiento verde', '2 Tomate', '2 Zanahoria', '1 Patata', '1 hoja de Laurel', '200 gramos de Costillas de cerdo', '1 pizca de Sal', '1 pizca de Comino molido', '1 pizca de Pimienta negra molida', '1 chorro de Aceite de oliva']",https://www.recetasgratis.net/receta-de-lentejas-estofadas-con-costillas-59626.html
Alubias blancas con butifarra,"Las alubias blancas con butifarra o con su nombre en catalán ""botifarra amb mongetes"" es un plato típico de la región de Cataluña es España. Su preparación no tiene ningún secreto y de hecho es muy fácil de preparar, simplemente se trata de un plato de alubias cocidas con una pizca de sal y una butifarra, un tipo de salchicha hecha con carne de cerdo y especias.El secreto verdadero de esta receta catalana es la calidad de los ingredientes así que si quieres de disfrutar de la auténtica receta de alubias blancas con butifarra elige muy bien tanto las alubias como la butifarra y sigue paso a paso estas sencillas instrucciones.","['1\nEsta receta la prepararemos con alubias frescas, así que como en cualquier receta con granos, lo primero que debes hacer es dejarlas en remojo desde la noche anterior a la preparación del plato.', '2\nEl día de la preparación, escurre el agua y lava las alubias. Colócalas entonces en una olla con agua hasta cubrirlas y cocina a fuego medio-alto hasta que estén blandas. El tiempo de cocción dependerá de la calidad de las alubias pero debe ser entre 2 y 3 horas.Cuando le queden unos 10 minutos para estar listas añade sal a la olla para sazonar los granos.\nTruco: Si quieres ir más rápido puedes usar una olla express.', '3\nCuando las alubias estén listas, se escurren y saltean en una sartén con los trozos de panceta previamente salados, remueve y cocina todo junto durante unos 5 minutos.', '4\nPor otro lado, para hacer este plato de forma tradicional, deberás cocinar la butifarra a la brasa. Si no tienes brasas disponibles puedes hacerla a la parrilla o a la plancha. Cocina dando vueltas hasta que esté dorada y bien hecha.', '5\nTerminadas las dos preparaciones se sirve las alubias blancas con butifarra, todo en el mismo plato. Este plato típico de Cataluña se acompaña con pan de payés o pan de pueblo y alioli casero a gusto de cada comensal. ¡Buen provecho!']",,4 comensales,30m,Plato principal,Dificultad baja,,"['Recetas españolas', 'Recetas catalanas']","['4 Butifarras', '600 gramos de Alubias blanca', '1 chorro de Aceite', '1 pizca de Sal', '2 trozos de Panceta de cerdo']",https://www.recetasgratis.net/receta-de-alubias-blancas-con-butifarra-59644.html
Frijoles borrachos vegetarianos,"Si piensas que la comida vegetariana es aburrida y que no tienes muchas opciones, aquí te traigo algo delicioso y lleno de sabor, unos frijoles borrachos vegetarianos, fáciles de hacer y económicos. Espero que te atrevas a probar esta receta y a compartirla con tu familia y amigos.","['1\nAquí puedes ver todos los ingredientes que vamos a usar para nuestra receta de frijoles borrachos vegetarianos. Te recomiendo que tengas todos los ingrediente listo solo para usarlos para que se te haga mas fácil. Por otro lado, ten presente que el chile cobran es opcional, tú quieres también puedes usar otro tipo de chile. En cuanto a las especias, las vamos a utilizar al gusto, y si quieres puedes usarlas secas o frescas. ¡Vamos con la receta!', '2\nLo primero que debes hacer es calentar la olla o la cacerola que vas a usar a fuego medio. Luego, agrega el aceite, deja calentar un momento y añade la cebolla, el romero, cilantro, orégano, albahaca y una pizca de sal. Deja que la cebolla se caramelice un poco.', '3\nAhora agrega el chile verde, el cebollín y el ajo, mezcla un poco y deja cocinar 5 minutos para poder continuar con la preparación de los frijoles borrachos.', '4\nLuego, agrega el tomate y deja que se suavice poco a poco.', '5\nYa que tengas suave el tomate, agrega el vino, tapa la olla por 5 minutos y luego destápala para que el vino se reduzca.', '6\nCuando el vino se haya consumido, agrega poco a poco los frijoles para proceder a cocinarlos y preparar, así, esta deliciosa receta vegetariana.', '7\nY aplástalos así como te muestro en la fotografía. Verás que los frijoles borrachos quedarán espectaculares si sigues todos los pasos.', '8\nAhora agrega la paprika y un poco de chile, o mucho si te gusta mucho el chile, ¡a tu gusto!', '9\nPrueba de sal y si es necesario agrega más (ten en cuenta que agregarás queso). Ahora agrega el queso y listo, ¡a comer! Buen provecho, espero que disfrutes los frijoles borrachos vegetarianos tanto como yo. Y si quieres conocer otras opciones, sigue navegando en RecetasGratis.net o consulta las siguientes ideas:Pastel azteca vegetarianoEmpanadas de champiñones']","Valoración: 4,3 (3 votos)",4 comensales,30m,Plato principal,Dificultad baja,,['Recomendada para vegetarianos'],"['2 cucharadas soperas de Aceite de oliva', '3 cucharadas soperas de Vino blanco', '½ Cebolla blanca cortada en plumas', '½ Chile verde morrón picado finamente', '1 diente de Ajo mediano finamente picado', '4 Cebollines pequeños finamente picados', '1 Tomate cortado en cubos', '2 tazas de Frijoles enteros con su sopa', 'Queso duro o blando rallado', '1 pizca de Paprika y chile coban en polvo', '1 pizca de Cilantro, orégano, romero y albahaca', '1 pizca de Sal y pimienta negra al gusto']",https://www.recetasgratis.net/receta-de-frijoles-borrachos-vegetarianos-59499.html
Potaje de habichuelas andaluz,"Las recetas españolas, como las de la mayor parte de países, son de una gran variedad y riqueza. Tradicionalmente, en España se han elaborado muchos platos de potajes, una comida humilde y que aporta mucha energía.Si quieres aprender cómo hacer un potaje, en RecetasGratis.net te mostramos a elaborar esta receta andaluza con habichuelas blancas, verduras y chorizo. Si te gusta la comida de cuchara, seguro que este plato te encantará.En nuestra versión del potaje de habichuelas andaluz no hemos incluido la morcilla, pero, si te gusta, puedes añadirla al final de la cocción, al mismo tiempo que el chorizo.","['1\nReunimos todos los ingredientes para preparar el potaje de habichuelas andaluz.', '2\nEs muy importante poner en remojo las judías blancas el día anterior a la preparación, aproximadamente unas 12-15 horas.A la hora de preparar el plato, escurrimos las judías, las lavamos y las colocamos en una olla.', '3\nAñadimos el tomate y el pimiento lavados, junto con los ajos pelados, la cebolla, el jamón serrano en tacos y la hoja de laurel.Es importante quitar el tallo del pimiento y las semillas interiores. El tomate lo dejamos entero con piel.', '4\nAgregamos agua hasta cubrir, ponemos un poco de sal y de pimienta negra molida y dejamos que el potaje de habichuelas hierva a fuego medio durante 1 hora y media aproximadamente.\nTruco: Si pasado ese tiempo las judías siguen estando muy duras, dejamos que cueza un poco más antes de pasar al siguiente paso.', '5\nPasado ese tiempo, sacamos el pimiento, la cebolla y el tomate y los batimos con la batidora. Si te gusta el ajo también puedes batirlo o si no, retirarlo de la olla.', '6\nAgregamos la mezcla de verduras al potaje, movemos y añadimos las patatas peladas y cortadas en gajos medianos. Llevamos de nuevo a ebullición y dejamos cocer 12 minutos más.', '7\nPor último, incorporamos el chorizo cortado en rodajas de unos 3 centímetros y dejamos cocer 3 minutos.', '8\nSirve de inmediato y a disfrutar. Si te gustan los guisos tradicionales como este potaje de habichuelas andaluz, puedes probar otros como el potaje de lentejas y verduras o las famosas fabes con chorizo. ¡Buen provecho!\nTruco: Recuerda que los potajes se van poniendo más ricos con el pasar de los días, ya que se van concentrando los sabores.']",Valoración: 4 (1 voto),4 comensales,24h,Plato principal,Dificultad media,,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas españolas', 'Recetas andaluzas']","['400 gramos de Judías blancas', '80 gramos de Chorizo', '1 unidad de Pimiento', '1 unidad de Cebolla', '1 unidad de Tomate', '2 dientes de Ajo', '2 hojas de Laurel', '2 unidades de Patata', '1 pizca de Sal', '1 pizca de Pimienta negra molida', '1 cucharada sopera de Jamón serrano picado']",https://www.recetasgratis.net/receta-de-potaje-de-habichuelas-andaluz-59454.html
Frijoles negros con champiñones,"Esta receta de frijoles con champiñones es un rico plato de almuerzo. Esta receta fue pensada por mi hijo Caleb, que tiene 7 años, y el sabor es muy delicioso.Tal y como nos cuenta, Christopher comparte en RecetasGratis.net un plato creado por su hijo, elaborado a base de carne, frijoles, champiñones y verduras altamente beneficiosas para el organismo. Entre ellas, destaca la zanahoria por su aporte de betacarotenos, fundamentales para mantener en perfectas condiciones la salud ocular. Sigue leyendo, descubre cómo hacer frijoles con carne y champiñones y deja tu comentario.","['1\nPoner a remojo los frijoles negros la noche anterior. Al día siguiente, se deben cocer en una olla para proceder a elaborar la receta de frijoles negros con champiñones.', '2\nMientras se cuecen los frijoles negros, se ha de picar la cebolla menudita, el tomate, los dientes de ajo y el pimentón o pimiento. Luego, se saltea todo en una cacerola con aceite. Cuando la cebolla esté transparente, se añade el resto de verduras picadas.', '3\nAparte, para continuar con la preparación de los frijoles negros con champiñones, se corta la carne en trozos largos de dos centímetros aproximadamente.Luego, se fríe en una sartén.', '4\nCuando las verduras estén salteadas y la carne también, se junta todo en una cacerola, se mezcla y se añade la lata de champiñones. Luego, se cubre con agua y se deja cocer con sal hasta alcanzar el punto de cocción deseado.', '5\nUna vez cocido todo, se añade el frijol y se deja dar un último hervor. Los frijoles con carne y champiñones están listos para servir y degustar. Se pueden consumir acompañados de arroz blanco o una ensalada verde.']",Valoración: 4 (2 votos),6 comensales,1h 30m,Plato principal,Dificultad baja,,[],"['400 gramos de Frijoles negros', '1 lata de Champiñones', '2 Zanahorias', '1 kilogramo de Carne blanda', '½ kilogramo de Zapallo', '1 Cebolla mediana', '4 dientes de Ajo', '½ cucharadita de Comino', '1 Tomate grande', '½ Pimentón']",https://www.recetasgratis.net/receta-de-frijoles-negros-con-champinones-59360.html
Fabada asturiana de la abuela,"La fabada asturiana es un plato que encierra mucha tradición, típico del norte de España, donde hace más frío y en invierno y los potajes son los platos que más se piden y disfrutan.La receta de fabada lo que necesita es tiempo y paciencia porque en realidad es muy fácil de preparar. Lo importante estas fabes asturianas, como en la mayoría de recetas españolas, es usar unos ingredientes de calidad. Entonces, si ya estás listos para disfrutar una fabada auténtica, sigue leyendo en RecetasGratis.net y aprende cómo hacer la fabada asturiana de la abuela... ¡a cocinar!","['1\nComo en la preparación de cualquier potaje con granos, lo primero que debes hacer es revisar la fabes para desechar las que no estén bien, lavarlas muy bien bajo el chorro de agua y dejarlas en remojo al menos unos 13 horas.', '2\nEl día de la preparación, coloca las fabes junto con el agua del remojo en una olla lo suficientemente amplia y si es necesario, añade más agua para cubrir por completo las alubias. Cocina a fuego fuerte hasta que rompa un hervor.', '3\nEntonces, añade la cebolla troceada al gusto junto con el embutido. Este debes dejarlo en la parte superior y entero, para evitar que se rompa durante la cocción.Si no quieres que las fabada asturiana te quede muy salada puedes dejar en remojo, también desde la noche anterior, el lacón y el tocino.', '4\nVerás que a medida que pasa el tiempo, empieza a salir una espuma gruesa. Elimina esta espuma poco a poco para limpiar el potaje y eliminar el exceso de grasa.', '5\nCuando vuelva a hervir la preparación, baja el fuego al mínimo y sazona con un poco de sal si lo consideras necesario. Continua con la cocción a fuego lento durante unas 2 horas, agitando un poco la olla de vez en cuando.La fabada asturiana no se remueve, ya que esto rompería las fabes, lo que se hace es sacudir un poco la olla.', '6\nDurante estas dos horas de cocción, se debe añadir un poco de agua fría en dos ocasiones, cada 45 minutos estaría bien. Esto se hace para ""asustar"" las alubias y asegurar que la cocción sea pareja. \nTruco: Si quieres potenciar el sabor puedes añadir un poco de azafrán', '7\nComprueba que las alubias están tiernas y la sazón es la correcta. Recuerda que si te has pasado de sal, puedes añadir una patata troceada a la fabada. Si todo está a tu gusto, apaga el fuego y deja que repose todo con la olla tapada durante una hora más.', '8\nSirve un buen plato de fabada asturiana de la abuela y disfruta de este potaje lleno de tradición con unos cuantos trozos de pan. Lo bueno de la fabada es que puede aguantar varios días y cada día que pasa se pone mejor, ya que el embutido va soltando más y más sabor.Y si quieres un plato mucho más completo, con más verdura, puedes mirar la receta paso a paso de fabes con chorizo, ¡te encantará!']",Valoración: 5 (4 votos),4 comensales,4h,Plato principal,Dificultad baja,,['Recetas españolas'],"['500 gramos de Fabes o Alubias blancas', '200 gramos de Panceta curada', '2 Chorizos', '2 Morcillas', '200 gramos de Lacón', '1 Cebolla', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-fabada-asturiana-de-la-abuela-59285.html
