title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Borraja con almejas,,"['1\nCocemos la borraja en una cazuela con agua hirviendo y una pizca de sal durante cinco minutos.', '2\nUna vez cocida escurrimos y reservamos el caldo por una parte y la borraja cocinada por otra.', '3\nPor otro lado picamos el ajo finito y lo sofreímos en el aceite templado sin dejar de moverlo y sin que se dore.', '4\nUna vez que el ajo empieza a cocinarse, añadimos a la sartén los 10 gramos de harina y sofreímos.', '5\nA continuación añadimos las cucharaditas de vino blanco y 2 vasos del caldo de las borrajas.', '6\nCocinamos la salsa durante dos minutos y añadimos las almejas dejando que cuezan otros dos minutos para que se abran.', '7\nA continuación añadimos también las borrajas cocidas y el perejil picado.', '8\nDamos un hervor a todo el conjunto durante 2 minutos y servimos caliente.', '9\nSi este plato lo hiciésemos de un día para otro no le añadiríamos el perejil hasta el momento en que lo calentásemos para servir.']","Valoración: 4,1 (19 votos)",4 comensales,45m,Entrante,Dificultad baja,,[],"['½ kilo de borraja limpia.', '400 gramos de almejas.', '1 diente de ajo.', '1 decilitro de aceite de oliva.', '10 gramos de harina.', '4 cucharadas de vino blanco.', 'Unas ramitas de perejil.', 'Sal.']",https://www.recetasgratis.net/receta-de-borraja-con-almejas-28543.html
Ostras con vinagreta de granada,,"['1\nAbrimos las ostras y retiramos una de las valvas, dejando la otra con la carne.', '2\nFiltramos los jugos que sueltan las ostras con un colador para eliminar trocitos de conchas.', '3\nReservamos en la nevera.', '4\nVinagreta de granada: picamos lo más fino posible en brounoisse (en cuadraditos muy pequeños) el pimiento verde, la cáscara de mandarina (sólo la parte naranja) y la cebolleta fresca.', '5\nMezclamos estas hortalizas con el aceite de oliva, el jugo de las ostras filtrado, el vinagre y la sal hasta formar una vinagreta homogénea.', '6\nAñadimos los granos de granada sin remover para que no se rompa el grano y no tinte demasiado la vinagreta.', '7\nSacamos las ostras de la nevera y las colocamos en el plato donde vayamos a servir, sobre una cama de sal gruesa y salseando las ostras al vinagreta de granada.', '8\nPara 4 personas.']","Valoración: 3,3 (6 votos)",,,,,,,"['20 ostras', 'Vinagreta de granada', '1 granada', '¼ de cáscara de mandarina', '¼ pimiento verde', '¼ cebolleta', '9 cucharadas de aceite de oliva virgen extra', '3 cucharadas de vinagre de vino blanco', 'Sal']",https://www.recetasgratis.net/receta-de-ostras-con-vinagreta-de-granada-28516.html
Crepes rellenos de mejillones con salsa de setas,,"['1\nPara elaborar los crepes, calentamos la leche con el agua y con la mantequilla hasta que se deshaga y dejamos templar.', '2\nBatimos con la batidora los huevos, con la leche y una pizca de sal e incorporamos poco a poco la harina.', '3\nDebe quedar una masa fluida y sin grumos.', '4\nDejamos reposa en el frigorífico unos 15 minutos.', '5\nColocamos una sartén antiadherente en el fuego con un poco de mantequilla.', '6\nAñadimos porciones de masa que extenderemos hasta que quede un crepe fino que haremos vuelta y vuelta.', '7\nRellenamos los crepes con unas setas salteadas en una sartén con ajillo, con unos mejillones abiertos al vapor durante 5 minutos y con escarola y unos tomatitos tipo cherry (enanos) cortados en mitades.', '8\nAliñamos el conjunto con un poco de aceite de oliva y una salsa de setas.', '9\nLa salsa de setas la elaboramos de la siguiente manera: cortamos las setas, la cebolla y el ajo en tiras finas, y lo salteamos en una sartén a fuego moderado con unas cucharadas de aceite de oliva.', '10\nUna vez doradas las hortalizas, añadimos la nata liquida (o la leche), dejamos que de un hervor y trituramos con ayuda de una batidora la salsa dentro de un vaso alto.', '11\nVolvemos a poner la salsa en el fuego, corregimos de sal.', '12\nDejamos templar y acompañamos con dicha salsa a los crepes.']","Valoración: 3,8 (8 votos)",,,,,,,"['Para los crepes', '¼ litro de leche', '¼ litro de agua', '200 gramos de harina', '4 huevos', '40 gramos de mantequilla', 'Para el relleno', 'Unas hojas de escarola', '100 gramos de tomate enanos', '100 gramos de setas', '1 diente de ajo', '1 kilo de mejillones vivos', '4 cucharadas de aceite de oliva', 'Para la salsa de setas', '250 gramos de setas', '50 gramos de cebolla', '2 dientes de ajo', '100 mililitros de nata para cocinar (se puede sustituir por leche)', '5 cucharadas de aceite de oliva', 'Sal']",https://www.recetasgratis.net/receta-de-crepes-rellenos-de-mejillones-con-salsa-de-setas-28501.html
Salpicón de cangrejo,,"['1\nTroceamos la carne del cangrejo ruso y reservamos.', '2\nPreparamos la mayonesa y añadimos cuatro cucharadas de salsa de tomate muy fina, así como un picado de lechuga en juliana muy fino.', '3\nPicamos en cuadraditos pequeños la cebolleta fresca, el pimiento rojo y el pimiento verde y juntamos con el cangrejo y con las puntas de espárragos.', '4\nRepartimos el compuesto preparado en boles o en copas especiales si hubiera.', '5\nIntroducimos una base de mayonesa con lechugas troceadas en juliana y sobre ella el salpicón de cangrejo aliñado con aceite de oliva y vinagre de manzana.', '6\nServimos al instante.', '7\nPara 4 personas.']","Valoración: 3,5 (4 votos)",,,,,,,"['200 gramos de carne de cangrejo ruso', '¼ cebolleta fresca', '¼ de pimiento verde', '¼ pimiento rojo', '8 puntas de espárragos', 'Unas hojas de lechuga', '50 gramos de mayonesa', '6 cucharadas de aceite de oliva', '2 cucharadas de vinagre de manzana']",https://www.recetasgratis.net/receta-de-salpicon-de-cangrejo-27954.html
Sepia estofada con verduras y piñones,,"['1\nPonemos una cazuela a fuego lento con el aceite y las cebollas, el pimiento verde y el puerro, todo ello finamente picado.', '2\nDejamos que suden hasta que empiecen a tomar color.', '3\nEn ese momento, agregamos los dientes de ajo en láminas y los chipirones o sepias limpias y troceadas, y dejamos cocer quince minutos.', '4\nAñadimos la salsa de tomate, la sal y los piñones.', '5\nManteniendo en el fuego hasta conseguir la textura deseada.', '6\nUn minuto antes de retirar la cazuela del fuego, espolvoreamos con el perejil picado y removemos el conjunto.']","Valoración: 3,3 (3 votos)",,,,,,,"['1250 g de sepia', '300 g de cebollas', '100 g de pimiento verde', '100 g de puerro', '4 dientes de ajo', '50 g de salsa de tomate concentrada', '50 g de piñones tostados', '2 cucharadas de perejil picado', '5 cl de aceite de oliva virgen y sal']",https://www.recetasgratis.net/receta-de-sepia-estofada-con-verduras-y-pinones-27779.html
Anillos de calamar en tempura,"En esta ocasión aprenderás a preparar una de las tapas más populares en los bares, anillos de calamar en tempura. En RecetasGratis.net te damos las claves para que puedas disfrutar de este delicioso aperitivo en la comodidad de tu casa y en cualquier ocasión. ¡Sigue leyendo!","['1\nEl primer paso para realizar la receta de calamares tempura es prealistar los ingredientes.', '2\nPrimero vamos a preparar la tempura. Para ello, coge un bol, adiciona el huevo y bate como si fueras a realizar una tortilla, añade la harina y mezcla bien hasta que se integren los ingredientes.', '3\nAñade la soda, sal, pimienta negra al gusto, el sake, pasta de ajo y una cucharada de perejil fresco. Mezcla bien los ingredientes.', '4\nAñade los anillos de calamar a la tempura de tal forma que queden completamente cubiertos por la mezcla.', '5\nLleva una sartén a fuego medio con suficiente aceite para freír y, una vez observes que está caliente, añade los anillos de calamar y fríelos hasta que estén bien dorados.', '6\nRetira los anillos de calamar rebozados en un plato con papel absorbente para retirar el exceso de grasa de nuestra receta. Agrega sal al gusto.', '7\nSirve los anillos de calamar en tempura acompañados con gajos de limón y espolvoreando un poco de perejil por encima, ¡esta receta es realmente deliciosa! Y si quieres servir un aperitivo completo, no te pierdas la receta de gambas a la plancha.']","Valoración: 3,3 (3 votos)",4 comensales,45m,Entrante,Dificultad media,,[],"['1 kilogramo de Anillos de calamar', '200 gramos de Harina de trigo', '1 taza de Soda', '1 unidad de Huevo', '1 cucharada sopera de Sake', '2 cucharaditas de Perejil', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Pasta de ajo', '2 unidades de Limones']",https://www.recetasgratis.net/receta-de-anillos-de-calamar-en-tempura-27769.html
Calamares con tomate,,"['1\nLimpiamos los calamares.', '2\nA continuación, los disponemos en una cacerola, cubriéndolos con agua fría y un poco de sal.', '3\nCocemos y en cuanto den el primer hervor, separamos la cacerola del fuego.', '4\nSacamos los calamares y los escurrimos, pero conservamos su agua.', '5\nPonemos en una cazuela de barro o de porcelana el aceite a calentar.', '6\nCuando esté caliente, echamos la cebolla y los ajos picados y dejamos que se hagan a fuego lento sin que se doren (unos seis minutos).', '7\nAñadimos entonces los tomates pelados, quitadas las simientes y cortados en trocitos.', '8\nDejamos todo junto otros cinco minutos.', '9\nAgregamos los calamares al refrito, espolvoreamos con una cucharada de harina, y después de removerlos, añadimos el pimentón.', '10\nRociamos con un vaso de agua de cocción de los calamares y dejamos a fuego suave durante una hora (o algo más, según lo tiernos que sean).']","Valoración: 4,4 (27 votos)",,,,,,,"['1 pizca de Pimienta', '1 kilogramo de Calamares', '250 gramos de Cebolla', '2 dientes de Ajo', '400 gramos de Tomates bien maduros', '1 cucharada sopera de Sopera de harina', '1 cucharada sopera de Perejil picado', '1 cucharadita de Pimentón', '1 vaso de De los del agua de cocer los calamares', '1 vaso de Agua', '1 pizca de Sal', '1 chorro de Aceite de oliva']",https://www.recetasgratis.net/receta-de-calamares-con-tomate-27735.html
"Receta FÁCIL, RÁPIDA y Deliciosa","Sepia con patatas, un plato de cuchara sencillo y muy rico. Esta es una receta muy rápida de hacer y que, además, lleva pocos ingredientes. Eso sí, lo ideal para este plato es que la sepia sea fresca, ya que así dará muy buen sabor al plato y la calidad será todavía mayor. No obstante, si no es posible, al final indicamos qué podemos hacer.El guiso de sepia con patatas es nutritivo y nos proporciona mucha energía, muy necesaria durante la temporada de frío. Además, si usamos ingredientes ligeros, este es un plato perfectamente compatible con dietas de adelgazamiento, ya que la sepia contiene pocas calorías y un gran valor nutricional. Por ejemplo, es rica en vitaminas del grupo B, A y E y posee minerales como el yodo. Por todo ello, sigue leyendo y descubre en RecetasGratis cómo hacer sepia con patatas.","['1\nLimpiamos y cortamos la sepia en trozos del tamaño deseado.', '2\nPonemos una cazuela con un poco de aceite y, cuando esté caliente, añadimos la sepia y la salteamos. Sacamos y reservamos para seguir preparando la receta de sepia con patatas.', '3\nEn la misma cazuela añadimos un poco más de aceite. Picamos la cebolla y el pimiento verde en trozos pequeños y los echamos a la cazuela. Dejamos que se pochen estos ingredientes y cuando veamos que está transparente la cebolla, añadimos las cucharadas de tomate frito. Removemos.\nTruco: En lugar de tomate frito puedes utilizar dos tomates naturales picados.', '4\nPelamos, lavamos y cortamos las patatas en trozos. Para que el guiso de sepia con patatas se cocine de forma pareja, es importante que los trozos de patata sean lo más similares posible.', '5\nAñadimos las patatas a la cazuela con el sofrito, lo removemos todo junto y añadimos la sepia. Dejamos cocinar la sepia con patatas un minuto, removiendo constantemente, y agregamos la cucharadita de pimentón. Volvemos a remover todo.', '6\nCubrimos la sepia con patatas con agua o caldo de pescado y añadimos un poco de sal. Es importante que el líquido escogido cubra por completo todos los ingredientes. Dejamos cocinar el guiso hasta que queden las patatas tiernas. Probamos de sal y rectificamos si hiciera falta. ¡Apagamos y servimos la sepia guisada con patatas!']","Valoración: 4,4 (26 votos)",4 comensales,45m,Plato principal,Dificultad baja,,[],"['2 sepias', '4 patatas', '1 trozo de pimiento verde', '1 cebolla mediana', '4 cucharadas soperas de tomate frito', '1 pizca de sal', '1 cucharadita de pimentón']",https://www.recetasgratis.net/receta-de-guiso-de-sepia-con-patatas-27705.html
Brochetas de pescado y langostinos,"Estas brochetas de pescado y langostinos son un aperitivo muy vistoso para la cena de Navidad. Para esta receta hemos utilizado salmón, un pescado con un gran aporte de omega 3. Disfrutad de esta idea original en RecetasGratis.net.","['1\nReunimos todos los ingredientes para elaborar las brochetas de pescado y langostinos. Si compráis langostinos frescos, es necesario pasarlos por la plancha (vuelta y vuelta) antes de montar las brochetas.', '2\nCortamos el salmón en dados con un grosor de unos tres centímetros y echamos sal. Reservamos.', '3\nPelamos el mango y lo cortamos en dados gruesos, más o menos del mismo tamaño del salmón.', '4\nPelamos los langostinos y los reservamos enteros. Para esta receta también se pueden utilizar gambas. Nosotros hemos usado langostinos cocidos.', '5\nSalteamos el salmón a la plancha, doramos por los dos lados y añadimos un chorrito de salsa teriyaki. Espolvoreamos con un poco de sésamo por encima.', '6\nMontamos las brochetas de pescado y langostinos: pinchamos un dado de salmón, otro de mango y un langostino. Así sucesivamente hasta completar la brocheta.', '7\nPara presentar las brochetas de pescado y langostinos podemos acompañar con un poco más de salsa teriyaki y cilantro fresco. Si os ha gustado este aperitivo navideño, podéis probar las crepes de bacalao y gambas o los rollitos de pepino rellenos. ¡Esperamos que os guste!']","Valoración: 3,8 (4 votos)",4 comensales,30m,Entrante,Dificultad media,,['Recetas para Navidad'],"['300 gramos de Salmón', '1 unidad de Mango', '12 unidades de Langostinos cocidos', '1 chorro de Salsa teriyaki', '1 pizca de Semillas de sésamo']",https://www.recetasgratis.net/receta-de-brochetas-de-pescado-y-langostinos-27671.html
Almejas en salsa se almendras,,"['1\nPonemos las almejas en un recipiente con agua y sal durante dos horas para que suelten la arenilla que tienen.', '2\nEn una cazuela baja sofreímos con un poco de aceite, la cebolla cortada en brounoisse (picadito fino) y el tomate cortado en dados, añadiendo un poco de sal y de azúcar.', '3\nPreparamos una picada triturando el conjunto de ajo, el perejil y la almendra tostada formando una masa compacta. Esta picada la añadimos al sofrito, junto con el vaso de vino blanco y un poco de pimienta.Deslavamos las almejas bajo un corro de agua fría y las introducimos en la cazuela de la salsa dejando que cuezan 10 minutos.', '4\nSi la salsa nos saliese un poco espesa añadimos un poco de agua.']","Valoración: 3,3 (3 votos)",,,,,,,"['1 kilo de almejas', '200 gramos de cebolla', '500 gramos de tomate', '1 diente de ajo', 'Unas ramas de perejil', 'Sal', '1 cucharada de azúcar', '100 gramos de almendra tostada', '1 vaso de vino blanco', '4 cucharadas de aceite de oliva', 'Pimienta negra']",https://www.recetasgratis.net/receta-de-almejas-en-salsa-se-almendras-27672.html
