title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Sepias al Microondas,,"['1\nLimpie bien las sefias,separando elcuerpo de las ppatas y trocee.', '2\nA continuación,sazónelas y viértalas en un recipiente de pyrex.', '3\nSeguidamente,añada los ajos yel perejil y mezcle todo bien.', '4\nPor ultimo roce con el zumo de limón e introduzca en el miicroodas conectándolo durante 5 minutos.', '5\nSi lo desea, puede servilas con mayonesa.', '6\nPara 6 personas']","Valoración: 3,4 (38 votos)","['4 sepias medianas troceadas', '3 dientes de ajos', '1 ramita de perejil', 'El zumo de un limón', 'Sal']",https://www.recetasgratis.net/receta-de-sepias-al-microondas-17525.html,,,,,,
Salpicón de pulpo con patatas,El pulpo es un marisco bajo en grasa y rico en proteínas. Estas propiedades hacen que el pulpo sea un alimento muy recomendable en las dietas para bajar de peso. En RecetasGratis.net os mostramos este salpicón de pulpo con patatas que podéis preparar en vuestro menú navideño sin tener que preocuparos por las calorías.,"['1\nPara preparar el salpicón de pulpo con patatas, debemos reunir todos los ingredientes.', '2\nCocemos las patatas troceadas en agua hirviendo hasta que estén tiernas.', '3\nPicamos la cebolleta, el pimiento y el tomate en cuadraditos pequeños.', '4\nTroceamos el pulpo en rodajas y lo disponemos en una ensaladera junto al tomate, la cebolleta y el pimiento.', '5\nUna vez enfriadas, agregamos las patatas cocidas y aliñamos con sal, vinagre y aceite.', '6\nPodemos servir el salpicón de pulpo con patatas con hojas de albahaca fresca picada. El salpicón de marisco gallego o el salpicón de pollo son otras opciones para preparar en vuestras celebraciones y fiestas navideñas. ¡Espero que os guste!']","Valoración: 3,4 (38 votos)","['300 gramos de Pulpo cocido', '1 unidad de Patata', '½ unidad de Cebolleta', '1 unidad de Pimiento verde', '1 unidad de Tomate', '1 pizca de Sal', '1 chorro de Vinagre', '1 manojo de Albahaca fresca']",https://www.recetasgratis.net/receta-de-salpicon-de-pulpo-con-patatas-17446.html,2 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para perder peso', 'Recetas para Navidad', 'Recetas españolas']"
Pulpo al Olivo,,"['1\n1 preparación Preparación Dejar reposar el pulpo con bastante sal por una 1/2 hora y luego lavarlo.', '2\nSi todavía el pulpo tuviera baba volver a repetir la operación hasta que quede totalmente limpio.', '3\nUna vez limpio, golpearlo con los puños sobre los tentáculos para que suelte , previamente se ha puesto una olla de agua a hervir y una ves que el agua este bien caliente poner el pulpo a sancochar durante una 1/2 hora o ir probando hasta que este suave, evitar que se sancoche demasiado.', '4\nAlgunas personas introducen en el recipiente donde se sancocha el pulpo una papa mediana que al sancocharse nos indicara que la carne del pulpo esta suave y debe terminarse la cocción, en todo caso la observación de la carne del pulpo nos dirá si ya esta cocido o no.', '5\nUna vez sancochado guardar el pulpo en la refrigeradora hasta el día siguiente.', '6\nEl pulpo puede utilizarse con o sin el pellejo a gusto del cocinero.', '7\nAl día siguiente sacar el pulpo de la refrigeradora y cortar en rodajas muy finas y reservar.', '8\nPara preparar la salsa al Oliva, poner en la licuadora un poco de mayonesa y licuar conjuntamente con las aceitunas negras deshuesadas , las que se irán incorporándolas una a una , hasta que la mayonesa haya tomado el sabor de la aceituna y sin que esta llegue a tener un sabor fuerte.', '9\nAgregar un poco de sal si fuera necesario y pimienta para sazonar, luegoa agregar unas gotas de Salsa Tabasco al gusto y seguir removiendo.', '10\nPara finalizar echar a esta salsa unas gotas de aceite de Oliva para complementar su sabor.', '11\nEn una fuente poner las rodajes de pulpo y bañarlas con la salsa.', '12\nAdornar el plato con rodajes de tomate y pimiento MUCHAME DE PULPO.']","Valoración: 3,6 (42 votos)","['Pulpo', 'Aceitunas negras deshuesadas', 'Mayonesa', 'Sal', 'Pimienta', 'Salsa Tabasco', 'Aceite de Oliva', 'Pulpo sancochado y cortado en rodajas muy finas', 'Aceite de Oliva', 'Sal']",https://www.recetasgratis.net/receta-de-pulpo-al-olivo-17301.html,,,,,,
Pulpo a La Brasa,,"['1\nSe cuece el pulpo hasta que esté al dente (según el tamaño).', '2\nSe enfria y se filetea.', '3\nSe marca en la parrilla y se aliña con ajo, aceite, pimienta blanca y zumo de limón.', '4\nSe presenta en un brasero con perejil y limón.']","Valoración: 3,6 (47 votos)","['1 ud. pulpo (de 4 kl. aprox. )', 'sal', 'ajo', 'aceite', 'pimienta blanca', 'zumo de limón']",https://www.recetasgratis.net/receta-de-pulpo-a-la-brasa-17297.html,,,,,,
Machas a la parmesana,"Las machas a la parmesana es una receta chilena que tiene como protagonista a las famosas machas, un molusco de concha, parecido a los mejillones y las almejas. Estas machas gratinadas son muy fáciles de preparar y aunque la receta más clásica sea con vino blanco, en este caso te ofrecemos una variación que se cocina con limón y mantequilla para realzar el sabor del marisco.Sigue leyendo en RecetasGratis esta estupenda receta chilena y disfruta de un plato de machas gratinadas al horno para disfrutar de una tarde de copas con los amigos.","['1\nPara empezar a preparar nuestra receta de machas, lo primero que debes hacer es limpiarlas bien bajo el chorro, abrirlas y reservar por separado las conchas y la carne.Para abrirlas utiliza un cuchillo, corta las lenguas y raspa la mitad de las conchas para sacarles bien toda la arena y los restos que tengan adheridos.', '2\nA continuación, limpiar las lenguas y luego blanquearlas, pasándolas por agua hirviendo hasta que tomen un color rosado. Luego, coloca cada una de las machas sobre su respectiva cáscara ya limpia, por esto reservamos solo la mitad de las conchas.', '3\nColoca entonces todas las machas sobre una bandeja para horno, sazona con sal y pimienta por encima, jugo de limón y una buena capa de queso parmesano rallado. Termina colocando la mantequilla en cuadritos por todas las machas.', '4\nFinalmente cocina las machas a la parmesana en el horno precalentado a 200º C. por unos 5 minutos, simplemente hasta que veas que quedan bien gratinadas.', '5\nSirve las machas a la parmesana decorando el plato con algo verde y acompañada por un buen vino blanco. Este mismo procedimiento lo puedes utilizar para cocinar otros mariscos con concha como mejillones o almejas. Y si estás preparando esta receta de machas gratinadas para un picoteo, te recomendamos acompañarlo por unas croquetas de pollo y unas brochetas de salmón ahumado.']","Valoración: 3,5 (45 votos)","['1 kilogramo de Machas frescas', '3 Limones', '½ kilogramo de Queso parmesano', '1 pizca de Sal y Pimienta', '2 cucharadas soperas de Mantequilla']",https://www.recetasgratis.net/receta-de-machas-a-la-parmesana-16645.html,2 comensales,15m,Entrante,Dificultad baja,,"['Recetas al horno', 'Recetas chilenas']"
Langostinos Marbell,,"['1\nEsta receta es preparada con langostinos de 130 gr, que se cosechan en los mares de Ecuador Un poco de ajo, aceite de oliva, y mantequilla inician esta receta exquisita.', '2\nLuego de estos ingredientes tenemos el romero el tomillo silvestre y un buen brandy para flamear, esto a fuego lento por unos 5 minutos y luego agregar un chorillo de vino blanco siempre rectificaremos con sal y pimienta al gusto.', '3\nPara terminar sirviendo con patatas an vapor o simplemento un buen pan de agua tengan Uds.buen probecho.']","Valoración: 4,3 (4 votos)","['langostino', 'ajo', 'aceite de oliva', 'mantequilla', 'romero', 'tomillo silvestre', 'brandy', '1 chorro vino blanco', 'sal', 'pimienta', 'PARA LA GUARNICIÓN', 'patata al vapor']",https://www.recetasgratis.net/receta-de-langostinos-marbell-16538.html,,,,,,
Langostinos con anís,"Los langostinos son uno de los productos más versátiles de la cocina, ya que se pueden utilizar para elaborar todo tipo de platos. Y en este caso, el anís os dará un sabor muy particular y mucho aroma a vuestro plato. No te pierdas esta receta de RecetasGratis.net y aprende a cocinar unos sabrosos langostinos con anís.","['1\nSe sofríen en la mantequilla las cebollas y los ajos picados muy finamente, tapados, hasta que estén transparentes. Se escaldan los langostinos en agua hirviendo durante 3 minutos, se pelan y se agregan a la sartén junto con las semillas de anís (previamente trituradas), la sal y la pimienta y se sofríe todo por 5 minutos.', '2\nSe añade la esencia de anís, se revuelve y se deja conservar otros 5 minutos. Se disuelve la harina en el vino y se agrega, revolviendo por 5 minutos.\nTruco: Si no tenéis esencia de anís podéis usar media vaso de aguardiente.', '3\nSe agrega la crema un poco tibia y se mezcla bien hasta que la salsa se incorpore y quede cremosa, dejarla hervir. El arroz sería un buen acompañamiento para este plato:Arroz blancoRisotto de langostinosArroz basmati']",Valoración: 2 (20 votos),"['1½ kilogramos de Langostinos', '½ gramo de Cebolla', '4 dientes de Ajo', '125 gramos de Mantequilla', '1 cucharada sopera de Anís', '½ cucharada sopera de Esencia de anís', '1 copa de Vino blanco seco', '1 cucharada sopera de Harina de trigo', '½ taza de Crema de leche (100 mililitros)', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-langostinos-con-anis-16531.html,4 comensales,45m,,Dificultad baja,,[]
Fuyon de camarones,,"['1\nSe baten las claras y luego se les agregan las yemas.', '2\nSe incorporan colitas de camarones cocidas (se pueden reemplazar por carnes asadas y cortadas o pollo ).', '3\nSe frie bien gruesas.']","Valoración: 3,7 (12 votos)","['Huevos', 'Camarones', 'Cebollin']",https://www.recetasgratis.net/receta-de-fuyon-de-camarones-15805.html,,,,,,
Mariscada Salvadoreña,,"['1\nEn una olla sopera, colocá los vegetales y el consomé junto con el ajo picado, el galón de agua (20 tazas) y los tomates partidos al gusto.', '2\nCuando el caldo empieze a hervir.', '3\nAgregá las colas de langosta y los camarones de mar cortados en trozos.', '4\nLos ostiones y los camarones de río en tiras y por última, los filetes o lonjas pescado cortados en cubos.', '5\nTodo se cuece a fuego suave durante 6 a 10 minutos, para después servirlo con limón y chile picante.', '6\nNo vendría mal una cerveza pilsener, ¿verdad? Podeis agregarle jugo de tomate (de ese que viene en latitas).', '7\nNivel de dificultad 3 Tiempo de preparación 30 min Tiempo de cocción 45']","Valoración: 3,6 (45 votos)","['5 colas de langostas pequeñas', '10 camarones de río', '10 ostiones', '10 camarones de mar', '10 onzas de filete de curvina', '2 consomé de camarón', '2 cebollas pequeñas', '3 zanahorias', '2 tallos de puerro', '4 limones', '3 tallos de apio', '1 cabeza de ajo', '3 tomates de jugo', '1/8 de onza de pimienta blanca', '1 manojito de cilantro', '2 tallos de apio Cortá primero los vegetales en tiras finas']",https://www.recetasgratis.net/receta-de-mariscada-salvadorena-15654.html,,,,,,
Langostinos con coco,,"['1\nPrecaliente el horno a 150ºc - Corte el lomo de los langostinos, quíteles el hilo intestinal.', '2\nNo quite la cabeza ni el caparazon.', '3\nEsparza el coco desecado en una bandeja de horno y caliente durante 10 min hasta que adquiera un color dorado.', '4\nEchar en una cacerola la crema de coco, el ajo y el jenjibre y llévelos a ebullición.', '5\nAgregar los langostinos, baje el fuego y deje hervir durante 5 min o hasta que estén cocidos.', '6\nCondimente al gusto con pimienta negra molida y sal y aderece con el coco tostado y las hojas de cilantro .', '7\nServirlo con arroz.']","Valoración: 3,4 (31 votos)","['un kilo de langostinos frescos', '3 cucharadas de coco desecado', '8 dientes de ajo picados', 'un cuarto de litro de crema de coco', '1 cucharadita de jengibre rallado']",https://www.recetasgratis.net/receta-de-langostinos-con-coco-15024.html,,,,,,
