title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Penne con Crema de Espárragos,,"['1\nSe cuecen los espárragos hasta que queden tiernitos.', '2\nSe pican en pedazos grandes, dejando las puntas intactas (éstas se guardan para después).', '3\nSe hacen puré los pedacitos de espárragos junto con 1 cucharada del aceite (esto puede ser en el food procesor o en la licuadora).', '4\nSe combina el queso ricotta (ya drenado) con la otra cucharada del aceite.', '5\nSe cuece la pasta al dente y se cuela bien.', '6\nSe regresa al sartén donde se coció y se le agrega el puré y se saltea hasta que queda bien mezclado.', '7\nSe adorna con el ricotta y con las puntas de los espárragos.']","Valoración: 3,3 (58 votos)","['500 g espárragos', '2 cch aceite', '170 g queso ricotta', '10 oz pasta penne']",https://www.recetasgratis.net/receta-de-penne-con-crema-de-esparragos-27026.html,,,,,,
Penne alla Puttanesca,,"['1\nSe saltea el ajo en el aceite a fuego lento.', '2\nSe agrega la salsa, aceitunas, alcaparras, chile, orégano, sal y pimienta.', '3\nSe deja ehrvir a fuego lento por 15 minutos, meneando ocasionalmente.', '4\nMientras se hirve la salsa, se cuece el penne al dente y se cuela bien.', '5\nJusto antes de servir se le agrega el perejil a la salsa y se vierte ésta sobre la pasta.']","Valoración: 3,5 (68 votos)","['2 dientes de Ajo', '3 cucharaditas de Aceite', '1 lata de Salsa', '¼ taza de Aceitunas', '1 cucharadita de Alcaparras', '½ cucharadita de Oregano', '½ kilogramo de Pasta', '2 cucharaditas de Perejil']",https://www.recetasgratis.net/receta-de-penne-alla-puttanesca-27025.html,,,,,,
Cannelloni,,"['1\nSe fríe la carne con un poco de aceite.', '2\nMientras se cuece, se debe romper en pedacitos chiquitos.', '3\nSe vierte la carne a un recipiente para mezclar.', '4\nSe agrega sal, pimienta y ajo y se mezcla bien.', '5\nSe agrega el huevo, el queso, el perejil, el pan molido y más sal al gusto.', '6\nSe drena el agua de la espinaca cocida y se pica.', '7\nSe agrega a la mezcla las espinacas y 1/2 taza de salsa de tomate.', '8\nSe esparce un poco de salsa de tomate en el fondo de un recipiente.', '9\nSe rellenan las crepas de cannelloni y se van poniendo en el recipiente.', '10\nEntre cada capa de canelones se pone más salsa de tomate y luego más en la parte de arriba.', '11\nSe mete al horno a 350°F por 1 hora.', '12\nLuego se baja la temperatura a lo más bajito y se deja de 2 a 3 minutos para que se dore la parte de arriba.']","Valoración: 3,5 (63 votos)","['500 g. carne molida', '2 diente(s) ajo', '1 unid. huevo', '1/4 taza(s) queso gratinado', '1/4 taza(s) perejil', '1/4 taza(s) pan molido', '1 taza(s) espinaca', '2 lata(s) salsa de tomate', '1 unid. receta de crepas para canneloni y manicotti']",https://www.recetasgratis.net/receta-de-cannelloni-27022.html,,,,,,
Ñoquis a la crema con langostinos al champagne,,"['1\nMacerar durante 1 h. aprox. los langostinos en una sarten con champagne y tomillo (a penas una rociadita)(lo trato como si fuera nuez moscada), 3 cucharadas soperas de mostaza.', '2\nSe pone a cocinar en la misma sarten unos 5 minutos, que hierva el champagne, se coloca la crema, se cocina otros 5 minutos y se vuelca la preparacion sobre los ñoquis.']","Valoración: 3,5 (4 votos)","['500 gramos langostino', 'Champagne', 'Tomillo', '3 cucharadas soperas de mostaza']",https://www.recetasgratis.net/receta-de-noquis-a-la-crema-con-langostinos-al-champagne-26968.html,,,,,,
ÑOQUIS A LA CREMA CON LANGOSTINOS (MUY FACIL),,"['1\nMacerar durante 1 h. aprox. los langostinos en una sarten conchampagne y tomillo (a penas una rociadita)(lo trato como si fueranuez moscada), 3 cucharadas soperas de mostaza.', '2\nSe pone a cocinar enla misma sarten unos 5 minutos, que hierva el champagne, se coloca la crema, se cocina otros 5 minutos y se vuelca la preparacion sobre los ñoquis.', '3\nEs exquisito, no le tengan miedo, sale muy suave. (y rapidisimo)']","Valoración: 3,3 (57 votos)","['500 g. langostino', 'Champagne', 'Tomillo', 'Mostaza', 'Ñoquis']",https://www.recetasgratis.net/receta-de-noquis-a-la-crema-con-langostinos-muy-facil-26964.html,,,,,,
Canelones rellenos de camarones,,"['1\nSepara las cabezas y pela los camarones.', '2\nPon a cocinar en una olla: media cebolla picada.', '3\nLa zanahoria, el ajo y el celery junto con las resto del camaron (cabeza y cáscaras), por media hora.', '4\nLuego cuele y reduzca el caldo a fuego lento y reserve Prepara un sofrito con la media cebolla, el pimentón rojo y el puerro hasta que se ablanden, y despues agregar los camarones picados, el vino, saL y pimienta.', '5\nSaltée por unas 5 minutos y reserve.', '6\nEn una sarten ponga a red a calentar la matequill y sofria la harina de trigo, cuando se ponga como una pasta, mezcle con el caldo de camarones y la crema de leche, que no haga grumos ni se queme, batiendo constantemente, hasta que quede commo una crema tipo bechamel.', '7\nRellene los canelones ya hervido con el sofrito, y coloque en una bandeja con mantequilla y harina.', '8\nPrimero una capa de la crema, los canelones rellenos, la crema y el queso.', '9\nLleve al horno alto para gratinar.']","Valoración: 3,5 (65 votos)","['1/2 kg. de camarones', '1 cebolla picada', '1 diente de ajo picado', '1/2 zanahoria picada finamente', '1 tallo de celery o apio picado', '1/2 tallo de puerro o ajo porro picado', '1/2 litro de crema de leche', '2 cucharadas de mantequilla', '2 cucharadas de harina de trigo', '1/2 pimiento rojo o pimentón picado finamente', '1 paquete de canelones de 250 grs', '1 cucharada de perejil picadito', '150 grs. de queso parmesano rallado', '1/2 taza de vino blanco sal', 'pimienta']",https://www.recetasgratis.net/receta-de-canelones-rellenos-de-camarones-26709.html,,,,,,
macarrones con roquefort,,['1\nHacer los macarrones y despues echas en una cazuela nata para preparar queso parmesano y roquefort 3 trozos.'],"Valoración: 3,3 (31 votos)","['1 paquete de macarrones', 'sal', 'aceite', 'nata', 'roquefort', 'queso parmesano']",https://www.recetasgratis.net/receta-de-macarrones-con-roquefort-26609.html,,,,Dificultad alta,,
Tornillos de pasta con vainitas,,"['1\n1. Cocine la pasta en agua con una hoja de laurel y una cucharita de sal.', '2\nMientras tanto, escurra las vainitas.', '3\n2. En una refractaria coloque con las vainitas y añada 1/2 taza de caldo de pollo, rocíe con abundante queso rallado.', '4\nTape y lleve al horno precalentado a 350º y, revolviendo ocasionalmente, hornee hasta que esté bien caliente.']","Valoración: 2,5 (2 votos)","['1 lata grande de vainitas', '100 gramos de queso pecorino rallado', '250 gramos de tornillos de pasta, cocidos ""al dente""', '1/2 taza de cebollín picado', '1 cucharadita de albahaca fresca, picada', '1 cliente de ajo, finamente picado']",https://www.recetasgratis.net/receta-de-tornillos-de-pasta-con-vainitas-26575.html,,,,,,
Pizza napolitana original,,"['1\n1. Preparar la masa con sus ingredientes. Dejar subir la pasta en sitio templado, durante 2 y 1/2 horas. Extenderla luego sobre la tabla enharinada y darle la forma de un disco de 1/2 cm. de espesor y de 35 cm. de diámetro.', '2\n2. Humedecerla con un hilo de aceite de oliva y untarla con la manteca de cerdo.', '3\n3. Colocar los ingredientes para la pizza sobre la masa, echarle sal, pimienta y un buen pellizco de orégano y unas gotas de aceite.', '4\n4. Cocerlo en el horno muy caliente, durante unos 15 minutos.']","Valoración: 3,4 (41 votos)","['350 gr. de harina', '15 gr. de levadura desleída en un vaso de agua templada', 'Una nuez de manteca de cerdo', '50 gr. de filetes de anchoas', '100 gr. de queso Mozzarella cortado a cuadritos', '300 gr. de tomates pelados y machacados', 'Sal', 'Pimienta', 'Orégano', 'Aceite de oliva']",https://www.recetasgratis.net/receta-de-pizza-napolitana-original-26491.html,,,,,,
Penne (Plumitas) con Berenjenas y Pecorino,,"['1\nCorte las berenjenas, con piel, en cubos.', '2\nColóquelas en un colador, espolvoréelas con sal y déjelas reposar unos 30 minutos, lávelas y séquelas.', '3\nColoque el aceite de oliva en un caldero cuando esté caliente, fría las berenjenas, sáquelas y resérvelas.', '4\nMachaque los ajos fríalos en el aceite durante unos segundos.', '5\nAgregue el pimentón cortado en juliana y fría durante un minuto.', '6\nAgregue los tomates y trocéelos en el caldero con una cuchara de madera.', '7\nSazone con sal y pimienta y deje cocinar durante unos 10 minutos.']","Valoración: 3,3 (57 votos)","['1/2 kilo de pasta tipo penne (plumitas)', '2 berenjenas de regular tamaño', '3/4 de taza de aceite de oliva', '2 dientes de ajo', '1 pimentón verde', '1 lata de tomates pelados', '6 hojas de albahaca', 'perejil fresco', '1/2 taza de queso pecorino rallado', 'Sal y pimienta al gusto']",https://www.recetasgratis.net/receta-de-penne-plumitas-con-berenjenas-y-pecorino-26480.html,,,,,,
Pasta con brócoli,Una receta perfecta para la cena o la comida del fin de semana. La pasta con brócoli se volverá una de tus favoritas y recuerda que siempre puedes usar el tipo de pasta que más te guste.,"['1\nCocina la pasta y el brócoli por separado con agua hirviendo y una pizca de sal. Consulta las instrucciones del fabricante de pasta para que ésta quede al dente. En cuanto al brócoli, recuerda no cocinarlo más de 7 minutos.', '2\nMientras, pica finamente el ajo y la cebolla. Cuando esté todo listo, escurre la pasta añade un chorro de aceite para que no se pegue y reserva.', '3\nDerrite la mantequilla en una sartén y haz un sofrito de cebolla y ajo, cuando empiecen a ponerse transparentes, añade los trozo de brócoli y saltea todo junto. Corrige la sazón con un poco de sal y pimienta si es necesario.', '4\nAñade el sofrito a la olla con la pasta caliente y revuelve todo con un poco de crema de leche. La cantidad es al gusto.', '5\nSirve la pasta con brócoli y decora cada plato con un poco de perejil picado finamente y queso rallado. Y si quieres variar el ingrediente principal también puedes preparara un delicioso plato de pasta con calabacín.']","Valoración: 3,7 (75 votos)","['80 gramos de Plumas o Pasta corta', '½ unidad de Brócoli', '1 cucharada sopera de Mantequilla', '¼ unidad de Cebolla', '1 diente de Ajo', 'Crema de leche', '1 pizca de Sal y Pimienta', 'Queso rallado']",https://www.recetasgratis.net/receta-de-pasta-con-brocoli-26467.html,1 comensal,15m,Plato principal,Dificultad baja,,[]
Pasta con espinacas y jamón,"En esta ocasión vamos a preparar unos fusilli con jamón y espinacas frescas, una receta diferente, saludable y, sobre todo, deliciosa. La ventaja que presente este plato es que podemos consumirlo tanto frío como caliente, por lo que podemos prepararlo en cualquier estación del año. Vamos a ver los ingredientes y cocina con RecetasGratis.net pasta con espinacas y jamón.","['1\nEl primer paso para realizar la receta de pasta es prealistar los ingredientes.', '2\nLleva una olla honda a fuego medio con suficiente agua y, cuando alcance el punto de ebullición, adiciona la pasta con un poco de sal y cocina hasta que esté al dente o en el punto de cocción deseado; retira la pasta, escurre y reserva.', '3\nLleva una sartén a fuego medio y adiciona la mantequilla.', '4\nAgrega los tornillos de pasta y deja sofreír durante algunos minutos.', '5\nAgrega sal, pimienta y un poquito de ajo en pasta.', '6\nAñade las hojas de espinacas cortadas en tiras como se observa en la fotografía, deja sofreír durante algunos minutos.', '7\nAdiciona el jamón de cerdo en cuadros pequeños y mezcla bien con el resto de ingredientes.', '8\nLo idea es que los ingredientes se doren durante algunos minutos y se distribuyan muy bien.', '9\nUna vez rectifiquemos sabor, adiciona la crema de leche y apaga el fuego para que no se seque la crema de leche o nata.', '10\nSirve la pasta con jamón y espinacas espolvoreando un poco de queso parmesano por encima. Recuerda que puedes consumir esta receta fría o caliente, y acompañarla con algún entrante, como empanadas de atún. Si deseas más recetas de pasta y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']","Valoración: 3,4 (58 votos)","['300 gramos de Fusilli de pasta', '1 cucharadita de Mantequilla', '1 manojo de Espinacas', '180 gramos de Jamón de cerdo', '1 copa de Cava o vino blanco', '40 gramos de Queso parmesano', '1 taza de Crema de leche o nata', '1 pizca de Pasta de ajo', '1 pizca de Sal', '1 pizca de Pimienta negra']",https://www.recetasgratis.net/receta-de-pasta-con-espinacas-y-jamon-26468.html,4 comensales,45m,Plato principal,Dificultad media,,[]
Linguini con brócoli,,"['1\nCocine la pasta al dente en suficiente agua con sal. Cocine el brócoli aparte, en suficiente agua con sal.', '2\nColoque en una sartén grande el aceite de oliva, los dientes de ajo y los hongos lavados. Cocine hasta que seque un poco el agua que van soltando.', '3\nPor último, agregue el brócoli picado en trozos medianos. Deje que la mezcla se una bien, agregue el linguini y luego la pimienta y el queso parmesano al gusto. Si no tienes linguini puedes sustituir por cualquier tipo de pasta.']","Valoración: 3,3 (58 votos)","['4 cucharaditas de Aceite de oliva', '2 dientes de Ajo', '500 gramos de Linguini', '1 unidad de Brócoli', '250 gramos de Setas frescas', '100 gramos de Queso parmesano rallado', '1 pizca de Sal', '1 pizca de Pimienta molida']",https://www.recetasgratis.net/receta-de-linguini-con-brocoli-26427.html,4 comensales,30m,Entrante,Dificultad baja,,['Recomendada para vegetarianos']
Lasagna de Vegetales,,"['1\nPique la cebolla finamente y póngala a sofreir en aceite.', '2\nLicúe los tomates con los ajos y agregue al sofrito junto con una taza de agua, sal, pimienta y tomillo.', '3\nDeje cocinar unos 25 minutos y agrege la crema de maíz en ese momento, mezclando muy bien.', '4\nLave muy bien y rebane a lo largo la berenjena y los calabacines.', '5\nColoque una rejilla de metal encima del caldero en que está cocinando la salsa y y coloque las rebanadas durante 5 minutos, para que se aflojen con el vapor.', '6\nCocine la pasta algo más que al dente, escurra y pase por agua natural para enfriar.', '7\nPrepare una bandeja engrasada.', '8\nColoque sucesivamente capas de: salsa bechamel en el fondo, pasta, berenjena, salsa de tomate, rebanadas de queso mozarella, pasta, salsa bechamel, rebanadas de calabacines, salsa de de tomate, queso mozarella, pasta, salsa bechamel.', '9\nAl terminar espolvoree con el queso parmesano rallado, coloque unos puntos de mantequilla y ponga a gratinar en el horno precalentado unos 20 minutos.', '10\nReceta para 8 personas.']","Valoración: 3,3 (57 votos)","['2 paquetes de pasta tipo lasaña', '1 punto de tomillo', '1 berenjena', 'Aceite', '2 calabacines', 'Salsa bechamel', '1 lata grande de crema de maíz', 'Mantequilla 1 lata de tomates enteros', '150 gr. de queso mozarella rebanado', '2 cebollas', '100 gr. de queso parmesano rallado', '3 dientes de ajo', 'Sal y pimienta al gusto']",https://www.recetasgratis.net/receta-de-lasagna-de-vegetales-26424.html,,,,,,
