title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
¡Receta sin levadura fácil!,"¿Quieres hacer pizza en casa, pero no tienes levadura? No hará falta para esta receta de masa de pizza con cerveza, pues su fermento ayudará a la masa a levar sin problema y necesitará poco tiempo para estar lista. Además, la cerveza no cambia el sabor de la masa ni de la pizza, así que no tendrás problemas con esta preparación. La masa de pizza casera quedará fina, crujiente y se cocinará muy rápido. Aunque es cierto que lleva alcohol, este se evapora con el calor, así que los niños pueden disfrutarla sin problema durante la cena o en el almuerzo. ¿Te llama la atención? Sigue leyendo y descubre en RecetasGratis cómo hacer masa de pizza con cerveza y sin levadura.","['1\nPara comenzar con esta masa de pizza sin levadura crujiente, en un bol pon la harina y la sal, mezcla. Haz un hueco en el centro y pon las dos cucharadas de aceite de oliva y la cerveza.', '2\nCon ayuda de una cuchara o espátula amasa todo hasta que estén todos los ingredientes bien mezclados. Quedará una masa pegajosa.', '3\nSaca la masa a la encimera, espolvorea un poco de harina y sigue amasando con las manos hasta que la masa ya no se pegue a las manos.', '4\nForma una bola con la masa, ponla en un bol y tapa la masa con un trapo o con papel film, deja que repose 30 minutos.', '5\nPasado este tiempo pon la masa sobre la encimera y amasa un par de minutos. Ve estirándola con un rodillo hasta dejarla con el grosor que te guste y ve dándole su tradicional forma circular. Saldrá una pizza de unos 27-30 cm. Esta masa ya no sube en el horno.', '6\nPon el horno a 200 ºC con calor arriba y abajo. Pon la masa sobre una placa de pizza para el horno. En este punto, se puede meter la masa al horno 10-15 minutos, o poner los ingredientes y que se dore todo a la vez.Para obtener una masa para pizza crujiente, es mejor meter la masa unos minutos antes y luego rellenarla y volver a meterla al horno.También puedes hacer esta pizza sin levadura en microondas siguiendo los pasos de nuestra receta de pizza en microondas.', '7\nSaca la masa para pizza sin levadura del horno, cúbrela con el relleno que te guste y métela en el horno hasta que esté dorada y crujiente.', '8\nUna vez está dorada la pizza casera, sácala del horno y sirve enseguida antes de que se enfríe.']",,2 comensales,45m,,Dificultad baja,,[],"['250 gramos de harina', '125 mililitros de cerveza', '2 cucharadas soperas de aceite de oliva', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-masa-de-pizza-con-cerveza-74760.html
Receta FÁCIL y deliciosa,"Los ñoquis están considerados como un plato de pasta, aunque su elaboración es distinta y su ingrediente principal es la patata. En esta ocasión, los hemos elaborado sin TACC y sin huevo, por lo que son unos ñoquis sin TACC veganos. Y si buscas unos ñoquis sin TACC sin harina, puedes sustituir la harina de maíz por pulpa de calabaza, espinacas, acelgas o por otro tipo de verdura, dándole, además, color y sabores distintos. Así mismo, cabe destacar que se trata de una receta de ñoquis sin TACC y sin premezcla.Esta es una receta sencilla y diferente sin muchas complicaciones. Desde RecetasGratis te animamos a que pruebes esta receta apta para celíacos y para todos aquellos que no quieran comer harinas refinadas o con gluten. Vamos a por la receta para descubrir cómo hacer ñoquis sin TACC.","['1\nLava bien las patatas. Pon una olla al fuego con agua, añádelas y deja cocer durante 30 minutos o hasta que estén tiernas.', '2\nEscurre del agua de la cocción y deja que se entibien. Pela las patatas, trocéalas y cháfalas con un tenedor o un pasapuré.', '3\nUna vez bien chafadas las patatas, añade las cucharadas de aceite, la sal y la pimienta y mezcla.', '4\nIncorpora ahora la harina poco a poco hasta conseguir una masa uniforme que no sea ni muy líquida ni muy dura. Forma una bola con ella. La masa no se tiene que pegar en exceso en las manos. Tal vez necesites añadirle un poco más de harina o menos, según sea o no de consistente tu masa.\nTruco: también puedes usar premezcla para ñoquis sin TACC en lugar de la harina de maíz.', '5\nVe cogiendo pequeñas porciones y dales una forma un poco alargada. Con un tenedor, presiona un poco cada ñoqui para hacerle unas marcas que harán que la salsa que le pongas agarre mejor. Esta la forma más sencilla y casera de hacer ñoquis sin TACC, o cualquier tipo de ñoqui.', '6\nEngrasa ligeramente una sartén, retira el exceso con un papel y dora un poco los ñoquis. Con esto conseguirás que los ñoquis no se deshagan a la hora de cocerlos.', '7\nPon abundante agua a calentar y, cuando hierva, incorpora los ñoquis caseros sin TACC y deja que se cocinen. Ten en cuenta que estarán enseguida, de manera que cuando veas que suben ligeramente a la superficie, querrá decir que están listos para retirarlos con una espátula.', '8\nSirve enseguida los ñoquis sin TACC acompañados de tu salsa favorita. En nuestro caso, hemos optado por una salsa boloñesa, pero también podrías hacer salsa carbonara o la que más te guste.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.']",,4 comensales,1h 30m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin gluten']","['4 patatas medianas', '2 cucharadas soperas de aceite de oliva', '1 cucharada postre de sal', '1 pizca de pimienta negra recién molida', '175 gramos de harina de maíz']",https://www.recetasgratis.net/receta-de-noquis-sin-tacc-74752.html
Espaguetis con pesto siciliano y endibia,"La preparación que te traemos en esta oportunidad es un festín al más puro sabor italiano. Con motivo del Día Mundial de la Pasta (25 de octubre) prepararemos una receta homenaje a uno de los platos más icónicos y universales del a cocina italiana.Se trata de una receta de espaguetis con pesto siciliano y endibia, tan aromática como se escucha. Inunda tu cocina de los aromas del tomate, la albahaca y el queso parmesano con esta preparación sencilla, pero muy completa.Además, para elaborarla, hemos elegido una de las 6 nuevas variedades de tomate frito Orlando: el tomate Orlando Clásico, un tomate frito con un sabor tradicional y equilibrado que se adaptará a todos los paladares en casa. Para recrear este platillo, nos hemos inspirado en el libro de recetas de Orlando, una propuesta con platos elaborados por el chef Iván Sáez que podrás encontrar en su página web de forma totalmente gratuita como parte de la campaña #MásQueUnTomate.Además de esta deliciosa pasta de tomate y pesto casera, podrás encontrar otras preparaciones vegetarianas o con carnes, todas acompañadas de su nueva línea de tomates fritos. ¡Desde ya te adelantamos que son increíbles!Descubre cómo hacer espaguetis con pesto siciliano y endibia, una de esas recetas de otoño con la que podrás sorprender a todos y lucir como un auténtico o auténtica chef de la cocina italiana. ¡A cocinar!","['1\nPara comenzar con esta receta de espaguetis con pesto siciliano y endibia, prepara el pesto. Lo ideal es hacerlo en un mortero, pero también puedes prepararlo en una miniprimer. Echa los piñones, la albahaca y un ajo picado.', '2\nCuando los ingredientes se trituren y se integren, vierte poco a poco aceite de oliva y ve triturando hasta que la mezcla emulsione.', '3\nAñade el queso parmesano rallado y continúa triturando.', '4\nUna vez tengas el pesto listo, resérvalo y continúa con la receta.', '5\nCuece la endibia en agua hirviendo durante 3 minutos con una pizca de sal y una pizca de azúcar. Luego, sácala y espera a que se enfríe para cortarla por la mitad.', '6\nEn una sartén con mantequilla sella la endibia hasta que dore.', '7\n¡Hora de preparar la pasta! Hazlo siguiendo las indicaciones del fabricante y cuela el agua.', '8\nEn una sartén grande, sofríe los espaguetis con sal, orégano, ajo y la guindilla pequeña. Baña en salsa de tomate Orlando Clásico y mezcla todo. ¡El resultado será una salsa casera con espagueti súper aromática!', '9\nEmplata los espaguetis con pesto siciliano y endibia. Espolvorea queso parmesano rallado.', '10\n¡Ahora solo queda deleitarse con el riquísimo sabor del pesto en combinación con el tomate y el romero! El otoño es temporada de endibias, así que también es una perfecta oportunidad para aprovechar esta verdura que le dará equilibrio al plato.Si quieres preparar más recetas con tomate frito, ¡no te detengas aquí! Sabemos que disfrutarás estas:Albóndigas con salsa de tomate y champiñonesPizza caseraBacalao con tomate y pimientosPavo en salsa de tomatePodrás preparar esta y más recetas con tomate frito Orlando, elige cualquiera de las variedades que más se adapte a tus gustos y disfruta.']",,2 comensales,1h 30m,,Dificultad baja,,"['Recomendada para vegetarianos', 'Recetas italianas']","['200 gramos de espaguetis', '25 gramos de albahaca fresca', '25 gramos de piñones', '1 pizca de orégano seco', 'Sal al gusto', '1 pizca de azúcar', '1 guindilla pequeña', '2 dientes de ajo', '1 chorro de aceite de oliva', '1 vuelta y media de molinillo de pimienta', '75 gramos de queso parmesano rallado', '1 endibia', '75 gramos de tomate Orlando Clásico']",https://www.recetasgratis.net/receta-de-espaguetis-con-pesto-siciliano-y-endibia-74728.html
Raviolis de calabaza y queso,"Los raviolis, típicos en Italia, son un tipo de pasta rellena en su interior de carne, pescado, verduras o queso. Normalmente, su forma es cuadrada, pero hay diversas formas de prepararla. Los raviolis suelen acompañarse con salsas, como una salsa pomodoro, pesto, mantequilla, nata, e infinidad de salsas que darán el toque final a los raviolis. En esta oportunidad, vamos a preparar una receta de raviolis de calabaza, con un punto dulce y delicioso muy típico de este ingrediente otoñal. Además, le agregaremos otros toques para dar un punto muy interesante a la preparación. Si quieres saber más, sigue leyendo y descubre cómo hacer raviolis de calabaza, ¡una receta que te va a encantar!","['1\nRalla el queso parmesano y aplasta un poco el queso ricotta con un tenedor. Pica las hojas de la albahaca fresca.Asa en el horno la calabaza a pequeños trozos. Ponles un poco de aceite y sal y deja cocinar durante 25 minutos a 180 ºC. Remueve cada 10 minutos para que se haga bien por todos los lados.\nTruco: si no tienes albahaca fresca, puedes usar albahaca seca como última opción.', '2\nPon en una sartén un poco de aceite para rehogar la ricotta. Añade pimienta, parte de la albahaca y orégano, remueve a fuego bajo y forma una pasta espesa. Cuando veas que todos los ingredientes están integrados, retira del fuego.', '3\nUna vez asada la calabaza, este será el aspecto que obtendrá. Debe de estar tierna para poder aplastarla con facilidad, por eso no conviene que el horno tenga una temperatura demasiado alta, o quedará seca.Reserva, porque ahora vas a preparar la salsa para los raviolis de calabaza.', '4\nVierte en una sartén la crema de coco o nata si lo deseas. Baja el fuego y añade nuez moscada, cebolla en polvo, y el resto de albahaca fresca y picada que te queda, dale un punto de sal a la salsa. Si no tienes nata, puedes preparar la tuya propia siguiendo nuestra receta de crema de leche casera.', '5\nRemueve y, pasados tres minutos y con los ingredientes fusionados, añade los quesos. Continúa removiendo hasta que se funda y quede la crema lista, no conviene dejar cocer más tiempo del indicado para que no quede demasiado pastosa al entibiarse.Reserva y ya tendrás la salsa para acompañar los raviolis de calabaza lista.', '6\nPrepara la pasta fresca para ir formando los raviolis. Intenta cortar la masa a cuadrados iguales y, sobre un papel de horno, déjalos de un tamaño de, aproximadamente, 5x5 cm. Ve rellenando con pequeñas raciones de queso y de calabaza. Ayúdate con un tenedor, pues será más sencillo agarrar las raciones. Deposita justo en el centro de la masa formando pequeños montículos.\nTruco: recuerda dejar siempre la pareja de masa sin rellenar para cerrar el ravioli.', '7\nCon sumo cuidado, deposita justo encima la capa de masa vacía para que empareje y puedas cerrar el ravioli, sella los bordes con un tenedor si no tienes otro tipo de utensilio dentado.Una vez hayas terminado de montar cada pieza de ravioli, lleva al congelador por media hora, ten cuidado de que no queden muy juntos para evitar que se peguen unos con otros.', '8\nMientras tanto, pon una olla amplia con abundante agua a hervir. Saca los raviolis y ve echando raciones pequeñas, deja cocer la pasta 6 minutos cada tanda sin tocarlos y saca para que escurran.', '9\nVierte la salsa de crema en una fuente y deposita los raviolis de calabaza encima, será toda una delicia degustar este magnífico plato con unos sabores y aromas increíbles, además de sanos y caseros.']",Valoración: 5 (2 votos),3 comensales,1h 30m,Plato principal,Dificultad media,,"['Recomendada para vegetarianos', 'Receta sin azúcar', 'Recetas italianas']","['1 hoja de masa fresca para cocer (debe estar fría)', '150 gramos de queso ricotta', '300 gramos de calabaza pelada y limpia', '200 mililitros de crema de coco para cocinar o nata', '100 gramos de queso parmesano rallado', '50 gramos de quesos variados (4 quesos)', '1 pizca de orégano', '1 pizca de pimienta negra molida', '1 rama de albahaca fresca', '1 pellizco de nuez moscada en polvo', '1 pellizco de cebolla en polvo', '1 chorro de aceite de oliva', 'Sal al gusto']",https://www.recetasgratis.net/receta-de-raviolis-de-calabaza-74723.html
Lasaña de calabaza y queso,"¡De nuevo volvemos a la carga con recetas de calabaza! El otoño es la mejor época para utilizar la calabaza y realizar todo tipo de recetas, sean dulces o saladas, y son muchas las vitaminas y las propiedades que podemos aprovechar de las calabazas. En esta ocasión, vamos a preparar una receta de lasaña de calabaza. Aunque tiene muchos pasos a seguir, la preparación es sencilla y merecerá mucho la pena cuando puedas disfrutar del resultado final. Lograrás sorprender a tus invitados con una receta única y con todo el sabor y la esencia de esta época. ¡Descubre cómo hacer lasaña de calabaza fácil y a comer!","['1\nHay distintas formas de cocinar la calabaza, aquí te enseñaremos una que es espectacular y queda excelente y en su punto, aunque si no optas por esta opción, podrás cocer la calabaza de forma convencional, en una cacerola con un vasito de agua unos 20 minutos o hasta que reblandezca.Puedes comprar la calabaza ya cortada y sin semillas en una bolsa, o preparar 300 g de calabaza. En cualquier caso, una vez cortada déjala en una bolsa y pínchala con un tenedor varias veces. Lleva al microondas por 10 minutos y verás que queda perfecta.', '2\nDeja que repose en el microondas mientras continúas con los pasos, así evitarás quemaduras. Pela, limpia y pica la cebolla, el ajo y el puerro; este último solo hasta la mitad, deshecha el tallo más verde.', '3\nEn un recipiente hondo y amplio, hidrata las láminas de pasta para la lasaña de calabaza, llena de agua muy caliente y ve depositando las laminas una por una evitando que se peguen entre sí.', '4\nMientras las láminas se hidratan, sofríe 4 minutos la cebolla junto con el puerro y el ajo, añade pimienta molida y nuez moscada, remueve.', '5\nYa puedes sacar la calabaza del microondas. Abre la bolsa y aplasta con un tenedor, será muy sencillo. Añade el puré de calabaza a la sartén con el sofrito, y agrega dos cucharadas bien colmadas de ricotta. Mezcla hasta que queden totalmente integrados los ingredientes y formen una pasta. Retira del fuego y reserva.', '6\nPrepara una salsa bechamel para lasaña con textura ligera y a su vez cremosa. Para ello, tuesta la harina con un chorro de aceite y, poco a poco, vierte la leche tibia a pequeños chorritos mientras remueves para evitar que se formen grumos. Una vez tengas la consistencia de la bechamel, dale un punto de sal, y añade la albahaca fresca picada y un poquito de orégano. Remueve y retira del fuego. Si quieres hacer una bechamel vegana, puedes usar leche de soja.\nTruco: prepara el horno y precalienta a 200 ºC arriba y abajo.', '7\nSaca las láminas del recipiente y deja que escurran el agua sobre un colador grande. Después, utiliza una bandeja o una fuente aceitada para que las láminas no se queden adheridas, y ve montando la lasaña. Pon dos láminas con una pequeña separación entre sí, deposita dos cucharadas de mezcla de calabaza, y vierte la bechamel con una cucharada de parmesano. Tapa con una lámina y vuelve a rellenar de la misma forma hasta terminar tu lasaña de calabaza vegetariana.\nTruco: si quieres hacer una lasaña de calabaza vegana, puedes omitir el queso o utilizar un queso vegano.', '8\nEn la cuarta y última lámina solo pondrás la bechamel y el queso parmesano de manera más generosa. Espolvorea por encima pimentón de la vera o pimentón ahumado para darle un toque muy especial que acentuará su sabor y olor. Introduce en el horno a 180 ºC a media altura solo con la resistencia de arriba encendida, deja 20 minutos.', '9\nCuando saques la lasaña de calabaza y queso a la mesa, espolvorea queso rallado para decorar. Para acompañar, puedes preparar una ensalada de endibias, tomate y anchoas. ¡Buen provecho!']",,4 comensales,1h 30m,Plato principal,Dificultad media,,"['Recomendada para vegetarianos', 'Receta sin azúcar', 'Recetas al horno', 'Recetas italianas']","['300 gramos de calabaza', '1 trozo de cebolla dulce', '2 dientes de ajo', '1 puerro', '1 pellizco de orégano', '1 pellizco de nuez moscada', '1 cucharadita de sal', '1 pizca de pimienta negra molida', '2 cucharadas soperas de harina común', '3 vasos de leche semidesnatada', '6 hojas de albahaca fresca', '1 taza de parmesano rallado', '3 cucharadas soperas de 4 quesos rallados (opcional)', '8 láminas de lasaña', '2 cucharadas soperas de queso ricotta', '2 pellizcos de pimentón dulce de la vera o ahumado']",https://www.recetasgratis.net/receta-de-lasana-de-calabaza-74718.html
Espagueti rojo con crema,"Sin duda hay un sinfín de recetas con espagueti, pero simplemente no puede faltar en tu mesa un rico espagueti rojo con crema, se volverá uno de tus platillos favoritos, pues con solo verlo ya puedes imaginarte su sabor y su aroma a tomate mezclado con deliciosas hierbas y crema. Es una receta muy práctica y sencilla de preparar, lo mejor de todo es que los ingredientes se consiguen muy fácilmente todo el año, por lo que será tu aliado a la hora de la comida. Si te animas a preparar un plato clásico y que nunca falla, no dejes de leer y descubre cómo hacer espagueti rojo con crema en RecetasGratis.","['1\nPara comenzar la receta de espagueti con tomate, cocina la pasta de acuerdo con las instrucciones de su empaque y reserva. Mientras tanto, licua las piezas de jitomate, el trozo de cebolla y el diente de ajo.', '2\nEn una olla a fuego medio, agrega las dos cucharadas de mantequilla. Después, con ayuda de un colador, vierte el puré de tomate y mezcla.', '3\nAñade el cubo de consomé de pollo y deja que se disuelva. Agrega la pizca de hierbas italianas (albahaca, tomillo, romero, mejorana y orégano) y sazona a tu gusto con sal.\nTruco: Si no encuentras las hierbas italianas o sazonador, no te preocupes es totalmente opcional, pero si quieres darle un toque de sabor extra puedes ponerle al menos un poco de orégano, albahaca y tomillo.', '4\nCuando comience a hervir, añade la media crema y mezcla para que se incorpore perfectamente. La tonalidad irá de un rojo a un naranja. Cocina unos minutos hasta que comience a espesar un poco y tenga una textura más cremosa.', '5\nEn un recipiente vacía el espagueti previamente cocinado y vierte de a poco la salsa de tomate para espagueti que preparaste, mezcla hasta que se incorpore bien con el espagueti.', '6\n¡Y listo! Sirve tu espagueti o spaguetti rojo con crema con un poco de crema ácida o agria si lo prefieres, queso fresco rallado y a disfrutar.']",,5 comensales,30m,,Dificultad baja,,[],"['200 gramos de espagueti', '2 cucharadas soperas de mantequilla sin sal', '1 lata de media crema', '5 piezas de jitomates medianos', '1 trozo de cebolla', '1 diente de ajo', '1 cubo de consomé de pollo', '1 pizca de hierbas italianas (opcional)', '1 cucharadita de queso fresco', '1 cucharadita de crema ácida o agria']",https://www.recetasgratis.net/receta-de-espagueti-rojo-con-crema-74627.html
Receta de ñoquis alemanes,"Los späetzle o spaetzle son una forma de pasta que se acompaña principalmente con carnes o se consume como plato único con otros ingredientes. Es una pasta muy popular en Alemania, específicamente en la región de Suabia, aunque también es conocida en países del sur de América como Argentina, donde también se le conoce como ñoquis alemanes.La receta es muy simple y está compuesta por harina, huevo, sal y agua. Para prepararla se utiliza una máquina especial llamada ""spaetzlera"" (es una especie de prensa o también un colador especial) que permite hacerlos uniformes y de manera más rápida. Pero si no cuentas con ella, puedes hacerlos sin inconvenientes utilizando una tabla y un cuchillo. Descubre todos los pasos de su elaboración y descubre cómo hacer spatzles en casa en RecetasGratis.","['1\nColoca la harina en un bol grande. En otro recipiente bate ligeramente el huevo con una pizca de sal.', '2\nColoca el huevo batido en el medio de la harina.', '3\nMezcla la harina con el huevo y ve agregándole agua tibia hasta formar una masa muy blanda, bien aguada.', '4\nUna vez que tengas la masa, pon en una olla bastante agua a hervir. Cuando ya esté en ebullición, baja el fuego al mínimo y coloca arriba de la olla la spaetzlera.Ve vertiendo la masa sobre la spaetzlera y presiona bien para que vaya cayendo la pasta en la olla. Retirla la máquina de la olla y, cuando los spaetzle suban a la superficie, quítalos con una espumadera y reserva. Hazlo por tandas.', '5\nEn caso de no tener la spaetzlera, puedes hacer los späetzle colocando la masa en una tablita al lado de la olla y con un cuchillo ir echando pequeñas porciones de masa en el agua. Cuanto más pequeñas sean las porciones, el spaetzle quedará mejor.', '6\nUna vez que hayas echado todos los spaetzles puedes echar un chorrito de aceite para que no se peguen. ¡Estarán listos para servir!Descubre otras recetas de pasta fácil y deliciosas en RecetasGratis:Sorrentinos de calabaza y quesoÑoquis de papa argentinosÑoquis de calabaza']","Valoración: 4,5 (2 votos)",5 comensales,30m,,Dificultad muy baja,,[],"['600 gramos de harina 0000', '1 huevo', '1 pizca de sal', 'agua tibia']",https://www.recetasgratis.net/receta-de-spatzle-o-spaetzle-74609.html
Ñoquis de calabaza sin harina,"Una variante muy sabrosa de los clásicos ñoquis de papa son los ñoquis de calabaza sin harina. En esta oportunidad, utilizaremos el zapallo cabutia para realizar la pasta. La particularidad de esta verdura es que es muy sabrosa y fibrosa, con lo cual le da una característica muy particular de color, sabor y textura a los ñoquis.RecetasGratis te enseña a realizar este plato simple, que no difiere mucho en sus pasos de la receta de los ñoquis de papa. La principal diferencia radica en que el puré que se utilizará será de zapallo en lugar de papa y que esta receta utiliza harinas sin gluten. Estos ñoquis de zapallo sin gluten son tan deliciosos que con un simple chorrito de aceite de oliva ya se convierten en un platillo espectacular. Sigue leyendo y descubre con nosotros cómo hacer ñoquis de calabaza sin harina.","['1\nCorta la calabaza o el zapallo cabutia por la mitad y quítale las semillas con una cuchara. En una fuente para horno coloca unos 5 cm de agua y pon el zapallo. Salpimienta y agrégale un chorrito de aceite.', '2\nLleva al horno durante 1 hora a temperatura media (180 ºC). Estará listo cuando claves un tenedor y no esté duro.', '3\nUna vez que lo saques del horno y se enfríe, con una cuchara saca la pulpa cocida del interior de la calabaza hasta dejar solo la cáscara dura. Coloca la pulpa en un bol y písala hasta que obtenga la consistencia de un puré. Agrega sal, pimienta y nuez moscada. Mezcla.', '4\nAgrega un huevo e incorpóralo al puré sazonado. Mezcla las dos harinas y échalas en la preparación, mezcla todo muy bien.', '5\nCuando todos los ingredientes estén bien integrados, pon la masa en una superficie plana enharinada pero no la amases. Cubre el bollo con un poco más de harina sin gluten y ve cortando trozos y estirándolos en forma cilíndrica hasta alcanzar 1 o 2 cm de espesor.', '6\nCorta la masa de los ñoquis de calabaza sin TACC en trozos chicos, del tamaño que le quieras dar a tus ñoquis. Cada trozo tiene que estar bien enharinado para que no se pegue.', '7\nPara darle la típica forma puedes usar una ñoquera, pero si no tienes lo puedes hacer con un tenedor o cualquier elemento de cocina que te permita darle forma. Debes apoyar cada ñoquis ejerciendo presión en la ñoquera o tenedor, y rodándolo para que se enrosque.', '8\nEn una olla hierve abundante agua con un poco de sal. Luego, coloca los ñoquis de calabaza sin gluten. Una vez comiencen a flotar, déjalos cocinarse durante 2 minutos y quítalos con una espumadera. Estarán listos para servir y acompañar con cualquier salsa que sea de tu gusto o con aceite.']",Valoración: 4 (3 votos),4 comensales,1h 30m,,Dificultad baja,,[],"['500 gramos de zapallo cabutia', '1 huevo', '2 cucharaditas de sal', 'pimienta', '1 cucharadita de nuez moscada', 'aceite de oliva', 'agua', '150 harina de trigo sarraceno', '150 harina de arroz']",https://www.recetasgratis.net/receta-de-noquis-de-calabaza-sin-harina-74543.html
¡Receta italiana con salsa amatriciana!,"La salsa amatriciana es una preparación italiana muy sencilla que se disfruta en espaguetis y otros tipos de pastas. Procede de Amatrice, en la región del Lacio, y se elabora con tomates, guanciale, ají y otros ingredientes. En esta ocasión, vamos a preparar una receta de espaguetis a la amatriciana o pasta all'amatriciana, como es su nombre en italiano. Si no tienes guanciale, puedes usar panceta o bacon, aunque si puedes encontrarlo te recomendamos que lo uses para que te deleites con el sabor auténtico de esta deliciosa salsa italiana. El guanciale es un tipo de panceta hecho con la mejilla del cerdo que se deja curar con sal y pimienta negra durante varias semanas. De todos modos, verás que de cualquier forma que lo prepares quedará increíble y se convertirá en una excelente opción para las comidas o las cenas. ¡Descubre cómo hacer espaguetis a la amatriciana y disfruta!","['1\nPela los tomates y trocéalos en cubos pequeños. Si los tomates no son muy grandes, utiliza un par más para que la salsa sea abundante.', '2\nSofríe la panceta y el chile. Para ello, corta el chile en aros y la panceta en trozos medianos. De esta forma, cuando se esté sofríendo el tocino se deshará y quedará más pequeño. Pon unas gotitas de aceite en la sartén y rehoga sin dejar que se tueste demasiado, con tres minutos bastará.', '3\nUna vez sofritos, saca de la sartén y reserva. Ahora, en el propio jugo del sofrito de panceta, sofríe los cubos de tomate a fuego medio durante tres minutos. No dejes de remover para que, poco a poco, los trozos de tomate se vayan deshaciendo y convirtiéndose en una espectacular salsa amatriciana casera.', '4\n¡Importante! Añade al sofrito de tomate sal, azúcar y pimienta negra molida, esto le dará un toque de sabor más intenso y sabroso, mientras que el azúcar mermará la acidez del tomate. Puedes utilizar azúcar blanca si no tienes morena.', '5\nYa está lista la salsa amatriciana. Ahora agrega el sofrito de panceta anterior y baja el fuego mientras le das unas vueltas para integrar los sabores. Tapa durante un par de minutos a fuego lento, apaga el fuego y deja que repose mientras continúas con el plato.', '6\nLlena un recipiente hondo con agua y un pellizco de sal, deja que cueza y rompa a hervir. Añade la pasta y deja que con el vapor vaya hundiéndose dentro del recipiente. Remueve de inmediato para que se vaya soltando y cocina hasta que esté al dente (aproximadamente 8 minutos).', '7\nEscurre la pasta y calienta un poco la salsa si lo precisa, añade al plato los ingredientes y espolvorea queso rallado si gustas. No necesita nada más que comerlos al instante para deleitarse con los aromas y sabores de Italia en estos espaguetis a la amatriciana.']",,2 comensales,45m,Plato principal,Dificultad media,,"['Receta sin lactosa', 'Recetas italianas']","['2 tomates grandes y maduros', '150 gramos de guanciale o panceta de cerdo', '1 trozo de chile verde o ají', '1 cucharada sopera de azúcar morena o blanca', '1 cucharadita de sal y pimienta negra recién molida', '1 chorro de aceite de oliva', '2 manojos de tallarines', '3 cucharadas soperas de queso curado de oveja ( rallado)']",https://www.recetasgratis.net/receta-de-espaguetis-a-la-amatriciana-74511.html
Pizza de camarones,"Si te gusta la pizza, esta variedad que te traemos en RecetasGratis puede llegar a convertirse en una de tus preferidas. A decir verdad, sabemos que hay tantas y tan variopintas combinaciones que nunca acabaríamos de probarlas todas, pese a todo, siempre es toda una aventura encontrar combinaciones para probar, pues sabemos que no nos dejarán indiferentes.Esta vez te traemos una riquísima receta de pizza de camarones, es deliciosa y seguro que te va a enganchar su crujiente masa y su tierna miga, puesto que la hemos preparado con una sencilla masa de textura un poco más gruesa y tierna. ¡Descubre cómo hacer pizza de camarones y disfruta de cada bocado!","['1\nEl primer paso de esta pizza con camarones fácil será preparar la masa para pizza, para la que solo necesitarás 5 ingredientes básicos y una hora de reposo. Introduce el aceite y el agua en un recipiente o amasadora.', '2\nAñade los ingredientes secos: la harina, la sal y, por último, la levadura. Amasa durante 10 minutos. Si necesitas más harina para que la masa sea más maleable, espolvorea un poco sobre ella.\nTruco: Si no tienes amasadora, puedes hacer la masa a mano, pero requerirá más tiempo.', '3\nCuando la masa esté lisa y homogénea, haz una bola y déjala reposar por una hora en un recipiente tapado y enharinado. Luego, sácala y amásala un poco para extraer el aire.', '4\nQuita las patas, la cabeza y la piel de los camarones frescos; resérvalos para luego. También puedes usar camarones congelados, pero deberás descongelarlos previamente. Precalienta el horno a 180 °C con calor arriba y abajo.', '5\nAcomoda la masa en un recipiente para horno o una bandeja previamente enharinada. Si necesitas aplanarla con un rodillo no dudes de utilizarlo, la idea es que la masa quede bien extendida.', '6\nAl momento de rellenar la pizza de camarones, ten en cuenta que el tomate frito debe colocarse siempre de primero junto con las especias para evitar que estas se quemen. Luego, añade las lonchas de queso en tiras gruesas y la cebolla cortada en pluma.Si prefieres preparar tu propia salsa de pizza casera, no dudes en consultar nuestra receta de salsa de tomate y cebolla para pizza.', '7\nAñade el resto de ingredientes repartidos a tu gusto y espolvorea el queso rallado por encima. Coloca la pizza en el horno a media altura y deja que cocine por 40 minutos a 180 °C. Todos los hornos son diferentes, así que si percibes que necesita más o menos tiempo, comprueba el estado de tu pizza después de 30 minutos.', '8\n¡Listo! Ya tendrás lista tu magnífica pizza de camarones con champiñones. Si te sobra, puedes guardarla en el congelador envuelta en papel de aluminio y calentarla en el horno por 15 minutos cuando vayas a consumirla.']",,4 comensales,1h 30m,Plato principal,Dificultad media,,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas al horno', 'Recetas italianas']","['300 gramos de harina de fuerza (gran fuerza 0)', '1 vaso de agua tibia', '1 paquete de levadura seca para pan', '1 cucharadita de sal', '2 cucharadas soperas de aceite de oliva suave', '20 camarón fresco', '2 piezas de tomate pera', '1 taza de tomate frito', '1 pieza de cebolleta tierna', '1 cucharada postre de orégano', '1 pieza de pimiento morrón a tiras', '10 champiñones', '4 cucharadas soperas de queso parmesano', '4 lonchas de queso cremoso de barra', '1 cucharada postre de albahaca', 'Pimienta al gusto']",https://www.recetasgratis.net/receta-de-pizza-de-camarones-74458.html
