title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Receta FÁCIL y RÁPIDA (Con y Sin Gluten),"Pavías de merluza, una tapa típica de muchos bares de la zona de Andalucía. Así, es muy habitual encontrar pavías de merluza en Cadiz o degustar las tradicionales pavías de merluza sevillanas. En todas las regiones estaremos ante unos bocados de merluza rebozada realmente exquisitos, a la par que sencillos y rápidos de hacer. Por este motivo, podemos prepararlos en casa sin problemas, teniendo la oportunidad de comerlos siempre que nos apetezcan.Estos bocados son también conocidos con el nombre de soldaditos de pavía, y se elaboran preparando una masa hecha con harina, agua, cerveza, ajo y perejil. El ajo y el perejil le dan un toque riquísimo al pescado y con el rebozado de cerveza queda tan crujiente y tan bueno que a todos les encantará. Si lo pruebas, repetirás seguro, de manera que no lo dudes, sigue leyendo y aprende en RecetasGratis la receta de pavías de merluza.","['1\nCortamos la merluza en trozos similares y salamos al gusto. Recomendamos retirar las espinas con antelación para no encontrarnos sorpresas al comer las pavías de merluza.', '2\nEn un bol, ponemos todos los ingredientes para preparar el rebozado. Así, añadimos el ajo y el perejil picados, la harina tamizada con la levadura, la cerveza y un poco de agua. Removemos todo hasta que nos quede una crema espesita. Si hace falta, añadimos más agua.', '3\nAhora que tenemos la masa para hacer pavías de merluza preparada, introducimos en ella los tacos de pescado y los cubrimos bien.', '4\nPonemos una sartén con abundante aceite al fuego y, cuando esté caliente, freímos los soldaditos de pavía. Para evitar que se peguen entre ellos, aconsejamos agregarlos en tandas de pocas cantidades. Los vamos moviendo para que se doren por todos lados.', '5\nVamos sacando las pavías de merluza cuando estén doradas y las ponemos en un plato con papel de cocina para absorber el exceso de aceite. Repetimos estos pasos hasta tener todos los trozos de merluza rebozada listos.', '6\nServimos las pavías de merluza para disfrutarlas calientes. Podemos acompañarlas con la salsa que más nos guste, como una mayonesa casera o alioli. Así mismo, podemos preparar un menú hecho a base de tapas andaluzas, incluyendo calamares a la andaluza o tortillitas de camarones.']","Valoración: 4,3 (4 votos)",4 comensales,45m,Entrante,Dificultad baja,,[],"['1 merluza', '200 gramos de harina', '100 mililitros de cerveza', '1 vaso pequeño de agua', '1 diente de ajos', '1 puñado de perejil', '1 cucharada postre de levadura', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-pavias-de-merluza-72702.html
Bacalao con Tomate y Pimientos,"Bacalao con tomate y pimientos, un plato para sorprender a todos. El bacalao es un tipo de pescado blanco, por lo que contiene poca grasa, que podemos cocinar de múltiples formas. Si queremos preparar platos saludables y ligeros, lo ideal es hacer el bacalao a la plancha o al horno. Ahora bien, si nos apetece disfrutar de un plato más contundente, sin mirar tanto el número de calorías, este bacalao con tomate es perfecto.Este es un plato muy completo, ideal para conseguir que los más pequeños coman pescado y verduras al mismo tiempo, ya que, además de pimientos, podemos añadir otros vegetales y hortalizas, como berenjenas o zanahoria. Sigue leyendo y descubre el paso a paso en RecetasGratis para aprender cómo hacer bacalao con tomate y pimientos.","['1\nLo ideal es comprar el bacalao desalado, no obstante, si queremos desalar el bacalao nosotros, tendremos que dejarlo a remojo durante 24-48 horas, cambiando el agua 2-3 veces. Despues, secamos el pescado, ponemos en un plato la harina y pasamos cada trozo de bacalao por ella para rebozarlo.', '2\nPonemos una sartén con un vaso de aceite y, cuando esté caliente, freímos el bacalao a fuego fuerte, dejándolo dos minutos por cada lado. Sacamos y reservamos los trozos para hacer luego el bacalao con tomate y cebolla.', '3\nPicamos la cebolla y los pimientos. Ponemos una cazuela o sartén amplia al fuego, añadimos un poco de aceite y pochamos la cebolla y los pimientos durante 10 minutos aproximadamente. Pasado este tiempo, añadimos los dos tipos de tomate, un poquito de sal y pimienta. Lo dejamos cocinar. Nosotros hemos optado por pimientos verdes, sin embargo, también se puede hacer el bacalao con tomate y pimientos del piquillo o pimientos rojos. Así mismo, el lugar de tomate triturado se puede utilizar tomates naturales bien picados.', '4\nCocinamos los ingredientes anteriores hasta que veamos que el tomate está frito. En este punto, probamos de sal y rectificamos si es necesario. Decidimos también si debemos añadir más pimienta o no.', '5\nCuando ya esté el sofrito listo, incorporamos los trozos de bacalao y dejamos que se cocine todo junto durante cinco minutos. Esta es una receta de bacalao fresco con tomate, pero lo cierto es que también se podría hacer con bacalao congelado, dejando que se descongele previamente.', '6\n¡Apagamos el fuego y listo para servir! Este plato de bacalao con tomate y pimientos es toda una delicia, puesto que combina varios sabores y texturas y nos permite disfrutar de una receta de pescado completa y práctica. Podemos acompañar el bacalao con tomate frito con patatas asadas o una ensalada de arroz, por ejemplo.']",Valoración: 5 (4 votos),4 comensales,45m,Plato principal,Dificultad baja,,[],"['4 trozos de bacalao desalado', '3 cucharadas soperas de harina', '250 gramos de tomate triturado', '200 gramos de tomate frito', '1 cebolla', '3 pimientos verdes', '1 pizca de sal', '1 vaso de aceite de oliva', '1 pizca de pimienta']",https://www.recetasgratis.net/receta-de-bacalao-con-tomate-y-pimientos-72691.html
Pavías de Bacalao Caseras,"Las pavías de bacalao, conocidas también como soldadidos te pavía o soldados de pavía, constituyen una de las tapas más populares de Andalucía y Madrid, ya que resultan un clásico de ambas gastronomías. Estos bocados de pescado se elaboran mediante un rebozado muy crujiente y sabroso, que permite disfrutar de este alimento de una forma diferente y conseguir que los más pequeños también lo consuman. En definitiva, es una receta sencilla de pescado que también se puede preparar con merluza, que es excelente para el aperitivo aunque también se puede servir como segundo plato.En Madrid es tradición ver los soldaditos de pavía acompañados de pimiento rojo asado, mientras que en Andalucía suele servirse con una salsa tártara o mayonesa. En cualquier caso, sigue leyendo para descubrir en RecetasGratis cómo hacer pavías de bacalao.","['1\nEn un bol ponemos los huevos, los ajos picados y el perejil. Lo batimos bien para empezar a preparar el rebozado de las pavías de bacalao.', '2\nAñadimos parte de la harina y la levadura, removemos y vamos vertiendo la cerveza, el resto de la harina y un poquito de sal. Ha de quedar una masa cremosa, ni muy espesa ni muy clara.\nTruco: Para hacer las pavías de bacalao sin gluten simplemente debemos sustituir la harina de trigo por maicena o harina de garbanzos.', '3\nPonemos una sartén con abundante aceite al fuego, que debe estar a temperatura media. Mientras se calienta, cortamos el bacalao desalado en tiras y lo pasamos por la masa que hemos preparado. Para desalar el bacalao solo debes limpiarlo bien, ponerlo en un colador con la piel para arriba, dejarlo en agua fría y guardarlo en la nevera unas 48 horas, cambiando el agua cada 6 horas.', '4\nCuando el aceite esté caliente, freímos las pavías de bacalao por ambos lados. Recomendamos cocinar el bacalao rebozado en tandas pequeñas, ya que si introducimos muchos trozos pueden pegarse unos con otros.', '5\nConforme se fríen los soldaditos de pavías, las vamos sacando y poniendo en un plato con papel absorbente para retirar el exceso de aceite.', '6\n¡Listo! Ya podemos servir las pavías de bacalao caseras con pimiento rojo asado, salsa tártara o mayonesa casera. Y recuerda que mi blog Cocinando con Montse encontrarás muchas más recetas tradicionales como esta.']","Valoración: 4,5 (2 votos)",4 comensales,30m,Entrante,Dificultad baja,,[],"['500 gramos de bacalao desalado', '2 huevos', '125 mililitros de cerveza', '1 cucharada postre de levadura', '125 gramos de harina', '2 dientes de ajo', '1 puñado de perejil', '1 vaso de aceite de oliva']",https://www.recetasgratis.net/receta-de-pavias-de-bacalao-72452.html
Lubina al Horno con Verduras,"La lubina, también conocida como róbalo o robaliza, es un pescado blanco muy popular rico en proteínas, vitamina B3, vitamina B12 y Ácido Fólico. Además, acompañada de verduras, destaca por ofrecernos un plato poco calórico.Cocinada al horno, la lubina queda jugosa y con una guarnición riquísima, ideal para el día a día o fines de semana. Desde RecetasGratis queremos ofreceros esta receta de lubina al horno con verduras, que además de ser especialmente sabrosa, resulta también muy saludable. ¡Empecemos con la receta!","['1\nEn primer lugar, vamos a precalentar el horno a 200º C. En una fuente apta para el horno ponemos un chorrito de aceite de oliva. Pelamos las patatas, las lavamos y las laminamos en láminas no muy gruesas. Cubrimos el fondo de la fuente con las láminas de patatas. Salamos ligeramente y añadimos otro pequeño chorrito de aceite de oliva por encima.', '2\nLavamos bien el calabacín y lo secamos. Lo troceamos en láminas y ponemos una capa de calabacín encima de las patatas. Salpimentamos ligeramente.', '3\nLavamos bien y secamos los pimientos y laminas. Ponemos una capa de pimientos rojo y verde alternando colores encima de las patatas y el calabacín. Añadimos un chorrito pequeño de aceite. Colocamos la fuente dentro del horno y horneamos durante 15-20 minutos, con calor arriba y abajo a 200º C.\nTruco: Sin duda, podemos poner la verdura que más nos guste, o la que tengamos en casa, esta es tan sólo una idea de preparación.', '4\nLa lubina que vamos a utilizar deberá estar limpia de vísceras y de escamas, pediremos en la pescadería habitual que nos la arreglen, de esta forma evitaremos este paso en casa. Salpimentamos el interior de las lubinas, aunque también podemos hacerlo por fuera si lo deseamos.Sacamos la fuente con las verduras del horno y colocamos encima las lubinas, justo encima de la cama de verduras. Horneamos a 200º C con calor arriba y abajo durante 15-20 minutos, según el tamaño de las lubinas.', '5\nServiremos el plato de lubina al horno con verduras rápidamente, nada más sacarlas del horno, acompañando las lubinas con las verduras. Si son grandes, pondremos la mitad de las lubinas a cada comensal. Si son pequeñas, mejor ponemos cuatro en la fuente, una para cada uno.¡Espero que la receta os haya gustado y os invito a que visitéis mi blog Cakes para ti!']",Valoración: 4 (3 votos),4 comensales,45m,Plato principal,Dificultad baja,,['Recetas al horno'],"['2 Patatas medianas', '1 Calabacín', '1 Pimiento rojo', '1 Pimiento verde pequeño', '2 Lubinas de buen tamaño', '1 pizca de Sal', '1 pizca de Pimienta negra recién molida', '1 chorro de Aceite de oliva', '1 vaso de Vino blanco']",https://www.recetasgratis.net/receta-de-lubina-al-horno-con-verduras-72449.html
Bacalao al Horno con Verduras,"Bacalao al horno con verduras, un plato sencillo y saludable. Las recetas de bacalao al horno son una delicia, ya que combinan muy bien con muchos ingredientes. En esta ocasión, aprenderemos a preparar un plato muy fácil, rápido y nutritivo, puesto que al cocinarse en el horno requiere muy poca grasa.Para la realización de esta receta se puede utilizar bacalao desalado o fresco. Igualmente, las verduras se pueden modificar al gusto sin problema. En caso de querer utilizar pescado fresco, para desalarlo simplemente se debe lavar bien, colocar en un colador con la piel hacia arriba, introducir el colador con el bacalao en un recipiente lleno de agua y reservar en el frigorífico. Cada 6 horas se deberá cambiarse el agua, hasta alcanzar un total de 48 horas. Ahora que sabemos cómo desalar el bacalao, vamos a conocer cómo hacer bacalao al horno con verduras fácil y rápido.","['1\nPara preparar la receta de bacalao al horno con verduras y patatas, lo primero será lavar y cortar las cebollas y los pimientos en tiras finas.', '2\nLuego, pelamos y cortamos las patatas bien finas también.', '3\nUna vez listas las verduras, las ponemos todas en una fuente para horno. Agregamos la mitad del vino blanco, aceite y sal, mezclamos y horneamos a 180 ºC durante 10 minutos. Después, sacamos las verduras, removemos y las volvemos a poner en el horno 10 minutos más.', '4\nPasado el tiempo anterior, sacamos la bandeja de las verduras y ponemos encima los lomos de bacalao.', '5\nPreparamos una picada con un par de ajos, perejil y el resto del vino blanco. Sin duda, esto aportará muchísimo sabor a la receta de bacalao con verduras al horno.', '6\nAñadimos la picada sobre el pescado y horneamos el bacalao con las verduras durante 10 minutos. Como ves, el tiempo del bacalao al horno es muy corto, así que asegúrate siempre de cocer primero las verduras.', '7\nSacamos y servimos. Ahora que sabes cómo preparar bacalao al horno con verduras, no dudes en aportar tu toque y añade más vegetales. Por ejemplo, puedes hacer bacalao al horno con calabacín, con zanahoria, con berenjena... En cualquiera de los casos, es recomendable hornear primero las verduras y, después, añadir el pescado, puesto que tarda mucho menos en cocinarse. Este es un plato muy saludable y ligero, que se puede acompañar con una ensalada de tomate, con una ensalada de aguacate o la que más nos guste. Si quieres descubrir más recetas de bacalao fresco o congelado, no dudes en visitar mi blog, Cocinando con Montse.']","Valoración: 3,7 (6 votos)",4 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para perder peso', 'Recetas al horno']","['8 trozos de bacalao desalado', '2 cebollas', '2 pimientos verdes', '1 pimiento rojo', '2 patatas', '150 mililitros de vino blanco', '1 chorro de aceite de oliva', '1 pizca de sal', '2 dientes de ajos', '1 puñado de perejil']",https://www.recetasgratis.net/receta-de-bacalao-al-horno-con-verduras-72439.html
Merluza a la vasca,"Merluza a la vasca, una receta tradicional de la gastronomía española que ha ido pasando de generación en generación. Se trata de un tipo de merluza en salsa verde delicioso, ya que se elabora a base de ajo y perejil, entre otros ingredientes. Cabe destacar que este plato suele tener algunas variantes, puesto que hay quien le pone almejas, otros añaden guindilla para que quede un poco picante, guisantes, gambas...Para los amantes del pescado, un plato de merluza siempre triunfa, y si encima se acompaña de una salsa tan sabrosa como esta, ¡el éxito está más que asegurado! Por ello, te animamos a seguir leyendo para descubrir en RecetasGratis cómo hacer merluza a la vasca, los ingredientes de la receta clásica y las variantes más populares.","['1\nPonemos un cazo con agua y cocemos 2-3 huevos. Mientras tanto, cogemos una cazuela y ponemos aceite. Así mismo, picamos los ajos y los añadimos en la cazuela una vez caliente.', '2\nSalamos los trozos de merluza y los pasamos por harina. De esta forma, nos quedará el pescado ligeramente rebozado y evitaremos que se pegue o se rompa al cocinarlo.', '3\nAntes de que los ajos se doren, añadimos los trozos de merluza a la cazuela. Cocinamos el pescado un par de minutos por un lado y, luego, le damos la vuelta para cocinarlo por el otro.', '4\nCuando empiecen a coger color los ajos, vertemos el vino blanco, lo dejamos evaporar y acto seguido agregamos el caldo de pescado. Si queremos la merluza a la vasca quede más caldosa, o con un poco más de salsa, podemos añadir un poco más de caldo o agua. Lo dejamos cocinar 5-6 minutos.', '5\nPicamos el perejil muy finito, pelamos y cortamos los huevos duros por la mitad o en rodajas, como más nos guste.', '6\nAñadimos el perejil a la cazuela con el pescado, las rodajas de huevos duros y unos espárragos. Probamos de sal y rectificamos si es necesario. Movemos la cazuela, cocinamos la merluza a la vasca un par de minutos más y apagamos el fuego.', '7\n¡Ya estará listo para servir! Esta receta de merluza a la vasca es de las más sencillas y, a la vez, deliciosas. Se trata del procedimiento tradicional, con ajo, huevo, espárragos y perejil, aunque, como hemos dicho al principio, este plato admite todo tipo de variantes. Además, podemos acompañar el plato con unas patatas al horno, con una ensalada verde o lo que más nos guste. No olvides visitar mi blog, Cocinando con Montse, para descubrir más recetas.']","Valoración: 3,7 (6 votos)",4 comensales,30m,Plato principal,Dificultad baja,,"['Recetas españolas', 'Recetas vascas']","['1 merluza limpia y cortada en trozos', '3 dientes de ajo', '200 mililitros de vino blanco', '150 mililitros de caldo de pescado', '100 gramos de harina', '2 unidades de huevos duros', '1 lata de espárragos', '1 puñado de perejil picado', '1 chorro de aceite de oliva', '1 pizca de sal']",https://www.recetasgratis.net/receta-de-merluza-a-la-vasca-72270.html
Receta FÁCIL paso a paso,"Carpaccio de bacalao, un plato ideal para Semana Santa pero, también, para el resto del año. Sin duda, es una receta muy fácil y rápido de preparar, que se puede servir como entrante o para un picoteo acompañado de unas tostadas. Así mismo, se puede servir el carpaccio de bacalao con tomate, por ejemplo, o con naranja. Y, por supuesto, también se puede hacer una buena vinagreta para acompañar este plato. Una de las ventajas que presenta el carpaccio es que se puede preparar con antelación, de manera que si tienes invitados puedes tenerlo listo el día de antes y reservarlo en el frigorífico.Si te gusta la idea, sigue leyendo y descubre en RecetasGratis cómo hacer carpaccio de bacalao casero.","['1\nDejamos listos los ingredientes con antelación. Para ello, envolvemos los lomos de bacalao desalado en papel film y los dejamos un rato en el congelador, el tiempo suficiente para que endurezcan pero sin llegar a estar muy congelados.\nTruco: si el bacalao es salado, hay que desalarlo dos o tres días antes, introduciendo el pescado en agua y cambiando el agua unas cuatro veces al día.', '2\nSacamos los lomos de bacalao del congelador y cortamos filetes lo más finos posibles. Y si ya tenías el pescado congelado de antes, para hacer el carpaccio de bacalao congelado te recomendamos dejar que se descongele un poco para poder cortar mejor los filetes.', '3\nPicamos el ajo y el perejil con un poco de aceite de oliva. Yo lo trituro un poco para que quede una salsa más fina y homogénea, pero esto al gusto de cada uno.', '4\nColocamos los filetes de pescado cubriendo toda la base de un plato o una fuente con el fin de empezar a servir el carpaccio de bacalao.', '5\nAliñamos con la picada de ajo y perejil y un buen chorro de aceite de oliva. Acompañamos el plato con unas aceitunas, que pueden ser verdes o negras. ¡Y listo para comer! Como ya hemos adelantado, la receta de carpaccio de bacalao es muy, muy sencilla y rápida de hacer. La única dificultad reside en hacer los cortes del pescado bien finos y en desalarlo si no lo hemos podido comprar así.Si queremos, podemos servir el carpaccio de bacalao con tomate cortando unas rodajas y colocándolas encima justo antes de agregar el aliño y las aceitunas. Lo mismo para la naranja, para el aguacate, o el ingrediente extra que queramos añadir. Y si lo que te apetece es probar un carpaccio de bacalao y salmón, no te pierdas esta otra receta. Más recetas en mi blog Cocinando con Montse.']",Valoración: 5 (3 votos),4 comensales,15m,Entrante,Dificultad baja,,['Recetas para Semana Santa'],"['2 trozos de bacalao desalado', '1 bote de aceitunas', '1 chorro de aceite de oliva', '1 diente de ajo', '1 puñado de perejil']",https://www.recetasgratis.net/receta-de-carpaccio-de-bacalao-72248.html
Bacalao al horno con patatas,"El bacalao es uno de los pescados más beneficios gracias a su bajo aporte de grasa. Así mismo, es rico en ácidos grasos omega 3, vitaminas y minerales. Por ello, incluirlo en nuestra dieta es todo un acierto, y si lo hacemos con recetas saludables conseguiremos aprovechar todas sus propiedades al máximo sin preocuparnos por el peso. Para ello, lo mejor es cocinar el bacalao a la plancha, cocido o al horno, siempre controlando la cantidad de aceite que añadimos.En RecetasGratis te enseñamos cómo hacer bacalao al horno con patatas, una receta muy fácil de hacer, rápida y deliciosa. ¡No te la pierdas!","['1\nPelamos las patatas y las cortamos en rodajas más bien finas. La cebolla la cortamos en juliana o en cubos, como más nos guste, ya que la receta de bacalao con patatas y cebolla quedará igualmente buena.', '2\nPara hacer la receta de bacalao al horno con patatas más rápido, nosotros hemos optado por cocinar las patatas al microondas, ya que suelen hacerse en menos tiempo. Para ello, las colocamos en un plato y las dejamos en el microondas, junto con un vaso de agua para generar vapor, durante 10 minutos a máxima potencia.En caso de no querer hacer las patatas al microondas, hornéalas con la cebolla y un chorro de vino blanco o agua durante 20 minutos.', '3\nCuando las patatas estén listas, las colocamos en la bandeja del horno junto con la cebolla y añadimos un chorrito de aceite de oliva.', '4\nSobre la cama de patatas y cebolla ponemos el bacalao. Salpimentamos al gusto, añadimos otras especias si queremos, un chorrito de aceite sobre el pescado y otro chorro de vino blanco para potenciar el sabor. Así mismo, cortamos el limón por la mitad, lo exprimimos sobre el pescado y dejamos las mitades en la bandeja. Lo cierto es que nosotros no hemos agregado especias a la receta de bacalao al horno con patatas para que el plato tenga todo el sabor del pescado, no obstante, añadirlas es totalmente válido.\nTruco: Precalienta el horno a 180 ºC con calor arriba y abajo.', '5\nHorneamos el bacalao con patatas y cebolla durante 15 minutos. En función de la potencia del horno, puede que tarde más o menos en hacerse, de manera que es fundamental estar pendiente para evitar que el pescado quede seco.', '6\nCuando esté listo, lo retiramos del horno y servimos. Podemos acompañar el plato de bacalao con patatas al horno con una ensalada de brócoli por ejemplo, o una ensalada de aguacate.']","Valoración: 3,4 (5 votos)",2 comensales,45m,Cena,Dificultad baja,,"['Recomendada para perder peso', 'Recetas al horno']","['3 lomos de bacalao', '2 patatas medianas', '1 cebolla pequeña', '1 chorro de vino blanco', '1 chorro de aceite de oliva', '1 limón']",https://www.recetasgratis.net/receta-de-bacalao-al-horno-con-patatas-71540.html
Receta ORIGINAL (muy fácil),"La brandada de bacalao, o brandada de bacallà como se conoce en Cataluña, es una receta muy sencilla que se prepara con tan solo 3 ingredientes: bacalao, ajo y aceite. El bacalao es uno de los protagonistas indiscutibles de la cocina de Semana Santa, así que no dudes en preparar este plato tradicional con el que sorprenderás a todos estas fiestas.Existen diversas variaciones de esta receta de brandada de bacalao, debido a que es una preparación muy popular en distintas comunidades autónomas de España, como Cataluña, Valencia o el País Vasco. Partiendo del pescado y el aceite de oliva como base, luego puede llevar ajo, patata, leche, cebolla, nata, etc. Se suele servir acompañada de pan casero y pimientos asados, aunque también hay quien prefiere cebolla caramelizada. La brandada de bacalao suele gratinarse al horno con una capa de queso.En este caso, proponemos una brandada de bacalao sin patata cocinada con leche. De todas las maneras queda muy buena, es ideal para comer como aperitivo acompañada de unas tostadas de pan. Si no sabes cómo hacer brandada de bacalao casera de una forma fácil y rápida, revisa los ingredientes y los pasos en este artículo de RecetasGratis y verás que con tan solo 4 cosas y en media hora la puedes tener lista para degustar.","['1\nAntes de adentrarte en la receta de brandada de bacalao, desala el pescado si no lo tienes ya desalado. Para desalar el bacalao, no te pierdas este vídeo.', '2\nPrepara una sartén o cazo con aceite y añade los ajos laminados. Pon el cazo a calentar a fuego medio, para que los ajos no se quemen. Cuando el aceite haya absorbido todo el sabor del ajo, retíralos.', '3\nSeca bien el bacalao e introdúcelo en el aceite caliente. Cocínalo a fuego bajo entre 3 y 4 minutos. A continuación, apaga el fuego y cubre el cazo. Deja que se termine de cocinar el bacalao con el calor residual unos 10 minutos.\nTruco: es importante desalar previamente el pescado si no lo compramos ya así', '4\nSaca el bacalao del cazo. Retírale la piel y desmenúzalo en un recipiente a parte.', '5\nCalienta un poco la leche hasta que esté tibia. A continuación, añade un par de cucharadas al preparado de bacalao y ves majando para que ambos se integren bien.', '6\nAñade el aceite que has utilizado para confitar el bacalao y mezcla suavemente hasta que se absorba. Ve colocando el cazo al fuego y retirando para que la mezcla de la brandada de bacalao se vaya templando.', '7\nRepite el paso anterior hasta que obtengas la densidad que prefieras para tu brandada de bacalao.', '8\nColoca la masa en una cazuela. Si prefieres una brandada de bacalao gratinada, introdúcela unos minutos en el horno previamente precalentado.', '9\n¡Ya está lista tu brandada de bacalao sin patata! Te recomendamos servirla caliente y acompañada de tostadas de pan.']",Valoración: 3 (1 voto),4 comensales,30m,Entrante,Dificultad baja,,['Recetas españolas'],"['400 gramos de bacalao desalado', '200 mililitros de aceite de oliva', '2 dientes de ajos', '100 mililitros de leche']",https://www.recetasgratis.net/receta-de-brandada-de-bacalao-72091.html
¡Receta casera al horno!,"La lubina a la espalda es una receta casera de pescado muy buena y sencilla. Para los amantes del pescado, esta receta de lubina a la espalda al horno fácil es estupenda y gusta mucho.La lubina a la espalda con patatas es una receta sencilla pero hay que saber cocer al punto el pescado, ya que si no queda muy seco el pescado y no estará bueno, aunque el majado que se le añade después le da muy buen sabor y lo deja muy jugoso.Si no sabes cómo hacer lubina a la espalda fácilmente revisa este paso a paso con fotos que comparto en RecetasGratis y verás cómo no es nada difícil preparar una receta de pescado a la espalda al horno y con patatas.","['1\nEmpezaremos preparando las patatas para la lubina a la espalda al horno. Las pelamos y cortamos en rodajas finas. Yo antes de meterlas al horno las pongo unos minutos en el microondas. Luego las pongo cubriendo la base de una bandeja para horno.\nTruco: Si lo preferís podéis hacer la lubina a la espalda sin patatas.', '2\nPonemos la lubina que ya tendremos abierta, esto no lo preparan en la pescadería. La ponemos encima de las patatas, ponemos un poco de sal, añadimos el vaso de vino y un chorro de aceite. Metemos la lubina a la espalda al horno a 180-200 ºC y ladejaremos hasta que esté el pescado listo unos 20-30 minutos. Dependerá lo grande que sea la pieza.', '3\nCuando esté el pescado sacamos la bandeja del horno. Preparamos una sartén en la que pondremos un vaso pequeño de aceite a calentar con los ajos laminados y un par de guindillas.', '4\nCuando estén dorados los ajos añadimos el pimentón, removemos y retiramos enseguida del fuego para que no se nos queme.', '5\nAñadimos el majado sobre la lubina a la espalda con pimentón.', '6\n¡Y lista la lubina a la espalda con patatas para comer! Como entrante por ejemplo puedes preparar unas deliciosas alcachofas en salsa fáciles o una sopa de acelgas, y si te apetecen otras opciones no tienes más que entrar en mi blog Cocinando con Montse y encontrarás la ideal para ti seguro.']","Valoración: 4,5 (2 votos)",2 comensales,45m,Plato principal,Dificultad baja,,['Recetas al horno'],"['1 lubina grande (1 kg aproximadamnete)', '3 patatas', '2 dientes de ajos', '2 guindillas', '1 cucharada sopera de pimentón', '100 mililitros de vino blanco', '1 pizca de sal', '1 vaso pequeño de aceite de oliva']",https://www.recetasgratis.net/receta-de-lubina-a-la-espalda-72092.html
