title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Flao con Thermomix,,"['1\nMasa: Vierta los ingredientes de la masa excepto la harina.', '2\nPrograme velocidad 4 durante unos segundos.', '3\nAgregue la harina y mezCle, pasando de forma progresiva, por las velocidades del 1 al 10 repitiendo 3 ó 4 veces. Dejar reposar.', '4\nEstire la masa con el rodillo y forre un molde para tarta de 26 ó 28 cm de diametro.', '5\nVierta en el vaso, muy seco, el azúcar, la cascara de limón y 2 ó 3 hojitas de hierbabuena.', '6\nBata progresivamente a velocidad 5-7-9.', '7\nCuando esten bien glaseado, incorpore los huevos, el queso y el zumo del limón y batir de nuevo a velocidad 8 durante unos segundos.', '8\nVierta la mezcla en el molde preparado.', '9\nIntroducir en el horno previamente calentado a 180º, durante 30 minutos, aproximadamente, hasta que este bien cuajado.', '10\nPinche el centro de la tarta para ver si esta cuajado.', '11\nDesmoldar, espolvoree con azucar glas y adornar con rodajas de kiwi.']","Valoración: 3,5 (13 votos)",8 comensales,45m,,Dificultad baja,,[],"['1/2 cubilete de aceite', '1/2 cubilete de agua', '1/4 de cubilete de anis', '1 cucharada de anis en grano', '3 cubiletes de harina sal', '400 gr de queso fresco', '2 cubiletes de azucar', 'Cáscara de 1 limón ( parte amarailla) el zumo del limón 4 huevos', 'unas hojas de hierbabuena']",https://www.recetasgratis.net/receta-de-flao-con-thermomix-30443.html
Frixuelos con Thermomix,,"['1\nSe pone en el vaso la piel del limón y se pulveriza a velocidades 5 -7 -9 - Se añade la leche, la harina, el azúcar y los huevos y programar 15 segundos a velocidad 6.', '2\nPara freír los frixuelos se prepara una sartén pequeña, se pone una cucharada de aceite fino y se extiende bien por toda la sartén para que ésta sólo quede untada, pues la pasta no ha de freírse.', '3\nCuando la sartén está caliente se pone una garcilladita de pasta.', '4\nSe mueve la sartén para que se extienda rápidamente por todo el fondo.', '5\nCuando está cuajada se le da la vuelta, pasándole por debajo una espumadera para que se dore el otro lado.', '6\nUna vez en su punto se van colocando sobre un plato espolvoreándolos de azúcar y uno sobre otro.', '7\nNota', '8\nSe pueden servir de este modo, calientes, bien enrollados o doblados en cuatro.']","Valoración: 3,5 (13 votos)",6 comensales,30m,,Dificultad baja,,[],"['200 g de harina', 'la piel de 1 limón', '4 huevos', '1/2 l. de leche', '2 cucharadas de azúcar']",https://www.recetasgratis.net/receta-de-frixuelos-con-thermomix-30445.html
Gelatina de fresas al arroz con leche con Thermomix,,"['1\nPonga las hojas de gelatina en agua fría y reserve.', '2\nHaga el arroz con leche según se indica en la receta.', '3\nCuando haya terminado, saque un poco de arroz en una taza grande, escurra la gelatina y mezcle bien con el arroz asegurándose de que quede bien disuelta.', '4\nA continuación programe 3 minutos, 70º, velocidad 1 y vierta el contenido de la taza, poco a poco, a través del bocal para que quede una mezcla homogénea.', '5\nVuélquelo en un recipiente y deje enfriar.', '6\nLave bien el vaso del Thermomix y ponga en él el agua.', '7\nPrograme 6 minutos, 70º, velocidad 2. Compruebe que ha quedado bien disuelta.', '8\nEscoja el molde que vaya a utilizar.', '9\nSi es uno de Tupper, humedézcalo con agua.', '10\nSi es otro, fórrelo con film transparente para poder desmoldarlo con facilidad.', '11\nCubra el fondo con gelatina de fresa (con una altura de 1 1/2 centímetros aprox.) y introdúzcalo en el frigorífico para que cuaje.', '12\nVaya fileteando las fresas y cuando se haya endurecido la gelatina del molde, póngalas sobre la misma y cúbralas con más gelatina de fresas (cúbralas solamente, no eche más).', '13\nVuelva a introducir el molde en el frigorífico para que cuaje. (Si le sobra gelatina de fresas, póngala en cualquier otro molde para que cuaje).', '14\nCuando se haya enfriado el arroz, termine de rellenar con el mismo el molde de gelatina y déjelo cuajar (es mejor hacer este postre la víspera).', '15\nDesmolde y adorne con nata montada.']","Valoración: 3,4 (14 votos)",2 comensales,45m,,Dificultad baja,,[],"['2 cajas de gelatina Royal de fresa', '600gr. de agua', '400gr. de fresones rojos', 'El zumo de 1/2 limón', '50gr. de azúcar', '6 hojas de gelatina (neutra)', 'Arroz con leche.', 'Un molde de corona Tupper o cualquier otro de su gusto.']",https://www.recetasgratis.net/receta-de-gelatina-de-fresas-al-arroz-con-leche-con-thermomix-30447.html
Helado caliente y frío con Thermomix,,"['1\nTueste las almendras en la bandeja del horno, cerca del grill caliente, durante 5 minutos aproximadamente, moviéndolas para que se tuesten homogéneamente.', '2\nÉchelas en el vaso del Thermomix y trocéelas durante 3 segundos en velocidad 3 y 1/2 (deben quedar en trocitos pequeños). S', '3\nSáquelas del vaso y échelas en un recipiente hondo y grande.', '4\nLave y seque bien el vaso. Ponga la mariposa en las cuchillas, eche las claras con la sal y unas gotas de zumo de limón y programe 6 minutos, en velocidad 3.', '5\nCuando falten 2 minutos, eche poco a poco el azúcar a través del bocal de la tapadera, hasta terminar el tiempo. Retire la mariposa, sáquelas y vuélquelas sobre las almendras.', '6\nSin necesidad de lavar el vaso ni la mariposa, vuelva a poner esta última en las cuchillas y eche la nata. Móntela en velocidad 3 vigilando para que no se pase a mantequilla.', '7\nEche la nata sobre las claras y las almendras y envuelva todo con la espátula, con mucho cuidado, hasta que la mezcla sea homogénea.', '8\nPóngalo todo en un molde e introdúzcalo en el congelador tapado con film transparente.', '9\nPreparación de la salsa: Ponga el el vaso, muy seco, el azúcar y el chocolate y trocéelo con 5 ó 6 golpes de Turbo. Añada el café y programe 5 minutos, 50 grados, velocidad 3.', '10\nDesmolde el Helado (que esté bien congelado) y vierta la salsa bien caliente por encima.']","Valoración: 3,3 (12 votos)",4 comensales,45m,,Dificultad baja,,[],"['50 g de almendras crudas', '6 claras de huevo', '150 g de azúcar', '500 g de nata líquida para montar', '1 pellizco de sal y unas gotas de zumo de limón', 'Para la Salsa', '80 g de azúcar', '100 g de café hecho', '150 g de chocolate']",https://www.recetasgratis.net/receta-de-helado-caliente-y-frio-con-thermomix-30448.html
Helado celestial con Thermomix,,"['1\nTendremos el praliné hecho (paso 1 y 2 de la receta).', '2\nPara empezar directamente a preparar la receta.', '3\nEn una sartén de fondo grueso, haga en caramelo con el azúcar y cuando empiece a dorarse añada las almendras ( debe quedar de un color dorado oscuro).', '4\nEche sobre papel de horno y deja enfriar.', '5\nCuando la plancha este bien fría, parta en trozos y échelos en el vaso (que deberá estar muy seco, así como las cuchillas).', '6\nRállelo sin llegar a pulverizar, durante 12 se. En velocidad 3 y 1/2 (tiene que quedar grueso) saque y reserve en una bolsa de plástico.', '7\nTodo lo anterior deberá estar hecho antes de continuar con la receta.', '8\nPulverice las galletas echándolas con la mantequilla en marcha en velocidad 6 (si queda algún trozo repita la operación) saque y reserve.', '9\nLave bien el vaso y las cuchillas para que no queden restos de grasa. Séquelos.', '10\nPonga la mariposa en la cuchillas añada las claras, el azúcar, unas gotas de limón y la pizca de sal, y programe 6m v3.', '11\nSaque y reserve.', '12\nSin lacar el vaso y con la mariposa en las cuchillas, monte la nata bien firme en velo3. Saque a otro recipiente.', '13\nHaga un hueco en el centro de la nata montada, eche la leche condensada y a continuación las claras montadas, mezcle delicadamente son movimientos envolventes, hasta conseguir una mezcla homogénea.', '14\nProceda a montar el helado rápidamente, para evitar que se baje la mezcla.', '15\nEn un molde redondo y desmoldable, eche una capa de galletas, a continuación la mitad de la mezcla, una capa de praliné y el resto de la mezcla, cubriendo todo con una mezcla de praliné.', '16\nMétalo en el congelador.', '17\nDesmolde y adorne a su gusto, sírvalo con un coulis de frutas ( las que usted quiera) q preparará triturando las mismas con zumo de limón.', '18\nVariantes: en lugar de praliné en el centro, puedes poner frutas del bosque o mermelada de grosellas, arándanos....etc.', '19\nSi quieres el helado mas decorativo, puede hacer un brazo gitano y rellenándolo de mermelada de frambuesa córtelo en lonchas y póngalo alrededor del molde antes de echar el helado.']","Valoración: 3,5 (13 votos)",4 comensales,45m,,Dificultad baja,,[],"['Para el praliné', '200 g de azúcar', '100 g de almendras crudas peladas', 'Para el resto', '100 g de galletas', '6 claras de huevo', 'Unas gotitas de limón', 'Una pizca de sal', '500g de nata liquida', '180g de leche condensada', 'Un molde redondo desmontable de 22cm de diámetro por 6 de alto']",https://www.recetasgratis.net/receta-de-helado-celestial-con-thermomix-30449.html
Helado de limón con Thermomix,,"['1\nCon el vaso y las cuchillas muy secos, pulverice el azúcar en velocidad máxima.', '2\nAñada la piel de uno de los limones secándola previamente con papel de cocina para quitarle humedad, y programe 1 minuto en velocidad máxima.', '3\nIncorpore la leche Ideal congelada en trozos.', '4\nTritúrelo unos segundos en velocidad 6.', '5\nA continuación ponga la mariposa en las cuchillas y monte la leche en velocidad 3.', '6\nPor último, con la máquina en marcha en velocidad 2, incorpore el zumo de limón.', '7\nSUGERENCIAS Puede servir esta crema con fresas y en copas, metiéndolas en el congelador un poco antes de servirla.', '8\nPuede forrar un molde de plum-cake con film transparente y hacer un molde de helado.', '9\nLo puede servir con salsa de fresas o de otra fruta.', '10\nTambién puede hacer una tarta helada haciendo capas con bizcochos de soletilla y helado.', '11\nTerminando la misma con una capa de bizcochos.', '12\n(Forre el molde donde lo ponga con film transparente para desmoldarlo mejor).', '13\nNOTA Tenga siempre botes de leche Ideal congelados para poder hacer helados rápidos y cremosos.']","Valoración: 3,3 (12 votos)",4 comensales,30m,,Dificultad baja,,[],"['150 g de zumo de limón o lima', '200 g de azúcar Piel de limón (sólo la parte amarilla)', '1 bote de leche Ideal grande congelado o', '3 botes de los pequeños']",https://www.recetasgratis.net/receta-de-helado-de-limon-con-thermomix-30451.html
Helado cremoso de limón con Thermomix,,"['1\nTriturar el azúcar para hacerlo glass y a continuación añadir las tiritas de limón y triturar a velocidad máxima, sacar del baso y reservar.', '2\nColocar la mariposa encajada en las cuchillas y montar la leche ideal congelada en velocidad 3 (tiene que doblar su volumen) para la maquina y agregar el azúcar glass con la ralladura de limón y seguir batiendo unos segundos a la misma velocidad para que se mezcle con la leche montada a continuación añadir el zumo de limón con la maquina en marcha en velocidad 3 y pararla inmediatamente para que no se baje la leche.', '3\nY el helado se puede tomar así, cremoso o meterlo en el congelador para que se ponga mas duro.', '4\nSi le añadiríamos unas frutas escarchadas picadas lo transformaríamos en un helado de tuttti frutti, también se le puede añadir una salsa caliente de fresas o frambuesas hechas con la fruta fresca y azúcar.', '5\nOtro helado mas rápido todavía seria: Congelar fruta fresca variada y ya congelada triturarla a la vez que le echamos por el bocal leche condensada o nata si se pone nata hay que echarle azúcar.']","Valoración: 4,1 (71 votos)",4 comensales,30m,,Dificultad baja,,[],"['400g. 1 Bote de leche ideal congelada', '250g. de azúcar', 'unas tiritas de piel de limón rallada', '150 g. de zumo de limón']",https://www.recetasgratis.net/receta-de-helado-cremoso-de-limon-con-thermomix-30450.html
Relámpagos con crema de plátano asado,,"['1\nPon los plátanos en una placa de hornear e introduce en el horno a 200ºC durante 10 minutos.', '2\nPara la cobertura, pon en una cazuela la mantequilla, la nata y el azúcar al fuego hasta que esté bien caliente.', '3\nEcha sobre el chocolate y mezcla bien hasta que se funda.', '4\nPon al fuego otra cazuela con el agua, la mantequilla y una pizca de sal.', '5\nCuando rompa a hervir, retira del fuego y añade la harina.', '6\nRemueve a fuego suave con una varilla hasta que quede una masa homogénea.', '7\nRetira del fuego y agrega los huevos de uno en uno sin dejar de remover.', '8\nDeja templar e introduce la masa en una manga pastelera.', '9\nExtiende pequeñas porciones alargadas sobre un par de placas aptas para el horno forradas con papel de hornear.', '10\nIntroduce en el horno a 200ºC durante unos 10 minutos.', '11\nDeja templar y córtalos por la mitad con un cuchillo de sierra.', '12\nRetira los plátanos del horno, pélalos y aplástalos con un tenedor.', '13\nCon una batidora eléctrica, monta la nata.', '14\nMézclala con el puré de plátano.', '15\nIntroduce en otra manga y rellena los relámpagos.', '16\nUnta la parte superior de cada relámpago con un poco de chocolate, sírvelos en una fuente y acompáñalos con unas natillas.', '17\nAdorna con unas grosellas y unas hojas de menta.', '18\nLa cobertura de chocolate se puede hacer de víspera, aunque se endurezca.', '19\nAl día siguiente solo habrá que calentar la mezcla en el microondas o al baño María, teniendo precaución de no calentarla demasiado.']","Valoración: 3,4 (28 votos)",6 comensales,45m,Postre,Dificultad alta,,[],"['75 gr. de harina', '3 huevos', '125 ml. de agua', '50 gr. de mantequilla', 'una pizca de sal', '4 plátanos', '200 ml. de nata', 'natillas', 'hojas de menta', 'grosellas', '100 gr. de chocolate de cobertura', '125 ml. de nata', '25 gr. de mantequilla', '25 gr. de azúcar']",https://www.recetasgratis.net/receta-de-relampagos-con-crema-de-platano-asado-13368.html
Helado de chocolate con Thermomix,,"['1\nCon el vaso y la máquina fría y poniendo la mariposa en las cuchillas monte la nata en velocidad 3. No programe tiempo, dependerá de la nata que utilice.', '2\nCuando esté montada retire la mariposa y sáquela del vaso. Póngala en un recipiente. Resérvela en el frigorífico. Triture el chocolate y el azúcar en velocidades 5,7,9, progresivamente.', '3\nAñadir el café, la leche y los huevos. Programar 6 minutos, 90º, velocidad 5. Cuando haya terminado batir unos segundos sin temperatura.', '4\nDejar enfriar en un recipiente. Cuando esté frío incorporar la nata montada en forma envolvente. Vierta la mezcla en un molde de corona e introdúzcalo en el congelador.', '5\nAntes de servir retírelo del congelador y déjelo reposar 10 o 15 minutos para facilitar el desmoldado.']","Valoración: 3,3 (12 votos)",4 comensales,1h 30m,,Dificultad baja,,[],"['250 g de chocolate sin leche', '250 g de azúcar', '100 g de café', '100 g de leche', '2 huevos', '700 g de nata líquida']",https://www.recetasgratis.net/receta-de-helado-de-chocolate-con-thermomix-30453.html
Helado de naranja con Thermomix,,"['1\nMontar la nata en velocidad 3 (poniendo la mariposa) (prueba también sin montar la nata, así lo pueden hacer los niños, yo no la monto en el de yogurt y queda igual).', '2\nPelar las naranjas y cortarlas en rodajas para quitarle las pepitas.', '3\nPonerla en el vaso del Thermomix y triturarla en velocidades 5-7-9.', '4\nAñadir el azúcar y las yemas y batir un poco y a continuación la leche.', '5\nMezclar con la nata que tenemos montada (con movimientos envolventes), poner la mezcla en un recipiente y ponerlo en el congelador.', '6\nA las 2 horas aproximadamente sacarlo y batirlo un poco en el Thermomix en velocidades 5-7-9.', '7\nVolver a colocar en el congelador.Sale 1 litro de helado aproximadamente.']","Valoración: 3,3 (12 votos)",4 comensales,1h 30m,,Dificultad baja,,[],"['3 naranjas', '125 ml de leche', '500 ml de nata líquida para montar (36% m.g.)', '5 yemas de huevo', '150 gr de azúcar']",https://www.recetasgratis.net/receta-de-helado-de-naranja-con-thermomix-30455.html
