title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Relleno de cajeta (dulce de leche) y nuez para empanadas,,"['1\nEnvuelva muy bien las nueces en la cajeta y con esto rellene las empanadas antes de hornear.', '2\nSi piensa hacer su propia cajeta, ponga la lata de leche a hervir, sin abrirla, en una olla con suficiente agua; ábrala hasta que la lata esté fría.']","Valoración: 3,9 (51 votos)","['1 lata de leche condensada o 1 frasco de su cajeta favorita,', '1 taza de nueces picadas.']",https://www.recetasgratis.net/receta-de-relleno-de-cajeta-dulce-de-leche-y-nuez-para-empanadas-24020.html,,,,,,
Relleno de piña para empanadas,,"['1\nPonga a cocer la piña con el azúcar y el agua sin dejar de revolver hasta que se forme una compota; retírela del calor, déjela enfriar y rellene las empanadas con esta mezcla.']","Valoración: 3,4 (54 votos)","['1 taza de piña fresca en cuadritos', '1 taza de azúcar', '1/4 taza de agua']",https://www.recetasgratis.net/receta-de-relleno-de-pina-para-empanadas-24021.html,,,,,,
Punta de diamante,,"['1\nSe hierve la leche.', '2\nSe mezclan las yemas de los huevos, la almendra, la maicena y 3 cucharadas de azúcar por cada yema.', '3\nSe agrega la leche y se disuelve la mezcla.', '4\nSe deja enfriar.', '5\nCortamos el bizcocho en 2 o tres capas y se untar con crema.', '6\nMontamos las claras de huevo, mezclando con 3 cucharadas de azúcar a punto de nieve.', '7\nSe cubre el bizcocho formando una pirámide.']","Valoración: 3,3 (51 votos)","['1 bizcocho', '6 huevos', '1/2 litro de leche', '1 cucharada de maicena', '100 gr. de almendra molida', '750 gr. de azúcar']",https://www.recetasgratis.net/receta-de-punta-de-diamante-24013.html,,,,,,
Pavlova de fresas y melocotón,"La pavlova es un postre australiano, se trata de una tarta hecha con crema y frutas que está riquísima y que no debes dejar de probar si eres un amante de los postres y los dulces. La recetas que te enseñamos a continaución en RecetasGratis.net es una de las versiones de esta preparación típica de Australia, la pavlova de fresas y melocotón combina sabores ligeramente cítricos que te harán agua la boca.","['1\nOcho claras se derraman en un bol, es el continuo batir lo que las transforman en nieve, es el azúcar lo que las engrandece como merengue, es la harina la que otorgará la suave esponjosidad y son las almendras quienes las vestirán de exotismo.', '2\nSobre una lámina de silicona, creo el nido de la pavlova.', '3\nUna circunferencia de merengue de unos cuarenta centímetros de diámetro reposa sobre la placa.', '4\nFrágiles paredes de dulce blanco, son levantadas sobre el perímetro de la base, cien grados de horno durante una hora obrarán el milagro: nuestro endeble castillo de naipes se habrá transformado en una auténtica fortaleza.', '5\nPavlova duerme esa noche entre retazos de calor de un horno apagado.', '6\nA la mañana siguiente, mi dulce dama es separada de su lámina de silicona.', '7\nMonto la nata, agrego el yogurt que cae junto al vino, lluvia de melocotón almibarado sobre la espesa mezcla y cuidado, mucho, al unir ingredientes con ayuda de una espátula de tosca madera.', '8\nBlanco para blanco, la pavlova recibe entre sus albas paredes al níveo relleno.', '9\nRoja pasión otorgada por fresas cortadas longitudinalmente, salpican la superficie del lecho de nuestra bailarina y ésta queda definitivamente vestida de novia.']",Valoración: 4 (25 votos),"['8 unidades de Clara de huevo', '1 taza de Azúcar glas', '½ taza de Almendras tostadas', '1 cucharadita de Maicena', '½ litro de Nata montada azucarada', '2 unidades de Melocotones en almíbar', '1 paquete de Fresas', '2 unidades de Yogur cremoso', '1 chorro de Patcharán (opcional)', 'Fruta para decorar']",https://www.recetasgratis.net/receta-de-pavlova-de-fresas-y-melocoton-23988.html,8 comensales,30m,Postre,Dificultad media,,[]
Pastel glaseado,,"['1\nEn un bol poner la harina tamizada, el huevo, el pellizco de sal, la mantequilla ablandada y el azúcar.', '2\nTrabajar hasta obtener una masa lisa.', '3\nFormar una bola y tapar con film transparente y dejar reposar 1 hora en la nevera.', '4\nDividir la masa en dos, estirarla hasta formar 2 rectángulos de 20 x 30 cm. y 1/2 cm. de grosor.', '5\nColocar un rectángulo sobre una placa de horno enmantequillada, untarla con la mermelada de mora y cubrir con el otro trozo de pasta.', '6\nCocer en el horno a 180º C. durante unos 30 minutos.', '7\nPreparar la glasa, diluir el zumo de limón en cuatro cucharadas de agua y mezclar poco a poco con el azúcar glas hasta obteneruna crema blanca.', '8\nCuando el pastel esté cocido, cubrirlo con la glasa y dejar enfriar.', '9\nLuego se corta en cuadros y se sirve.']","Valoración: 3,4 (53 votos)","['400 gr. de harina', '1 huevo', 'sal', '50 gr. de mantequilla', '1 cucharada de azúcar.', '150 gr. de mermelada de moras.', '100 gr. de azúcar glas', '1 cucharada de zumo de limón.']",https://www.recetasgratis.net/receta-de-pastel-glaseado-23971.html,,,,,,
Pastel de nueces al café,,"['1\nMuele las nueces, dejando alguna entera para decorar.', '2\nMezcla las nueces con las galletas trituradas, los huevos y las yemas, la leche condensada y el café soluble disuelto en 1/4 l. de agua.', '3\nVierte la mezcla en una flanera caramelizada y cuécelo en el horno, al baño maría, durante 45 minutos.', '4\nDesmóldalo y decóralo con las nueces.']","Valoración: 4,1 (56 votos)","['200 grs. de nueces', '5 galletas', '4 huevos y 2 yemas', '1 bote pequeño de leche condensada', 'una cucharada de café soluble', 'azúcar, para caramelizar el molde.']",https://www.recetasgratis.net/receta-de-pastel-de-nueces-al-cafe-23959.html,,,,,,
Pastel de melocotones,,"['1\nEngrasar con mantequilla un molde bajo y forrarlo con la pasta.', '2\nRecortar los bordes, pinchar la pasta con un tenedor y cubrir con u peso de legumbres.', '3\nHornear unos 20 minutos.', '4\nMientras, preparar la crema mezclando el azúcar, la harina y la vainilla.', '5\nVerter la leche, llevar a ebullición y cocer 4 minutos.', '6\nSin que hierva, añadir las yemas sin dejar de batir.', '7\nVerter un capa fina de crema sobre la masa.', '8\nHornear 30 minutos o hasta que cuaje la crema.', '9\nEscurrir bien los melocotones sobre papel absorbente.', '10\nMezclar el almíbar de los melocotones con la mermelada.', '11\nCubrir el pastel con los melocotones boca abajo.', '12\nAbrillantar con la mezcla de almíbar y mermelada.']","Valoración: 3,4 (52 votos)","['1 Lámina de pasta quebrada', '1 cucharada de mantequilla', '800 gr. de melocotones en almíbar', '3 cucharadas de mermelada de melocotón.', '50 gr. de azúcar', '1 cucharada de maicena', '1 vaso de leche', '2 yemas de huevo', '1 cucharada de vainilla en polvo.']",https://www.recetasgratis.net/receta-de-pastel-de-melocotones-23956.html,,,,,,
Pastel de melocotones y queso crema,,"['1\n1. Una hora antes de comenzar a preparar saque fuera de la nevera los quesos.', '2\n2. En un envase batir los dos quesos, el azúcar y el almíbar.', '3\n3. En otro envase prepare la mezcla del bizcocho amarillo según se indica en la caja.', '4\n4. Engrase el molde, (preferiblemente redondo de 9"") y vierta la mezcla del bizcocho amarillo.', '5\n5. Coloque los melocotones en rebanadas sobre la mezcla del bizcocho, desde el centro del molde hacia los bordes sin tocar los bordes del molde.', '6\n6. Vierta sobre los melocotones la mezcla de queso crema.', '7\n7. Colóquelo en el horno a una temperatura de 200 grados por una hora.']","Valoración: 4,5 (8 votos)","['2 paquetes de queso crema', '1 taza de azúcar', '2 cucharadas del almíbar de los melocotones', '1 caja de pastel amarillo', '1 lata de 1/2 Kg. de melocotones en rebanadas.']",https://www.recetasgratis.net/receta-de-pastel-de-melocotones-y-queso-crema-23955.html,,,,,,
Pastel de manzana fácil y rápido,"Hay muchas formas de hacer un pastel de manzana, pero esta es la más rápida y fácil de hacer, además no necesitas levadura.","['1\nRallar la corteza del limón, partirlo por la mitad y exprimirlo. Pelar las manzanas y partirlas en cuatro trozos, quitarles el corazón y rociarlas con zumo el limón.', '2\nBatir los huevos, poner la mantequilla, reservar un poco para engrasar el molde, en una fuente honda y ablandarla con un tenedor, agregar el azúcar y el azúcar vainillada.', '3\nRemover bien hasta que se integre, incorporar los huevos batidos y mezclar. Echar la harina junto con la canela, la ralladura de limón, la levadura y las almendras molidas.', '4\nMezclar bien hasta que quede una mezcla homogénea. Engrasar un molde de 26 cm. de diámetro y echar en el la crema.', '5\nEncima la manzana e introducir al horno, previamente precalentado a 200º C., una hora. Sacarlo, desmoldar y espolvorear con el azúcar glas.', '6\nYa puedes disfrutar de este excelente pastel de manzana!!']","Valoración: 3,4 (52 votos)","['1 Kg. de manzanas', '150 gr. de mantequilla', '3 huevos', '1 limón', '150 gr. de azúcar vainillada', '200 gr. de harina', '2 cucharadas de levadura en polvo', '1 cucharadita de canela', '100 gr. de almendras molidas', '4 cucharadas de brandy o Calvados', '2 cucharadas de azúcar glas']",https://www.recetasgratis.net/receta-de-pastel-de-manzana-facil-y-rapido-23950.html,4 comensales,45m,,Dificultad baja,,[]
Pastel de limón y coco,,"['1\nPrecalentar el horno a 175º C.', '2\nUntar con mantequilla un molde de 25 cm. de diámetro.', '3\nBatir los huevos durante 2 minutos hasta que estén esponjosos.', '4\nAñadir la harina tamizada, poco a poco, y seguidamente los demás ingredientes, removiendo antes de agregar el siguiente.', '5\nPoner la mezcla en el molde y meter al horno durante 45 minutos aproximadamente, o hasta que esté cuajado.', '6\nApagar el horno y dejar el pastel dentro hasta que se dore ligeramente.', '7\nServir templado o frío.']","Valoración: 3,7 (12 votos)","['4 huevos', '100 g de harina', '200 g de azúcar', '200 g de coco rallado', '125 g de mantequilla, derretida', '200 cc de nata líquida', '150 cc de leche', '1 cucharada sopera de ralladura de limón', '50 cc de zumo de limón']",https://www.recetasgratis.net/receta-de-pastel-de-limon-y-coco-23946.html,,,,,,
Pastel de peras,,"['1\nCierne el harina, el polvo para hornear, la sal y el azúcar morena en un bowl de batidora e incorpora la mantequilla suavizada y bate.', '2\nAgrega los huevos, la leche y la vainilla sin dejar de batir hasta que esponje.', '3\nAparte, espolvorea con el azúcar morena el fondo de un molde y colocar encima las mitades de pera.', '4\nFinalmente, incorpora la mezcla sobre las peras y hornea a 180 grados centígrados por una hora.']","Valoración: 3,3 (51 votos)","['3 3/4 tazas de harina', '1 cucharada de polvo para hornear', '1/2 cucharadita de sal', '2 tazas de azúcar morena', '140 gramos de mantequilla suavizada', '3/4 taza de leche', '1 cucharadita de vainilla', '2 latas de peras en almíbar', '1/4 taza de azúcar morena', '2 huevos']",https://www.recetasgratis.net/receta-de-pastel-de-peras-23939.html,,,,,,
Pastel de fruta sin harina,,"['1\nEngrase un molde redondo para pastel de 25 cm de diámetro y forre el fondo con papel encerado.', '2\nPonga todos ingredientes en un tazón y mézclelos bien.', '3\nViértalos en el molde preparado alisando la superficie y meta al horno precalentado a 300º (150ºC) durante 1 1/4 horas.', '4\nDeje en el molde durante 10 minutos y a continuación desmolde sobre una rejilla para que se enfríe.']",Valoración: 2 (4 votos),"['400 gr. de picadillo de frutas en conserva', '400 gr. de fruta seca mixta', '100 gr. de cerezas cristalizadas picada', '200 gr. de hojuelas de maíz ( corn flakes) molidas', '3 huevos medianos ligeramente batidos', '1 lata grande de leche condensada', '1 cucharadita de especies mixta ( canela, nuez moscada, clavos de olor)', '1 cucharadita de polvo de hornear']",https://www.recetasgratis.net/receta-de-pastel-de-fruta-sin-harina-23943.html,,,,,,
