title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Samosa,"La samosa es una de las comidas más representativas del sur Asia fuera de sus fronteras. Este plato consiste en una empanadilla de forma triangular, crujiente por fuera y con rellenos que pueden variar según cada región. En Mayura servimos las samosas más tradicionales, vegetarianas rellenas de puré de pata, guisantes y especias. Revisa está receta y aprende cómo hacerlas para que puedas comerlas cada vez que quieras.","['1\nEl primer paso para hacer las famosas samosas de verdura es elaborar la masa para la empanadilla. Para ello, mezcla todos los ingredientes hasta que se integren por completo. Golpea la masas varias veces contra la superficie de trabajo para ablandarla, luego forma rulos y corta piezas individuales como se observa en la imagen. Reserva.', '2\nPara hacer el relleno, primer pela las patatas y hierve como si se tratase de la preparación de un puré. Reserva.', '3\nAparte, fríe las semillas de cilantro con cúrcuma en suficiente aceite. Verás que el aceite empieza a tomar un color amarillo bastante oscuro.', '4\nPasados unos minutos, cuando ya haya tomado color, añade los guisantes cocidos y sofríe todo junto. Si deseas puedes usar guisantes congelados.', '5\nA continuación, añade al relleno de las samosas vegetarianas un poco de sal y comino. Comprueba la sazón con cuidado de no quemarte y corrige si es necesario.', '6\nDeja cocinar unos minutos más y luego añade esta preparado de guisantes caliente a las patatas, previamente trituradas. La textura del relleno debe ser la de un puré rústico, con pequeños trozos de patata y no triturado completamente.', '7\nEl color del puré debe ser un amarillo intenso. Para continuar con la preparación de esta deliciosa comida hindú, añade el cilantro fresco al puré y mezcla hasta que se integre por completo al relleno de las samosas y reserva.', '8\nRecupera las piezas de masa y estira con ayuda de un rodillo hasta conseguir una lámina muy fina con forma ovalada, luego corta cada ovalo de masa por la mitad. Recuerda enharinar la superficie de trabajo.', '9\nCon todo ya listo lo que queda es armar la samosa. Este proceso es un arte, así que presta atención. Primero, une las puntas formando un cono con la masa, húmedece ligeramente los dedos para unir y sellar los bordes.', '10\nA continuación, rellena la samosa con una cucharada de puré de patata y guisantes. Ten cuidado en no excederte con la cantidad de relleno.', '11\nPara finalizar, cierra los bordes formando una línea recta. Recuerda humedecer la puntas de los dedos para ayudar a sellar la masa. La samosa debe quedar de forma triangular como aparece en la fotografía.', '12\nFinalmente, fríe las samosas en abundante aceite caliente: vigila que la temperatura del aceite este bien alta cuando las empieces a freís, luego baja ligeramente la llama para que se hagan por completo y se doren sin llegar a quemarse.', '13\nEspolvorea una pizca de chat masala antes de servir y disfruta de esta comida hindú a cualquier hora del día. Las samosas se pueden acompañar con una salsa de tomate picante, con raita o con cualquier salsa de tu referencia. Y recuerda que si quieres probarlas recién hechas en un ambiente exclusivo puedes visitar Mayura restaurante hoy mismo.']",,50 comensales,45m,Entrante,Dificultad media,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin azúcar', 'Recetas indias']","['500 gramos de Harina de trigo', '125 mililitros de Agua', '1 cucharadita de Sal', '2 cucharadas soperas de Aceite', '1 cucharada sopera de Ajwain', '2 kilogramos de Patata', '1 cucharada sopera de Comino', '1 cucharada sopera de Semilla de cilantro', '1 cucharada sopera de Cúrcuma', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-samosa-56119.html
Wrap de pollo al curry,"En esta receta de RecetasGratis.net traemos una deliciosa opción, un wrap de tiras de pollo al curry donde vamos a realizar unos acompañamientos muy sencillos y fáciles, ideales para que ustedes puedan llevar este almuerzo a la oficina ya que se puede consumir frío. Vamos a ver el paso a paso y los ingredientes de esta deliciosa y sencilla receta de wrap.","['1\nNuestro primer paso para realizar la receta de wrap de pollo es parealistar los ingredientes de nuestra receta.', '2\nCorta la pechuga de pollo en tiras medianas y llévalas a un bol o recipiente.', '3\nAdiciona el curry amarillo y el comino en polvo, mezcla muy bien hasta que se integren los ingredientes.', '4\nAñade la pasta de ajo, la albahaca o menta fresca y el cilantro. Mezcla bien para que queden bien distribuidos los ingredientes de nuestra receta de wrap.', '5\nAñade el yogur y mezcla bien los ingredientes, lleva a la nevera o refrigerador y deja marinar durante 30 minutos aproximadamente.', '6\nVamos a realizar unas cebollas caramelizadas para nuestro wrap de pollo. Entonces, debemos cortar muy finas las cebollas blancas, retirando las puntas de estas.', '7\nLleva una sartén a fuego medio y añade un poco de aceite de oliva y agrega la cebolla en plumas. Debemos tener en cuenta que la cebolla contiene azúcares naturales, los cuales van harán que esta se caramelice sola, de todas formas vamos añadir un poco de azúcar para acelerar este proceso.', '8\nAñade el azúcar (una cucharadita) para acelerar el proceso de caramelización de las cebollas blancas cuando observes que estas han tomado un tono transparente. Debes estar muy pendiente de las cebollas y no ponerlas a fuego muy alto, pues pueden quemarse y quedar amargas.', '9\nUna vez observes que las cebollas toman un color caramelo, estarán listas y deberás retirarlas para poder usarlas más adelante en nuestra receta.', '10\nRetira el pollo de la nevera o refrigerador, añade sal y pimienta al gusto.', '11\nLleva una sartén a fuego medio y, una vez caliente, añade un poco de aceite de oliva y luego el pollo marinado.', '12\nVamos a alistar la base de los wraps. Así pues, debemos llevar las tortillas a una tabla y adicionar una hoja de lechuga fresca como se observa en la fotografía.', '13\nAñade un poco de cebolla caramelizada encima de las hojas de lechuga.', '14\nUna vez que el pollo al curry esté cocinado, añade unas tres tiras a cada uno de los wraps como se observa en la fotografía.', '15\nEnrolla los wraps de pollo al curry con mucha fuerza y ejerciendo presión para que estos no se abran al momento de emplatar nuestra receta y ya estaremos listos para servir.', '16\nCorta en la mitad o en diagonal nuestros wraps de pollo, lo que quise mostrar en la fotografía es el relleno de la receta. Adiciona un poco de salsa del pollo cocinado a cada uno de los wraps y un poco de ajonjolí en polvo, son ideales para consumir calientes o fríos y son una excelente opción para cualquier comida. Si deseas más recetas de wraps y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!']",Valoración: 5 (1 voto),4 comensales,1h 30m,Plato principal,Dificultad media,,[],"['1 unidad de Pechuga de pollo deshuesada', '150 mililitros de Yogur sin dulce', '1 cucharadita de Curry amarillo', '1 cucharadita de Comino', '1 pizca de Pasta de ajo', '20 gramos de Albahaca fresca o menta', '10 gramos de Cilantro fresco', '4 hojas de Lechuga fresca', '4 unidades de Tortillas de harina', '1 pizca de Pimienta', '2 unidades de Cebolla blanca medianas', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-wrap-de-pollo-al-curry-56186.html
Wrap de pollo y vegetales,"Los wraps son una variedad de taco o burritos, consiste en una tortilla de harina de trigo rellena de verduras y alguna proteína como carne de res, jamón o como en este caso pechuga de pollo. Con esta receta fácil aprenderás a preparar una cena balanceada y ligera, un delicioso plato, original y diferente: el wrap de pollo y vegetales.","['1\nAntes de realizar esta receta, el primer paso es alistar todos los ingredientes.', '2\nEn una sartén con aceite, saltear el pimiento rojo y la cebolla cortados en tiras delgadas, cocinar durante unos minutos agregar una pizca de sal, pimienta y un chorrito de salsa de soya.', '3\nAparte, en una sartén con aceite, agregar la pechuga de pollo añadir el sazonador, la sal y la pimienta, cocinar a fuego medio durante 10 minutos.', '4\nCalentar la tortilla especial para wraps en una plancha, esparcir el queso crema y disponer las hojas de lechuga.', '5\nAgregar el pollo cortado en rodajas, la cebolla y el pimiento cocinado y el pepino cortado en tiras delgadas. En este momento envolver el wrap, doblando las esquinas hacia adentro para que sea mas fácil de consumir.', '6\nUna vez este listo, partir el wrap de pollo y vegetales por la mitad, disfrutar. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.']","Valoración: 4,8 (5 votos)",1 comensal,30m,Plato principal,Dificultad baja,,[],"['1 unidad de Tortilla de harina de trigo', '2 hojas de Lechuga romana', '1 unidad de Pimiento rojo', '1 unidad de Cebolla roja', '1 unidad de Pepino', '1 unidad de Pechuga de pollo', '1 cucharada sopera de Queso crema', '1 pizca de Sazonador de pollo', '1 cucharada sopera de Aceite de oliva', '1 cucharada postre de Salsa de soya', '1 pizca de Pimienta', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-wrap-de-pollo-y-vegetales-56187.html
Palitos de hojaldre con queso,"Un aperitivo ideal, muy fácil y rápido de hacer para aquellos que no tienen tiempo y esperan visita. Sorprenderás a cualquiera por su singularidad y buen sabor, que podrás modificar eligiendo el tipo de queso que le pongas: emmental, cheddar, mezclas de 3 o 4 quesos o con un toque de queso azul... Sigue leyendo y prepara con RecetasGratis estos increíbles palitos de hojaldre con queso.","['1\nEl primer paso para elaborar estos palitos de hojaldre con queso es reunir todos los ingredientes que vamos a utilizar sobre la encimera.', '2\nSe desenrolla la masa de hojaldre sobre la bandeja del horno sin quitar el papel y se corta en cuatro partes iguales. Se pone a precalentar el horno a 200ºC.', '3\nUna vez cortada la pasta de hojaldre en cuatro partes se pone el queso rallado y un poquito de pimentón en cada una.', '4\nSe enrollan los palitos de hojaldre salados y con un pincel se untan con el huevo batido.', '5\nSe decoran los palitos de hojaldre rellenos con las semillas de sésamo .', '6\nMetemos al horno los palitos de hojaldre con queso a 200º C unos 15 minutos ¡y listo! Puedes preparar unas croquetas caseras y elaborar un menú a base de entrantes.']",Valoración: 5 (1 voto),4 comensales,30m,Entrante,Dificultad baja,,['Recetas al horno'],"['1 paquete de Masa de hojaldre', '250 gramos de Queso rallado', '1 unidad de Huevo', '1 puñado de Semillas de sésamo', '1 pizca de Pimentón']",https://www.recetasgratis.net/receta-de-palitos-de-hojaldre-con-queso-56160.html
Wrap de pollo y champiñones,"Un wrap es un bocadillo bastante parecido a los tacos y burritos mexicanos que puede llevar una inmensa variedad de rellenos preparados con carne, mariscos o vegetales; sin duda el wrap de pollo es uno de los más populares. A continuación en RecetasGratis.Net te mostraremos cómo hacer wraps de pollo con champiñones, una receta sencilla, rica y saludable. Seguro te encantarán.","['1\nEl primer paso es alistar los ingredientes y utensilios que vamos a ocupar. Para hacer los wraps de pollo comenzamos lavando y desinfectando los vegetales.', '2\nUna vez que las verduras estén limpias, cortamos la cebolla, el ajo, los champiñones y el pollo en rebanadas no muy gruesas para el relleno de los wraps. También el aguacate, pepino y jitomate se rebanan finamente pero éstos se reservan para el momento de servir.', '3\nRociamos una sartén ya caliente con aceite de oliva y salteamos a fuego medio la cebolla y el ajo. En cuanto el ajo desprenda su aroma agregamos el pollo al sartén.', '4\nCuando el pollo se ponga blanco agregamos los champiñones. Salteamos por un par de minutos más o hasta que los champiñones para el wrap de pollo estén cocidos al gusto. Sazonamos con sal y pimienta. Reservamos.', '5\nEn un comal o sartén calentamos las tortillas para wrap y las guardamos en un tortillero o envolvemos con un trapo limpio para que no se enfríen.', '6\nPara montar los wraps de pollo en cada tortilla extendemos una hoja de lechuga, una porción de pollo con champiñones y verduras rebanadas.', '7\nDisfruta de este delicioso wrap de pollo con champiñones en una reunión con amigos o para la próxima cena. Como sugerencia puedes untar la tortilla para wrap con requesón, salsa chipotle, queso crema o algún aderezo de tu preferencia. Enrollamos y servimos inmediatamente.']","Valoración: 4,5 (4 votos)",6 comensales,45m,Entrante,Dificultad media,,[],"['6 unidades de Tortillas para wrap', '4 filetes de Pechuga de pollo', '300 gramos de Champiñones', '100 gramos de Cebolla', '6 hojas de Lechuga', '3 dientes de Ajo', '2 piezas de Jitomate', '1 pieza de Pepino', '1 pieza de Aguacate', '1 pizca de Sal y pimienta', '¼ taza de Aceite de oliva']",https://www.recetasgratis.net/receta-de-wrap-de-pollo-y-champinones-56172.html
Tortillas para wrap,"Las tortillas para wrap están hechas principalmente de harina de trigo, lo que las hace similares a las tortillas de harina y al pan pita. Se utilizan como su nombre lo dice, para cocinar wraps rellenos con una infinita variedad de sabores. Si te ha interesado cómo hacer tortillas para wraps caseras, en RecetasGratis.Net te presentamos una receta sumamente económica y sencilla. Sigue leyendo y descubre el paso a paso.","['1\nComo primer paso para hacer tortillas para wrap alistaremos los ingredientes necesarios.', '2\nMezclamos la harina con la sal en un bol y añadimos el agua poco a poco mezclando con una cuchara hasta que se forme una masa.', '3\nPasamos la masa a una superficie plana y limpia cubierta con un poco de harina. Amasamos un poco, sólo lo necesario para que obtener una textura lisa. Si sientes que la masa para tortillas de wrap está muy seca puedes agregar una cucharada más de agua o una cucharadita de aceite vegetal.', '4\nDividimos la masa en seis porciones y las rodamos contra la mesa para formar bolitas. Entre más grande sea la bolita más gruesa será la tortilla para wrap.', '5\nCon ayuda de un rodillo extendemos la bolita hasta obtener una círculo de aproximadamente 25 centímetros de diámetro. No olvides enharinar ligeramente la superficie donde trabajes para evitar que la masa se pegue.', '6\nEl truco para cocinar tortillas para wrap consiste en la temperatura del comal o sartén. No es necesario rociar con aceite, únicamente debes dejarlo a fuego alto por 7 minutos. Una vez que esté bien caliente bajamos un poco el fuego para evitar que se queme la masa y colocamos la tortilla cuidando no quemarnos.', '7\nEn cuanto veamos que se forman burbujas le damos la vuelta y dejamos dorar al gusto, aunque es recomendable no tostarlas demasiado para que no se quiebren al momento de enrollar los wraps.', '8\nConforme las tortillas para wraps estén listas las iremos guardando envueltas en un trapo limpio y seco para que se mantengan calientitas al momento de servir, por ejemplo para hacer un delicioso plato de wraps de pollo con champiñones.']","Valoración: 4,4 (13 votos)",6 comensales,30m,Entrante,Dificultad baja,,"['Recomendada para veganos', 'Receta sin lactosa', 'Receta sin azúcar', 'Recetas mexicanas']","['2½ tazas de Harina de trigo (350 gramos)', '1 taza de Agua (240 mililitros)', '½ cucharadita de Sal', '10 mililitros de Aceite vegetal']",https://www.recetasgratis.net/receta-de-tortillas-para-wrap-56174.html
Setas tandoori,"El tandoori es un masala clásico de la India y algunas zonas de Pakistán, compuesto por una combinación de especias. Los platos hechos con tandoori, que no es lo mismo que hechos al tandoor (horno típico de la región de Punyab) se caracterizan por tener un sabor intenso y solor rojizo. Y si esta explicación ha llamado tu atención, esta receta también lo hará: setas tandoori","['1\nEl primer paso para preparar este original plato de setas es hacer la salsa tandoori. Para ello, hervir el agua junto con el azúcar moreno a fue medio-alto. Cuando rompa el hervor añadir el concentrado de tomate, el vinagre y el tandorri. Reservar.\nTruco: Si no es posible encontrar los ingredientes exactos de la receta se puede modificar por cualquier especia que se tenga en casa', '2\nA continuación, asar las setas con un ligero toque de aceite y reservar al calor una vez se hayan tostado por todas partes. Para esta cocción es preferible utilizar un wok o una sartén honda.', '3\nAplastar ligeramente la mitad de las vainas de cardamomo y freírlas en el mismo wok o sartén, con un poco más de aceite. Una vez listas, retirar y reservar.', '4\nAbrir el resto de las vainas de cardamomo y extraer las semillas. Luego llevarlas a la sartén junto con las de cebolla y comino y remover hasta que empiecen a crepitar o sonar.', '5\nInmediatamente después incorporar en la sartén las cebolletas, previamente cortadas en rodajas, y las setas salteadas anteriormente. Subir el fuego y continuar la cocción hasta que las cebolletas se tuesten. Tener en cuenta que de la cebolleta sólo se usará la parte tierna. Sazonar con sal al gusto.', '6\nFinalmente, servir las setas tandoori bañando con la salsa preparada previamente y decorar con las vainas de cardamomo fritas. Este delicioso plato con sabores indios se puede acompañar con arroz basmati y lassi de mango. Y si te ha gustado esta receta visita mi blog Cocina con Luz Verde donde encontrarás más detalles sobre las setas tandoori y otros platos.']",Valoración: 4 (1 voto),2 comensales,30m,Plato principal,Dificultad baja,,[],"['150 mililitros de Agua', '2 cucharaditas de Azúcar moreno', '1 chorro de Concentrado de tomate', '1 pizca de Vinagre balsámmico', '1 cucharadita de Tandoori masala', '1 chorro de Aceite de girasol', '12 unidades de Vaina de cardamomo', '1 cucharadita de Semillas de cebolla', '1 cucharadita de Semillas de cilantro', '2 unidades de Cebolletas (sólo la parte tierna)', '1 paquete de Setas variadas']",https://www.recetasgratis.net/receta-de-setas-tandoori-56168.html
Quesadillas norteñas,"En RecetasGratis.net nos encanta la comida mexicana, por eso que queremos enseñarte a preparar quesadillas norteñas de una manera fácil y rápida. Las quesadillas se pueden servir en el desayuno o el almuerzo. No lo pienses más y mira el paso a paso de éstas quesadillas caseras estilo norteño.","['1\nComenzamos nuestras quesadillas norteñas poniendo los utensilios e ingredientes a la mano. Esto con el fin de facilitar nuestro trabajo en cocina.', '2\nSe lavan los chiles poblanos y se asan en un comal, ya caliente a fuego medio o a fuego directo, volteándolos constantemente.', '3\nDespués se meten en una bolsita de plástico y se les hace un nudo para evitar que se salga el vapor, se dejan sudar durante 20 minutos.', '4\nTranscurridos los veinte minutos se sacan los chiles, se les desprende la piel y después se les hace un corte a lo largo, se sacan las venas, semillas, el tronquito y se cortan en rajas.', '5\nEl siguiente paso para nuestras quesadillas caseras es lavar la cebolla y picarla finamente, también picaremos el chorizo en trozos pequeños. Reservamos.', '6\nAparte rallamos el queso chihuahua. Recuerda que si no puedes conseguir este queso puedes usar otro con características similares como el mozarella.', '7\nEn una sartén a fuego medio (sin grasa) se fríe el chorizo, cuando haya soltado su grasa se incorpora la cebolla y las rajas de poblano, se espolvorean con media cucharadita de ajo en polvo, una pizca de sal y pimienta.', '8\nPara armar las quesadillas norteñas, en un comal grande a fuego lento, se calientan las tortillas de harina. Una vez calientes, se le pone un puñito de queso rallado y una cucharada de chorizo con rajas a la mitad y se cubre cada una con otra tortilla encima (como sincronizadas). Se calientan por ambos lados hasta que el queso se haya derretido.', '9\nSirve caliente acompañadas de pico de gallo o alguna otra salsa de tu elección. Si te gustó ésta receta de quesadillas mexicanas, tienes alguna duda, opinión o piensas que podríamos mejorarla no dudes en escribir tus comentarios.']",Valoración: 4 (1 voto),6 comensales,45m,Desayuno,Dificultad media,,['Recetas mexicanas'],"['300 gramos de Queso chihuahua', '300 gramos de Chorizo', '12 unidades de Tortillas de harina', '150 gramos de Cebolla', '300 gramos de Chiles poblanos', '1 cucharadita de Ajo en polvo', '1 pizca de Sal y pimienta']",https://www.recetasgratis.net/receta-de-quesadillas-nortenas-56162.html
Sincronizadas mexicanas,"Las sincronizadas mexicanas son muy sabrosas y se hacen en pocos minutos, lo que las hace perfectas para cuando quieres comer algo rápido en la mañana o tomar una cena ligera. La base para ésta receta tradicional mexicana son simplemente dos tortillas rellenas de jamón y queso que se acompañan muy bien con salsa roja y aguacate. En RecetasGratis.net te mostraremos cómo hacer sincronizadas mexicanas paso a paso, y lo que les quieras agregar queda libre a tu antojo.","['1\nLo primero que tenemos que hacer antes de preparar las sincronizadas mexicanas es alistar todos los ingredientes que vamos a utilizar.', '2\nComenzamos por rallar el queso chihuahua, dividimos el queso y el jamón en tres porciones y reservamos. Si no puedes conseguir queso chihuahua puedes sustituir por queso mozarella o cualquier tipo de queso que se derrita fácilmente.', '3\nCalentamos de dos en dos las tortillas en un comal a fuego medio-bajo, cuidando que no se quemen.', '4\nUna vez que las tortillas de harina hayan tomado un poco de color, colocamos una porción de jamón y una porción de queso en cada tortilla.\nTruco: Puedes utilizar cualquier queso para derretir, por ejemplo queso oaxaca, asadero o manchego.', '5\nSe cubre cada tortilla con la otra encima y se calienta por ambos lados hasta que el queso se haya derretido. Retiramos del comal y todavía calientes cortamos nuestras sincronizadasen cuatro partes.', '6\nLas sincronizadas mexicanas se comen recién salidas del comal y se acompañan muy bien con aguacate, jitomate, chiles en vinagre, pico de gallo o guacamole.']",Valoración: 5 (1 voto),3 comensales,30m,Desayuno,Dificultad baja,,['Recetas mexicanas'],"['6 piezas de Tortilla de harina', '150 gramos de Jamón de cerdo', '150 gramos de Queso chihuahua']",https://www.recetasgratis.net/receta-de-sincronizadas-mexicanas-56161.html
Empanada gallega vegana,"Aunque se sabe que las auténticas empanadas gallegas llevan como ingrediente principal el atún, en esta receta vegana se mantiene el gentilicio ya que en vez de usar atún, se han utilizado algas gallegas, lo que le aportan un sabor a mar único. La empanada gallega vegana es una opción deliciosa y nutritiva que seguro podrá incluir en su dieta.","['1\nPara empezar con esta receta vegana fácil, el primer paso es preparar los ingredientes. Corte la cebolla en juliana y los pimientos en cuadraditos. Si desea añadir ajo a la preparación también córtelo finamente.', '2\nSofría en aceite no muy caliente los vegetales y una vez se hayan ablandado, añada las algas gallegas sin remojar. La verdura debe quedar húmeda para hidratar las algas, sin embargo vigile que no haya líquido en exceso en el fondo de la sartén.', '3\nSazone al gusto el relleno para la empanada gallega vegana con pimienta, tomillo y perejil. Tenga cuidado con la sal, ya que las algas ya son saladas. Deje reposar hasta que tome temperatura ambiente.', '4\nAparte, coloque una pieza de masa en un molde circular, ligeramente engrasado con aceite, y espolvoree el pan rallado para evitar que el relleno vegano empape la masa.', '5\nColoque el relleno, esparciendo de forma uniforme por todos los lados y luego tape la empanada gallega con otro disco de masa.', '6\nFinalmente, lleve la empanada gallega vegana al horno a temperatura alta hasta que la masa esté dorada. Ya solo queda disfrutar este estupendo plato, sano y nutritivo durante la hora de la comida o la cena. Y no olvide visitar mi blog Cocina con Luz Verde donde podrá encontrar una lista de recetas veganas y vegetarianas de todo tipo.']",Valoración: 3 (2 votos),8 comensales,45m,Plato principal,Dificultad baja,,"['Recomendada para veganos', 'Recomendada para vegetarianos', 'Receta sin lactosa', 'Receta sin azúcar', 'Recetas al horno', 'Recetas españolas']","['2 unidades de Cebolla', '1 unidad de Pimiento rojo', '1 unidad de Pimiento verde', '1 diente de Ajo (opcional)', '25 gramos de Algas espagueti de mar', '1 pizca de Sal', '1 pizca de Pimienta', '1 pizca de Tomillo seco', '1 cucharada postre de Perejil picado', '1 paquete de Masa brisa vegana', '½ taza de Pan rallado']",https://www.recetasgratis.net/receta-de-empanada-gallega-vegana-56153.html
