title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
VOLOVANES DE LENGUADO CON UVAS,,"['1\nFormar los volovanes: una vez descongelado el hojaldre, ponerlo en una superficie enharinada; formar cuatro círculos con un cortapastas de seis centímetros marcando en el centro un círculo más pequeño, pero sin llegar a la base.', '2\nColocar sobre una fuente de horno forrada con papel encerado y pintar con huevo batido con unas gotas de agua.', '3\nHornear en el horno precalentado a 180° C durante 20 minutos aproximadamente (hasta que los hojaldres hayan subido convenientemente).', '4\nTambién se pueden comprar ya horneados.', '5\nPaso 2 Pelar y despepitar las uvas; ponerlas en una sartén con 25 gramos de mantequilla y el azúcar.', '6\nRemover con una cuchara de madera durante 5 minutos dejando que se glaseen.', '7\nReservar.', '8\nPaso 3 Lavar los filetes de pescado y secar con papel de cocina; cortar en tiras a lo ancho y salpimentar.', '9\nPasar por harina y poner en una sartén con el resto de la mantequilla fundida.', '10\nAñadir el licor y el zumo de naranja y dejarlo dos minutos.', '11\nRellenar los hojaldres con el pescado.', '12\nAñadir el jugo del lenguado a las uvas, darles un hervor hasta que la salsa comience a espesar ligeramente.', '13\nEntonces cubrir los hojaldres con las uvas y la salsa.', '14\nMeter en el horno precalentado a 180° C durante 10 minutos y servir enseguida.', '15\nColocarlo sobre una fuente de presentación adornado con uvas y perejil.']","Valoración: 3,3 (9 votos)","['perejil picado', '1 lenguado de 1/2 kg en filetes', '1 lámina de hojaldre congelada', '1 racimo de uvas blancas (o combinar con negras)', '1 puerro', '2 naranjas', '2 cucharadas de licor (martini blanco, cognac....)', 'harina para rebozar', '1 cucharada de azúcar moreno', '50 g de mantequilla', 'sal', 'pimienta blanca', 'huevo para pintar']",https://www.recetasgratis.net/receta-de-volovanes-de-lenguado-con-uvas-29683.html,,,,,,
TARRINAS DE PATÉ A LA NARANJA,,"['1\nPicar muy finos los higaditos, el puerro y el ajo.En una sartén con mantequilla, saltear el picadillo anterior y salpimentar. Añadir el zumo, el licor y por último la nata. Retirar, enfriar un poco y pasar todo por la picadora.', '2\nFundir la gelatina en el caldo caliente de ave, sin que llegue a hervir. Reservar.Lavar, secar y cortar la naranja en rodajas finas, y éstas a su vez en cuatro. Colocar uno o dos trozos de naranja en el fondo de cuatro flaneras o moldes individuales, verter encima una capa de gelatina de aproximadamente cinco milímetros. Enfriar y repartir encima el paté. Refrigerar al menos dos horas.', '3\nDesmoldar y servir en platos individuales decorado con hojas de lechuga y tostadas.']","Valoración: 3,3 (10 votos)","['225 g higaditos de pollo limpios', '80 g mantequilla', '1 puerro', '1 diente de ajo', 'zumo de naranja', '30 ml licor de naranja o brandy', '50 ml nata', 'pimienta negra machacada no molida', '1 sobre de gelatina sin sabor', '150 ml caldo de ave colado', '1 naranja para decorar']",https://www.recetasgratis.net/receta-de-tarrinas-de-pate-a-la-naranja-29643.html,,,,,,
PINCHOS DE MEJILLONES Y BACON,,"['1\nLavar los mejillones bajo el grifo, raspando las conchas con un cepillo y eliminando las barbas.', '2\nCocer en una olla un vaso de agua y un vasito de vino oloroso. Añadir el laurel, unos granos de pimienta y la sal. En el primer hervor, echar los mejillones dejándolos el tiempo justo para que se abran. Retirarlos de la olla y dejar enfriar.', '3\nColar el caldo de cocción por un tamiz fino y recoger sobre un cazo; ponerlo de nuevo a fuego lento y agregar la mantequilla, dejando que se reduzca a la mitad. Probar el punto de sal, y si estuviera salado, añadir un poco de nata líquida.', '4\nRetirar los mejillones de la concha, pasando un cuchillo para separarlos. Pelar el ajo y prensar en un mortero con perejil y dos cucharadas de aceite. Pincelar los mejillones con esta mezcla y dejar macerar.', '5\nEliminar la corteza al bacon y cortar en 2 o 3 trozos cada loncha. Envolver cada mejillón en una porción de bacon e insertarlos en brochetas alternando un trozo de puerro y pimiento de padrón (cada brocheta llevará tres mejillones). Freir en una plancha con aceite o al horno, hasta que el bacon esté crujiente.', '6\nPelar el puerro y cortar en ruedas de un dedo de grosor; lavar los pimientos y secar.', '7\nServir las brochetas cubiertas de la salsa de oloroso.']",Valoración: 4 (87 votos),"['1 kg mejillones', '200 g bacon fresco', '2 puerros', 'pimientos de padrón (o sustituir por pimientos morrones)', '1 diente de ajo', '1 cucharada pimentón picante', 'perejil', 'laurel', 'nata líquida (optativa)', '1 vasito de oloroso', '50 g mantequilla', 'aceite de oliva', 'sal', 'granos de pimienta blanca']",https://www.recetasgratis.net/receta-de-pinchos-de-mejillones-y-bacon-29635.html,4 comensales,30m,,Dificultad baja,,[]
PATÉ DE CAZA,,"['1\nPicar las cebollas y rehogarlas en la mantequilla a fuego medio-bajo, hasta que esté transparente.', '2\nAgregar a la sartén con la cebolla y los licores, remover y apartar del fuego.', '3\nPasar a un cuenco amplio.', '4\nForrar un molde rectangular con el beicon, dejando que las lonchas superen la altura de los bordes.', '5\nMezclar los restantes ingredientes, la cebolla y remover hasta quedar bien incorporados.', '6\nVerter en el molde, nivelar y cubrir con el beicon.', '7\nCubrir el molde con papel de horno y con papel de aluminio.', '8\nHornear al baño María dos horas a 180° C.', '9\nPoner peso encima y dejar 12 horas en la nevera.', '10\nDesmoldar.']","Valoración: 3,5 (13 votos)","['2 cebollas grandes', '60 g mantequilla', '350 g beicon en lonchas sin ahumar', '80 ml oporto', '30 ml brandy', '500 g carne de jabalí picada', '90 g tocino picado', '200 g hígado de ave picado', '2 dientes de ajo machacado', '2 huevo batidos medianos', 'Sal', 'Pimienta negra recién molida']",https://www.recetasgratis.net/receta-de-pate-de-caza-29311.html,,,,,,
SANDWICHES DE PAVO,,"['1\nQuitar la corteza del pan de molde y cortar con un cortapastas redondo. Tostar el pan.', '2\nDesmenuzar el pavo y reservar. Batir la mayonesa, el queso, la mostaza, la sal y la pimienta y mezclar con el pavo. Picar muy menudo el tomate y desechar las semillas. Pelar y cortar en rodajas finas el pepino.', '3\nSobre una rebanada de pan untar ligeramente mantequilla, colocar tres lonchas de pepino. Poner encima un poco de la mezcla de pavo y encima un montoncito de tomate. Servir con patatas fritas.']","Valoración: 3,4 (10 votos)","['8 rebanadas de pan de molde integral', 'los restos del pavo asado', '4 cucharadas mayonesa', '4 cucharadas queso cremoso', '1 cucharadita mostaza', 'sal y pimienta', '2 tomates', '1 pepino', '30 gr de mantequilla', 'patatas fritas para acompañar']",https://www.recetasgratis.net/receta-de-sandwiches-de-pavo-29278.html,,,,,,
CANAPÉS DE PATÉ Y CHAMPIÑONES,,"['1\nDescongelar la masa de hojaldre. Limpiar y laminar los champiñones, no muy finos.', '2\nEn una sartén, saltear ligeramente en la mantequilla las láminas de champiñón, sazonar y reservar.', '3\nExtender el hojaldre sobre una placa de horno forrado con papel y cortar cuadrados de 6 x 6 cm. Extender en el centro una capa de paté.', '4\nColocar dos láminas de champiñón en dos ángulos opuestos, unirlos con tiras de pimiento.', '5\nCerrar o doblar las dos puntas sobrantes. Hornear e 20 a 25 minutos a 190° C hasta que se doren.']","Valoración: 3,5 (10 votos)","['500 g masa de hojaldre ya preparada', '50 g mantequilla', '200 g paté', 'Sal', '150 g champiñones pequeños', 'Tiras de pimientos del piquillo de bote']",https://www.recetasgratis.net/receta-de-canapes-de-pate-y-champinones-29257.html,,,,,,
Pinchos morunos,,"['1\nCortar la carne en dados de tres centímetros aproximadamente.', '2\nLimpiar los tomates y reservar.', '3\nPaso 2 Mezclar el aceite, el pimentón dulce, el picante, las hierbas, la sal y la pimienta.', '4\nUntar completamente los dados de carne y dejar reposar toda la noche.', '5\nPaso 3 Insertar en los pinchos los dados de carne, intercalando con los tomates y asar a la parrilla durante 8-10 minutos aproximadamente.', '6\nCorte el pan en lonchas, frotar con el ajo y poner a la parrilla hasta que dore y esté crujiente. Servir los pinchos con el pan regando con un chorrito de aceite de oliva.']","Valoración: 3,9 (252 votos)","['600 gramos de Carne magra de cerdo', '300 gramos de Tomates cherry', '3 cucharadas soperas de Aceite', '1 cucharadita de Pimentón dulce', '½ cucharadita de Pimentón picante', '2 hojas de Laurel fresco', '1 cucharadita de Tomillo', '1 pizca de Sal', '1 pizca de Pimienta recién molida', '1 rebanada de Pan', '2 dientes de Ajo', '200 mililitros de Aceite de oliva virgen']",https://www.recetasgratis.net/receta-de-pinchos-morunos-29123.html,4 comensales,30m,Entrante,Dificultad baja,,['Recetas españolas']
Empanadas sanjuaninas rellenas,,"['1\nCortar la carne en tiritas de ½ cm de espesor y luego en cuadraditos.', '2\nCalentar en una olla la grasa o manteca, agregar las cebollas picadas, el pimiento morrón y el tomate condimentar con sal.', '3\nTapar la cacerola y cocinar a fuego moderado revolviendo de tanto en tanto hasta que estén transparentes pero no doradas.', '4\nAdicionar la carne revolviendo y cuando cambie de color, retirar la olla del fuego.', '5\nCondimentar con el ají molido, el pimentón, el comino y más sal si fuera necesario.', '6\nIncorporar las pasa de uva previamente remojadas 20 minutos en agua tibia y escurrirlas sobre papel absorbente.', '7\nVolcar la preparación en un recipiente dejar enfriar y llevar a la heladera hasta que se endurezca.', '8\nDistribuir el relleno sobre cada disco de masa, sin llegar a los bordes, encima ponerle una aceituna y un huevo duro.', '9\nHumedecer el contorno que quedo libre con agua y hacer el repulgo.', '10\nColocar las empanadas sobre una placa ligeramente aceitada, separadas entre sí.', '11\nPincelarlas con agua, cocinarlas en horno caliente hasta que estén doradas.']",Valoración: 4 (5 votos),"['1 tapa de tarta para horno (ver masas básicas en panadería y repostería) 500 g de nalga cortada en escalopes', '250 g de cebolla de verdeo picada', '250g de cebolla común picada', '150g de grasa de cerdo, vacuna o manteca', '2 cucharaditas de pimentón dulce', 'Sal', 'ají molido a gusto', '½ cucharadita de comino', '50g de pasas de uva sin semillas', '24 aceitunas verdes descarozadas', '3 huevos duros', '1 ají morrón sin semillas ni nervaduras picado', '1 tomate sin piel ni semillas picado']",https://www.recetasgratis.net/receta-de-empanadas-sanjuaninas-rellenas-29007.html,,,,,,
Sandwich de atún ligth,,"['1\nMezclar en un bol, el queso crema, la ciboulette, la mostaza y las aceitunas picadas.', '2\nHacer una pasta homogéna y salpimentar.', '3\nUntar abundantemente los panes, agregar el atún y el huevo duro picado.']","Valoración: 3,3 (9 votos)","['8 rodajas de pan lactal negro', '3 cucharadas de queso blanco descremado', '1 cda de ciboulette picado', '100 g de aceitunas picadas', '200 g de atún al natural escurrido y desmenuzado', '3 huevos duros picados', 'Sal', 'Pimienta a gusto']",https://www.recetasgratis.net/receta-de-sandwich-de-atun-ligth-28972.html,,,,,,
Brochetas de camarón al carbón,"Échale un vistazo a esta receta de brochetas de camarón al carbón tan fácil y rápida que te proponemos en RecetasGratis para conseguir un plato delicioso. Además, puedes añadir o quitar las verduras que tú prefieras y así preparar la receta a tu manera. Y si preparas también una salsa para las brochetas de camarón al carbón, ¡será aún mejor!","['1\nLos camarones se sazonan con el jugo de limón, la sal, el ajo y la pimienta, y se van ensartando en unos palillos de madera largos.', '2\nDe manera alternada se van formando las bochetas de camarones para asar poniendo un camarón, un trozo de tocino, un trozo de pimiento, y un trozo de cebolla, y así hasta terminar de rellenar cada palillo de madera.', '3\nPoner las brochetas de camarones a las brasas sobre una parrilla antiadherente a fuego bajo hasta que todos los ingredientes estén ligeramente asados.\nTruco: Si te pasas de cocción el marisco puede quedar muy seco.', '4\nServir las brochetas de camarones al carbón recién hechas para que estén bien calientes.No te pierdas estas otras recetas de camarones en brochetas para degustar en otra ocasión:Pinchos de camarones al pestoPinchos de camarones con piña al grillPinchos de camarón y coco']","Valoración: 3,6 (14 votos)","['16 camarones grandes y pelados', '1 cebolla en trozos', '1 pimiento rojo cortado en cuadros o tiras', 'Tocino en rebanadas', 'Jugo de limòn como sazonador', 'Sal', 'Pimienta molida al gusto', 'Ajo en polvo', '1 pimiento verde cortado en cuadros o tiras (opcional)']",https://www.recetasgratis.net/receta-de-brochetas-de-camaron-al-carbon-28948.html,4 comensales,15m,Entrante,Dificultad baja,,[]
