title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Pincho de Langostinos de Tafalla,,"['1\nSe pinchan en un palillo des guindillas, una anchoa y una aceituna.', '2\nPuede decorarse con salsa vinagreta.']","Valoración: 3,3 (18 votos)","['Guindillas', 'Anchoas en aceite', 'Aceitunas rellenas de anchoas']",https://www.recetasgratis.net/receta-de-pincho-de-langostinos-de-tafalla-31801.html,,,,,,
Montadito de Salmón,,"['1\nSe tuesta el pan y sobre él se pone una anchoa.', '2\nEncima se coloca medio huevo cocido y se decora con mahonesa.', '3\nPor último, se ralla huevo cocido sobre el Pincho y se pone una gamba cocida encima.']","Valoración: 4,2 (15 votos)","['Pan tostado', 'huevo cocido', 'anchoas en aceite', 'gambas cocidas', 'mayonesa.']",https://www.recetasgratis.net/receta-de-montadito-de-salmon-31789.html,,,,,,
Pincho Trintxerpe,,"['1\nPara blanquear las anchoas, quitar las espinas, y cubrirlas con vinagre y sal durante 2 horas.', '2\nDespués, las pasamos por agua y las dejamos escurrir.', '3\nSalsa: ponemos en una sartén, en aceite con ajo picado, pimientos troceados y dejamos rehogar durante 5 minutos.', '4\nA continuación tendremos las anchoas extendidas en una bandeja para rociarlas con la salsa.']","Valoración: 3,4 (9 votos)","['Anchoas', 'vinagre', 'sal', 'Aceite de oliva', 'ajos', 'pimiento verde', 'pimiento rojo', 'perejil']",https://www.recetasgratis.net/receta-de-pincho-trintxerpe-31779.html,,,,,,
Hojaldre relleno de pudín,,"['1\nSe mezcla el pudín con la anchoa, la chatka y el atún.', '2\nSe acompaña con un poco de mahonesa y se rellena el hojaldre con la mezcla.', '3\nPara terminar, se decora con un langostino.']",Valoración: 4 (6 votos),"['Pudín de pescado', 'anchoa', 'chatka', 'atún', 'un langostino.']",https://www.recetasgratis.net/receta-de-hojaldre-relleno-de-pudin-31765.html,,,,,,
Montadito de Revueltos del piquillo con anchoas,,"['1\nSe pican bien los ajos y se rehogan.', '2\nSe añaden los pimientos del piquillo troceados a tiras y, cuando ya están pochados, se echan las anchoas limpias.', '3\nUna vez hechas, se añade el huevo y se mezcla todo bien.', '4\nSe coloca esta masa sobre el pan tostado y se adorna con un poco de pimiento verde en tiras.']","Valoración: 4,2 (11 votos)","['Pimientos del piquillo', 'anchoas', 'ajos', 'aceite de oliva', 'huevos', 'pan tostado', 'pimiento verde.']",https://www.recetasgratis.net/receta-de-montadito-de-revueltos-del-piquillo-con-anchoas-31743.html,,,,,,
Montadito de Salmón con huevo,,"['1\nSe coloca una loncha de salmón encima del pan tostado.', '2\nSobre el salmón se coloca una rodaja de huevo y se cubre con mahonesa.', '3\nPara terminar, se coloca una gamba cocida y pelada y se adorna con huevo rallado por encima.']","Valoración: 4,5 (11 votos)","['Pan tostado', 'salmón', 'huevo', 'gambas', 'mayonesa.']",https://www.recetasgratis.net/receta-de-montadito-de-salmon-con-huevo-31744.html,,,,,,
Montadito de Bonito con tomate,,"['1\nSe pican muy fino el huevo y la cebolla y se mezcla bien con el bonito desmigado y el tomate.', '2\nColocamos la mezcla sobre la rebanada de pan y adornamos con huevo rallado.']","Valoración: 4,3 (8 votos)","['Bonito', 'tomate natural', 'huevo cocido', 'cebolla', 'rebanada de pan frito.']",https://www.recetasgratis.net/receta-de-montadito-de-bonito-con-tomate-31746.html,,,,,,
Pincho Txapela,,"['1\nSe limpian los champiñones y se toman dos sombreros por cada txapela.', '2\nLos freímos en aceite muy caliente.', '3\nPor otra parte, preparamos las gambas al ajillo.', '4\nColocamos sobre un mini biscotte un sombrero de champiñón frito y lo rellenamos con las gambas al ajillo.', '5\nEncima pinchamos el otro sombrero al revés.']","Valoración: 3,4 (9 votos)","['Champiñones', 'Gambas', 'Ajo', 'Mini biscottes']",https://www.recetasgratis.net/receta-de-pincho-txapela-31737.html,,,,,,
Pincho Intxaurrondo,,"['1\nMousse de gamba: Se tritura el pastel de gamba y se mezcla con la mahonesa.', '2\nEsto se coloca en la rebanada de pan y se adorna con unas gambas y una flor de mahonesa.', '3\nEnsaladilla:', '4\nColocamos la misma sobre el pan, cubriéndolo bien.', '5\nDespués, colocamos una rodaja de huevo, mahonesa y huevo rallado en abundancia.', '6\nPara decorar se coloca algo de color encima, en este caso una rodaja de zanahoria.']",Valoración: 4 (4 votos),"['Salmón y', 'jamón muy picados', 'huevos', 'chatka', 'pastel de gamba', 'gambas', 'aceitunas', 'huevo', 'patatas', 'pimiento bonito', 'mahonesa.']",https://www.recetasgratis.net/receta-de-pincho-intxaurrondo-31736.html,,,,,,
Montadito Flor de Salmón,,"['1\nSobre la rebanada de pan se coloca una loncha de salmón y encima de éste, se pone el pimiento rojo, el verde y la cebolla picada.', '2\nPor último se salpica con salmón.']",Valoración: 4 (11 votos),"['Rodaja de pan', 'salmón ahumado', 'pimiento rojo', 'pimiento verde', 'kiwi', 'cebolla.']",https://www.recetasgratis.net/receta-de-montadito-flor-de-salmon-31717.html,,,,,,
Montadito de Revuelto de champiñón,,"['1\nSe corta el champiñón muy picado y se pone en una cazuela.', '2\nSe le añaden el ajo y la guindilla bien picados y se agrega el aceite y la sal.', '3\nSe deja cocer hasta que sea espeso y se sirve sobre una rebanada de pan.']","Valoración: 4,2 (15 votos)","['Champiñón', 'guindilla', 'ajo', 'aceite', 'sal.']",https://www.recetasgratis.net/receta-de-montadito-de-revuelto-de-champinon-31710.html,,,,,,
Pinchos del Cantábrico,,"['1\nPrimero mezclamos la mahonesa con bonito en escabeche y la colocamos en una rodaja de pan en forma alargada.', '2\nRociamos lechuga muy picada sobre la banderilla.', '3\nColocamos una anchoa en aceite encima de la banderilla, a lo largo.', '4\nCon el rallador, rociamos un poco de huevo duro y adornamos con un montoncito de mahonesa encima de las anchoas.']","Valoración: 3,5 (20 votos)","['Bonito en escabeche', 'Mahonesa', 'Lechuga rallada', 'Anchoa', 'Huevo rallado', 'Una rodaja de pan']",https://www.recetasgratis.net/receta-de-pinchos-del-cantabrico-31702.html,,,,,,
Pincho Koxkero,,"['1\nPelar las gambas y salpimentar.', '2\nBatir el huevo para rebozar, añadiéndole poco de perejil picado.', '3\nPoner 2 ó 3 gambas en un palillo, pasar por harina y huevo y freír a fuego medio hasta que estén dorados.']","Valoración: 4,7 (3 votos)","['Gambas', 'perejil', 'sal', 'pimienta', 'huevo', 'harina.']",https://www.recetasgratis.net/receta-de-pincho-koxkero-31700.html,,,,,,
Pincho Tolosa,,"['1\nSe corta la masa de hojaldre en tiras y se envuelve en cada una un trozo de txistorra pequeño.', '2\nSe baña el hojaldre con huevo batido y se mete a horno fuerte (250º), hasta que estén dorados.']",Valoración: 4 (3 votos),"['Plancha de hojaldre', 'txistorra.']",https://www.recetasgratis.net/receta-de-pincho-tolosa-31694.html,,,,,,
Montadito Tradicional,,"['1\nSe parten los pepinillos por la mitad, colocándose el bonito en el interior. Se cierra todo con un palillo.', '2\nSe cubre con una anchoa y se remata con una aceituna. Por último, se aliña con la vinagreta hecha a base de aceite, vinagre, pimiento y cebolla, bien picados.']","Valoración: 3,3 (20 votos)","['Pepinillo', 'Bonito', 'Anchoas en salazón', 'Aceitunas rellenas', 'Pimientos verdes', 'Cebolla', 'Aceite', 'Vinagre']",https://www.recetasgratis.net/receta-de-montadito-tradicional-31691.html,,,,,,
Pincho Urraki,,"['1\nColocamos una loncha de jamón encima de una rebanada de pan.', '2\nSobre el jamón se sirve un huevo de codorniz frito.']","Valoración: 3,3 (18 votos)","['Jamón de jabugo', 'Huevos de codorniz']",https://www.recetasgratis.net/receta-de-pincho-urraki-31685.html,,,,,,
Pincho Azpeiti,,"['1\nSe unta el pan con mahonesa y se colocan dos rodajas de huevo encima.', '2\nSobre el huevo colocamos dos filetes de anchoa y adornamos con mahonesa en la mitad.', '3\nPor último, se espolvorea el Pincho con huevo rallado como adorno.']","Valoración: 4,1 (10 votos)","['Huevo duro', 'anchoas en aceite', 'mahonesa']",https://www.recetasgratis.net/receta-de-pincho-azpeiti-31684.html,,,,,,
Montadito de Huevo y jamón de York,,"['1\nSe realiza la masa que consiste en picar muy finito el jamón de York y el huevo cocido y se junta con la mahonesa.', '2\nSe colocan sobre el pan tostado dos rodajitas de huevo cocido y sobre ello se coloca la masa.', '3\nSe ralla un poco de huevo (yema) y se colocan dos langostinos encima.']",Valoración: 4 (3 votos),"['Jamón de York', 'huevo cocido', 'mahonesa', 'langostinos.']",https://www.recetasgratis.net/receta-de-montadito-de-huevo-y-jamon-de-york-31673.html,,,,,,
Montadito de salmón y queso fresco,,"['1\nSe corta el queso a la medida del pan de molde, se unta un poco de mahonesa sobre el queso y encima se coloca una loncha de salmón.', '2\nCubrimos con mahonesa el salmón y decoramos con un trozo de pimiento del piquillo.']","Valoración: 3,4 (19 votos)","['Queso de Burgos', 'salmón ahumado', 'mahonesa', 'pimiento del piquillo']",https://www.recetasgratis.net/receta-de-montadito-de-salmon-y-queso-fresco-31676.html,,,,,,
Pincho peni,,"['1\nSe tuesta el pan y, una vez frío, se unta en él queso fresco.', '2\nSe decora con nuez pelada y con un dátil partido por la mitad.']",Valoración: 4 (8 votos),"['Pan casero', 'queso fresco', 'nueces', 'dátiles.']",https://www.recetasgratis.net/receta-de-pincho-peni-31658.html,,,,,,
Montadito Hogaza de lomo,,"['1\nSe tuesta una rebanada de pan y se coloca una loncha de queso encima. Por otra parte, hacemos el lomo con los pimientos y, cuando esté hecho, se pone encima del queso junto con los pimientos.']","Valoración: 3,3 (18 votos)","['Pan de molde', 'queso para fundir', 'lomo adobado', 'pimiento del pico']",https://www.recetasgratis.net/receta-de-montadito-hogaza-de-lomo-31657.html,,,,,,
Montadito de salmón ahumado,,"['1\nHacemos una masa con salsa rosa, clara de huevo cocido y langostinos.', '2\nSe cubre el pan con esta masa y se ponen encima unas tiras de salmón como adorno.']","Valoración: 3,3 (3 votos)","['Pan de molde', 'Salsa rosa', 'Clara de huevo', 'Langostino cocido picado', 'Salmón ahumado']",https://www.recetasgratis.net/receta-de-montadito-de-salmon-ahumado-31627.html,,,,,,
Montadito Ronda,,"['1\nPicamos el jamón y lo mezclamos con la mahonesa.', '2\nLo ponemos encima del pan de salvado y se decora con un langostino abierto.']","Valoración: 2,8 (23 votos)","['Pan de salvado', 'Jamón de York', 'Mahonesa', 'Langostino cocido']",https://www.recetasgratis.net/receta-de-montadito-ronda-31625.html,,,,,,
