title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Caldereta de cordero castellana,"La caldereta de cordero castellana consiste en un plato tradicional muy rico y contundente. Un guiso muy completo que contiene carne, verduras y patatas. Asimismo, debes saber que estos platos de cuchara son típicos para la época de frío aunque pueden degustarse todo el año. Por otro lado, según la zona puede cambiar algún ingrediente, pero siempre queda bueno. Un guiso que puedes cocinar a fuego lento, aunque tarda su tiempo, pero también puedes cocinar en olla rápida que también queda muy bien.En RecetasGratis te enseñamos cómo hacer caldereta de cordero castellana. ¡A comer!","['1\nPrimero pide al carnicero que corte el cordero en trozos y salpimienta. A continuación, en un plato añade harina y enharina los trozos de cordero. Pon una cazuela amplia con un buen chorro de aceite de oliva a fuego fuerte y coloca los trozos de cordero y dóralos, retira y reserva.', '2\nLava y corta en trozos pequeños el pimiento rojo, el pimiento verde y la cebolla, pícala finamente. Pon un poco más de aceite en la cazuela donde has dorado el cordero, añade la cebolla y el pimiento, deja se poche unos minutos. A continuación, cuando estén medio pochadas las verduras, añade los dientes de ajos picados y la hoja de laurel. Deja que se cocine un par de minutos sin que se queme el ajo.', '3\nAñade el tomate triturado a las verduras. Deja unos minutos con cuidado que no se pegue.', '4\nAñade el vino blanco y deja unos minutos para que se evapore el alcohol.', '5\nIncorpora la carne de cordero que has reservado y cubre con agua o caldo. Pon un poco de sal y pimienta y deja que se cocine durante 30 minutos a fuego medio. Si ves que se queda muy seco, añade más agua o caldo.\nTruco: si no tienes caldo puedes comprarlo ya hecho o hacerlo con una pastilla de caldo.', '6\nLimpia y corta las zanahorias y las patatas, córtalas en trozos que no sean muy grandes. A continuación, échalas a la cazuela con la carne y deja que se cocine hasta que las zanahorias y las patatas queden cocidas.', '7\nCuando observes que la caldereta de cordero castellana está lista, prueba de sal y, si hace falta, rectifica.', '8\n¡Lista para comer la caldereta de cordero de la abuela! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,1h 30m,,Dificultad media,,[],"['1 kilogramo de cordero( paletilla,cuello, pierna..)...', '1 pimiento rojo', '1 pimiento verde', '1 cebolla', '2 dientes de ajos', '3 patatas', '2 zanahorias', '100 gramos de tomate natural triturado', '150 mililitros de vino blanco', '500 mililitros de agua o caldo', '1 hoja de laurel', 'harina', 'aceite de oliva', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-caldereta-de-cordero-castellana-76582.html
Magro de cerdo en salsa de la abuela,"¿Te gustan las recetas con magro de cerdo? Pues bien, si es así, prepara un magro de cerdo en salsa de la abuela, una carne muy jugosa y tierna con una salsa muy sencilla y sabrosa. La carne de cerdo en salsa es completamente sabrosa y existen muchos cortes del cerdo ideales para hacerlos con salsa, como esta que te presentamos a continuación. Si lo deseas, puedes preparar el plató de un día para otro para que todo el conjunto adquiera más sabor.Asimismo, en RecetasGratis te enseñamos cómo hacer magro de cerdo en salsa de la abuela. ¡A cocinar!","['1\nPara hacer la receta de magro en salsa de la abuela, primero prepara las verduras. Para ello, pica la cebolla pequeñita. También, lava y pica el pimiento verde y el pimiento rojo muy pequeño.', '2\nCorta el magro en tacos, puedes pedir al carnicero que lo haga. A continuación, añade sal y pimienta a los tacos de carne y también dos cucharadas de harina por encima de la carne.', '3\nCuando estén las verduras a medio sofreír, añade la carne con la harina y deja que se cocine la carne. Cuando adquiera un poco de color con cuidado que no se quemen las verduras, ve removiendo todo.', '4\nCuando se haya dorado un poco y las verduras estén bien pochadas añade el tomate frito y los dos dientes de ajo, remueve y mézclalo bien. Deja que adquiera todos los sabores sin que se queme el ajo.', '5\nIncorpora el vino blanco y deja se reduzca el alcohol 2-3 minutos.', '6\nCubre la carne con un vaso de agua, añade un poquito de sal y pimienta, deja se cocine todo unos 40 minutos. Ve removiendo la carne y, si se consume la salsa, añade más agua. Si tienes olla rápida puedes poner la carne y en 10 minutos la tendrás lista.', '7\nPasado los 40 minutos mira que el magro de cerdo en salsa de vino blanco esté tierno y, si observas que le falta un poco, déjala unos 15 minutos más. Según la carne y el grosor puede necesitar más cocción.', '8\nPrueba de sal y rectifica si hace falta. Puedes triturar la salsa de vino blanco con una batidora si no te gusta encontrar trozos de verduras. ¡Listo! ¿Qué te ha parecido esta carne de cerdo en salsa muy tierna? Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,1h 30m,,Dificultad baja,,[],"['600 gramos de magro de cerdo en tacos', '1 cebolla', '1 pimiento verde', 'un trozo pimiento rojo', '2 dientes de ajos', '100 mililitros de vino blanco', '2 cucharadas soperas de tomate frito', 'sal', 'pimienta negra', 'aceite de oliva', 'harina']",https://www.recetasgratis.net/receta-de-magro-de-cerdo-en-salsa-de-la-abuela-76556.html
Tacu tacu con lomo,"El tacu tacu es uno de los platos criollos más populares de la comida peruana. Su origen nos remonta a la necesidad de los esclavos afroperuanos de reservar un poco de las menestras y arroz del almuerzo para mezclarlos, aderezarlos y comerlos en el desayuno del día siguiente. Por tanto, este potaje nos deja el aprendizaje de utilizar la comida que nos sobró el día anterior, crear un platillo nuevo para el almuerzo y no desperdiciar comida. Este es un plato a base de arroz y crema de frejoles aderezados acompañado de piezas de lomo fino ahumados, bañados en una salsa de sillao, vinagre, con cebollas crocantes y tomates jugosos.En RecetasGratis queremos enseñarte cómo hacer tacu tacu con lomo saltado.","['1\nEmpieza la receta de tacu tacu de frejoles y lomo sancochando los frejoles remojados desde la noche anterior y agrega el tocino ahumado o la grasa de cerdo. Cuando los frejoles estén perfectamente cocidos, separa una parte y licúa hasta que queden cremosos, luego vuelve a incorporar a la olla con frejoles enteros. Si tienes una procesadora de mano puedes usarla directamente en la olla y triturar hasta que veas una mezcla de frejoles cremosos, pero con algunos granos aún enteros. Reserva.', '2\nAparte, en una sartén, haz un sofrito con un chorrito de aceite, cebolla picada, una cucharada de ajo molido o de preferencia picado y ají en pasta. Sazona con comino, pimienta, orégano seco molido y sal al gusto. Mantén en fuego moviendo de vez en cuando hasta que este aderezo adquiera la consistencia de una mermelada y notes que se va separando ligeramente del aceite. Luego, vuélcalo en la olla de frejoles, mezcla bien y deja enfriar.', '3\nPara granear el arroz, en una olla mediana honda o en una olla arrocera, comienza sofriendo una cucharada de ajo molido o finamente picado con un chorro de aceite. Cuando veas que el ajo empieza a dorarse, vierte 1 ½ taza de agua, agrega sal al gusto, tapa y deja granear. Enfría.', '4\nPara el tacu tacu peruano, une el arroz con los frejoles y mezcla bien. Rectifica la sazón y consistencia. En este momento puedes porcionar esta mezcla.\nTruco: esta mezcla debe estar lo suficientemente compacta para que no pierda la forma al voltear y no debe estar demasiado cremosa para evitar que se pegue en la sartén. Por ello, agrega más frejol o agua si la mezcla está muy seca o añade más arroz si la mezcla está muy suave.', '5\nPon a calentar una sartén, coloca el cubo de mantequilla y deja que se derrita. Seguidamente vierte una porción de tacu tacu, aplástala en el borde de la sartén para que adopte la forma curva y deja dorar.', '6\nCuando ese lado esté dorado, dale vuelta por los otros lados hasta obtener un dorado uniforme. Al final, el tacu tacu debe tener la forma de una papa rellena o un tamal. Reserva.', '7\nPara el lomo saltado, corta la cebolla y los tomates en gajos gruesos. También corta los ajíes amarillos por la mitad y retira las semillas, venas y el tallo y, luego, córtalos en juliana. Reserva estos vegetales por separado.', '8\nCorta la pieza de lomo en tiras gruesas y vuélvelas a cortar en cubos grandes.', '9\nContinúa colocando una sartén a fuego alto y agrégale un chorro de aceite. Cuando esté bien caliente coloca la carne en cubos y deja sellar sin mover. Cuando la carne esté bien dorada superficialmente, vierte un chorrito de pisco y empieza a flambear.\nTruco: si tu sartén no es lo suficientemente grande para sellar todas las piezas de carne, puedes separar la carne y hacerlo en dos tiempos hasta que esté en término medio, luego reserva y vuélvela a incorporar hasta justo antes de servir.', '10\nCuando el alcohol se haya evaporado, incorpora la cebolla en gajos, ajo molido, ají en juliana, vinagre, sillao y salsa de ostión. Ve salteando por un par de minutos y termina integrando los tomates en gajos y el perejil picado.', '11\nRetira de fuego cuando la carne esté en término medio o tres cuartos (según el punto de cocción de tu preferencia) y sirve encima del tacu tacu. ¡Buen provecho! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,1h 30m,,Dificultad baja,,['Recetas peruanas'],"['1 taza de arroz blanco', '200 gramos de tocino o grasa de cerdo en trocitos', '2 tazas de frejol canario', '1 cebolla morada picada', '3 cucharadas soperas de ají amarillo o mirasol en pasta', '2 cucharadas de postre de ajo molido', '1 pizca de orégano', '1 pizca de pimienta negra en polvo', '1 pizca de comino en polvo', '1 chorro de aceite', '1 cubo de mantequilla', 'sal al gusto', '½ kilogramo de lomo fino', '2 cebolla roja', '3 tomates grandes', '2 ajíes amarillos medianos', '1 cucharadita de ajo molido', '3 cucharadas soperas de sillao', '2 cucharadas soperas de vinagre tinto', '1 cucharadita de salsa de ostión', '1 chorro de pisco (opcional)', 'perejil picado c/n']",https://www.recetasgratis.net/receta-de-tacu-tacu-con-lomo-76559.html
Receta TRADICIONAL,"La kofta turca es una preparación muy parecida a las albóndigas tradicionales, pero más especiadas. Normalmente van presentadas en una brocheta insertada, aunque también se le puede dar forma de pequeñas hamburguesas. Las koftas turcas son normalmente fritas, pero también podemos cocinarlas a la parrilla o al horno si queremos hacerlas un poco más ligeras. Aunque las turcas son las más famosas, son muchos las países que tienen entre su gastronomía estas típicas masas de carne picada, así como en Oriente Medio, la India o los Balcanes.Si quieres aprender cómo hacer kofta turca, quédate en RecetasGratis y sigue leyendo la receta, verás qué fácil es realizar esta elaboración. ¡A cocinar!","['1\nPara preparar unas deliciosas koftas turcas, pela en primer lugar las cebollas y los dientes de ajos y pícalos finamente.', '2\nSeguidamente, en un bol amplio pon las cebollas y los ajos picados, la carne de ternera picada, las yemas de huevo, el yogur griego, el pan rallado, las cucharitas de curry, comino y orégano, las guindillas troceadas si te gusta el picante, el perejil picado, sal y pimienta negra recién molida al gusto y un pequeño chorrito de aceite de oliva. Mezcla bien con las manos hasta amalgamar bien todos los ingredientes.', '3\nForma una bola con toda la masa de ingredientes para los koftas turcos y reserva en el bol tapado con papel film. Guarda en la nevera durante tres horas.', '4\nUna vez haya pasado el tiempo de reposo, retira la mezcla para koftas turcos y coge porciones de masa, dale una forma de albóndiga, pero algo más alargada con las manos.', '5\nUna vez hayas dado forma a la kofta turca, pon en una sartén con el aceite de oliva al fuego. Cuando haya calentado bien el aceite, fríe en ellas las koftas, pero no pongas muchas a la vez para que se cocinen bien. Dale la vuelta con unas pinzas de cocina una vez hayan cogido color por una de las caras.', '6\nVe depositando las koftas turcas en un plato con papel absorbente y pincha cada una con un palo de brocheta para presentarlas con su forma más típica.', '7\nSirve enseguida las koftas turcas. Anímate a preparar esta deliciosa receta turca en casa y si es así, cuéntanos qué te ha parecido la receta y si te animas, envíanos una foto con el resultado final.Espero que te haya gustado la receta y te invito a que visites mi blog Cakes para ti.']",,6 comensales,45m,Entrante,Dificultad baja,,[],"['3 cebollas medianas', '2 dientes de ajos', '1 kilogramo de carne picada de ternera', '2 yemas de huevo', '50 gramos de pan rallado', '2 cucharadas soperas de yogur griego', '1 cucharadita de curry', '1 cucharadita de comino molido', '2 cucharadas de postre de perejil picado', '2 pimientas de cayena (opcional)', '1 pizca de pimienta negra recién molida', '1 cucharadita de orégano', '1 pizca de sal', '500 mililitros de aceite de oliva']",https://www.recetasgratis.net/receta-de-kofta-turca-76546.html
Lomo en salsa de la abuela,"El lomo de cerdo es una carne muy tierna, con poca grasa y exquisita para hacerla a la plancha, al horno o en salsa, como este plato de lomo en salsa de la abuela. Una carne de cerdo en salsa de la abuela que puedes preparar en poco tiempo y con ingredientes que nunca faltan en casa. Además, si lo deseas, puedes acompañar este plato con unos champiñones, con unas patatas fritas con verduras, etc.Asimismo, en RecetasGratis te enseñamos cómo hacer lomo en salsa de la abuela. ¡A cocinar!","['1\nPara hacer los filetes de lomo en salsa de la abuela, pide al carnicero que corte los trozos de lomo de 1 cm cada uno. Limpia los trozos de lomo de grasa que a veces hay por los lados. Pon sal y pimienta en cada trozo de lomo.', '2\nPon una cazuela a fuego medio alto con un buen chorro de aceite de oliva, cuando esté caliente dora los filetes de lomo por los dos lados. saca los trozos de lomo y reserva. Cuando estés dorando los filetes de lomo, a mitad pela los ajos, córtalos en rodajas un poco gordas y añádelas al aceite para que suelten todo el sabor en el aceite ala vez que se hace la carne, ten cuidado no se quemen.', '3\nEn el mismo aceite donde tenemos los ajos añade una cucharada de harina, deja se cocine un minuto para que luego la salsa no sepa a harina.', '4\nAñade el vino blanco, deja unos minutos para que se evapore el alcohol.', '5\nPon los trozos de lomo en la cazuela, añade un vaso de agua, lo justo para que queden cubiertos los trozos de lomo. Echa un poco más de sal y pimienta, deja que se cocine unos 10 minutos. Si ves que se queda seca la salsa o se espesa demasiado, ve añadiendo más agua al gusto.', '6\nPor otro lado, saltea en una sartén con un poco de aceite los champiñones laminados de lata o frescos. Cuando estén un poco dorados, añade una picada de ajo y perejil, saltea todo junto un minuto y lo sacas del fuego.', '7\nIncorpora los champiñones a la cazuela junto con el lomo, deja un par de minutos que se mezclen todos los sabores, si hace falta pon más sal o pimienta si ves que hace falta. Pica finamente un poco de perejil, échalo por encima de la carne y sirve bien caliente.', '8\n¡A comer los exquisitos filetes en salsa receta de la abuela! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final']",,4 comensales,30m,,Dificultad baja,,[],"['750 gramos de filetes de lomo', '3 dientes de ajos', '1 cucharada sopera de harina', '150 mililitros de vino blanco', 'Aceite de oliva', 'sal', 'pimienta', '1 lata de champiñones', 'perejil picado']",https://www.recetasgratis.net/receta-de-lomo-en-salsa-de-la-abuela-76538.html
Carrillada de cerdo en salsa de vino tinto,"Si quieres preparar una comida con antelación, aquí te dejamos estas carrileras de cerdo al vino tinto, un plato rico y sencillo de preparar que puedes hacer de un día para otro, ya que aún estarán más buenas. Una carne muy jugosa y tierna con una salsita donde no puede faltar el pan.Asimismo, en RecetasGratis te enseñamos cómo hacer carrillada de cerdo en salsa de vino tinto. ¡Vamos allá!","['1\n¿Te preguntas cómo hacer las carrilleras? Pues bien, para hacer las carrilleras en salsa de vino tinto, primero limpialas, quita la grasa y la piel que puedan tener. A continuación, salpimienta las carrilleras, pon en un plato harina y rebózalas quitando el exceso.', '2\nPara cocinar las carrilleras, pon un buen chorro de aceite de oliva con el fuego fuerte y dora las carrileras por fuera, retira y reserva.', '3\nPrepara las verduras. Para ello, pela y corta la cebolla, el puerro y la zanahoria en trozos pequeños. En la misma cazuela donde se han dorado las carrileras, añade un poco más de aceite y echa las verduras picadas y la hoja de laurel, deja que se doren a fuego medio.', '4\nCuando estén las verduras a medio cocinar, añade el tomate frito, deja un par de minutos se cocine todo junto. Añade también un poco de sal a las verduras.', '5\nCuando tengas el sofrito, añade el vino tinto, deja que se cocine todo hasta que el alcohol se evapore, unos 3-4 minutos.', '6\nIncorpora las carrileras de cerdo a la cazuela y añade el caldo o el agua hasta que queden cubiertas las carrilleras. Dejamos todo que se cocine a fuego medio durante 90 minutos o hasta que la carne quede bien tierna. El tiempo de cocinado puede variar según el tamaño de la carne. También debes tener cuidado que no se pegue la salsa, ya que tanto tiempo de cocción se irá consumiendo la salsa. Añade más caldo o agua.', '7\nCuando ya esté la carne cocida, si te gusta que quede una salsa bien ligada y espesita, retira las carrilleras de cerdo de la cazuela y tritura la salsa con las verduras, también puede reducir a fuego medio alto la salsa.En este artículo de RecetasGratis puedes conocer Cómo espesar una salsa.', '8\nVuelve a poner las carrilladas en salsa vino tinto, que se cocine unos minutos más todo junto, prueba de sal y pimienta, rectifica.', '9\n¡Ya está lista para comer la carrillada al vino tinto! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,2h 30m,,Dificultad media,,[],"['8 carrileras de cerdo sin hueso', '1 cebolla', '1 trozo de puerro', '1 zanahoria', '200 mililitros de vino tinto', '1 hoja de laurel', '400 mililitros de agua o caldo', '100 gramos de harina', '4 cucharadas soperas de tomate frito', 'aceite de oliva', 'pimienta', 'sal']",https://www.recetasgratis.net/receta-de-carrillada-de-cerdo-en-salsa-de-vino-tinto-76424.html
Matambre a la pizza parrilla,"La parrilla es un punto de encuentro para los argentinos. Tanto sea la parrilla de casa, que reúne amigos y familia como la de los restaurantes, donde quienes no disponen de este instrumento en casa pueden disfrutar del plato más argentino que hay. Siempre es un buen momento para comer asado, celebraciones, cumpleaños, partidos, cualquier excusa es válida para que un argentino desee una carne cocida sobre las brasas. En esta oportunidad, junto a Recetas Gratis, te enseñaremos a preparar matambre a la pizza a la parrilla. Te enseñaremos algunos trucos para que no quede chicloso sino suave por dentro, crocante por fuera y con un delicioso sabor a los ingredientes de la pizza.En RecetasGratis te enseñamos cómo hacer matambre a la pizza a la parrilla. ¡A por ello!","['1\nPara comenzar con la preparación del matambre a la pizza, hierve el matambre unos 30 minutos para que esté más tierno. Si lo deseas, puedes saborizar el agua con laurel, así como vegetales como zanahoria, cebolla, puerro, acelga.\nTruco: puedes retirar un poco de grasa previamente.', '2\nMientras, condimenta el puré de tomate con la provenzal seca y el ají molido para que las especias se hidraten.', '3\nTambién lava y corta el tomate en rodajas y la mozzarella en porciones para tener todo listo antes de comenzar con la cocción de la carne en la parrilla.', '4\nAhora sí, es momento de cocinar la carne. Para ello, dispón la cara con más grasa sobre la parrilla bien caliente. Lo sabrás porque no podrás mantener tu mano encima más de 3 o 4 segundos. Mantenla de este lado por unos 10 minutos hasta que logre un color dorado como ves en la imagen. Gírala para continuar con el próximo paso.', '5\nAl girar la carne, píntala con el puré de tomate y agrega el queso mozarrella. Recomendamos la tapes con una asadera o tapa de olla para que se derrita mejor.', '6\nPasados unos 5 minutos, que el queso haya empezado a derretirse, agrega las rodajas de tomate y las aceitunas. Tápalo por 2 minutos más', '7\nSirve tu matambre a la pizza a la parrilla y listo para comer. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,3 comensales,1h 30m,Plato principal,Dificultad baja,,['Recetas argentinas'],"['1 kilogramo de matambre de cerdo', '25 centímetros cúbicos de puré de tomate', '1 cucharada postre de provenzal', '1 pizca de ají molido', '4 aceitunas', '1 cucharada sopera de orégano', '100 gramos de mozzarella', '1 tomate']",https://www.recetasgratis.net/receta-de-matambre-a-la-pizza-parrilla-76515.html
Bondiola de cerdo a la cacerola,"La bondiola de cerdo, también conocida como aguja de cerdo, corresponde al pescuezo del animal. Gracias a la grasa intramuscular que posee, resulta uno de los cortes más sabrosos, tiernos y jugosos. Es muy versátil para su cocción, ya que con cualquier método que elijas, resultará un plato riquísimo. Para esta receta, hemos elegido el método estofado, con el que obtendrás una carne muy tierna, que prácticamente se corta con una cuchara y con un sabor insuperable.En RecetasGratis te enseñamos cómo hacer bondiola de cerdo a la cacerola. ¡Vamos a cocinar!","['1\n¿Te preguntas cómo cocinar bondiola de cerdo? Pues bien, lo primero que debes hacer es limpiar el exceso de grasa exterior de la bondiola.', '2\nPosteriormente, alista todas las verduras: cebolla, pimiento, ajo y zanahoria. Lava, pela y corta cada una de ellas en trozos no demasiado pequeños.\nTruco: puedes agregar otras verduras como puerro o apio, que aportarán más sabor al plato.', '3\nCalienta la cacerola, vierte allí una cucharada de aceite y sella la bondiola dorándola por todos sus lados.', '4\nUna vez sellada la carne, añade el vino tinto para levantar todo el sabor del fondo de cocción y deja evaporar el alcohol unos minutos.\nTruco: en lugar de vino tinto, puedes usar cerveza. Le dará un sabor y aroma muy particular.', '5\nAñade las verduras, el caldo y los condimentos. Revuelve bien, tapa la olla y deja cocinar a fuego fuerte hasta que rompa hervor. Luego, baja a fuego mínimo y continúa cocinando la bondiola de cerdo a la cacerola durante 1 y ½ hora, siempre con la olla tapada.\nTruco: si usas olla a presión, puedes cocinarlo menos tiempo. Si usas otro tipo de cacerola, revuelve cada tanto, vigila que no se pegue en el fondo y agregar líquido si lo necesita.', '6\nUna vez transcurrido el tiempo de cocción prueba y, si hace falta, rectifica sabores. Apaga el fuego y deja reposar durante 10 minutos antes de servir. La bondiola a la cacerola fácil está lista, así que vamos a comer. Comparte con nosotros tu opinión y fotos del resultado final en comentarios.']",,3 comensales,1h 30m,Plato principal,Dificultad baja,,"['Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten']","['1 kilogramo de bondiola de cerdo', '1 cebolla', '½ pimiento rojo', '1 diente de ajo', '1 zanahoria', '1 cucharada sopera de aceite', '1 copa de vino tinto', '500 centímetros cúbicos de caldo de verduras', 'sal, pimienta, romero, tomillo, aji molido, al gusto']",https://www.recetasgratis.net/receta-de-bondiola-de-cerdo-a-la-cacerola-76488.html
"Redondo de ternera, receta de la abuela","No hay nada mejor que un redondo de ternera, receta de la abuela para preparar un día de celebración o en el día a día. Debes saber que es una carne que puedes hacer con antelación, el día antes y así aun quedará más buena la carne y la salsa. Asimismo, el redondo de ternera lo puedes cocinar de muchas maneras: en una cazuela de barro y que se haga a fuego medio, solo que puede tardar 2 horas según la carne, al horno también lleva su tiempo o en olla express en 30-40 minutos, según la olla.En RecetasGratis te enseñamos cómo hacer redondo de ternera jugoso, receta de la abuela. ¡A cocinar!","['1\nPrimero prepara el redondo de ternera. Para ello, pide en tu carnicería que te lo den atado, así ya no tienes que hacerlo tú. Añade al redondo sal y pimienta.', '2\nPrepara el resto de los ingredientes: limpia los champiñones, pica las cebollas, pela y corta la zanahoria y pela los ajos.', '3\nPon una cazuela a fuego medio-alto con un chorro de aceite de oliva, dora el redondo por todos los lados. Cuando esté a medio dorar, añade la cebolla que se vaya pochando todo junto.', '4\nAñade las zanahorias picadas y deja todo unos 5 minutos. Incorpora también los dientes de ajo, remueve y añade el tomate frito o natural.', '5\nCuando tengas las verduras pochadas, añade el vino blanco y déjalo se cocine 3-4 minutos hasta que se evapore el alcohol. Luego, añade el caldo o el agua hasta que quede casi cubierta la carne. A continuación, deja que se cocine la carne durante 1 o 1,30 hora. Si tienes olla rápida, en 30-40 minutos lo puedes tener listo según el grosor de la carne.', '6\nCuando observes que está el redondo de ternera guisado está tierno, retíralo y déjalo enfriar para poder cortar en lonchas.', '7\nDeja la salsa en la cazuela, puedes triturarla o dejar las verduras. Prueba de sal y rectifica. A continuación, saltea los champiñones en una sartén y añade a la salsa, deja todo unos minutos.', '8\nCorta la carne en rodajas y colócala en una fuente de servir. Acompaña el redondo de ternera, receta de la abuela con las verduras, los champiñones y la salsa. Puedes poner parte de la salsa en una salsera para que se sirvan los comensales.\nTruco: para mantener la carne caliente, introduce en el horno a una temperatura baja.']",,6 comensales,1h 30m,,Dificultad baja,,[],"['1 redondo de ternera', '2 cebollas', '3 zanahorias', '150 gramos de tomate natural o frito', '2 dientes de ajos', '250 gramos de champiñones', '200 mililitros de vino blanco', '500 mililitros de caldo o agua', 'aceite de oliva', 'pimienta', 'sal']",https://www.recetasgratis.net/receta-de-redondo-de-ternera-receta-de-la-abuela-76486.html
Budín salado,"Te presentamos una receta sumamente versátil e ideal para picnic, reuniones, fiestas e incluso para llevar como vianda al trabajo y al colegio. Se trata de un delicioso budín salado, muy esponjoso y liviano, relleno con jamón y queso. Su preparación es rápida y utilizamos ingredientes sencillos que seguramente tienes en tu cocina.En RecetasGratis te enseñamos cómo hacer budín salado. ¡A cocinar!","['1\nUnta con aceite un molde de 24 x 9 x 6 cm. Luego, cubre con papel manteca o papel vegetal y acéitalo también. Enciende el horno para precalentarlo a 180 °C.', '2\nPica la cebolla de verdeo y saltéala en una sartén con una cucharada sopera de aceite.', '3\nCorta en cubos el jamón y el queso cremoso o muzzarella.\nTruco: también puedes utilizar un queso duro, del tipo pategras o Mar del Plata, lo que le dará un sabor algo más picante.', '4\nBate los huevos en un bol hasta que blanqueen.', '5\nA continuación, incorpora el aceite, la leche, la mostaza y los condimentos (sal, pimienta, orégano). Vuelve a batir hasta que todo se integre.\nTruco: es recomendable ser medidos con la sal, porque estamos usando embutidos y quesos que ya la contienen en su elaboración. Asimismo, los condimentos son a gusto, por lo tanto puedes usar otros si lo prefieres.', '6\nAgrega los cubos de jamón y queso, la cebolla rehogada y el queso rallado. Integra con una espátula.', '7\nAñade la mitad de la harina tamizada junto con el polvo para hornear. Integra realizando movimientos envolventes. Agrega el resto de la harina y sigue realizando movimientos envolventes para incorporar bien todos los ingredientes. Obtendrás una preparación bastante espesa.', '8\nVierte la masa de budín de jamón y queso en el molde, empareja la superficie y lleva a horno precalentado a 180°C por alrededor de 25 minutos hasta que suba, dore y el test del palito salga limpio.', '9\nUna vez cocido, retira del horno y deja entibiar unos minutos antes de desmoldar.', '10\nTodo listo, ya puedes desmoldar el budín salado y comprobar lo rico y esponjoso que resulta. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",,4 comensales,45m,Plato principal,Dificultad baja,,"['Receta sin azúcar', 'Recetas al horno']","['1½ tazas de harina 0000', '1 cucharadita de polvo para hornear', '2 huevos', '½ taza de leche (120 mililitros)', '½ taza de aceite neutro (girasol o soja)', '100 gramos de jamón cocido', '50 gramos de queso cremoso o muzzarella', '2 cucharadas soperas de queso rallado', '1 cebolla de verdeo pequeña', '1 cucharada postre de mostaza', 'sal, pimienta y orégano al gusto']",https://www.recetasgratis.net/receta-de-budin-salado-76437.html
