title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Ensalada de garbanzos con tomate y pepino,"En verano lo que apetece es comer ensaladas, platos frescos que nos aporten energía pero que no nos destrocen con una digestión pesada. Pues bien, teniendo todo esto en cuenta, nada mejor que una rica ensalada de legumbres, que además de ser una forma estupenda de aprovechar las legumbres durante épocas de calor, son plato nutritivos y refrescantes.Aprende entonces con RecetasGratis y con esta receta compartida desde nuestra App, cómo hacer una ensalada de garbanzos con tomate y pepino. Sírvela como entrante o como plato principal y aprovecha lo mejor de los días de verano.","['1\nEl primer paso para preparar nuestra ensalada fresca con garbanzos será picar el tomate y el pepino en trozos pequeños, si tienes una mandolina también puedes picarlos en rodajas muy finas.', '2\nColocamos esto en un bol o una ensaladera y añadimos los garbanzos cocidos. En mi caso, los garbanzos los he comprado en un tarro ya precocidos; por tanto los he sacado de dicho tarro y los he aclarado con agua.Si prefieres hacerlos tu mismo puedes revisar la receta de garbanzos con langostinos para revisar su procedimiento de y consejos de cocción.', '3\nPara aliñar la ensalada hacemos una mezcla con el resto de ingredientes de la lista, sal, aceite y vinagre. El ajo y el perejil es opcional aunque te recomiendo probarlo porque le da un toque especial a la ensalada de verano. Otro aderezo fantástico para este tipo de ensaladas es el clásico aderezo de limón y cilantro, el mismo que usamos en la ensalada de garbanzos con aguacate.', '4\nSirve en dos platos la ensalada de garbanzos con tomate y pepino y ¡a disfrutar!Este plato te permitirá disfrutar de los beneficios de las legumbres como el garbanzo durante épocas de calor cuando no apetece comer platos de cuchara, así que ¡no dejes de probarlo!']",,2 comensales,10m,Plato principal,Dificultad baja,,['Recomendada para veganos'],"['400 gramos de Garbanzos cocidos', '2 Tomates', '2 Pepinos', '1 pizca de Sal', '1 chorro de Aceite de oliva', '1 chorro de Vinagre', '1 pizca de Ajo blanco en polvo', '1 rama de Perejil']",https://www.recetasgratis.net/receta-de-ensalada-de-garbanzos-con-tomate-y-pepino-61916.html
Ensalada verde con manzana,"Aprende a preparar una rica ensalada de manzana y queso con un aderezo sencillo pero con un sabor insuperable. Lo cierto es que las ensaladas son la mejor forma de resolver la hora de la comida cuando no tenemos ganas de cocinar y por ello te presentamos está combinación de ingredientes que te hará agua la boca.Una ensalada verde con manzana, sencilla pero muy rico y sobre fresca, para que disfrutes de la comida sin preocuparte por cocinar o ensuciar muchas cosas. Vamos entonces con la receta paso a paso.","['1\nPara preparar nuestra ensalada verde empezamos por partir la lechuga y trocearla con las manos. Yo he utilizado un corazón de lechuga romana pero podéis usar la que más os guste o tengáis en casa. La lavamos bien, centrifugamos y dejamos escurrir.Mientras escurrimos también las aceitunas y las cebollitas. Ponemos todo en un bol.', '2\nA continuación picamos el queso Gouda en dados y lo incorporamos junto con la manzana que previamente hemos lavado y partido en trozos pequeños, más o menos del mismo tamaño del queso.Recuerda no pelar la manzana.', '3\nIncorporamos los colines integrales partidos en dos o tres trozos junto con el puñado de pasas. Por último ponemos la lechuga perfectamente escurrida.Para esta ensalada de lechuga, manzana y queso puedes usar picatostes caseros o cualquier toro tipo de colines o grisines de pan.', '4\nPara aliñar la ensalada verde, añadimos con aceite, sal y una pizca de especias para ensalada. Mezclamos bien ¡y a la mesa!Si no tenemos especias para ensalada las podemos suprimir o sustituir por las especias que tengamos en casa (pimienta, ajo, orégano, comino, albahaca...)', '5\nEsta ensalada verde con manzana es perfecta para los días de verano cuando nos apetece comer fresco y ligero. Además, podrás añadir cualquier tipo de extras como frutos secos o incluso otras frutas como piña.No olvides dejar tus comentarios y visitar el blog de Los Dulces Secretos de Cuca para encontrar más recetan tan originales y deliciosas como esta.']",,4 comensales,15m,Acompañamiento,Dificultad baja,,[],"['1 Lechuga', '1 lata de Aceitunas negras', '90 gramos de Cebollitas en vinagre', '100 gramos de Queso Gouda', '1 puñado de Pasas sultanas', '1 Manzana verde', '10 Colines integrales', '1 pizca de Sal', '1 chorro de Aceite de oliva virgen extra', '1 cucharadita de Especias para ensalada']",https://www.recetasgratis.net/receta-de-ensalada-verde-con-manzana-61791.html
Ensalada de tomate con huevo duro,"Sigue con atención las instrucciones de esta receta fácil y aprende a preparar una rica ensalada de tomate con huevo duro para que incluyas como guarnición o entrante en tu menú.Esta receta compartida desde nuestra aplicación de RecetasGratis es una maravilla, fácil de preparar y con una combinación de sabores y colores deliciosa. Añade el aderezo a tu gusto o sigue el consejo de esta cocinero para darle al plato un toque único gracias a un aceite de albahaca.","['1\nAntes de montar nuestra ensalada lo primero que debemos hacer es cocinar los huevos. Calienta agua en un cazo y deja que hiervan durante 10 minutos. Luego, dejar enfriar y una vez fríos, cortarlos a cuartos. Reservar.Si quieres conocer los trucos para que hacer huevos duros, revisa el artículo de huevos cocidos perfectos.', '2\nPor otro lado, pelamos los tomates y los cortamos en rodajas. Si prefieres también puedes cortarlos a gajos, esto es completamente al gusto. Reservar', '3\nPara hacer el aderezo, trituramos las hojas de albahaca con un poco de aceite. Cuando lo tengamos ponemos esto en un biberón de cocina.El aceite de albahaca lo podrás usar no solo para aliñar ensaladas sino para dar un toque de sabor extra a todo tipo de platos, no dejes de probarlo sobre una bruschetta de tomate por ejemplo.', '4\nPara emplatar la ensalada de tomate ponemos en cada plato una cama de mezclum de lechugas. Encima colocamos las rodajas de tomates intercalando los cuartos de huevo cocido.Añadimos entonces las olivas y aderezamos con sal, aceite de albahaca y vinagre al gusto.', '5\nLa ensalada de tomate con huevo duro es deliciosa así que espero que os guste!! y no olvides dejar tus comentarios.Para combinar puedes preparar unos grisines caseros. ¡A disfrutar!']",Valoración: 5 (1 voto),4 comensales,10m,Entrante,Dificultad baja,,[],"['4 Tomates', '4 Huevos', '1 bolsa de Mezclum de lechugas', 'Olivas aliñadas', '1 chorro de Aceite de oliva', '1 pizca de Sal y Pimienta', '1 chorro de Reducción de Vinagre', '1 puñado de Hojas de albahaca']",https://www.recetasgratis.net/receta-de-ensalada-de-tomate-con-huevo-duro-61827.html
Ensalada César con fruta,"¿Quién no ha oído hablar de la ensalada César? Seguro que todos en alguna ocasión la hemos comido o al menos nos han servido o hemos preparado alguna variante porque cada cual la prepara en su casa como le viene en gana.Pues bien, en esta ocasión comparto en RecetasGratis una de las versiones que hacemos en mi casa que nada tiene que ver con la original, salvo el uso de la salsa César y la lechuga. Se trata de la ensalada César con fruta, una ensalada fresca deliciosa y con una combinación de sabores que te sorprenderá.Espero que os guste y os animéis a probarla porque está muy rica. Igual muy ligera no es, pero por una vez ¡no pasa nada! y si os apetece preparar un buen postre para acompañarla no dudéis visitar mi blog Los dulces secretos de Cuca donde os esperan un montón de ideas más.","['1\nEmpezamos por preparar la lechuga, entonces la partimos, la lavamos, la centrifugamos y reservamos. Yo suelo utilizar corazón de lechuga romana y pongo un tercio o la mitad si es más pequeña.Necesitamos huevos cocidos, así que los ponemos en un cazo cubiertos con agua y los ponemos a fuego durante unos 5 minutos hasta que rompan a hervir. Retiramos del fuego, les quitamos el agua caliente, cubrimos con agua fría y pasados unos minutos los pelamos. Reservamos.', '2\nPor otro lado, escurrimos el maíz y lo ponemos en nuestra ensaladera. Lavamos y troceamos la manzana, dejando la piel, y la añadimos a la ensaladera junto con las pasas.También partimos la piña en trocitos y la incorporamos junto con una cucharada o dos de su jugo. Esta ensalada con salsa César y frutas es una delicia, así que no dejes de añadir ninguno de estos ingredientes.', '3\nA continuación partimos el queso en daditos y lo ponemos junto con los huevos picados.Partimos el bacon en daditos también y lo salteamos hasta que esté hecho y crujiente, recuerda que no hace falta añadir nada de aceite, ya que se hará en su propia grasas. Escurrimos la grasa que haya soltado y añadimos el bacon a la ensalada.', '4\nFinalmente, incorporamos la lechuga muy bien escurrida y ponemos la salsa César. Movemos muy bien hasta que los ingredientes estén aliñados con la salsa y bien mezclados.Si quieres hacer el aderezo tu mismo puedes seguir la receta de salsa César casera, con fotos en el paso a paso para que no pierdas detalle.', '5\nPor último y justo antes de servir nuestra ensalada César con fruta, añadimos un puñado de cebolla frita, volvemos a mezclar ¡y a disfrutar de esta rica ensalada!Existen miles de opciones disponibles a la hora de preparar la famosa ensalada César, como la César de berros, pero ahora sabes que también puedes combinar la receta tradicional con fruta, así que no olvides dejarnos tus comentarios y contarnos que te pareció este original plato.']","Valoración: 3,5 (2 votos)",2 comensales,30m,Plato principal,Dificultad baja,,[],"['1 Lechuga', '1 lata de Piña en su jugo (pequeña)', '1 Manzana verde', '150 gramos de Bacon en taco', '1 puñado de Pasas sultanas', '100 gramos de Queso gouda', '1 puñado de Cebolla frita', '2 Huevos', '100 mililitros de Salsa césar', '1 lata de Maíz dulce']",https://www.recetasgratis.net/receta-de-ensalada-cesar-con-fruta-61724.html
Ensalada de aguacate y marisco,"Otra receta compartida desde nuestra aplicación de RecetasGratis, esta vez un plato gourmet que hará agua la boca a más de uno pues se trata de una combinación de aguacate, mariscos y ceviche, sencillamente irresistible.La ensalada de Doña Concha es una ensalada de aguacate y marisco que podrás preparar para una ocasión especial o cuando quieras sorprender a tus invitados. Completar la presentación como la que se ve en la foto es más sencillo de lo que crees así que no dudes ni un segundo, consigue todos los ingredientes de la lista y prepárate a cocinar un manjar como nunca antes.","['1\nPara hacer esta fantástica ensalada de aguacate con pescado lo primero que haremos será reunir todos los ingredientes. Si tienes dudas con alguno de ellos aquí tienes un par de recetas que te puede ayudar:Pulpo cocidoCeviche de pescado', '2\nAhora empezamos con la preparación previa al armado de la ensalada. Pica el jitomate y el pepino en media luna. La cebolla en corte pluma y el pulpo cocido lo picamos en tacos del tamaño de un bocado.También exprime el zumo del limón y reserva.', '3\nAhora mezclamos la verdura en un bol amplio. Añadimos los camarones pelados junto con el pulpo y sazonamos con sal y pimienta al gusto. En este punto añadimos un poco de limón y movemos todo de manera uniforme.', '4\nPara la presentación de la ensalada de aguacate, colocamos una cama de ceviche en el plato, encima montamos la ensalada formando una montaña y terminamos decorando con un abanico de aguacate, chile verde picado y una pizca de ajonjolí negro.', '5\nY ¡a comer! Esta ensalada de aguacate y marisco la puedes acompañar con aceite de oliva extra virgen o cualquier otro aderezo de tu preferencia.Y si quieres cambiar la base, en vez de ceviche de pescado puedes utilizar ceviche de langostinos o uno vegetal, como el ceviche de lentejas.']",,4 comensales,10m,Plato principal,Dificultad baja,,[],"['80 gramos de Jitomate', '30 gramos de Cebolla morada', '50 gramos de Pepino', '1 pizca de Sal y Pimienta', '100 gramos de Camarón cocido y pelado', '100 gramos de Pulpo cocido', '30 gramos de Aguacate', '50 gramos de Ceviche de pescado', '1 Limón verde', '1 pizca de Ajonjolí negro', '1 Chile serrano']",https://www.recetasgratis.net/receta-de-ensalada-de-aguacate-y-marisco-61807.html
Ensalada de patatas y judías blancas,Para que en verano no cueste comer legumbres comparto en RecetasGratis la receta de una rica y completa ensalada de alubias blancas y atún que seguro os sorprende por su sabor e invita a más de uno a repetir aunque no sea muy amigo de las legumbres... ¿os animáis? Si buscáis más recetas deliciosas y veraniegas como esta ensalada de patatas y judías blancas no olvidéis pasar por mi blog Los dulces secretos de Cuca.,"['1\nComenzaremos a preparar esta ensalada de patatas y judías blancas poniendo las alubias en un escurridor y las lavamos bien bajo el chorro del grifo para eliminar el líquido que las conserva. Las dejamos escurrir.', '2\nPor otro lado, pelamos las patatas y las partimos en trocitos. Las ponemos en una cazuela, las cubrimos de agua y las ponemos al fuego hasta que estén blandas pero firmes.Al mismo tiempo, cocemos los huevos (los ponemos al fuego y cuando rompan a hervir los dejamos de cinco a siete minutos, retiramos el agua caliente, los cubrimos de agua fría y pasados unos minutos los pelamos y reservamos).', '3\nMientras tanto, pelamos y partimos en trocitos la cebolla. La ponemos en un bol amplio. Troceamos el pimiento asado y lo añadimos a la cebolla. Pelamos los tomates, los troceamos y los incorporamos a la ensaladera. Escurrimos la lata de atún y lo ponemos en el bol también.\nTruco: Si en vez de una ensalada de alubias blancas y atún lo cambias por migas de bacalao salado ¡es una delicia!', '4\nAñadimos las alubias bien escurridas, el huevo picado y las patatas recién cocidas y escurridas. Aliñamos con sal, pimienta negra, aceite de oliva y un par de cucharadas del jugo de los pimientos en conserva. Mezclamos bien y dejamos reposar la ensalada de patatas y alubias blancas.', '5\nPara mi gusto esta ensalada de patatas y judías blancas está más rica si reposa al menos unas horas en la nevera. La sacamos diez minutos antes de servir, mezclamos bien ¡y a disfrutar!']",Valoración: 4 (1 voto),4 comensales,45m,Plato principal,Dificultad baja,,[],"['1 bote de Alubias blancas cocidas (400 gramos)', '4 Patatas medianas', '1 lata de Atún en aceite', '1 bote de Pimientos rojos asados (pequeño)', '2 Huevos', '1 pizca de Sal', '1 pizca de Pimienta negra molida', '1 chorro de Aceite de oliva virgen extra', '1 Cebolla pequeña', '2 Tomates']",https://www.recetasgratis.net/receta-de-ensalada-de-patatas-y-judias-blancas-61727.html
"Ensalada de tomate, atún y queso fresco","Las ensaladas de tomate son un imprescindible en la mesa en verano ya que es uno de los platos que más nos apetece preparar (porque requiere de poco tiempo, poco esfuerzo y menos calor en la cocina) y comer porque son fresquitas, admiten muchos ingredientes y nos sientan bien a la par que nos ayudan a cuidar esa línea que el chiringuito de la playa o de la piscina se empeña en descuidar.Esta vez comparto en RecetasGratis una ensalada de tomate, atún y queso fresco que en casa preparo a menudo, y una vez en la mesa es vista y no vista ¿te animas? El postre está servido en Los dulces secretos de Cuca ¡no te olvides de pasar por mi blog!","['1\nEl primer paso para preparar esta rica ensalada de tomate, atún y queso fresco es lavar los tomates y secarlos. Después los partimos en dados dejándoles la piel y los ponemos en una ensaladera.', '2\nA continuación, escurrimos bien el maíz dulce y la caballa o atún en aceite (según lo que hayamos escogido) y los añadimos a la ensaladera junto con las aceitunas y las rodajas de pepinillo.\nTruco: Yo utilizo rodajas de pepinillo dulces y picantes, pero si no tenéis podéis usar pepinillos en vinagre normales y cortarlos en trozos.', '3\nPor último partimos el queso de Burgos en daditos y lo incorporamos junto con los colines integrales partidos en dos o tres trozos y las pasas a la ensalada de tomate y atún.\nTruco: Si en vez de hacer una ensalada de tomate y queso de Brugos quieres utilizar otro tipo de queso fresco no hay problema.', '4\nAliñamos con aceite, sal y albahaca seca, removemos con cuidado para no destrozar el queso ¡y a disfrutar de esta ensalada de tomate, atún y queso fresco bien fresquita!']",,2 comensales,15m,Entrante,Dificultad baja,,[],"['3 Tomates', '1 lata de maíz dulce', '1 lata de Atún o caballa en aceite', '60 gramos de Aceitunas verdes sin hueso', '250 gramos de Queso burgos', '60 gramos de Rodajas de pepinillos en vinagre', '8 Colines integrales de pan', '1 chorro de Aceite de oliva virgen extra', '1 pizca de Albahaca seca', '1 pizca de Sal', '1 puñado de Pasas sultanas']",https://www.recetasgratis.net/receta-de-ensalada-de-tomate-atun-y-queso-fresco-61662.html
Moje murciano,"Esta ensalada típica de Murcia también se conoce como moje o mojete. La base principal de este plato es el tomate, sin embargo, presenta una particularidad, y es que en verano se hace con tomates de la huerta y el resto del año con tomates envasados. Para hacerla, me he decantado por la segunda opción, por ser muy práctica y francamente deliciosa. En este sentido, para evitar el sabor a lata de los tomates hay que tener la precaución de sacarlos de la lata y dejarlos que se aireen a temperatura ambiente por lo menos media hora.Espero que te guste esta ensalada tan adecuada para todo el año y te invito a pasar por mi blog Con tu pan te lo comas, donde encontrarás muchas más con ingredientes para todos los gustos ¿Te animas con la ensalada murciana o moje murciano? ¡Pues vamos allá!","['1\nLo primero que hacemos es escurrir los tomates de la lata y dejarlos en un plato para que se aireen durante media hora, tiempo que aprovecharemos para hervir los huevos, refrescarlos y pelarlos.', '2\nUna vez pasado el tiempo, troceamos los tomates y los mezclamos con la cebolleta cortada en plumas. También escurrimos el atún en aceite y lo incorporamos para continuar con la elaboración del moje murciano. Ahora, aliñamos con sal y aceite de oliva virgen extra y mezclamos bien todos los ingredientes.', '3\nPresentamos la ensalada murciana de tomate con los huevos duros cortados en cuatro trozos y distribuimos las aceitunas, que pueden ser verdes o negras.', '4\nPor último, metemos la ensalada en la nevera hasta la hora de servirla para disfrutar de un plato muy refrescante y delicioso. Ahora que sabes cómo hacer moje murciano, ¿con qué vas a acompañarlo? No lo dudes y deja tu comentario, y si buscas una recomendación, las empanadas de carne son perfectas.']",Valoración: 4 (1 voto),4 comensales,30m,Entrante,Dificultad baja,,['Recetas españolas'],"['800 gramos de Tomate entero pelado de lata', '2 Huevos duros', '1 Cebolleta', '160 gramos de Atún en aceite', '10 Aceitunas verdes o negras', '3 cucharadas soperas de Aceite de oliva virgen extra', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-moje-murciano-61718.html
Ensalada de pepino y manzana,"Deliciosas y refrescantes ensaladas fáciles que tanto nos apetecen en verano. ¡Y es que no hay nada más sencillo de preparar y de combinar que unas buenas hojas de lechuga, rúcula, escarola, canónigos, etcétera... con cualquier otro ingrediente que nos guste! Bien sea algún tipo de carne, pescado, verdura, legumbre... Además, esta ensalada de pepino y manzana es una alternativa rica y variada para comer sano y cuidar nuestra salud.La ensaladas de manzana y queso fresco se prepara en un momento y podemos poner lo que buenamente tengamos en casa ¿os animáis con esta ensalada de manzana verde que comparto en RecetasGratis y la preparáis esta misma noche? No os perdáis mi blog Los dulces secretos de Cuca donde el postre está siempre servido.","['1\nEn primer lugar, para elaborar esta ensalada de pepino y manzana, pelamos y partimos el pepino en rodajas finas y lo colocamos en una ensaladera. Añadimos las aceitunas y las cebollitas en vinagre.', '2\nPosteriormente, lavamos la manzana y la partimos en trocitos. Partimos el queso en dados. Añadimos la manzana y el queso a la ensaladera.', '3\nPara terminar, con la ensalada de manzana y queso fresco partimos los colines en dos o tres trozos y los añadimos junto con la caballa escurrida a la ensalada.\nTruco: En lugar de colines integrales podéis utilizar picatostes o el pan tostado que tengáis en casa.', '4\nAliñamos la ensalada de pepino y manzana con aceite, sal, pimienta y ajo molido, removemos con cuidado para no destrozar el queso ¡y servimos! ¡Buen provecho!']",,2 comensales,10m,Plato principal,Dificultad baja,,[],"['2 Pepinos', '1 Queso fresco tipo Burgos (250 gramos)', '1 Manzana verde', '70 gramos de Cebollas en vinagre', '70 gramos de Aceitunas verdes sin hueso', '1 lata de Caballa en aceite (65-70 gramos)', '10 Colines integrales', '1 chorro de Aceite en oliva virgen extra', '1 pizca de Sal', '1 pizca de Pimienta negra', '1 pizca de Ajo molido en polvo']",https://www.recetasgratis.net/receta-de-ensalada-de-pepino-y-manzana-61598.html
Ensaladilla rusa con gambas,"Hoy preparamos una rica ensaladilla rusa con gambas y atún, una variación de la receta clásica de esta ensalada fría que además de los ingredientes de siempre llevará gambas y espárragos, ¡deliciosa!La receta paso a paso, compartida por María Jimenez Martín desde nuestra aplicación de RecetasGratis, es super fácil de preparar y muy rica, así que anímate y cocina con nosotros un plato super rico, perfecto para los días de verano y las comidas familiares. La ensaladilla rusa nunca pasará de moda y menos si es una ensaladilla rusa con gambas.","['1\nEn primer lugar alistamos todos los ingredientes. Ten en cuenta que si las patatas son grandes puedes usar menos y en cuanto a la mayonesa, si quieres hacerla casera, aquí tienes varias recetas que te pueden servir:Mayonesa caseraMayonesa sin huevoLactonesa', '2\nPara cocinar los langostinos, ponemos 3 dedos de agua en una olla express y añadimos un puñado de sal. Cuando el agua rompa a hervir, echamos los langostinos. Los dejamos 2 minutos, bajamos el fuego y los sacamos con una rasera.', '3\nA continuación cocinamos los huevos y las patatas. Para ello, pelamos nuestras patatas y las añadimos en el mismo agua que hemos hervido los langostinos. Lavamos los huevos y los vertemos junto con las patatas.Tapamos la olla express y la dejamos 8 minutos pitando. La apagamos, y esperamos que afloje antes de quitarle la válvula. Una vez soltado todo el vapor, vertemos todo en un escurridor y dejamos enfriar.\nTruco: Es muy importante que el agua siempre cubra las patatas, sino se podrían quemar. También dejamos las patatas enteras, así conservarán todo su sabor.', '4\nOpcional. Pelamos los langostinos, hacemos una leve incisión en el lomo y con ayuda de un tenedor o un palillo de dientes, sacamos los intestinos.', '5\nCuando las patatas ya estén a temperatura ambiente, las picamos en trocitos o si prefieres, también se pueden machacar. Las colocamos directamente en el bol donde prepararemos nuestra ensaladilla rusa.', '6\nEmpezamos a montar la ensalada y añadimos encima las latas de atún escurridas, la mayonesa al gusto y los huevos cocidos sin la yema, solo la parte blanca, picada finamente.', '7\nMezclamos todo hasta conseguir que los ingredientes se repartan de forma uniforme. Comprobamos la sazón de la ensalada y añadimos un punto de sal si es necesario. Luego, ponemos por encima los espárragos al gusto y las tiras de pimientos asados. Reservar.Estos últimos dos ingredientes son a modo de decoración así que son opcionales.', '8\nPara terminar con nuestra ensaladilla de gambas y patatas, trituramos las yemas cocidas con el pasapuré o pasándolas por el chino.', '9\nAl ahora de presentar nuestra ensaladilla rusa con gambas, le colocamos por encima las yemas, las gambas y las aceitunas que queramos. Listo!!Esta ensalada fría también se puede tomar templada, como más nos guste. A disfrutar!!']",,4 comensales,45m,Entrante,Dificultad baja,,[],"['7 Patatas', '4 cucharadas soperas de Mayonesa', '6 Langostinos o Gamabas', '1 puñado de Aceitunas', '2 latas de Atún', 'Espárragos', '1 lata de Pimientos asados', '3 Huevos', '1 pizca de Sal']",https://www.recetasgratis.net/receta-de-ensaladilla-rusa-con-gambas-61649.html
