title,intro,order,votes,comensales,duración,para,dificultad,ingredientes,url,coste,types
Ensala de habichuelas,,['1\ncocinamos la habichuela ya picada el pollo y la papa despues desmenusamos el pollo y la papa y juntamos todo y agregamos sal y mayonesa al gusto'],,,,,Dificultad baja,['habichuela pollo papa mayonesa sal y salchicha'],https://www.recetasgratis.net/receta-de-ensala-de-habichuelas-47886.html,,
Ensalada de frutas para bajar peso,"Si quieres perder unos kilitos esta ensalada de frutas es ideal para conseguirlo, a continuación te explicamos como hacerla, paso a paso y con fotos.","['1\nPrealistar todos los ingredientes.', '2\nPelar el kiwi y cortarlo de la forma que se quiere, en este caso en rodajas.', '3\nPicar la manzana y cortarla en rodajas finas.', '4\nPicar la pera y cortarla en cuadros.', '5\nQuitarle la cascara a la naranja y cortarla en cuadros pequeños.', '6\nServir la ensalada de frutas en un bol individual.']","Valoración: 4,8 (10 votos)",2 comensales,30m,Postre,Dificultad baja,"['2 unidades de Naranja', '2 unidades de Manzana verde', '2 unidades de Pera', '2 unidades de Kiwi']",https://www.recetasgratis.net/receta-de-ensalada-de-frutas-para-bajar-peso-47867.html,,['Recomendada para perder peso']
Ensalada de endivias con bacalao,"Prepara una saludable y deliciosa ensalada de endivias con bacalao en cualquier ocasión con esta receta fácil que hoy te enseñamos en RecetasGratis para que de vez en cuando comas esta verdura que está un poco olvidado debido a su sabor tan particular. Pero no te preocupes porque gracias a los ingredientes que acompañan a esta ensalada de endibias como los pimientos asados o la vinagreta de mostaza, el plato tendrá un sabor exquisito. Toma nota de los ingredientes y del paso a paso de esta receta de endivias y disfruta de este alimento tan saludable.","['1\nLo primero que tenemos que hacer para preparar esta ensalada de endivias con bacalao es cocer las patatas enteras y con la piel.', '2\nMientras se cuecen las patatas de la ensalada deshojamos la endibias y las ponemos en un plato. Cuando las patatas estén cocidas las pelamos y las cortamos en rodajas de uno tres centímetros.', '3\nA continuación, ponemos las hojas de endivias en un plato, y en el centro, pondremos las patatas, alrededor las endibias.', '4\nSeguidamente, encima de las patatas colocamos las migas de bacalao y los pimientos a tiras.Los pimientos asados podéis comprarlos ya hechos o asarlos vosotros mismo en casa pasándolos primero por la llama y luego acabándolos de cocer en el horno. Si os sobran podéis preparar una deliciosa escalivada catalana.', '5\nUna vez tenemos montado el plato, le agregamos la vinagreta de mostaza por encima, y ya tendremos esta ligera ensalada de endivias con bacalao lista para degustar.. Si no os gusta este tipo de vinagreta podéis probar unas de las que os recomendamos aquí mismo:Vinagreta de aguacateVinagreta de naranjaVinagreta dulceVinagreta de jengibre y naranja']","Valoración: 4,3 (8 votos)",4 comensales,30m,Entrante,Dificultad baja,"['2 Endibias', '3 Patatas', 'Pimiento asado en tiras', 'Migas de bacalao', '1 pizca de Sal', 'Pimienta', '1 cucharada sopera de Vinagreta de mostaza']",https://www.recetasgratis.net/receta-de-ensalada-de-endivias-con-bacalao-47857.html,,[]
Ensalada de pollo light,La ensalada de pollo light es un plato que podrás servir como entrante o incluso como plato principal. Se trata de una preparación fresca perfecta para incluir en tu menú de dieta.Anímate a comer más sano con RecetasGratis.net y sigue las instrucciones para disfrutar de esta rica ensalada de pollo.,"['1\nAlistar todos los ingredientes para preparar la ensalada de pollo ligera.', '2\nEn un recipiente poner un poco de agua fría y adicionar la cucharada de vinagre con la lechuga troceada (cortada con las manos), esto lo realizamos para desinfectar la lechuga.', '3\nAparte cortar el tomate en cascos, el pimentón en tiras y el pollo en cuadros medianos.', '4\nEn una sarten bien caliente poner un poco de aceite y adicionar los cuadros de pollo, dejamos saltear unos 5 minutos y adicionar el ajo picado, el orégano, sal y pimienta negra.', '5\nDejar cocinar entre cinco y diez minutos más aproximadamente. Una vez listo el pollo, apagar el fuego de la sarten y reservar hasta que estén fríos todos los trozos. Sacar del agua con vinagre la lechuga y lavarla. Dejar escurrir.', '6\nEn un plato hondo poner una cama de lechuga, luego un poco de pimentón en tiras y por último un poco de tomate. En la parte de encima se adiciona el pollo. ¡Y listo! Ya puedes disfrutar de tu ensalada ligera. Si deseas, puedes preparar salmón a la plancha como segundo plato.']","Valoración: 4,7 (38 votos)",4 comensales,30m,Entrante,Dificultad baja,"['400 gramos de Pechuga de pollo sin piel', '1 unidad de Tomate', '1 unidad de Pimentón rojo', '1 unidad de Lechuga', '2 cucharadas soperas de Aceite de oliva', '2 dientes de Ajo finamente picados', '1 cucharadita de Orégano', '1 pizca de Sal', '1 pizca de Pimienta negra', '1 cucharada sopera de Vinagre blanco']",https://www.recetasgratis.net/receta-de-ensalada-de-pollo-light-47852.html,,['Recomendada para perder peso']
Ensalada veraniega de macarrones,,"['1\nPonemos a cocer los macarrones y los huevos por separado, mientras cortamos el tomate a dados y la lechuga en Juliana, escurrimos el aceite del atún y el agua a las olivas. Una vez cocidos los macarrones, los escurrimos los y lavamos con agua fría. Le ponemos el aceite para que la pasta no se pegue y quede suelta.', '2\nEn una bandeja de cristal pondremos los macarrones, el tomate, el atún, las olivas, la sal y la pimienta y lo removemos todo.', '3\nAñadiremos la lechuga alrededor, dejando el espacio en el medio para colocar los huevos cocidos cortados a gajos para decorar la ensalada. Se puede aliñar al gusto con mayonesa, salsa rosa, vinagreta de mostaza, vinagreta de naranja, etc.']","Valoración: 4,7 (28 votos)",4 comensales,30m,Entrante,Dificultad baja,"['200 gramos de Macarrones', '2 latas de Atún', '1 unidad de Tomate', '1 lata de Olivas', '¼ unidad de Lechuga Iceberg', '3 unidades de Huevo', '1 pizca de Sal y Pimienta', '1 chorro de Aceite de oliva']",https://www.recetasgratis.net/receta-de-ensalada-veraniega-de-macarrones-47815.html,,['Recomendada para perder peso']
Ensalada de pasta con atún y mayonesa,"La ensalada de pasta siempre un as bajo la manga a la hora de preparar algo fácil y rápido con ingredientes que siempre tenemos en la despensa. En esta oportunidad, en RecetasGratis te enseñamos a cocinar una de estas ensaladas llena de color y de sabor. Lo mejor para este tipo de plastas son las pastas cortas por lo que nosotros hemos decidido utilizar la variedad de fusilli de verduras, de varios colores. Y además de mezclar con atún y mayonesa, también añadiremos surimi, maíz y huevo... una combinación clásica que nunca falla.Esta ensalada de pasta con atún y mayonesa se convertirá en uno de tus platos favoritos, así que si no tienes mucho tiempo y quieres comer bien, sigue leyendo las instrucciones paso a paso y ¡a comer!","['1\nEmpezamos por cocinar la pasta y el huevo en agua hirviendo, podemos hacerlo en la misma olla.Para la pasta recuerda comprobar las indicaciones del fabricante para conseguir que te quede al dente. En cuanto al huevo duro, encuentra los mejores consejos de cocción en el artículo sobre los huevos cocidos perfectos.', '2\nMientras, vamos trabajado con la verdura empezando por la lechuga. Lava muy bien y corta la lechuga en juliana, tal como se ve en la foto. Utiliza un cuchillo de cerámica o plástico para evitar que las hojas se oxiden.', '3\nContinuamos con los tomates, los cuales cortaremos a dados. Si quieres añadir más ingredientes a esta ensalada de pasta, puedes hacerlo sin problemas. Puedes añadir zanahoria o cebolla.', '4\nA continuación procedemos a montar la ensalada. Para ello, colocamos la pasta, previamente escurrida y rociada con unas gotas de aceite, en una fuente. Añadimos el atún bien desmenuzado y los palitos de cangrejo picados finamente.Si consigues en el mercado rallado de surimi, puedes ahorrarte este último paso.\nTruco: No olvides que para hacer ensaladas de pasta es muy importante que la pasta esté fría, así que dale un baño de agua fría bajo el chorro.', '5\nUna vez hayas mezclado bien todo, terminamos de colocar el resto de ingredientes que serán el huevo cocido picado, una pizca de sal, el maíz y la mayonesa. Disfruta de la ensalada de pasta con atún y mayonesa y sírvela como entrante o llévatela para un día de pic-nic o de playa. Y si lo que quieres es un plato caliente, mejor revisa la receta de pasta con atún y tomate.']",Valoración: 4 (1 voto),2 comensales,10m,,Dificultad baja,"['200 gramos de Pasta corta o Fusilli', '1 Huevo', '1 Tomate', '1 lata de Atún', '50 gramos de Surimi o Palitos de cangrejo', '1 trozo de Lechuga', '1 pizca de Sal', '1 chorro de Aceite', '1 lata de Maíz']",https://www.recetasgratis.net/receta-de-ensalada-de-pasta-con-atun-y-mayonesa-47787.html,,[]
Ensalada Frita,,"['1\ncortar la zanahoria, habichuela a la juliana, freir en el aceite de oliva.aparte freir el ajo picado, el apio de españa, el pimienton y sal-cocinar el cerdo y la pechuga de pollo, cortar en cuadrito.revolver, la verdura frita, el guiso reservado, el pollo y cerdo cocido en cuadro, por último añadir perejil o cilantro picado finito.', '2\nservir con arroz blanco y papa a la francesa.', '3\nData: puedes servir el consome sin grasa con pan tostado o galletas de soda.']",,,,,Dificultad media,"['habichuela, zanahoria, arveja verde, apio en rama o españa, pimenton, ajo, cebolla, pollo en cuadrito, cerdo en cuadro, aceite de oliva, perejil, sal']",https://www.recetasgratis.net/receta-de-ensalada-frita-47108.html,,
Ensalada de Fideos frios,,"['1\n1Mezclar en un tazón los fideos ya fros, las arvejitas, jamón, pepinillos y unir con la mayonesa.2Vaciar en una fuente y decorar con rodajas de huevo duro y perejil picado']",Valoración: 5 (1 voto),,,,Dificultad baja,"['250 gr de fideos tipo rueda (sancochados)', '1 taza de arvejitas cocidas', '1/2 taza de mayonesa', '2 huevos duros', '1 cucharada de perejil picado', '2 pepinillos encurtidos']",https://www.recetasgratis.net/receta-de-ensalada-de-fideos-frios-46927.html,,
Ensalada de germinados con sandía fashion,,"['1\nLimpiamos las judías verdes, las cortamos en juliana y las cocemos, dejándolas enfriar posteriormente. Aparte, cortamos la sandía fashion en bastones finos y montamos la ensalada por capas en cada uno de los cuatro moldes de acero inoxidable (se preparan de forma individual), en este orden: la sandía fashion, los germinados y la judía verde. Aliñamos con la vinagreta que habremos preparado con avellanas picadas, aceite, vinagre, mostaza de Dijon y sal.']",,,,,Dificultad baja,"['300 grs. de judías verdes.', 'Una bolsa de germinados de alfalfa.', 'Una bolsa de germinados de remolacha.', '200 grs. de sandía fashion.', 'Vinagreta de avellanas.']",https://www.recetasgratis.net/receta-de-ensalada-de-germinados-con-sandia-fashion-46897.html,,
Ensalada con masmelos,,"['1\nPica los masmelos en trocitosEn una ensaladera o recipiente coloca la piña calada y sobre ésta, pica las manzanas en cuadritos, mezcla con los masmelos y por último agrega la crema de leche.']",Valoración: 5 (1 voto),,,,,"['15 masmelos', '1 piña mediana calada', '2 manzanas roja', '2 manzanas verde', '200 grs. crema de leche.']",https://www.recetasgratis.net/receta-de-ensalada-con-masmelos-46718.html,,
