title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Ensalada Florencia,,"['1\nPara hacer el aderezo licúe el aceite de oliva junto con el jugo de limón, el vino blanco, el diente de ajo, el azúcar y el chile de árbol.', '2\nAparte, en una ensaladera, revuelva las lechugas (menos la sangría) previamente lavadas y cortadas.', '3\nAdemás, lave, pele y rebane la zanahoria para agregarla a las lechugas.', '4\nAñada la cebolla cortada al gusto y las aceitunas, revuelva bien.', '5\nPara servir ( en cuatro platos) acomode cada una de las hojas de lechuga sangría y sirva las porciones de la ensalada.', '6\nAdorne con el tomate partido en gajos.', '7\nLuego coloque cada uno de los huevos de codorniz, previamente cortados en cruz en el centro del plato, aderece y añada el queso parmesano y el perejil y sirva.']",,"['1/2 lechuga romana', '1/2 lechuga orejona', '2 lechugas achicorias', '1 zanahoria', '1/2 cebolla dorada', '16 aceitunas negras', '2 tomates guajes', 'queso parmesano al gusto', 'perejil (para decorar)', '4 huevos de codorniz cocidos', '4 hojas de lechuga sangría para decorar.', '1/4 de taza de aceite de oliva', '1/4 de taza de jugo de limón', '1/4 de taza de vino blanco', '1 diente de ajo', '1/2 cucharadita de azúcar', '1/2 cucharadita de chile de árbol molido.']",https://www.recetasgratis.net/receta-de-ensalada-florencia-23228.html,,,,,,
Ensalada de zanahoria rallada,"Tenía zanahoria rallada en casa y la verdad es que no tenía ganas de cocinar, así que así nació esta ensalada de zanahoria rallada con mayonesa.Si conoces mis recetas sabrás que me gusta combinar sabores y aunque a primera vista se trate de platos sumamente sencillos, siempre hay algo original y creativo para sorprender. Pues en este caso es la mayonesa con un toque de naranja que usaremos para aliñar el plato, así que ¡no te la pierdas!Esta ensalada de zanahoria rallada la podrás comer para la cena o para el mediodía combinando con algo más. Anímate a probarla y luego me cuentas qué te ha parecido.","['1\nPara nuestra ensalada de zanahoria empezamos por reunir los ingredientes. Yo he comprado la zanahoria rallada directamente, pero también puedes rallarla tu mismo usando la parte gruesa del rallador. En cuanto al resto de ingredientes, recuerda que todo es al gusto, puedes añadir otros extras como piña o huevo cocido que combinan a la perfección a la hora de preparar ensaladas de zanahoria.', '2\nTeniendo en cuenta todo lo anterior, seguimos y preparamos el aderezo. Para ellos, mezclamos la mayonesa con un poco de zumo de naranja, sal y pimienta recién molida.Puedes hacer la mayonesa en casa siguiendo cualquiera de estas recetas:Mayonesa caseraLactonesaVeganesa con leche de avena', '3\nAhora mezclamos en un bol los ingredientes, empezando por la zanahoria rallada y el maíz, previamente escurrido. Es en este paso cuando puedes añadir extras como piña cortada en cubos, atún, tomates o incluso salmón ahumado.', '4\nPara terminar, añadimos las bolitas de queso y bañamos todo con el aderezo de mayonesa y naranja. El queso feta, con su sabor salado, también combina perfectamente en esta ensalada de zanahoria rallada. Además, puedes probar con otros aderezos como el clásico de miel y mostaza.', '5\nReserva en la nevera hasta el momento de servir y disfruta de ensalada de zanahoria rallada ligeramente fría junto con unas galletas saladas... ¡buen provecho!Y ahora que ya sabes cómo hacer una ensalada de zanahoria no dejes de usarla para completar otros platos como un rico sándwich.']","Valoración: 3,2 (48 votos)","['100 gramos de Zanahoria rallada', '2 cucharadas soperas de Mayonesa', '½ Naranja', '1 pizca de Sal y Pimienta', 'Bolas de queso mozzarella', '½ lata de Maíz dulce']",https://www.recetasgratis.net/receta-de-ensalada-de-zanahoria-rallada-23214.html,1 comensal,10m,Entrante,Dificultad baja,,[]
Ensalada de zanahoria y pasas,,"['1\nSe lavan y se raspan las zanahorias y se cortan en tiras muy finas.', '2\nA continuación se ponen en una ensaladera junto con las pasitas.', '3\nSe le añade la salsa de soja, el aceite, jugo de limón y la sal, se revuelve todo muy bien.', '4\nSe adorna con el perejil.']",Valoración: 4 (32 votos),"['500 gr. ( 1 libra) de zanahorias', '80 gr. de pasitas', '2 cucharadas de salsa de soja', '1 limón ( el jugo)', '2 cucharadas de aceite', 'sal', '1 cucharada de perejil muy picado.']",https://www.recetasgratis.net/receta-de-ensalada-de-zanahoria-y-pasas-23216.html,,,,,,
Ensalada de vianda y bacalao,,"['1\nPonga el bacalao a cocinar por 15 minutos en abundante agua, retirar de la estufa, escurra y eche mas agua para terminar de quitar la sal.', '2\nDesmenuce y agregue el aceite, ajo, cebolla y cilantro remueva bien y póngalo en la nevera.', '3\nQuite la piel a todas las vianda y enjuague y corte en cuadrito de una pulgada mas o menos e hierva hasta que estén cocidas, escurra el agua y deje enfriar corrija la sal y la pimienta a su gusto, una todo el bacalao y las viandas y ponga en la nevera por dos horas mas.']","Valoración: 3,4 (54 votos)","['1 libra de malanga', '2 libras de yautia', '2 libras de ñame', '4 guineos verdes', '2 plátanos verdes', '2 libras de filete de bacalao', '3 tz. aceite de oliva', '4 granos de ajo machacados', 'pimienta en grano a gusto', '1 tz. de cilantro picado en tiritas muy finas.']",https://www.recetasgratis.net/receta-de-ensalada-de-vianda-y-bacalao-23213.html,,,,,,
Ensalada de trampó,"Aunque por sus colores puede parecer italiana, la ensalada de trampó es una receta mallorquina muy antigua. Combina el tomate maduro con pimiento verde y cebolla, y resulta fresca y sabrosa a la vez. Sigue leyendo y descubre con RecetasGratis.net cómo hacer una ensalada trampó.","['1\nIngredientes de mercado y frescos para esta ensalada con verduras que te ofrecemos hoy desde RecetasGratis.net. Elige tomates bien maduros, será una de las claves de este plato.', '2\nEl secreto de esta ensalada es que todos los ingredientes estén cortados en trozos muy pequeños, y del mismo tamaño aproximadamente. Picaremos la cebolla primero y la colocaremos en un bol grande.', '3\nTras lavar los pimientos, los cortaremos a lo largo por la mitad y vaciaremos las semillas. Cortaremos en tiras y luego las trocearemos. Lo añadiremos al bol directamente.', '4\nEl próximo paso para preparar la ensalada de trampó será cortar los tomates, también en trozos pequeños, y verterlos asimismo al bol.', '5\nSólo queda mezclar y aliñar la ensalada de trampó con aceite de oliva virgen extra y sal. ¡Y a disfrutar! Es una receta excelente para acompañar una carne a la plancha o este solomillo con foie y manzana.']",,"['4 unidades de Tomate', '3 unidades de Pimiento verde', '1 unidad de Cebolla', '1 pizca de Sal', '1 chorro de Aceite de oliva virgen extra']",https://www.recetasgratis.net/receta-de-ensalada-de-trampo-23210.html,2 comensales,15m,Entrante,Dificultad baja,,['Recetas españolas']
Ensalada de tomate y manzanas,,"['1\nMezclar todos los ingredientes y colocar en una fuente.', '2\nDecorar con nueces y perejil picado por encima.']","Valoración: 3,4 (52 votos)","['500 gr. de tomate cortado a gajos', '100 gr. de manzanas peladas y cortadas a gajos', 'Sal', 'pimienta', 'limón y', 'mayonesa.']",https://www.recetasgratis.net/receta-de-ensalada-de-tomate-y-manzanas-23208.html,,,,,,
Ensalada de remolacha a la crema,,"['1\nMezclar todos los ingredientes y colocarlos en una bandeja.', '2\nDecorar con un poco de huevo picado por encima.']","Valoración: 3,4 (52 votos)","['500 gr. de remolacha cortada en rodajas', '75 gr. de cebolla picada fina', 'Para el aliño', '100 ml. de nata', 'Un poco de ajo en polvo', 'Sal', 'Vinagre', 'Azúcar']",https://www.recetasgratis.net/receta-de-ensalada-de-remolacha-a-la-crema-23191.html,,,,,,
Ensalada de pulpo rápida,,"['1\nPique todos los ingredientes y reserve en un recipiente, abra las latas de pulpo y limpie bien mezcle con los demás ingredientes, y coma a justo.']","Valoración: 3,3 (51 votos)","['4 latas de pulpo en aceite', '1 cebolla roja picadita', '1 cebolla blanca picadita', '1pimiento verde picaditos', '2 cucharadas de aceitunas picaditas', '1 ajo machacado', '2 cucharadas de vinagre blanco', 'pimienta a gusto', '1 lata de pimientos morones picados', 'aceite de oliva', '1 tomate picado', 'lechuga picada a gusto']",https://www.recetasgratis.net/receta-de-ensalada-de-pulpo-rapida-23188.html,,,,,,
Ensalada de pollo y espárragos,,"['1\nLimpiar los espárragos, cortar los tallos leñosos.', '2\nPonerlos en un cazo alto con las puntas hacia arriba, cubrir con agua hasta 2/3 de la altura, condimentar con sal, tapar y dejar cocer 15 minutos a partir de la ebullición.', '3\nMientras tanto, cocer en otro recipiente las pechugas de pollo en agua salada con el apio, la zanahoria y la cebolla limpios y pelados.', '4\nConcluida la cocción, desmenuzar el pollo en cuadritos y colocarlos en una ensaladera, agregar los espárragos escurridos y troceados y aliñar con la mayonesa aligerada con dos cucharadas de cocción de los espárragos y aderezarla con el perejil picado.']","Valoración: 4,5 (13 votos)","['400 gr. de pechuga de pollo', '1 zanahoria', '1 ramita de apio', '1 Kg. de espárragos', '1 cuenco de mayonesa', '1 ramita de perejil', 'sal.']",https://www.recetasgratis.net/receta-de-ensalada-de-pollo-y-esparragos-23181.html,,,,,,
Ensalada de plátanos,,"['1\nPela las naranjas y c6rtalas en rebanadas finas.', '2\nHaz lo mismo con los plátanos, rociándolos con zumo de lim6n, para que no se oscurezcan.', '3\nDispón unas hojas de lechuga en la ensaladera.', '4\nEncima coloca la mitad de los plátanos, luego las naranjas y por último el resto de los plátanos.', '5\nAlíñalo con mayonesa o vinagreta y cúbrelo con las nueces picadas.', '6\nEsta ensalada se toma como entremés y resulta muy apetitosa y refrescante, pero si te gusta más lo dulce, puedes servirla de postre, sustituyendo la mayonesa por unas cucharadas de azúcar y una copa de ginebra.', '7\nSírvelo bien frío.']","Valoración: 3,4 (49 votos)","['4 naranjas', '4 plátanos', '1 lechuga', '1 limón', 'mayonesa o vinagreta', '100 gr. de nueces picadas.']",https://www.recetasgratis.net/receta-de-ensalada-de-platanos-23174.html,,,,,,
