title,intro,order,votes,ingredientes,url,comensales,duración,para,dificultad,coste,types
Guiso De Pescado Con Arroz,,"['1\nCocinar por 20 minutos el pescado a fuego lento con 3 cdas. de jugo de limón, margarina, sal y pimienta. Con el arroz hacer un arroz graneado. Desmenuzar el pescado sacar todas las espinas que tenga. Freír en un poco de margarina la cebolla. Unir el pescado al arroz, cebolla, el jugo de los dos limones, yemas y crema. Batir las claras a nieve y revolver con la preparación anterior. Verter en un molde enmargarinado y espolvoreado con el pan rallado. Precalentar el horno y hornear la preparación por 30 minutos aproximadamente.']",,"['1 kg corvina', '1 1/2 cucharada(s) jugo de limón', '1/2 cucharada(s) margarina', '1 1/2 taza(s) arroz', '1 limón(es) , su jugo', '1/2 cebolla(s) picada fina', '3 huevo(s)', '5 cucharada(s) crema', '1 1/2 cucharada(s) pan rallado', 'Sal y pimienta a gusto']",https://www.recetasgratis.net/receta-de-guiso-de-pescado-con-arroz-46888.html,,,,,,
Guiso De Beterraga,,"['1\nCuesa las beterragas y luego paselas por el un dos tres, fría la cebolla junto a la carne molida agregue a las beterragas molidas, los huevos, el pan estrujado y sal a gusto. Revuelva bien todo. Sirva acompañado de papas doradas.']",,"['1 atado(s) betarraga(s)', '2 cebolla(s) chicas', '1/4 kg carne molida', '1 taza(s) pan remojado en leche o agua', '2 huevo(s)', 'Papa(s) doradas para acompañar']",https://www.recetasgratis.net/receta-de-guiso-de-beterraga-46572.html,,,,,,
Hilachas Guatemaltecas,,"['1\n1.- Cocine la carne en el agua con sal hasta que este suave, Saque la carne y deshilachela con un tenedor.2.- Tome dos tazas del caldo donde cosino la carne y coloque alli los demas ingredientes menos las papas, cocine por 10 minutos, enfrie ligeramente y luego licue, regrese esta salsa a la olla y agrege un poco mas del caldo de la carne , agregar la carne deshilachada y las papas y cocine hasta que espese.', '2\n3.- Ajustar la sazon si es necesario con un poco de consome de pollo.']","Valoración: 4,5 (2 votos)","['2 libras de Flank Steak o carne para desebrar', '6 tazas de agua', '1 cucharada de sal', '1/2 cebolla', '2 dientes de ajo', '6 tomates maduros roma', '4 miltomates maduros', '3 tortillas', '1 chile guaque sin semillas', '1 sobre de Bijol', '3 papas']",https://www.recetasgratis.net/receta-de-hilachas-guatemaltecas-46368.html,,,,Dificultad baja,,[]
Comidas criollas Ají gallina,,"['1\naparte en una olla se coce la pechuga del pollo con 4 tazas de agua y ua cucharadia de oregano.luego deilachar el pollo y el caldo guardarlo para remojar el pan de molde ó puede ser galleta salada.sacar toda las pepitas para que no pique del aji amarillo,una vez que ya esta sacadalas pepas trosearla para lucuarlo con el pan remojado agregar la leche si se espesa la crema,una vez licuada el contenido se vacia al......', '2\naparte se sófrie la cebolla una vez que este dorada la cebolla se agrega el ajouna vez esten los dos al punto .se le agrega la pimienta,alli se le agrega lacrema licuada de pan y aji ,leche. se mueve contatemente y se le incorpora el pollo deshilachado sal al gusto.herbir unos 10 minutos el guiso esta listo muy rica y facil.', '3\nse sirve con guarnisión de arroz y rosearla encima de las patatas cocidas y partidas en rodajas encima de la crema se decora con un trosito de huevo y aceituna.']","Valoración: 4,8 (4 votos)","['1/2 de pan de molde,2 pechuga de pollo,4 de aji marillo,1/2 de c/d de sal', 'y pimienta al raz,3huevos cocido,aceituna sin huesos.1 cebolla picada en cuadrios y ajos 1c/d.oregano seco.leche una carton ó botella.5 patata cocida']",https://www.recetasgratis.net/receta-de-comidas-criollas-aji-gallina-46284.html,,,,,,
Sartanè,,"['1\nEn paellera amplia, hágase un sofrito de conejo, pollo, costilla de cerdo y añádase a la fritura toda clase de verduras que a mano estén:guisantes, judía verde, alcachofas, cebolla, ajos, pimiento, pataticascortadas que chupan el caldo y después un poco más de jamón y chorizo, para terminar con tomate que sirve para limpiar la paelleracon su base ácida. Se añade agua y que hierva tres cuartos de hora.', '2\nDespués se añaden fideos gordos o mejor, arroz']",,"['Conejo', 'Pollo', 'Costilla de cerdo', 'Verduras varias', 'Sal', 'Aceite', 'Agua', 'Jamón Chorizo', 'Fideos']",https://www.recetasgratis.net/receta-de-sartane-46147.html,,,,Dificultad alta,,[]
Guiso Completo,,"['1\nDeshaga la mantequilla y dore la cebolla, el pimentón, los porrones y los champiñones.Agregue el caldo, la leche, el choclo, las papas, sal y pimienta, la pechuga de pollo y el curry. Deje hervir a fuego suave por media hora.Saque el pollo y córtelo en trozos. Devuelva a la olla y agregue la crema. Caliente sin que hierva y sirva.Puede acompañar esté plato con ensaladas verdes.']",,"['2 porrones picado', '1 cebolla(s) mediana picada', '100 gr champiñones picados', '1 pechuga(s) de pollo sin piel', '100 ml o cc crema', '100 ml o cc leche', '2 papa(s) medianas cortadas en dados', '1 cucharada(s) mantequilla', '1/2 pimentón verde cortado en láminas', '1 taza(s) choclo(s) congelados', '1 lt caldo de pollo (en cubito)', '1/2 cucharadita(s) curry', 'Sal y pimienta a gusto']",https://www.recetasgratis.net/receta-de-guiso-completo-46019.html,,,,,,
Guiso De Arroz Con Cerdo Y Pollo Tipo Paella Española,,"['1\nFreír en aceite pollo, cerdo y chorizo. Añadir cebolla, ajo y cocinar a fuego bajo revolviendo 20 minutos. Incorporar sal, pimienta, cubo de caldo, arroz y el agua. Poner la olla tapada sobre tostador y cocinar aproximadamente 20 minutos.']","Valoración: 4,5 (2 votos)","['750 gr pollo(s) en alitas', '200 gr cerdo en lonjas delgadas', '1/4 taza(s) chorizo español laminado', '1/2 unidad(es) cebolla(s) finamente picada', 'Gr azafrán', '1 caluga(s) caldo de pollo desmenuzado', '1/2 unidad(es) pimiento(s) rojo pelado,sin semillas y picado', '1 taza(s) arroz', '1 1/4 taza(s) agua hirviendo', 'Sal a gusto', 'Pimienta a gusto']",https://www.recetasgratis.net/receta-de-guiso-de-arroz-con-cerdo-y-pollo-tipo-paella-espanola-45951.html,,,,,,
el verdadero pibipollo de la peninsula,,"['1\nPpreparacion de las carnes,una vez en trozos ambas carnes,pongala a coser con suficiente agua y sal.', '2\nPreparacion de la masa, agregue la manteca de cerdo su toque especial es cuando la masa no se queda pegada en la manos,poco a poco vaya agregando sal a su gusto,aparte en una licuadora mezcle manteca y el adobo o achiote lo suficiente que quede de un color rojizo, esta agregue a la masa poco a poco y revuelva bien.', '3\nPara el espeso del caldo, tome un poco de masa y batala en un poco de agua fria, agregue poco a poco al caldo donde se esta cociendo la carne y el pavo o pollo este caldo debe de estar hirviendo agregue y mueva continuamente para evitar que se formen grumos,y vaya probando que este bien de sal.una vez ya preparado esto.', '4\nVayamos a preparar los pibipollos.en un molde. freideras, cazuelas o moldes.etc.las hojas de platano soasadas deben de estar ya listas para ponerlas en las freideras de manera que cubran estas.', '5\nPonga una cantidad de masa y vaya extendiendola de manera que cubra todo el molde esta capa debe de ser delgada que quede bien redondeada, ya terminado agregue rodajas de tomate, cebolla, epazote, chile habanero, todo esto ya debe de estar cortado en rodajas, en epazote solo son sus hojas que se utilizan, no sus tallos.', '6\nAgregue el espeso convinando en partes iguales las carnes,una vez puesto esto vueva a agregar otra vez, tomate cebolla,epazote y chile.', '7\nAparte haga una tortilla delgada sobre hoja de platano de la misma masa preparada y del mismo tamaño de la forma del pibi, tape este y forre con la misma hoja del platano,una vez ya terminado la cantidad de pibis que va a hacer.', '8\nVan al horno, en la peninsula se acostumbra, a hacer un hueco como de 20 a 30 cm de ondo, donde se pone piedras y mucha leña y los pibis se colocan ahi sobre una lamina y luego se tapan con otra y encima se le agrega tierra y ramas de arboles, de manera que no se escape el calor en un tiempo aproximado de 3 hras,para evitar esto, tambien se puede hacer en el horno de la estufa, a el tiempo de cocimiento es casi el mismo 3 hras,al maximo del la capacidad del horno pero hay que estar vigilandolo muy seguido, el toque cuando ya debe de estar tostadito, es sacando un molde y con un cuchillo levantarlo de las orillas,al levartase casi todo es que ya esta,y buen provecho.']",Valoración: 5 (6 votos),"['pollo o pavo en piezas.', 'carne de cerdo', 'achiote o adobo', 'hojas de plátano soasada', 'tomates rojos epazote', 'cebolla blanca', 'Chile habanero']",https://www.recetasgratis.net/receta-de-el-verdadero-pibipollo-de-la-peninsula-43615.html,,,,Dificultad alta,,[]
"Hallacas Maracuchas, Criollas y Venezolanas",,"['1\nCon anticipación, ablandar las Carnes de Puercos y Res.', '2\nAl agua para ablandar las carnes, agregar Varias hojas de Laurel y 8 clavitos de olor.', '3\nNo dejar demasiado blanda las carnes, porque luego, durante la preparación del guiso se continuara el proceso de cocinado.', '4\nEl agua que nos ha quedado de cocinar las Carnes. No botarla; poner a reducir esta agua, para luego ser usada en la preparación del guiso.', '5\nPicar las Carnes en cuadritos pequeños o de un tamaño al gusto.', '6\nLa grasa o Manteca, sobrante del Cerdo; les recomiendo, picarlas en trocitos bien pequeños y colocarla en un caldero con un poquito de agua.', '7\nCocinar hasta que la manteca se haga chicharro; esta manteca que nos resulta de este proceso la utilizaremos para agregarla a la harina de maíz.', '8\nPicar Vegetales finamente.', '9\nCalentar el ½ lts de Aceite junto con el Achote, esto para darle color al aceite y por ende al Guiso.', '10\nSe sofríe los Vegetales, hasta que estén tiernos.', '11\nEn este momento añadir. La Sal, Adobo, Comino, el Ajo machacado, la Salsa Inglesa; todo al gusto.', '12\nAñadir el agua que nos quedo anteriormente y habíamos reservado para el guiso.', '13\nDisolver una Panela en agua Caliente, poquita agua y luego verterla al guiso. (mejor si tomamos un poquito del agua del guiso y disolvemos la panela)', '14\nAgregar los Garbanzos, las Alcaparras, la Mitad de las Aceitunas y la mitad de las Ciruelas Pasas.', '15\nAgregar las Carnes. Y corregir los sabores. Dejar secar lo suficiente, hasta quedar un poquito jugoso.', '16\nLas Papas y Zanahorias deben de estar previamente cocinadas y picadas (en cuadritos pequeños). Y agregar cuando el guiso este listo, incluso ya apagado, osea fuera de la cocina.', '17\nLa mitad restantes de las Aceitunas y Ciruelas se le añaden una vez este frio el guiso. O justo antes de comenzar la preparación de las hallacas.', '18\nAmasar; 1 paquete de Harina de Maiz, con la Manteca que obtuvimos del Puerco y el Onoto para darle color.', '19\nExtender la Masa sobre la hoja y creo que no hace falta mas explicación.']","Valoración: 3,7 (60 votos)","['3 Kg Carne de Cerdo', '2 Kg Carne de Res', '2 Kg Papas', '½ Kg Zanahorias', '1 kg Cebollas de Cabezas', '1/2 Kg Pimentones', 'Cebolla en Rama', 'Ajies', 'Cilantros', '2 Cabezas de Ajos', 'Ajos Porros', '½ Kg Ciruelas Pasas', '½ Kg Garbanzos', 'Panela o Papelon', 'Onoto o Achote', 'Aceituna Rellenas', 'Alcaparras', 'Encurtidos', 'Salsa Inglesa', '½ Lts Aceite', 'Sal', 'Adobo', 'Comino', 'Curry', 'Oregano', 'Laurel', 'Clavos de Olor', '3 paquetes de Hojas de Platano', '4 Paquetes de Harina de Maiz', '2 Rollos de Pavilo']",https://www.recetasgratis.net/receta-de-hallacas-maracuchas-criollas-y-venezolanas-43014.html,,,,Dificultad baja,,
puxero zevillano,,"['1\nSofreir toda la carne, la cebolla, la zanahoria y el ajo, agregarle el hueso de jamon, el agua, los garbanzos , la patata, la carcasa, sal, pimienta y laurel 3/4 de hora.', '2\nSupernivelazo!!!!!']",Valoración: 4 (9 votos),"['1 muslo de pollo', 'trozo de carne de cerdo magra', 'costilla salada', 'un hueso de jamon', 'un hueso de gallina (carcasa)', 'tocino añejo', 'garbanzos', 'una patata (pelada)', 'hierbabuena', 'fideos ó arroz (a gusto de cada uno)', '1 zanahoria', '1 cebolla', '2 dientes de ajo.']",https://www.recetasgratis.net/receta-de-puxero-zevillano-42717.html,,,,Dificultad alta,,
